gid	gname	chr	start	end	logCPM	logFC.A1.A2	absLogFC	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	aMAT	68795	70180	5.354145424	0.004504574	0.004504574	0.983288212	1	5.342056069	5.370573363	5.334024593	5.36956887
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A1-R4_A1	aMAT	71408	72880	4.754861396	0.139754113	0.139754113	0.564412629	0.986655743	4.912730714	4.727747353	4.789950008	4.569247372
MvSl-1064-A1-R4_A1g00038	MvSl-1064-A1-R4_A1	aMAT	73083	75674	-2.873895757	3.789760168	3.789760168	0.044878621	0.339480392	-3.335044318	-1.964520834	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A1-R4_A1	aMAT	77299	78423	8.130721183	0.298296437	0.298296437	0.193231482	0.740379192	8.20018322	8.340760323	7.820675041	8.112577722
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A1-R4_A1	aMAT	79342	82258	1.207303682	-0.206891476	0.206891476	0.597963953	0.990687849	0.95480445	1.233447505	1.427127655	1.160662174
MvSl-1064-A1-R4_A1g00041	MvSl-1064-A1-R4_A1	aMAT	82438	84133	-2.633895384	0.709993169	0.709993169	0.596846997	0.990276133	-2.706608466	-2.294435337	-2.383864905	-3.335044318
MvSl-1064-A1-R4_A1g00043	MvSl-1064-A1-R4_A1	aMAT	84266	84457	-1.035470693	2.873187307	2.873187307	0.000309935	0.006302679	-0.317737961	-0.264711569	-2.383864905	-2.38092321
MvSl-1064-A1-R4_A1g00044	MvSl-1064-A1-R4_A1	aMAT	85994	86553	-3.335044318	0	0	1	1	-3.335044318	-3.335044318	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00045	MvSl-1064-A1-R4_A1	aMAT	86916	87920	-3.164239922	2.407913679	2.407913679	0.227543641	0.78229106	-2.706608466	-3.335044318	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A1-R4_A1	aMAT	89113	90244	3.92832443	0.172102771	0.172102771	0.534414592	0.980847349	4.094645701	3.924433398	3.775752533	3.903206027
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A1-R4_A1	aMAT	90443	91903	5.044987852	0.110557208	0.110557208	0.634353076	0.998466238	4.978568695	5.210407762	4.932238242	5.043637438
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A1-R4_A1	aMAT	92386	93655	4.832744991	0.008106107	0.008106107	0.972251494	1	4.851874367	4.821588771	4.828034218	4.829393517
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A1-R4_A1	aMAT	94248	95819	5.35882515	0.016153492	0.016153492	0.942087181	1	5.366854042	5.366915838	5.484680114	5.203110879
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	aMAT	96486	99661	5.53185089	-0.303622754	0.303622754	0.309983905	0.873889816	4.754042571	5.802907325	5.531594362	5.805470564
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A1-R4_A1	aMAT	101324	106023	6.880507745	0.525665953	0.525665953	0.02645031	0.238484317	6.813883917	7.371634171	6.337211532	6.812561808
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	aMAT	106474	107890	1.183974069	-0.231820338	0.231820338	0.603288343	0.991679009	0.913969049	1.200947126	0.700752729	1.703723976
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A1-R4_A1	aMAT	108409	108819	6.630149545	0.086937993	0.086937993	0.660852671	0.998466238	6.567927461	6.770818726	6.470346311	6.693310855
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A1-R4_A1	aMAT	111120	112733	2.531118423	-0.263447421	0.263447421	0.470950822	0.968298975	2.248305456	2.525004046	2.322395303	2.921600677
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	aMAT	113646	115349	5.431271753	-0.461540001	0.461540001	0.051023846	0.36453919	5.349731713	4.992732972	5.805373051	5.45911493
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	aMAT	115614	117044	8.484337345	0.141690095	0.141690095	0.590784968	0.990162992	8.223869731	8.821525365	8.41816171	8.405397998
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A1-R4_A1	aMAT	118986	121284	4.63421981	-0.050814896	0.050814896	0.840447964	1	4.387195596	4.800051269	4.618559777	4.698739992
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A1-R4_A1	aMAT	121712	122035	0.014838576	0.958279938	0.958279938	0.06396621	0.421379057	0.101382073	0.646748176	-0.513856169	-0.416315952
MvSl-1064-A1-R4_A1g00059	MvSl-1064-A1-R4_A1	aMAT	123729	124006	3.29205983	0.002194562	0.002194562	0.994940013	1	2.855910701	3.627044342	3.231953271	3.347357513
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A1-R4_A1	aMAT	124165	124371	2.800752071	0.154276498	0.154276498	0.710477477	1	3.249685556	2.372843369	3.090283869	2.231808907
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A1-R4_A1	aMAT	125081	126633	7.097832355	0.165567412	0.165567412	0.380642438	0.923111954	7.160593022	7.195701898	6.958534924	7.065112811
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A1-R4_A1	aMAT	128311	129271	6.138386026	-0.154329734	0.154329734	0.428858763	0.95116338	6.057050718	6.061221101	6.117449688	6.303123228
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A1-R4_A1	aMAT	130054	132843	5.019021854	0.066177506	0.066177506	0.771755283	1	5.02963583	5.07349434	4.968920226	5.002422641
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A1-R4_A1	aMAT	133237	134512	8.246460993	-0.171821683	0.171821683	0.453837031	0.95937369	8.087066443	8.225572319	8.252792523	8.402826572
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A1-R4_A1	aMAT	135668	136821	7.267385608	0.258266724	0.258266724	0.18727853	0.729515565	7.443505955	7.336066062	7.113531598	7.151541132
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A1-R4_A1	aMAT	137505	140273	7.876034501	0.020730132	0.020730132	0.928960485	1	7.800002469	7.967824105	7.620596148	8.075052898
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A1-R4_A1	aMAT	141157	141857	1.448576735	-0.22057326	0.22057326	0.597239927	0.990276133	1.45929433	1.200947126	1.907991717	1.067819629
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A1-R4_A1	aMAT	142411	144606	1.108387608	-0.41189411	0.41189411	0.365377505	0.91454493	0.913969049	0.869885208	1.718245845	0.664809973
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	aMAT	145335	146902	5.989554316	-0.258130162	0.258130162	0.2496942	0.815957221	6.048822387	5.630593428	6.270495872	5.934876787
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A1-R4_A1	aMAT	149220	153705	7.262872897	0.339714922	0.339714922	0.084437412	0.494991091	7.454226278	7.390671597	7.151103377	7.01211031
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A1-R4_A1	aMAT	154349	157189	4.009263946	0.511666707	0.511666707	0.058080188	0.398294425	4.217192215	4.268200207	3.705885004	3.762175162
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A1-R4_A1	aMAT	158422	160299	7.810194483	0.106290005	0.106290005	0.674982282	0.998466238	8.134494063	7.526787055	7.927039013	7.562196774
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	160618	163050	5.07970881	-0.807759251	0.807759251	0.001720313	0.027440303	4.854574365	4.340848804	5.261080794	5.573287027
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	aMAT	165329	166779	8.726216821	0.560095324	0.560095324	0.054109124	0.379086667	8.628438925	9.261240982	8.189747008	8.617302683
MvSl-1064-A1-R4_A1g00075	MvSl-1064-A1-R4_A1	aMAT	167842	170926	-2.874523562	1.021655607	1.021655607	0.517960138	0.976550288	-2.270315873	-3.335044318	-2.782444626	-3.335044318
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A1-R4_A1	aMAT	171697	173594	7.118106382	-0.041702984	0.041702984	0.825668053	1	7.0287422	7.162329941	7.149224343	7.128260882
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A1-R4_A1	aMAT	173863	176567	6.596309029	0.050780593	0.050780593	0.796618899	1	6.527046478	6.710046599	6.440695265	6.690069765
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A1-R4_A1	aMAT	177417	178892	7.139343748	0.996162499	0.996162499	9.90E-05	0.002274141	7.325367302	7.749946565	6.157260043	6.870975335
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	5.671370686	1.652152299	1.652152299	6.82E-10	3.37E-08	6.575311894	5.892129294	4.825683182	4.392296061
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	180716	185718	5.51946194	1.371790946	1.371790946	5.84E-10	2.90E-08	6.192332744	5.88958237	4.640127441	4.719235582
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	5.644447469	2.769284262	2.769284262	2.86E-28	4.63E-26	6.652589216	6.210517991	3.865465288	3.485379516
MvSl-1064-A1-R4_A1g00083	MvSl-1064-A1-R4_A1	aMAT	187675	189438	-2.633809714	0.708859742	0.708859742	0.59731933	0.990276133	-2.706608466	-2.294435337	-3.335044318	-2.38092321
MvSl-1064-A1-R4_A1g00084	MvSl-1064-A1-R4_A1	aMAT	190478	192255	-3.011666225	3.262096889	3.262096889	0.094944539	0.526566673	-2.706608466	-2.722882557	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A1-R4_A1	aMAT	192447	192848	2.145829901	-1.345833057	1.345833057	0.001749795	0.027816112	1.245541288	1.414428113	3.082427855	2.01684749
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A1-R4_A1	aMAT	231723	233324	-2.335770629	-0.503505671	0.503505671	0.663355587	0.998466238	-2.270315873	-2.722882557	-2.782444626	-1.811583723
MvSl-1064-A1-R4_A1g00108	MvSl-1064-A1-R4_A1	aMAT	234418	236731	4.997870354	0.322379371	0.322379371	0.193515097	0.740685701	4.899717708	5.363249018	4.797167798	4.859711506
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A1-R4_A1	aMAT	238849	239016	6.535741804	0.147736271	0.147736271	0.511348946	0.975862411	6.34125557	6.832453025	6.260086412	6.635849932
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A1-R4_A1	aMAT	239159	240017	8.236788602	-0.236926152	0.236926152	0.301999352	0.868677606	8.201774477	8.0194085	8.410730305	8.287252566
MvSl-1064-A1-R4_A1g00111	MvSl-1064-A1-R4_A1	aMAT	240393	243364	-3.164539156	2.402326487	2.402326487	0.228180964	0.78229106	-3.335044318	-2.722882557	-3.335044318	-3.335044318
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A1-R4_A1	aMAT	244443	244638	7.955779317	0.07939107	0.07939107	0.723007259	1	8.160638875	7.807746143	7.93551319	7.895346208
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	5.163077168	-1.394428898	1.394428898	8.12E-10	3.95E-08	4.286815707	4.322082604	5.730690488	5.658004337
MvSl-1064-A1-R4_A1g00120	MvSl-1064-A1-R4_A1	aMAT	581878	584313	3.801429508	-0.124119411	0.124119411	0.667178284	0.998466238	3.67324765	3.799758237	4.017403106	3.686128487
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A1-R4_A1	aMAT	1162650	1164414	6.366122066	0.417063819	0.417063819	0.052317383	0.371344551	6.314049353	6.76943411	6.017992448	6.2583083
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A1-R4_A1	aMAT	2625755	2626956	7.230244948	0.274949329	0.274949329	0.208333425	0.762852129	7.47147867	7.241861657	7.285909612	6.854856529
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	5.176351671	0.913796724	0.913796724	5.76E-05	0.001390685	5.469056177	5.650286294	4.582809733	4.7166895
MvSl-1064-A1-R4_A1g00155	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	6.334820084	-0.422770556	0.422770556	0.034578649	0.288513679	5.92712639	6.268517885	6.486063382	6.573193041
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	621126	622892	7.311909142	0.805106389	0.805106389	5.05E-05	0.001244075	7.682213122	7.635665045	6.807672467	6.899879695
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A1-R4_A1	aMAT	718774	719371	3.611671985	1.468175792	1.468175792	5.63E-05	0.001362164	4.4563711	3.810569366	3.058599833	2.260060955
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A1-R4_A1	aMAT	2723676	2724484	6.231373573	-0.194308382	0.194308382	0.333179538	0.892210511	6.051178131	6.20643072	6.468086972	6.166140091
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	aMAT	2055616	2057858	6.21971349	-0.160293051	0.160293051	0.419693728	0.946931454	6.118996596	6.155398645	6.137492179	6.441387682
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A1-R4_A1	aMAT	908654	911656	8.441466911	-0.411928847	0.411928847	0.078272117	0.474059383	8.194333549	8.246872121	8.667767535	8.596680456
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A1-R4_A1	aMAT	912091	913460	7.514265783	-0.051437513	0.051437513	0.799858898	1	7.499781958	7.476759273	7.437179548	7.635467984
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	aMAT	1648933	1652928	8.656024313	0.410390028	0.410390028	0.092327219	0.520032508	8.793187265	8.898280038	8.358017	8.510743573
MvSl-1064-A1-R4_A1g00194	MvSl-1064-A1-R4_A1	aMAT	1183296	1185232	2.887023336	0.707077293	0.707077293	0.032261804	0.274298327	3.282137688	3.110439193	2.611556032	2.380765206
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	aMAT	407531	411380	5.160265853	-0.175313601	0.175313601	0.430096379	0.951535841	5.032023087	5.106768713	5.278376545	5.210368518
MvSl-1064-A1-R4_A1g00210	MvSl-1064-A1-R4_A1	aMAT	1150800	1151468	5.293355134	0.111030286	0.111030286	0.616492286	0.99717106	5.326581173	5.36874576	5.143302437	5.325130866
MvSl-1064-A1-R4_A1g00211	MvSl-1064-A1-R4_A1	aMAT	1148624	1150396	9.049191482	-0.180729752	0.180729752	0.487735494	0.972779114	8.958553971	8.953432131	9.211391435	9.057914179
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A1-R4_A1	aMAT	919803	924298	5.205182074	-1.398133307	1.398133307	4.02E-09	1.81E-07	4.515573055	4.149743475	5.807757391	5.664624441
MvSl-1064-A1-R4_A1g00241	MvSl-1064-A1-R4_A1	aMAT	1132727	1134319	7.176234832	-0.565696366	0.565696366	0.004054075	0.056094303	6.869671335	6.861985313	7.327630312	7.527752431
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	5.969746322	-0.663690525	0.663690525	0.00096565	0.01721496	5.702772816	5.489713994	6.232842434	6.292049329
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A1-R4_A1	aMAT	1116801	1118832	4.662465518	0.793067734	0.793067734	0.012350687	0.136190962	4.709994734	5.250658976	3.716075636	4.586083986
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	aMAT	616404	620052	6.779295106	-1.485756195	1.485756195	1.47E-15	1.31E-13	5.894700011	5.811005611	7.350297539	7.324963422
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A1-R4_A1	aMAT	2519820	2520678	1.427199897	3.1438493	3.1438493	7.35E-13	5.15E-11	2.198167305	2.358180513	-0.718218638	-0.607255826
MvSl-1064-A1-R4_A1g00253	MvSl-1064-A1-R4_A1	aMAT	2557552	2558488	3.544440798	-0.237744191	0.237744191	0.436045813	0.951535841	3.337229539	3.499227621	3.828369124	3.461246916
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	651956	657345	4.782713233	1.934584081	1.934584081	1.60E-12	1.08E-10	5.608347415	5.27037114	3.751186445	3.252110603
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	6.333201929	3.934941209	3.934941209	5.41E-54	2.82E-51	7.214660298	7.270529749	3.62165994	2.93918042
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	5.465855446	1.174079916	1.174079916	1.72E-07	6.11E-06	5.932247638	5.942145746	4.923469932	4.588871084
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	aMAT	713060	718328	7.897325388	-0.223473926	0.223473926	0.295932457	0.864267642	7.759158684	7.803016979	7.924020042	8.081004073
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	aMAT	679143	681507	6.131308026	-0.078907292	0.078907292	0.721597007	1	6.242670571	5.922346756	6.37226886	5.934876787
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	4.48027463	-4.244170385	4.244170385	6.34E-43	2.48E-40	1.430629743	0.95029697	5.489143706	5.298136493
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	aMAT	427406	429655	7.249418066	-0.17371938	0.17371938	0.390156953	0.930213801	7.059491443	7.253793485	7.438718774	7.220108463
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	6.865384333	0.910274597	0.910274597	6.62E-06	0.000185241	7.111209943	7.376644495	6.178604236	6.486175822
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A1-R4_A1	aMAT	1488010	1490661	8.019745537	-0.048983146	0.048983146	0.823244214	1	8.072064775	7.913700074	8.114460626	7.969935812
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	8.467531038	3.6064461	3.6064461	1.25E-35	2.80E-33	9.068023515	9.592402257	5.84769963	5.644672292
MvSl-1064-A1-R4_A1g00316	MvSl-1064-A1-R4_A1	aMAT	2058571	2059524	3.139409945	0.194319055	0.194319055	0.552061081	0.984366338	3.427037982	3.010836008	3.136542244	2.93918042
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	aMAT	1199905	1206247	4.11292074	0.091217228	0.091217228	0.730772619	1	4.165941394	4.149743475	4.025620275	4.10748552
MvSl-1064-A1-R4_A1g00328	MvSl-1064-A1-R4_A1	aMAT	3104710	3107087	3.023636425	0.096343506	0.096343506	0.794989659	1	2.732173927	3.344171097	2.589553674	3.279971658
MvSl-1064-A1-R4_A1g00349	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	10.87625212	-2.406981847	2.406981847	2.71E-10	1.43E-08	9.391409823	9.025816916	11.83127698	11.38885274
MvSl-1064-A1-R4_A1g00350	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	4.651315558	-0.896358379	0.896358379	0.000707928	0.013196402	4.062310583	4.204050614	4.74835275	5.261922088
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A1-R4_A1	aMAT	1607578	1607793	6.476625805	-0.193430826	0.193430826	0.419626414	0.946931454	6.562983424	6.162800394	6.843555777	6.231805833
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A1-R4_A1	aMAT	1593613	1594973	5.312294533	-0.137316829	0.137316829	0.566189004	0.986655743	5.058025457	5.404865046	5.19704082	5.540549941
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	aMAT	667810	671393	8.649893255	0.249796736	0.249796736	0.346563577	0.901918933	8.669651412	8.862687373	8.243575595	8.751309753
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	aMAT	248916	251783	4.000401393	0.557608338	0.557608338	0.039382437	0.314891915	4.217192215	4.287675749	3.710989318	3.686128487
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A1-R4_A1	aMAT	270179	271004	6.222280767	0.04726689	0.04726689	0.826607736	1	6.071048155	6.401390107	5.987819077	6.382369774
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A1-R4_A1	aMAT	272261	274501	7.080474529	0.090383452	0.090383452	0.641221816	0.998466238	7.008882752	7.232345138	6.97719089	7.089917906
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A1-R4_A1	aMAT	319920	320757	6.448522765	-0.011709714	0.011709714	0.950320794	1	6.441635992	6.4436727	6.499400205	6.407846616
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A1-R4_A1	aMAT	337815	342587	6.59259986	0.200781748	0.200781748	0.290120486	0.859385668	6.713348625	6.665334244	6.564295354	6.409424079
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A1-R4_A1	aMAT	342659	343448	7.356636064	-0.164322545	0.164322545	0.403563284	0.936629706	7.238112221	7.305343035	7.438334122	7.434379954
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A1-R4_A1	aMAT	343906	345432	5.663466479	-0.309391429	0.309391429	0.18752316	0.729515565	5.225910399	5.730750041	5.657228308	5.946875377
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A1-R4_A1	aMAT	357937	361103	7.780092085	-0.12440144	0.12440144	0.581844105	0.990162992	7.912464104	7.489850233	7.902708483	7.776302822
