gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	DE	DE2	haploid 
MvSl-1064-A1-R4_MC01-1g02839	Auto	Auto	1	1	0	0	0	2	2	0	3	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00014	bPAR	bPAR	0	0	0	0	0	0	1	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00079	bPAR	bPAR	0	0	0	0	0	0	0	1	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-2g02971	Auto	Auto	1	0	0	3	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02161	Auto	Auto	0	0	0	0	0	0	0	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g11273	Auto	Auto	0	2	0	0	0	2	1	2	3	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10688	Auto	Auto	0	0	2	0	0	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04474	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g07984	Auto	Auto	1	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02005	Auto	Auto	0	0	0	0	0	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09785	Auto	Auto	0	3	0	4	2	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10303	Auto	Auto	0	0	2	2	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04929	Auto	Auto	0	0	0	0	0	2	0	1	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC09-2g09215	Auto	Auto	1	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02899	Auto	Auto	4	0	2	5	3	4	3	7	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00646	Black	OldStrata	0	0	0	0	0	0	1	2	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02724	Auto	Auto	0	0	0	0	0	0	1	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00853	Purple	OldStrata	0	2	2	2	3	0	2	0	4	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g04246	Auto	Auto	0	1	1	0	0	1	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07081	Auto	Auto	3	3	3	1	2	5	1	3	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-2g06485	Auto	Auto	0	0	0	2	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07136	Auto	Auto	0	0	0	0	4	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g08097	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00168	Black	OldStrata	0	0	0	0	0	1	0	0	6	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00635	Black	OldStrata	0	0	4	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g06972	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09814	Auto	Auto	0	0	0	0	0	4	0	2	1	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00080	bPAR	bPAR	0	0	0	0	0	0	1	1	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC09-2g09580	Auto	Auto	3	1	1	1	2	1	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06520	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01174	Black	OldStrata	0	0	2	0	0	0	0	1	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06511	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g01699	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC18g12256	Auto	Auto	0	0	0	0	0	3	0	1	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10236	Auto	Auto	1	1	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00644	Black	OldStrata	0	0	0	0	4	0	0	0	3	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g11205	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04840	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00626	Black	OldStrata	0	0	1	0	1	3	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g05154	Auto	Auto	0	1	0	0	0	0	2	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06513	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-2g03113	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10594	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00270	Black	OldStrata	0	0	0	1	1	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC08g08647	Auto	Auto	1	3	3	0	0	1	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05504	Auto	Auto	2	0	0	0	0	0	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06515	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-2g10098	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09620	Auto	Auto	0	6	2	1	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06514	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10722	Auto	Auto	0	0	1	0	0	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07140	Auto	Auto	0	0	0	0	0	0	0	3	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06731	Auto	Auto	1	0	0	0	0	3	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02359	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC08g08437	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00400	Red	ColorStrata	0	0	0	0	0	0	0	0	2	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g05159	Auto	Auto	0	2	0	0	1	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g08057	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04642	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02008	Auto	Auto	0	2	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06518	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05744	Auto	Auto	6	2	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06707	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06517	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02180	Auto	Auto	0	0	3	2	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g06896	Auto	Auto	0	0	1	0	0	0	2	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04915	Auto	Auto	4	5	0	2	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04895	Auto	Auto	4	0	0	0	0	0	1	2	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02603	Auto	Auto	0	0	0	1	0	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00078	bPAR	bPAR	0	0	0	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02267	Auto	Auto	1	0	0	5	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC13g11645	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g05141	Auto	Auto	3	4	0	0	0	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06519	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00516	Black	OldStrata	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01384	Black	OldStrata	0	0	0	1	0	3	0	2	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10214	Auto	Auto	0	3	0	0	0	0	2	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g10989	Auto	Auto	0	1	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01494	bPAR	bPAR	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02849	Auto	Auto	0	3	1	1	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00154	Black	OldStrata	0	0	0	0	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00292	Black	OldStrata	0	2	0	1	0	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02838	Auto	Auto	2	0	0	0	0	0	2	2	3	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02009	Auto	Auto	0	2	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10585	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g11233	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02299	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01253	Black	OldStrata	0	0	1	0	3	6	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g05043	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03664	Auto	Auto	0	4	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05945	Auto	Auto	0	0	0	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g07855	Auto	Auto	0	2	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04747	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-2g06483	Auto	Auto	0	2	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g03224	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g08138	Auto	Auto	0	0	0	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC07g08104	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC03g04352	Auto	Auto	0	2	1	3	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g10776	Auto	Auto	2	0	0	0	0	1	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	0	0	0	0	0	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05865	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g04181	Auto	Auto	0	0	0	0	2	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05729	Auto	Auto	0	0	0	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC06g07298	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01164	Black	OldStrata	0	0	0	1	0	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-1g09718	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC15g12029	Auto	Auto	0	0	0	0	0	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-2g03112	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-3g06516	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC08g08768	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g10761	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC02g04171	Auto	Auto	0	0	0	0	0	2	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	0	0	1	0	1	3	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02848	Auto	Auto	0	3	1	1	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC09-2g09340	Auto	Auto	0	0	0	0	2	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g02351	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-1g06149	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC11g10344	Auto	Auto	0	0	0	0	0	3	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05310	Auto	Auto	0	0	0	1	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC04-1g05441	Auto	Auto	0	0	0	0	4	0	1	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC09-2g09142	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC08g08840	Auto	Auto	5	0	0	0	0	0	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC13g11330	Auto	Auto	1	0	1	1	0	2	0	1	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC14g11748	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC05-2g06394	Auto	Auto	1	1	0	0	0	0	0	0	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC01-1g01952	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC10-2g10026	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	0	0	0	0	1	0	1	3	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC09-2g09201	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_A1g00958	Black	OldStrata	0	0	2	0	1	3	1	1	1	Down	MoreTE	A1
MvSl-1064-A1-R4_MC12g10944	Auto	Auto	0	0	0	0	0	0	0	0	0	Down	MoreTE	A1
MvSl-1064-A1-R4_MC13g11616	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC01-2g03077	Auto	Auto	0	0	0	5	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC04-1g05493	Auto	Auto	0	0	0	1	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC09-2g09242	Auto	Auto	1	0	0	0	0	1	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC09-2g09524	Auto	Auto	0	0	0	0	0	0	0	0	1	Up	LessTE	A1
MvSl-1064-A1-R4_MC14g11805	Auto	Auto	0	0	0	0	0	1	3	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC08g08595	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC05-3g06742	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC04-1g05323	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_A1g00648	Black	OldStrata	0	0	0	0	0	1	2	2	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC10-2g09967	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC03g05260	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC10-2g09992	Auto	Auto	5	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC09-2g09527	Auto	Auto	0	0	0	0	0	0	0	1	0	Up	LessTE	A1
MvSl-1064-A1-R4_A1g00242	Black	OldStrata	0	3	0	5	0	0	2	1	3	Up	LessTE	A1
MvSl-1064-A1-R4_A1g00779	Black	OldStrata	0	0	0	1	0	3	3	0	2	Up	LessTE	A1
MvSl-1064-A1-R4_MC01-1g02647	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC11g10335	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC01-1g01917	Auto	Auto	3	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC13g11443	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC02g03374	Auto	Auto	3	1	3	0	5	2	2	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC11g10517	Auto	Auto	0	2	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC07g07868	Auto	Auto	0	0	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC07g07597	Auto	Auto	0	0	0	1	0	0	0	0	5	Up	LessTE	A1
MvSl-1064-A1-R4_MC05-3g06591	Auto	Auto	0	0	0	0	0	0	0	1	3	Up	LessTE	A1
MvSl-1064-A1-R4_MC01-2g03144	Auto	Auto	0	2	0	0	0	0	0	0	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC01-1g02258	Auto	Auto	2	0	0	0	0	5	0	0	1	Up	LessTE	A1
MvSl-1064-A1-R4_MC01-1g02545	Auto	Auto	0	0	0	0	0	0	3	2	0	Up	LessTE	A1
MvSl-1064-A1-R4_MC11g10232	Auto	Auto	0	0	0	0	0	1	0	1	0	Up	LessTE	A1
