gene	location	chr	start	end	log2FC
MvSl-1064-A1-R4_A1g00515	MvSl-1064-A1-R4_A1	aMAT	1984288	1990725	0.654352689684475
MvSl-1064-A1-R4_A1g00517	MvSl-1064-A1-R4_A1	aMAT	2625755	2626956	-0.533503451979998
MvSl-1064-A1-R4_A1g00518	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	0.322480626672117
MvSl-1064-A1-R4_A1g00519	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	0.329453209135033
MvSl-1064-A1-R4_A1g00520	MvSl-1064-A1-R4_A1	aMAT	2709667	2711246	0.210251201015469
MvSl-1064-A1-R4_A1g00521	MvSl-1064-A1-R4_A1	aMAT	2723676	2724484	0.294232959287171
MvSl-1064-A1-R4_A1g00525	MvSl-1064-A1-R4_A1	aMAT	1300472	1304579	0.428603192047263
MvSl-1064-A1-R4_A1g00527	MvSl-1064-A1-R4_A1	aMAT	1278622	1279107	0.581882016632099
MvSl-1064-A1-R4_A1g00528	MvSl-1064-A1-R4_A1	aMAT	3162864	3163091	-0.174837031690773
MvSl-1064-A1-R4_A1g00530	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	0.00686639934135971
MvSl-1064-A1-R4_A1g00532	MvSl-1064-A1-R4_A1	aMAT	3096186	3097883	0.189104915574362
MvSl-1064-A1-R4_A1g00533	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	-0.341645499885068
MvSl-1064-A1-R4_A1g00534	MvSl-1064-A1-R4_A1	aMAT	1199905	1206247	0.347983004300663
MvSl-1064-A1-R4_A1g00541	MvSl-1064-A1-R4_A1	aMAT	1207176	1208666	0.128964275192438
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A1-R4_A1	aMAT	1209281	1212345	-0.323479208980968
MvSl-1064-A1-R4_A1g00543	MvSl-1064-A1-R4_A1	aMAT	1213232	1215281	-0.0525554320081037
MvSl-1064-A1-R4_A1g00544	MvSl-1064-A1-R4_A1	aMAT	1274366	1278155	-0.0867767274591289
MvSl-1064-A1-R4_A1g00575	MvSl-1064-A1-R4_A1	aMAT	924447	925599	0.421916293856135
MvSl-1064-A1-R4_A1g00593	MvSl-1064-A1-R4_A1	aMAT	542621	544478	-0.0331574306307314
MvSl-1064-A1-R4_A1g00645	MvSl-1064-A1-R4_A1	aMAT	2791731	2799682	0.00262413055457307
MvSl-1064-A1-R4_A1g00669	MvSl-1064-A1-R4_A1	aMAT	1386243	1386532	0.154053322487201
MvSl-1064-A1-R4_A1g00693	MvSl-1064-A1-R4_A1	aMAT	1539659	1541133	0.0125228498026728
MvSl-1064-A1-R4_A1g00694	MvSl-1064-A1-R4_A1	aMAT	1526188	1527713	-0.197895490406907
MvSl-1064-A1-R4_A1g00726	MvSl-1064-A1-R4_A1	aMAT	547576	548488	0.31161577323386
MvSl-1064-A1-R4_A1g00732	MvSl-1064-A1-R4_A1	aMAT	2238742	2239464	0.418964567530459
MvSl-1064-A1-R4_A1g00749	MvSl-1064-A1-R4_A1	aMAT	1054963	1057437	0.496680815425074
MvSl-1064-A1-R4_A1g00750	MvSl-1064-A1-R4_A1	aMAT	998707	1000561	-0.0123117063719707
MvSl-1064-A1-R4_A1g00751	MvSl-1064-A1-R4_A1	aMAT	985209	987129	0.330966011198294
MvSl-1064-A1-R4_A1g00757	MvSl-1064-A1-R4_A1	aMAT	928859	929481	0.227771881506307
MvSl-1064-A1-R4_A1g00772	MvSl-1064-A1-R4_A1	aMAT	411533	413382	0.408200650259874
MvSl-1064-A1-R4_A1g00778	MvSl-1064-A1-R4_A1	aMAT	790625	795162	-0.38590472972079
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A1-R4_A1	aMAT	795631	796542	-0.654128400582474
MvSl-1064-A1-R4_A1g00794	MvSl-1064-A1-R4_A1	aMAT	3044289	3046699	-0.0169019637212085
MvSl-1064-A1-R4_A1g00801	MvSl-1064-A1-R4_A1	aMAT	527848	528105	0.0315014499007696
MvSl-1064-A1-R4_A1g00832	MvSl-1064-A1-R4_A1	aMAT	3195577	3196417	-0.101008858754439
MvSl-1064-A1-R4_A1g00840	MvSl-1064-A1-R4_A1	aMAT	3189050	3195319	-0.270688656685733
MvSl-1064-A1-R4_A1g00842	MvSl-1064-A1-R4_A1	aMAT	1400757	1402594	0.358832298449866
MvSl-1064-A1-R4_A1g00843	MvSl-1064-A1-R4_A1	aMAT	1437496	1440368	0.646969294654539
MvSl-1064-A1-R4_A1g00845	MvSl-1064-A1-R4_A1	aMAT	1645733	1648754	-0.0382603242771106
MvSl-1064-A1-R4_A1g00869	MvSl-1064-A1-R4_A1	aMAT	834376	836308	0.783136283315317
MvSl-1064-A1-R4_A1g00886	MvSl-1064-A1-R4_A1	aMAT	2593478	2595807	-0.728654195599335
MvSl-1064-A1-R4_A1g00911	MvSl-1064-A1-R4_A1	aMAT	3038018	3044084	0.220741494733949
MvSl-1064-A1-R4_A1g00912	MvSl-1064-A1-R4_A1	aMAT	3035765	3037588	0.202295332638458
MvSl-1064-A1-R4_A1g00921	MvSl-1064-A1-R4_A1	aMAT	3017616	3018135	-0.141311490183061
MvSl-1064-A1-R4_A1g00922	MvSl-1064-A1-R4_A1	aMAT	3033187	3035601	-0.258848305795529
MvSl-1064-A1-R4_A1g00957	MvSl-1064-A1-R4_A1	aMAT	1796095	1800988	-0.331606852239387
MvSl-1064-A1-R4_A1g00958	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	0.559962839633071
MvSl-1064-A1-R4_A1g00960	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	0.0164973059576573
MvSl-1064-A1-R4_A1g00968	MvSl-1064-A1-R4_A1	aMAT	1965456	1966246	0.0750828047584943
MvSl-1064-A1-R4_A1g00971	MvSl-1064-A1-R4_A1	aMAT	2097615	2099010	0.545396326890647
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A1-R4_A1	aMAT	2998043	3000087	0.509087203165349
MvSl-1064-A1-R4_A1g00998	MvSl-1064-A1-R4_A1	aMAT	1792754	1794128	-0.36983637000738
MvSl-1064-A1-R4_A1g01017	MvSl-1064-A1-R4_A1	aMAT	2082576	2084202	0.258676241305112
MvSl-1064-A1-R4_A1g01127	MvSl-1064-A1-R4_A1	aMAT	2854025	2856120	-0.896398973558561
MvSl-1064-A1-R4_A1g01129	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	0.370505649507511
MvSl-1064-A1-R4_A1g01154	MvSl-1064-A1-R4_A1	aMAT	1166037	1167381	0.0722840500311432
MvSl-1064-A1-R4_A1g01159	MvSl-1064-A1-R4_A1	aMAT	1172917	1174722	-0.337264476717181
MvSl-1064-A1-R4_A1g01160	MvSl-1064-A1-R4_A1	aMAT	1174940	1175619	-0.323252528088729
MvSl-1064-A1-R4_A1g01161	MvSl-1064-A1-R4_A1	aMAT	1176446	1176679	0.274503856702017
MvSl-1064-A1-R4_A1g01173	MvSl-1064-A1-R4_A1	aMAT	2516666	2518918	-0.243338540920098
MvSl-1064-A1-R4_A1g01184	MvSl-1064-A1-R4_A1	aMAT	2141875	2142896	-0.485461094426326
MvSl-1064-A1-R4_A1g01189	MvSl-1064-A1-R4_A1	aMAT	904475	905581	-0.517444208355676
MvSl-1064-A1-R4_A1g01219	MvSl-1064-A1-R4_A1	aMAT	2503758	2506154	0.90240438609968
MvSl-1064-A1-R4_A1g01227	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	0.282165255986778
MvSl-1064-A1-R4_A1g01228	MvSl-1064-A1-R4_A1	aMAT	2775123	2776609	-0.117342920769189
MvSl-1064-A1-R4_A1g01252	MvSl-1064-A1-R4_A1	aMAT	471540	472718	-0.196291943303698
MvSl-1064-A1-R4_A1g01271	MvSl-1064-A1-R4_A1	aMAT	2557552	2558488	0.50272432454752
MvSl-1064-A1-R4_A1g01272	MvSl-1064-A1-R4_A1	aMAT	2568240	2569874	-0.12717276984101
MvSl-1064-A1-R4_A1g01290	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	-0.0864691264978293
MvSl-1064-A1-R4_A1g01348	MvSl-1064-A1-R4_A1	aMAT	2817417	2818269	-0.153025609346111
MvSl-1064-A1-R4_A1g01350	MvSl-1064-A1-R4_A1	aMAT	2835849	2836868	0.145950771156084
MvSl-1064-A1-R4_A1g01351	MvSl-1064-A1-R4_A1	aMAT	2851861	2852673	0.0698214153422044
MvSl-1064-A1-R4_A1g01366	MvSl-1064-A1-R4_A1	aMAT	1151741	1153580	0.0716358126680046
MvSl-1064-A1-R4_A1g01367	MvSl-1064-A1-R4_A1	aMAT	1150800	1151468	-0.360021701180448
MvSl-1064-A1-R4_A1g01368	MvSl-1064-A1-R4_A1	aMAT	1148624	1150396	0.20062964817019
MvSl-1064-A1-R4_A1g01369	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	-0.615115419443242
MvSl-1064-A1-R4_A1g01385	MvSl-1064-A1-R4_A1	aMAT	1745782	1746129	-0.108222876826289
MvSl-1064-A1-R4_A1g01388	MvSl-1064-A1-R4_A1	aMAT	468377	470856	-0.405275717499041
MvSl-1064-A1-R4_A1g01392	MvSl-1064-A1-R4_A1	aMAT	357937	361103	0.221441848212345
MvSl-1064-A1-R4_A1g01406	MvSl-1064-A1-R4_A1	aMAT	2500697	2501425	0.843617030265832
MvSl-1064-A1-R4_A1g01407	MvSl-1064-A1-R4_A1	aMAT	2246376	2250905	0.376756806817499
MvSl-1064-A1-R4_A1g01415	MvSl-1064-A1-R4_A1	aMAT	406221	406733	-0.393851400105058
MvSl-1064-A1-R4_A1g01418	MvSl-1064-A1-R4_A1	aMAT	1131484	1132443	0.285774401538263
MvSl-1064-A1-R4_A1g01431	MvSl-1064-A1-R4_A1	aMAT	1769429	1769832	-0.0596902112969284
MvSl-1064-A1-R4_A1g01440	MvSl-1064-A1-R4_A1	aMAT	3215913	3218813	-0.0419390925635126
MvSl-1064-A1-R4_A1g01441	MvSl-1064-A1-R4_A1	aMAT	3219240	3221354	0.0383086349278671
MvSl-1064-A1-R4_A1g01444	MvSl-1064-A1-R4_A1	aMAT	3224048	3225965	-0.0632067319986562
MvSl-1064-A1-R4_A1g01445	MvSl-1064-A1-R4_A1	aMAT	3226394	3229199	-0.0365020148488166
MvSl-1064-A1-R4_A1g01447	MvSl-1064-A1-R4_A1	aMAT	3231159	3234807	-0.141031684000185
MvSl-1064-A1-R4_A1g01448	MvSl-1064-A1-R4_A1	aMAT	3236479	3237729	-0.0376482548759038
MvSl-1064-A1-R4_A1g01450	MvSl-1064-A1-R4_A1	aMAT	3239229	3242046	-0.140798154751891
MvSl-1064-A1-R4_A1g01451	MvSl-1064-A1-R4_A1	aMAT	3242237	3243945	0.00399082915125898
MvSl-1064-A1-R4_A1g01453	MvSl-1064-A1-R4_A1	aMAT	3245830	3247989	-0.485091207971924
MvSl-1064-A1-R4_A1g01454	MvSl-1064-A1-R4_A1	aMAT	3248498	3249284	0.16478745157054
MvSl-1064-A1-R4_A1g01456	MvSl-1064-A1-R4_A1	aMAT	3249927	3250459	0.347804662488141
MvSl-1064-A1-R4_A1g01458	MvSl-1064-A1-R4_A1	aMAT	3251205	3254042	0.112703934419169
MvSl-1064-A1-R4_A1g01460	MvSl-1064-A1-R4_A1	aMAT	3259899	3261228	-0.108500821663793
MvSl-1064-A1-R4_A1g01461	MvSl-1064-A1-R4_A1	aMAT	3261448	3262668	0.00737838487276538
MvSl-1064-A1-R4_A1g01462	MvSl-1064-A1-R4_A1	aMAT	3263169	3264801	0.261111031368894
MvSl-1064-A1-R4_A1g01465	MvSl-1064-A1-R4_A1	aMAT	3270671	3271230	0.549349498797049
MvSl-1064-A1-R4_A1g01467	MvSl-1064-A1-R4_A1	aMAT	3277429	3279145	-0.0673441127114442
MvSl-1064-A1-R4_A1g01468	MvSl-1064-A1-R4_A1	aMAT	3279617	3281427	-0.223213305882832
MvSl-1064-A1-R4_A1g01469	MvSl-1064-A1-R4_A1	aMAT	3282569	3282769	-0.012777942117294
MvSl-1064-A1-R4_A1g01470	MvSl-1064-A1-R4_A1	aMAT	3284420	3286879	0.198377479950982
MvSl-1064-A1-R4_A1g01471	MvSl-1064-A1-R4_A1	aMAT	3289330	3291290	0.0133834416404223
MvSl-1064-A1-R4_A1g01472	MvSl-1064-A1-R4_A1	aMAT	3291750	3292872	0.0801603597080558
MvSl-1064-A1-R4_A1g01473	MvSl-1064-A1-R4_A1	aMAT	3293435	3294595	-0.0673371259188746
MvSl-1064-A1-R4_A1g01474	MvSl-1064-A1-R4_A1	aMAT	3296413	3296999	-0.175437614491989
MvSl-1064-A1-R4_A1g01476	MvSl-1064-A1-R4_A1	aMAT	3299543	3301627	-0.162510547928055
MvSl-1064-A1-R4_A1g01477	MvSl-1064-A1-R4_A1	aMAT	3302338	3304876	0.0910243299635147
MvSl-1064-A1-R4_A1g01478	MvSl-1064-A1-R4_A1	aMAT	3306303	3307087	0.620669911659167
MvSl-1064-A1-R4_A1g01479	MvSl-1064-A1-R4_A1	aMAT	3307916	3308481	0.538807867098644
MvSl-1064-A1-R4_A1g01481	MvSl-1064-A1-R4_A1	aMAT	3309866	3311402	0.0103076568641589
MvSl-1064-A1-R4_A1g01484	MvSl-1064-A1-R4_A1	aMAT	3316489	3317553	1.09768381665265
MvSl-1064-A1-R4_A1g01485	MvSl-1064-A1-R4_A1	aMAT	3318298	3320270	0.200082739656739
MvSl-1064-A1-R4_A1g01486	MvSl-1064-A1-R4_A1	aMAT	3320827	3323669	-0.281833757463826
MvSl-1064-A1-R4_A1g01487	MvSl-1064-A1-R4_A1	aMAT	3323907	3326513	0.54463488291319
MvSl-1064-A1-R4_A1g01488	MvSl-1064-A1-R4_A1	aMAT	3327895	3332234	-0.514368775803522
MvSl-1064-A1-R4_A1g01489	MvSl-1064-A1-R4_A1	aMAT	3332557	3333382	-0.0518835845915134
MvSl-1064-A1-R4_A1g01494	MvSl-1064-A1-R4_A1	aMAT	3345781	3348549	-0.0777954107790991
MvSl-1064-A1-R4_A1g01495	MvSl-1064-A1-R4_A1	aMAT	3349202	3350492	-0.202284898815349
MvSl-1064-A1-R4_A1g01497	MvSl-1064-A1-R4_A1	aMAT	3352840	3353961	-0.217250175879593
MvSl-1064-A1-R4_A1g01498	MvSl-1064-A1-R4_A1	aMAT	3354193	3355369	-0.0687535098019596
MvSl-1064-A1-R4_A1g01500	MvSl-1064-A1-R4_A1	aMAT	3362914	3366464	0.066253855666206
