gene	perc	gid	chr	lqqogCPM	logFC.A1.A2	FDR.A1.A2
MvSl-1064-A1-R4_A1g00056	100.000	MvSl-1064-A1-R4_A1g00056	aMAT	8.46229616696835	0.138986425015022	0.999958419202852
MvSl-1064-A1-R4_A1g00057	100.000	MvSl-1064-A1-R4_A1g00057	aMAT	4.60991081863831	-0.0544388801445056	0.999958419202852
MvSl-1064-A1-R4_A1g00058	100.000	MvSl-1064-A1-R4_A1g00058	aMAT	0.766828495407648	0.34834027490337	0.999958419202852
MvSl-1064-A1-R4_A1g00059	100.000	MvSl-1064-A1-R4_A1g00059	aMAT	3.26646673233022	0.00734310070384613	0.999958419202852
MvSl-1064-A1-R4_A1g00060	100.000	MvSl-1064-A1-R4_A1g00060	aMAT	2.84736331402482	0.159124155901782	0.999958419202852
MvSl-1064-A1-R4_A1g00061	100.000	MvSl-1064-A1-R4_A1g00061	aMAT	7.07444648833496	0.162009487585316	0.986847619595283
MvSl-1064-A1-R4_A1g00062	100.000	MvSl-1064-A1-R4_A1g00062	aMAT	6.07751075601863	-0.149956868748848	0.999958419202852
MvSl-1064-A1-R4_A1g00063	100.000	MvSl-1064-A1-R4_A1g00063	aMAT	5.00620036605893	0.0619045482440714	0.999958419202852
MvSl-1064-A1-R4_A1g00064	100.000	MvSl-1064-A1-R4_A1g00064	aMAT	8.22453876254922	-0.174246288694909	0.999958419202852
MvSl-1064-A1-R4_A1g00065	100.000	MvSl-1064-A1-R4_A1g00065	aMAT	7.24524993135204	0.256054292225132	0.822268879271857
MvSl-1064-A1-R4_A1g00066	100.000	MvSl-1064-A1-R4_A1g00066	aMAT	8.00034823296385	0.0315934112653318	0.999958419202852
MvSl-1064-A1-R4_A1g00067	100.000	MvSl-1064-A1-R4_A1g00067	aMAT	1.42691873903616	-0.223086763307051	0.999958419202852
MvSl-1064-A1-R4_A1g00068	100.000	MvSl-1064-A1-R4_A1g00068	aMAT	1.09544454323403	-0.392762524974695	0.999958419202852
MvSl-1064-A1-R4_A1g00069	100.000	MvSl-1064-A1-R4_A1g00069	aMAT	5.96752455596967	-0.260923672475478	0.890868542482603
MvSl-1064-A1-R4_A1g00070	100.000	MvSl-1064-A1-R4_A1g00070	aMAT	7.2396548260221	0.338336875142065	0.601406989816305
MvSl-1064-A1-R4_A1g00071	100.000	MvSl-1064-A1-R4_A1g00071	aMAT	3.9984799550146	0.520825110580756	0.502085314805065
MvSl-1064-A1-R4_A1g00072	100.000	MvSl-1064-A1-R4_A1g00072	aMAT	7.79152110105699	0.103669735356542	0.999958419202852
MvSl-1064-A1-R4_A1g00073	100.000	MvSl-1064-A1-R4_A1g00073	aMAT	5.05819666318866	-0.809919470236329	0.0497620419016892
MvSl-1064-A1-R4_A1g00074	100.000	MvSl-1064-A1-R4_A1g00074	aMAT	8.73344038897239	0.569611228968345	0.460354433588413
MvSl-1064-A1-R4_A1g00076	100.000	MvSl-1064-A1-R4_A1g00076	aMAT	7.09495254314587	-0.0429677151778728	0.999958419202852
MvSl-1064-A1-R4_A1g00077	99.348	MvSl-1064-A1-R4_A1g00077	aMAT	6.573761794994	0.0499289039924081	0.999958419202852
MvSl-1064-A1-R4_A1g00078	100.000	MvSl-1064-A1-R4_A1g00078	aMAT	7.11566473408918	0.994579565995959	0.00397020148602942
MvSl-1064-A1-R4_A1g00079	100.000	MvSl-1064-A1-R4_A1g00079	aMAT	5.64428735711557	1.64719802954929	7.95667880543292e-08
MvSl-1064-A1-R4_A1g00080	98.675	MvSl-1064-A1-R4_A1g00080	aMAT	5.5144551003074	1.36180363566686	8.67213076302195e-08
MvSl-1064-A1-R4_A1g00081	98.072	MvSl-1064-A1-R4_A1g00081	aMAT	5.51284121082702	2.86252310336993	8.16958068934906e-26
MvSl-1064-A1-R4_A1g00106	99.336	MvSl-1064-A1-R4_A1g00106	aMAT	1.27448876174355	-0.635472111346173	0.707465373225716
MvSl-1064-A1-R4_A1g00107	99.324	MvSl-1064-A1-R4_A1g00107	aMAT	1.20679886961333	2.47124817063347	3.52200752654611e-06
MvSl-1064-A1-R4_A1g00108	100.000	MvSl-1064-A1-R4_A1g00108	aMAT	4.96553881697502	0.321456545220364	0.836808331178939
MvSl-1064-A1-R4_A1g00109	98.319	MvSl-1064-A1-R4_A1g00109	aMAT	7.02431044172676	0.203157286403178	0.976804263822725
MvSl-1064-A1-R4_A1g00110	99.766	MvSl-1064-A1-R4_A1g00110	aMAT	8.21583629929683	-0.239746971263684	0.940149944012569
MvSl-1064-A1-R4_A1g00112	100.000	MvSl-1064-A1-R4_A1g00112	aMAT	3.03387517965838	-1.25286845349048	0.0159814522741522
MvSl-1064-A1-R4_A1g00113	99.666	MvSl-1064-A1-R4_A1g00113	aMAT	7.93285114093236	0.0782260363949858	0.999958419202852
MvSl-1064-A1-R4_A1g00118	90.987	MvSl-1064-A1-R4_A1g00118	aMAT	4.29904453006157	-0.64084164827163	0.21762443173323
MvSl-1064-A1-R4_A1g00144	93.125	MvSl-1064-A1-R4_A1g00144	aMAT	6.63220599639719	0.362255569297193	0.608315059288994
MvSl-1064-A1-R4_A1g00153	95.193	MvSl-1064-A1-R4_A1g00153	aMAT	7.85790723374955	0.23245883500989	0.941690387543478
MvSl-1064-A1-R4_A1g00154	97.273	MvSl-1064-A1-R4_A1g00154	aMAT	4.89918471183251	1.19990710717855	4.57335036937718e-05
MvSl-1064-A1-R4_A1g00155	96.654	MvSl-1064-A1-R4_A1g00155	aMAT	6.31348787752844	-0.424687392549616	0.354405552223499
MvSl-1064-A1-R4_A1g00163	97.468	MvSl-1064-A1-R4_A1g00163	aMAT	1.64038219865471	2.30698618271007	1.78241673517113e-06
MvSl-1064-A1-R4_A1g00165	96.637	MvSl-1064-A1-R4_A1g00165	aMAT	7.5965774334827	0.648642331575889	0.0399646583093915
MvSl-1064-A1-R4_A1g00175	80.993	MvSl-1064-A1-R4_A1g00175	aMAT	7.13997832886159	0.179277962694838	0.979464615686792
MvSl-1064-A1-R4_A1g00184	100.000	MvSl-1064-A1-R4_A1g00184	aMAT	6.20147273586889	-0.151634744551154	0.999958419202852
MvSl-1064-A1-R4_A1g00185	97.408	MvSl-1064-A1-R4_A1g00185	aMAT	8.40514347315844	-0.391179053007992	0.621441974827841
MvSl-1064-A1-R4_A1g00186	98.222	MvSl-1064-A1-R4_A1g00186	aMAT	7.49322508666527	-0.0526255620726509	0.999958419202852
MvSl-1064-A1-R4_A1g00193	96.627	MvSl-1064-A1-R4_A1g00193	aMAT	8.52910746150248	0.702608646516834	0.0762080797978445
MvSl-1064-A1-R4_A1g00209	90.641	MvSl-1064-A1-R4_A1g00209	aMAT	5.78361689553945	1.27524512195404	1.07811831596651e-07
MvSl-1064-A1-R4_A1g00210	100.000	MvSl-1064-A1-R4_A1g00210	aMAT	5.27932070363116	0.0943747426712621	0.999958419202852
MvSl-1064-A1-R4_A1g00211	98.912	MvSl-1064-A1-R4_A1g00211	aMAT	9.02508300903538	-0.182895244327894	0.999958419202852
MvSl-1064-A1-R4_A1g00215	98.182	MvSl-1064-A1-R4_A1g00215	aMAT	3.20684854853181	0.696380718631182	0.29307148821213
MvSl-1064-A1-R4_A1g00240	81.520	MvSl-1064-A1-R4_A1g00240	aMAT	4.65386926577082	0.497981280881755	0.531593845438264
MvSl-1064-A1-R4_A1g00241	95.954	MvSl-1064-A1-R4_A1g00241	aMAT	7.57484976603621	-0.662073360720249	0.0311289132622566
MvSl-1064-A1-R4_A1g00242	97.906	MvSl-1064-A1-R4_A1g00242	aMAT	5.62910496396781	-0.639026402783558	0.0497374429948889
MvSl-1064-A1-R4_A1g00245	97.872	MvSl-1064-A1-R4_A1g00245	aMAT	4.56991720347614	0.822763866243135	0.177739450420678
MvSl-1064-A1-R4_A1g00246	98.837	MvSl-1064-A1-R4_A1g00246	aMAT	6.34990364059913	-0.870177676132714	0.00016678047750142
MvSl-1064-A1-R4_A1g00254	96.231	MvSl-1064-A1-R4_A1g00254	aMAT	4.77927462166404	1.93412253005848	2.81718658571296e-10
MvSl-1064-A1-R4_A1g00270	97.105	MvSl-1064-A1-R4_A1g00270	aMAT	5.52377076684924	1.14658198215634	2.22850462349984e-05
MvSl-1064-A1-R4_A1g00280	97.551	MvSl-1064-A1-R4_A1g00280	aMAT	7.8743449127228	-0.22568415278769	0.934316152201256
MvSl-1064-A1-R4_A1g00281	96.858	MvSl-1064-A1-R4_A1g00281	aMAT	6.40762096639829	-0.0660727455606182	0.999958419202852
MvSl-1064-A1-R4_A1g00290	97.495	MvSl-1064-A1-R4_A1g00290	aMAT	7.22979762008248	-0.171909394471142	0.992710750292431
MvSl-1064-A1-R4_A1g00292	96.709	MvSl-1064-A1-R4_A1g00292	aMAT	6.84281317482457	0.909844551093575	0.000296534187250124
MvSl-1064-A1-R4_A1g00307	92.701	MvSl-1064-A1-R4_A1g00307	aMAT	6.56019753803128	0.482989826472117	0.203878151817698
MvSl-1064-A1-R4_A1g00311	97.198	MvSl-1064-A1-R4_A1g00311	aMAT	8.28851538878555	-0.0242417878231174	0.999958419202852
MvSl-1064-A1-R4_A1g00312	93.671	MvSl-1064-A1-R4_A1g00312	aMAT	8.46395048836884	3.50629370671791	1.31741847342085e-31
MvSl-1064-A1-R4_A1g00326	89.286	MvSl-1064-A1-R4_A1g00326	aMAT	4.17920072782698	-12.5204325936974	3.75386552371612e-68
MvSl-1064-A1-R4_A1g00327	90.698	MvSl-1064-A1-R4_A1g00327	aMAT	4.1871432447203	0.0928509867297093	0.999958419202852
MvSl-1064-A1-R4_A1g00351	94.950	MvSl-1064-A1-R4_A1g00351	aMAT	8.57512094173885	-0.242191733239139	0.945084765505755
MvSl-1064-A1-R4_A1g00352	95.057	MvSl-1064-A1-R4_A1g00352	aMAT	5.59988839266567	-0.189240510620396	0.988867199848635
MvSl-1064-A1-R4_A1g00359	98.529	MvSl-1064-A1-R4_A1g00359	aMAT	8.61896543058111	0.268073831225764	0.945084765505755
MvSl-1064-A1-R4_A1g00367	95.318	MvSl-1064-A1-R4_A1g00367	aMAT	3.97930360922546	0.553171469978447	0.436857924928601
MvSl-1064-A1-R4_A1g00368	99.750	MvSl-1064-A1-R4_A1g00368	aMAT	6.1986154943338	0.0476311594610428	0.999958419202852
MvSl-1064-A1-R4_A1g00369	99.846	MvSl-1064-A1-R4_A1g00369	aMAT	7.0569794199464	0.0880198089677822	0.999958419202852
MvSl-1064-A1-R4_A1g00370	98.968	MvSl-1064-A1-R4_A1g00370	aMAT	6.9882368025906	0.0718344348791779	0.999958419202852
MvSl-1064-A1-R4_A1g00371	98.688	MvSl-1064-A1-R4_A1g00371	aMAT	7.30064109060621	0.323685137589474	0.638844931280066
MvSl-1064-A1-R4_A1g00372	98.974	MvSl-1064-A1-R4_A1g00372	aMAT	7.42659961298984	-0.153090469035268	0.999958419202852
MvSl-1064-A1-R4_A1g00373	100.000	MvSl-1064-A1-R4_A1g00373	aMAT	5.63994427053807	-0.309993049458856	0.817155424039138
MvSl-1064-A1-R4_A1g00374	99.858	MvSl-1064-A1-R4_A1g00374	aMAT	7.75438665565968	-0.126027095083333	0.999958419202852
MvSl-1064-A1-R4_A1g00375	96.377	MvSl-1064-A1-R4_A1g00375	aMAT	4.30547426229997	0.630356769221683	0.368264993508562
MvSl-1064-A1-R4_A1g00379	92.857	MvSl-1064-A1-R4_A1g00379	aMAT	0.387776241707362	1.17175723188932	0.233035894315321
MvSl-1064-A1-R4_A1g00380	97.222	MvSl-1064-A1-R4_A1g00380	aMAT	6.35949052557648	0.520490675962271	0.109693541556699
MvSl-1064-A1-R4_A1g00390	98.674	MvSl-1064-A1-R4_A1g00390	aMAT	5.08216374819396	0.0255755695044711	0.999958419202852
MvSl-1064-A1-R4_A1g00391	94.643	MvSl-1064-A1-R4_A1g00391	aMAT	6.98982482363935	-0.0258177440917268	0.999958419202852
MvSl-1064-A1-R4_A1g00394	100.000	MvSl-1064-A1-R4_A1g00394	aMAT	6.29651390089169	0.0266952483055408	0.999958419202852
MvSl-1064-A1-R4_A1g00395	99.707	MvSl-1064-A1-R4_A1g00395	aMAT	8.18183627019845	0.272243152660931	0.859012644268271
MvSl-1064-A1-R4_A1g00396	99.659	MvSl-1064-A1-R4_A1g00396	aMAT	7.56499717798594	0.170097066946694	0.999958419202852
MvSl-1064-A1-R4_A1g00397	100.000	MvSl-1064-A1-R4_A1g00397	aMAT	9.16503565896508	0.122156205055286	0.999958419202852
MvSl-1064-A1-R4_A1g00398	100.000	MvSl-1064-A1-R4_A1g00398	aMAT	8.05002205659469	0.150737592720888	0.999958419202852
MvSl-1064-A1-R4_A1g00399	100.000	MvSl-1064-A1-R4_A1g00399	aMAT	7.96011309311336	-0.0359081256831122	0.999958419202852
MvSl-1064-A1-R4_A1g00400	97.459	MvSl-1064-A1-R4_A1g00400	aMAT	4.76921681641736	1.0720200361893	0.00661584620173841
MvSl-1064-A1-R4_A1g00401	99.394	MvSl-1064-A1-R4_A1g00401	aMAT	7.35738224508575	0.358466712204069	0.881451766163737
MvSl-1064-A1-R4_A1g00402	96.474	MvSl-1064-A1-R4_A1g00402	aMAT	7.87346390137823	0.0290521159113027	0.999958419202852
MvSl-1064-A1-R4_A1g00403	100.000	MvSl-1064-A1-R4_A1g00403	aMAT	6.72565616344725	0.477123410893618	0.160255471034219
MvSl-1064-A1-R4_A1g00404	98.496	MvSl-1064-A1-R4_A1g00404	aMAT	3.41710028672956	-0.312501154343947	0.939766940058334
MvSl-1064-A1-R4_A1g00405	99.453	MvSl-1064-A1-R4_A1g00405	aMAT	4.70035071844601	0.555792080843086	0.420355691493465
MvSl-1064-A1-R4_A1g00406	100.000	MvSl-1064-A1-R4_A1g00406	aMAT	5.56075304792889	-0.245088081471816	0.888594543445407
MvSl-1064-A1-R4_A1g00432	100.000	MvSl-1064-A1-R4_A1g00432	aMAT	6.97190819199107	0.147701251415034	0.999958419202852
MvSl-1064-A1-R4_A1g00433	94.336	MvSl-1064-A1-R4_A1g00433	aMAT	5.32768879046677	0.348274381394333	0.707465373225716
MvSl-1064-A1-R4_A1g00441	98.830	MvSl-1064-A1-R4_A1g00441	aMAT	5.34284770641796	0.104254766888705	0.999958419202852
MvSl-1064-A1-R4_A1g00453	80.583	MvSl-1064-A1-R4_A1g00453	aMAT	2.16297766508773	-5.47778835800836	5.5655770454756e-23
MvSl-1064-A1-R4_A1g00478	90.897	MvSl-1064-A1-R4_A1g00478	aMAT	7.06431461106313	0.123482527438169	0.999958419202852
MvSl-1064-A1-R4_A1g00481	85.165	MvSl-1064-A1-R4_A1g00481	aMAT	3.14749654812528	-0.00184655365558315	0.999958419202852
MvSl-1064-A1-R4_A1g00492	93.129	MvSl-1064-A1-R4_A1g00492	aMAT	4.39553012629126	0.443340488292083	0.817155424039138
MvSl-1064-A1-R4_A1g00495	83.979	MvSl-1064-A1-R4_A1g00495	aMAT	6.93623921266344	2.06770355586782	2.44368963534037e-24
MvSl-1064-A1-R4_A1g00503	99.539	MvSl-1064-A1-R4_A1g00503	aMAT	6.5720974440105	-0.310626789594861	0.68409969699246
MvSl-1064-A1-R4_A1g00504	100.000	MvSl-1064-A1-R4_A1g00504	aMAT	3.61539083401575	0.0458097577168874	0.999958419202852
MvSl-1064-A1-R4_A1g00505	95.055	MvSl-1064-A1-R4_A1g00505	aMAT	6.29745910802269	0.172207716436543	0.999958419202852
MvSl-1064-A1-R4_A1g00506	99.784	MvSl-1064-A1-R4_A1g00506	aMAT	4.9361965946776	0.018095169191777	0.999958419202852
MvSl-1064-A1-R4_A1g00507	96.573	MvSl-1064-A1-R4_A1g00507	aMAT	5.88818763117694	0.00574296025547087	0.999958419202852
MvSl-1064-A1-R4_A1g00510	100.000	MvSl-1064-A1-R4_A1g00510	aMAT	5.78613656366278	0.0013276708755256	0.999958419202852
MvSl-1064-A1-R4_A1g00511	100.000	MvSl-1064-A1-R4_A1g00511	aMAT	6.79217432245981	0.101736763359485	0.999958419202852
MvSl-1064-A1-R4_A1g00512	99.517	MvSl-1064-A1-R4_A1g00512	aMAT	5.07820686849789	-0.0352704846695949	0.999958419202852
MvSl-1064-A1-R4_A1g00513	98.551	MvSl-1064-A1-R4_A1g00513	aMAT	5.73128471105277	0.0522498872199359	0.999958419202852
MvSl-1064-A1-R4_A1g00514	93.861	MvSl-1064-A1-R4_A1g00514	aMAT	8.14598663223951	0.109706750873437	0.999958419202852
MvSl-1064-A1-R4_A1g00515	98.364	MvSl-1064-A1-R4_A1g00515	aMAT	5.20789376021835	0.654352689684475	0.0916774553596215
MvSl-1064-A1-R4_A1g00516	98.442	MvSl-1064-A1-R4_A1g00516	aMAT	8.60405268311849	0.995708514690732	0.00433062178461439
MvSl-1064-A1-R4_A1g00517	100.000	MvSl-1064-A1-R4_A1g00517	aMAT	8.92743240640232	-0.533503451979998	0.459822196831649
MvSl-1064-A1-R4_A1g00518	99.764	MvSl-1064-A1-R4_A1g00518	aMAT	6.33304018625461	0.322480626672117	0.679258820278281
MvSl-1064-A1-R4_A1g00519	99.712	MvSl-1064-A1-R4_A1g00519	aMAT	7.16233214629183	0.329453209135033	0.613218259993841
MvSl-1064-A1-R4_A1g00520	99.847	MvSl-1064-A1-R4_A1g00520	aMAT	5.56307402043741	0.210251201015469	0.951639745216565
MvSl-1064-A1-R4_A1g00521	98.986	MvSl-1064-A1-R4_A1g00521	aMAT	6.02086885213753	0.294232959287171	0.897591978795943
MvSl-1064-A1-R4_A1g00522	96.651	MvSl-1064-A1-R4_A1g00522	aMAT	1.32646367499525	4.65808951563058	3.82751285658218e-14
MvSl-1064-A1-R4_A1g00525	97.006	MvSl-1064-A1-R4_A1g00525	aMAT	7.29806958281787	0.428603192047263	0.329714482593359
MvSl-1064-A1-R4_A1g00527	97.024	MvSl-1064-A1-R4_A1g00527	aMAT	4.8330038106228	0.581882016632099	0.413577819807938
MvSl-1064-A1-R4_A1g00528	98.817	MvSl-1064-A1-R4_A1g00528	aMAT	2.77917925486307	-0.174837031690773	0.999958419202852
MvSl-1064-A1-R4_A1g00529	98.701	MvSl-1064-A1-R4_A1g00529	aMAT	3.28806617418857	0.383201311531281	0.859012644268271
MvSl-1064-A1-R4_A1g00530	98.041	MvSl-1064-A1-R4_A1g00530	aMAT	6.85623943387107	0.00686639934135971	0.999958419202852
MvSl-1064-A1-R4_A1g00532	98.065	MvSl-1064-A1-R4_A1g00532	aMAT	5.07217437264575	0.189104915574362	0.999958419202852
MvSl-1064-A1-R4_A1g00533	99.640	MvSl-1064-A1-R4_A1g00533	aMAT	6.24217834528994	-0.341645499885068	0.531934983523944
MvSl-1064-A1-R4_A1g00534	99.469	MvSl-1064-A1-R4_A1g00534	aMAT	7.59173965333561	0.347983004300663	0.60467199177911
MvSl-1064-A1-R4_A1g00541	98.286	MvSl-1064-A1-R4_A1g00541	aMAT	6.27074184579791	0.128964275192438	0.999958419202852
MvSl-1064-A1-R4_A1g00542	100.000	MvSl-1064-A1-R4_A1g00542	aMAT	5.21126620419292	-0.323479208980968	0.739134413027217
MvSl-1064-A1-R4_A1g00543	99.588	MvSl-1064-A1-R4_A1g00543	aMAT	7.06922670234266	-0.0525554320081037	0.999958419202852
MvSl-1064-A1-R4_A1g00544	99.655	MvSl-1064-A1-R4_A1g00544	aMAT	5.68748458803325	-0.0867767274591289	0.999958419202852
MvSl-1064-A1-R4_A1g00575	96.378	MvSl-1064-A1-R4_A1g00575	aMAT	7.44006193876152	0.421916293856135	0.413208032520442
MvSl-1064-A1-R4_A1g00576	80.769	MvSl-1064-A1-R4_A1g00576	aMAT	3.93944850934397	0.180959978115622	0.999958419202852
MvSl-1064-A1-R4_A1g00593	97.811	MvSl-1064-A1-R4_A1g00593	aMAT	8.05477917966613	-0.0331574306307314	0.999958419202852
MvSl-1064-A1-R4_A1g00594	83.534	MvSl-1064-A1-R4_A1g00594	aMAT	5.46038908506979	1.18899212520619	7.82871805120572e-05
MvSl-1064-A1-R4_A1g00624	84.249	MvSl-1064-A1-R4_A1g00624	aMAT	7.53663643816013	0.808088471763115	0.00388653413839741
MvSl-1064-A1-R4_A1g00635	81.391	MvSl-1064-A1-R4_A1g00635	aMAT	3.80338654010994	3.59765044110069	1.17039015358012e-17
MvSl-1064-A1-R4_A1g00641	90.741	MvSl-1064-A1-R4_A1g00641	aMAT	3.22292308471278	2.24131478981213	1.09532599495502e-08
MvSl-1064-A1-R4_A1g00644	94.885	MvSl-1064-A1-R4_A1g00644	aMAT	5.04824636620791	1.3207337051043	6.71285112823698e-06
MvSl-1064-A1-R4_A1g00645	98.570	MvSl-1064-A1-R4_A1g00645	aMAT	6.10256106057208	0.00262413055457307	0.999958419202852
MvSl-1064-A1-R4_A1g00646	98.563	MvSl-1064-A1-R4_A1g00646	aMAT	8.0183988016333	1.50964723349858	8.67213076302195e-08
MvSl-1064-A1-R4_A1g00648	96.208	MvSl-1064-A1-R4_A1g00648	aMAT	6.45870638290909	-0.643515079604386	0.0183621231045228
MvSl-1064-A1-R4_A1g00668	92.496	MvSl-1064-A1-R4_A1g00668	aMAT	6.33471636159406	5.49597304172742	3.09106772575875e-100
MvSl-1064-A1-R4_A1g00669	94.069	MvSl-1064-A1-R4_A1g00669	aMAT	5.93821842133909	0.154053322487201	0.999958419202852
MvSl-1064-A1-R4_A1g00693	100.000	MvSl-1064-A1-R4_A1g00693	aMAT	7.23662593668903	0.0125228498026728	0.999958419202852
