gene	genename	chr	start	end
MvSl-1064-A2-R4_A2g00262	MvSl-1064-A1-R4_A2	MAT	563904	564242
MvSl-1064-A2-R4_A2g00271	MvSl-1064-A1-R4_A2	MAT	588039	588824
MvSl-1064-A2-R4_A2g00275	MvSl-1064-A1-R4_A2	MAT	598689	598994
MvSl-1064-A2-R4_A2g00276	MvSl-1064-A1-R4_A2	MAT	600274	600916
MvSl-1064-A2-R4_A2g00282	MvSl-1064-A1-R4_A2	MAT	617938	618266
MvSl-1064-A2-R4_A2g00284	MvSl-1064-A1-R4_A2	MAT	619530	619879
MvSl-1064-A2-R4_A2g00285	MvSl-1064-A1-R4_A2	MAT	619988	620268
MvSl-1064-A2-R4_A2g00287	MvSl-1064-A1-R4_A2	MAT	625729	626241
MvSl-1064-A2-R4_A2g00291	MvSl-1064-A1-R4_A2	MAT	634520	634708
MvSl-1064-A2-R4_A2g00302	MvSl-1064-A1-R4_A2	MAT	663291	663440
MvSl-1064-A2-R4_A2g00305	MvSl-1064-A1-R4_A2	MAT	673928	674248
MvSl-1064-A2-R4_A2g00316	MvSl-1064-A1-R4_A2	MAT	687938	689220
MvSl-1064-A2-R4_A2g00317	MvSl-1064-A1-R4_A2	MAT	689526	690227
MvSl-1064-A2-R4_A2g00320	MvSl-1064-A1-R4_A2	MAT	697042	697570
MvSl-1064-A2-R4_A2g00321	MvSl-1064-A1-R4_A2	MAT	697625	699622
MvSl-1064-A2-R4_A2g00330	MvSl-1064-A1-R4_A2	MAT	734714	735851
MvSl-1064-A2-R4_A2g00331	MvSl-1064-A1-R4_A2	MAT	735912	736700
MvSl-1064-A2-R4_A2g00332	MvSl-1064-A1-R4_A2	MAT	738391	738792
MvSl-1064-A2-R4_A2g00334	MvSl-1064-A1-R4_A2	MAT	739452	740103
MvSl-1064-A2-R4_A2g00337	MvSl-1064-A1-R4_A2	MAT	749045	751183
MvSl-1064-A2-R4_A2g00338	MvSl-1064-A1-R4_A2	MAT	751910	752161
MvSl-1064-A2-R4_A2g00340	MvSl-1064-A1-R4_A2	MAT	757429	758038
MvSl-1064-A2-R4_A2g00341	MvSl-1064-A1-R4_A2	MAT	758839	759385
MvSl-1064-A2-R4_A2g00342	MvSl-1064-A1-R4_A2	MAT	760547	760705
MvSl-1064-A2-R4_A2g00343	MvSl-1064-A1-R4_A2	MAT	760799	761625
MvSl-1064-A2-R4_A2g00344	MvSl-1064-A1-R4_A2	MAT	763085	763512
MvSl-1064-A2-R4_A2g00346	MvSl-1064-A1-R4_A2	MAT	764732	765421
MvSl-1064-A2-R4_A2g00347	MvSl-1064-A1-R4_A2	MAT	765536	765811
MvSl-1064-A2-R4_A2g00348	MvSl-1064-A1-R4_A2	MAT	765863	766054
MvSl-1064-A2-R4_A2g00350	MvSl-1064-A1-R4_A2	MAT	767280	767564
MvSl-1064-A2-R4_A2g00359	MvSl-1064-A1-R4_A2	MAT	789050	790537
MvSl-1064-A2-R4_A2g00360	MvSl-1064-A1-R4_A2	MAT	790696	790899
MvSl-1064-A2-R4_A2g00361	MvSl-1064-A1-R4_A2	MAT	790960	791484
MvSl-1064-A2-R4_A2g00362	MvSl-1064-A1-R4_A2	MAT	791527	791997
MvSl-1064-A2-R4_A2g00364	MvSl-1064-A1-R4_A2	MAT	796232	797581
MvSl-1064-A2-R4_A2g00385	MvSl-1064-A1-R4_A2	MAT	852748	852954
MvSl-1064-A2-R4_A2g00390	MvSl-1064-A1-R4_A2	MAT	858779	859620
MvSl-1064-A2-R4_A2g00396	MvSl-1064-A1-R4_A2	MAT	864578	865030
MvSl-1064-A2-R4_A2g00399	MvSl-1064-A1-R4_A2	MAT	875987	876214
MvSl-1064-A2-R4_A2g00401	MvSl-1064-A1-R4_A2	MAT	880177	881419
MvSl-1064-A2-R4_A2g00402	MvSl-1064-A1-R4_A2	MAT	882526	883458
MvSl-1064-A2-R4_A2g00404	MvSl-1064-A1-R4_A2	MAT	887878	890361
MvSl-1064-A2-R4_A2g00408	MvSl-1064-A1-R4_A2	MAT	901264	901491
MvSl-1064-A2-R4_A2g00411	MvSl-1064-A1-R4_A2	MAT	908669	908842
MvSl-1064-A2-R4_A2g00412	MvSl-1064-A1-R4_A2	MAT	908946	909176
MvSl-1064-A2-R4_A2g00415	MvSl-1064-A1-R4_A2	MAT	916222	918081
MvSl-1064-A2-R4_A2g00419	MvSl-1064-A1-R4_A2	MAT	933212	933612
MvSl-1064-A2-R4_A2g00424	MvSl-1064-A1-R4_A2	MAT	939408	940261
MvSl-1064-A2-R4_A2g00426	MvSl-1064-A1-R4_A2	MAT	943870	944171
MvSl-1064-A2-R4_A2g00427	MvSl-1064-A1-R4_A2	MAT	944334	945857
MvSl-1064-A2-R4_A2g00428	MvSl-1064-A1-R4_A2	MAT	946493	946798
MvSl-1064-A2-R4_A2g00429	MvSl-1064-A1-R4_A2	MAT	947168	947726
MvSl-1064-A2-R4_A2g00430	MvSl-1064-A1-R4_A2	MAT	947894	948480
MvSl-1064-A2-R4_A2g00433	MvSl-1064-A1-R4_A2	MAT	957508	959884
MvSl-1064-A2-R4_A2g00436	MvSl-1064-A1-R4_A2	MAT	965155	966128
MvSl-1064-A2-R4_A2g00438	MvSl-1064-A1-R4_A2	MAT	971289	972629
MvSl-1064-A2-R4_A2g00449	MvSl-1064-A1-R4_A2	MAT	1001048	1001233
MvSl-1064-A2-R4_A2g00450	MvSl-1064-A1-R4_A2	MAT	1002310	1002988
MvSl-1064-A2-R4_A2g00452	MvSl-1064-A1-R4_A2	MAT	1004748	1005113
MvSl-1064-A2-R4_A2g00454	MvSl-1064-A1-R4_A2	MAT	1009267	1009470
MvSl-1064-A2-R4_A2g00458	MvSl-1064-A1-R4_A2	MAT	1017121	1017620
MvSl-1064-A2-R4_A2g00459	MvSl-1064-A1-R4_A2	MAT	1017711	1017965
MvSl-1064-A2-R4_A2g00460	MvSl-1064-A1-R4_A2	MAT	1018365	1019889
MvSl-1064-A2-R4_A2g00461	MvSl-1064-A1-R4_A2	MAT	1019996	1020424
MvSl-1064-A2-R4_A2g00483	MvSl-1064-A1-R4_A2	MAT	1046736	1047926
MvSl-1064-A2-R4_A2g00496	MvSl-1064-A1-R4_A2	MAT	1060427	1060971
MvSl-1064-A2-R4_A2g00497	MvSl-1064-A1-R4_A2	MAT	1061320	1061481
MvSl-1064-A2-R4_A2g00502	MvSl-1064-A1-R4_A2	MAT	1064673	1065546
MvSl-1064-A2-R4_A2g00503	MvSl-1064-A1-R4_A2	MAT	1065697	1066723
MvSl-1064-A2-R4_A2g00504	MvSl-1064-A1-R4_A2	MAT	1066834	1067992
MvSl-1064-A2-R4_A2g00509	MvSl-1064-A1-R4_A2	MAT	1080435	1081324
MvSl-1064-A2-R4_A2g00510	MvSl-1064-A1-R4_A2	MAT	1082337	1082885
MvSl-1064-A2-R4_A2g00511	MvSl-1064-A1-R4_A2	MAT	1083784	1084987
MvSl-1064-A2-R4_A2g00512	MvSl-1064-A1-R4_A2	MAT	1085054	1085362
MvSl-1064-A2-R4_A2g00518	MvSl-1064-A1-R4_A2	MAT	1093262	1093798
MvSl-1064-A2-R4_A2g00523	MvSl-1064-A1-R4_A2	MAT	1107766	1109047
MvSl-1064-A2-R4_A2g00524	MvSl-1064-A1-R4_A2	MAT	1109191	1109470
MvSl-1064-A2-R4_A2g00538	MvSl-1064-A1-R4_A2	MAT	1137626	1138144
MvSl-1064-A2-R4_A2g00540	MvSl-1064-A1-R4_A2	MAT	1142170	1142576
MvSl-1064-A2-R4_A2g00541	MvSl-1064-A1-R4_A2	MAT	1143987	1144148
MvSl-1064-A2-R4_A2g00542	MvSl-1064-A1-R4_A2	MAT	1144215	1145057
MvSl-1064-A2-R4_A2g00546	MvSl-1064-A1-R4_A2	MAT	1151547	1153199
MvSl-1064-A2-R4_A2g00548	MvSl-1064-A1-R4_A2	MAT	1154625	1154831
MvSl-1064-A2-R4_A2g00550	MvSl-1064-A1-R4_A2	MAT	1155317	1156000
MvSl-1064-A2-R4_A2g00554	MvSl-1064-A1-R4_A2	MAT	1160864	1161754
MvSl-1064-A2-R4_A2g00564	MvSl-1064-A1-R4_A2	MAT	1180202	1180762
MvSl-1064-A2-R4_A2g00572	MvSl-1064-A1-R4_A2	MAT	1205655	1206504
MvSl-1064-A2-R4_A2g00574	MvSl-1064-A1-R4_A2	MAT	1209555	1210573
MvSl-1064-A2-R4_A2g00588	MvSl-1064-A1-R4_A2	MAT	1252367	1253424
MvSl-1064-A2-R4_A2g00590	MvSl-1064-A1-R4_A2	MAT	1254819	1255109
MvSl-1064-A2-R4_A2g00594	MvSl-1064-A1-R4_A2	MAT	1260063	1261146
MvSl-1064-A2-R4_A2g00595	MvSl-1064-A1-R4_A2	MAT	1261314	1261646
MvSl-1064-A2-R4_A2g00598	MvSl-1064-A1-R4_A2	MAT	1264422	1265205
MvSl-1064-A2-R4_A2g00607	MvSl-1064-A1-R4_A2	MAT	1285920	1286808
MvSl-1064-A2-R4_A2g00612	MvSl-1064-A1-R4_A2	MAT	1296553	1297195
MvSl-1064-A2-R4_A2g00620	MvSl-1064-A1-R4_A2	MAT	1318107	1318262
MvSl-1064-A2-R4_A2g00623	MvSl-1064-A1-R4_A2	MAT	1329055	1329495
MvSl-1064-A2-R4_A2g00625	MvSl-1064-A1-R4_A2	MAT	1335133	1335486
MvSl-1064-A2-R4_A2g00626	MvSl-1064-A1-R4_A2	MAT	1336549	1336899
MvSl-1064-A2-R4_A2g00627	MvSl-1064-A1-R4_A2	MAT	1337297	1338622
MvSl-1064-A2-R4_A2g00628	MvSl-1064-A1-R4_A2	MAT	1339386	1339705
MvSl-1064-A2-R4_A2g00629	MvSl-1064-A1-R4_A2	MAT	1339775	1341110
MvSl-1064-A2-R4_A2g00631	MvSl-1064-A1-R4_A2	MAT	1343145	1343477
MvSl-1064-A2-R4_A2g00634	MvSl-1064-A1-R4_A2	MAT	1348074	1348327
MvSl-1064-A2-R4_A2g00637	MvSl-1064-A1-R4_A2	MAT	1353677	1354074
MvSl-1064-A2-R4_A2g00648	MvSl-1064-A1-R4_A2	MAT	1380922	1381843
MvSl-1064-A2-R4_A2g00652	MvSl-1064-A1-R4_A2	MAT	1390096	1391635
MvSl-1064-A2-R4_A2g00656	MvSl-1064-A1-R4_A2	MAT	1396089	1397252
MvSl-1064-A2-R4_A2g00657	MvSl-1064-A1-R4_A2	MAT	1397361	1397591
MvSl-1064-A2-R4_A2g00658	MvSl-1064-A1-R4_A2	MAT	1397662	1398120
MvSl-1064-A2-R4_A2g00661	MvSl-1064-A1-R4_A2	MAT	1411363	1411860
MvSl-1064-A2-R4_A2g00662	MvSl-1064-A1-R4_A2	MAT	1412057	1412248
MvSl-1064-A2-R4_A2g00664	MvSl-1064-A1-R4_A2	MAT	1413318	1416817
MvSl-1064-A2-R4_A2g00665	MvSl-1064-A1-R4_A2	MAT	1417896	1419666
MvSl-1064-A2-R4_A2g00666	MvSl-1064-A1-R4_A2	MAT	1419859	1421010
MvSl-1064-A2-R4_A2g00667	MvSl-1064-A1-R4_A2	MAT	1421125	1422227
MvSl-1064-A2-R4_A2g00683	MvSl-1064-A1-R4_A2	MAT	1454355	1454977
MvSl-1064-A2-R4_A2g00685	MvSl-1064-A1-R4_A2	MAT	1457173	1457415
MvSl-1064-A2-R4_A2g00688	MvSl-1064-A1-R4_A2	MAT	1464767	1464975
MvSl-1064-A2-R4_A2g00689	MvSl-1064-A1-R4_A2	MAT	1465769	1465982
MvSl-1064-A2-R4_A2g00690	MvSl-1064-A1-R4_A2	MAT	1466134	1466896
MvSl-1064-A2-R4_A2g00692	MvSl-1064-A1-R4_A2	MAT	1472398	1472658
MvSl-1064-A2-R4_A2g00694	MvSl-1064-A1-R4_A2	MAT	1474950	1475356
MvSl-1064-A2-R4_A2g00696	MvSl-1064-A1-R4_A2	MAT	1477968	1478285
MvSl-1064-A2-R4_A2g00697	MvSl-1064-A1-R4_A2	MAT	1478454	1479989
MvSl-1064-A2-R4_A2g00701	MvSl-1064-A1-R4_A2	MAT	1489848	1491337
MvSl-1064-A2-R4_A2g00704	MvSl-1064-A1-R4_A2	MAT	1500175	1501861
MvSl-1064-A2-R4_A2g00707	MvSl-1064-A1-R4_A2	MAT	1504851	1505054
MvSl-1064-A2-R4_A2g00708	MvSl-1064-A1-R4_A2	MAT	1505153	1505711
MvSl-1064-A2-R4_A2g00709	MvSl-1064-A1-R4_A2	MAT	1505786	1506055
MvSl-1064-A2-R4_A2g00710	MvSl-1064-A1-R4_A2	MAT	1506214	1506393
MvSl-1064-A2-R4_A2g00712	MvSl-1064-A1-R4_A2	MAT	1511168	1511455
MvSl-1064-A2-R4_A2g00715	MvSl-1064-A1-R4_A2	MAT	1519464	1519694
MvSl-1064-A2-R4_A2g00716	MvSl-1064-A1-R4_A2	MAT	1519880	1522626
MvSl-1064-A2-R4_A2g00724	MvSl-1064-A1-R4_A2	MAT	1540754	1541219
MvSl-1064-A2-R4_A2g00725	MvSl-1064-A1-R4_A2	MAT	1541417	1542866
MvSl-1064-A2-R4_A2g00727	MvSl-1064-A1-R4_A2	MAT	1547424	1547951
MvSl-1064-A2-R4_A2g00729	MvSl-1064-A1-R4_A2	MAT	1548865	1549318
MvSl-1064-A2-R4_A2g00730	MvSl-1064-A1-R4_A2	MAT	1550852	1551019
MvSl-1064-A2-R4_A2g00739	MvSl-1064-A1-R4_A2	MAT	1566368	1567059
MvSl-1064-A2-R4_A2g00740	MvSl-1064-A1-R4_A2	MAT	1567430	1567678
MvSl-1064-A2-R4_A2g00751	MvSl-1064-A1-R4_A2	MAT	1591856	1592067
MvSl-1064-A2-R4_A2g00752	MvSl-1064-A1-R4_A2	MAT	1592302	1592888
MvSl-1064-A2-R4_A2g00758	MvSl-1064-A1-R4_A2	MAT	1608378	1608889
MvSl-1064-A2-R4_A2g00760	MvSl-1064-A1-R4_A2	MAT	1610153	1610348
MvSl-1064-A2-R4_A2g00761	MvSl-1064-A1-R4_A2	MAT	1611085	1612825
MvSl-1064-A2-R4_A2g00762	MvSl-1064-A1-R4_A2	MAT	1613152	1614450
MvSl-1064-A2-R4_A2g00763	MvSl-1064-A1-R4_A2	MAT	1614506	1615183
MvSl-1064-A2-R4_A2g00764	MvSl-1064-A1-R4_A2	MAT	1615720	1616233
MvSl-1064-A2-R4_A2g00765	MvSl-1064-A1-R4_A2	MAT	1616276	1617166
MvSl-1064-A2-R4_A2g00766	MvSl-1064-A1-R4_A2	MAT	1617720	1618010
MvSl-1064-A2-R4_A2g00767	MvSl-1064-A1-R4_A2	MAT	1618078	1618667
MvSl-1064-A2-R4_A2g00768	MvSl-1064-A1-R4_A2	MAT	1618986	1620225
MvSl-1064-A2-R4_A2g00769	MvSl-1064-A1-R4_A2	MAT	1620341	1620979
MvSl-1064-A2-R4_A2g00778	MvSl-1064-A1-R4_A2	MAT	1645215	1645385
MvSl-1064-A2-R4_A2g00780	MvSl-1064-A1-R4_A2	MAT	1646003	1646179
MvSl-1064-A2-R4_A2g00782	MvSl-1064-A1-R4_A2	MAT	1647322	1648362
MvSl-1064-A2-R4_A2g00783	MvSl-1064-A1-R4_A2	MAT	1649389	1650591
MvSl-1064-A2-R4_A2g00784	MvSl-1064-A1-R4_A2	MAT	1652423	1653893
MvSl-1064-A2-R4_A2g00786	MvSl-1064-A1-R4_A2	MAT	1654749	1655046
MvSl-1064-A2-R4_A2g00787	MvSl-1064-A1-R4_A2	MAT	1655253	1656169
MvSl-1064-A2-R4_A2g00788	MvSl-1064-A1-R4_A2	MAT	1657449	1658797
MvSl-1064-A2-R4_A2g00789	MvSl-1064-A1-R4_A2	MAT	1660056	1660319
MvSl-1064-A2-R4_A2g00807	MvSl-1064-A1-R4_A2	MAT	1699700	1700089
MvSl-1064-A2-R4_A2g00809	MvSl-1064-A1-R4_A2	MAT	1708488	1708969
MvSl-1064-A2-R4_A2g00812	MvSl-1064-A1-R4_A2	MAT	1712747	1713049
MvSl-1064-A2-R4_A2g00816	MvSl-1064-A1-R4_A2	MAT	1727524	1728459
MvSl-1064-A2-R4_A2g00820	MvSl-1064-A1-R4_A2	MAT	1733798	1734013
MvSl-1064-A2-R4_A2g00824	MvSl-1064-A1-R4_A2	MAT	1744886	1746488
MvSl-1064-A2-R4_A2g00827	MvSl-1064-A1-R4_A2	MAT	1752153	1752490
MvSl-1064-A2-R4_A2g00830	MvSl-1064-A1-R4_A2	MAT	1754739	1754921
MvSl-1064-A2-R4_A2g00838	MvSl-1064-A1-R4_A2	MAT	1771787	1772240
MvSl-1064-A2-R4_A2g00840	MvSl-1064-A1-R4_A2	MAT	1773353	1773866
MvSl-1064-A2-R4_A2g00843	MvSl-1064-A1-R4_A2	MAT	1782285	1783322
MvSl-1064-A2-R4_A2g00844	MvSl-1064-A1-R4_A2	MAT	1784111	1784371
MvSl-1064-A2-R4_A2g00846	MvSl-1064-A1-R4_A2	MAT	1787872	1788304
MvSl-1064-A2-R4_A2g00847	MvSl-1064-A1-R4_A2	MAT	1788593	1788976
MvSl-1064-A2-R4_A2g00848	MvSl-1064-A1-R4_A2	MAT	1789098	1789286
MvSl-1064-A2-R4_A2g00851	MvSl-1064-A1-R4_A2	MAT	1793528	1793970
MvSl-1064-A2-R4_A2g00852	MvSl-1064-A1-R4_A2	MAT	1794013	1794201
MvSl-1064-A2-R4_A2g00853	MvSl-1064-A1-R4_A2	MAT	1794439	1794741
MvSl-1064-A2-R4_A2g00870	MvSl-1064-A1-R4_A2	MAT	1835778	1836272
MvSl-1064-A2-R4_A2g00875	MvSl-1064-A1-R4_A2	MAT	1846746	1847566
MvSl-1064-A2-R4_A2g00884	MvSl-1064-A1-R4_A2	MAT	1868700	1869209
MvSl-1064-A2-R4_A2g00900	MvSl-1064-A1-R4_A2	MAT	1913796	1913981
MvSl-1064-A2-R4_A2g00906	MvSl-1064-A1-R4_A2	MAT	1932492	1934423
MvSl-1064-A2-R4_A2g00909	MvSl-1064-A1-R4_A2	MAT	1939366	1940814
MvSl-1064-A2-R4_A2g00911	MvSl-1064-A1-R4_A2	MAT	1942113	1942412
MvSl-1064-A2-R4_A2g00916	MvSl-1064-A1-R4_A2	MAT	1952534	1952924
MvSl-1064-A2-R4_A2g00917	MvSl-1064-A1-R4_A2	MAT	1953385	1955382
MvSl-1064-A2-R4_A2g00926	MvSl-1064-A1-R4_A2	MAT	1975635	1976043
MvSl-1064-A2-R4_A2g00929	MvSl-1064-A1-R4_A2	MAT	1982422	1983799
MvSl-1064-A2-R4_A2g00934	MvSl-1064-A1-R4_A2	MAT	1998861	2000388
MvSl-1064-A2-R4_A2g00938	MvSl-1064-A1-R4_A2	MAT	2006591	2007076
MvSl-1064-A2-R4_A2g00940	MvSl-1064-A1-R4_A2	MAT	2012628	2012780
MvSl-1064-A2-R4_A2g00942	MvSl-1064-A1-R4_A2	MAT	2017183	2017450
MvSl-1064-A2-R4_A2g00944	MvSl-1064-A1-R4_A2	MAT	2020276	2021554
MvSl-1064-A2-R4_A2g00945	MvSl-1064-A1-R4_A2	MAT	2022358	2024079
MvSl-1064-A2-R4_A2g00946	MvSl-1064-A1-R4_A2	MAT	2024263	2024860
MvSl-1064-A2-R4_A2g00951	MvSl-1064-A1-R4_A2	MAT	2040919	2041068
MvSl-1064-A2-R4_A2g00973	MvSl-1064-A1-R4_A2	MAT	2097700	2099698
MvSl-1064-A2-R4_A2g00974	MvSl-1064-A1-R4_A2	MAT	2099759	2099974
MvSl-1064-A2-R4_A2g00978	MvSl-1064-A1-R4_A2	MAT	2106884	2107164
MvSl-1064-A2-R4_A2g00980	MvSl-1064-A1-R4_A2	MAT	2112426	2112717
MvSl-1064-A2-R4_A2g00984	MvSl-1064-A1-R4_A2	MAT	2125376	2125812
MvSl-1064-A2-R4_A2g00986	MvSl-1064-A1-R4_A2	MAT	2128636	2129629
MvSl-1064-A2-R4_A2g00997	MvSl-1064-A1-R4_A2	MAT	2150048	2151803
MvSl-1064-A2-R4_A2g01003	MvSl-1064-A1-R4_A2	MAT	2162960	2163913
MvSl-1064-A2-R4_A2g01006	MvSl-1064-A1-R4_A2	MAT	2174840	2175472
MvSl-1064-A2-R4_A2g01007	MvSl-1064-A1-R4_A2	MAT	2176103	2177263
MvSl-1064-A2-R4_A2g01011	MvSl-1064-A1-R4_A2	MAT	2190242	2190487
MvSl-1064-A2-R4_A2g01013	MvSl-1064-A1-R4_A2	MAT	2194008	2194852
MvSl-1064-A2-R4_A2g01015	MvSl-1064-A1-R4_A2	MAT	2202405	2203535
MvSl-1064-A2-R4_A2g01018	MvSl-1064-A1-R4_A2	MAT	2213635	2214925
MvSl-1064-A2-R4_A2g01023	MvSl-1064-A1-R4_A2	MAT	2227476	2228423
MvSl-1064-A2-R4_A2g01026	MvSl-1064-A1-R4_A2	MAT	2240650	2241764
MvSl-1064-A2-R4_A2g01030	MvSl-1064-A1-R4_A2	MAT	2256927	2257413
MvSl-1064-A2-R4_A2g01034	MvSl-1064-A1-R4_A2	MAT	2266194	2267443
MvSl-1064-A2-R4_A2g01035	MvSl-1064-A1-R4_A2	MAT	2267519	2268034
MvSl-1064-A2-R4_A2g01037	MvSl-1064-A1-R4_A2	MAT	2271999	2272163
MvSl-1064-A2-R4_A2g01039	MvSl-1064-A1-R4_A2	MAT	2277923	2278410
MvSl-1064-A2-R4_A2g01040	MvSl-1064-A1-R4_A2	MAT	2278645	2279789
MvSl-1064-A2-R4_A2g01048	MvSl-1064-A1-R4_A2	MAT	2287246	2287677
MvSl-1064-A2-R4_A2g01051	MvSl-1064-A1-R4_A2	MAT	2291671	2291950
MvSl-1064-A2-R4_A2g01054	MvSl-1064-A1-R4_A2	MAT	2297255	2297921
MvSl-1064-A2-R4_A2g01055	MvSl-1064-A1-R4_A2	MAT	2297984	2298706
MvSl-1064-A2-R4_A2g01056	MvSl-1064-A1-R4_A2	MAT	2299480	2299803
MvSl-1064-A2-R4_A2g01057	MvSl-1064-A1-R4_A2	MAT	2300250	2300420
MvSl-1064-A2-R4_A2g01063	MvSl-1064-A1-R4_A2	MAT	2313804	2314247
MvSl-1064-A2-R4_A2g01064	MvSl-1064-A1-R4_A2	MAT	2314418	2314573
MvSl-1064-A2-R4_A2g01065	MvSl-1064-A1-R4_A2	MAT	2316448	2317266
MvSl-1064-A2-R4_A2g01067	MvSl-1064-A1-R4_A2	MAT	2318831	2319016
MvSl-1064-A2-R4_A2g01070	MvSl-1064-A1-R4_A2	MAT	2325473	2325637
MvSl-1064-A2-R4_A2g01071	MvSl-1064-A1-R4_A2	MAT	2326180	2326725
MvSl-1064-A2-R4_A2g01074	MvSl-1064-A1-R4_A2	MAT	2331461	2331763
MvSl-1064-A2-R4_A2g01076	MvSl-1064-A1-R4_A2	MAT	2335116	2335823
MvSl-1064-A2-R4_A2g01078	MvSl-1064-A1-R4_A2	MAT	2338977	2340060
MvSl-1064-A2-R4_A2g01082	MvSl-1064-A1-R4_A2	MAT	2349021	2350066
MvSl-1064-A2-R4_A2g01084	MvSl-1064-A1-R4_A2	MAT	2353138	2353305
MvSl-1064-A2-R4_A2g01085	MvSl-1064-A1-R4_A2	MAT	2353629	2354970
MvSl-1064-A2-R4_A2g01086	MvSl-1064-A1-R4_A2	MAT	2355648	2355991
MvSl-1064-A2-R4_A2g01087	MvSl-1064-A1-R4_A2	MAT	2356982	2358396
MvSl-1064-A2-R4_A2g01088	MvSl-1064-A1-R4_A2	MAT	2358545	2359837
MvSl-1064-A2-R4_A2g01089	MvSl-1064-A1-R4_A2	MAT	2359883	2361828
MvSl-1064-A2-R4_A2g01090	MvSl-1064-A1-R4_A2	MAT	2361910	2362535
MvSl-1064-A2-R4_A2g01092	MvSl-1064-A1-R4_A2	MAT	2367563	2369773
MvSl-1064-A2-R4_A2g01095	MvSl-1064-A1-R4_A2	MAT	2381659	2382034
