#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
prot:Minter-1389-PBcR_C01g00038	MvSl-1064-A2-R4_MC05g06434	841	827	98	100	829	80.097	1320
prot:Minter-1389-PBcR_C01g00039	MvSl-1064-A2-R4_MC05g06433	1260	1294	100	99	1296	75.386	1747
prot:Minter-1389-PBcR_C01g00041	MvSl-1064-A2-R4_MC05g06431	60	78	100	100	78	67.949	90.5
prot:Minter-1389-PBcR_C01g00042	MvSl-1064-A2-R4_MC05g06430	1037	1080	100	100	1117	61.773	1111
prot:Minter-1389-PBcR_C01g00043	MvSl-1064-A2-R4_MC05g06429	150	184	99	90	165	78.313	237
prot:Minter-1389-PBcR_C01g00044	MvSl-1064-A2-R4_MC05g06428	80	80	100	100	80	96.250	158
prot:Minter-1389-PBcR_C01g00045	MvSl-1064-A2-R4_MC05g06427	517	534	83	83	446	65.695	565
prot:Minter-1389-PBcR_C01g00046	MvSl-1064-A2-R4_MC05g06426	531	631	97	89	551	78.230	835
prot:Minter-1389-PBcR_C01g00047	MvSl-1064-A2-R4_MC05g06425	324	329	99	98	326	73.006	446
prot:Minter-1389-PBcR_C01g00049	MvSl-1064-A2-R4_MC05g06423	485	483	100	100	487	89.938	858
prot:Minter-1389-PBcR_C01g00050	MvSl-1064-A2-R4_MC05g06422	617	607	94	94	595	77.479	906
prot:Minter-1389-PBcR_C01g00051	MvSl-1064-A2-R4_MC05g06421	701	685	100	100	718	77.298	1078
prot:Minter-1389-PBcR_C01g00052	MvSl-1064-A2-R4_MC05g06420	670	705	98	93	671	75.261	788
prot:Minter-1389-PBcR_C01g00053	MvSl-1064-A2-R4_MC05g06419	1504	1519	99	99	1555	75.884	2130
prot:Minter-1389-PBcR_C01g00055	MvSl-1064-A2-R4_MC05g06458	409	354	93	96	381	81.890	574
prot:Minter-1389-PBcR_C01g00056	MvSl-1064-A2-R4_MC05g06460	230	230	100	100	230	93.478	449
prot:Minter-1389-PBcR_C01g00057	MvSl-1064-A2-R4_MC05g06461	1151	1156	99	99	1195	70.544	1388
prot:Minter-1389-PBcR_C01g00059	MvSl-1064-A2-R4_MC05g06463	402	398	99	99	397	85.390	644
prot:Minter-1389-PBcR_C01g00060	MvSl-1064-A2-R4_MC05g06464	665	664	99	91	627	77.596	863
prot:Minter-1389-PBcR_C01g00061	MvSl-1064-A2-R4_MC05g06465	546	545	100	100	548	94.343	1046
prot:Minter-1389-PBcR_C01g00062	MvSl-1064-A2-R4_MC05g06466	224	242	100	100	242	86.777	428
prot:Minter-1389-PBcR_C01g00063	MvSl-1064-A2-R4_MC05g06467	913	920	100	100	921	90.554	1558
prot:Minter-1389-PBcR_C01g00064	MvSl-1064-A2-R4_MC05g06468	491	469	100	100	491	92.057	914
prot:Minter-1389-PBcR_C01g00066	MvSl-1064-A2-R4_MC05g06469	348	345	99	100	345	87.826	627
prot:Minter-1389-PBcR_C01g00067	MvSl-1064-A2-R4_MC05g06474	497	475	100	100	502	84.462	855
prot:Minter-1389-PBcR_C01g00068	MvSl-1064-A2-R4_MC05g06475	1546	1565	99	99	1562	92.061	2961
prot:Minter-1389-PBcR_C01g00069	MvSl-1064-A2-R4_MC05g06476	495	495	100	100	500	79.600	752
prot:Minter-1389-PBcR_C01g00070	MvSl-1064-A2-R4_MC05g06477	822	822	97	98	805	81.266	1283
prot:Minter-1389-PBcR_C01g00071	MvSl-1064-A2-R4_MC05g06478	359	466	100	74	362	77.901	467
prot:Minter-1389-PBcR_C01g00072	MvSl-1064-A2-R4_MC05g06479	971	982	100	97	987	61.196	1109
prot:Minter-1389-PBcR_C01g00073	MvSl-1064-A2-R4_MC05g06488	1025	987	98	98	1004	68.020	1238
prot:Minter-1389-PBcR_C01g00074	MvSl-1064-A2-R4_MC05g06489	859	855	100	100	889	84.927	1442
prot:Minter-1389-PBcR_C01g00075	MvSl-1064-A2-R4_MC05g06490	442	546	99	84	461	87.852	749
prot:Minter-1389-PBcR_C01g00076	MvSl-1064-A2-R4_MC05g06491	520	520	100	100	529	82.042	731
prot:Minter-1389-PBcR_C01g00077	MvSl-1064-A2-R4_MC05g06492	760	766	100	99	763	76.147	1110
prot:Minter-1389-PBcR_C01g00078	MvSl-1064-A2-R4_MC05g06494	1415	1406	99	100	1434	70.432	1598
prot:Minter-1389-PBcR_C01g00079	MvSl-1064-A2-R4_MC05g06495	376	375	100	99	376	90.160	689
prot:Minter-1389-PBcR_C01g00080	MvSl-1064-A2-R4_MC05g06496	371	371	100	100	371	80.323	608
prot:Minter-1389-PBcR_C01g00081	MvSl-1064-A2-R4_MC05g06497	1368	1356	100	100	1376	77.762	1979
prot:Minter-1389-PBcR_C01g00082	MvSl-1064-A2-R4_MC05g06499	576	574	99	99	575	88.870	993
prot:Minter-1389-PBcR_C01g00083	MvSl-1064-A2-R4_MC05g06500	1017	1042	100	100	1064	81.955	1545
prot:Minter-1389-PBcR_C01g00084	MvSl-1064-A2-R4_MC05g06501	181	190	100	100	193	81.347	317
prot:Minter-1389-PBcR_C01g00085	MvSl-1064-A2-R4_MC05g06502	347	263	69	98	262	78.244	397
prot:Minter-1389-PBcR_C01g00086	MvSl-1064-A2-R4_MC05g06505	399	423	99	88	398	82.161	629
prot:Minter-1389-PBcR_C01g00087	MvSl-1064-A2-R4_MC05g06506	469	497	97	100	497	76.056	733
prot:Minter-1389-PBcR_C01g00088	MvSl-1064-A2-R4_MC05g06507	3202	3250	100	100	3252	92.405	5968
prot:Minter-1389-PBcR_C01g00089	MvSl-1064-A2-R4_MC05g06508	380	379	100	100	393	82.188	511
prot:Minter-1389-PBcR_C01g00090	MvSl-1064-A2-R4_MC05g06511	92	92	100	100	92	98.913	181
prot:Minter-1389-PBcR_C01g00091	MvSl-1064-A2-R4_MC05g06512	141	156	100	100	156	84.615	268
prot:Minter-1389-PBcR_C01g00092	MvSl-1064-A2-R4_MC05g06513	2358	2361	99	99	2371	84.690	3664
prot:Minter-1389-PBcR_C01g00093	MvSl-1064-A2-R4_MC05g06514	443	472	99	100	480	74.583	660
prot:Minter-1389-PBcR_C01g00094	MvSl-1064-A2-R4_MC05g06515	315	319	100	100	319	91.850	561
prot:Minter-1389-PBcR_C01g00095	MvSl-1064-A2-R4_MC05g06517	480	477	100	98	495	60.404	426
prot:Minter-1389-PBcR_C01g00096	MvSl-1064-A2-R4_MC05g06519	391	341	85	99	340	80.882	568
prot:Minter-1389-PBcR_C01g00097	MvSl-1064-A2-R4_MC05g06520	362	420	100	100	420	73.333	560
prot:Minter-1389-PBcR_C01g00098	MvSl-1064-A2-R4_MC05g06521	205	166	99	94	192	63.415	191
prot:Minter-1389-PBcR_C01g00100	MvSl-1064-A2-R4_MC01g03319	825	830	100	100	836	90.909	1435
prot:Minter-1389-PBcR_C01g00103	MvSl-1064-A2-R4_MC01g03312	265	211	73	92	194	87.113	333
prot:Minter-1389-PBcR_C01g00104	MvSl-1064-A2-R4_MC01g03311	125	118	100	100	125	81.600	169
prot:Minter-1389-PBcR_C01g00105	MvSl-1064-A2-R4_MC01g03310	250	258	99	99	261	65.517	317
prot:Minter-1389-PBcR_C01g00107	MvSl-1064-A2-R4_MC01g03308	538	491	100	100	545	71.743	744
prot:Minter-1389-PBcR_C01g00117	MvSl-1064-A2-R4_MC01g03306	478	452	97	98	476	64.780	495
prot:Minter-1389-PBcR_C01g00118	MvSl-1064-A2-R4_MC01g03303	1418	1470	100	100	1486	78.802	2063
prot:Minter-1389-PBcR_C01g00119	MvSl-1064-A2-R4_MC01g03302	291	375	91	71	292	73.288	379
prot:Minter-1389-PBcR_C01g00120	MvSl-1064-A2-R4_MC01g03301	359	373	100	100	373	94.638	711
prot:Minter-1389-PBcR_C01g00121	MvSl-1064-A2-R4_MC01g03300	129	130	99	98	128	94.531	248
prot:Minter-1389-PBcR_C01g00122	MvSl-1064-A2-R4_MC01g03299	2125	2126	100	100	2126	98.119	4327
prot:Minter-1389-PBcR_C01g00123	MvSl-1064-A2-R4_MC01g03298	322	344	100	100	349	67.714	331
prot:Minter-1389-PBcR_C01g00124	MvSl-1064-A2-R4_MC01g03297	792	887	100	99	889	73.116	1233
prot:Minter-1389-PBcR_C01g00125	MvSl-1064-A2-R4_MC01g03296	384	362	99	95	367	69.251	496
prot:Minter-1389-PBcR_C01g00127	MvSl-1064-A2-R4_MC01g03289	451	408	100	100	454	81.498	628
prot:Minter-1389-PBcR_C01g00128	MvSl-1064-A2-R4_MC01g03287	1269	1254	99	99	1314	67.656	1622
prot:Minter-1389-PBcR_C01g00129	MvSl-1064-A2-R4_MC01g03286	751	738	99	98	761	72.930	912
prot:Minter-1389-PBcR_C01g00130	MvSl-1064-A2-R4_MC01g03285	311	315	99	98	309	90.615	538
prot:Minter-1389-PBcR_C01g00131	MvSl-1064-A2-R4_MC01g03278	460	460	98	98	450	94.000	875
prot:Minter-1389-PBcR_C01g00132	MvSl-1064-A2-R4_MC01g03276	575	575	100	100	575	96.000	1048
prot:Minter-1389-PBcR_C01g00133	MvSl-1064-A2-R4_MC01g03275	798	862	100	94	810	86.049	1321
prot:Minter-1389-PBcR_C01g00134	MvSl-1064-A2-R4_MC01g03274	413	413	100	100	413	91.525	778
prot:Minter-1389-PBcR_C01g00135	MvSl-1064-A2-R4_MC01g03273	275	361	96	75	264	82.784	397
prot:Minter-1389-PBcR_C01g00136	MvSl-1064-A2-R4_MC01g03099	1577	1598	100	99	1590	87.000	2694
prot:Minter-1389-PBcR_C01g00137	MvSl-1064-A2-R4_MC01g03100	830	832	99	94	780	74.645	1056
prot:Minter-1389-PBcR_C01g00138	MvSl-1064-A2-R4_MC01g03101	163	184	94	83	153	85.621	244
prot:Minter-1389-PBcR_C01g00139	MvSl-1064-A2-R4_MC01g03102	316	313	100	100	321	73.832	461
prot:Minter-1389-PBcR_C01g00140	MvSl-1064-A2-R4_MC01g03103	293	319	87	88	281	80.071	446
prot:Minter-1389-PBcR_C01g00141	MvSl-1064-A2-R4_MC01g03104	561	550	99	99	577	85.442	1001
prot:Minter-1389-PBcR_C01g00142	MvSl-1064-A2-R4_MC01g03105	415	415	100	100	415	94.940	819
prot:Minter-1389-PBcR_C01g00144	MvSl-1064-A2-R4_MC01g03146	133	186	83	60	112	62.500	102
prot:Minter-1389-PBcR_C01g00145	MvSl-1064-A2-R4_MC01g03117	226	226	100	100	226	84.956	403
prot:Minter-1389-PBcR_C01g00146	MvSl-1064-A2-R4_MC01g03116	717	742	97	99	738	86.314	1306
prot:Minter-1389-PBcR_C01g00147	MvSl-1064-A2-R4_MC01g03108	457	457	100	100	457	91.904	874
prot:Minter-1389-PBcR_C01g00149	MvSl-1064-A2-R4_MC01g03107	1483	1500	99	99	1504	85.439	2513
prot:Minter-1389-PBcR_C01g00151	MvSl-1064-A2-R4_MC01g03133	124	101	81	100	101	77.228	155
prot:Minter-1389-PBcR_C01g00154	MvSl-1064-A2-R4_MC01g03126	331	336	96	97	326	88.037	574
prot:Minter-1389-PBcR_C01g00167	MvSl-1064-A2-R4_MC01g03245	51	55	78	73	40	82.500	65.1
prot:Minter-1389-PBcR_C01g00170	MvSl-1064-A2-R4_MC01g03247	958	987	99	98	982	74.644	1362
prot:Minter-1389-PBcR_C01g00171	MvSl-1064-A2-R4_MC01g03257	185	185	97	97	180	78.333	292
prot:Minter-1389-PBcR_C01g00172	MvSl-1064-A2-R4_MC01g03258	219	224	95	99	231	71.429	331
prot:Minter-1389-PBcR_C01g00173	MvSl-1064-A2-R4_MC01g03259	1615	1630	100	100	1651	83.838	2278
prot:Minter-1389-PBcR_C01g00174	MvSl-1064-A2-R4_MC01g03260	844	644	77	93	646	87.152	1113
prot:Minter-1389-PBcR_C01g00175	MvSl-1064-A2-R4_MC01g03261	205	348	87	63	192	85.845	355
prot:Minter-1389-PBcR_C01g00176	MvSl-1064-A2-R4_MC01g03265	298	295	99	97	287	72.542	415
prot:Minter-1389-PBcR_C01g00177	MvSl-1064-A2-R4_MC01g03266	569	568	100	100	569	85.589	1007
prot:Minter-1389-PBcR_C01g00178	MvSl-1064-A2-R4_MC01g03085	279	296	91	86	255	72.157	324
prot:Minter-1389-PBcR_C01g00179	MvSl-1064-A2-R4_MC01g03084	324	334	100	100	359	75.766	496
prot:Minter-1389-PBcR_C01g00180	MvSl-1064-A2-R4_MC01g03083	488	491	100	100	491	85.947	790
prot:Minter-1389-PBcR_C01g00181	MvSl-1064-A2-R4_MC01g03082	2563	2563	99	99	2562	90.945	4574
prot:Minter-1389-PBcR_C01g00182	MvSl-1064-A2-R4_MC01g03081	351	420	100	65	356	67.416	366
prot:Minter-1389-PBcR_C01g00183	MvSl-1064-A2-R4_MC01g03077	629	637	99	97	637	74.697	990
prot:Minter-1389-PBcR_C01g00184	MvSl-1064-A2-R4_MC01g03076	772	827	98	95	787	92.884	1488
prot:Minter-1389-PBcR_C01g00185	MvSl-1064-A2-R4_MC01g03075	901	864	100	100	924	86.039	1494
prot:Minter-1389-PBcR_C01g00186	MvSl-1064-A2-R4_MC01g03074	541	532	99	89	509	74.586	655
prot:Minter-1389-PBcR_C01g00187	MvSl-1064-A2-R4_MC01g03073	1201	1248	97	97	1252	68.450	1555
prot:Minter-1389-PBcR_C01g00188	MvSl-1064-A2-R4_MC01g03072	546	369	61	96	360	64.167	385
prot:Minter-1389-PBcR_C01g00189	MvSl-1064-A2-R4_MC01g03091	745	765	100	100	776	82.732	1273
prot:Minter-1389-PBcR_C01g00190	MvSl-1064-A2-R4_MC01g03092	343	270	73	99	259	66.912	303
prot:Minter-1389-PBcR_C01g00191	MvSl-1064-A2-R4_MC01g03094	586	666	99	95	639	76.213	937
prot:Minter-1389-PBcR_C01g00192	MvSl-1064-A2-R4_MC01g03097	1249	1467	99	85	1252	86.342	2143
prot:Minter-1389-PBcR_C01g00194	MvSl-1064-A2-R4_MC01g03068	501	496	100	100	501	83.234	845
prot:Minter-1389-PBcR_C01g00195	MvSl-1064-A2-R4_MC01g03065	397	397	100	100	397	85.390	710
prot:Minter-1389-PBcR_C01g00196	MvSl-1064-A2-R4_MC01g03064	390	385	100	100	392	78.061	636
prot:Minter-1389-PBcR_C01g00198	MvSl-1064-A2-R4_MC01g03059	446	420	97	95	435	64.138	517
prot:Minter-1389-PBcR_C01g00200	MvSl-1064-A2-R4_MC01g03058	2203	2049	93	99	2064	85.174	3542
prot:Minter-1389-PBcR_C01g00202	MvSl-1064-A2-R4_MC01g03054	161	191	85	83	137	91.824	279
prot:Minter-1389-PBcR_C01g00203	MvSl-1064-A2-R4_MC01g03053	524	542	100	97	526	78.897	862
prot:Minter-1389-PBcR_C01g00204	MvSl-1064-A2-R4_MC01g03052	656	643	97	99	677	76.219	983
prot:Minter-1389-PBcR_C01g00205	MvSl-1064-A2-R4_MC01g03049	1576	1684	95	88	1513	84.402	2446
prot:Minter-1389-PBcR_C01g00206	MvSl-1064-A2-R4_MC01g03048	547	598	100	100	600	85.667	1003
prot:Minter-1389-PBcR_C01g00208	MvSl-1064-A2-R4_MC01g03047	660	645	97	100	646	88.700	1122
prot:Minter-1389-PBcR_C01g00209	MvSl-1064-A2-R4_MC01g03046	532	580	100	91	561	74.688	805
prot:Minter-1389-PBcR_C01g00213	MvSl-1064-A2-R4_MC01g03044	582	598	98	98	588	88.776	1050
prot:Minter-1389-PBcR_C01g00216	MvSl-1064-A2-R4_MC01g03034	656	625	100	100	664	82.229	1074
prot:Minter-1389-PBcR_C01g00218	MvSl-1064-A2-R4_MC01g03031	293	301	100	97	293	90.785	542
prot:Minter-1389-PBcR_C01g00220	MvSl-1064-A2-R4_MC01g03014	303	312	99	90	302	69.868	380
prot:Minter-1389-PBcR_C01g00222	MvSl-1064-A2-R4_MC01g03013	1074	1218	95	97	1148	75.859	1671
prot:Minter-1389-PBcR_C01g00225	MvSl-1064-A2-R4_MC01g03022	1389	1364	96	100	1390	76.619	2008
prot:Minter-1389-PBcR_C01g00226	MvSl-1064-A2-R4_MC01g03023	1166	1210	100	100	1211	77.457	1856
prot:Minter-1389-PBcR_C01g00227	MvSl-1064-A2-R4_MC01g03004	351	417	96	80	337	83.383	494
prot:Minter-1389-PBcR_C01g00228	MvSl-1064-A2-R4_MC01g03003	415	412	100	96	395	92.048	773
prot:Minter-1389-PBcR_C01g00229	MvSl-1064-A2-R4_MC01g03002	490	491	100	100	492	82.520	716
prot:Minter-1389-PBcR_C01g00230	MvSl-1064-A2-R4_MC01g03001	390	397	100	98	391	81.586	657
prot:Minter-1389-PBcR_C01g00231	MvSl-1064-A2-R4_MC01g02996	538	559	99	88	501	71.769	726
prot:Minter-1389-PBcR_C01g00232	MvSl-1064-A2-R4_MC01g02995	1002	1027	99	99	1026	87.914	1885
prot:Minter-1389-PBcR_C01g00233	MvSl-1064-A2-R4_MC01g02973	360	329	81	95	313	78.594	498
prot:Minter-1389-PBcR_C01g00234	MvSl-1064-A2-R4_MC01g02975	217	217	96	99	214	70.093	223
prot:Minter-1389-PBcR_C01g00235	MvSl-1064-A2-R4_MC01g02976	306	325	100	94	307	92.834	577
prot:Minter-1389-PBcR_C01g00236	MvSl-1064-A2-R4_MC01g02977	1513	1503	99	99	1507	90.312	2720
prot:Minter-1389-PBcR_C01g00237	MvSl-1064-A2-R4_MC01g02978	210	221	78	83	165	88.108	286
prot:Minter-1389-PBcR_C01g00238	MvSl-1064-A2-R4_MC01g02981	1175	823	70	100	823	80.923	1289
prot:Minter-1389-PBcR_C01g00239	MvSl-1064-A2-R4_MC01g02982	1040	999	100	100	1041	78.770	1538
prot:Minter-1389-PBcR_C01g00240	MvSl-1064-A2-R4_MC01g02984	558	558	100	100	558	86.559	939
prot:Minter-1389-PBcR_C01g00242	MvSl-1064-A2-R4_MC01g02985	356	412	100	89	379	63.061	390
prot:Minter-1389-PBcR_C01g00244	MvSl-1064-A2-R4_MC01g02986	629	609	99	95	643	69.829	762
prot:Minter-1389-PBcR_C01g00245	MvSl-1064-A2-R4_MC01g02987	523	527	100	99	538	81.227	810
prot:Minter-1389-PBcR_C01g00246	MvSl-1064-A2-R4_MC01g02991	390	388	92	98	366	74.479	494
prot:Minter-1389-PBcR_C01g00247	MvSl-1064-A2-R4_MC01g02992	1121	1135	92	94	1036	90.169	1946
prot:Minter-1389-PBcR_C01g00248	MvSl-1064-A2-R4_MC01g02993	473	478	100	100	494	79.352	792
prot:Minter-1389-PBcR_C01g00249	MvSl-1064-A2-R4_MC01g02994	369	404	99	92	374	74.866	527
prot:Minter-1389-PBcR_C01g00250	MvSl-1064-A2-R4_MC01g02970	530	538	100	100	543	69.982	582
prot:Minter-1389-PBcR_C01g00251	MvSl-1064-A2-R4_MC01g02971	876	898	100	100	921	76.982	1240
prot:Minter-1389-PBcR_C01g00252	MvSl-1064-A2-R4_MC01g02972	1107	1148	99	94	1126	77.798	1551
prot:Minter-1389-PBcR_C01g00253	MvSl-1064-A2-R4_MC01g02966	114	172	91	60	104	92.308	199
prot:Minter-1389-PBcR_C01g00254	MvSl-1064-A2-R4_MC01g02965	139	161	99	86	138	93.478	263
prot:Minter-1389-PBcR_C01g00256	MvSl-1064-A2-R4_MC01g02964	127	127	100	100	127	99.213	255
prot:Minter-1389-PBcR_C01g00257	MvSl-1064-A2-R4_MC01g02963	848	873	100	97	848	81.604	1461
prot:Minter-1389-PBcR_C01g00258	MvSl-1064-A2-R4_MC01g02961	251	232	92	98	231	77.489	331
prot:Minter-1389-PBcR_C01g00259	MvSl-1064-A2-R4_MC01g02960	1815	1805	99	100	1812	86.148	3044
prot:Minter-1389-PBcR_C01g00261	MvSl-1064-A2-R4_MC01g02957	520	367	75	98	391	78.261	556
prot:Minter-1389-PBcR_C01g00262	MvSl-1064-A2-R4_MC01g02956	459	652	99	71	484	60.744	525
prot:Minter-1389-PBcR_C01g00263	MvSl-1064-A2-R4_MC01g02955	493	548	96	79	471	70.064	587
prot:Minter-1389-PBcR_C01g00264	MvSl-1064-A2-R4_MC01g02954	156	156	100	100	156	91.026	288
prot:Minter-1389-PBcR_C01g00265	MvSl-1064-A2-R4_MC01g02953	188	175	98	98	185	69.189	246
prot:Minter-1389-PBcR_C01g00266	MvSl-1064-A2-R4_MC01g02952	247	250	100	99	252	70.635	326
prot:Minter-1389-PBcR_C01g00268	MvSl-1064-A2-R4_MC01g02949	527	570	99	99	568	86.444	1009
prot:Minter-1389-PBcR_C01g00269	MvSl-1064-A2-R4_MC01g02947	443	440	100	100	443	90.745	677
prot:Minter-1389-PBcR_C01g00271	MvSl-1064-A2-R4_MC01g02945	518	515	100	100	551	75.136	827
prot:Minter-1389-PBcR_C01g00272	MvSl-1064-A2-R4_MC01g02944	172	172	100	100	172	91.279	323
prot:Minter-1389-PBcR_C01g00273	MvSl-1064-A2-R4_MC01g02943	1004	1005	99	99	1008	80.258	1576
prot:Minter-1389-PBcR_C01g00274	MvSl-1064-A2-R4_MC01g02942	511	527	95	99	527	72.439	623
prot:Minter-1389-PBcR_C01g00276	MvSl-1064-A2-R4_MC01g02939	512	520	100	100	520	97.885	1038
prot:Minter-1389-PBcR_C01g00277	MvSl-1064-A2-R4_MC01g02938	109	122	100	100	122	81.967	209
prot:Minter-1389-PBcR_C01g00278	MvSl-1064-A2-R4_MC01g02937	1062	1055	99	98	1078	66.080	1269
prot:Minter-1389-PBcR_C01g00280	MvSl-1064-A2-R4_MC01g02909	439	495	100	100	499	69.339	502
prot:Minter-1389-PBcR_C01g00281	MvSl-1064-A2-R4_MC01g02932	463	559	79	72	422	63.270	467
prot:Minter-1389-PBcR_C01g00282	MvSl-1064-A2-R4_MC01g02931	270	330	96	78	260	87.308	454
prot:Minter-1389-PBcR_C01g00284	MvSl-1064-A2-R4_MC01g02928	354	351	99	99	349	74.212	543
prot:Minter-1389-PBcR_C01g00285	MvSl-1064-A2-R4_MC01g02927	357	327	91	88	320	62.654	322
prot:Minter-1389-PBcR_C01g00286	MvSl-1064-A2-R4_MC01g02926	594	590	96	100	571	89.244	936
prot:Minter-1389-PBcR_C01g00287	MvSl-1064-A2-R4_MC01g02925	365	333	92	98	337	76.261	454
prot:Minter-1389-PBcR_C01g00289	MvSl-1064-A2-R4_MC01g02923	1146	1256	99	87	1162	60.429	1225
prot:Minter-1389-PBcR_C01g00293	MvSl-1064-A2-R4_MC01g02922	1007	957	100	100	1012	79.051	1516
prot:Minter-1389-PBcR_C01g00295	MvSl-1064-A2-R4_MC01g02920	456	459	97	96	474	75.949	676
prot:Minter-1389-PBcR_C01g00297	MvSl-1064-A2-R4_MC01g02918	356	356	100	100	356	97.472	724
prot:Minter-1389-PBcR_C01g00303	MvSl-1064-A2-R4_MC01g02917	963	956	100	94	972	64.918	1238
prot:Minter-1389-PBcR_C01g00304	MvSl-1064-A2-R4_MC01g02914	289	317	100	100	317	69.085	428
prot:Minter-1389-PBcR_C01g00305	MvSl-1064-A2-R4_MC01g02913	482	452	99	100	489	65.306	575
prot:Minter-1389-PBcR_C01g00306	MvSl-1064-A2-R4_MC01g02912	628	580	81	100	523	84.247	885
prot:Minter-1389-PBcR_C01g00309	MvSl-1064-A2-R4_MC01g02906	459	481	95	91	453	76.522	645
prot:Minter-1389-PBcR_C01g00310	MvSl-1064-A2-R4_MC01g02905	956	1047	99	90	960	78.958	1308
prot:Minter-1389-PBcR_C01g00311	MvSl-1064-A2-R4_MC01g02904	710	717	100	100	739	88.904	1290
prot:Minter-1389-PBcR_C01g00313	MvSl-1064-A2-R4_MC01g02902	437	399	100	100	437	80.092	710
prot:Minter-1389-PBcR_C01g00314	MvSl-1064-A2-R4_MC01g02900	929	952	98	98	963	64.419	899
prot:Minter-1389-PBcR_C01g00315	MvSl-1064-A2-R4_MC01g02899	404	402	92	93	376	73.404	519
prot:Minter-1389-PBcR_C01g00316	MvSl-1064-A2-R4_MC01g02898	980	921	92	89	909	76.593	1335
prot:Minter-1389-PBcR_C01g00317	MvSl-1064-A2-R4_MC01g02897	305	369	100	90	341	63.343	396
prot:Minter-1389-PBcR_C01g00318	MvSl-1064-A2-R4_MC01g02896	789	790	99	100	802	73.940	1095
prot:Minter-1389-PBcR_C01g00321	MvSl-1064-A2-R4_MC01g02891	1651	1411	86	100	1451	90.696	2473
prot:Minter-1389-PBcR_C01g00322	MvSl-1064-A2-R4_MC01g02890	906	784	94	100	861	78.397	1251
prot:Minter-1389-PBcR_C01g00323	MvSl-1064-A2-R4_MC01g02889	250	257	100	100	257	89.883	448
prot:Minter-1389-PBcR_C01g00324	MvSl-1064-A2-R4_MC01g02885	299	344	99	85	295	92.203	529
prot:Minter-1389-PBcR_C01g00326	MvSl-1064-A2-R4_MC01g02884	287	286	100	100	291	92.440	489
prot:Minter-1389-PBcR_C01g00328	MvSl-1064-A2-R4_MC01g02882	291	265	100	100	291	78.351	455
prot:Minter-1389-PBcR_C01g00329	MvSl-1064-A2-R4_MC01g02881	188	162	100	100	188	84.043	290
