gene genename chr start end gene_size
MvSl-1064-A2-R4_MC06-1g07159 MvSl-1064-A1-R4_A2 MAT 103675 105338 1664
MvSl-1064-A2-R4_MC06-1g07160 MvSl-1064-A1-R4_A2 MAT 106017 106550 534
MvSl-1064-A2-R4_MC06-1g07161 MvSl-1064-A1-R4_A2 MAT 106827 107360 534
MvSl-1064-A2-R4_MC06-1g07162 MvSl-1064-A1-R4_A2 MAT 107459 108707 1249
MvSl-1064-A2-R4_MC06-1g07163 MvSl-1064-A1-R4_A2 MAT 111006 112088 1083
MvSl-1064-A2-R4_MC06-1g07164 MvSl-1064-A1-R4_A2 MAT 113180 116250 3071
MvSl-1064-A2-R4_MC06-1g07165 MvSl-1064-A1-R4_A2 MAT 116666 117483 818
MvSl-1064-A2-R4_MC06-1g07166 MvSl-1064-A1-R4_A2 MAT 117846 119923 2078
MvSl-1064-A2-R4_MC06-1g07167 MvSl-1064-A1-R4_A2 MAT 120837 123939 3103
MvSl-1064-A2-R4_MC06-1g07168 MvSl-1064-A1-R4_A2 MAT 124279 125854 1576
MvSl-1064-A2-R4_MC06-1g07169 MvSl-1064-A1-R4_A2 MAT 125900 127588 1689
MvSl-1064-A2-R4_MC06-1g07170 MvSl-1064-A1-R4_A2 MAT 129016 132910 3895
MvSl-1064-A2-R4_MC06-1g07171 MvSl-1064-A1-R4_A2 MAT 133139 133483 345
MvSl-1064-A2-R4_MC06-1g07172 MvSl-1064-A1-R4_A2 MAT 133843 134597 755
MvSl-1064-A2-R4_MC06-1g07173 MvSl-1064-A1-R4_A2 MAT 135794 140296 4503
MvSl-1064-A2-R4_MC06-1g07174 MvSl-1064-A1-R4_A2 MAT 141039 142613 1575
MvSl-1064-A2-R4_MC06-1g07175 MvSl-1064-A1-R4_A2 MAT 142994 143242 249
MvSl-1064-A2-R4_MC06-1g07176 MvSl-1064-A1-R4_A2 MAT 144464 146612 2149
MvSl-1064-A2-R4_MC06-1g07177 MvSl-1064-A1-R4_A2 MAT 146971 151003 4033
MvSl-1064-A2-R4_MC06-1g07178 MvSl-1064-A1-R4_A2 MAT 151235 152645 1411
MvSl-1064-A2-R4_MC06-1g07179 MvSl-1064-A1-R4_A2 MAT 152719 152892 174
MvSl-1064-A2-R4_MC06-1g07180 MvSl-1064-A1-R4_A2 MAT 153001 153273 273
MvSl-1064-A2-R4_MC06-1g07181 MvSl-1064-A1-R4_A2 MAT 153444 153851 408
MvSl-1064-A2-R4_MC06-1g07182 MvSl-1064-A1-R4_A2 MAT 154532 156137 1606
MvSl-1064-A2-R4_MC06-1g07183 MvSl-1064-A1-R4_A2 MAT 157941 159119 1179
MvSl-1064-A2-R4_MC06-1g07184 MvSl-1064-A1-R4_A2 MAT 159463 161579 2117
MvSl-1064-A2-R4_MC06-1g07185 MvSl-1064-A1-R4_A2 MAT 162124 162377 254
MvSl-1064-A2-R4_MC06-1g07186 MvSl-1064-A1-R4_A2 MAT 164580 166246 1667
MvSl-1064-A2-R4_MC06-1g07187 MvSl-1064-A1-R4_A2 MAT 166552 172893 6342
MvSl-1064-A2-R4_MC06-1g07188 MvSl-1064-A1-R4_A2 MAT 173100 176703 3604
MvSl-1064-A2-R4_MC06-1g07189 MvSl-1064-A1-R4_A2 MAT 176923 178416 1494
MvSl-1064-A2-R4_MC06-1g07190 MvSl-1064-A1-R4_A2 MAT 178579 180997 2419
MvSl-1064-A2-R4_MC06-1g07191 MvSl-1064-A1-R4_A2 MAT 181319 181641 323
MvSl-1064-A2-R4_MC06-1g07192 MvSl-1064-A1-R4_A2 MAT 181715 182169 455
MvSl-1064-A2-R4_MC06-1g07193 MvSl-1064-A1-R4_A2 MAT 182929 185224 2296
MvSl-1064-A2-R4_MC06-1g07194 MvSl-1064-A1-R4_A2 MAT 185992 187837 1846
MvSl-1064-A2-R4_MC06-1g07195 MvSl-1064-A1-R4_A2 MAT 188138 188290 153
MvSl-1064-A2-R4_MC06-1g07196 MvSl-1064-A1-R4_A2 MAT 189085 191053 1969
MvSl-1064-A2-R4_MC06-1g07197 MvSl-1064-A1-R4_A2 MAT 191935 194876 2942
MvSl-1064-A2-R4_MC06-1g07198 MvSl-1064-A1-R4_A2 MAT 195321 197875 2555
MvSl-1064-A2-R4_MC06-1g07199 MvSl-1064-A1-R4_A2 MAT 198521 201668 3148
MvSl-1064-A2-R4_MC06-1g07200 MvSl-1064-A1-R4_A2 MAT 201928 203639 1712
MvSl-1064-A2-R4_MC06-1g07201 MvSl-1064-A1-R4_A2 MAT 203949 206098 2150
MvSl-1064-A2-R4_MC06-1g07202 MvSl-1064-A1-R4_A2 MAT 206704 208552 1849
MvSl-1064-A2-R4_MC06-1g07203 MvSl-1064-A1-R4_A2 MAT 209854 212103 2250
MvSl-1064-A2-R4_MC06-1g07204 MvSl-1064-A1-R4_A2 MAT 213864 217048 3185
MvSl-1064-A2-R4_MC06-1g07205 MvSl-1064-A1-R4_A2 MAT 217263 217971 709
MvSl-1064-A2-R4_MC06-1g07206 MvSl-1064-A1-R4_A2 MAT 218085 220417 2333
MvSl-1064-A2-R4_MC06-1g07207 MvSl-1064-A1-R4_A2 MAT 221005 226332 5328
MvSl-1064-A2-R4_MC06-1g07208 MvSl-1064-A1-R4_A2 MAT 226918 229442 2525
MvSl-1064-A2-R4_MC06-1g07209 MvSl-1064-A1-R4_A2 MAT 229682 229984 303
MvSl-1064-A2-R4_MC06-1g07210 MvSl-1064-A1-R4_A2 MAT 230028 230180 153
MvSl-1064-A2-R4_MC06-1g07211 MvSl-1064-A1-R4_A2 MAT 230226 231925 1700
MvSl-1064-A2-R4_MC06-1g07212 MvSl-1064-A1-R4_A2 MAT 232259 233992 1734
MvSl-1064-A2-R4_MC06-1g07213 MvSl-1064-A1-R4_A2 MAT 234223 235877 1655
MvSl-1064-A2-R4_MC06-1g07214 MvSl-1064-A1-R4_A2 MAT 236287 242110 5824
MvSl-1064-A2-R4_MC06-1g07215 MvSl-1064-A1-R4_A2 MAT 243009 244725 1717
MvSl-1064-A2-R4_MC06-1g07216 MvSl-1064-A1-R4_A2 MAT 244917 245826 910
MvSl-1064-A2-R4_MC06-1g07217 MvSl-1064-A1-R4_A2 MAT 246617 249283 2667
MvSl-1064-A2-R4_MC06-1g07218 MvSl-1064-A1-R4_A2 MAT 250390 252343 1954
MvSl-1064-A2-R4_MC06-1g07219 MvSl-1064-A1-R4_A2 MAT 252496 254961 2466
MvSl-1064-A2-R4_MC06-1g07220 MvSl-1064-A1-R4_A2 MAT 255367 259534 4168
MvSl-1064-A2-R4_MC06-1g07221 MvSl-1064-A1-R4_A2 MAT 261357 261907 551
MvSl-1064-A2-R4_MC06-1g07222 MvSl-1064-A1-R4_A2 MAT 262236 264801 2566
MvSl-1064-A2-R4_MC06-1g07223 MvSl-1064-A1-R4_A2 MAT 265091 268619 3529
MvSl-1064-A2-R4_MC06-1g07224 MvSl-1064-A1-R4_A2 MAT 268759 269360 602
MvSl-1064-A2-R4_MC06-1g07225 MvSl-1064-A1-R4_A2 MAT 269779 272152 2374
MvSl-1064-A2-R4_MC06-1g07226 MvSl-1064-A1-R4_A2 MAT 272720 275618 2899
MvSl-1064-A2-R4_MC06-1g07227 MvSl-1064-A1-R4_A2 MAT 277016 279245 2230
MvSl-1064-A2-R4_MC06-1g07228 MvSl-1064-A1-R4_A2 MAT 279663 281327 1665
MvSl-1064-A2-R4_MC06-1g07229 MvSl-1064-A1-R4_A2 MAT 281620 284112 2493
MvSl-1064-A2-R4_MC06-1g07230 MvSl-1064-A1-R4_A2 MAT 284384 284577 194
MvSl-1064-A2-R4_MC06-1g07231 MvSl-1064-A1-R4_A2 MAT 284787 285575 789
MvSl-1064-A2-R4_MC06-1g07232 MvSl-1064-A1-R4_A2 MAT 285948 287216 1269
MvSl-1064-A2-R4_MC06-1g07233 MvSl-1064-A1-R4_A2 MAT 287625 288903 1279
MvSl-1064-A2-R4_MC06-1g07234 MvSl-1064-A1-R4_A2 MAT 289898 294678 4781
MvSl-1064-A2-R4_MC06-1g07235 MvSl-1064-A1-R4_A2 MAT 294871 296239 1369
MvSl-1064-A2-R4_MC06-1g07236 MvSl-1064-A1-R4_A2 MAT 297673 301216 3544
MvSl-1064-A2-R4_MC06-1g07237 MvSl-1064-A1-R4_A2 MAT 301720 303238 1519
MvSl-1064-A2-R4_MC06-1g07238 MvSl-1064-A1-R4_A2 MAT 303690 306985 3296
MvSl-1064-A2-R4_MC06-1g07239 MvSl-1064-A1-R4_A2 MAT 308401 309808 1408
MvSl-1064-A2-R4_MC06-1g07240 MvSl-1064-A1-R4_A2 MAT 310160 311238 1079
MvSl-1064-A2-R4_MC06-1g07241 MvSl-1064-A1-R4_A2 MAT 311763 319106 7344
MvSl-1064-A2-R4_MC06-1g07242 MvSl-1064-A1-R4_A2 MAT 319229 323598 4370
MvSl-1064-A2-R4_MC06-1g07243 MvSl-1064-A1-R4_A2 MAT 324225 326663 2439
MvSl-1064-A2-R4_MC06-1g07244 MvSl-1064-A1-R4_A2 MAT 326800 328998 2199
MvSl-1064-A2-R4_MC06-1g07245 MvSl-1064-A1-R4_A2 MAT 329081 330834 1754
MvSl-1064-A2-R4_MC06-1g07246 MvSl-1064-A1-R4_A2 MAT 330900 332079 1180
MvSl-1064-A2-R4_MC06-1g07247 MvSl-1064-A1-R4_A2 MAT 332744 334796 2053
MvSl-1064-A2-R4_MC06-1g07248 MvSl-1064-A1-R4_A2 MAT 335000 335418 419
MvSl-1064-A2-R4_MC06-1g07249 MvSl-1064-A1-R4_A2 MAT 336594 337820 1227
MvSl-1064-A2-R4_MC06-1g07250 MvSl-1064-A1-R4_A2 MAT 338635 338831 197
MvSl-1064-A2-R4_MC06-1g07251 MvSl-1064-A1-R4_A2 MAT 339074 339471 398
MvSl-1064-A2-R4_MC06-1g07252 MvSl-1064-A1-R4_A2 MAT 340249 343689 3441
MvSl-1064-A2-R4_MC06-1g07253 MvSl-1064-A1-R4_A2 MAT 344170 344664 495
MvSl-1064-A2-R4_MC06-1g07254 MvSl-1064-A1-R4_A2 MAT 345878 349304 3427
MvSl-1064-A2-R4_MC06-1g07255 MvSl-1064-A1-R4_A2 MAT 349919 350789 871
MvSl-1064-A2-R4_MC06-1g07256 MvSl-1064-A1-R4_A2 MAT 352099 353665 1567
MvSl-1064-A2-R4_MC06-1g07257 MvSl-1064-A1-R4_A2 MAT 354095 356162 2068
MvSl-1064-A2-R4_MC06-1g07258 MvSl-1064-A1-R4_A2 MAT 356622 358978 2357
MvSl-1064-A2-R4_MC06-1g07259 MvSl-1064-A1-R4_A2 MAT 359600 359902 303
MvSl-1064-A2-R4_MC06-1g07260 MvSl-1064-A1-R4_A2 MAT 364779 365277 499
MvSl-1064-A2-R4_MC06-1g07261 MvSl-1064-A1-R4_A2 MAT 365417 365968 552
MvSl-1064-A2-R4_MC06-1g07262 MvSl-1064-A1-R4_A2 MAT 367449 375575 8127
MvSl-1064-A2-R4_MC06-1g07263 MvSl-1064-A1-R4_A2 MAT 375965 377101 1137
MvSl-1064-A2-R4_MC06-1g07264 MvSl-1064-A1-R4_A2 MAT 377306 378270 965
MvSl-1064-A2-R4_MC06-1g07265 MvSl-1064-A1-R4_A2 MAT 379210 381728 2519
MvSl-1064-A2-R4_MC06-1g07266 MvSl-1064-A1-R4_A2 MAT 383212 385214 2003
MvSl-1064-A2-R4_MC06-1g07267 MvSl-1064-A1-R4_A2 MAT 385771 389906 4136
MvSl-1064-A2-R4_MC06-1g07268 MvSl-1064-A1-R4_A2 MAT 390270 393755 3486
MvSl-1064-A2-R4_MC06-1g07269 MvSl-1064-A1-R4_A2 MAT 394524 394945 422
MvSl-1064-A2-R4_MC06-1g07270 MvSl-1064-A1-R4_A2 MAT 395225 395386 162
MvSl-1064-A2-R4_MC06-1g07271 MvSl-1064-A1-R4_A2 MAT 397258 397413 156
MvSl-1064-A2-R4_MC06-1g07272 MvSl-1064-A1-R4_A2 MAT 397462 398363 902
MvSl-1064-A2-R4_MC06-1g07273 MvSl-1064-A1-R4_A2 MAT 399673 402085 2413
MvSl-1064-A2-R4_MC06-1g07274 MvSl-1064-A1-R4_A2 MAT 402809 403829 1021
MvSl-1064-A2-R4_MC06-1g07275 MvSl-1064-A1-R4_A2 MAT 404269 407492 3224
MvSl-1064-A2-R4_MC06-1g07276 MvSl-1064-A1-R4_A2 MAT 408969 409352 384
MvSl-1064-A2-R4_MC06-1g07277 MvSl-1064-A1-R4_A2 MAT 409739 413153 3415
MvSl-1064-A2-R4_MC06-1g07278 MvSl-1064-A1-R4_A2 MAT 413618 414949 1332
MvSl-1064-A2-R4_MC06-1g07279 MvSl-1064-A1-R4_A2 MAT 415255 418276 3022
MvSl-1064-A2-R4_MC06-1g07280 MvSl-1064-A1-R4_A2 MAT 418889 421314 2426
MvSl-1064-A2-R4_MC06-1g07281 MvSl-1064-A1-R4_A2 MAT 421482 422895 1414
MvSl-1064-A2-R4_MC06-1g07282 MvSl-1064-A1-R4_A2 MAT 422993 423913 921
MvSl-1064-A2-R4_MC06-1g07283 MvSl-1064-A1-R4_A2 MAT 424595 424980 386
MvSl-1064-A2-R4_MC06-1g07284 MvSl-1064-A1-R4_A2 MAT 425033 427257 2225
MvSl-1064-A2-R4_MC06-1g07285 MvSl-1064-A1-R4_A2 MAT 428136 428872 737
MvSl-1064-A2-R4_MC06-1g07286 MvSl-1064-A1-R4_A2 MAT 429006 431529 2524
MvSl-1064-A2-R4_MC06-1g07287 MvSl-1064-A1-R4_A2 MAT 431734 432029 296
MvSl-1064-A2-R4_MC06-1g07288 MvSl-1064-A1-R4_A2 MAT 432166 434459 2294
MvSl-1064-A2-R4_MC06-1g07289 MvSl-1064-A1-R4_A2 MAT 434967 437511 2545
MvSl-1064-A2-R4_MC06-1g07290 MvSl-1064-A1-R4_A2 MAT 437708 439521 1814
MvSl-1064-A2-R4_MC06-1g07291 MvSl-1064-A1-R4_A2 MAT 439775 440410 636
MvSl-1064-A2-R4_MC06-1g07292 MvSl-1064-A1-R4_A2 MAT 440476 441374 899
MvSl-1064-A2-R4_MC06-1g07293 MvSl-1064-A1-R4_A2 MAT 441603 446482 4880
MvSl-1064-A2-R4_MC06-1g07294 MvSl-1064-A1-R4_A2 MAT 447808 452636 4829
MvSl-1064-A2-R4_MC06-1g07295 MvSl-1064-A1-R4_A2 MAT 456436 457575 1140
MvSl-1064-A2-R4_MC06-1g07296 MvSl-1064-A1-R4_A2 MAT 458128 459375 1248
MvSl-1064-A2-R4_MC06-1g07297 MvSl-1064-A1-R4_A2 MAT 459602 463682 4081
MvSl-1064-A2-R4_MC06-2g07298 MvSl-1064-A1-R4_A2 MAT 112 2618 2507
MvSl-1064-A2-R4_MC06-2g07299 MvSl-1064-A1-R4_A2 MAT 3814 4210 397
MvSl-1064-A2-R4_MC06-2g07300 MvSl-1064-A1-R4_A2 MAT 4373 6262 1890
MvSl-1064-A2-R4_MC06-2g07301 MvSl-1064-A1-R4_A2 MAT 6891 8183 1293
MvSl-1064-A2-R4_MC06-2g07302 MvSl-1064-A1-R4_A2 MAT 10655 14808 4154
MvSl-1064-A2-R4_MC06-2g07303 MvSl-1064-A1-R4_A2 MAT 14966 16697 1732
MvSl-1064-A2-R4_MC06-2g07304 MvSl-1064-A1-R4_A2 MAT 17108 18652 1545
MvSl-1064-A2-R4_MC06-2g07305 MvSl-1064-A1-R4_A2 MAT 18893 19401 509
MvSl-1064-A2-R4_MC06-2g07306 MvSl-1064-A1-R4_A2 MAT 19852 21561 1710
MvSl-1064-A2-R4_MC06-2g07307 MvSl-1064-A1-R4_A2 MAT 25980 27831 1852
MvSl-1064-A2-R4_MC06-2g07308 MvSl-1064-A1-R4_A2 MAT 28241 29775 1535
MvSl-1064-A2-R4_MC06-2g07309 MvSl-1064-A1-R4_A2 MAT 30284 32269 1986
MvSl-1064-A2-R4_MC06-2g07310 MvSl-1064-A1-R4_A2 MAT 34796 37258 2463
MvSl-1064-A2-R4_MC06-2g07311 MvSl-1064-A1-R4_A2 MAT 37875 40738 2864
MvSl-1064-A2-R4_MC06-2g07312 MvSl-1064-A1-R4_A2 MAT 41370 41660 291
MvSl-1064-A2-R4_MC06-2g07313 MvSl-1064-A1-R4_A2 MAT 41926 42134 209
MvSl-1064-A2-R4_MC06-2g07314 MvSl-1064-A1-R4_A2 MAT 42228 42923 696
MvSl-1064-A2-R4_MC06-2g07315 MvSl-1064-A1-R4_A2 MAT 43145 43297 153
MvSl-1064-A2-R4_MC06-2g07316 MvSl-1064-A1-R4_A2 MAT 43568 45249 1682
MvSl-1064-A2-R4_MC06-2g07317 MvSl-1064-A1-R4_A2 MAT 46304 47265 962
MvSl-1064-A2-R4_MC06-2g07318 MvSl-1064-A1-R4_A2 MAT 47346 48500 1155
MvSl-1064-A2-R4_MC06-2g07319 MvSl-1064-A1-R4_A2 MAT 49104 49782 679
MvSl-1064-A2-R4_MC06-2g07320 MvSl-1064-A1-R4_A2 MAT 50071 51799 1729
MvSl-1064-A2-R4_MC06-2g07321 MvSl-1064-A1-R4_A2 MAT 52024 53422 1399
MvSl-1064-A2-R4_MC06-2g07322 MvSl-1064-A1-R4_A2 MAT 53981 56150 2170
MvSl-1064-A2-R4_MC06-2g07323 MvSl-1064-A1-R4_A2 MAT 56555 56827 273
MvSl-1064-A2-R4_MC06-2g07324 MvSl-1064-A1-R4_A2 MAT 58215 58421 207
MvSl-1064-A2-R4_MC06-2g07325 MvSl-1064-A1-R4_A2 MAT 58581 65533 6953
MvSl-1064-A2-R4_MC06-2g07326 MvSl-1064-A1-R4_A2 MAT 66188 66803 616
MvSl-1064-A2-R4_MC06-2g07327 MvSl-1064-A1-R4_A2 MAT 67062 67217 156
MvSl-1064-A2-R4_MC06-2g07328 MvSl-1064-A1-R4_A2 MAT 67970 69274 1305
MvSl-1064-A2-R4_MC06-2g07329 MvSl-1064-A1-R4_A2 MAT 69378 73406 4029
MvSl-1064-A2-R4_MC06-2g07330 MvSl-1064-A1-R4_A2 MAT 73764 73964 201
MvSl-1064-A2-R4_MC06-2g07331 MvSl-1064-A1-R4_A2 MAT 74192 74464 273
MvSl-1064-A2-R4_MC06-2g07332 MvSl-1064-A1-R4_A2 MAT 74555 77069 2515
MvSl-1064-A2-R4_MC06-2g07333 MvSl-1064-A1-R4_A2 MAT 77145 77468 324
MvSl-1064-A2-R4_MC06-2g07334 MvSl-1064-A1-R4_A2 MAT 77720 78071 352
MvSl-1064-A2-R4_MC06-2g07335 MvSl-1064-A1-R4_A2 MAT 78161 82084 3924
MvSl-1064-A2-R4_MC06-2g07336 MvSl-1064-A1-R4_A2 MAT 82679 83112 434
MvSl-1064-A2-R4_MC06-2g07337 MvSl-1064-A1-R4_A2 MAT 83315 83524 210
MvSl-1064-A2-R4_MC06-2g07338 MvSl-1064-A1-R4_A2 MAT 83604 85370 1767
MvSl-1064-A2-R4_MC06-2g07339 MvSl-1064-A1-R4_A2 MAT 85539 90425 4887
MvSl-1064-A2-R4_MC06-2g07340 MvSl-1064-A1-R4_A2 MAT 90788 91277 490
MvSl-1064-A2-R4_MC06-2g07341 MvSl-1064-A1-R4_A2 MAT 91428 97599 6172
MvSl-1064-A2-R4_MC06-2g07342 MvSl-1064-A1-R4_A2 MAT 97686 102532 4847
MvSl-1064-A2-R4_MC06-2g07343 MvSl-1064-A1-R4_A2 MAT 103013 110346 7334
MvSl-1064-A2-R4_MC06-2g07344 MvSl-1064-A1-R4_A2 MAT 110572 111053 482
MvSl-1064-A2-R4_MC06-2g07345 MvSl-1064-A1-R4_A2 MAT 111236 119367 8132
MvSl-1064-A2-R4_MC06-2g07346 MvSl-1064-A1-R4_A2 MAT 119721 128007 8287
MvSl-1064-A2-R4_MC06-2g07347 MvSl-1064-A1-R4_A2 MAT 128312 130292 1981
MvSl-1064-A2-R4_MC06-2g07348 MvSl-1064-A1-R4_A2 MAT 130478 131230 753
MvSl-1064-A2-R4_MC06-2g07349 MvSl-1064-A1-R4_A2 MAT 131610 132359 750
MvSl-1064-A2-R4_MC06-2g07350 MvSl-1064-A1-R4_A2 MAT 132698 133336 639
MvSl-1064-A2-R4_MC06-2g07351 MvSl-1064-A1-R4_A2 MAT 133673 141117 7445
MvSl-1064-A2-R4_MC06-2g07352 MvSl-1064-A1-R4_A2 MAT 141323 145657 4335
MvSl-1064-A2-R4_MC06-2g07353 MvSl-1064-A1-R4_A2 MAT 145726 146635 910
MvSl-1064-A2-R4_MC06-2g07354 MvSl-1064-A1-R4_A2 MAT 147243 148066 824
MvSl-1064-A2-R4_MC06-2g07355 MvSl-1064-A1-R4_A2 MAT 148110 153360 5251
MvSl-1064-A2-R4_MC06-2g07356 MvSl-1064-A1-R4_A2 MAT 153478 164507 11030
MvSl-1064-A2-R4_MC06-2g07357 MvSl-1064-A1-R4_A2 MAT 164752 165147 396
MvSl-1064-A2-R4_MC06-2g07358 MvSl-1064-A1-R4_A2 MAT 165378 171658 6281
MvSl-1064-A2-R4_MC06-2g07359 MvSl-1064-A1-R4_A2 MAT 171758 176468 4711
MvSl-1064-A2-R4_MC06-2g07360 MvSl-1064-A1-R4_A2 MAT 176622 178615 1994
MvSl-1064-A2-R4_MC06-2g07361 MvSl-1064-A1-R4_A2 MAT 178841 184023 5183
MvSl-1064-A2-R4_MC06-2g07362 MvSl-1064-A1-R4_A2 MAT 184137 193876 9740
MvSl-1064-A2-R4_MC06-2g07363 MvSl-1064-A1-R4_A2 MAT 194314 195245 932
MvSl-1064-A2-R4_MC06-2g07364 MvSl-1064-A1-R4_A2 MAT 195972 200178 4207
MvSl-1064-A2-R4_MC06-2g07365 MvSl-1064-A1-R4_A2 MAT 200355 203576 3222
MvSl-1064-A2-R4_MC06-2g07366 MvSl-1064-A1-R4_A2 MAT 203822 209136 5315
MvSl-1064-A2-R4_MC06-2g07367 MvSl-1064-A1-R4_A2 MAT 209316 213780 4465
MvSl-1064-A2-R4_MC06-2g07368 MvSl-1064-A1-R4_A2 MAT 213880 218511 4632
MvSl-1064-A2-R4_MC06-2g07369 MvSl-1064-A1-R4_A2 MAT 218665 219621 957
MvSl-1064-A2-R4_MC06-2g07370 MvSl-1064-A1-R4_A2 MAT 219888 221894 2007
MvSl-1064-A2-R4_MC06-2g07371 MvSl-1064-A1-R4_A2 MAT 222097 223620 1524
MvSl-1064-A2-R4_MC06-2g07372 MvSl-1064-A1-R4_A2 MAT 224011 225525 1515
MvSl-1064-A2-R4_MC06-2g07373 MvSl-1064-A1-R4_A2 MAT 225907 226974 1068
