gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00178	2356.33	2409.54	3298.3	3037.05	2926.96	3084.35
MvSl-1064-A1-R4_A1g00179	865.358	720.932	820.658	877.919	828.485	802.976
MvSl-1064-A1-R4_A1g00180	605.418	442.424	570.489	557.597	655.395	735.683
MvSl-1064-A1-R4_A1g00181	50.898	24.0294	113.319	81.6714	59.0035	78.5089
MvSl-1064-A1-R4_A1g00182	79.592	125.206	146.759	256.479	123.966	111.497
MvSl-1064-A1-R4_A1g00183	209.458	251.955	365.991	453.494	190.78	207.54
MvSl-1064-A1-R4_A1g00184	1293	1366	1275	2016	3702	3110
MvSl-1064-A1-R4_A1g00185	5402	5797	5517	8309	9494	8744
MvSl-1064-A1-R4_A1g00186	3348	3401	8141	10919	6280	5423
MvSl-1064-A1-R4_A1g00187	173.766	153.447	171.507	225.895	99.2742	120.431
MvSl-1064-A1-R4_A1g00188	24.6428	37.5042	1.95647	2.89067	136.951	127.636
MvSl-1064-A1-R4_A1g00189	32043.3	36836.6	12377	13112.8	16549	16390.5
MvSl-1064-A1-R4_A1g00190	328	438	105	105	214	214
MvSl-1064-A1-R4_A1g00191	1527.78	1665.56	2546.3	4912.64	1040.56	1134.29
MvSl-1064-A1-R4_A1g00192	2292.09	2107.34	767.49	652.623	1842.43	1760.41
MvSl-1064-A1-R4_A1g00193	8282.96	9196.52	6868.03	9922.12	6797	7960.04
MvSl-1064-A1-R4_A1g00194	250.391	209.005	289.532	311.794	215.339	233.732
MvSl-1064-A1-R4_A1g00195	97.4777	56.3034	34.9741	29.853	677.639	743.634
MvSl-1064-A1-R4_A1g00196	2.7287	1.1583	6.64967	3.99145	0	3.14085
MvSl-1064-A1-R4_A1g00197	175.617	148.025	256.97	186.034	121.526	101.204
MvSl-1064-A1-R4_A1g00198	285.472	209.678	84.5116	86.13	207.733	259.638
MvSl-1064-A1-R4_A1g00199	1	1	1	0	0	0
MvSl-1064-A1-R4_A1g00200	82.6187	61.7477	23.6751	34.999	151.363	129.328
MvSl-1064-A1-R4_A1g00201	1135.35	1930.21	665.513	979.106	458.105	580.898
MvSl-1064-A1-R4_A1g00202	0	0	3	4	0	1
MvSl-1064-A1-R4_A1g00203	16.8202	2.86993e-05	0.00969352	17.899	27.2486	19.3475
MvSl-1064-A1-R4_A1g00204	0	0	1.84428	0	2.15566	1.06669
MvSl-1064-A1-R4_A1g00205	19.7571	45.6589	40.0914	23.0778	0	0
MvSl-1064-A1-R4_A1g00206	7.73918	1.31664	1.2383	3.0077	670.116	446.339
MvSl-1064-A1-R4_A1g00207	0	1	0	2	0	0
MvSl-1064-A1-R4_A1g00208	414.656	373.578	252.153	234.196	399.63	460.804
MvSl-1064-A1-R4_A1g00209	1523.19	1448.81	1166.12	1248.41	2236.14	2709.39
MvSl-1064-A1-R4_A1g00210	737.727	790	1420	2117	1209.37	965.377
MvSl-1064-A1-R4_A1g00211	9180.05	9448	4315	4643	10046.1	9723.49
MvSl-1064-A1-R4_A1g00212	172.496	68.9021	29.8696	26.808	150.972	228.702
MvSl-1064-A1-R4_A1g00213	28.749	25.3354	7.97754	4.62905	21.6753	28.9767
MvSl-1064-A1-R4_A1g00214	0	1.39289	0	0	0	2.24101
MvSl-1064-A1-R4_A1g00215	195.897	237.164	264.247	500.699	398.019	433.964
MvSl-1064-A1-R4_A1g00216	35.6129	28.9671	51.2417	71.0426	14.6664	28.0823
MvSl-1064-A1-R4_A1g00217	569.491	395.281	545.722	719.572	387.525	418.278
MvSl-1064-A1-R4_A1g00218	64.2845	62.4034	27.7936	16.3546	68.1376	118.357
MvSl-1064-A1-R4_A1g00219	609.726	519.024	129.548	129.56	242.093	399.051
MvSl-1064-A1-R4_A1g00220	45.8839	33.8928	20.8147	48.4183	85.1548	59.6775
MvSl-1064-A1-R4_A1g00221	29.152	19.1942	7.19926	8.45898	12.3998	7.61734
MvSl-1064-A1-R4_A1g00222	138.446	141.411	34.0914	34.3051	194.375	157.777
MvSl-1064-A1-R4_A1g00223	32.8416	52.9749	7.60294	2.17841	81.6146	110.627
MvSl-1064-A1-R4_A1g00224	23.8754	6.41136	7.45716	7.26866	83.6469	50.1861
MvSl-1064-A1-R4_A1g00225	0.529958	0	0	0	0	1.23038e-07
MvSl-1064-A1-R4_A1g00226	1.05079	1.05769	6.26431	8.29773	1.98119	0
MvSl-1064-A1-R4_A1g00227	257.537	163.625	214.225	346.181	166.781	259.557
MvSl-1064-A1-R4_A1g00228	637.671	454.079	266.446	322.027	385.615	548.553
MvSl-1064-A1-R4_A1g00229	0.529958	0	0	0	0	1.23038e-07
MvSl-1064-A1-R4_A1g00230	485	374	1083	1710	1060	990
MvSl-1064-A1-R4_A1g00231	13.6945	10.6961	1.07469	3.20679	22.4785	13.5089
MvSl-1064-A1-R4_A1g00232	27.1494	25.1236	65.2277	44.1095	32.543	50.3283
MvSl-1064-A1-R4_A1g00233	7.08146	12.2429	20.2368	28.1886	2.03931	5.0696
MvSl-1064-A1-R4_A1g00234	93.6196	140.81	34.5211	46.0681	13.8712	36.0886
MvSl-1064-A1-R4_A1g00235	2812.93	3888.98	1572.53	1756.2	1082.7	942.733
MvSl-1064-A1-R4_A1g00236	13301.3	14866	4565.09	6781.21	4764.34	5424.31
MvSl-1064-A1-R4_A1g00237	303.639	254.357	186.776	118.836	367.434	402.691
MvSl-1064-A1-R4_A1g00238	5.04159	16.8332	2.05327	3.05704	3.95583	1.59193
MvSl-1064-A1-R4_A1g00239	672.591	1304.07	206.122	373.413	403.663	409.823
MvSl-1064-A1-R4_A1g00240	580.891	540.086	262.018	295.162	514.741	665.683
MvSl-1064-A1-R4_A1g00241	2778	2856	2197	3043	4332	4258
MvSl-1064-A1-R4_A1g00242	762	711	1563	2397	1505	1486
MvSl-1064-A1-R4_A1g00243	53	44	22	25	69	58
MvSl-1064-A1-R4_A1g00244	214	174	20	15	129	221
MvSl-1064-A1-R4_A1g00245	453	706	1186	1953	531	437
MvSl-1064-A1-R4_A1g00246	1112	1086	1117	1634	2868	2632
MvSl-1064-A1-R4_A1g00247	223.419	118.312	76.7426	105.296	166.584	190.635
MvSl-1064-A1-R4_A1g00248	4830.12	4559.48	2340.23	3660.12	4656.19	5654.25
MvSl-1064-A1-R4_A1g00249	468.462	374.633	309.405	177.614	398.119	491.299
MvSl-1064-A1-R4_A1g00250	150.312	113.397	81.2713	47.9602	65.4077	96.7795
MvSl-1064-A1-R4_A1g00251	316.564	223.823	191.639	89.2334	238.203	264.456
MvSl-1064-A1-R4_A1g00252	122.474	158.719	410.64	203.61	403.039	331.91
MvSl-1064-A1-R4_A1g00253	451.021	474.075	519.479	343.938	578.552	431.521
MvSl-1064-A1-R4_A1g00254	912	745	611	616	1156	1036
MvSl-1064-A1-R4_A1g00255	182	127.3	168	369.739	271.389	334.3
MvSl-1064-A1-R4_A1g00256	358.475	261.136	511.971	361.099	1663.5	1859.82
MvSl-1064-A1-R4_A1g00257	1259.87	1375.21	2443.35	1584.8	2504.85	2865.86
MvSl-1064-A1-R4_A1g00258	0	0	0	0	3.99157	0
MvSl-1064-A1-R4_A1g00259	0	4.92939	0	0	0	1.08678
MvSl-1064-A1-R4_A1g00260	559.241	419.453	312.841	301.938	677.286	663.735
MvSl-1064-A1-R4_A1g00261	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00262	17.8824	21	3	8	39.4691	63.1788
MvSl-1064-A1-R4_A1g00263	1419.99	1284.01	1082.78	1108.4	1418.64	1740
MvSl-1064-A1-R4_A1g00264	9	10	14	2.2006e-07	2.95211	13
MvSl-1064-A1-R4_A1g00265	62.4295	99.1154	69.847	44.8402	40.6771	77.0071
MvSl-1064-A1-R4_A1g00266	814.449	892.439	756.114	835.73	632.631	783.62
MvSl-1064-A1-R4_A1g00267	1	1	1	0	44.0727	51.1093
MvSl-1064-A1-R4_A1g00268	0	2	1	2	28	24
MvSl-1064-A1-R4_A1g00269	7542	7735	4653	5376	5728	5219
MvSl-1064-A1-R4_A1g00270	1194	1223	2448	2669	1083	891
MvSl-1064-A1-R4_A1g00271	44.6777	50.4577	4.5516	11.7918	25.8933	22.1916
MvSl-1064-A1-R4_A1g00272	6.35464	6.34343	0.210201	1.77448	4.93988	7.5382
MvSl-1064-A1-R4_A1g00273	24.3827	16.2957	5.71019	12.8675	8.99954	16.8597
MvSl-1064-A1-R4_A1g00274	7.47096	6.09116	22.589	17.0915	17.6161	16.1686
MvSl-1064-A1-R4_A1g00275	51.1634	121.485	37.6315	229.092	39.274	139.128
MvSl-1064-A1-R4_A1g00276	4.44933	6	1	2	2.24161	0
MvSl-1064-A1-R4_A1g00277	198	225	608	658	228.15	210.201
MvSl-1064-A1-R4_A1g00278	1	1.03544	19.8596	11.7123	4.11101	9.19991
MvSl-1064-A1-R4_A1g00279	154.622	158.892	29.7403	28	64.9896	81.4876
MvSl-1064-A1-R4_A1g00280	3999	4259	2041	2496	4914	4966
MvSl-1064-A1-R4_A1g00281	1662	1498	1971	2038	2721	2475
MvSl-1064-A1-R4_A1g00282	29.2357	23.281	0	0	32.0392	15.3247
MvSl-1064-A1-R4_A1g00283	96.4561	48.9981	55.4505	52.205	278.364	249.118
MvSl-1064-A1-R4_A1g00284	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00285	19.3728	20.2999	16.2788	26.2037	3.30919	8.94848
MvSl-1064-A1-R4_A1g00286	0	0	0	0	0	1.89962
MvSl-1064-A1-R4_A1g00287	120.009	99.786	126.506	164.863	103.92	100.337
MvSl-1064-A1-R4_A1g00288	3.69948	0.562251	6.66952	7.49297	3.61505	4.57858
MvSl-1064-A1-R4_A1g00289	113.373	90.6171	60.0842	54.3013	105.099	111.146
MvSl-1064-A1-R4_A1g00290	2474	2918	2402	3411	3291	2822
MvSl-1064-A1-R4_A1g00291	408.825	251.811	371.022	362.662	554.452	640.089
MvSl-1064-A1-R4_A1g00292	2554	3172	4021	5445	2252	2287
MvSl-1064-A1-R4_A1g00293	400.366	424.723	305.883	415.533	274.118	360.579
MvSl-1064-A1-R4_A1g00294	634.094	451.384	153.106	178.126	300.025	391.814
MvSl-1064-A1-R4_A1g00295	203	273	332	308	219.827	238.745
MvSl-1064-A1-R4_A1g00296	213.888	227.481	299.975	235.108	265.24	227.074
MvSl-1064-A1-R4_A1g00297	143.881	112.539	203.313	255.789	92.4628	91.9192
MvSl-1064-A1-R4_A1g00298	227.595	194.23	340.217	400.253	196.058	175.528
MvSl-1064-A1-R4_A1g00299	81.0914	83.2397	151.57	135.86	85.7613	98.8913
MvSl-1064-A1-R4_A1g00300	642.232	602.871	231.356	275.136	523.134	470.225
MvSl-1064-A1-R4_A1g00301	24.8306	25.465	0	8.16303	25.2717	22.739
MvSl-1064-A1-R4_A1g00302	3.79864	8.04871	6.4176	4.93611	29.0272	28.4531
MvSl-1064-A1-R4_A1g00303	0	0	0	0	3.19428	0
MvSl-1064-A1-R4_A1g00304	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00305	347.066	348.835	903.664	399.45	978.334	870.79
MvSl-1064-A1-R4_A1g00306	35652	25160	1830	1045	1881	1532
MvSl-1064-A1-R4_A1g00307	1913	2289	2756	5000	1980	1985
MvSl-1064-A1-R4_A1g00308	382.597	286.671	462.077	790.376	189.516	165.525
MvSl-1064-A1-R4_A1g00309	0	6.64663	0	0.0097858	0	0
MvSl-1064-A1-R4_A1g00310	1466.25	1322.99	1535.85	1597.06	1044.74	926.727
MvSl-1064-A1-R4_A1g00311	6307	5511	3866	4777	8661	7032
MvSl-1064-A1-R4_A1g00312	10019	14836	2199	3149	1903	1802
MvSl-1064-A1-R4_A1g00313	10970.2	17917.4	2035.28	2503.6	2212.97	3353.2
MvSl-1064-A1-R4_A1g00314	44.5148	48.4155	43.3937	41.2236	43.8373	83.5099
MvSl-1064-A1-R4_A1g00315	25.7715	19.9165	10.3866	5.15092	13.9114	14.0612
MvSl-1064-A1-R4_A1g00316	212.787	168.293	154.408	138.594	125.78	145.691
MvSl-1064-A1-R4_A1g00317	247.647	192.255	174.194	339.998	367.631	342.952
MvSl-1064-A1-R4_A1g00318	6.28979	33.3949	45.401	69.8152	57.4784	44.7744
MvSl-1064-A1-R4_A1g00319	304.717	177.347	50.185	55.0887	81.0831	101.323
MvSl-1064-A1-R4_A1g00320	89	75.3806	10	13	22	18
MvSl-1064-A1-R4_A1g00321	416.104	489.855	290.599	389.134	288.14	355.997
MvSl-1064-A1-R4_A1g00322	113.247	125.579	133.299	121.037	189.655	171.802
MvSl-1064-A1-R4_A1g00323	6.21429	0	3	9.52941	2.03885	3
MvSl-1064-A1-R4_A1g00324	3.43541	4.28431	11.9264	16.2387	8.09116	10.2793
MvSl-1064-A1-R4_A1g00325	0	0	1	2	2	0
MvSl-1064-A1-R4_A1g00326	0	0	0	0	335	382
MvSl-1064-A1-R4_A1g00327	357	357	630	1183	481	443
MvSl-1064-A1-R4_A1g00328	115	182	360	545	277	176
MvSl-1064-A1-R4_A1g00329	55	70	231	300	134	98
MvSl-1064-A1-R4_A1g00330	296.023	299.726	183.055	312.728	112.594	121.775
MvSl-1064-A1-R4_A1g00331	404.801	205.968	146.254	168.951	167.99	190.491
MvSl-1064-A1-R4_A1g00332	13	15	5	3	4	10
MvSl-1064-A1-R4_A1g00333	3.12783	3.16936	2.02664	2.05589	0	0
MvSl-1064-A1-R4_A1g00334	327.376	274.525	283.834	622.405	136.13	224.075
