gene	genename	chr	start	end
MinSal-1389-A1-17072018_C015g08771	MinSal-1389-A1-17072018_C015	aPR	194019	199220
MinSal-1389-A1-17072018_C015g08774	MinSal-1389-A1-17072018_C015	aPR	203587	206434
MinSal-1389-A1-17072018_C015g08775	MinSal-1389-A1-17072018_C015	aPR	206975	208940
MinSal-1389-A1-17072018_C015g08778	MinSal-1389-A1-17072018_C015	aPR	216834	219374
MinSal-1389-A1-17072018_C015g08779	MinSal-1389-A1-17072018_C015	aPR	220056	222122
MinSal-1389-A1-17072018_C015g08787	MinSal-1389-A1-17072018_C015	aPR	237518	240194
MinSal-1389-A1-17072018_C015g08788	MinSal-1389-A1-17072018_C015	aPR	241581	245812
MinSal-1389-A1-17072018_C015g08789	MinSal-1389-A1-17072018_C015	aPR	246295	247249
MinSal-1389-A1-17072018_C015g08791	MinSal-1389-A1-17072018_C015	aPR	249852	250374
MinSal-1389-A1-17072018_C015g08797	MinSal-1389-A1-17072018_C015	aPR	263119	264240
MinSal-1389-A1-17072018_C015g08798	MinSal-1389-A1-17072018_C015	aPR	264466	265628
MinSal-1389-A1-17072018_C015g08800	MinSal-1389-A1-17072018_C015	aPR	271612	275089
MinSal-1389-A1-17072018_C015g08801	MinSal-1389-A1-17072018_C015	aPR	275536	277060
MinSal-1389-A1-17072018_C015g08802	MinSal-1389-A1-17072018_C015	aPR	277587	282872
MinSal-1389-A1-17072018_C015g08803	MinSal-1389-A1-17072018_C015	aPR	283181	284714
MinSal-1389-A1-17072018_C015g08804	MinSal-1389-A1-17072018_C015	aPR	285189	288665
MinSal-1389-A1-17072018_C010g05320	MinSal-1389-A1-17072018_C010	bHD1	10752	11989
MinSal-1389-A1-17072018_C010g05321	MinSal-1389-A1-17072018_C010	bHD1	13885	14988
MinSal-1389-A1-17072018_C010g05322	MinSal-1389-A1-17072018_C010	bHD1	15552	17766
MinSal-1389-A1-17072018_C010g05324	MinSal-1389-A1-17072018_C010	bHD1	21579	22921
MinSal-1389-A1-17072018_C010g05325	MinSal-1389-A1-17072018_C010	bHD1	23482	25265
MinSal-1389-A1-17072018_C010g05326	MinSal-1389-A1-17072018_C010	bHD1	26330	31278
MinSal-1389-A1-17072018_C010g05327	MinSal-1389-A1-17072018_C010	bHD1	31459	33009
MinSal-1389-A1-17072018_C010g05328	MinSal-1389-A1-17072018_C010	bHD1	33238	34824
MinSal-1389-A1-17072018_C010g05329	MinSal-1389-A1-17072018_C010	bHD1	35753	36673
MinSal-1389-A1-17072018_C010g05330	MinSal-1389-A1-17072018_C010	bHD1	37095	37685
MinSal-1389-A1-17072018_C010g05331	MinSal-1389-A1-17072018_C010	bHD1	38405	39388
MinSal-1389-A1-17072018_C010g05335	MinSal-1389-A1-17072018_C010	bHD1	48042	50192
MinSal-1389-A1-17072018_C010g05337	MinSal-1389-A1-17072018_C010	bHD1	55345	58843
MinSal-1389-A1-17072018_C010g05338	MinSal-1389-A1-17072018_C010	bHD1	61783	64284
MinSal-1389-A1-17072018_C010g05339	MinSal-1389-A1-17072018_C010	bHD1	66568	70304
MinSal-1389-A1-17072018_C010g05340	MinSal-1389-A1-17072018_C010	bHD1	71430	73721
MinSal-1389-A1-17072018_C010g05341	MinSal-1389-A1-17072018_C010	bHD1	74330	75556
MinSal-1389-A1-17072018_C010g05342	MinSal-1389-A1-17072018_C010	bHD1	75723	75932
MinSal-1389-A1-17072018_C010g05343	MinSal-1389-A1-17072018_C010	bHD1	76255	78029
MinSal-1389-A1-17072018_C010g05344	MinSal-1389-A1-17072018_C010	bHD1	80572	81410
MinSal-1389-A1-17072018_C010g05345	MinSal-1389-A1-17072018_C010	bHD1	81872	84164
MinSal-1389-A1-17072018_C010g05346	MinSal-1389-A1-17072018_C010	bHD1	84942	87997
MinSal-1389-A1-17072018_C010g05347	MinSal-1389-A1-17072018_C010	bHD1	88631	90089
MinSal-1389-A1-17072018_C010g05348	MinSal-1389-A1-17072018_C010	bHD1	92344	98689
MinSal-1389-A1-17072018_C010g05349	MinSal-1389-A1-17072018_C010	bHD1	98966	100951
MinSal-1389-A1-17072018_C010g05350	MinSal-1389-A1-17072018_C010	bHD1	101092	102538
MinSal-1389-A1-17072018_C010g05351	MinSal-1389-A1-17072018_C010	bHD1	102730	104663
MinSal-1389-A1-17072018_C010g05353	MinSal-1389-A1-17072018_C010	bHD1	108560	111878
MinSal-1389-A1-17072018_C010g05354	MinSal-1389-A1-17072018_C010	bHD1	113046	113706
MinSal-1389-A1-17072018_C010g05355	MinSal-1389-A1-17072018_C010	bHD1	113932	115561
MinSal-1389-A1-17072018_C010g05357	MinSal-1389-A1-17072018_C010	bHD1	118063	119381
MinSal-1389-A1-17072018_C010g05358	MinSal-1389-A1-17072018_C010	bHD1	120416	122719
MinSal-1389-A1-17072018_C010g05359	MinSal-1389-A1-17072018_C010	bHD1	123422	126369
MinSal-1389-A1-17072018_C010g05360	MinSal-1389-A1-17072018_C010	bHD1	126606	128715
MinSal-1389-A1-17072018_C010g05361	MinSal-1389-A1-17072018_C010	bHD1	129224	131394
MinSal-1389-A1-17072018_C010g05362	MinSal-1389-A1-17072018_C010	bHD1	131679	133480
MinSal-1389-A1-17072018_C010g05364	MinSal-1389-A1-17072018_C010	bHD1	134802	136500
MinSal-1389-A1-17072018_C010g05365	MinSal-1389-A1-17072018_C010	bHD1	137165	140483
MinSal-1389-A1-17072018_C010g05366	MinSal-1389-A1-17072018_C010	bHD1	140780	145661
MinSal-1389-A1-17072018_C010g05367	MinSal-1389-A1-17072018_C010	bHD1	146710	149067
MinSal-1389-A1-17072018_C010g05368	MinSal-1389-A1-17072018_C010	bHD1	149317	150668
MinSal-1389-A1-17072018_C010g05369	MinSal-1389-A1-17072018_C010	bHD1	150937	152508
MinSal-1389-A1-17072018_C010g05370	MinSal-1389-A1-17072018_C010	bHD1	152796	153764
MinSal-1389-A1-17072018_C010g05371	MinSal-1389-A1-17072018_C010	bHD1	153994	156133
MinSal-1389-A1-17072018_C010g05372	MinSal-1389-A1-17072018_C010	bHD1	156856	159369
MinSal-1389-A1-17072018_C010g05373	MinSal-1389-A1-17072018_C010	bHD1	160075	165190
MinSal-1389-A1-17072018_C010g05374	MinSal-1389-A1-17072018_C010	bHD1	166190	168203
MinSal-1389-A1-17072018_C010g05376	MinSal-1389-A1-17072018_C010	bHD1	178120	179529
MinSal-1389-A1-17072018_C010g05377	MinSal-1389-A1-17072018_C010	bHD1	179887	181920
MinSal-1389-A1-17072018_C010g05378	MinSal-1389-A1-17072018_C010	bHD1	182252	184714
MinSal-1389-A1-17072018_C010g05379	MinSal-1389-A1-17072018_C010	bHD1	185186	192009
MinSal-1389-A1-17072018_C010g05380	MinSal-1389-A1-17072018_C010	bHD1	192413	193927
MinSal-1389-A1-17072018_C010g05381	MinSal-1389-A1-17072018_C010	bHD1	195845	199025
MinSal-1389-A1-17072018_C010g05382	MinSal-1389-A1-17072018_C010	bHD1	199379	200967
MinSal-1389-A1-17072018_C010g05383	MinSal-1389-A1-17072018_C010	bHD1	201078	203173
MinSal-1389-A1-17072018_C010g05384	MinSal-1389-A1-17072018_C010	bHD1	203859	205333
MinSal-1389-A1-17072018_C010g05385	MinSal-1389-A1-17072018_C010	bHD1	205416	209025
MinSal-1389-A1-17072018_C010g05387	MinSal-1389-A1-17072018_C010	bHD1	216081	218237
MinSal-1389-A1-17072018_C010g05388	MinSal-1389-A1-17072018_C010	bHD1	218815	220462
MinSal-1389-A1-17072018_C010g05389	MinSal-1389-A1-17072018_C010	bHD1	220577	224526
MinSal-1389-A1-17072018_C010g05405	MinSal-1389-A1-17072018_C010	bHD1	262793	263119
MinSal-1389-A1-17072018_C010g05406	MinSal-1389-A1-17072018_C010	bHD1	263222	265713
MinSal-1389-A1-17072018_C010g05407	MinSal-1389-A1-17072018_C010	bHD1	266524	270734
MinSal-1389-A1-17072018_C010g05408	MinSal-1389-A1-17072018_C010	bHD1	270929	276032
MinSal-1389-A1-17072018_C010g05409	MinSal-1389-A1-17072018_C010	bHD1	276401	278696
MinSal-1389-A1-17072018_C010g05410	MinSal-1389-A1-17072018_C010	bHD1	278780	280060
MinSal-1389-A1-17072018_C010g05411	MinSal-1389-A1-17072018_C010	bHD1	280780	286273
MinSal-1389-A1-17072018_C010g05412	MinSal-1389-A1-17072018_C010	bHD1	286500	289227
MinSal-1389-A1-17072018_C010g05413	MinSal-1389-A1-17072018_C010	bHD1	289673	292504
MinSal-1389-A1-17072018_C010g05414	MinSal-1389-A1-17072018_C010	bHD1	292752	295411
MinSal-1389-A1-17072018_C010g05415	MinSal-1389-A1-17072018_C010	bHD1	295589	300502
MinSal-1389-A1-17072018_C010g05416	MinSal-1389-A1-17072018_C010	bHD1	301046	304500
MinSal-1389-A1-17072018_C010g05417	MinSal-1389-A1-17072018_C010	bHD1	305438	306752
MinSal-1389-A1-17072018_C010g05418	MinSal-1389-A1-17072018_C010	bHD1	307007	309369
MinSal-1389-A1-17072018_C010g05419	MinSal-1389-A1-17072018_C010	bHD1	309466	310464
MinSal-1389-A1-17072018_C010g05421	MinSal-1389-A1-17072018_C010	bHD1	314683	315041
MinSal-1389-A1-17072018_C010g05422	MinSal-1389-A1-17072018_C010	bHD1	315934	317924
MinSal-1389-A1-17072018_C010g05423	MinSal-1389-A1-17072018_C010	bHD1	318479	323766
MinSal-1389-A1-17072018_C010g05424	MinSal-1389-A1-17072018_C010	bHD1	323958	328253
MinSal-1389-A1-17072018_C010g05425	MinSal-1389-A1-17072018_C010	bHD1	328798	329817
MinSal-1389-A1-17072018_C010g05426	MinSal-1389-A1-17072018_C010	bHD1	330230	332488
MinSal-1389-A1-17072018_C010g05428	MinSal-1389-A1-17072018_C010	bHD1	342239	345135
MinSal-1389-A1-17072018_C010g05429	MinSal-1389-A1-17072018_C010	bHD1	345705	348983
MinSal-1389-A1-17072018_C010g05430	MinSal-1389-A1-17072018_C010	bHD1	349771	353258
MinSal-1389-A1-17072018_C010g05431	MinSal-1389-A1-17072018_C010	bHD1	353891	357459
MinSal-1389-A1-17072018_C010g05432	MinSal-1389-A1-17072018_C010	bHD1	357779	360054
MinSal-1389-A1-17072018_C010g05433	MinSal-1389-A1-17072018_C010	bHD1	360515	360944
MinSal-1389-A1-17072018_C010g05434	MinSal-1389-A1-17072018_C010	bHD1	361466	364754
MinSal-1389-A1-17072018_C010g05435	MinSal-1389-A1-17072018_C010	bHD1	365586	367123
MinSal-1389-A1-17072018_C010g05436	MinSal-1389-A1-17072018_C010	bHD1	367801	370703
MinSal-1389-A1-17072018_C010g05437	MinSal-1389-A1-17072018_C010	bHD1	371096	373120
MinSal-1389-A1-17072018_C010g05438	MinSal-1389-A1-17072018_C010	bHD1	373411	376342
MinSal-1389-A1-17072018_C010g05439	MinSal-1389-A1-17072018_C010	bHD1	376812	377346
MinSal-1389-A1-17072018_C010g05440	MinSal-1389-A1-17072018_C010	bHD1	377503	378402
MinSal-1389-A1-17072018_C010g05441	MinSal-1389-A1-17072018_C010	bHD1	378557	379159
MinSal-1389-A1-17072018_C010g05442	MinSal-1389-A1-17072018_C010	bHD1	379488	381425
MinSal-1389-A1-17072018_C010g05443	MinSal-1389-A1-17072018_C010	bHD1	383174	388242
MinSal-1389-A1-17072018_C010g05445	MinSal-1389-A1-17072018_C010	bHD1	392294	397167
MinSal-1389-A1-17072018_C010g05446	MinSal-1389-A1-17072018_C010	bHD1	397386	400731
MinSal-1389-A1-17072018_C010g05447	MinSal-1389-A1-17072018_C010	bHD1	400997	402922
MinSal-1389-A1-17072018_C010g05450	MinSal-1389-A1-17072018_C010	bHD1	406412	411793
MinSal-1389-A1-17072018_C010g05451	MinSal-1389-A1-17072018_C010	bHD1	412149	413652
MinSal-1389-A1-17072018_C010g05453	MinSal-1389-A1-17072018_C010	bHD1	415302	415948
MinSal-1389-A1-17072018_C010g05454	MinSal-1389-A1-17072018_C010	bHD1	416501	420572
MinSal-1389-A1-17072018_C010g05455	MinSal-1389-A1-17072018_C010	bHD1	420939	423069
MinSal-1389-A1-17072018_C010g05456	MinSal-1389-A1-17072018_C010	bHD1	424854	428390
MinSal-1389-A1-17072018_C010g05457	MinSal-1389-A1-17072018_C010	bHD1	428575	430779
MinSal-1389-A1-17072018_C010g05458	MinSal-1389-A1-17072018_C010	bHD1	431358	433087
MinSal-1389-A1-17072018_C010g05459	MinSal-1389-A1-17072018_C010	bHD1	433720	436265
MinSal-1389-A1-17072018_C010g05460	MinSal-1389-A1-17072018_C010	bHD1	437195	438391
MinSal-1389-A1-17072018_C010g05461	MinSal-1389-A1-17072018_C010	bHD1	439737	442349
MinSal-1389-A1-17072018_C010g05462	MinSal-1389-A1-17072018_C010	bHD1	442993	444499
MinSal-1389-A1-17072018_C010g05463	MinSal-1389-A1-17072018_C010	bHD1	444967	445689
MinSal-1389-A1-17072018_C010g05466	MinSal-1389-A1-17072018_C010	bHD1	449233	451465
MinSal-1389-A1-17072018_C010g05470	MinSal-1389-A1-17072018_C010	bHD1	460875	462343
MinSal-1389-A1-17072018_C010g05471	MinSal-1389-A1-17072018_C010	bHD1	462731	463157
MinSal-1389-A1-17072018_C010g05472	MinSal-1389-A1-17072018_C010	bHD1	463226	463945
MinSal-1389-A1-17072018_C010g05473	MinSal-1389-A1-17072018_C010	bHD1	464649	466343
MinSal-1389-A1-17072018_C010g05477	MinSal-1389-A1-17072018_C010	bHD1	473650	474493
MinSal-1389-A1-17072018_C010g05478	MinSal-1389-A1-17072018_C010	bHD1	475707	476953
MinSal-1389-A1-17072018_C010g05479	MinSal-1389-A1-17072018_C010	bHD1	477521	478834
MinSal-1389-A1-17072018_C010g05480	MinSal-1389-A1-17072018_C010	bHD1	479317	480647
MinSal-1389-A1-17072018_C010g05481	MinSal-1389-A1-17072018_C010	bHD1	480885	482971
MinSal-1389-A1-17072018_C010g05482	MinSal-1389-A1-17072018_C010	bHD1	483565	486222
MinSal-1389-A1-17072018_C010g05483	MinSal-1389-A1-17072018_C010	bHD1	486380	488099
MinSal-1389-A1-17072018_C010g05484	MinSal-1389-A1-17072018_C010	bHD1	489266	490884
MinSal-1389-A1-17072018_C010g05486	MinSal-1389-A1-17072018_C010	bHD1	495507	499090
MinSal-1389-A1-17072018_C010g05487	MinSal-1389-A1-17072018_C010	bHD1	499262	500920
MinSal-1389-A1-17072018_C010g05488	MinSal-1389-A1-17072018_C010	bHD1	501971	504787
MinSal-1389-A1-17072018_C010g05489	MinSal-1389-A1-17072018_C010	bHD1	505162	507803
MinSal-1389-A1-17072018_C010g05490	MinSal-1389-A1-17072018_C010	bHD1	508129	512577
MinSal-1389-A1-17072018_C010g05491	MinSal-1389-A1-17072018_C010	bHD1	512872	515374
MinSal-1389-A1-17072018_C010g05492	MinSal-1389-A1-17072018_C010	bHD1	516263	518201
MinSal-1389-A1-17072018_C010g05493	MinSal-1389-A1-17072018_C010	bHD1	518802	520672
MinSal-1389-A1-17072018_C010g05494	MinSal-1389-A1-17072018_C010	bHD1	520825	522748
MinSal-1389-A1-17072018_C010g05495	MinSal-1389-A1-17072018_C010	bHD1	523035	524772
MinSal-1389-A1-17072018_C010g05496	MinSal-1389-A1-17072018_C010	bHD1	525400	526298
MinSal-1389-A1-17072018_C010g05497	MinSal-1389-A1-17072018_C010	bHD1	526933	527586
MinSal-1389-A1-17072018_C010g05498	MinSal-1389-A1-17072018_C010	bHD1	530855	536562
MinSal-1389-A1-17072018_C010g05499	MinSal-1389-A1-17072018_C010	bHD1	537307	541223
MinSal-1389-A1-17072018_C010g05500	MinSal-1389-A1-17072018_C010	bHD1	541830	542700
MinSal-1389-A1-17072018_C010g05502	MinSal-1389-A1-17072018_C010	bHD1	546799	547773
MinSal-1389-A1-17072018_C010g05503	MinSal-1389-A1-17072018_C010	bHD1	548013	550956
MinSal-1389-A1-17072018_C010g05504	MinSal-1389-A1-17072018_C010	bHD1	551649	554568
MinSal-1389-A1-17072018_C010g05507	MinSal-1389-A1-17072018_C010	bHD1	561253	562519
MinSal-1389-A1-17072018_C010g05508	MinSal-1389-A1-17072018_C010	bHD1	562627	564197
MinSal-1389-A1-17072018_C010g05509	MinSal-1389-A1-17072018_C010	bHD1	564620	566125
MinSal-1389-A1-17072018_C010g05510	MinSal-1389-A1-17072018_C010	bHD1	567428	569253
MinSal-1389-A1-17072018_C010g05512	MinSal-1389-A1-17072018_C010	bHD1	571522	576235
MinSal-1389-A1-17072018_C010g05513	MinSal-1389-A1-17072018_C010	bHD1	577563	578511
MinSal-1389-A1-17072018_C010g05514	MinSal-1389-A1-17072018_C010	bHD1	579280	582333
MinSal-1389-A1-17072018_C010g05515	MinSal-1389-A1-17072018_C010	bHD1	582850	585040
MinSal-1389-A1-17072018_C010g05516	MinSal-1389-A1-17072018_C010	bHD1	585967	587048
MinSal-1389-A1-17072018_C010g05517	MinSal-1389-A1-17072018_C010	bHD1	587644	589226
MinSal-1389-A1-17072018_C010g05518	MinSal-1389-A1-17072018_C010	bHD1	589510	595583
MinSal-1389-A1-17072018_C010g05519	MinSal-1389-A1-17072018_C010	bHD1	597219	601013
MinSal-1389-A1-17072018_C010g05520	MinSal-1389-A1-17072018_C010	bHD1	601971	603800
MinSal-1389-A1-17072018_C010g05521	MinSal-1389-A1-17072018_C010	bHD1	603965	606243
MinSal-1389-A1-17072018_C010g05522	MinSal-1389-A1-17072018_C010	bHD1	606458	608770
MinSal-1389-A1-17072018_C010g05523	MinSal-1389-A1-17072018_C010	bHD1	608828	609740
MinSal-1389-A1-17072018_C010g05524	MinSal-1389-A1-17072018_C010	bHD1	610227	612673
MinSal-1389-A1-17072018_C010g05525	MinSal-1389-A1-17072018_C010	bHD1	614642	617806
MinSal-1389-A1-17072018_C010g05526	MinSal-1389-A1-17072018_C010	bHD1	618059	620219
MinSal-1389-A1-17072018_C010g05528	MinSal-1389-A1-17072018_C010	bHD1	621435	623276
MinSal-1389-A1-17072018_C010g05529	MinSal-1389-A1-17072018_C010	bHD1	623508	625277
MinSal-1389-A1-17072018_C010g05530	MinSal-1389-A1-17072018_C010	bHD1	625825	627169
MinSal-1389-A1-17072018_C010g05531	MinSal-1389-A1-17072018_C010	bHD1	627321	627506
MinSal-1389-A1-17072018_C010g05532	MinSal-1389-A1-17072018_C010	bHD1	627688	629631
MinSal-1389-A1-17072018_C010g05533	MinSal-1389-A1-17072018_C010	bHD1	629830	630120
MinSal-1389-A1-17072018_C010g05535	MinSal-1389-A1-17072018_C010	bHD1	630673	631005
MinSal-1389-A1-17072018_C010g05537	MinSal-1389-A1-17072018_C010	bHD1	633544	636735
MinSal-1389-A1-17072018_C010g05538	MinSal-1389-A1-17072018_C010	bHD1	637260	638564
MinSal-1389-A1-17072018_C010g05539	MinSal-1389-A1-17072018_C010	bHD1	638668	639764
MinSal-1389-A1-17072018_C010g05540	MinSal-1389-A1-17072018_C010	bHD1	639886	640403
MinSal-1389-A1-17072018_C010g05541	MinSal-1389-A1-17072018_C010	bHD1	641444	642952
MinSal-1389-A1-17072018_C010g05542	MinSal-1389-A1-17072018_C010	bHD1	643619	644664
MinSal-1389-A1-17072018_C010g05543	MinSal-1389-A1-17072018_C010	bHD1	644867	646836
MinSal-1389-A1-17072018_C010g05544	MinSal-1389-A1-17072018_C010	bHD1	647226	649640
MinSal-1389-A1-17072018_C010g05545	MinSal-1389-A1-17072018_C010	bHD1	649902	651202
MinSal-1389-A1-17072018_C010g05546	MinSal-1389-A1-17072018_C010	bHD1	651445	653575
MinSal-1389-A1-17072018_C010g05547	MinSal-1389-A1-17072018_C010	bHD1	653982	655391
MinSal-1389-A1-17072018_C010g05548	MinSal-1389-A1-17072018_C010	bHD1	655969	668077
MinSal-1389-A1-17072018_C010g05558	MinSal-1389-A1-17072018_C010	bHD1	683718	685013
MinSal-1389-A1-17072018_C010g05559	MinSal-1389-A1-17072018_C010	bHD1	685687	690355
MinSal-1389-A1-17072018_C010g05560	MinSal-1389-A1-17072018_C010	bHD1	690861	692686
MinSal-1389-A1-17072018_C010g05561	MinSal-1389-A1-17072018_C010	bHD1	693010	695487
MinSal-1389-A1-17072018_C010g05562	MinSal-1389-A1-17072018_C010	bHD1	695900	697678
MinSal-1389-A1-17072018_C010g05563	MinSal-1389-A1-17072018_C010	bHD1	698276	701439
MinSal-1389-A1-17072018_C010g05564	MinSal-1389-A1-17072018_C010	bHD1	701756	702217
MinSal-1389-A1-17072018_C010g05565	MinSal-1389-A1-17072018_C010	bHD1	702935	703553
MinSal-1389-A1-17072018_C010g05566	MinSal-1389-A1-17072018_C010	bHD1	703749	706767
MinSal-1389-A1-17072018_C010g05567	MinSal-1389-A1-17072018_C010	bHD1	707090	709915
MinSal-1389-A1-17072018_C010g05568	MinSal-1389-A1-17072018_C010	bHD1	710165	712603
MinSal-1389-A1-17072018_C010g05569	MinSal-1389-A1-17072018_C010	bHD1	714010	716326
MinSal-1389-A1-17072018_C010g05570	MinSal-1389-A1-17072018_C010	bHD1	716781	717540
MinSal-1389-A1-17072018_C010g05571	MinSal-1389-A1-17072018_C010	bHD1	718535	720814
MinSal-1389-A1-17072018_C010g05572	MinSal-1389-A1-17072018_C010	bHD1	720881	721498
MinSal-1389-A1-17072018_C010g05573	MinSal-1389-A1-17072018_C010	bHD1	721554	723905
MinSal-1389-A1-17072018_C010g05574	MinSal-1389-A1-17072018_C010	bHD1	724260	726584
MinSal-1389-A1-17072018_C010g05575	MinSal-1389-A1-17072018_C010	bHD1	726979	730670
MinSal-1389-A1-17072018_C010g05576	MinSal-1389-A1-17072018_C010	bHD1	731654	734738
MinSal-1389-A1-17072018_C010g05577	MinSal-1389-A1-17072018_C010	bHD1	735833	738320
MinSal-1389-A1-17072018_C010g05578	MinSal-1389-A1-17072018_C010	bHD1	738586	738744
MinSal-1389-A1-17072018_C010g05579	MinSal-1389-A1-17072018_C010	bHD1	739960	742744
MinSal-1389-A1-17072018_C010g05580	MinSal-1389-A1-17072018_C010	bHD1	743250	744030
MinSal-1389-A1-17072018_C010g05581	MinSal-1389-A1-17072018_C010	bHD1	744275	746635
MinSal-1389-A1-17072018_C010g05582	MinSal-1389-A1-17072018_C010	bHD1	746928	747617
MinSal-1389-A1-17072018_C010g05583	MinSal-1389-A1-17072018_C010	bHD1	749138	752917
MinSal-1389-A1-17072018_C010g05584	MinSal-1389-A1-17072018_C010	bHD1	753222	754477
MinSal-1389-A1-17072018_C010g05585	MinSal-1389-A1-17072018_C010	bHD1	754653	755747
MinSal-1389-A1-17072018_C010g05586	MinSal-1389-A1-17072018_C010	bHD1	755987	757532
MinSal-1389-A1-17072018_C010g05587	MinSal-1389-A1-17072018_C010	bHD1	757709	758168
MinSal-1389-A1-17072018_C010g05588	MinSal-1389-A1-17072018_C010	bHD1	758521	760025
MinSal-1389-A1-17072018_C010g05589	MinSal-1389-A1-17072018_C010	bHD1	761009	764584
MinSal-1389-A1-17072018_C010g05590	MinSal-1389-A1-17072018_C010	bHD1	764889	766587
MinSal-1389-A1-17072018_C010g05591	MinSal-1389-A1-17072018_C010	bHD1	766830	767408
MinSal-1389-A1-17072018_C010g05592	MinSal-1389-A1-17072018_C010	bHD1	767720	771437
MinSal-1389-A1-17072018_C010g05593	MinSal-1389-A1-17072018_C010	bHD1	773776	776677
MinSal-1389-A1-17072018_C010g05594	MinSal-1389-A1-17072018_C010	bHD1	776940	778435
MinSal-1389-A1-17072018_C010g05595	MinSal-1389-A1-17072018_C010	bHD1	779363	781447
MinSal-1389-A1-17072018_C010g05596	MinSal-1389-A1-17072018_C010	bHD1	782120	783123
MinSal-1389-A1-17072018_C010g05597	MinSal-1389-A1-17072018_C010	bHD1	785568	789139
MinSal-1389-A1-17072018_C010g05598	MinSal-1389-A1-17072018_C010	bHD1	789443	791174
MinSal-1389-A1-17072018_C010g05599	MinSal-1389-A1-17072018_C010	bHD1	791719	794462
MinSal-1389-A1-17072018_C010g05600	MinSal-1389-A1-17072018_C010	bHD1	795643	797765
MinSal-1389-A1-17072018_C010g05601	MinSal-1389-A1-17072018_C010	bHD1	798918	799430
