gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00050	2064	3097	4398	7730
MvSl-1064-A1-R4_A1g00051	3151	5424	4030	3892
MvSl-1064-A1-R4_A1g00052	459	224	190	89
MvSl-1064-A1-R4_A1g00053	1889	2769	2074	2024
MvSl-1064-A1-R4_A1g00054	170	288	394	546
MvSl-1064-A1-R4_A1g00055	499	888	1258	1523
MvSl-1064-A1-R4_A1g00056	3978	8505	7007	7439
MvSl-1064-A1-R4_A1g00057	816	1259	978	1113
MvSl-1064-A1-R4_A1g00058	38	43	36	33
MvSl-1064-A1-R4_A1g00059	425	651.959	427	449.981
MvSl-1064-A1-R4_A1g00060	95	103	99	137
MvSl-1064-A1-R4_A1g00061	2973	4420	3509	3255
MvSl-1064-A1-R4_A1g00062	1617.12	1971.19	2391.3	2653.62
MvSl-1064-A1-R4_A1g00063	630	789	755	797
MvSl-1064-A1-R4_A1g00064	3498	7917	5377	5203
MvSl-1064-A1-R4_A1g00065	1356	1542	1604	1431
MvSl-1064-A1-R4_A1g00066	11103.9	16218.3	23335.6	17299.6
MvSl-1064-A1-R4_A1g00067	5	8	7	1
MvSl-1064-A1-R4_A1g00068	22	27	56	50
MvSl-1064-A1-R4_A1g00069	1725	2006	3606	5120
MvSl-1064-A1-R4_A1g00070	2146	2702	2493	2187
MvSl-1064-A1-R4_A1g00071	339	243	217	284
MvSl-1064-A1-R4_A1g00072	3918	2592	2889	2232
MvSl-1064-A1-R4_A1g00073	3982	766	915	575
MvSl-1064-A1-R4_A1g00074	11448	16317	8901	9090
MvSl-1064-A1-R4_A1g00075	0	0	1	1
MvSl-1064-A1-R4_A1g00076	2305	2712	2674	2697
MvSl-1064-A1-R4_A1g00077	2770	5204	3903	4137
MvSl-1064-A1-R4_A1g00078	12395	21728	18113	14249
MvSl-1064-A1-R4_A1g00079	783	1112	1857	2600
MvSl-1064-A1-R4_A1g00080	279	487	512	414
MvSl-1064-A1-R4_A1g00081	62.6253	69.5448	16.7543	29.6551
MvSl-1064-A1-R4_A1g00083	0	0	1	0
MvSl-1064-A1-R4_A1g00084	0	0	0	0
MvSl-1064-A1-R4_A1g00106	14.104	10.0708	5.09333	5.9675
MvSl-1064-A1-R4_A1g00107	4.08201	9.34784	3.24569	5.34491
MvSl-1064-A1-R4_A1g00108	278	279	229	238
MvSl-1064-A1-R4_A1g00109	8767	15786	13464	13578
MvSl-1064-A1-R4_A1g00110	2559	2708	2895	2803
MvSl-1064-A1-R4_A1g00111	0	0	0	0
MvSl-1064-A1-R4_A1g00112	49.901	39.2854	66.5779	49.126
MvSl-1064-A1-R4_A1g00113	2366	1430	1435	1542
MvSl-1064-A1-R4_A1g00367	1134	1258	765	932
MvSl-1064-A1-R4_A1g00368	2313	3732	2955	3590
MvSl-1064-A1-R4_A1g00369	3374	4384	4663	5199
MvSl-1064-A1-R4_A1g00370	2065	2349	2472	2339
MvSl-1064-A1-R4_A1g00371	3419.93	4492.78	3340	3676
MvSl-1064-A1-R4_A1g00372	4575	6043	7013	7276
MvSl-1064-A1-R4_A1g00373	1027	2123	1725	2058
MvSl-1064-A1-R4_A1g00374	554	351	441	561
MvSl-1064-A1-R4_A1g00375	312.13	432.667	7.35978	17.959
MvSl-1064-A1-R4_A1g01392	1210	1309	1995	2382
MvSl-1064-A1-R4_A1g00209	1166.12	1248.41	708.231	682.572
MvSl-1064-A1-R4_A1g01415	2918	3280	5833	6187
MvSl-1064-A1-R4_A1g00290	2402	3411	6655	9773
MvSl-1064-A1-R4_A1g00772	791	1317	1508	1718
MvSl-1064-A1-R4_A1g01389	1572	2258	1586	1627
MvSl-1064-A1-R4_A1g01388	1878	2666	3343	4039
MvSl-1064-A1-R4_A1g01252	1798	2099	3854	3416
MvSl-1064-A1-R4_A1g01253	3194	5689.98	4332	3361
MvSl-1064-A1-R4_A1g00800	3032.59	5771.08	2541.3	2640.21
MvSl-1064-A1-R4_A1g00801	331	558	684	704
MvSl-1064-A1-R4_A1g00593	4104	4725	6570	7000
MvSl-1064-A1-R4_A1g00641	212.777	252.287	60.9065	54.9595
MvSl-1064-A1-R4_A1g00726	4934	8659	7162	6499
MvSl-1064-A1-R4_A1g00246	1117	1634	2642.07	2645.28
MvSl-1064-A1-R4_A1g00215	264.247	500.699	550.37	350.342
MvSl-1064-A1-R4_A1g00233	20.2368	28.1886	7	3
MvSl-1064-A1-R4_A1g00165	3607	4063	4121	3991
MvSl-1064-A1-R4_A1g00481	88.3939	71.0293	266.22	261.167
MvSl-1064-A1-R4_A1g00718	2210	3135	3331	3062
MvSl-1064-A1-R4_A1g00254	611	616	2816	3636
MvSl-1064-A1-R4_A1g00359	21828	32484	63306	58436
MvSl-1064-A1-R4_A1g00281	1971	2038	4356	3506
MvSl-1064-A1-R4_A1g00280	2041	2496	4448	3717
MvSl-1064-A1-R4_A1g00240	262.018	295.162	483.33	474.131
MvSl-1064-A1-R4_A1g00648	1135	1423	2170	2488
MvSl-1064-A1-R4_A1g00492	374.637	351.721	94.2941	97.3721
MvSl-1064-A1-R4_A1g00778	922	1360	1639	2091
MvSl-1064-A1-R4_A1g00779	3475	4431	5716	5300
MvSl-1064-A1-R4_A1g01282	1.03601	1.05068	257.498	329.275
MvSl-1064-A1-R4_A1g00869	7324	12980	8264	8091
MvSl-1064-A1-R4_A1g00405	918	1783	1645	1867
MvSl-1064-A1-R4_A1g00404	270	421	505	470
MvSl-1064-A1-R4_A1g00403	2914	4186	4017	4146
MvSl-1064-A1-R4_A1g00402	4414	5392	5676	6520
MvSl-1064-A1-R4_A1g00401	17240	30850	36717	30792
MvSl-1064-A1-R4_A1g00400	189	204	144	153
MvSl-1064-A1-R4_A1g00399	12173	20709	32293	24874
MvSl-1064-A1-R4_A1g00398	12957	23882	18933	18031
MvSl-1064-A1-R4_A1g00397	13026	21783	15655	15433
MvSl-1064-A1-R4_A1g00396	4328	6775	6349	6061
MvSl-1064-A1-R4_A1g00395	3873	4764	4661	4215
MvSl-1064-A1-R4_A1g00394	3597	6638	4755	4703
MvSl-1064-A1-R4_A1g00393	3	3	6	5
MvSl-1064-A1-R4_A1g00392	2	2	5	9
MvSl-1064-A1-R4_A1g00391	4735	7010	8194	7938
MvSl-1064-A1-R4_A1g00390	410	405	454	489
MvSl-1064-A1-R4_A1g00380	2290.42	3292.55	3200.14	2935.49
MvSl-1064-A1-R4_A1g00379	50	80	14	3
MvSl-1064-A1-R4_A1g01189	2100	2191	2912	2899
MvSl-1064-A1-R4_A1g01376	841	961	2328	2397
MvSl-1064-A1-R4_A1g00624	2497	4034	4021	4404
MvSl-1064-A1-R4_A1g00185	5517	8309	9876	9603
MvSl-1064-A1-R4_A1g00186	8141	10919	8632	7036
MvSl-1064-A1-R4_A1g01038	7333	15004	14263	14952
MvSl-1064-A1-R4_A1g00575	1762	2085	2254	1996
MvSl-1064-A1-R4_A1g00576	201	183	252	226
MvSl-1064-A1-R4_A1g00757	48.5535	42.6547	13	17
MvSl-1064-A1-R4_A1g00756	6	2	10	9
MvSl-1064-A1-R4_A1g00751	2556	2562	2376	2461
MvSl-1064-A1-R4_A1g00750	839	857	1166	1141
MvSl-1064-A1-R4_A1g00594	972	821	155	33
MvSl-1064-A1-R4_A1g00749	1854	1715	671	500
MvSl-1064-A1-R4_A1g00245	1186	1953	1641	1663
MvSl-1064-A1-R4_A1g00635	224.798	404.574	10.1194	13
MvSl-1064-A1-R4_A1g00241	2197	3043	2700	2659
MvSl-1064-A1-R4_A1g00242	1563	2397	2854	2116
MvSl-1064-A1-R4_A1g00270	2448	2669	1073	2049
MvSl-1064-A1-R4_A1g00098	0	0	0	0
MvSl-1064-A1-R4_A1g00211	4315	4643	4921	4506
MvSl-1064-A1-R4_A1g00210	1420	2117	2435	2363
MvSl-1064-A1-R4_A1g01418	273.7	301.826	220.25	183.168
MvSl-1064-A1-R4_A1g00292	4021	5445	5879	5251
MvSl-1064-A1-R4_A1g00406	1176	1838	1910	1798
MvSl-1064-A1-R4_A1g00441	1710.21	3119.12	1596	1722
MvSl-1064-A1-R4_A1g00144	2632	4608	3739	3618
MvSl-1064-A1-R4_A1g01369	15030	18602	23187	21664
MvSl-1064-A1-R4_A1g01368	1340	1496	1709	2288
MvSl-1064-A1-R4_A1g01367	306	292	438	381
MvSl-1064-A1-R4_A1g01366	2485	4184	2804	2964
MvSl-1064-A1-R4_A1g01290	1112	1406	1061.3	1095.27
MvSl-1064-A1-R4_A1g01288	952	1411	1085	1119.61
MvSl-1064-A1-R4_A1g00327	630	1183	520	544
MvSl-1064-A1-R4_A1g00326	0	0	264	321
MvSl-1064-A1-R4_A1g01137	1182	1463	1294	1266
MvSl-1064-A1-R4_A1g01136	749	1400	702	895
MvSl-1064-A1-R4_A1g01154	4444	6202	6749	6659
MvSl-1064-A1-R4_A1g01159	1485	2301	2821	2569
MvSl-1064-A1-R4_A1g01160	1757	1999	1799	1842
MvSl-1064-A1-R4_A1g01161	2315	4245	1912	2013
MvSl-1064-A1-R4_A1g01162	187	140	1229	1237
MvSl-1064-A1-R4_A1g01163	237	354	879	772
MvSl-1064-A1-R4_A1g01212	1359	2084	3982	7222
MvSl-1064-A1-R4_A1g00533	1044	940	2305.13	2357.05
MvSl-1064-A1-R4_A1g00534	13899	22157	23034	19264
MvSl-1064-A1-R4_A1g00541	1672	2191	3324	4297
MvSl-1064-A1-R4_A1g00542	423	586	852.436	995.991
MvSl-1064-A1-R4_A1g00543	3239	3868	5446	5308
MvSl-1064-A1-R4_A1g00544	1366	1710	1422	1741
MvSl-1064-A1-R4_A1g00527	384	359	405.632	481.493
MvSl-1064-A1-R4_A1g00525	2753	3255	2845	2270
MvSl-1064-A1-R4_A1g00524	0	6	1	0
MvSl-1064-A1-R4_A1g00523	7	6	3	0
MvSl-1064-A1-R4_A1g00522	127	95	15	7
MvSl-1064-A1-R4_A1g00669	1450	1845	2216	2107
MvSl-1064-A1-R4_A1g00668	1010.34	1454	1529	1929
MvSl-1064-A1-R4_A1g00312	2199	3149	1604	1547
MvSl-1064-A1-R4_A1g00311	3866	4777	5996	6772
MvSl-1064-A1-R4_A1g00842	4326	3854	3068	2602
MvSl-1064-A1-R4_A1g00843	622	725	742	917
MvSl-1064-A1-R4_A1g00844	11	25	4	6
MvSl-1064-A1-R4_A1g00352	689	906	831	840
MvSl-1064-A1-R4_A1g00351	2887	3602	4612	4032
MvSl-1064-A1-R4_A1g00694	3015	3738	4979	5144.09
MvSl-1064-A1-R4_A1g00693	4000	6205	5156	6055
MvSl-1064-A1-R4_A1g00193	6868.03	9922.12	4420	3722
MvSl-1064-A1-R4_A1g00433	1398	2194	1655	1573
MvSl-1064-A1-R4_A1g00432	6849	9383	15004	9951
MvSl-1064-A1-R4_A1g00644	1130	1978	2648	4611
MvSl-1064-A1-R4_MC03g04896	1421.71	2169.39	985.409	992.821
MvSl-1064-A1-R4_A1g01129	2242	3304	3132.03	3090.17
MvSl-1064-A1-R4_A1g00835	55	37.9902	351	294
MvSl-1064-A1-R4_A1g00845	1695	1571	2270	3039
MvSl-1064-A1-R4_A1g00163	4.48591	3.25787	5	0
MvSl-1064-A1-R4_A1g01358	74	75	121.385	116.796
MvSl-1064-A1-R4_A1g01359	2224	3546	1056.64	1113.69
MvSl-1064-A1-R4_A1g00854	4322	5921	10536	10370
MvSl-1064-A1-R4_A1g00853	3154	4344	4715.12	5713.24
MvSl-1064-A1-R4_A1g01385	1249	2062	2943	3501
MvSl-1064-A1-R4_A1g01384	4262	5059	3530	2035
MvSl-1064-A1-R4_A1g01431	1397	1510	2067	2101
MvSl-1064-A1-R4_A1g01432	766	1390	4092	3728
MvSl-1064-A1-R4_A1g00997	582	815	1082	848
MvSl-1064-A1-R4_A1g00998	705	1256	1577	1307
MvSl-1064-A1-R4_A1g00956	876	1298	3038.14	3307.25
MvSl-1064-A1-R4_A1g00957	729	1108	1163	1184
MvSl-1064-A1-R4_A1g00958	2543	3931	2411	2029
MvSl-1064-A1-R4_A1g00959	107	136	467	418
MvSl-1064-A1-R4_A1g00960	1273	1502	910	874
MvSl-1064-A1-R4_A1g01045	1.69347	0	27.5334	31.1349
MvSl-1064-A1-R4_A1g00968	1795.64	2498.66	3912.72	3655
MvSl-1064-A1-R4_A1g00184	1275	2016	3002	2701
MvSl-1064-A1-R4_A1g00515	871	1244	1423	2231
MvSl-1064-A1-R4_A1g00514	1752	1873	1984	1903
MvSl-1064-A1-R4_A1g00307	2756	5000	3047	3064
MvSl-1064-A1-R4_A1g00503	2199	2988	2793	2638
MvSl-1064-A1-R4_A1g00504	221	226	300	275
MvSl-1064-A1-R4_A1g00505	4676	11846	7422	9751
MvSl-1064-A1-R4_A1g00506	1806	2959	2666	2582
MvSl-1064-A1-R4_A1g00507	1350.12	1542.67	2701	2205
MvSl-1064-A1-R4_A1g00510	1142	1458	1527	1281
MvSl-1064-A1-R4_A1g00511	1982	3091	2977	2636
MvSl-1064-A1-R4_A1g00512	685	933	904	883
MvSl-1064-A1-R4_A1g00513	1710	1851	1365	1301
MvSl-1064-A1-R4_A1g01017	9489	11327	12193	11048
MvSl-1064-A1-R4_A1g00969	218	312	772	592
MvSl-1064-A1-R4_A1g00970	3766	6281	13756	13419
MvSl-1064-A1-R4_A1g00971	1205	1609	904	805
MvSl-1064-A1-R4_A1g00972	760	1175	862	918
MvSl-1064-A1-R4_A1g01184	3038	5088	7355	7837
MvSl-1064-A1-R4_A1g00804	38.551	57.8136	139.851	206.897
MvSl-1064-A1-R4_A1g00732	1496	2232	2342	2345
MvSl-1064-A1-R4_A1g01407	2508	2761	2424	2333
MvSl-1064-A1-R4_A1g01406	48854	76597	46337	48553
MvSl-1064-A1-R4_A1g01219	16461	18377	3813	6031
MvSl-1064-A1-R4_A1g01220	747	1599	2416	2274
MvSl-1064-A1-R4_A1g01173	3936	5750	5748	5245
MvSl-1064-A1-R4_A1g01271	9632	15078	12954	11646
MvSl-1064-A1-R4_A1g01272	9007	14764	12067	11356
MvSl-1064-A1-R4_A1g01261	5550	4823	7529	7185
MvSl-1064-A1-R4_A1g00153	3969	5211	5542	6211
MvSl-1064-A1-R4_A1g00154	514	879	500	449
MvSl-1064-A1-R4_A1g00155	443.724	620.627	882.002	791
MvSl-1064-A1-R4_A1g00175	3168	3953	4354	4441
MvSl-1064-A1-R4_A1g00886	637	791	2025	2597
MvSl-1064-A1-R4_A1g00516	5256	7427	3622	3340
MvSl-1064-A1-R4_A1g00517	198	195	210.041	247.481
MvSl-1064-A1-R4_A1g00518	1790	3069	2110	2046
MvSl-1064-A1-R4_A1g00519	1485	2033	1361	1510
MvSl-1064-A1-R4_A1g00520	1095	1433	1331	1453
MvSl-1064-A1-R4_A1g00521	7014	8180	17699	14790
MvSl-1064-A1-R4_A1g01227	16218	28863	34393	27545
MvSl-1064-A1-R4_A1g01228	391	452	259	299
MvSl-1064-A1-R4_A1g00646	5654	9553	5819	6440
MvSl-1064-A1-R4_A1g00645	1795	3087	2954	3500
MvSl-1064-A1-R4_A1g01347	3051	4665	5732	7716
MvSl-1064-A1-R4_A1g01348	3549	5138	4033	4303
MvSl-1064-A1-R4_A1g01350	1055	1360	1561	1585
MvSl-1064-A1-R4_A1g01351	29019	48527	41835	42487
MvSl-1064-A1-R4_A1g01127	14.1763	9.49496	15.3988	8.69555
MvSl-1064-A1-R4_A1g01164	1505.71	2377.45	1267	1468
MvSl-1064-A1-R4_A1g00150	13.8977	5	2	0
MvSl-1064-A1-R4_A1g00977	458.613	549.194	3239	2483
MvSl-1064-A1-R4_A1g00920	2188	2442	3023	4696
MvSl-1064-A1-R4_A1g00921	1897	2598	5320	5549
MvSl-1064-A1-R4_A1g00923	110	112	138	111
MvSl-1064-A1-R4_A1g00922	787	903	837	1062
MvSl-1064-A1-R4_A1g00912	1160	1942	1850	2490
MvSl-1064-A1-R4_A1g00911	6405	12987	7183	7293
MvSl-1064-A1-R4_A1g00794	1232	1339	2348	2172
MvSl-1064-A1-R4_A1g01413	38.0151	32.0172	19.2431	20.301
MvSl-1064-A1-R4_A1g00478	2761.23	3649.41	4188.21	3852.78
MvSl-1064-A1-R4_A1g00532	1051	1362	1767	1893
MvSl-1064-A1-R4_A1g00453	1.19086	0	40.7361	55.9451
MvSl-1064-A1-R4_A1g00929	0	1.9656	57.9429	104.946
MvSl-1064-A1-R4_A1g00118	285.847	467.733	250.404	282.431
MvSl-1064-A1-R4_A1g00530	2004	2099	2398	2419
MvSl-1064-A1-R4_A1g00529	220	293	197	258
MvSl-1064-A1-R4_A1g00528	145	167	171.697	232.615
MvSl-1064-A1-R4_A1g00820	1	0	1	1
MvSl-1064-A1-R4_A1g00495	2702	4367	886	868
MvSl-1064-A1-R4_A1g00840	1685	1998	1319	1524
MvSl-1064-A1-R4_A1g00832	2977	4012	3645	3651
MvSl-1064-A1-R4_A1g01440	2982	4629	3567	3425
MvSl-1064-A1-R4_A1g01441	1120	1555	1234	1219
MvSl-1064-A1-R4_A1g01442	0	0	0	0
MvSl-1064-A1-R4_A1g01443	0	2.02186	0	0
MvSl-1064-A1-R4_A1g01444	17860	29986	11226	19515
MvSl-1064-A1-R4_A1g01445	2655	3832	3838	3497
MvSl-1064-A1-R4_A1g01446	605	1152	623	559
MvSl-1064-A1-R4_A1g01447	1616	1805	2222	2602
MvSl-1064-A1-R4_A1g01448	80.5632	91.2107	130.237	113.562
MvSl-1064-A1-R4_A1g01450	1600	521	538	677
MvSl-1064-A1-R4_A1g01451	405	505	569	469
MvSl-1064-A1-R4_A1g01453	248	299	201	153
MvSl-1064-A1-R4_A1g01454	208	270	232	260
MvSl-1064-A1-R4_A1g01455	100	141	157	192
MvSl-1064-A1-R4_A1g01456	108	124	156	171
MvSl-1064-A1-R4_A1g01457	151	168	208	235
MvSl-1064-A1-R4_A1g01458	1214	1443	1785	1963
MvSl-1064-A1-R4_A1g01459	0	0	0	1
MvSl-1064-A1-R4_A1g01460	2485	3534	3419	3527
MvSl-1064-A1-R4_A1g01461	2088	3677	3112	3107
MvSl-1064-A1-R4_A1g01462	5985	9613	7726	7561
MvSl-1064-A1-R4_A1g01463	12	19	5	4
MvSl-1064-A1-R4_A1g01464	0	0	0	2
MvSl-1064-A1-R4_A1g01465	21	6	5	3
MvSl-1064-A1-R4_A1g01466	1631	1478	1972	2209
MvSl-1064-A1-R4_A1g01467	578	569	784	821
MvSl-1064-A1-R4_A1g01468	577	663	632	731
MvSl-1064-A1-R4_A1g01469	2	4	3	8
MvSl-1064-A1-R4_A1g01470	990	1930	1773	2251
MvSl-1064-A1-R4_A1g01471	3217	3132	3780	3547
MvSl-1064-A1-R4_A1g01472	1839	2624	2185	2440
MvSl-1064-A1-R4_A1g01473	4486	5939	7938	6295
MvSl-1064-A1-R4_A1g01474	40	46	40	32
MvSl-1064-A1-R4_A1g01475	2	6	8	6
MvSl-1064-A1-R4_A1g01476	1985	3661	2919	2402
MvSl-1064-A1-R4_A1g01477	1705	1681	2195	1618
MvSl-1064-A1-R4_A1g01478	2	5	6	4
MvSl-1064-A1-R4_A1g01479	253	391	170	220
MvSl-1064-A1-R4_A1g01480	2	1	2	3
MvSl-1064-A1-R4_A1g01481	50	47.6881	17	24
MvSl-1064-A1-R4_A1g01482	4.10569	8.09181	7.09942	3.02655
MvSl-1064-A1-R4_A1g01483	2.03554	1	0	1
MvSl-1064-A1-R4_A1g01484	57	60	22	23
MvSl-1064-A1-R4_A1g01485	3458	4164	5582	5143
MvSl-1064-A1-R4_A1g01486	373	261	352	385
MvSl-1064-A1-R4_A1g01487	3453	5172	2680	2231
MvSl-1064-A1-R4_A1g01488	4013.56	3981.76	6211.58	6056.06
MvSl-1064-A1-R4_A1g01489	2413	3247	4004	3336
MvSl-1064-A1-R4_A1g01490	0	0	0	0
MvSl-1064-A1-R4_A1g01491	1	0	0	0
MvSl-1064-A1-R4_A1g01492	0	0	0	0
MvSl-1064-A1-R4_A1g01493	5.156	3.13173	3	6
MvSl-1064-A1-R4_A1g01494	1005.66	1493.06	995.859	1080.83
MvSl-1064-A1-R4_A1g01495	397.754	477.927	332.454	310.599
MvSl-1064-A1-R4_A1g01496	64	104	41	41
MvSl-1064-A1-R4_A1g01497	1012	956	1230	1211
MvSl-1064-A1-R4_A1g01498	700	993	989	959
MvSl-1064-A1-R4_A1g01499	1.00294	1.00083	0	0
MvSl-1064-A1-R4_A1g01500	4564	5964	6767	6730
MvSl-1064-A1-R4_A1g01501	7227	7793	9765	6999
MvSl-1064-A1-R4_A1g01502	4494	4738	6893	7020
MvSl-1064-A1-R4_A1g01503	50.0262	36.3242	86.6673	328.18
MvSl-1064-A1-R4_A1g01504	21.2553	13.8304	7.81864	11.3572
MvSl-1064-A1-R4_A1g01505	546.387	751.732	458.573	497.892
MvSl-1064-A1-R4_A1g01506	0	0	0	0
MvSl-1064-A1-R4_A1g01507	0	0	0	0
MvSl-1064-A1-R4_A1g01508	1195	2081	1092	999
MvSl-1064-A1-R4_A1g01509	2427	4547	8162	12220
MvSl-1064-A1-R4_A1g01510	74.9874	141.606	73.6272	75.6701
MvSl-1064-A1-R4_A1g01511	9.84629	10.4895	25.4175	13.2776
MvSl-1064-A1-R4_A1g01512	5.69245	10.9694	2.50629	10.0858
MvSl-1064-A1-R4_A1g00003	485.58	300.531	112.456	209.44
MvSl-1064-A1-R4_A1g01515	513.891	660.616	1073.52	783.834
MvSl-1064-A1-R4_A1g01516	15.893	0	7.32249	9.22184
MvSl-1064-A1-R4_C24g01527	1.33608	1.05888	0	0
MvSl-1064-A1-R4_C24g01526	3.02756e-06	0	0.414605	8.64295
MvSl-1064-A1-R4_C24g01525	0	0	0	0
MvSl-1064-A1-R4_C24g01523	0	0	0	0
MvSl-1064-A1-R4_MC14g12006	0	0	1.46154	0
MvSl-1064-A1-R4_MC14g12005	0	2.95223	0	0
MvSl-1064-A1-R4_MC14g12004	0	0	1.06565	0
MvSl-1064-A1-R4_MC14g12003	2.06264	0	0	0
MvSl-1064-A1-R4_MC14g12002	0	0	0	0
MvSl-1064-A1-R4_MC14g12001	0	0	0	0
MvSl-1064-A1-R4_MC14g12000	0	0	0	6.0644
MvSl-1064-A1-R4_MC14g11999	0	0	4.79871	0.674461
MvSl-1064-A1-R4_MC14g11998	0	0	0	1.26255
MvSl-1064-A1-R4_MC14g11997	0	0	0	0
MvSl-1064-A1-R4_MC14g11995	0	0	0	0
MvSl-1064-A1-R4_MC06g07032	0	0	0	0
MvSl-1064-A1-R4_MC06g07033	1.18552	5.47777	5.96181	4.76626
MvSl-1064-A1-R4_MC09-2g09582	0	0	0	0
MvSl-1064-A1-R4_MC09-2g09580	106.234	154.345	42.9064	42.0098
MvSl-1064-A1-R4_MC09-2g09579	1.25664	0	2.78542	6.39949e-08
MvSl-1064-A1-R4_MC09-2g09578	5.3649	0	8.84042	2.91086
MvSl-1064-A1-R4_MC09-2g09577	0	0	0	0
MvSl-1064-A1-R4_MC12g11286	724.842	651.902	346.689	327.428
MvSl-1064-A1-R4_MC12g11287	0	0.299895	0	0
MvSl-1064-A1-R4_MC12g11288	2.17034	16.398	8.96643	10.3695
MvSl-1064-A1-R4_MC01-1g01697	104.89	122.026	118.258	131.792
MvSl-1064-A1-R4_MC01-1g01698	19	22	44	26
MvSl-1064-A1-R4_MC01-1g01699	296.347	460.226	415.457	453.296
MvSl-1064-A1-R4_MC01-1g01700	6	3	15	13
MvSl-1064-A1-R4_MC01-1g01701	3658	3699	5953	6289
MvSl-1064-A1-R4_MC01-1g01702	107	127	90	126
MvSl-1064-A1-R4_MC01-1g01703	612.436	673.709	895.34	895.805
MvSl-1064-A1-R4_MC01-1g01704	44.7228	45.7513	84.5	64.8667
MvSl-1064-A1-R4_MC01-1g01705	330.521	420.602	680.072	627.485
MvSl-1064-A1-R4_MC01-1g01706	2	3	0	0
MvSl-1064-A1-R4_MC01-1g01707	69.1487	159.698	88.6276	110.279
MvSl-1064-A1-R4_MC01-1g01708	1346	2446	1665	1331
MvSl-1064-A1-R4_MC01-1g01709	1523	2633	2176	2374
MvSl-1064-A1-R4_MC01-1g01710	419	307	374	278
MvSl-1064-A1-R4_MC01-1g01711	3205	3588	4455	4676
MvSl-1064-A1-R4_MC01-1g01712	2761	4097	3314	3320
MvSl-1064-A1-R4_MC01-1g01713	1030	1190	1858	1518
MvSl-1064-A1-R4_MC01-1g01714	2	1	1	1
MvSl-1064-A1-R4_MC01-1g01715	0	2.23259	1.09381	0
MvSl-1064-A1-R4_MC01-1g01716	536.444	1166.4	662.456	670.494
MvSl-1064-A1-R4_MC01-1g01717	685.902	1019.21	906.512	979.459
MvSl-1064-A1-R4_MC01-1g01718	282.55	381.885	331.649	331.549
MvSl-1064-A1-R4_MC01-1g01719	84.6059	135.138	148.728	192.514
