gene	M1	M2	M3
MinSal-1389-A1-17072018_C001g00165	296	431	154
MinSal-1389-A1-17072018_C001g00167	1437	1719	763
MinSal-1389-A1-17072018_C001g00168	0	1	6
MinSal-1389-A1-17072018_C001g00169	168	219	120
MinSal-1389-A1-17072018_C001g00170	1877	1944	986
MinSal-1389-A1-17072018_C001g00171	723	838	693
MinSal-1389-A1-17072018_C001g00173	5972	6203	3390
MinSal-1389-A1-17072018_C001g00174	430.273	531.293	107.535
MinSal-1389-A1-17072018_C001g00175	0	0	0
MinSal-1389-A1-17072018_C001g00178	145	111	96
MinSal-1389-A1-17072018_C001g00179	4008	3839	1792
MinSal-1389-A1-17072018_C001g00180	2041	1895	1201
MinSal-1389-A1-17072018_C001g00181	715	643	574
MinSal-1389-A1-17072018_C001g00182	0	0	0
MinSal-1389-A1-17072018_C001g00183	196	183	142
MinSal-1389-A1-17072018_C001g00184	1104	1389	762
MinSal-1389-A1-17072018_C001g00185	19	23	18
MinSal-1389-A1-17072018_C001g00186	18	23	8
MinSal-1389-A1-17072018_C001g00187	439	676	221
MinSal-1389-A1-17072018_C001g00188	1666	2082	1148
MinSal-1389-A1-17072018_C001g00189	309	378	171
MinSal-1389-A1-17072018_C001g00190	415	561	335
MinSal-1389-A1-17072018_C001g00191	132	149	67
MinSal-1389-A1-17072018_C001g00192	88	141	73
MinSal-1389-A1-17072018_C001g00193	622	566	447
MinSal-1389-A1-17072018_C001g00194	0	0	0
MinSal-1389-A1-17072018_C001g00195	0	0	0
MinSal-1389-A1-17072018_C001g00196	1074	935	755
MinSal-1389-A1-17072018_C001g00197	446	571	306
MinSal-1389-A1-17072018_C001g00198	505	653	309
MinSal-1389-A1-17072018_C001g00199	1	0	0
MinSal-1389-A1-17072018_C001g00200	2043	2347	873
MinSal-1389-A1-17072018_C001g00201	279	377	165
MinSal-1389-A1-17072018_C001g00207	812	864	275
MinSal-1389-A1-17072018_C001g00208	1715	1648	1122
MinSal-1389-A1-17072018_C001g00209	0	0	0
MinSal-1389-A1-17072018_C001g00210	22	53	12
MinSal-1389-A1-17072018_C001g00211	9287	10620	5006
MinSal-1389-A1-17072018_C001g00214	80	83	51
MinSal-1389-A1-17072018_C001g00215	674	856	325
MinSal-1389-A1-17072018_C001g00216	0	0	0
MinSal-1389-A1-17072018_C001g00217	0	0	0
MinSal-1389-A1-17072018_C001g00218	0	0	0
MinSal-1389-A1-17072018_C001g00219	0	0	0
MinSal-1389-A1-17072018_C001g00220	0	0	0
MinSal-1389-A1-17072018_C001g00221	278	340	195
MinSal-1389-A1-17072018_C001g00222	1618	1853	957
MinSal-1389-A1-17072018_C001g00223	675	725	520
MinSal-1389-A1-17072018_C001g00224	7270	8398	1591
MinSal-1389-A1-17072018_C001g00226	399	404	267
MinSal-1389-A1-17072018_C001g00227	0	0	0
MinSal-1389-A1-17072018_C001g00228	656	872	424
MinSal-1389-A1-17072018_C001g00229	201	314	152
MinSal-1389-A1-17072018_C001g00230	0	0	1
MinSal-1389-A1-17072018_C001g00231	292	297	146
MinSal-1389-A1-17072018_C001g00232	98	153	118
MinSal-1389-A1-17072018_C001g00234	35	39	44
MinSal-1389-A1-17072018_C001g00235	290	356	180
MinSal-1389-A1-17072018_C001g00236	714	905	565
MinSal-1389-A1-17072018_C001g00237	54	74	69
MinSal-1389-A1-17072018_C001g00240	7628	6826	7361
MinSal-1389-A1-17072018_C001g00241	2934	3151	2610
MinSal-1389-A1-17072018_C001g00242	144	166	124
MinSal-1389-A1-17072018_C001g00243	33	41	17
MinSal-1389-A1-17072018_C001g00244	93	86	46
MinSal-1389-A1-17072018_C001g00246	1	2	5
MinSal-1389-A1-17072018_C001g00247	263	311	177
MinSal-1389-A1-17072018_C001g00248	1388	1922	1073
MinSal-1389-A1-17072018_C001g00249	0	0	0
MinSal-1389-A1-17072018_C001g00250	707	595	683
MinSal-1389-A1-17072018_C001g00251	0	0	0
MinSal-1389-A1-17072018_C001g00253	0	1	0
MinSal-1389-A1-17072018_C001g00254	0	0	0
MinSal-1389-A1-17072018_C001g00255	2	1	0
MinSal-1389-A1-17072018_C001g00258	0	0	0
MinSal-1389-A1-17072018_C001g00259	6040	6722	4110
MinSal-1389-A1-17072018_C001g00265	2812	3031	1691
MinSal-1389-A1-17072018_C001g00266	0	0	0
MinSal-1389-A1-17072018_C001g00268	307	266	133
MinSal-1389-A1-17072018_C001g00269	1313	1638	929
MinSal-1389-A1-17072018_C001g00270	47	57	39
MinSal-1389-A1-17072018_C001g00271	1216.29	1306	641.529
MinSal-1389-A1-17072018_C001g00272	625	860	329
MinSal-1389-A1-17072018_C001g00274	405	325	276
MinSal-1389-A1-17072018_C001g00275	976	1216	686
MinSal-1389-A1-17072018_C001g00276	0	0	0
MinSal-1389-A1-17072018_C001g00277	388	363	250
MinSal-1389-A1-17072018_C001g00279	309	388	104
MinSal-1389-A1-17072018_C001g00280	166	195	83
MinSal-1389-A1-17072018_C001g00281	0	0	0
MinSal-1389-A1-17072018_C001g00282	191	331	179
MinSal-1389-A1-17072018_C001g00283	19432	12591	14271
MinSal-1389-A1-17072018_C001g00284	0	0	0
MinSal-1389-A1-17072018_C001g00285	232	191	156
MinSal-1389-A1-17072018_C001g00286	0	0	0
MinSal-1389-A1-17072018_C001g00287	0	0	0
MinSal-1389-A1-17072018_C001g00288	0	0	0
MinSal-1389-A1-17072018_C001g00289	2261	2592	1180
MinSal-1389-A1-17072018_C001g00290	1610	1937	800
MinSal-1389-A1-17072018_C001g00291	1147	1463	552
MinSal-1389-A1-17072018_C001g00292	4051	4614	1019
MinSal-1389-A1-17072018_C001g00293	1047	1135	613
MinSal-1389-A1-17072018_C001g00294	2726	3674	1790
MinSal-1389-A1-17072018_C001g00295	1004	993	784
MinSal-1389-A1-17072018_C001g00297	151	152	88
MinSal-1389-A1-17072018_C001g00298	0	0	0
MinSal-1389-A1-17072018_C001g00299	0	0	0
MinSal-1389-A1-17072018_C001g00301	3838	4339	1458
MinSal-1389-A1-17072018_C001g00302	474	570	254
MinSal-1389-A1-17072018_C001g00304	34	25	25
MinSal-1389-A1-17072018_C001g00305	702	889	400
MinSal-1389-A1-17072018_C001g00307	609	725	390
MinSal-1389-A1-17072018_C001g00308	1339	1508	773
MinSal-1389-A1-17072018_C001g00309	2636	2860	1816
MinSal-1389-A1-17072018_C001g00310	242	248	157
MinSal-1389-A1-17072018_C001g00312	0	0	0
MinSal-1389-A1-17072018_C001g00313	0	0	0
MinSal-1389-A1-17072018_C001g00314	794	708	534
MinSal-1389-A1-17072018_C001g00315	4471	2530	3924
MinSal-1389-A1-17072018_C001g00318	519	607	290
MinSal-1389-A1-17072018_C001g00319	1760	1958	851
MinSal-1389-A1-17072018_C001g00320	209	216	173
MinSal-1389-A1-17072018_C001g00321	8149	8780	5690
MinSal-1389-A1-17072018_C001g00322	0	0	0
MinSal-1389-A1-17072018_C001g00323	397	443	308
MinSal-1389-A1-17072018_C001g00325	1036	1055	504
MinSal-1389-A1-17072018_C001g00326	335	357	296
MinSal-1389-A1-17072018_C001g00327	917	895	795
MinSal-1389-A1-17072018_C001g00328	1180	1137	849
MinSal-1389-A1-17072018_C001g00329	954	930	562
MinSal-1389-A1-17072018_C001g00330	4608	4634	3176
MinSal-1389-A1-17072018_C001g00331	124	183	143
MinSal-1389-A1-17072018_C001g00332	1133	1358	684
MinSal-1389-A1-17072018_C001g00333	457	618	286
MinSal-1389-A1-17072018_C001g00334	0	0	0
MinSal-1389-A1-17072018_C001g00335	2	1	2
MinSal-1389-A1-17072018_C001g00337	206	259	112
MinSal-1389-A1-17072018_C001g00338	0	0	0
MinSal-1389-A1-17072018_C001g00339	825	1127	538
MinSal-1389-A1-17072018_C001g00340	2306	2927	1167
MinSal-1389-A1-17072018_C001g00341	45	34	13
MinSal-1389-A1-17072018_C001g00342	5981	6473	3108
MinSal-1389-A1-17072018_C001g00343	0	0	0
MinSal-1389-A1-17072018_C001g00344	0	0	0
MinSal-1389-A1-17072018_C001g00345	1042	1266	591
MinSal-1389-A1-17072018_C001g00346	133	162	78
MinSal-1389-A1-17072018_C001g00347	334	407	187
MinSal-1389-A1-17072018_C001g00348	0	0	0
MinSal-1389-A1-17072018_C001g00349	2488	2650	1265
MinSal-1389-A1-17072018_C001g00350	1923	1001	1325
MinSal-1389-A1-17072018_C001g00352	1446	1468	909
MinSal-1389-A1-17072018_C001g00353	7188	7737	4023
MinSal-1389-A1-17072018_C001g00354	1125	1375	651
MinSal-1389-A1-17072018_C001g00356	0	0	0
MinSal-1389-A1-17072018_C001g00357	774	594	774
MinSal-1389-A1-17072018_C001g00358	569	624	333
MinSal-1389-A1-17072018_C001g00359	894	1002	466
MinSal-1389-A1-17072018_C001g00360	2289	2894	1390
MinSal-1389-A1-17072018_C001g00361	161	227	98
MinSal-1389-A1-17072018_C001g00362	0	0	0
MinSal-1389-A1-17072018_C001g00363	972	876	386
MinSal-1389-A1-17072018_C001g00364	138	192	78
MinSal-1389-A1-17072018_C001g00365	1901	2030	912
MinSal-1389-A1-17072018_C001g00366	993	689	699
MinSal-1389-A1-17072018_C001g00367	1185	1083	692
MinSal-1389-A1-17072018_C001g00368	0	0	0
MinSal-1389-A1-17072018_C001g00370	228	263	134
MinSal-1389-A1-17072018_C001g00371	0	0	0
MinSal-1389-A1-17072018_C001g00372	1055	1249	450
MinSal-1389-A1-17072018_C001g00373	778	863	480
MinSal-1389-A1-17072018_C001g00374	1025	955	472
MinSal-1389-A1-17072018_C001g00375	17	22	14
MinSal-1389-A1-17072018_C001g00376	1	0	0
MinSal-1389-A1-17072018_C001g00377	2837	3080	1523
MinSal-1389-A1-17072018_C001g00378	636	731	336
MinSal-1389-A1-17072018_C001g00379	368.56	322.973	203.04
MinSal-1389-A1-17072018_C001g00380	0	0	0
MinSal-1389-A1-17072018_C001g00381	0	0	0
MinSal-1389-A1-17072018_C001g00382	436	470	262
MinSal-1389-A1-17072018_C001g00383	0	0	0
MinSal-1389-A1-17072018_C001g00384	0	0	0
MinSal-1389-A1-17072018_C001g00385	4813	5829	4126
MinSal-1389-A1-17072018_C001g00386	109	141	75
MinSal-1389-A1-17072018_C001g00387	1204	1037	510
MinSal-1389-A1-17072018_C001g00391	0	0	0
MinSal-1389-A1-17072018_C001g00392	172	167	91
MinSal-1389-A1-17072018_C001g00393	2266	2642	1115
MinSal-1389-A1-17072018_C001g00394	619	575	404
MinSal-1389-A1-17072018_C001g00395	219	275	160
MinSal-1389-A1-17072018_C001g00396	320	408	206
MinSal-1389-A1-17072018_C001g00397	518	681	339
MinSal-1389-A1-17072018_C001g00398	37	61	13
MinSal-1389-A1-17072018_C001g00399	1020	1218	618
MinSal-1389-A1-17072018_C001g00400	600	649	371
MinSal-1389-A1-17072018_C001g00401	1527	2244	822
MinSal-1389-A1-17072018_C001g00402	356	721	176
MinSal-1389-A1-17072018_C001g00403	445	562	309
MinSal-1389-A1-17072018_C001g00404	0	0	0
MinSal-1389-A1-17072018_C001g00405	1	0	0
MinSal-1389-A1-17072018_C001g00406	91	168	76
MinSal-1389-A1-17072018_C001g00407	59	86	56
MinSal-1389-A1-17072018_C001g00408	911	1216	525
MinSal-1389-A1-17072018_C001g00409	450	634	341
MinSal-1389-A1-17072018_C001g00410	627	664	222
MinSal-1389-A1-17072018_C001g00411	554	654	473
MinSal-1389-A1-17072018_C001g00412	669	725	195
MinSal-1389-A1-17072018_C001g00415	3458.8	3812.82	1789.38
MinSal-1389-A1-17072018_C001g00416	8412	6568	4954
MinSal-1389-A1-17072018_C001g00419	1576	1804	749
MinSal-1389-A1-17072018_C001g00420	524	693	308
MinSal-1389-A1-17072018_C001g00421	22	46	5
MinSal-1389-A1-17072018_C001g00422	1	0	0
MinSal-1389-A1-17072018_C001g00423	60	63	30
MinSal-1389-A1-17072018_C001g00424	0	0	0
MinSal-1389-A1-17072018_C001g00425	3788	4065	2466
MinSal-1389-A1-17072018_C001g00426	1082	1450	563
MinSal-1389-A1-17072018_C001g00429	5	1	2
MinSal-1389-A1-17072018_C001g00430	5049	5168	3157
MinSal-1389-A1-17072018_C001g00431	0	1	0
MinSal-1389-A1-17072018_C001g00432	0	0	0
MinSal-1389-A1-17072018_C001g00433	1047	1151	539
MinSal-1389-A1-17072018_C001g00434	32	41	36
MinSal-1389-A1-17072018_C001g00435	1	1	0
MinSal-1389-A1-17072018_C001g00436	341	300	154
MinSal-1389-A1-17072018_C001g00437	1	0	0
MinSal-1389-A1-17072018_C001g00438	216	216	157
MinSal-1389-A1-17072018_C001g00439	1040	1214	521
MinSal-1389-A1-17072018_C001g00440	1734	1789	1297
MinSal-1389-A1-17072018_C001g00441	0	0	0
MinSal-1389-A1-17072018_C001g00442	185	277	148
MinSal-1389-A1-17072018_C001g00443	0	0	0
MinSal-1389-A1-17072018_C001g00444	8855	7627	6314
MinSal-1389-A1-17072018_C001g00445	0	0	0
MinSal-1389-A1-17072018_C001g00446	191	211	104
MinSal-1389-A1-17072018_C001g00447	0	0	0
MinSal-1389-A1-17072018_C001g00448	0	0	0
MinSal-1389-A1-17072018_C001g00449	180	187	70
MinSal-1389-A1-17072018_C001g00451	1288	1932	1015
MinSal-1389-A1-17072018_C001g00452	619.945	858.994	343.963
MinSal-1389-A1-17072018_C001g00453	1581	1643	974
MinSal-1389-A1-17072018_C001g00454	0	0	0
MinSal-1389-A1-17072018_C001g00457	0	0	0
MinSal-1389-A1-17072018_C001g00458	1159	1169	999
MinSal-1389-A1-17072018_C001g00459	263	259	171
MinSal-1389-A1-17072018_C001g00460	2375	2992	2191
MinSal-1389-A1-17072018_C001g00461	3231	3022	2287
MinSal-1389-A1-17072018_C001g00462	643	520	756
MinSal-1389-A1-17072018_C001g00463	225	268	163
MinSal-1389-A1-17072018_C001g00464	470	553	465
MinSal-1389-A1-17072018_C001g00465	180	249	98
MinSal-1389-A1-17072018_C001g00466	0	0	0
MinSal-1389-A1-17072018_C001g00467	0	0	0
MinSal-1389-A1-17072018_C001g00468	845	1006	466
MinSal-1389-A1-17072018_C001g00469	23	21	3
MinSal-1389-A1-17072018_C001g00471	474	652	382
MinSal-1389-A1-17072018_C001g00472	651	816	313
MinSal-1389-A1-17072018_C001g00473	0	1	0
MinSal-1389-A1-17072018_C001g00474	0	0	0
MinSal-1389-A1-17072018_C001g00475	91	166	49
MinSal-1389-A1-17072018_C001g00476	51	95	34
MinSal-1389-A1-17072018_C001g00477	0	0	0
MinSal-1389-A1-17072018_C001g00478	1342	1637	859
MinSal-1389-A1-17072018_C001g00479	563	639	262
MinSal-1389-A1-17072018_C001g00480	439	708	179
MinSal-1389-A1-17072018_C001g00481	1446	2037	910
MinSal-1389-A1-17072018_C001g00482	488	698	346
MinSal-1389-A1-17072018_C001g00483	1239	827	709
MinSal-1389-A1-17072018_C001g00484	0	0	0
MinSal-1389-A1-17072018_C001g00485	2710	2641	1580
MinSal-1389-A1-17072018_C001g00486	827	1020	337
MinSal-1389-A1-17072018_C001g00487	0	0	0
MinSal-1389-A1-17072018_C001g00488	399	463	257
MinSal-1389-A1-17072018_C001g00489	1984	2352	1487
MinSal-1389-A1-17072018_C001g00490	2932	2687	1958
MinSal-1389-A1-17072018_C001g00491	205	231	167
MinSal-1389-A1-17072018_C001g00492	221	380	88
MinSal-1389-A1-17072018_C001g00493	1069	1245	646
MinSal-1389-A1-17072018_C001g00494	788	1133	349
MinSal-1389-A1-17072018_C001g00495	5874	6993	3234
MinSal-1389-A1-17072018_C001g00496	17217	22976	9948
MinSal-1389-A1-17072018_C001g00499	0	2	0
MinSal-1389-A1-17072018_C001g00500	401	711	305
MinSal-1389-A1-17072018_C001g00501	648	649	584
MinSal-1389-A1-17072018_C001g00502	1426	1851	862
MinSal-1389-A1-17072018_C001g00503	7853	8500	5205
MinSal-1389-A1-17072018_C001g00504	327	206	340
MinSal-1389-A1-17072018_C001g00505	6132	6728	3419
MinSal-1389-A1-17072018_C001g00506	518	898	444
MinSal-1389-A1-17072018_C001g00507	6582	7237	4328
MinSal-1389-A1-17072018_C001g00509	48	47	31
MinSal-1389-A1-17072018_C001g00510	479	379	248
MinSal-1389-A1-17072018_C001g00511	0	0	0
MinSal-1389-A1-17072018_C001g00512	0	0	0
MinSal-1389-A1-17072018_C001g00513	186	267	183
MinSal-1389-A1-17072018_C001g00514	1518	1830	1280
MinSal-1389-A1-17072018_C001g00515	4041	3744	2721
MinSal-1389-A1-17072018_C001g00516	1047	879	726
MinSal-1389-A1-17072018_C001g00517	177	228	134
MinSal-1389-A1-17072018_C001g00518	692	667	332
MinSal-1389-A1-17072018_C001g00519	405	477	315
MinSal-1389-A1-17072018_C001g00520	1244	1411	755
MinSal-1389-A1-17072018_C001g00521	353	383	158
MinSal-1389-A1-17072018_C001g00522	365	588	285
MinSal-1389-A1-17072018_C001g00523	0	1	0
MinSal-1389-A1-17072018_C001g00524	1170	1350	848
MinSal-1389-A1-17072018_C001g00525	476	662	303
MinSal-1389-A1-17072018_C001g00526	1231	1289	772
MinSal-1389-A1-17072018_C001g00527	0	0	0
MinSal-1389-A1-17072018_C001g00528	32	63	34
MinSal-1389-A1-17072018_C001g00529	1866	2016	859
MinSal-1389-A1-17072018_C001g00530	117	141	89
MinSal-1389-A1-17072018_C001g00531	173	243	126
MinSal-1389-A1-17072018_C001g00532	4598	4631	3033
MinSal-1389-A1-17072018_C001g00533	1056	982	665
MinSal-1389-A1-17072018_C001g00534	173	156	192
MinSal-1389-A1-17072018_C001g00535	447	399	417
MinSal-1389-A1-17072018_C001g00536	136	207	58
MinSal-1389-A1-17072018_C001g00537	318	388	137
MinSal-1389-A1-17072018_C001g00540	0	0	0
MinSal-1389-A1-17072018_C001g00541	180	201	74
MinSal-1389-A1-17072018_C001g00542	776	652	387
MinSal-1389-A1-17072018_C001g00543	922	973	492
MinSal-1389-A1-17072018_C001g00544	291	195	99
MinSal-1389-A1-17072018_C001g00545	792	879	535
MinSal-1389-A1-17072018_C001g00554	463	526	250
MinSal-1389-A1-17072018_C001g00555	1596	1785	853
MinSal-1389-A1-17072018_C001g00556	0	0	0
MinSal-1389-A1-17072018_C001g00557	0	0	0
MinSal-1389-A1-17072018_C001g00558	335	356	164
MinSal-1389-A1-17072018_C001g00561	90	125	57
MinSal-1389-A1-17072018_C001g00562	0	0	0
MinSal-1389-A1-17072018_C001g00563	2639	2498	1906
MinSal-1389-A1-17072018_C001g00564	1141	1155	803
MinSal-1389-A1-17072018_C001g00565	1	0	0
MinSal-1389-A1-17072018_C001g00567	2646	2509	970
MinSal-1389-A1-17072018_C001g00568	0	0	0
MinSal-1389-A1-17072018_C001g00569	3128	2328	3190
MinSal-1389-A1-17072018_C001g00570	370	395	248
MinSal-1389-A1-17072018_C001g00573	466	486	244
MinSal-1389-A1-17072018_C001g00575	0	0	0
MinSal-1389-A1-17072018_C001g00576	0	0	0
MinSal-1389-A1-17072018_C001g00577	317	347	183
MinSal-1389-A1-17072018_C001g00578	756	1189	614
MinSal-1389-A1-17072018_C001g00579	230	551	97
MinSal-1389-A1-17072018_C001g00580	915	1308	514
MinSal-1389-A1-17072018_C001g00581	0	0	0
MinSal-1389-A1-17072018_C001g00582	0	0	0
MinSal-1389-A1-17072018_C001g00583	0	0	0
MinSal-1389-A1-17072018_C001g00584	2211	2820	1188
MinSal-1389-A1-17072018_C001g00585	1539	1872	869
MinSal-1389-A1-17072018_C001g00586	13226	14451	7887
MinSal-1389-A1-17072018_C001g00588	0	0	0
MinSal-1389-A1-17072018_C001g00589	0	0	0
MinSal-1389-A1-17072018_C001g00590	443	623	288
MinSal-1389-A1-17072018_C001g00591	446	600	213
MinSal-1389-A1-17072018_C001g00592	6155	4387	5182
MinSal-1389-A1-17072018_C001g00593	0	0	0
MinSal-1389-A1-17072018_C001g00594	116	108	70
MinSal-1389-A1-17072018_C001g00595	1	0	0
MinSal-1389-A1-17072018_C001g00596	466	426	267
MinSal-1389-A1-17072018_C001g00597	108	97	50
MinSal-1389-A1-17072018_C001g00598	2888	3263	1782
MinSal-1389-A1-17072018_C001g00599	9	11	0
MinSal-1389-A1-17072018_C001g00600	13407	13391	8092
MinSal-1389-A1-17072018_C001g00601	0	0	0
MinSal-1389-A1-17072018_C001g00602	1	0	0
MinSal-1389-A1-17072018_C001g00603	65	79	40
MinSal-1389-A1-17072018_C001g00604	1392	1961	857
MinSal-1389-A1-17072018_C001g00605	1824	2269	894
MinSal-1389-A1-17072018_C001g00606	0	0	0
MinSal-1389-A1-17072018_C001g00607	618	845	330
MinSal-1389-A1-17072018_C001g00608	0	0	0
