gene	genename	chr	start	end	length
MvSl-1064-A1-R4_A1g00038	MvSl-1064-A1-R4_A1	aMAT	77299	78423	582
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A1-R4_A1	aMAT	79342	82258	1836
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A1-R4_A1	aMAT	82438	84133	1083
MvSl-1064-A1-R4_A1g00041	MvSl-1064-A1-R4_A1	aMAT	84266	84457	192
MvSl-1064-A1-R4_A1g00043	MvSl-1064-A1-R4_A1	aMAT	85994	86553	408
MvSl-1064-A1-R4_A1g00044	MvSl-1064-A1-R4_A1	aMAT	86916	87920	714
MvSl-1064-A1-R4_A1g00045	MvSl-1064-A1-R4_A1	aMAT	89113	90244	489
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A1-R4_A1	aMAT	90443	91903	879
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A1-R4_A1	aMAT	92386	93655	900
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A1-R4_A1	aMAT	94248	95819	1572
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A1-R4_A1	aMAT	96486	99661	2622
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	aMAT	101324	106023	4482
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A1-R4_A1	aMAT	106474	107890	1077
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	aMAT	108409	108819	231
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A1-R4_A1	aMAT	111120	112733	1257
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A1-R4_A1	aMAT	113646	115349	1167
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	aMAT	115614	117044	1287
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	aMAT	118986	121284	1731
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A1-R4_A1	aMAT	121712	122035	324
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A1-R4_A1	aMAT	123729	124006	150
MvSl-1064-A1-R4_A1g00059	MvSl-1064-A1-R4_A1	aMAT	124165	124371	207
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A1-R4_A1	aMAT	125081	126633	954
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A1-R4_A1	aMAT	128311	129271	660
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A1-R4_A1	aMAT	130054	132843	2145
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A1-R4_A1	aMAT	133237	134512	951
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A1-R4_A1	aMAT	135668	136821	699
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A1-R4_A1	aMAT	137505	140273	1950
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A1-R4_A1	aMAT	141157	141857	555
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A1-R4_A1	aMAT	142411	144606	1356
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A1-R4_A1	aMAT	145335	146902	1194
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	aMAT	149220	153705	4290
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A1-R4_A1	aMAT	154349	157189	2757
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A1-R4_A1	aMAT	158422	160299	1488
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A1-R4_A1	aMAT	160618	163050	1992
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	165329	166779	1128
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	aMAT	167842	170926	1842
MvSl-1064-A1-R4_A1g00075	MvSl-1064-A1-R4_A1	aMAT	171697	173594	1302
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A1-R4_A1	aMAT	173863	176567	2580
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A1-R4_A1	aMAT	177417	178892	1383
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A1-R4_A1	aMAT	179366	179827	462
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	180716	185718	4167
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	186136	186867	456
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	187675	189438	1092
MvSl-1064-A1-R4_A1g00083	MvSl-1064-A1-R4_A1	aMAT	190478	192255	1032
MvSl-1064-A1-R4_A1g00084	MvSl-1064-A1-R4_A1	aMAT	192447	192848	321
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A1-R4_A1	aMAT	231723	233324	1359
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A1-R4_A1	aMAT	234418	236731	1335
MvSl-1064-A1-R4_A1g00108	MvSl-1064-A1-R4_A1	aMAT	238849	239016	168
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A1-R4_A1	aMAT	239159	240017	717
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A1-R4_A1	aMAT	240393	243364	2571
MvSl-1064-A1-R4_A1g00111	MvSl-1064-A1-R4_A1	aMAT	244443	244638	123
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A1-R4_A1	aMAT	248916	251783	2700
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	aMAT	270179	271004	693
MvSl-1064-A1-R4_A1g00120	MvSl-1064-A1-R4_A1	aMAT	272261	274501	1674
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A1-R4_A1	aMAT	319920	320757	474
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A1-R4_A1	aMAT	337815	342587	4122
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	342659	343448	663
MvSl-1064-A1-R4_A1g00155	MvSl-1064-A1-R4_A1	aMAT	343906	345432	1527
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	357937	361103	2670
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A1-R4_A1	aMAT	368181	370216	1605
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A1-R4_A1	aMAT	380085	382864	2523
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	aMAT	406221	406733	264
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A1-R4_A1	aMAT	407531	411380	2781
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A1-R4_A1	aMAT	411533	413382	1353
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	aMAT	427406	429655	1404
MvSl-1064-A1-R4_A1g00194	MvSl-1064-A1-R4_A1	aMAT	430224	432154	1437
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	aMAT	468377	470856	1866
MvSl-1064-A1-R4_A1g00210	MvSl-1064-A1-R4_A1	aMAT	471540	472718	759
MvSl-1064-A1-R4_A1g00211	MvSl-1064-A1-R4_A1	aMAT	473140	476235	2484
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A1-R4_A1	aMAT	525538	526703	690
MvSl-1064-A1-R4_A1g00241	MvSl-1064-A1-R4_A1	aMAT	545893	546933	1041
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	aMAT	547576	548488	576
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A1-R4_A1	aMAT	551158	551514	285
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	aMAT	552007	553387	1035
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A1-R4_A1	aMAT	576253	577851	1470
MvSl-1064-A1-R4_A1g00253	MvSl-1064-A1-R4_A1	aMAT	578151	581054	2343
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	581878	584313	2217
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A1-R4_A1	aMAT	616404	620052	3066
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	621126	622892	1143
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	aMAT	641110	646152	4413
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	aMAT	646353	651020	3975
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	651956	657345	4878
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	aMAT	667810	671393	3237
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	679143	681507	1644
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A1-R4_A1	aMAT	713060	718328	4494
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	718774	719371	480
MvSl-1064-A1-R4_A1g00316	MvSl-1064-A1-R4_A1	aMAT	724341	725782	1287
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	aMAT	741065	742055	624
MvSl-1064-A1-R4_A1g00328	MvSl-1064-A1-R4_A1	aMAT	742628	743237	528
MvSl-1064-A1-R4_A1g00349	MvSl-1064-A1-R4_A1	aMAT	782234	783980	873
MvSl-1064-A1-R4_A1g00350	MvSl-1064-A1-R4_A1	aMAT	787640	790425	2475
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A1-R4_A1	aMAT	790625	795162	3900
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A1-R4_A1	aMAT	795631	796542	792
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	aMAT	817323	819348	1023
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	aMAT	834376	836308	1632
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A1-R4_A1	aMAT	837338	838797	1203
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A1-R4_A1	aMAT	838903	841231	1950
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A1-R4_A1	aMAT	841678	844038	2037
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A1-R4_A1	aMAT	844814	848787	3426
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A1-R4_A1	aMAT	849156	852184	2634
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A1-R4_A1	aMAT	852461	853825	1065
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A1-R4_A1	aMAT	854394	856791	2112
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	aMAT	856916	857392	402
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A1-R4_A1	aMAT	863010	863649	219
MvSl-1064-A1-R4_A1g00383	MvSl-1064-A1-R4_A1	aMAT	868641	869275	489
MvSl-1064-A1-R4_A1g00384	MvSl-1064-A1-R4_A1	aMAT	870248	870667	225
MvSl-1064-A1-R4_A1g00389	MvSl-1064-A1-R4_A1	aMAT	882195	884498	1158
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A1-R4_A1	aMAT	885400	886813	1134
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A1-R4_A1	aMAT	889992	892373	1767
MvSl-1064-A1-R4_A1g00392	MvSl-1064-A1-R4_A1	aMAT	893412	893740	198
MvSl-1064-A1-R4_A1g00393	MvSl-1064-A1-R4_A1	aMAT	893809	894012	204
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A1-R4_A1	aMAT	895253	895922	345
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A1-R4_A1	aMAT	896092	900842	4092
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A1-R4_A1	aMAT	901642	902941	882
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A1-R4_A1	aMAT	903456	904193	375
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A1-R4_A1	aMAT	904475	905581	372
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A1-R4_A1	aMAT	907140	907771	483
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	aMAT	908654	911656	2364
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A1-R4_A1	aMAT	912091	913460	996
MvSl-1064-A1-R4_A1g00402	MvSl-1064-A1-R4_A1	aMAT	914330	919259	4683
MvSl-1064-A1-R4_A1g00403	MvSl-1064-A1-R4_A1	aMAT	919803	924298	4029
MvSl-1064-A1-R4_A1g00404	MvSl-1064-A1-R4_A1	aMAT	924447	925599	801
MvSl-1064-A1-R4_A1g00405	MvSl-1064-A1-R4_A1	aMAT	925930	927977	1647
MvSl-1064-A1-R4_A1g00406	MvSl-1064-A1-R4_A1	aMAT	928859	929481	540
MvSl-1064-A1-R4_A1g00432	MvSl-1064-A1-R4_A1	aMAT	983405	984033	294
MvSl-1064-A1-R4_A1g00433	MvSl-1064-A1-R4_A1	aMAT	985209	987129	1698
MvSl-1064-A1-R4_A1g00441	MvSl-1064-A1-R4_A1	aMAT	998707	1000561	1029
MvSl-1064-A1-R4_A1g00448	MvSl-1064-A1-R4_A1	aMAT	1010063	1012204	1542
MvSl-1064-A1-R4_A1g00478	MvSl-1064-A1-R4_A1	aMAT	1054963	1057437	2220
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	aMAT	1060653	1061300	549
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	1098507	1099824	1029
MvSl-1064-A1-R4_A1g00503	MvSl-1064-A1-R4_A1	aMAT	1108286	1110870	1956
MvSl-1064-A1-R4_A1g00504	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	960
MvSl-1064-A1-R4_A1g00505	MvSl-1064-A1-R4_A1	aMAT	1112670	1116562	2976
MvSl-1064-A1-R4_A1g00506	MvSl-1064-A1-R4_A1	aMAT	1116801	1118832	1392
MvSl-1064-A1-R4_A1g00507	MvSl-1064-A1-R4_A1	aMAT	1119790	1125248	4206
MvSl-1064-A1-R4_A1g00511	MvSl-1064-A1-R4_A1	aMAT	1132727	1134319	1062
MvSl-1064-A1-R4_A1g00512	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	624
MvSl-1064-A1-R4_A1g00513	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	1728
MvSl-1064-A1-R4_A1g00514	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	4719
MvSl-1064-A1-R4_A1g00515	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	3120
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	1148624	1150396	984
MvSl-1064-A1-R4_A1g00517	MvSl-1064-A1-R4_A1	aMAT	1150800	1151468	237
MvSl-1064-A1-R4_A1g00518	MvSl-1064-A1-R4_A1	aMAT	1151741	1153580	1275
MvSl-1064-A1-R4_A1g00519	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	2088
MvSl-1064-A1-R4_A1g00520	MvSl-1064-A1-R4_A1	aMAT	1156584	1158695	1968
MvSl-1064-A1-R4_A1g00521	MvSl-1064-A1-R4_A1	aMAT	1158935	1161921	2667
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1162650	1164414	1257
MvSl-1064-A1-R4_A1g00524	MvSl-1064-A1-R4_A1	aMAT	1164814	1164982	129
MvSl-1064-A1-R4_A1g00525	MvSl-1064-A1-R4_A1	aMAT	1166037	1167381	1029
MvSl-1064-A1-R4_A1g00528	MvSl-1064-A1-R4_A1	aMAT	1174940	1175619	510
MvSl-1064-A1-R4_A1g00530	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	2610
MvSl-1064-A1-R4_A1g00532	MvSl-1064-A1-R4_A1	aMAT	1183296	1185232	1863
MvSl-1064-A1-R4_A1g00533	MvSl-1064-A1-R4_A1	aMAT	1185421	1186806	957
MvSl-1064-A1-R4_A1g00534	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	1134
MvSl-1064-A1-R4_A1g00541	MvSl-1064-A1-R4_A1	aMAT	1199905	1206247	6129
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A1-R4_A1	aMAT	1207176	1208666	1173
MvSl-1064-A1-R4_A1g00543	MvSl-1064-A1-R4_A1	aMAT	1209281	1212345	2190
MvSl-1064-A1-R4_A1g00544	MvSl-1064-A1-R4_A1	aMAT	1213232	1215281	1743
MvSl-1064-A1-R4_A1g00546	MvSl-1064-A1-R4_A1	aMAT	1217849	1218338	345
MvSl-1064-A1-R4_A1g00568	MvSl-1064-A1-R4_A1	aMAT	1257109	1257735	396
MvSl-1064-A1-R4_A1g00575	MvSl-1064-A1-R4_A1	aMAT	1274366	1278155	2976
MvSl-1064-A1-R4_A1g00576	MvSl-1064-A1-R4_A1	aMAT	1278622	1279107	486
MvSl-1064-A1-R4_A1g00589	MvSl-1064-A1-R4_A1	aMAT	1294048	1294371	270
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A1-R4_A1	aMAT	1297181	1298512	1332
MvSl-1064-A1-R4_A1g00593	MvSl-1064-A1-R4_A1	aMAT	1300472	1304579	3567
MvSl-1064-A1-R4_A1g00594	MvSl-1064-A1-R4_A1	aMAT	1304949	1306659	1404
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A1-R4_A1	aMAT	1356910	1358431	771
MvSl-1064-A1-R4_A1g00626	MvSl-1064-A1-R4_A1	aMAT	1360313	1362886	2043
MvSl-1064-A1-R4_A1g00628	MvSl-1064-A1-R4_A1	aMAT	1369568	1370214	531
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	1887
MvSl-1064-A1-R4_A1g00642	MvSl-1064-A1-R4_A1	aMAT	1386919	1387128	210
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	2370
MvSl-1064-A1-R4_A1g00645	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	2529
MvSl-1064-A1-R4_A1g00646	MvSl-1064-A1-R4_A1	aMAT	1396587	1398849	2091
MvSl-1064-A1-R4_A1g00647	MvSl-1064-A1-R4_A1	aMAT	1399296	1400598	861
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A1-R4_A1	aMAT	1400757	1402594	1509
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1437496	1440368	1956
MvSl-1064-A1-R4_A1g00669	MvSl-1064-A1-R4_A1	aMAT	1441050	1443387	2136
MvSl-1064-A1-R4_A1g00693	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	1005
MvSl-1064-A1-R4_A1g00694	MvSl-1064-A1-R4_A1	aMAT	1488010	1490661	2346
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A1-R4_A1	aMAT	1526188	1527713	1383
MvSl-1064-A1-R4_A1g00726	MvSl-1064-A1-R4_A1	aMAT	1539659	1541133	786
MvSl-1064-A1-R4_A1g00745	MvSl-1064-A1-R4_A1	aMAT	1569616	1570333	495
MvSl-1064-A1-R4_A1g00749	MvSl-1064-A1-R4_A1	aMAT	1578575	1582088	3351
MvSl-1064-A1-R4_A1g00750	MvSl-1064-A1-R4_A1	aMAT	1584006	1586510	2187
MvSl-1064-A1-R4_A1g00751	MvSl-1064-A1-R4_A1	aMAT	1588797	1592442	2919
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A1-R4_A1	aMAT	1593613	1594973	1233
MvSl-1064-A1-R4_A1g00756	MvSl-1064-A1-R4_A1	aMAT	1607578	1607793	216
MvSl-1064-A1-R4_A1g00757	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	894
MvSl-1064-A1-R4_A1g00763	MvSl-1064-A1-R4_A1	aMAT	1614331	1618375	3708
MvSl-1064-A1-R4_A1g00772	MvSl-1064-A1-R4_A1	aMAT	1637608	1638887	1032
MvSl-1064-A1-R4_A1g00778	MvSl-1064-A1-R4_A1	aMAT	1645733	1648754	2484
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A1-R4_A1	aMAT	1648933	1652928	3036
MvSl-1064-A1-R4_A1g00794	MvSl-1064-A1-R4_A1	aMAT	1688108	1688798	342
MvSl-1064-A1-R4_A1g00800	MvSl-1064-A1-R4_A1	aMAT	1699348	1701504	1338
MvSl-1064-A1-R4_A1g00801	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	1047
MvSl-1064-A1-R4_A1g00824	MvSl-1064-A1-R4_A1	aMAT	1751427	1752854	663
MvSl-1064-A1-R4_A1g00832	MvSl-1064-A1-R4_A1	aMAT	1761367	1764288	2358
MvSl-1064-A1-R4_A1g00835	MvSl-1064-A1-R4_A1	aMAT	1769429	1769832	273
MvSl-1064-A1-R4_A1g00840	MvSl-1064-A1-R4_A1	aMAT	1786241	1788119	1728
MvSl-1064-A1-R4_A1g00842	MvSl-1064-A1-R4_A1	aMAT	1790347	1792433	1401
MvSl-1064-A1-R4_A1g00843	MvSl-1064-A1-R4_A1	aMAT	1792754	1794128	1116
MvSl-1064-A1-R4_A1g00844	MvSl-1064-A1-R4_A1	aMAT	1794549	1795435	777
MvSl-1064-A1-R4_A1g00845	MvSl-1064-A1-R4_A1	aMAT	1796095	1800988	4617
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	2619
MvSl-1064-A1-R4_A1g00854	MvSl-1064-A1-R4_A1	aMAT	1838292	1841771	2703
MvSl-1064-A1-R4_A1g00869	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	1830
MvSl-1064-A1-R4_A1g00911	MvSl-1064-A1-R4_A1	aMAT	1965456	1966246	264
MvSl-1064-A1-R4_A1g00912	MvSl-1064-A1-R4_A1	aMAT	1966448	1967834	1026
MvSl-1064-A1-R4_A1g00913	MvSl-1064-A1-R4_A1	aMAT	1970332	1974462	3696
MvSl-1064-A1-R4_A1g00920	MvSl-1064-A1-R4_A1	aMAT	1984288	1990725	5976
MvSl-1064-A1-R4_A1g00921	MvSl-1064-A1-R4_A1	aMAT	1991175	1993509	1659
MvSl-1064-A1-R4_A1g00923	MvSl-1064-A1-R4_A1	aMAT	1995562	1995873	312
MvSl-1064-A1-R4_A1g00929	MvSl-1064-A1-R4_A1	aMAT	2004135	2004905	633
MvSl-1064-A1-R4_A1g00957	MvSl-1064-A1-R4_A1	aMAT	2054540	2055464	714
MvSl-1064-A1-R4_A1g00958	MvSl-1064-A1-R4_A1	aMAT	2055616	2057858	1950
MvSl-1064-A1-R4_A1g00960	MvSl-1064-A1-R4_A1	aMAT	2058571	2059524	684
MvSl-1064-A1-R4_A1g00968	MvSl-1064-A1-R4_A1	aMAT	2080392	2081481	732
MvSl-1064-A1-R4_A1g00970	MvSl-1064-A1-R4_A1	aMAT	2082576	2084202	1413
MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2085727	2087119	1149
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A1-R4_A1	aMAT	2097615	2099010	1080
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	2138970	2141225	1887
MvSl-1064-A1-R4_A1g00998	MvSl-1064-A1-R4_A1	aMAT	2141875	2142896	693
MvSl-1064-A1-R4_A1g01007	MvSl-1064-A1-R4_A1	aMAT	2165490	2171869	5907
MvSl-1064-A1-R4_A1g01017	MvSl-1064-A1-R4_A1	aMAT	2194410	2199254	3156
MvSl-1064-A1-R4_A1g01021	MvSl-1064-A1-R4_A1	aMAT	2205155	2206148	741
MvSl-1064-A1-R4_A1g01022	MvSl-1064-A1-R4_A1	aMAT	2207283	2207567	285
MvSl-1064-A1-R4_A1g01049	MvSl-1064-A1-R4_A1	aMAT	2255626	2255952	282
MvSl-1064-A1-R4_A1g01135	MvSl-1064-A1-R4_A1	aMAT	2512310	2513349	798
MvSl-1064-A1-R4_A1g01137	MvSl-1064-A1-R4_A1	aMAT	2516666	2518918	1788
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A1-R4_A1	aMAT	2519820	2520678	456
MvSl-1064-A1-R4_A1g01154	MvSl-1064-A1-R4_A1	aMAT	2557552	2558488	555
MvSl-1064-A1-R4_A1g01159	MvSl-1064-A1-R4_A1	aMAT	2568240	2569874	1275
MvSl-1064-A1-R4_A1g01160	MvSl-1064-A1-R4_A1	aMAT	2570487	2572532	1425
MvSl-1064-A1-R4_A1g01161	MvSl-1064-A1-R4_A1	aMAT	2573298	2575010	1437
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	2575916	2576612	561
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	2576791	2577822	684
MvSl-1064-A1-R4_A1g01164	MvSl-1064-A1-R4_A1	aMAT	2578833	2582754	3090
