gene	MintM1	MintM2	MintM3	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C001g00042	0	0	0	8	12
MinSal-1389-A1-17072018_C001g00045	473	595	258	1200	1234
MinSal-1389-A1-17072018_C001g00047	2303	2542	1105	3769	3731
MinSal-1389-A1-17072018_C001g00048	0	0	0	341	343
MinSal-1389-A1-17072018_C001g00050	159	203	118	1028	1231
MinSal-1389-A1-17072018_C001g00051	6953	8484	3122	7039	4661
MinSal-1389-A1-17072018_C001g00052	70	70	43	2310	1998
MinSal-1389-A1-17072018_C001g00053	899	935	580	8740	7765
MinSal-1389-A1-17072018_C001g00054	9162	9480	5626	8473	6466
MinSal-1389-A1-17072018_C001g00056	749	934	318	1069	778
MinSal-1389-A1-17072018_C001g00057	314	256	85	2854	2668
MinSal-1389-A1-17072018_C001g00058	1105	1162	856	4420	4726
MinSal-1389-A1-17072018_C001g00059	0	0	0	1414.96	1937.98
MinSal-1389-A1-17072018_C001g00060	2580	2586	1509	3996	4271
MinSal-1389-A1-17072018_C001g00061	0	0	0	389	377
MinSal-1389-A1-17072018_C001g00062	124	115	90	431	379
MinSal-1389-A1-17072018_C001g00063	1092	1184	699	1867	1630
MinSal-1389-A1-17072018_C001g00064	409	383	395	1709	1390
MinSal-1389-A1-17072018_C001g00065	26	18	28	608	902
MinSal-1389-A1-17072018_C001g00066	0	0	0	10	11
MinSal-1389-A1-17072018_C001g00067	4	1	1	2985	2247
MinSal-1389-A1-17072018_C001g00071	1870	2667	1242	2882	3510
MinSal-1389-A1-17072018_C001g00075	0	0	0	1361	1292
MinSal-1389-A1-17072018_C001g00076	429	716	274	2559	2291
MinSal-1389-A1-17072018_C001g00077	0	0	0	360	642
MinSal-1389-A1-17072018_C001g00078	0	0	1	5090	3430
MinSal-1389-A1-17072018_C001g00079	502	632	360	1377	2192
MinSal-1389-A1-17072018_C001g00080	0	0	0	2169	2690
MinSal-1389-A1-17072018_C001g00081	587	506	448	4004	4440
MinSal-1389-A1-17072018_C001g00082	0	0	0	3	13
MinSal-1389-A1-17072018_C001g00083	0	1	0	48	34
MinSal-1389-A1-17072018_C001g00084	871	933	188	367	324
MinSal-1389-A1-17072018_C001g00085	0	0	0	2332	2635
MinSal-1389-A1-17072018_C001g00086	584	565	200	1538	1058
MinSal-1389-A1-17072018_C001g00088	0	0	0	10	5
MinSal-1389-A1-17072018_C001g00091	406	533	270	678	457
MinSal-1389-A1-17072018_C001g00092	755	1004	482	2538	2444
MinSal-1389-A1-17072018_C001g00093	457	462	326	3736	3061
MinSal-1389-A1-17072018_C001g00094	5	17	6	18	8
MinSal-1389-A1-17072018_C001g00095	2217	2196	1453	4426	3660
MinSal-1389-A1-17072018_C001g00096	207	184	132	315	241
MinSal-1389-A1-17072018_C001g00098	485	695	336	2239	1648
MinSal-1389-A1-17072018_C001g00099	1428	1703	378	1773	1428
MinSal-1389-A1-17072018_C001g00100	72	109	26	2334	2204
MinSal-1389-A1-17072018_C001g00101	2	1	0	89	95
MinSal-1389-A1-17072018_C001g00102	2220	2457	1642	2749	2992
MinSal-1389-A1-17072018_C001g00103	7	3	4	3119	3522
MinSal-1389-A1-17072018_C001g00104	12	24	34	260	216
MinSal-1389-A1-17072018_C001g00105	491	607	226	232	170
MinSal-1389-A1-17072018_C001g00106	1708	1888	1297	7851	6361
MinSal-1389-A1-17072018_C001g00107	503	441	306	1400	1469
MinSal-1389-A1-17072018_C001g00108	1452	1445	1122	9034	7606
MinSal-1389-A1-17072018_C001g00109	4727	5445	2926	5409	5477
MinSal-1389-A1-17072018_C001g00110	23	29	21	2063	2006
MinSal-1389-A1-17072018_C001g00111	0	0	0	827	1014
MinSal-1389-A1-17072018_C001g00112	0	0	0	639	885
MinSal-1389-A1-17072018_C001g00113	14	11	6	11	15
MinSal-1389-A1-17072018_C001g00114	3	10	6	954	1121
MinSal-1389-A1-17072018_C001g00115	0	0	0	714	559
MinSal-1389-A1-17072018_C001g00116	365	372	186	1476	1245
MinSal-1389-A1-17072018_C001g00117	4322.25	5476.52	2179.7	9382.69	9636.7
MinSal-1389-A1-17072018_C001g00118	437	508	368	2232	2302
MinSal-1389-A1-17072018_C001g00119	700	733	334	1986	2128
MinSal-1389-A1-17072018_C001g00120	1373	1313	759	2552	2460
MinSal-1389-A1-17072018_C001g00121	230	295	167	2190	2025
MinSal-1389-A1-17072018_C001g00122	66	54	19	4765	6147
MinSal-1389-A1-17072018_C001g00123	0	0	0	9583	9130
MinSal-1389-A1-17072018_C001g00124	0	0	0	484	409
MinSal-1389-A1-17072018_C001g00125	0	0	0	1151	1946
MinSal-1389-A1-17072018_C001g00126	0	0	0	352	383
MinSal-1389-A1-17072018_C001g00127	0	0	0	2513	3297.79
MinSal-1389-A1-17072018_C001g00130	2166	2729	1386	1608	1443
MinSal-1389-A1-17072018_C001g00132	0	0	0	3	4
MinSal-1389-A1-17072018_C001g00133	0	0	0	1012	815
MinSal-1389-A1-17072018_C001g00134	0	1.33104	0	545	487
MinSal-1389-A1-17072018_C001g00137	438	518	296	2443	3169
MinSal-1389-A1-17072018_C001g00138	2493	2153	788	1001	789
MinSal-1389-A1-17072018_C001g00139	737	908	452	312	342
MinSal-1389-A1-17072018_C001g00140	0	0	0	523	672
MinSal-1389-A1-17072018_C001g00141	212	187	213	784	1500
MinSal-1389-A1-17072018_C001g00142	1418	1382	833	2876	2286
MinSal-1389-A1-17072018_C001g00143	2	1	1	3309	2188
MinSal-1389-A1-17072018_C001g00144	0	0	0	445	785
MinSal-1389-A1-17072018_C001g00145	2642	2704	1725	2708	2598
MinSal-1389-A1-17072018_C001g00146	211	211	98	2988	2209
MinSal-1389-A1-17072018_C001g00147	0	0	0	239	155
MinSal-1389-A1-17072018_C001g00148	646	485	74	2314	2189
MinSal-1389-A1-17072018_C001g00149	1	0	0	2079	1791
MinSal-1389-A1-17072018_C001g00150	0	0	0	11824	13816
MinSal-1389-A1-17072018_C001g00153	509	633	318	2019	1562
MinSal-1389-A1-17072018_C001g00154	132	144	53	4824	4131
MinSal-1389-A1-17072018_C001g00155	0	0	0	584	541
MinSal-1389-A1-17072018_C001g00156	5307	6630	3734	8724	8330
MinSal-1389-A1-17072018_C001g00157	245	273	78	737	735
MinSal-1389-A1-17072018_C001g00158	951	899	517	2522	1441
MinSal-1389-A1-17072018_C001g00159	0	0	0	2315	2793
MinSal-1389-A1-17072018_C001g00160	272	390	197	19	16
MinSal-1389-A1-17072018_C001g00161	118	168	56	2119	2356
MinSal-1389-A1-17072018_C001g00162	1392	1623	1043	2640	2750
MinSal-1389-A1-17072018_C001g00163	1587	1517	881	3955	3245
MinSal-1389-A1-17072018_C001g00164	984	1148	625	2550	1947
MinSal-1389-A1-17072018_C001g00165	296	431	154	2527	2550
MinSal-1389-A1-17072018_C001g00167	1437	1719	763	5674	5062
MinSal-1389-A1-17072018_C001g00168	0	1	6	3	2
MinSal-1389-A1-17072018_C001g00169	168	219	120	1583	1193
MinSal-1389-A1-17072018_C001g00170	1877	1944	986	1638	1455
MinSal-1389-A1-17072018_C001g00171	723	838	693	2811	2235
MinSal-1389-A1-17072018_C001g00173	5972	6203	3390	9584	9960
MinSal-1389-A1-17072018_C001g00174	430.273	531.293	107.535	2139.32	1949.67
MinSal-1389-A1-17072018_C001g00175	0	0	0	429.473	311.452
MinSal-1389-A1-17072018_C001g00178	145	111	96	505	692
MinSal-1389-A1-17072018_C001g00179	4008	3839	1792	6986	6937
MinSal-1389-A1-17072018_C001g00180	2041	1895	1201	2109	2147
MinSal-1389-A1-17072018_C001g00181	715	643	574	3575	3639
MinSal-1389-A1-17072018_C001g00182	0	0	0	1027	556
MinSal-1389-A1-17072018_C001g00183	196	183	142	1094	1090
MinSal-1389-A1-17072018_C001g00184	1104	1389	762	5421	4952.39
MinSal-1389-A1-17072018_C001g00185	19	23	18	1438	1730
MinSal-1389-A1-17072018_C001g00186	18	23	8	3277	3173
MinSal-1389-A1-17072018_C001g00187	439	676	221	3166	2408
MinSal-1389-A1-17072018_C001g00188	1666	2082	1148	2873	2307
MinSal-1389-A1-17072018_C001g00189	309	378	171	2306	2290
MinSal-1389-A1-17072018_C001g00190	415	561	335	6883	7847
MinSal-1389-A1-17072018_C001g00191	132	149	67	1556	1614
MinSal-1389-A1-17072018_C001g00192	88	141	73	1691	1460
MinSal-1389-A1-17072018_C001g00193	622	566	447	2348	2247
MinSal-1389-A1-17072018_C001g00194	0	0	0	587	565
MinSal-1389-A1-17072018_C001g00195	0	0	0	2831	2874
MinSal-1389-A1-17072018_C001g00196	1074	935	755	2327	1700
MinSal-1389-A1-17072018_C001g00197	446	571	306	5116	4234
MinSal-1389-A1-17072018_C001g00198	505	653	309	581	526
MinSal-1389-A1-17072018_C001g00199	1	0	0	2278	2160
MinSal-1389-A1-17072018_C001g00200	2043	2347	873	3125	2345
MinSal-1389-A1-17072018_C001g00201	279	377	165	1559	1329
MinSal-1389-A1-17072018_C001g00207	812	864	275	2262	2051
MinSal-1389-A1-17072018_C001g00208	1715	1648	1122	3223	3453
MinSal-1389-A1-17072018_C001g00209	0	0	0	1677	1507
MinSal-1389-A1-17072018_C001g00210	22	53	12	1811	1497
MinSal-1389-A1-17072018_C001g00211	9287	10620	5006	13826	11397
MinSal-1389-A1-17072018_C001g00214	80	83	51	2404	2303
MinSal-1389-A1-17072018_C001g00215	674	856	325	3119	2396
MinSal-1389-A1-17072018_C001g00216	0	0	0	1109	668
MinSal-1389-A1-17072018_C001g00217	0	0	0	317	332
MinSal-1389-A1-17072018_C001g00218	0	0	0	405	940
MinSal-1389-A1-17072018_C001g00219	0	0	0	709	898
MinSal-1389-A1-17072018_C001g00220	0	0	0	277	261
MinSal-1389-A1-17072018_C001g00221	278	340	195	1120	933
MinSal-1389-A1-17072018_C001g00222	1618	1853	957	1106	1200
MinSal-1389-A1-17072018_C001g00223	675	725	520	2208	2605
MinSal-1389-A1-17072018_C001g00224	7270	8398	1591	5215	6153
MinSal-1389-A1-17072018_C001g00226	399	404	267	3253	3706
MinSal-1389-A1-17072018_C001g00227	0	0	0	2844	2939
MinSal-1389-A1-17072018_C001g00228	656	872	424	3586	3137
MinSal-1389-A1-17072018_C001g00229	201	314	152	2379	1919
MinSal-1389-A1-17072018_C001g00230	0	0	1	4396	3306
MinSal-1389-A1-17072018_C001g00231	292	297	146	1291	1208
MinSal-1389-A1-17072018_C001g00232	98	153	118	2240	3066
MinSal-1389-A1-17072018_C001g00234	35	39	44	1157	1184
MinSal-1389-A1-17072018_C001g00235	290	356	180	5135	4425
MinSal-1389-A1-17072018_C001g00236	714	905	565	3122	3948
MinSal-1389-A1-17072018_C001g00237	54	74	69	1463	1695
MinSal-1389-A1-17072018_C001g00240	7628	6826	7361	14150	22513
MinSal-1389-A1-17072018_C001g00241	2934	3151	2610	10957	10501
MinSal-1389-A1-17072018_C001g00242	144	166	124	304	256
MinSal-1389-A1-17072018_C001g00243	33	41	17	1484	1207
MinSal-1389-A1-17072018_C001g00244	93	86	46	594	543
MinSal-1389-A1-17072018_C001g00246	1	2	5	8894	15547
MinSal-1389-A1-17072018_C001g00247	263	311	177	4743	5835
MinSal-1389-A1-17072018_C001g00248	1388	1922	1073	3550	3570
MinSal-1389-A1-17072018_C001g00249	0	0	0	1193	1534
MinSal-1389-A1-17072018_C001g00250	707	595	683	3450	7915
MinSal-1389-A1-17072018_C001g00251	0	0	0	146	246
MinSal-1389-A1-17072018_C001g00253	0	1	0	2524	5486
MinSal-1389-A1-17072018_C001g00254	0	0	0	607	751
MinSal-1389-A1-17072018_C001g00255	2	1	0	12593	12421
MinSal-1389-A1-17072018_C001g00258	0	0	0	1587	1750
MinSal-1389-A1-17072018_C001g00259	6040	6722	4110	5711	5614
MinSal-1389-A1-17072018_C001g00265	2812	3031	1691	4161	4142
MinSal-1389-A1-17072018_C001g00266	0	0	0	740	780
MinSal-1389-A1-17072018_C001g00268	307	266	133	2522	3111
MinSal-1389-A1-17072018_C001g00269	1313	1638	929	1280	1344
MinSal-1389-A1-17072018_C001g00270	47	57	39	1106	1008
MinSal-1389-A1-17072018_C001g00271	1216.29	1306	641.529	2912	2233
MinSal-1389-A1-17072018_C001g00272	625	860	329	4668	3457
MinSal-1389-A1-17072018_C001g00274	405	325	276	829	756
MinSal-1389-A1-17072018_C001g00275	976	1216	686	2984	2662
MinSal-1389-A1-17072018_C001g00276	0	0	0	574	351
MinSal-1389-A1-17072018_C001g00277	388	363	250	2119	1487
MinSal-1389-A1-17072018_C001g00279	309	388	104	28983	21273
MinSal-1389-A1-17072018_C001g00280	166	195	83	2194.99	1798.57
MinSal-1389-A1-17072018_C001g00281	0	0	0	230	234
MinSal-1389-A1-17072018_C001g00282	191	331	179	6043	6385
MinSal-1389-A1-17072018_C001g00283	19432	12591	14271	10271	10827
MinSal-1389-A1-17072018_C001g00284	0	0	0	517	426
MinSal-1389-A1-17072018_C001g00285	232	191	156	2683	3240
MinSal-1389-A1-17072018_C001g00286	0	0	0	119	136
MinSal-1389-A1-17072018_C001g00287	0	0	0	249	258
MinSal-1389-A1-17072018_C001g00288	0	0	0	1198	1488
MinSal-1389-A1-17072018_C001g00289	2261	2592	1180	4480	4050
MinSal-1389-A1-17072018_C001g00290	1610	1937	800	2907	2041
MinSal-1389-A1-17072018_C001g00291	1147	1463	552	817	852
MinSal-1389-A1-17072018_C001g00292	4051	4614	1019	3174	2499
MinSal-1389-A1-17072018_C001g00293	1047	1135	613	1084	855
MinSal-1389-A1-17072018_C001g00294	2726	3674	1790	3298	1870
MinSal-1389-A1-17072018_C001g00295	1004	993	784	2067	2580
MinSal-1389-A1-17072018_C001g00297	151	152	88	551	531
MinSal-1389-A1-17072018_C001g00298	0	0	0	508	435
MinSal-1389-A1-17072018_C001g00299	0	0	0	482	451
MinSal-1389-A1-17072018_C001g00301	3838	4339	1458	3725	3115
MinSal-1389-A1-17072018_C001g00302	474	570	254	1701	1477
MinSal-1389-A1-17072018_C001g00304	34	25	25	1260	1072
MinSal-1389-A1-17072018_C001g00305	702	889	400	5501	4459
MinSal-1389-A1-17072018_C001g00307	609	725	390	1080	750
MinSal-1389-A1-17072018_C001g00308	1339	1508	773	713	599
MinSal-1389-A1-17072018_C001g00309	2636	2860	1816	148	139
MinSal-1389-A1-17072018_C001g00310	242	248	157	613	924
MinSal-1389-A1-17072018_C001g00312	0	0	0	1675	1668
MinSal-1389-A1-17072018_C001g00313	0	0	0	3843	3268
MinSal-1389-A1-17072018_C001g00314	794	708	534	488	639
MinSal-1389-A1-17072018_C001g00315	4471	2530	3924	13078	18487
MinSal-1389-A1-17072018_C001g00318	519	607	290	1299	1557
MinSal-1389-A1-17072018_C001g00319	1760	1958	851	3127	3717
MinSal-1389-A1-17072018_C001g00320	209	216	173	1641	2635
MinSal-1389-A1-17072018_C001g00321	8149	8780	5690	8249	6916
MinSal-1389-A1-17072018_C001g00322	0	0	0	2824	3086
MinSal-1389-A1-17072018_C001g00323	397	443	308	378	687
MinSal-1389-A1-17072018_C001g00325	1036	1055	504	1205	1396
MinSal-1389-A1-17072018_C001g00326	335	357	296	1085	978
MinSal-1389-A1-17072018_C001g00327	917	895	795	727	650
MinSal-1389-A1-17072018_C001g00328	1180	1137	849	3217	3284
MinSal-1389-A1-17072018_C001g00329	954	930	562	164	156
MinSal-1389-A1-17072018_C001g00330	4608	4634	3176	13472	15116
MinSal-1389-A1-17072018_C001g00331	124	183	143	1481	1256
MinSal-1389-A1-17072018_C001g00332	1133	1358	684	1872	1536
MinSal-1389-A1-17072018_C001g00333	457	618	286	1043	1011
MinSal-1389-A1-17072018_C001g00334	0	0	0	72	42
MinSal-1389-A1-17072018_C001g00335	2	1	2	4278	3778
MinSal-1389-A1-17072018_C001g00337	206	259	112	486	518
MinSal-1389-A1-17072018_C001g00338	0	0	0	403	449
MinSal-1389-A1-17072018_C001g00339	825	1127	538	3522	3318
MinSal-1389-A1-17072018_C001g00340	2306	2927	1167	722	447
MinSal-1389-A1-17072018_C001g00341	45	34	13	123	81
MinSal-1389-A1-17072018_C001g00342	5981	6473	3108	7496	5915
MinSal-1389-A1-17072018_C001g00343	0	0	0	459	480
MinSal-1389-A1-17072018_C001g00344	0	0	0	832	884
MinSal-1389-A1-17072018_C001g00345	1042	1266	591	1400	1226
MinSal-1389-A1-17072018_C001g00346	133	162	78	1578	1556
MinSal-1389-A1-17072018_C001g00347	334	407	187	1240	1055
MinSal-1389-A1-17072018_C001g00348	0	0	0	591	651
MinSal-1389-A1-17072018_C001g00349	2488	2650	1265	6676	6160
MinSal-1389-A1-17072018_C001g00350	1923	1001	1325	4152	3059
MinSal-1389-A1-17072018_C001g00352	1446	1468	909	5948	5778
MinSal-1389-A1-17072018_C001g00353	7188	7737	4023	3973	4373
MinSal-1389-A1-17072018_C001g00354	1125	1375	651	2020	1828
MinSal-1389-A1-17072018_C001g00356	0	0	0	74.8175	95.9293
MinSal-1389-A1-17072018_C001g00357	774	594	774	2341	2071
MinSal-1389-A1-17072018_C001g00358	569	624	333	1019	785
MinSal-1389-A1-17072018_C001g00359	894	1002	466	1755.16	1680.73
MinSal-1389-A1-17072018_C001g00360	2289	2894	1390	1990	2224
MinSal-1389-A1-17072018_C001g00361	161	227	98	409	376
MinSal-1389-A1-17072018_C001g00362	0	0	0	1823	1439
MinSal-1389-A1-17072018_C001g00363	972	876	386	743	601
MinSal-1389-A1-17072018_C001g00364	138	192	78	2487	3529
MinSal-1389-A1-17072018_C001g00365	1901	2030	912	2682	2025
MinSal-1389-A1-17072018_C001g00366	993	689	699	9128	9836
MinSal-1389-A1-17072018_C001g00367	1185	1083	692	5594.76	4843.84
MinSal-1389-A1-17072018_C001g00368	0	0	0	254	478
MinSal-1389-A1-17072018_C001g00370	228	263	134	2824	2743
MinSal-1389-A1-17072018_C001g00371	0	0	0	1947	2083
MinSal-1389-A1-17072018_C001g00372	1055	1249	450	2819	2084
MinSal-1389-A1-17072018_C001g00373	778	863	480	860	569
MinSal-1389-A1-17072018_C001g00374	1025	955	472	1124	883
MinSal-1389-A1-17072018_C001g00375	17	22	14	1821	1216
MinSal-1389-A1-17072018_C001g00376	1	0	0	3656	4516
MinSal-1389-A1-17072018_C001g00377	2837	3080	1523	1435	1569
MinSal-1389-A1-17072018_C001g00378	636	731	336	1055	1055
MinSal-1389-A1-17072018_C001g00379	368.56	322.973	203.04	2424	2062
MinSal-1389-A1-17072018_C001g00380	0	0	0	436	533
MinSal-1389-A1-17072018_C001g00381	0	0	0	4288.33	4710.41
MinSal-1389-A1-17072018_C001g00382	436	470	262	1229	1487
MinSal-1389-A1-17072018_C001g00383	0	0	0	3	5
MinSal-1389-A1-17072018_C001g00384	0	0	0	2565	2636
MinSal-1389-A1-17072018_C001g00385	4813	5829	4126	2613	1736
MinSal-1389-A1-17072018_C001g00386	109	141	75	453	439
MinSal-1389-A1-17072018_C001g00387	1204	1037	510	564	513
MinSal-1389-A1-17072018_C001g00391	0	0	0	18	4
MinSal-1389-A1-17072018_C001g00392	172	167	91	487	350
MinSal-1389-A1-17072018_C001g00393	2266	2642	1115	2286	1927
MinSal-1389-A1-17072018_C001g00394	619	575	404	1770	1715
MinSal-1389-A1-17072018_C001g00395	219	275	160	1143	931
MinSal-1389-A1-17072018_C001g00396	320	408	206	2247	2385
MinSal-1389-A1-17072018_C001g00397	518	681	339	1288	1104
MinSal-1389-A1-17072018_C001g00398	37	61	13	2315	2094
MinSal-1389-A1-17072018_C001g00399	1020	1218	618	13486	10798
MinSal-1389-A1-17072018_C001g00400	600	649	371	2169	1726
MinSal-1389-A1-17072018_C001g00401	1527	2244	822	7003	8892
MinSal-1389-A1-17072018_C001g00402	356	721	176	18781	19272
MinSal-1389-A1-17072018_C001g00403	445	562	309	761	721
MinSal-1389-A1-17072018_C001g00404	0	0	0	715	714
MinSal-1389-A1-17072018_C001g00405	1	0	0	579	533
MinSal-1389-A1-17072018_C001g00406	91	168	76	4172	4498
MinSal-1389-A1-17072018_C001g00407	59	86	56	4190	4132
MinSal-1389-A1-17072018_C001g00408	911	1216	525	5968	5821
MinSal-1389-A1-17072018_C001g00409	450	634	341	2620	2419
MinSal-1389-A1-17072018_C001g00410	627	664	222	2306	1670
MinSal-1389-A1-17072018_C001g00411	554	654	473	5013	5237
MinSal-1389-A1-17072018_C001g00412	669	725	195	2790	2185.4
MinSal-1389-A1-17072018_C001g00415	3458.8	3812.82	1789.38	4598	4453
MinSal-1389-A1-17072018_C001g00416	8412	6568	4954	7996	8383
MinSal-1389-A1-17072018_C001g00419	1576	1804	749	5462	4898
MinSal-1389-A1-17072018_C001g00420	524	693	308	3455	2713
MinSal-1389-A1-17072018_C001g00421	22	46	5	240	154
MinSal-1389-A1-17072018_C001g00422	1	0	0	1595	2025
MinSal-1389-A1-17072018_C001g00423	60	63	30	2894	2714
MinSal-1389-A1-17072018_C001g00424	0	0	0	1725	1480
MinSal-1389-A1-17072018_C001g00425	3788	4065	2466	5175	4705
MinSal-1389-A1-17072018_C001g00426	1082	1450	563	2964	2518
MinSal-1389-A1-17072018_C001g00429	5	1	2	1152	822
MinSal-1389-A1-17072018_C001g00430	5049	5168	3157	1590	1261
MinSal-1389-A1-17072018_C001g00431	0	1	0	3023	2588
MinSal-1389-A1-17072018_C001g00432	0	0	0	977	858
MinSal-1389-A1-17072018_C001g00433	1047	1151	539	3260	3222
MinSal-1389-A1-17072018_C001g00434	32	41	36	833	1750
MinSal-1389-A1-17072018_C001g00435	1	1	0	966	1802
MinSal-1389-A1-17072018_C001g00436	341	300	154	480	467
MinSal-1389-A1-17072018_C001g00437	1	0	0	588	528
MinSal-1389-A1-17072018_C001g00438	216	216	157	1018	932
MinSal-1389-A1-17072018_C001g00439	1040	1214	521	637	419
MinSal-1389-A1-17072018_C001g00440	1734	1789	1297	8526	8620
MinSal-1389-A1-17072018_C001g00441	0	0	0	1996.15	2344.63
MinSal-1389-A1-17072018_C001g00442	185	277	148	8158.48	11104.1
MinSal-1389-A1-17072018_C001g00443	0	0	0	457	383
MinSal-1389-A1-17072018_C001g00444	8855	7627	6314	3363	4144
MinSal-1389-A1-17072018_C001g00445	0	0	0	1395	1328
MinSal-1389-A1-17072018_C001g00446	191	211	104	439	368
MinSal-1389-A1-17072018_C001g00447	0	0	0	1226	972
MinSal-1389-A1-17072018_C001g00448	0	0	0	70	76
MinSal-1389-A1-17072018_C001g00449	180	187	70	261	217
MinSal-1389-A1-17072018_C001g00451	1288	1932	1015	3176	2457
MinSal-1389-A1-17072018_C001g00452	619.945	858.994	343.963	3600	3460
MinSal-1389-A1-17072018_C001g00453	1581	1643	974	3898	2974
MinSal-1389-A1-17072018_C001g00454	0	0	0	1550	1410
MinSal-1389-A1-17072018_C001g00457	0	0	0	988	1390
MinSal-1389-A1-17072018_C001g00458	1159	1169	999	3511	3517
MinSal-1389-A1-17072018_C001g00459	263	259	171	1305	1598
MinSal-1389-A1-17072018_C001g00460	2375	2992	2191	4982	6258
MinSal-1389-A1-17072018_C001g00461	3231	3022	2287	2125	2024
MinSal-1389-A1-17072018_C001g00462	643	520	756	1611	2454
MinSal-1389-A1-17072018_C001g00463	225	268	163	510	600
MinSal-1389-A1-17072018_C001g00464	470	553	465	1835	1319
MinSal-1389-A1-17072018_C001g00465	180	249	98	535	483
MinSal-1389-A1-17072018_C001g00466	0	0	0	154	141
MinSal-1389-A1-17072018_C001g00467	0	0	0	150	118
MinSal-1389-A1-17072018_C001g00468	845	1006	466	1035	928
MinSal-1389-A1-17072018_C001g00469	23	21	3	440	407
MinSal-1389-A1-17072018_C001g00471	474	652	382	4158	3904
MinSal-1389-A1-17072018_C001g00472	651	816	313	730	627
MinSal-1389-A1-17072018_C001g00473	0	1	0	562	829
MinSal-1389-A1-17072018_C001g00474	0	0	0	112	78
MinSal-1389-A1-17072018_C001g00475	91	166	49	38	13
MinSal-1389-A1-17072018_C001g00476	51	95	34	1349	1133
MinSal-1389-A1-17072018_C001g00477	0	0	0	2418	2013
MinSal-1389-A1-17072018_C001g00478	1342	1637	859	3335	2986
MinSal-1389-A1-17072018_C001g00479	563	639	262	298	247
MinSal-1389-A1-17072018_C001g00480	439	708	179	620	687
MinSal-1389-A1-17072018_C001g00481	1446	2037	910	1981	1729
MinSal-1389-A1-17072018_C001g00482	488	698	346	1343	1177
MinSal-1389-A1-17072018_C001g00483	1239	827	709	1579	1035
MinSal-1389-A1-17072018_C001g00484	0	0	0	93	49
MinSal-1389-A1-17072018_C001g00485	2710	2641	1580	2253	2208
MinSal-1389-A1-17072018_C001g00486	827	1020	337	5336	5191
MinSal-1389-A1-17072018_C001g00487	0	0	0	72	67
MinSal-1389-A1-17072018_C001g00488	399	463	257	1427	1509
MinSal-1389-A1-17072018_C001g00489	1984	2352	1487	5288	3985
MinSal-1389-A1-17072018_C001g00490	2932	2687	1958	1805	1603
MinSal-1389-A1-17072018_C001g00491	205	231	167	1745	1767
MinSal-1389-A1-17072018_C001g00492	221	380	88	4683	4514
MinSal-1389-A1-17072018_C001g00493	1069	1245	646	302	317
MinSal-1389-A1-17072018_C001g00494	788	1133	349	1548	1505
MinSal-1389-A1-17072018_C001g00495	5874	6993	3234	5340	4802
MinSal-1389-A1-17072018_C001g00496	17217	22976	9948	26321	26958
MinSal-1389-A1-17072018_C001g00499	0	2	0	85	47
MinSal-1389-A1-17072018_C001g00500	401	711	305	4815	4279
MinSal-1389-A1-17072018_C001g00501	648	649	584	2540	3010
MinSal-1389-A1-17072018_C001g00502	1426	1851	862	1640	1149
MinSal-1389-A1-17072018_C001g00503	7853	8500	5205	37817	42321
MinSal-1389-A1-17072018_C001g00504	327	206	340	142	265
MinSal-1389-A1-17072018_C001g00505	6132	6728	3419	7835	6926
