gid	location	chr	start	end	log2FC	intron_nr	mean	sum	
MvSl-1064-A1-R4_MC01-1g02022	MvSl-1064-A1-R4_MC01-1	Chr01	443094	443969	1.01427252193341	2	93.5	187
MvSl-1064-A1-R4_MC01-1g02161	MvSl-1064-A1-R4_MC01-1	Chr01	700448	701057	1.6143253815741	2	75.5	151
MvSl-1064-A1-R4_MC01-1g02176	MvSl-1064-A1-R4_MC01-1	Chr01	722869	724783	1.70690576953784	4	176.25	705
MvSl-1064-A1-R4_MC01-1g02422	MvSl-1064-A1-R4_MC01-1	Chr01	1303810	1304945	-1.3083678888107	1	43	43
MvSl-1064-A1-R4_MC01-1g02545	MvSl-1064-A1-R4_MC01-1	Chr01	1623049	1624982	-0.71292221183075	10	83	830
MvSl-1064-A1-R4_MC01-1g02598	MvSl-1064-A1-R4_MC01-1	Chr01	1729784	1733845	2.02519603590215	1	53	53
MvSl-1064-A1-R4_MC01-1g02603	MvSl-1064-A1-R4_MC01-1	Chr01	1744104	1745938	0.996392695186873	3	105.333	316
MvSl-1064-A1-R4_MC01-1g02725	MvSl-1064-A1-R4_MC01-1	Chr01	2015903	2020132	-1.35929545886003	1	64	64
MvSl-1064-A1-R4_MC01-1g02734	MvSl-1064-A1-R4_MC01-1	Chr01	2039963	2041115	-2.26729113351253	2	117	234
MvSl-1064-A1-R4_MC01-1g02763	MvSl-1064-A1-R4_MC01-1	Chr01	2127734	2131703	-0.786327856478859	6	114.833	689
MvSl-1064-A1-R4_MC01-1g02764	MvSl-1064-A1-R4_MC01-1	Chr01	2133289	2133526	-0.967982214415637	12	124.333	1492
MvSl-1064-A1-R4_MC01-1g02769	MvSl-1064-A1-R4_MC01-1	Chr01	2142465	2143388	-1.02544667003571	1	88	88
MvSl-1064-A1-R4_MC01-1g02779	MvSl-1064-A1-R4_MC01-1	Chr01	2167004	2168847	-0.828548762317791	3	105	315
MvSl-1064-A1-R4_MC01-1g02785	MvSl-1064-A1-R4_MC01-1	Chr01	2188911	2189774	1.81025775398997	3	79	237
MvSl-1064-A1-R4_MC01-1g02787	MvSl-1064-A1-R4_MC01-1	Chr01	2190569	2190916	-1.95930613314794	3	95.6667	287
MvSl-1064-A1-R4_MC01-1g02805	MvSl-1064-A1-R4_MC01-1	Chr01	2224752	2226292	-1.9391095537385	1	42	42
MvSl-1064-A1-R4_MC01-1g02827	MvSl-1064-A1-R4_MC01-1	Chr01	2277804	2277986	-3.39796682963831	2	70.5	141
MvSl-1064-A1-R4_MC01-1g02837	MvSl-1064-A1-R4_MC01-1	Chr01	2299525	2301343	1.87941961144806	1	90	90
MvSl-1064-A1-R4_MC01-1g02869	MvSl-1064-A1-R4_MC01-1	Chr01	2388232	2388937	5.23662639047278	1	117	117
MvSl-1064-A1-R4_MC01-1g02870	MvSl-1064-A1-R4_MC01-1	Chr01	2389164	2391367	3.4212633127282	7	109.143	764
MvSl-1064-A1-R4_MC01-1g02885	MvSl-1064-A1-R4_MC01-1	Chr01	2421729	2423505	-9.03658320902751	5	142.6	713
MvSl-1064-A1-R4_MC01-1g02912	MvSl-1064-A1-R4_MC01-1	Chr01	2476117	2477982	-3.20888345680154	6	167.833	1007
MvSl-1064-A1-R4_MC01-1g02916	MvSl-1064-A1-R4_MC01-1	Chr01	2469795	2471672	-10.9138206003004	2	109	218
MvSl-1064-A1-R4_MC01-1g02924	MvSl-1064-A1-R4_MC01-1	Chr01	2461947	2463297	-2.59060492596248	7	179.571	1257
MvSl-1064-A1-R4_MC01-2g02957	MvSl-1064-A1-R4_MC01-1	Chr01	2528970	2529194	-1.78254213107379	3	70	210
MvSl-1064-A1-R4_MC01-2g02970	MvSl-1064-A1-R4_MC01-1	Chr01	2555812	2558089	-6.83440400651521	1	222	222
MvSl-1064-A1-R4_MC01-2g03005	MvSl-1064-A1-R4_MC01-1	Chr01	2638104	2638522	-1.19313754544465	6	72.3333	434
MvSl-1064-A1-R4_MC01-2g03070	MvSl-1064-A1-R4_MC01-1	Chr01	2813014	2813993	-0.907754982701629	3	76	228
MvSl-1064-A1-R4_MC01-2g03113	MvSl-1064-A1-R4_MC01-1	Chr01	2877953	2880822	1.19574608313116	4	78.75	315
MvSl-1064-A1-R4_MC01-2g03146	MvSl-1064-A1-R4_MC02	Chr02	1	793	-0.846469500295903	1	383	383
MvSl-1064-A1-R4_MC01-2g03166	MvSl-1064-A1-R4_MC02	Chr02	46893	50202	3.8248128880543	1	83	83
MvSl-1064-A1-R4_MC02g03205	MvSl-1064-A1-R4_MC02	Chr02	150721	151305	-0.991156641627837	3	118.667	356
MvSl-1064-A1-R4_MC02g03224	MvSl-1064-A1-R4_MC02	Chr02	198023	198831	0.829492030686843	2	99.5	199
MvSl-1064-A1-R4_MC02g03229	MvSl-1064-A1-R4_MC02	Chr02	208275	211944	-0.801401631908429	11	88.9091	978
MvSl-1064-A1-R4_MC02g03274	MvSl-1064-A1-R4_MC02	Chr02	312457	313624	-1.55623869693271	4	126.25	505
MvSl-1064-A1-R4_MC02g03288	MvSl-1064-A1-R4_MC02	Chr02	345926	346202	-0.937752501542826	6	137.333	824
MvSl-1064-A1-R4_MC02g03327	MvSl-1064-A1-R4_MC02	Chr02	441250	443026	-1.01384750206752	3	107	321
MvSl-1064-A1-R4_MC02g03352	MvSl-1064-A1-R4_MC02	Chr02	522417	524545	-1.01374733669335	4	89.5	358
MvSl-1064-A1-R4_MC02g03373	MvSl-1064-A1-R4_MC02	Chr02	569119	570909	-1.54995453683823	2	167.5	335
MvSl-1064-A1-R4_MC02g03471	MvSl-1064-A1-R4_MC02	Chr02	787392	787596	-1.24906828174476	1	51	51
MvSl-1064-A1-R4_MC02g03484	MvSl-1064-A1-R4_MC02	Chr02	806915	808042	1.08084307440932	1	94	94
MvSl-1064-A1-R4_MC02g03498	MvSl-1064-A1-R4_MC02	Chr02	834046	835876	2.37714819502237	1	157	157
MvSl-1064-A1-R4_MC02g03515	MvSl-1064-A1-R4_MC02	Chr02	876340	878957	-0.86700965260048	1	45	45
MvSl-1064-A1-R4_MC02g03606	MvSl-1064-A1-R4_MC02	Chr02	1116373	1120136	-1.57161865131897	4	105.5	422
MvSl-1064-A1-R4_MC02g03617	MvSl-1064-A1-R4_MC02	Chr02	1150600	1152710	-0.849481762383873	2	149	298
MvSl-1064-A1-R4_MC02g03891	MvSl-1064-A1-R4_MC02	Chr02	1741514	1744931	-1.86885600557409	3	230.333	691
MvSl-1064-A1-R4_MC02g03922	MvSl-1064-A1-R4_MC02	Chr02	1811379	1812803	-1.25620795461141	5	85.2	426
MvSl-1064-A1-R4_MC02g04206	MvSl-1064-A1-R4_MC02	Chr02	2520294	2521314	-1.30275385053103	2	108.5	217
MvSl-1064-A1-R4_MC02g04207	MvSl-1064-A1-R4_MC02	Chr02	2537745	2542439	-0.768739148899436	1	44	44
MvSl-1064-A1-R4_MC02g04208	MvSl-1064-A1-R4_MC02	Chr02	2542839	2543411	-0.779442813250446	1	79	79
MvSl-1064-A1-R4_MC02g04224	MvSl-1064-A1-R4_MC03	Chr03	26279	28913	-1.16503748202518	4	134.75	539
MvSl-1064-A1-R4_MC03g04423	MvSl-1064-A1-R4_MC03	Chr03	457974	458561	-0.717472941471242	2	210	420
MvSl-1064-A1-R4_MC03g04424	MvSl-1064-A1-R4_MC03	Chr03	458630	459341	-1.08817393897125	6	99.6667	598
MvSl-1064-A1-R4_MC03g04539	MvSl-1064-A1-R4_MC03	Chr03	736466	738274	-2.03283190501821	1	40	40
MvSl-1064-A1-R4_MC03g04642	MvSl-1064-A1-R4_MC03	Chr03	973608	977163	1.07079693085493	4	148.75	595
MvSl-1064-A1-R4_MC03g04747	MvSl-1064-A1-R4_MC03	Chr03	1234285	1237148	0.842917789884051	12	93.1667	1118
MvSl-1064-A1-R4_MC03g04760	MvSl-1064-A1-R4_MC03	Chr03	1277504	1279733	-0.875667489084087	1	446	446
MvSl-1064-A1-R4_MC03g04807	MvSl-1064-A1-R4_MC03	Chr03	1389676	1391164	2.13155799551768	1	73	73
MvSl-1064-A1-R4_MC03g04831	MvSl-1064-A1-R4_MC03	Chr03	1440930	1449373	-1.04641787069514	1	124	124
MvSl-1064-A1-R4_MC03g04844	MvSl-1064-A1-R4_MC03	Chr03	1477378	1479347	1.47510513356149	1	41	41
MvSl-1064-A1-R4_MC03g04845	MvSl-1064-A1-R4_MC03	Chr03	1480098	1480448	1.4869825572436	2	161	322
MvSl-1064-A1-R4_MC03g04879	MvSl-1064-A1-R4_MC03	Chr03	1585502	1587550	-2.24965584712505	2	88.5	177
MvSl-1064-A1-R4_MC03g04909	MvSl-1064-A1-R4_MC03	Chr03	1648424	1649875	-2.16262536947299	4	184.5	738
MvSl-1064-A1-R4_MC03g04929	MvSl-1064-A1-R4_MC03	Chr03	1698538	1701021	1.53914510062594	3	90.6667	272
MvSl-1064-A1-R4_MC03g05070	MvSl-1064-A1-R4_MC03	Chr03	2033734	2033925	-2.33222653756924	2	86	172
MvSl-1064-A1-R4_MC03g05082	MvSl-1064-A1-R4_MC03	Chr03	2070240	2071403	1.76462838833369	1	80	80
MvSl-1064-A1-R4_MC03g05112	MvSl-1064-A1-R4_MC03	Chr03	2150803	2151639	-0.765743953578124	4	69.75	279
MvSl-1064-A1-R4_MC03g05154	MvSl-1064-A1-R4_MC03	Chr03	2236247	2236895	1.27273254416559	9	162.333	1461
MvSl-1064-A1-R4_MC03g05222	MvSl-1064-A1-R4_MC03	Chr03	2406369	2407408	-2.47305347486191	2	132.5	265
MvSl-1064-A1-R4_MC03g05233	MvSl-1064-A1-R4_MC03	Chr03	2430829	2431709	1.26986543578312	11	112.636	1239
MvSl-1064-A1-R4_MC03g05235	MvSl-1064-A1-R4_MC03	Chr03	2437236	2440046	1.7659332110009	7	99.2857	695
MvSl-1064-A1-R4_MC04-1g05282	MvSl-1064-A1-R4_MC04-1	Chr04	49616	50221	-5.21727398980531	1	103	103
MvSl-1064-A1-R4_MC04-1g05308	MvSl-1064-A1-R4_MC04-1	Chr04	83248	83523	-0.991807877628025	1	79	79
MvSl-1064-A1-R4_MC04-1g05323	MvSl-1064-A1-R4_MC04-1	Chr04	106646	108295	-0.644210348726506	3	89.3333	268
MvSl-1064-A1-R4_MC04-1g05373	MvSl-1064-A1-R4_MC04-1	Chr04	218527	219073	0.623684676508805	9	110.444	994
MvSl-1064-A1-R4_MC04-1g05411	MvSl-1064-A1-R4_MC04-1	Chr04	343240	347427	3.87394131480699	2	57	114
MvSl-1064-A1-R4_MC04-1g05441	MvSl-1064-A1-R4_MC04-1	Chr04	421065	421307	0.664901010940451	8	70.75	566
MvSl-1064-A1-R4_MC04-1g05493	MvSl-1064-A1-R4_MC04-1	Chr04	531590	531883	-0.648329768364395	2	67.5	135
MvSl-1064-A1-R4_MC04-1g05502	MvSl-1064-A1-R4_MC04-1	Chr04	552732	553186	3.2736429012965	3	78	234
MvSl-1064-A1-R4_MC04-1g05592	MvSl-1064-A1-R4_MC04-1	Chr04	753437	754771	-0.996261031279783	3	112	336
MvSl-1064-A1-R4_MC04-1g05729	MvSl-1064-A1-R4_MC04-1	Chr04	1116693	1119291	0.804899346647012	3	168	504
MvSl-1064-A1-R4_MC04-1g05801	MvSl-1064-A1-R4_MC04-1	Chr04	1296862	1297302	-1.29587514167157	5	88	440
MvSl-1064-A1-R4_MC04-1g05832	MvSl-1064-A1-R4_MC04-1	Chr04	1366216	1367297	-6.36076504421719	3	105.333	316
MvSl-1064-A1-R4_MC04-1g05858	MvSl-1064-A1-R4_MC04-1	Chr04	1423579	1424514	-1.28332985432504	1	108	108
MvSl-1064-A1-R4_MC04-1g05865	MvSl-1064-A1-R4_MC04-1	Chr04	1439123	1440432	0.797419697558942	8	88.625	709
MvSl-1064-A1-R4_MC04-1g05911	MvSl-1064-A1-R4_MC04-1	Chr04	1554327	1556717	1.89302608740147	1	208	208
MvSl-1064-A1-R4_MC04-1g05942	MvSl-1064-A1-R4_MC04-1	Chr04	1618800	1619609	-0.753476184828847	6	127.833	767
MvSl-1064-A1-R4_MC04-1g05945	MvSl-1064-A1-R4_MC04-1	Chr04	1623051	1624038	0.84875161925792	4	86	344
MvSl-1064-A1-R4_MC04-1g05982	MvSl-1064-A1-R4_MC04-1	Chr04	1708858	1709195	-1.44319893962128	1	62	62
MvSl-1064-A1-R4_MC04-1g05987	MvSl-1064-A1-R4_MC04-1	Chr04	1713418	1713721	1.29745721479352	1	40	40
MvSl-1064-A1-R4_MC04-1g06041	MvSl-1064-A1-R4_MC04-1	Chr04	1868139	1871971	-1.26792222046373	2	214	428
MvSl-1064-A1-R4_MC04-1g06069	MvSl-1064-A1-R4_MC04-1	Chr04	1935217	1937471	-2.35214986343411	5	88.4	442
MvSl-1064-A1-R4_MC04-2g06086	MvSl-1064-A1-R4_MC05-1	Chr05	5538	7710	-2.05021305915383	1	40	40
MvSl-1064-A1-R4_MC05-1g06149	MvSl-1064-A1-R4_MC05-3	Chr05	71756	72543	0.680708917123863	6	79.8333	479
MvSl-1064-A1-R4_MC05-1g06209	MvSl-1064-A1-R4_MC05-1	Chr05	124813	126762	-3.93174476936804	2	140	280
MvSl-1064-A1-R4_MC05-2g06430	MvSl-1064-A1-R4_MC05-1	Chr05	285041	285279	0.937505774280328	8	80	640
MvSl-1064-A1-R4_MC05-2g06432	MvSl-1064-A1-R4_MC05-2	Chr05	285886	287358	1.98532349812941	5	73.8	369
MvSl-1064-A1-R4_MC05-2g06461	MvSl-1064-A1-R4_MC05-3	Chr05	310382	311304	-1.38762416200866	3	71.6667	215
MvSl-1064-A1-R4_MC05-2g06481	MvSl-1064-A1-R4_MC05-2	Chr05	323133	324392	-0.948524293814701	2	219	438
MvSl-1064-A1-R4_MC05-2g06485	MvSl-1064-A1-R4_MC05-2	Chr05	327387	329680	-1.65619240282392	10	75.7	757
MvSl-1064-A1-R4_MC05-3g06511	MvSl-1064-A1-R4_MC05-3	Chr05	333416	334242	1.32277700633424	4	84.5	338
MvSl-1064-A1-R4_MC05-3g06514	MvSl-1064-A1-R4_MC05-1	Chr05	336152	336708	1.11981521224292	5	72	360
MvSl-1064-A1-R4_MC05-3g06515	MvSl-1064-A1-R4_MC05-1	Chr05	337264	338212	1.15710190864823	5	259.6	1298
MvSl-1064-A1-R4_MC05-3g06516	MvSl-1064-A1-R4_MC05-3	Chr05	339298	341280	0.75447327280513	2	88.5	177
MvSl-1064-A1-R4_MC05-3g06517	MvSl-1064-A1-R4_MC05-1	Chr05	339369	346823	1.04132479426921	4	90.25	361
MvSl-1064-A1-R4_MC05-3g06518	MvSl-1064-A1-R4_MC05-2	Chr05	342012	342758	1.07563613576318	8	88	704
MvSl-1064-A1-R4_MC05-3g06519	MvSl-1064-A1-R4_MC05-3	Chr05	342167	343614	0.99468536781328	5	171.2	856
MvSl-1064-A1-R4_MC05-3g06591	MvSl-1064-A1-R4_MC05-3	Chr05	394942	396910	-0.741328641136454	11	95.3636	1049
MvSl-1064-A1-R4_MC05-3g06707	MvSl-1064-A1-R4_MC05-3	Chr05	623804	624999	1.0365632191192	11	89.5455	985
MvSl-1064-A1-R4_MC05-3g06731	MvSl-1064-A1-R4_MC05-3	Chr05	677213	677974	-2.33180470909772	2	90	180
MvSl-1064-A1-R4_MC05-3g06760	MvSl-1064-A1-R4_MC05-3	Chr05	748841	749627	-2.34135654927364	4	64.25	257
MvSl-1064-A1-R4_MC05-3g06790	MvSl-1064-A1-R4_MC05-3	Chr05	818866	823259	-1.17016978801169	3	78	234
MvSl-1064-A1-R4_MC06g06896	MvSl-1064-A1-R4_MC06	Chr06	164622	167040	1.01442842786391	5	104.2	521
MvSl-1064-A1-R4_MC06g06907	MvSl-1064-A1-R4_MC06	Chr06	187971	189682	-1.63657948069778	3	113.333	340
MvSl-1064-A1-R4_MC06g06943	MvSl-1064-A1-R4_MC06	Chr06	280916	282284	-0.80076468297201	7	98	686
MvSl-1064-A1-R4_MC06g06944	MvSl-1064-A1-R4_MC06	Chr06	283718	287261	1.9828512257197	3	74	222
MvSl-1064-A1-R4_MC06g06945	MvSl-1064-A1-R4_MC06	Chr06	287765	289283	2.9508269319495	6	69.8333	419
MvSl-1064-A1-R4_MC06g07033	MvSl-1064-A1-R4_MC01-2	Chr01	21439	22441	2.93518343902903	16	79.75	1276
MvSl-1064-A1-R4_MC06g07102	MvSl-1064-A1-R4_MC06	Chr06	719696	720073	-2.26368580736835	4	110.5	442
MvSl-1064-A1-R4_MC06g07136	MvSl-1064-A1-R4_MC06	Chr06	800364	806063	1.42766996902994	1	95	95
MvSl-1064-A1-R4_MC06g07137	MvSl-1064-A1-R4_MC06	Chr06	806773	806949	4.9614362376576	7	78.8571	552
MvSl-1064-A1-R4_MC06g07138	MvSl-1064-A1-R4_MC06	Chr06	807580	809503	-4.46192241792102	7	81.7143	572
MvSl-1064-A1-R4_MC06g07191	MvSl-1064-A1-R4_MC06	Chr06	940825	943820	-1.25496864384642	29	99.931	2898
MvSl-1064-A1-R4_MC06g07298	MvSl-1064-A1-R4_MC06	Chr06	1221202	1222069	0.789319846822894	4	94	376
MvSl-1064-A1-R4_MC06g07419	MvSl-1064-A1-R4_MC06	Chr06	1508105	1508263	0.847864364958502	5	80	400
MvSl-1064-A1-R4_MC06g07471	MvSl-1064-A1-R4_MC06	Chr06	1621156	1622824	-1.29895137056859	10	98.1	981
MvSl-1064-A1-R4_MC06g07527	MvSl-1064-A1-R4_MC07	Chr07	28375	28666	-0.873800661244811	2	119	238
MvSl-1064-A1-R4_MC07g07592	MvSl-1064-A1-R4_MC07	Chr07	186081	187166	-1.0870434707309	1	83	83
MvSl-1064-A1-R4_MC07g07597	MvSl-1064-A1-R4_MC07	Chr07	196832	198411	-0.703489722713151	8	79.875	639
MvSl-1064-A1-R4_MC07g07612	MvSl-1064-A1-R4_MC07	Chr07	235864	236563	-0.779599209511135	2	197	394
MvSl-1064-A1-R4_MC07g07855	MvSl-1064-A1-R4_MC07	Chr07	803187	804691	0.843074327829665	9	110.778	997
MvSl-1064-A1-R4_MC07g07961	MvSl-1064-A1-R4_MC07	Chr07	1066540	1066944	-4.09879713274562	1	184	184
MvSl-1064-A1-R4_MC07g07981	MvSl-1064-A1-R4_MC07	Chr07	1123124	1123801	0.812984352373353	3	51.6667	155
MvSl-1064-A1-R4_MC07g08004	MvSl-1064-A1-R4_MC07	Chr07	1187289	1193245	-2.06605191799088	5	91.2	456
MvSl-1064-A1-R4_MC07g08057	MvSl-1064-A1-R4_MC07	Chr07	1312446	1314003	1.07689215512294	3	83.3333	250
MvSl-1064-A1-R4_MC07g08097	MvSl-1064-A1-R4_MC07	Chr07	1410040	1412737	1.42269813421156	2	123.5	247
MvSl-1064-A1-R4_MC07g08104	MvSl-1064-A1-R4_MC07	Chr07	1429990	1433590	0.8189352710305	5	132.8	664
MvSl-1064-A1-R4_MC07g08138	MvSl-1064-A1-R4_MC07	Chr07	1502445	1503999	0.830411176071576	8	84.5	676
MvSl-1064-A1-R4_MC07g08235	MvSl-1064-A1-R4_MC08	Chr08	21352	26574	5.63747020586569	4	96.75	387
MvSl-1064-A1-R4_MC07g08249	MvSl-1064-A1-R4_MC08	Chr08	57854	58597	-1.90341450415976	1	93	93
MvSl-1064-A1-R4_MC08g08318	MvSl-1064-A1-R4_MC08	Chr08	228358	231681	2.38626528606108	6	87.5	525
MvSl-1064-A1-R4_MC08g08369	MvSl-1064-A1-R4_MC08	Chr08	367562	374596	-1.86933015316315	4	100.75	403
MvSl-1064-A1-R4_MC08g08445	MvSl-1064-A1-R4_MC08	Chr08	545880	552149	-0.798314109231268	8	178.75	1430
MvSl-1064-A1-R4_MC08g08472	MvSl-1064-A1-R4_MC08	Chr08	622555	623825	-0.799902043901943	1	198	198
MvSl-1064-A1-R4_MC08g08498	MvSl-1064-A1-R4_MC08	Chr08	690817	693672	-1.02049481252812	6	140.333	842
