gene	S1_A2	S2_A2
MvSl-1064-A2-R4_A2g00122	54.4178	54.8336
MvSl-1064-A2-R4_A2g00123	7964	6264
MvSl-1064-A2-R4_A2g00124	944	710
MvSl-1064-A2-R4_A2g00125	1843	1820
MvSl-1064-A2-R4_A2g00126	3741	2833
MvSl-1064-A2-R4_A2g00127	3298	2961
MvSl-1064-A2-R4_A2g00128	4189	3454
MvSl-1064-A2-R4_A2g00129	4376	3543
MvSl-1064-A2-R4_A2g00130	1158	1131
MvSl-1064-A2-R4_A2g00131	5263	5444
MvSl-1064-A2-R4_A2g00132	126.654	149.376
MvSl-1064-A2-R4_A2g00133	393.082	550.94
MvSl-1064-A2-R4_A2g00134	142.869	143.168
MvSl-1064-A2-R4_A2g00135	105.314	147.203
MvSl-1064-A2-R4_A2g00136	242.711	349.142
MvSl-1064-A2-R4_A2g00137	0	0
MvSl-1064-A2-R4_A2g00138	0.51181	2.5453
MvSl-1064-A2-R4_A2g00139	36.7563	48.6947
MvSl-1064-A2-R4_A2g00140	259.472	206.508
MvSl-1064-A2-R4_A2g00141	157.241	149.314
MvSl-1064-A2-R4_A2g00142	71.0533	87.8558
MvSl-1064-A2-R4_A2g00143	35.125	70.3884
MvSl-1064-A2-R4_A2g00144	39.4414	51.8425
MvSl-1064-A2-R4_A2g00145	0	0
MvSl-1064-A2-R4_A2g00146	4.57102	14.516
MvSl-1064-A2-R4_A2g00147	1.79839	0
MvSl-1064-A2-R4_A2g00148	17.8547	29.0667
MvSl-1064-A2-R4_A2g00149	400	473
MvSl-1064-A2-R4_A2g00150	168.564	179.008
MvSl-1064-A2-R4_A2g00151	15.4737	20.2678
MvSl-1064-A2-R4_A2g00152	87	133
MvSl-1064-A2-R4_A2g00153	1106	1133
MvSl-1064-A2-R4_A2g00154	2069	2091
MvSl-1064-A2-R4_A2g00155	3280.33	3191.62
MvSl-1064-A2-R4_A2g00156	57.9129	59.8362
MvSl-1064-A2-R4_A2g00157	46.0374	56.6208
MvSl-1064-A2-R4_A2g00158	146.415	188.175
MvSl-1064-A2-R4_A2g00159	5	9
MvSl-1064-A2-R4_A2g00160	488.326	644.249
MvSl-1064-A2-R4_A2g00161	1404.08	1538.66
MvSl-1064-A2-R4_A2g00162	245.295	190.361
MvSl-1064-A2-R4_A2g00163	3516	2741
MvSl-1064-A2-R4_A2g00164	1007.75	831.908
MvSl-1064-A2-R4_A2g00165	53.4353	58.3067
MvSl-1064-A2-R4_A2g00166	105.214	93.7868
MvSl-1064-A2-R4_A2g00167	23.0052	19.5925
MvSl-1064-A2-R4_A2g00168	145.989	279.684
MvSl-1064-A2-R4_A2g00169	3289	2818
MvSl-1064-A2-R4_A2g00170	290.705	247.129
MvSl-1064-A2-R4_A2g00171	7674.33	8668.02
MvSl-1064-A2-R4_A2g00172	857.504	1024.94
MvSl-1064-A2-R4_A2g00173	165.994	161.267
MvSl-1064-A2-R4_A2g00174	499.705	604
MvSl-1064-A2-R4_A2g00175	11.1316	5.17546
MvSl-1064-A2-R4_A2g00176	1702.25	2232.39
MvSl-1064-A2-R4_A2g00177	63.0391	140.85
MvSl-1064-A2-R4_A2g00178	727.78	580.09
MvSl-1064-A2-R4_A2g00179	486	455
MvSl-1064-A2-R4_A2g00180	0	0
MvSl-1064-A2-R4_A2g00181	0	0
MvSl-1064-A2-R4_A2g00182	28.1485	43.9819
MvSl-1064-A2-R4_A2g00183	869.812	980.532
MvSl-1064-A2-R4_A2g00184	251.76	289.507
MvSl-1064-A2-R4_A2g00185	1707	1981
MvSl-1064-A2-R4_A2g00186	1105	886
MvSl-1064-A2-R4_A2g00187	337.684	525.277
MvSl-1064-A2-R4_A2g00188	20	27
MvSl-1064-A2-R4_A2g00189	1004.78	1723.5
MvSl-1064-A2-R4_A2g00190	56.3743	46.2074
MvSl-1064-A2-R4_A2g00191	366.584	641.383
MvSl-1064-A2-R4_A2g00192	2043.63	1221.82
MvSl-1064-A2-R4_A2g00193	196.809	241.504
MvSl-1064-A2-R4_A2g00194	56.4667	61.0475
MvSl-1064-A2-R4_A2g00195	2664	2759
MvSl-1064-A2-R4_A2g00196	2665	2895
MvSl-1064-A2-R4_A2g00197	50.3648	52.8527
MvSl-1064-A2-R4_A2g00198	15.4402	10.7692
MvSl-1064-A2-R4_A2g00199	289.1	185.695
MvSl-1064-A2-R4_A2g00200	369.647	449.054
MvSl-1064-A2-R4_A2g00201	977.11	973.24
MvSl-1064-A2-R4_A2g00202	92.8707	75.2868
MvSl-1064-A2-R4_A2g00203	1862.26	1868.24
MvSl-1064-A2-R4_A2g00204	283	345
MvSl-1064-A2-R4_A2g00205	1913	2216
MvSl-1064-A2-R4_A2g00206	47	59
MvSl-1064-A2-R4_A2g00207	18	9
MvSl-1064-A2-R4_A2g00208	6348	4510
MvSl-1064-A2-R4_A2g00209	7196	5302
MvSl-1064-A2-R4_A2g00210	6348	5562
MvSl-1064-A2-R4_A2g00211	0	1.04128
MvSl-1064-A2-R4_A2g00212	181.585	123.953
MvSl-1064-A2-R4_A2g00213	252.501	190.461
MvSl-1064-A2-R4_A2g00214	235.728	311.121
MvSl-1064-A2-R4_A2g00215	904.726	982.137
MvSl-1064-A2-R4_A2g00216	15418.3	16778.9
MvSl-1064-A2-R4_A2g00217	2.1594	11.976
MvSl-1064-A2-R4_A2g00218	71.1416	114.11
MvSl-1064-A2-R4_A2g00219	74.7954	66.1615
MvSl-1064-A2-R4_A2g00220	54.7347	47.1153
MvSl-1064-A2-R4_A2g00221	3.18311	4.14054
MvSl-1064-A2-R4_A2g00222	26.9656	20.131
MvSl-1064-A2-R4_A2g00223	3.79714	5.08217
MvSl-1064-A2-R4_A2g00224	70.6338	39.7527
MvSl-1064-A2-R4_A2g00225	80.2093	91.1834
MvSl-1064-A2-R4_A2g00226	1344.52	1001.35
MvSl-1064-A2-R4_A2g00227	61.3026	26.9337
MvSl-1064-A2-R4_A2g00228	7.80565	7.23596
MvSl-1064-A2-R4_A2g00229	311.174	252.083
MvSl-1064-A2-R4_A2g00230	201	167
MvSl-1064-A2-R4_A2g00231	417.759	451.965
MvSl-1064-A2-R4_A2g00232	5.2035	7.21686
MvSl-1064-A2-R4_A2g00233	122	167
MvSl-1064-A2-R4_A2g00234	1.00412	0
MvSl-1064-A2-R4_A2g00235	4524.29	5223.16
MvSl-1064-A2-R4_A2g00236	1097.31	934.036
MvSl-1064-A2-R4_A2g00237	499.692	327.321
MvSl-1064-A2-R4_A2g00238	156.761	213.925
MvSl-1064-A2-R4_A2g00239	3383	3672
MvSl-1064-A2-R4_A2g00240	517.62	449.061
MvSl-1064-A2-R4_A2g00241	2224.74	1992.74
MvSl-1064-A2-R4_A2g00242	94.9509	100.59
MvSl-1064-A2-R4_A2g00243	18.0549	12.8089
MvSl-1064-A2-R4_A2g00244	31.8264	58.5741
MvSl-1064-A2-R4_A2g00245	21.5	21
MvSl-1064-A2-R4_A2g00246	1010.72	1462.99
MvSl-1064-A2-R4_A2g00247	3.00606	2.71204
MvSl-1064-A2-R4_A2g00248	32.2306	29.5856
MvSl-1064-A2-R4_A2g00249	0	0
MvSl-1064-A2-R4_A2g00250	135.282	141.66
MvSl-1064-A2-R4_A2g00251	45.1436	102.688
MvSl-1064-A2-R4_A2g00252	6.05222	7.05647
MvSl-1064-A2-R4_A2g00253	155.949	295.102
MvSl-1064-A2-R4_A2g00254	4261.61	4117.08
MvSl-1064-A2-R4_A2g00255	0	3.92117
MvSl-1064-A2-R4_A2g00256	18.6982	22.117
MvSl-1064-A2-R4_A2g00257	0	0
MvSl-1064-A2-R4_A2g00258	191.915	243.542
MvSl-1064-A2-R4_A2g00259	0	0
MvSl-1064-A2-R4_A2g00260	3.55804	1.20611
MvSl-1064-A2-R4_A2g00261	5.48047	6.44561
MvSl-1064-A2-R4_A2g00262	1.11614	0
MvSl-1064-A2-R4_A2g00263	12.4271	11.0523
MvSl-1064-A2-R4_A2g00264	226.43	255.024
MvSl-1064-A2-R4_A2g00265	14.0251	17.0442
MvSl-1064-A2-R4_A2g00266	1008.04	1665.51
MvSl-1064-A2-R4_A2g00267	2	7
MvSl-1064-A2-R4_A2g00268	1	0
MvSl-1064-A2-R4_A2g00269	21.0178	12.036
MvSl-1064-A2-R4_A2g00270	0	1
MvSl-1064-A2-R4_A2g00271	50.9742	88.3186
MvSl-1064-A2-R4_A2g00272	67.7005	73.6236
MvSl-1064-A2-R4_A2g00273	181.199	171.582
MvSl-1064-A2-R4_A2g00274	2	1
MvSl-1064-A2-R4_A2g00275	0	0
MvSl-1064-A2-R4_A2g00276	1.00384	0
MvSl-1064-A2-R4_A2g00277	18.2475	7.97873
MvSl-1064-A2-R4_A2g00278	13	19
MvSl-1064-A2-R4_A2g00279	6	10
MvSl-1064-A2-R4_A2g00280	16.4365	23.8532
MvSl-1064-A2-R4_A2g00281	22.0066	49.6164
MvSl-1064-A2-R4_A2g00282	77.9573	140.956
MvSl-1064-A2-R4_A2g00283	382.321	360.132
MvSl-1064-A2-R4_A2g00284	8.80823	15.7218
MvSl-1064-A2-R4_A2g00285	125.122	161.937
MvSl-1064-A2-R4_A2g00286	18.4256	23.4016
MvSl-1064-A2-R4_A2g00287	0	0
MvSl-1064-A2-R4_A2g00288	17.0103	20.0444
MvSl-1064-A2-R4_A2g00289	2.02814	5.09659
MvSl-1064-A2-R4_A2g00290	4720	4448
MvSl-1064-A2-R4_A2g00291	355	477
MvSl-1064-A2-R4_A2g00292	99.274	121.318
MvSl-1064-A2-R4_A2g00293	5.05792	10.2048
MvSl-1064-A2-R4_A2g00294	313.955	310.775
MvSl-1064-A2-R4_A2g00295	138.09	136.583
MvSl-1064-A2-R4_A2g00296	342.843	279.825
MvSl-1064-A2-R4_A2g00297	1438.73	1771.49
MvSl-1064-A2-R4_A2g00298	1786	1189
MvSl-1064-A2-R4_A2g00299	2038.29	2929.87
MvSl-1064-A2-R4_A2g00300	1097	1006
MvSl-1064-A2-R4_A2g00301	10622	8912
MvSl-1064-A2-R4_A2g00302	7	2
MvSl-1064-A2-R4_A2g00303	2662	2436
MvSl-1064-A2-R4_A2g00304	4918	4969
MvSl-1064-A2-R4_A2g00305	0	0
MvSl-1064-A2-R4_A2g00306	548.369	506.31
MvSl-1064-A2-R4_A2g00307	62.0416	47.7351
MvSl-1064-A2-R4_A2g00308	418.447	424.262
MvSl-1064-A2-R4_A2g00309	1.02506	2.04739
MvSl-1064-A2-R4_A2g00310	40.8133	84.5822
MvSl-1064-A2-R4_A2g00311	335.114	322.197
MvSl-1064-A2-R4_A2g00312	259.333	283.28
MvSl-1064-A2-R4_A2g00313	383.309	469.844
MvSl-1064-A2-R4_A2g00314	1719	1518
MvSl-1064-A2-R4_A2g00315	4645	7661
MvSl-1064-A2-R4_A2g00316	876.731	1121.98
MvSl-1064-A2-R4_A2g00317	72.2807	68.7302
MvSl-1064-A2-R4_A2g00318	157.313	175.917
MvSl-1064-A2-R4_A2g00319	103.332	130.695
MvSl-1064-A2-R4_A2g00320	1.14489	0
MvSl-1064-A2-R4_A2g00321	167.537	84.3216
MvSl-1064-A2-R4_A2g00322	185.192	213.28
MvSl-1064-A2-R4_A2g00323	3433.57	3759.16
MvSl-1064-A2-R4_A2g00324	4371.99	4957.29
MvSl-1064-A2-R4_A2g00325	1461.73	1242.7
MvSl-1064-A2-R4_A2g00326	222.116	177.11
MvSl-1064-A2-R4_A2g00327	581.166	578.65
MvSl-1064-A2-R4_A2g00328	1292	982
MvSl-1064-A2-R4_A2g00329	7967	6591
MvSl-1064-A2-R4_A2g00330	667.465	1012.12
MvSl-1064-A2-R4_A2g00331	384.938	626.335
MvSl-1064-A2-R4_A2g00332	24.1136	20.6541
MvSl-1064-A2-R4_A2g00333	60	45
MvSl-1064-A2-R4_A2g00334	109.292	91.095
MvSl-1064-A2-R4_A2g00335	15.4001	13.4807
MvSl-1064-A2-R4_A2g00336	287.344	370.393
MvSl-1064-A2-R4_A2g00337	3.44585	1.29488
MvSl-1064-A2-R4_A2g00338	5	2
MvSl-1064-A2-R4_A2g00339	975.796	917.254
MvSl-1064-A2-R4_A2g00340	1366.66	1407.63
MvSl-1064-A2-R4_A2g00341	13.1606	12.1738
MvSl-1064-A2-R4_A2g00342	36	42
MvSl-1064-A2-R4_A2g00343	548.743	607.486
MvSl-1064-A2-R4_A2g00344	137.705	156.766
MvSl-1064-A2-R4_A2g00345	165.695	210.132
MvSl-1064-A2-R4_A2g00346	197.652	254.845
MvSl-1064-A2-R4_A2g00347	0	6.22726
MvSl-1064-A2-R4_A2g00348	0	2.04295
MvSl-1064-A2-R4_A2g00349	263.253	190.857
MvSl-1064-A2-R4_A2g00350	11.7719	20.2629
MvSl-1064-A2-R4_A2g00351	7210	12175
MvSl-1064-A2-R4_A2g00352	1106.76	1327.45
MvSl-1064-A2-R4_A2g00353	592.84	410.158
MvSl-1064-A2-R4_A2g00354	0	0
MvSl-1064-A2-R4_A2g00355	548.704	694.647
MvSl-1064-A2-R4_A2g00356	2031.39	2145.23
MvSl-1064-A2-R4_A2g00357	107.561	154.781
MvSl-1064-A2-R4_A2g00358	765.487	685.569
MvSl-1064-A2-R4_A2g00359	581.569	897.823
MvSl-1064-A2-R4_A2g00360	2	2
MvSl-1064-A2-R4_A2g00361	25.7678	28.0395
MvSl-1064-A2-R4_A2g00362	76	77
MvSl-1064-A2-R4_A2g00363	114.69	163.437
MvSl-1064-A2-R4_A2g00364	15.0055	14.9797
MvSl-1064-A2-R4_A2g00365	473	398
MvSl-1064-A2-R4_A2g00366	455	480
MvSl-1064-A2-R4_A2g00367	3005	1951
MvSl-1064-A2-R4_A2g00368	5875	5042
MvSl-1064-A2-R4_A2g00369	4333	2934
MvSl-1064-A2-R4_A2g00370	1387	1874
MvSl-1064-A2-R4_A2g00371	5653	4057
MvSl-1064-A2-R4_A2g00372	6920	7342
MvSl-1064-A2-R4_A2g00373	10767	11877
MvSl-1064-A2-R4_A2g00374	4977	5024
MvSl-1064-A2-R4_A2g00375	7416	6737
MvSl-1064-A2-R4_A2g00376	1926	1898
MvSl-1064-A2-R4_A2g00377	0	2
MvSl-1064-A2-R4_A2g00378	1	3
MvSl-1064-A2-R4_A2g00379	4320	3549
MvSl-1064-A2-R4_A2g00380	15038	9264
MvSl-1064-A2-R4_A2g00381	1638.22	2351.09
MvSl-1064-A2-R4_A2g00382	353.809	320.209
MvSl-1064-A2-R4_A2g00383	640	607
MvSl-1064-A2-R4_A2g00384	2	1.5
MvSl-1064-A2-R4_A2g00385	3	7
MvSl-1064-A2-R4_A2g00386	2	1.5
MvSl-1064-A2-R4_A2g00387	0	0
MvSl-1064-A2-R4_A2g00388	1934	1876
MvSl-1064-A2-R4_A2g00389	191.125	193.677
MvSl-1064-A2-R4_A2g00390	151.123	145.424
MvSl-1064-A2-R4_A2g00391	25.8071	28.8124
MvSl-1064-A2-R4_A2g00392	1	1
MvSl-1064-A2-R4_A2g00393	1259.73	1142.77
MvSl-1064-A2-R4_A2g00394	22	13
MvSl-1064-A2-R4_A2g00395	71	61
MvSl-1064-A2-R4_A2g00396	14	14
MvSl-1064-A2-R4_A2g00397	865.287	826.308
MvSl-1064-A2-R4_A2g00398	810.735	717.048
MvSl-1064-A2-R4_A2g00399	1	1
MvSl-1064-A2-R4_A2g00400	143.868	265.251
MvSl-1064-A2-R4_A2g00401	1421.99	1309.83
MvSl-1064-A2-R4_A2g00402	114.924	174.435
MvSl-1064-A2-R4_A2g00403	4709	5048
MvSl-1064-A2-R4_A2g00404	896.851	859.554
MvSl-1064-A2-R4_A2g00405	296.554	389.744
MvSl-1064-A2-R4_A2g00406	109.173	149.544
MvSl-1064-A2-R4_A2g00407	880.865	906.05
MvSl-1064-A2-R4_A2g00408	0	17.5698
MvSl-1064-A2-R4_A2g00409	6277.33	5701.48
MvSl-1064-A2-R4_A2g00410	123.848	210.131
MvSl-1064-A2-R4_A2g00411	0	0.788221
MvSl-1064-A2-R4_A2g00412	0	0
MvSl-1064-A2-R4_A2g00413	15.3013	14.5798
MvSl-1064-A2-R4_A2g00414	0	0
MvSl-1064-A2-R4_A2g00415	189.559	154.19
MvSl-1064-A2-R4_A2g00416	2681.43	1996.8
MvSl-1064-A2-R4_A2g00417	1242	1156
MvSl-1064-A2-R4_A2g00418	2865	2641
MvSl-1064-A2-R4_A2g00419	207	155
MvSl-1064-A2-R4_A2g00420	163.718	114.589
MvSl-1064-A2-R4_A2g00421	94.1414	161.226
MvSl-1064-A2-R4_A2g00422	273.457	277.4
MvSl-1064-A2-R4_A2g00423	70.5414	58.6882
MvSl-1064-A2-R4_A2g00424	226.214	336.29
MvSl-1064-A2-R4_A2g00425	270.411	287.803
MvSl-1064-A2-R4_A2g00426	79.2103	149.495
MvSl-1064-A2-R4_A2g00427	1.00208	3.00954
MvSl-1064-A2-R4_A2g00428	1	0
MvSl-1064-A2-R4_A2g00429	5	1
MvSl-1064-A2-R4_A2g00430	195	176.113
MvSl-1064-A2-R4_A2g00431	4924	5715
MvSl-1064-A2-R4_A2g00432	965.829	726.062
MvSl-1064-A2-R4_A2g00433	750	694
MvSl-1064-A2-R4_A2g00434	145.103	176.688
MvSl-1064-A2-R4_A2g00435	12.0244	5.45924
MvSl-1064-A2-R4_A2g00436	3.01532	1.00095
MvSl-1064-A2-R4_A2g00437	383.145	423.438
MvSl-1064-A2-R4_A2g00438	72.3016	89.5547
MvSl-1064-A2-R4_A2g00439	402.523	464.53
MvSl-1064-A2-R4_A2g00440	23.8581	34.2469
MvSl-1064-A2-R4_A2g00441	4.36119	4.21945
MvSl-1064-A2-R4_A2g00442	32.7466	22.6259
MvSl-1064-A2-R4_A2g00443	9527	8810
MvSl-1064-A2-R4_A2g00444	6264	5385
MvSl-1064-A2-R4_A2g00445	292.86	373.478
MvSl-1064-A2-R4_A2g00446	339.935	502.668
MvSl-1064-A2-R4_A2g00447	912.91	838.462
MvSl-1064-A2-R4_A2g00448	94.1414	161.226
MvSl-1064-A2-R4_A2g00449	44.1302	44.7789
MvSl-1064-A2-R4_A2g00450	19.4319	17.7093
MvSl-1064-A2-R4_A2g00451	78.4111	75.3396
MvSl-1064-A2-R4_A2g00452	740.244	741.106
MvSl-1064-A2-R4_A2g00453	724.267	656.251
MvSl-1064-A2-R4_A2g00454	40.3863	58.6684
MvSl-1064-A2-R4_A2g00455	586.808	611.926
MvSl-1064-A2-R4_A2g00456	469.892	492.586
MvSl-1064-A2-R4_A2g00457	155.83	127.537
MvSl-1064-A2-R4_A2g00458	16.3153	22.5451
MvSl-1064-A2-R4_A2g00459	20	27
MvSl-1064-A2-R4_A2g00460	1035.38	1083.04
MvSl-1064-A2-R4_A2g00461	19	11
MvSl-1064-A2-R4_A2g00462	0	0.751623
MvSl-1064-A2-R4_A2g00463	322.894	477.331
MvSl-1064-A2-R4_A2g00464	103.85	217.753
MvSl-1064-A2-R4_A2g00465	2.923	0.00982838
MvSl-1064-A2-R4_A2g00466	1770.52	1198.98
MvSl-1064-A2-R4_A2g00467	2263	2332.67
MvSl-1064-A2-R4_A2g00468	113.067	142.065
MvSl-1064-A2-R4_A2g00469	1175.59	1838.76
MvSl-1064-A2-R4_A2g00470	2.25377	3.87225
MvSl-1064-A2-R4_A2g00471	7.81357	14.6078
MvSl-1064-A2-R4_A2g00472	0.58786	0.432458
MvSl-1064-A2-R4_A2g00473	3.09902	2.84235
MvSl-1064-A2-R4_A2g00474	103.85	217.753
MvSl-1064-A2-R4_A2g00475	2.923	0.00982838
MvSl-1064-A2-R4_A2g00476	929.958	1697.04
MvSl-1064-A2-R4_A2g00477	2263	2332.67
MvSl-1064-A2-R4_A2g00478	113.067	142.065
MvSl-1064-A2-R4_A2g00479	1175.59	1838.76
MvSl-1064-A2-R4_A2g00480	2.25377	3.87225
MvSl-1064-A2-R4_A2g00481	7.81357	14.6078
MvSl-1064-A2-R4_A2g00482	0.58786	0.432458
MvSl-1064-A2-R4_A2g00483	926.515	1327.32
MvSl-1064-A2-R4_A2g00484	2.923	0.00982838
MvSl-1064-A2-R4_A2g00485	1770.52	1198.98
MvSl-1064-A2-R4_A2g00486	2263	2332.67
MvSl-1064-A2-R4_A2g00487	113.067	142.065
MvSl-1064-A2-R4_A2g00488	1175.59	1838.76
MvSl-1064-A2-R4_A2g00489	2.25377	3.87225
MvSl-1064-A2-R4_A2g00490	7.81357	14.6078
MvSl-1064-A2-R4_A2g00491	0.58786	0.432458
MvSl-1064-A2-R4_A2g00492	3.09902	2.84235
MvSl-1064-A2-R4_A2g00493	103.85	217.753
MvSl-1064-A2-R4_A2g00494	1010.73	1817.04
MvSl-1064-A2-R4_A2g00495	84.9262	194.971
MvSl-1064-A2-R4_A2g00496	0	0
MvSl-1064-A2-R4_A2g00497	0	0
MvSl-1064-A2-R4_A2g00498	0	0
MvSl-1064-A2-R4_A2g00499	318.896	333.309
MvSl-1064-A2-R4_A2g00500	1.60278	3.06003
MvSl-1064-A2-R4_A2g00501	260.975	367.992
MvSl-1064-A2-R4_A2g00502	203	116
MvSl-1064-A2-R4_A2g00503	118.919	99.6034
MvSl-1064-A2-R4_A2g00504	140.291	79.3204
MvSl-1064-A2-R4_A2g00505	688.664	465.535
MvSl-1064-A2-R4_A2g00506	214.282	241.199
MvSl-1064-A2-R4_A2g00507	0	0
MvSl-1064-A2-R4_A2g00508	974.885	999.234
MvSl-1064-A2-R4_A2g00509	64.492	121.885
