gene	MintM1	MintM2	MintM3	gene2	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C001g00066	0	0	0	MvSl-1064-A1-R4_MC01-1g01815	10	11
MinSal-1389-A1-17072018_C001g00067	4	1	1	MvSl-1064-A1-R4_MC01-1g01816	2985	2247
MinSal-1389-A1-17072018_C001g00071	1870	2667	1242	MvSl-1064-A1-R4_MC01-1g01817	2882	3510
MinSal-1389-A1-17072018_C001g00075	0	0	0	MvSl-1064-A1-R4_MC01-1g01818	1361	1292
MinSal-1389-A1-17072018_C001g00076	429	716	274	MvSl-1064-A1-R4_MC01-1g01819	2559	2291
MinSal-1389-A1-17072018_C001g00077	0	0	0	MvSl-1064-A1-R4_MC01-1g01820	360	642
MinSal-1389-A1-17072018_C001g00078	0	0	1	MvSl-1064-A1-R4_MC01-1g01821	5090	3430
MinSal-1389-A1-17072018_C001g00079	502	632	360	MvSl-1064-A1-R4_MC01-1g01822	1377	2192
MinSal-1389-A1-17072018_C001g00080	0	0	0	MvSl-1064-A1-R4_MC01-1g01823	2169	2690
MinSal-1389-A1-17072018_C001g00081	587	506	448	MvSl-1064-A1-R4_MC01-1g01824	4004	4440
MinSal-1389-A1-17072018_C001g00082	0	0	0	MvSl-1064-A1-R4_MC01-1g01825	3	13
MinSal-1389-A1-17072018_C001g00083	0	1	0	MvSl-1064-A1-R4_MC01-1g01826	48	34
MinSal-1389-A1-17072018_C001g00084	871	933	188	MvSl-1064-A1-R4_MC01-1g01834	367	324
MinSal-1389-A1-17072018_C001g00085	0	0	0	MvSl-1064-A1-R4_MC01-1g01840	2332	2635
MinSal-1389-A1-17072018_C001g00086	584	565	200	MvSl-1064-A1-R4_MC01-1g01841	1538	1058
MinSal-1389-A1-17072018_C001g00088	0	0	0	MvSl-1064-A1-R4_MC01-1g01843	10	5
MinSal-1389-A1-17072018_C001g00091	406	533	270	MvSl-1064-A1-R4_MC01-1g01844	678	457
MinSal-1389-A1-17072018_C001g00092	755	1004	482	MvSl-1064-A1-R4_MC01-1g01845	2538	2444
MinSal-1389-A1-17072018_C001g00093	457	462	326	MvSl-1064-A1-R4_MC01-1g01846	3736	3061
MinSal-1389-A1-17072018_C001g00094	5	17	6	MvSl-1064-A1-R4_MC01-1g01847	18	8
MinSal-1389-A1-17072018_C001g00095	2217	2196	1453	MvSl-1064-A1-R4_MC01-1g01849	4426	3660
MinSal-1389-A1-17072018_C001g00096	207	184	132	MvSl-1064-A1-R4_MC01-1g01850	315	241
MinSal-1389-A1-17072018_C001g00098	485	695	336	MvSl-1064-A1-R4_MC01-1g01851	2239	1648
MinSal-1389-A1-17072018_C001g00099	1428	1703	378	MvSl-1064-A1-R4_MC01-1g01852	1773	1428
MinSal-1389-A1-17072018_C001g00100	72	109	26	MvSl-1064-A1-R4_MC01-1g01853	2334	2204
MinSal-1389-A1-17072018_C001g00101	2	1	0	MvSl-1064-A1-R4_MC01-1g01854	89	95
MinSal-1389-A1-17072018_C001g00102	2220	2457	1642	MvSl-1064-A1-R4_MC01-1g01855	2749	2992
MinSal-1389-A1-17072018_C001g00103	7	3	4	MvSl-1064-A1-R4_MC01-1g01856	3119	3522
MinSal-1389-A1-17072018_C001g00104	12	24	34	MvSl-1064-A1-R4_MC01-1g01857	260	216
MinSal-1389-A1-17072018_C001g00105	491	607	226	MvSl-1064-A1-R4_MC01-1g01858	232	170
MinSal-1389-A1-17072018_C001g00106	1708	1888	1297	MvSl-1064-A1-R4_MC01-1g01859	7851	6361
MinSal-1389-A1-17072018_C001g00107	503	441	306	MvSl-1064-A1-R4_MC01-1g01860	1400	1469
MinSal-1389-A1-17072018_C001g00108	1452	1445	1122	MvSl-1064-A1-R4_MC01-1g01861	9034	7606
MinSal-1389-A1-17072018_C001g00109	4727	5445	2926	MvSl-1064-A1-R4_MC01-1g01862	5409	5477
MinSal-1389-A1-17072018_C001g00110	23	29	21	MvSl-1064-A1-R4_MC01-1g01863	2063	2006
MinSal-1389-A1-17072018_C001g00111	0	0	0	MvSl-1064-A1-R4_MC01-1g01864	827	1014
MinSal-1389-A1-17072018_C001g00112	0	0	0	MvSl-1064-A1-R4_MC01-1g01865	639	885
MinSal-1389-A1-17072018_C001g00113	14	11	6	MvSl-1064-A1-R4_MC01-1g01866	11	15
MinSal-1389-A1-17072018_C001g00114	3	10	6	MvSl-1064-A1-R4_MC01-1g01867	954	1121
MinSal-1389-A1-17072018_C001g00115	0	0	0	MvSl-1064-A1-R4_MC01-1g01868	714	559
MinSal-1389-A1-17072018_C001g00116	365	372	186	MvSl-1064-A1-R4_MC01-1g01869	1476	1245
MinSal-1389-A1-17072018_C001g00117	4322.25	5476.52	2179.7	MvSl-1064-A1-R4_MC01-1g01870	9382.69	9636.7
MinSal-1389-A1-17072018_C001g00118	437	508	368	MvSl-1064-A1-R4_MC01-1g01871	2232	2302
MinSal-1389-A1-17072018_C001g00119	700	733	334	MvSl-1064-A1-R4_MC01-1g01872	1986	2128
MinSal-1389-A1-17072018_C001g00120	1373	1313	759	MvSl-1064-A1-R4_MC01-1g01873	2552	2460
MinSal-1389-A1-17072018_C001g00121	230	295	167	MvSl-1064-A1-R4_MC01-1g01874	2190	2025
MinSal-1389-A1-17072018_C001g00122	66	54	19	MvSl-1064-A1-R4_MC01-1g01875	4765	6147
MinSal-1389-A1-17072018_C001g00123	0	0	0	MvSl-1064-A1-R4_MC01-1g01876	9583	9130
MinSal-1389-A1-17072018_C001g00124	0	0	0	MvSl-1064-A1-R4_MC01-1g01877	484	409
MinSal-1389-A1-17072018_C001g00125	0	0	0	MvSl-1064-A1-R4_MC01-1g01878	1151	1946
MinSal-1389-A1-17072018_C001g00126	0	0	0	MvSl-1064-A1-R4_MC01-1g01879	352	383
MinSal-1389-A1-17072018_C001g00127	0	0	0	MvSl-1064-A1-R4_MC01-1g01880	2513	3297.79
MinSal-1389-A1-17072018_C001g00130	2166	2729	1386	MvSl-1064-A1-R4_MC02g03241	1608	1443
MinSal-1389-A1-17072018_C001g00132	0	0	0	MvSl-1064-A1-R4_MC02g03265	3	4
MinSal-1389-A1-17072018_C001g00133	0	0	0	MvSl-1064-A1-R4_MC02g03266	1012	815
MinSal-1389-A1-17072018_C001g00134	0	1.33104	0	MvSl-1064-A1-R4_MC02g03267	545	487
MinSal-1389-A1-17072018_C001g00137	438	518	296	MvSl-1064-A1-R4_MC01-1g01881	2443	3169
MinSal-1389-A1-17072018_C001g00138	2493	2153	788	MvSl-1064-A1-R4_MC01-1g01882	1001	789
MinSal-1389-A1-17072018_C001g00139	737	908	452	MvSl-1064-A1-R4_MC01-1g01883	312	342
MinSal-1389-A1-17072018_C001g00140	0	0	0	MvSl-1064-A1-R4_MC01-1g01884	523	672
MinSal-1389-A1-17072018_C001g00141	212	187	213	MvSl-1064-A1-R4_MC01-1g01885	784	1500
MinSal-1389-A1-17072018_C001g00142	1418	1382	833	MvSl-1064-A1-R4_MC01-1g01886	2876	2286
MinSal-1389-A1-17072018_C001g00143	2	1	1	MvSl-1064-A1-R4_MC01-1g01887	3309	2188
MinSal-1389-A1-17072018_C001g00144	0	0	0	MvSl-1064-A1-R4_MC01-1g01888	445	785
MinSal-1389-A1-17072018_C001g00145	2642	2704	1725	MvSl-1064-A1-R4_MC01-1g01889	2708	2598
MinSal-1389-A1-17072018_C001g00146	211	211	98	MvSl-1064-A1-R4_MC01-1g01890	2988	2209
MinSal-1389-A1-17072018_C001g00147	0	0	0	MvSl-1064-A1-R4_MC01-1g01891	239	155
MinSal-1389-A1-17072018_C001g00148	646	485	74	MvSl-1064-A1-R4_MC01-1g01892	2314	2189
MinSal-1389-A1-17072018_C001g00149	1	0	0	MvSl-1064-A1-R4_MC01-1g01893	2079	1791
MinSal-1389-A1-17072018_C001g00150	0	0	0	MvSl-1064-A1-R4_MC01-1g01894	11824	13816
MinSal-1389-A1-17072018_C001g00153	509	633	318	MvSl-1064-A1-R4_MC01-1g01896	2019	1562
MinSal-1389-A1-17072018_C001g00154	132	144	53	MvSl-1064-A1-R4_MC01-1g01897	4824	4131
MinSal-1389-A1-17072018_C001g00155	0	0	0	MvSl-1064-A1-R4_MC01-1g01898	584	541
MinSal-1389-A1-17072018_C001g00156	5307	6630	3734	MvSl-1064-A1-R4_MC01-1g01899	8724	8330
MinSal-1389-A1-17072018_C001g00157	245	273	78	MvSl-1064-A1-R4_MC01-1g01900	737	735
MinSal-1389-A1-17072018_C001g00158	951	899	517	MvSl-1064-A1-R4_MC01-1g01901	2522	1441
MinSal-1389-A1-17072018_C001g00159	0	0	0	MvSl-1064-A1-R4_MC01-1g01902	2315	2793
MinSal-1389-A1-17072018_C001g00160	272	390	197	MvSl-1064-A1-R4_MC01-1g01903	19	16
MinSal-1389-A1-17072018_C001g00161	118	168	56	MvSl-1064-A1-R4_MC01-1g01904	2119	2356
MinSal-1389-A1-17072018_C001g00162	1392	1623	1043	MvSl-1064-A1-R4_MC01-1g01905	2640	2750
MinSal-1389-A1-17072018_C001g00163	1587	1517	881	MvSl-1064-A1-R4_MC01-1g01906	3955	3245
MinSal-1389-A1-17072018_C001g00164	984	1148	625	MvSl-1064-A1-R4_MC01-1g01907	2550	1947
MinSal-1389-A1-17072018_C001g00165	296	431	154	MvSl-1064-A1-R4_MC01-1g01912	2527	2550
MinSal-1389-A1-17072018_C001g00167	1437	1719	763	MvSl-1064-A1-R4_MC01-1g01913	5674	5062
MinSal-1389-A1-17072018_C001g00168	0	1	6	MvSl-1064-A1-R4_MC01-1g01914	3	2
MinSal-1389-A1-17072018_C001g00169	168	219	120	MvSl-1064-A1-R4_MC01-1g01915	1583	1193
MinSal-1389-A1-17072018_C001g00170	1877	1944	986	MvSl-1064-A1-R4_MC01-1g01916	1638	1455
MinSal-1389-A1-17072018_C001g00171	723	838	693	MvSl-1064-A1-R4_MC01-1g01918	2811	2235
MinSal-1389-A1-17072018_C001g00173	5972	6203	3390	MvSl-1064-A1-R4_MC01-1g01919	9584	9960
MinSal-1389-A1-17072018_C001g00174	430.273	531.293	107.535	MvSl-1064-A1-R4_MC01-1g01921	2139.32	1949.67
MinSal-1389-A1-17072018_C001g00175	0	0	0	MvSl-1064-A1-R4_A1g00678	429.473	311.452
MinSal-1389-A1-17072018_C001g00178	145	111	96	MvSl-1064-A1-R4_MC01-1g01922	505	692
MinSal-1389-A1-17072018_C001g00179	4008	3839	1792	MvSl-1064-A1-R4_MC01-1g01923	6986	6937
MinSal-1389-A1-17072018_C001g00180	2041	1895	1201	MvSl-1064-A1-R4_MC01-1g01924	2109	2147
MinSal-1389-A1-17072018_C001g00181	715	643	574	MvSl-1064-A1-R4_MC01-1g01925	3575	3639
MinSal-1389-A1-17072018_C001g00182	0	0	0	MvSl-1064-A1-R4_MC01-1g01926	1027	556
MinSal-1389-A1-17072018_C001g00183	196	183	142	MvSl-1064-A1-R4_MC01-1g01927	1094	1090
MinSal-1389-A1-17072018_C001g00184	1104	1389	762	MvSl-1064-A1-R4_MC01-1g01928	5421	4952.39
MinSal-1389-A1-17072018_C001g00185	19	23	18	MvSl-1064-A1-R4_MC01-1g01932	1438	1730
MinSal-1389-A1-17072018_C001g00186	18	23	8	MvSl-1064-A1-R4_MC01-1g01933	3277	3173
MinSal-1389-A1-17072018_C001g00187	439	676	221	MvSl-1064-A1-R4_MC01-1g01934	3166	2408
MinSal-1389-A1-17072018_C001g00188	1666	2082	1148	MvSl-1064-A1-R4_MC01-1g01935	2873	2307
MinSal-1389-A1-17072018_C001g00189	309	378	171	MvSl-1064-A1-R4_MC01-1g01936	2306	2290
MinSal-1389-A1-17072018_C001g00190	415	561	335	MvSl-1064-A1-R4_MC01-1g01938	6883	7847
MinSal-1389-A1-17072018_C001g00191	132	149	67	MvSl-1064-A1-R4_MC01-1g01939	1556	1614
MinSal-1389-A1-17072018_C001g00192	88	141	73	MvSl-1064-A1-R4_MC01-1g01940	1691	1460
MinSal-1389-A1-17072018_C001g00193	622	566	447	MvSl-1064-A1-R4_MC01-1g01941	2348	2247
MinSal-1389-A1-17072018_C001g00194	0	0	0	MvSl-1064-A1-R4_MC01-1g01942	587	565
MinSal-1389-A1-17072018_C001g00195	0	0	0	MvSl-1064-A1-R4_MC01-1g01943	2831	2874
MinSal-1389-A1-17072018_C001g00196	1074	935	755	MvSl-1064-A1-R4_MC01-1g01944	2327	1700
MinSal-1389-A1-17072018_C001g00197	446	571	306	MvSl-1064-A1-R4_MC01-1g01945	5116	4234
MinSal-1389-A1-17072018_C001g00198	505	653	309	MvSl-1064-A1-R4_MC01-1g01946	581	526
MinSal-1389-A1-17072018_C001g00199	1	0	0	MvSl-1064-A1-R4_MC01-1g01947	2278	2160
MinSal-1389-A1-17072018_C001g00200	2043	2347	873	MvSl-1064-A1-R4_MC01-1g01948	3125	2345
MinSal-1389-A1-17072018_C001g00201	279	377	165	MvSl-1064-A1-R4_MC01-1g01949	1559	1329
MinSal-1389-A1-17072018_C001g00207	812	864	275	MvSl-1064-A1-R4_MC01-1g01951	2262	2051
MinSal-1389-A1-17072018_C001g00208	1715	1648	1122	MvSl-1064-A1-R4_MC01-1g01952	3223	3453
MinSal-1389-A1-17072018_C001g00209	0	0	0	MvSl-1064-A1-R4_MC01-1g01953	1677	1507
MinSal-1389-A1-17072018_C001g00210	22	53	12	MvSl-1064-A1-R4_MC01-1g01954	1811	1497
MinSal-1389-A1-17072018_C001g00211	9287	10620	5006	MvSl-1064-A1-R4_MC01-1g01955	13826	11397
MinSal-1389-A1-17072018_C001g00214	80	83	51	MvSl-1064-A1-R4_MC01-1g01958	2404	2303
MinSal-1389-A1-17072018_C001g00215	674	856	325	MvSl-1064-A1-R4_MC01-1g01959	3119	2396
MinSal-1389-A1-17072018_C001g00216	0	0	0	MvSl-1064-A1-R4_MC01-1g01960	1109	668
MinSal-1389-A1-17072018_C001g00217	0	0	0	MvSl-1064-A1-R4_MC01-1g01961	317	332
MinSal-1389-A1-17072018_C001g00218	0	0	0	MvSl-1064-A1-R4_MC01-1g01962	405	940
MinSal-1389-A1-17072018_C001g00219	0	0	0	MvSl-1064-A1-R4_MC01-1g01963	709	898
MinSal-1389-A1-17072018_C001g00220	0	0	0	MvSl-1064-A1-R4_MC01-1g01965	277	261
MinSal-1389-A1-17072018_C001g00221	278	340	195	MvSl-1064-A1-R4_MC01-1g01966	1120	933
MinSal-1389-A1-17072018_C001g00222	1618	1853	957	MvSl-1064-A1-R4_MC01-1g01967	1106	1200
MinSal-1389-A1-17072018_C001g00223	675	725	520	MvSl-1064-A1-R4_MC01-1g01968	2208	2605
MinSal-1389-A1-17072018_C001g00224	7270	8398	1591	MvSl-1064-A1-R4_MC01-1g01969	5215	6153
MinSal-1389-A1-17072018_C001g00226	399	404	267	MvSl-1064-A1-R4_MC01-1g01972	3253	3706
MinSal-1389-A1-17072018_C001g00227	0	0	0	MvSl-1064-A1-R4_MC01-1g01973	2844	2939
MinSal-1389-A1-17072018_C001g00228	656	872	424	MvSl-1064-A1-R4_MC01-1g01974	3586	3137
MinSal-1389-A1-17072018_C001g00229	201	314	152	MvSl-1064-A1-R4_MC01-1g02003	2379	1919
MinSal-1389-A1-17072018_C001g00230	0	0	1	MvSl-1064-A1-R4_MC01-1g02002	4396	3306
MinSal-1389-A1-17072018_C001g00231	292	297	146	MvSl-1064-A1-R4_MC01-1g02001	1291	1208
MinSal-1389-A1-17072018_C001g00232	98	153	118	MvSl-1064-A1-R4_MC01-1g02000	2240	3066
MinSal-1389-A1-17072018_C001g00234	35	39	44	MvSl-1064-A1-R4_MC01-1g02030	1157	1184
MinSal-1389-A1-17072018_C001g00235	290	356	180	MvSl-1064-A1-R4_MC01-1g02029	5135	4425
MinSal-1389-A1-17072018_C001g00236	714	905	565	MvSl-1064-A1-R4_MC01-1g01984	3122	3948
MinSal-1389-A1-17072018_C001g00237	54	74	69	MvSl-1064-A1-R4_MC01-1g01985	1463	1695
MinSal-1389-A1-17072018_C001g00240	7628	6826	7361	MvSl-1064-A1-R4_MC01-1g01987	14150	22513
MinSal-1389-A1-17072018_C001g00241	2934	3151	2610	MvSl-1064-A1-R4_MC01-1g01988	10957	10501
MinSal-1389-A1-17072018_C001g00242	144	166	124	MvSl-1064-A1-R4_MC01-1g01989	304	256
MinSal-1389-A1-17072018_C001g00243	33	41	17	MvSl-1064-A1-R4_MC01-1g01990	1484	1207
MinSal-1389-A1-17072018_C001g00244	93	86	46	MvSl-1064-A1-R4_MC01-1g01995	594	543
MinSal-1389-A1-17072018_C001g00246	1	2	5	MvSl-1064-A1-R4_MC01-1g01998	8894	15547
MinSal-1389-A1-17072018_C001g00247	263	311	177	MvSl-1064-A1-R4_MC01-1g02031	4743	5835
MinSal-1389-A1-17072018_C001g00248	1388	1922	1073	MvSl-1064-A1-R4_MC01-1g02032	3550	3570
MinSal-1389-A1-17072018_C001g00249	0	0	0	MvSl-1064-A1-R4_MC01-1g02033	1193	1534
MinSal-1389-A1-17072018_C001g00250	707	595	683	MvSl-1064-A1-R4_MC01-1g02034	3450	7915
MinSal-1389-A1-17072018_C001g00251	0	0	0	MvSl-1064-A1-R4_MC03g04805	146	246
MinSal-1389-A1-17072018_C001g00253	0	1	0	MvSl-1064-A1-R4_MC01-1g02035	2524	5486
MinSal-1389-A1-17072018_C001g00254	0	0	0	MvSl-1064-A1-R4_MC01-1g02036	607	751
MinSal-1389-A1-17072018_C001g00255	2	1	0	MvSl-1064-A1-R4_MC01-1g02037	12593	12421
MinSal-1389-A1-17072018_C001g00258	0	0	0	MvSl-1064-A1-R4_MC02g03746	1587	1750
MinSal-1389-A1-17072018_C001g00259	6040	6722	4110	MvSl-1064-A1-R4_MC02g03745	5711	5614
MinSal-1389-A1-17072018_C001g00265	2812	3031	1691	MvSl-1064-A1-R4_MC01-1g02039	4161	4142
MinSal-1389-A1-17072018_C001g00266	0	0	0	MvSl-1064-A1-R4_MC01-1g02040	740	780
MinSal-1389-A1-17072018_C001g00268	307	266	133	MvSl-1064-A1-R4_MC01-1g02045	2522	3111
MinSal-1389-A1-17072018_C001g00269	1313	1638	929	MvSl-1064-A1-R4_MC01-1g02044	1280	1344
MinSal-1389-A1-17072018_C001g00270	47	57	39	MvSl-1064-A1-R4_MC01-1g02043	1106	1008
MinSal-1389-A1-17072018_C001g00271	1216.29	1306	641.529	MvSl-1064-A1-R4_MC01-1g02021	2912	2233
MinSal-1389-A1-17072018_C001g00272	625	860	329	MvSl-1064-A1-R4_MC01-1g02020	4668	3457
MinSal-1389-A1-17072018_C001g00274	405	325	276	MvSl-1064-A1-R4_MC01-1g02018	829	756
MinSal-1389-A1-17072018_C001g00275	976	1216	686	MvSl-1064-A1-R4_MC01-1g02017	2984	2662
MinSal-1389-A1-17072018_C001g00276	0	0	0	MvSl-1064-A1-R4_MC01-1g02016	574	351
MinSal-1389-A1-17072018_C001g00277	388	363	250	MvSl-1064-A1-R4_MC01-1g02015	2119	1487
MinSal-1389-A1-17072018_C001g00279	309	388	104	MvSl-1064-A1-R4_MC01-1g02011	28983	21273
MinSal-1389-A1-17072018_C001g00280	166	195	83	MvSl-1064-A1-R4_MC01-1g02049	2194.99	1798.57
MinSal-1389-A1-17072018_C001g00281	0	0	0	MvSl-1064-A1-R4_MC01-1g02050	230	234
MinSal-1389-A1-17072018_C001g00282	191	331	179	MvSl-1064-A1-R4_MC01-1g02051	6043	6385
MinSal-1389-A1-17072018_C001g00283	19432	12591	14271	MvSl-1064-A1-R4_MC01-1g02052	10271	10827
MinSal-1389-A1-17072018_C001g00284	0	0	0	MvSl-1064-A1-R4_MC01-1g02053	517	426
MinSal-1389-A1-17072018_C001g00285	232	191	156	MvSl-1064-A1-R4_MC01-1g02054	2683	3240
MinSal-1389-A1-17072018_C001g00286	0	0	0	MvSl-1064-A1-R4_MC01-1g02055	119	136
MinSal-1389-A1-17072018_C001g00287	0	0	0	MvSl-1064-A1-R4_MC01-1g02056	249	258
MinSal-1389-A1-17072018_C001g00288	0	0	0	MvSl-1064-A1-R4_MC01-1g02057	1198	1488
MinSal-1389-A1-17072018_C001g00289	2261	2592	1180	MvSl-1064-A1-R4_MC01-1g02058	4480	4050
MinSal-1389-A1-17072018_C001g00290	1610	1937	800	MvSl-1064-A1-R4_MC01-1g02062	2907	2041
MinSal-1389-A1-17072018_C001g00291	1147	1463	552	MvSl-1064-A1-R4_MC01-1g02067	817	852
MinSal-1389-A1-17072018_C001g00292	4051	4614	1019	MvSl-1064-A1-R4_MC01-1g02068	3174	2499
MinSal-1389-A1-17072018_C001g00293	1047	1135	613	MvSl-1064-A1-R4_MC01-1g02071	1084	855
MinSal-1389-A1-17072018_C001g00294	2726	3674	1790	MvSl-1064-A1-R4_MC01-1g02072	3298	1870
MinSal-1389-A1-17072018_C001g00295	1004	993	784	MvSl-1064-A1-R4_MC01-1g02073	2067	2580
MinSal-1389-A1-17072018_C001g00297	151	152	88	MvSl-1064-A1-R4_MC01-1g02075	551	531
MinSal-1389-A1-17072018_C001g00298	0	0	0	MvSl-1064-A1-R4_MC01-1g02076	508	435
MinSal-1389-A1-17072018_C001g00299	0	0	0	MvSl-1064-A1-R4_MC01-1g02077	482	451
MinSal-1389-A1-17072018_C001g00301	3838	4339	1458	MvSl-1064-A1-R4_MC01-1g02080	3725	3115
MinSal-1389-A1-17072018_C001g00302	474	570	254	MvSl-1064-A1-R4_MC01-1g02081	1701	1477
MinSal-1389-A1-17072018_C001g00304	34	25	25	MvSl-1064-A1-R4_MC01-1g02085	1260	1072
MinSal-1389-A1-17072018_C001g00305	702	889	400	MvSl-1064-A1-R4_MC01-1g02086	5501	4459
MinSal-1389-A1-17072018_C001g00307	609	725	390	MvSl-1064-A1-R4_MC01-1g02088	1080	750
MinSal-1389-A1-17072018_C001g00308	1339	1508	773	MvSl-1064-A1-R4_MC01-1g02089	713	599
MinSal-1389-A1-17072018_C001g00309	2636	2860	1816	MvSl-1064-A1-R4_MC01-1g02090	148	139
MinSal-1389-A1-17072018_C001g00310	242	248	157	MvSl-1064-A1-R4_MC01-1g02091	613	924
MinSal-1389-A1-17072018_C001g00312	0	0	0	MvSl-1064-A1-R4_MC01-1g02092	1675	1668
