gene	A1	A2			start	end		intron_nr	mean	sum		ave_count											
MvSl-1064-A1-R4_A1g00183	209.458	251.955	MvSl-1064-A1-R4_A1	aMAT	404317	404398	NA	4	79.5	318	hemi	230.707											
MvSl-1064-A1-R4_A1g00187	173.766	153.447	MvSl-1064-A1-R4_A1	aMAT	414254	414313	NA	4	69.25	277	hemi	163.606											
MvSl-1064-A1-R4_A1g00190	328	438	MvSl-1064-A1-R4_A1	aMAT	423368	423445	NA	1	76	76	hemi	383											
MvSl-1064-A1-R4_A1g00191	1527.78	1665.56	MvSl-1064-A1-R4_A1	aMAT	423987	424109	NA	11	96.1818	1058	hemi	1596.67											
MvSl-1064-A1-R4_A1g00195	97.4777	56.3034	MvSl-1064-A1-R4_A1	aMAT	433323	433562	NA	2	282	564	hemi	76.8906											
MvSl-1064-A1-R4_A1g00201	1135.35	1930.21	MvSl-1064-A1-R4_A1	aMAT	447184	447114	NA	3	178.667	536	hemi	1532.78											
MvSl-1064-A1-R4_A1g00213	28.749	25.3354	MvSl-1064-A1-R4_A1	aMAT	482851	482808	NA	3	149.667	449	hemi	27.0422											
MvSl-1064-A1-R4_A1g00216	35.6129	28.9671	MvSl-1064-A1-R4_A1	aMAT	488315	488212	NA	1	102	102	hemi	32.29											
MvSl-1064-A1-R4_A1g00219	609.726	519.024	MvSl-1064-A1-R4_A1	aMAT	498733	498602	NA	2	116.5	233	hemi	564.375											
MvSl-1064-A1-R4_A1g00223	32.8416	52.9749	MvSl-1064-A1-R4_A1	aMAT	512555	512610	NA	3	57	171	hemi	42.9082											
MvSl-1064-A1-R4_A1g00224	23.8754	6.41136	MvSl-1064-A1-R4_A1	aMAT	514108	513967	NA	1	140	140	hemi	15.1434											
MvSl-1064-A1-R4_A1g00227	257.537	163.625	MvSl-1064-A1-R4_A1	aMAT	517948	517902	NA	2	170.5	341	hemi	210.581											
MvSl-1064-A1-R4_A1g00234	93.6196	140.81	MvSl-1064-A1-R4_A1	aMAT	529855	529732	NA	2	209	418	hemi	117.215											
MvSl-1064-A1-R4_A1g00236	13301.3	14866	MvSl-1064-A1-R4_A1	aMAT	536254	536161	NA	5	129.8	649	hemi	14083.6											
MvSl-1064-A1-R4_A1g00239	672.591	1304.07	MvSl-1064-A1-R4_A1	aMAT	540589	540630	NA	5	116	580	hemi	988.331											
MvSl-1064-A1-R4_A1g00244	214	174	MvSl-1064-A1-R4_A1	aMAT	549269	549344	NA	4	91	364	hemi	194											
MvSl-1064-A1-R4_A1g00250	150.312	113.397	MvSl-1064-A1-R4_A1	aMAT	570772	570813	NA	3	75.3333	226	hemi	131.855											
MvSl-1064-A1-R4_A1g00255	182	127.3	MvSl-1064-A1-R4_A1	aMAT	585363	585469	NA	1	105	105	hemi	154.65											
MvSl-1064-A1-R4_A1g00257	1259.87	1375.21	MvSl-1064-A1-R4_A1	aMAT	588496	588362	NA	2	180.5	361	hemi	1317.54											
MvSl-1064-A1-R4_A1g00266	814.449	892.439	MvSl-1064-A1-R4_A1	aMAT	614234	614192	NA	2	64.5	129	hemi	853.444											
MvSl-1064-A1-R4_A1g00282	29.2357	23.281	MvSl-1064-A1-R4_A1	aMAT	651826	651746	NA	1	79	79	hemi	26.2584											
MvSl-1064-A1-R4_A1g00293	400.366	424.723	MvSl-1064-A1-R4_A1	aMAT	682163	682232	NA	2	79	158	hemi	412.544											
MvSl-1064-A1-R4_A1g00294	634.094	451.384	MvSl-1064-A1-R4_A1	aMAT	684660	684566	NA	3	68.3333	205	hemi	542.739											
MvSl-1064-A1-R4_A1g00296	213.888	227.481	MvSl-1064-A1-R4_A1	aMAT	687409	687343	NA	3	120	360	hemi	220.685											
MvSl-1064-A1-R4_A1g00298	227.595	194.23	MvSl-1064-A1-R4_A1	aMAT	689778	689871	NA	2	84.5	169	hemi	210.912											
MvSl-1064-A1-R4_A1g00299	81.0914	83.2397	MvSl-1064-A1-R4_A1	aMAT	690292	690379	NA	2	90.5	181	hemi	82.1655											
MvSl-1064-A1-R4_A1g00301	24.8306	25.465	MvSl-1064-A1-R4_A1	aMAT	696346	696206	NA	1	139	139	hemi	25.1478											
MvSl-1064-A1-R4_A1g00314	44.5148	48.4155	MvSl-1064-A1-R4_A1	aMAT	722785	722899	NA	4	100.5	402	hemi	46.4652											
MvSl-1064-A1-R4_A1g00317	247.647	192.255	MvSl-1064-A1-R4_A1	aMAT	725893	725958	NA	1	64	64	hemi	219.951											
MvSl-1064-A1-R4_A1g00328	115	182	MvSl-1064-A1-R4_A1	aMAT	743039	742956	NA	1	82	82	hemi	148.5											
MvSl-1064-A1-R4_A1g00330	296.023	299.726	MvSl-1064-A1-R4_A1	aMAT	746047	745969	NA	2	99	198	hemi	297.875											
MvSl-1064-A1-R4_A1g00332	13	15	MvSl-1064-A1-R4_A1	aMAT	751456	751403	NA	4	65	260	hemi	14											
MvSl-1064-A1-R4_A1g00336	17	8	MvSl-1064-A1-R4_A1	aMAT	761948	762012	NA	1	63	63	hemi	12.5											
MvSl-1064-A1-R4_A1g00338	20	18	MvSl-1064-A1-R4_A1	aMAT	764073	764133	NA	1	59	59	hemi	19											
MvSl-1064-A1-R4_A1g00340	2410.91	4041.22	MvSl-1064-A1-R4_A1	aMAT	766893	766805	NA	3	81	243	hemi	3226.06											
MvSl-1064-A1-R4_A1g00342	1108	1368.86	MvSl-1064-A1-R4_A1	aMAT	767938	767991	NA	1	52	52	hemi	1238.43											
MvSl-1064-A1-R4_A1g00345	28	16.4049	MvSl-1064-A1-R4_A1	aMAT	771315	771405	NA	1	89	89	hemi	22.2024											
MvSl-1064-A1-R4_A1g00346	850.301	1091.24	MvSl-1064-A1-R4_A1	aMAT	772256	772307	NA	2	94.5	189	hemi	970.771											
MvSl-1064-A1-R4_A1g00353	1940.05	2831.69	MvSl-1064-A1-R4_A1	aMAT	799827	799757	NA	12	98.4167	1181	hemi	2385.87											
MvSl-1064-A1-R4_A1g00355	9439.36	18802.6	MvSl-1064-A1-R4_A1	aMAT	801344	801277	NA	4	137.25	549	hemi	14121											
MvSl-1064-A1-R4_A1g00362	33.869	37.4396	MvSl-1064-A1-R4_A1	aMAT	827126	827289	NA	1	162	162	hemi	35.6543											
MvSl-1064-A1-R4_A1g00388	89.6063	85.129	MvSl-1064-A1-R4_A1	aMAT	877349	877420	NA	1	70	70	hemi	87.3676											
MvSl-1064-A1-R4_A1g00410	656.562	794.334	MvSl-1064-A1-R4_A1	aMAT	934628	935425	NA	2	429	858	hemi	725.448											
MvSl-1064-A1-R4_A1g00413	3802.36	6796.35	MvSl-1064-A1-R4_A1	aMAT	939128	939202	NA	3	117.333	352	hemi	5299.36											
MvSl-1064-A1-R4_A1g00416	217.449	208.543	MvSl-1064-A1-R4_A1	aMAT	944267	944335	NA	1	67	67	hemi	212.996											
MvSl-1064-A1-R4_A1g00429	467.191	489.535	MvSl-1064-A1-R4_A1	aMAT	974360	974417	NA	2	80	160	hemi	478.363											
MvSl-1064-A1-R4_A1g00431	81.6072	106.18	MvSl-1064-A1-R4_A1	aMAT	982619	982452	NA	4	110.5	442	hemi	93.8936											
MvSl-1064-A1-R4_A1g00435	391.634	406.277	MvSl-1064-A1-R4_A1	aMAT	990671	990548	NA	2	215	430	hemi	398.956											
MvSl-1064-A1-R4_A1g00443	284.901	296.115	MvSl-1064-A1-R4_A1	aMAT	1002942	1002629	NA	1	312	312	hemi	290.508											
MvSl-1064-A1-R4_A1g00450	15.447	22.1523	MvSl-1064-A1-R4_A1	aMAT	1013995	1014128	NA	1	132	132	hemi	18.7996											
MvSl-1064-A1-R4_A1g00451	5.7678	6.22665	MvSl-1064-A1-R4_A1	aMAT	1014462	1014409	NA	1	52	52	hemi	5.99723											
MvSl-1064-A1-R4_A1g00452	529.137	684.088	MvSl-1064-A1-R4_A1	aMAT	1016182	1015690	NA	1	491	491	hemi	606.612											
MvSl-1064-A1-R4_A1g00454	118.603	93.8924	MvSl-1064-A1-R4_A1	aMAT	1018608	1018756	NA	2	143	286	hemi	106.248											
MvSl-1064-A1-R4_A1g00460	87.7431	72.5893	MvSl-1064-A1-R4_A1	aMAT	1028797	1028979	NA	1	181	181	hemi	80.1662											
MvSl-1064-A1-R4_A1g00461	100.552	144.165	MvSl-1064-A1-R4_A1	aMAT	1029422	1029504	NA	1	81	81	hemi	122.358											
MvSl-1064-A1-R4_A1g00480	36.319	37.9459	MvSl-1064-A1-R4_A1	aMAT	1059898	1060107	NA	2	130.5	261	hemi	37.1325											
MvSl-1064-A1-R4_A1g00484	9	5	MvSl-1064-A1-R4_A1	aMAT	1068035	1068132	NA	4	89.75	359	hemi	7											
MvSl-1064-A1-R4_A1g00489	2116.48	2405.19	MvSl-1064-A1-R4_A1	aMAT	1075675	1075634	NA	5	93	465	hemi	2260.84											
MvSl-1064-A1-R4_A1g00493	23.6165	43	MvSl-1064-A1-R4_A1	aMAT	1096447	1096499	NA	3	67.6667	203	hemi	33.3083											
MvSl-1064-A1-R4_A1g00526	1091	1098	MvSl-1064-A1-R4_A1	aMAT	1169617	1169527	NA	8	84.875	679	hemi	1094.5											
MvSl-1064-A1-R4_A1g00531	16	10	MvSl-1064-A1-R4_A1	aMAT	1182107	1182189	NA	3	77.3333	232	hemi	13											
MvSl-1064-A1-R4_A1g00536	122.178	121.824	MvSl-1064-A1-R4_A1	aMAT	1190917	1190993	NA	2	115.5	231	hemi	122.001											
MvSl-1064-A1-R4_A1g00539	72.1123	58.189	MvSl-1064-A1-R4_A1	aMAT	1193985	1194031	NA	1	45	45	hemi	65.1506											
MvSl-1064-A1-R4_A1g00545	92	69	MvSl-1064-A1-R4_A1	aMAT	1216443	1216305	NA	3	111	333	hemi	80.5											
MvSl-1064-A1-R4_A1g00548	132.184	87.2017	MvSl-1064-A1-R4_A1	aMAT	1218942	1219069	NA	8	89.625	717	hemi	109.693											
MvSl-1064-A1-R4_A1g00550	281	290	MvSl-1064-A1-R4_A1	aMAT	1224066	1224007	NA	1	58	58	hemi	285.5											
MvSl-1064-A1-R4_A1g00551	1245.24	1225.45	MvSl-1064-A1-R4_A1	aMAT	1224717	1224942	NA	3	155	465	hemi	1235.35											
MvSl-1064-A1-R4_A1g00552	70.3145	87.7036	MvSl-1064-A1-R4_A1	aMAT	1228503	1228390	NA	5	73.2	366	hemi	79.0091											
MvSl-1064-A1-R4_A1g00555	20.9423	21.2808	MvSl-1064-A1-R4_A1	aMAT	1234371	1234448	NA	1	76	76	hemi	21.1116											
MvSl-1064-A1-R4_A1g00557	174.9	76.4573	MvSl-1064-A1-R4_A1	aMAT	1237712	1237384	NA	1	327	327	hemi	125.679											
MvSl-1064-A1-R4_A1g00560	164.917	155	MvSl-1064-A1-R4_A1	aMAT	1245897	1245805	NA	3	72.3333	217	hemi	159.959											
MvSl-1064-A1-R4_A1g00565	15.6962	8.97974	MvSl-1064-A1-R4_A1	aMAT	1254330	1254287	NA	4	51.5	206	hemi	12.338											
MvSl-1064-A1-R4_A1g00567	706.645	721.161	MvSl-1064-A1-R4_A1	aMAT	1256450	1256328	NA	2	85	170	hemi	713.903											
MvSl-1064-A1-R4_A1g00578	69.1177	108.927	MvSl-1064-A1-R4_A1	aMAT	1280557	1280486	NA	1	70	70	hemi	89.0224											
MvSl-1064-A1-R4_A1g00582	2196.4	3563.61	MvSl-1064-A1-R4_A1	aMAT	1285358	1285428	NA	4	161.5	646	hemi	2880.01											
MvSl-1064-A1-R4_A1g00595	325.018	302.897	MvSl-1064-A1-R4_A1	aMAT	1308464	1308404	NA	6	90.1667	541	hemi	313.957											
MvSl-1064-A1-R4_A1g00596	6.73545	7.59875	MvSl-1064-A1-R4_A1	aMAT	1309009	1309100	NA	1	90	90	hemi	7.1671											
MvSl-1064-A1-R4_A1g00607	37.066	47.4779	MvSl-1064-A1-R4_A1	aMAT	1330437	1330335	NA	3	182.667	548	hemi	42.272											
MvSl-1064-A1-R4_A1g00619	5.31879	7.56251	MvSl-1064-A1-R4_A1	aMAT	1351685	1351887	NA	3	100.667	302	hemi	6.44065											
MvSl-1064-A1-R4_A1g00620	392	491	MvSl-1064-A1-R4_A1	aMAT	1354171	1354003	NA	3	144	432	hemi	441.5											
MvSl-1064-A1-R4_A1g00621	134.196	215	MvSl-1064-A1-R4_A1	aMAT	1354671	1354569	NA	1	101	101	hemi	174.598											
MvSl-1064-A1-R4_A1g00622	2253.16	2074.22	MvSl-1064-A1-R4_A1	aMAT	1356229	1356185	NA	3	89.6667	269	hemi	2163.69											
MvSl-1064-A1-R4_A1g00628	170.831	239.041	MvSl-1064-A1-R4_A1	aMAT	1369700	1369774	NA	2	58	116	hemi	204.936											
MvSl-1064-A1-R4_A1g00630	784	719	MvSl-1064-A1-R4_A1	aMAT	1372698	1372594	NA	4	82	328	hemi	751.5											
MvSl-1064-A1-R4_A1g00631	528	482	MvSl-1064-A1-R4_A1	aMAT	1373821	1373722	NA	1	98	98	hemi	505											
MvSl-1064-A1-R4_A1g00632	163	180	MvSl-1064-A1-R4_A1	aMAT	1374592	1374735	NA	1	142	142	hemi	171.5											
MvSl-1064-A1-R4_A1g00633	1184	1142	MvSl-1064-A1-R4_A1	aMAT	1375152	1375227	NA	3	70.3333	211	hemi	1163											
MvSl-1064-A1-R4_A1g00636	1192.85	2268.35	MvSl-1064-A1-R4_A1	aMAT	1381880	1381792	NA	4	85.75	343	hemi	1730.6											
MvSl-1064-A1-R4_A1g00638	19.1645	24.1063	MvSl-1064-A1-R4_A1	aMAT	1384066	1384002	NA	1	63	63	hemi	21.6354											
MvSl-1064-A1-R4_A1g00640	838	1125	MvSl-1064-A1-R4_A1	aMAT	1385694	1385741	NA	1	46	46	hemi	981.5											
MvSl-1064-A1-R4_A1g00659	85	67	MvSl-1064-A1-R4_A1	aMAT	1419744	1419816	NA	4	67.25	269	hemi	76											
MvSl-1064-A1-R4_A1g00666	7.38067	6.09089	MvSl-1064-A1-R4_A1	aMAT	1433899	1433849	NA	1	49	49	hemi	6.73578											
MvSl-1064-A1-R4_A1g00673	92.2599	97.0549	MvSl-1064-A1-R4_A1	aMAT	1453808	1453897	NA	1	88	88	hemi	94.6574											
MvSl-1064-A1-R4_A1g00676	2005.39	3293.89	MvSl-1064-A1-R4_A1	aMAT	1456327	1456397	NA	5	189	945	hemi	2649.64											
MvSl-1064-A1-R4_A1g00685	83.9595	57.183	MvSl-1064-A1-R4_A1	aMAT	1470000	1469948	NA	2	104	208	hemi	70.5713											
MvSl-1064-A1-R4_A1g00686	43.7185	37.5122	MvSl-1064-A1-R4_A1	aMAT	1472479	1472689	NA	1	209	209	hemi	40.6153											
MvSl-1064-A1-R4_A1g00688	32.5056	34.7545	MvSl-1064-A1-R4_A1	aMAT	1476128	1476197	NA	1	68	68	hemi	33.63											
MvSl-1064-A1-R4_A1g00690	1558.2	1615.34	MvSl-1064-A1-R4_A1	aMAT	1479798	1479714	NA	2	99.5	199	hemi	1586.77											
MvSl-1064-A1-R4_A1g00697	940.429	1108.8	MvSl-1064-A1-R4_A1	aMAT	1494687	1494795	NA	4	110.75	443	hemi	1024.61											
MvSl-1064-A1-R4_A1g00698	568.905	660.267	MvSl-1064-A1-R4_A1	aMAT	1496322	1496269	NA	3	85.6667	257	hemi	614.586											
MvSl-1064-A1-R4_A1g00705	442.751	558.706	MvSl-1064-A1-R4_A1	aMAT	1506052	1506230	NA	5	108.4	542	hemi	500.728											
MvSl-1064-A1-R4_A1g00707	2305.07	2846	MvSl-1064-A1-R4_A1	aMAT	1509627	1509703	NA	5	65.8	329	hemi	2575.53											
MvSl-1064-A1-R4_A1g00716	93.1825	87.5435	MvSl-1064-A1-R4_A1	aMAT	1524280	1524389	NA	2	86	172	hemi	90.363											
MvSl-1064-A1-R4_A1g00720	888.818	879.569	MvSl-1064-A1-R4_A1	aMAT	1533089	1533139	NA	3	77.3333	232	hemi	884.193											
MvSl-1064-A1-R4_A1g00724	67.7901	79.218	MvSl-1064-A1-R4_A1	aMAT	1537704	1537770	NA	4	68.75	275	hemi	73.5041											
MvSl-1064-A1-R4_A1g00736	114.211	85.4713	MvSl-1064-A1-R4_A1	aMAT	1557162	1557073	NA	4	70.5	282	hemi	99.8411											
MvSl-1064-A1-R4_A1g00748	816	804	MvSl-1064-A1-R4_A1	aMAT	1577576	1577644	NA	1	67	67	hemi	810											
MvSl-1064-A1-R4_A1g00754	3521.47	3051.29	MvSl-1064-A1-R4_A1	aMAT	1603550	1603641	NA	7	104.429	731	hemi	3286.38											
MvSl-1064-A1-R4_A1g00758	635.457	650.442	MvSl-1064-A1-R4_A1	aMAT	1609990	1609914	NA	2	136.5	273	hemi	642.949											
MvSl-1064-A1-R4_A1g00759	709.126	674.833	MvSl-1064-A1-R4_A1	aMAT	1610363	1610418	NA	6	67	402	hemi	691.979											
MvSl-1064-A1-R4_A1g00765	44	23	MvSl-1064-A1-R4_A1	aMAT	1620275	1620194	NA	2	68	136	hemi	33.5											
MvSl-1064-A1-R4_A1g00771	19.1887	15.0879	MvSl-1064-A1-R4_A1	aMAT	1635784	1635826	NA	3	49.6667	149	hemi	17.1383											
MvSl-1064-A1-R4_A1g00780	116.436	108.117	MvSl-1064-A1-R4_A1	aMAT	1654758	1654824	NA	5	59	295	hemi	112.276											
MvSl-1064-A1-R4_A1g00787	31.1807	41.2464	MvSl-1064-A1-R4_A1	aMAT	1675847	1675913	NA	3	90.6667	272	hemi	36.2135											
MvSl-1064-A1-R4_A1g00810	153.527	174.531	MvSl-1064-A1-R4_A1	aMAT	1730853	1730780	NA	1	72	72	hemi	164.029											
MvSl-1064-A1-R4_A1g00811	67	63	MvSl-1064-A1-R4_A1	aMAT	1731762	1731833	NA	1	70	70	hemi	65											
MvSl-1064-A1-R4_A1g00814	58.5855	75.3829	MvSl-1064-A1-R4_A1	aMAT	1735586	1735545	NA	2	75.5	151	hemi	66.9842											
MvSl-1064-A1-R4_A1g00815	68.614	63.5991	MvSl-1064-A1-R4_A1	aMAT	1735901	1736068	NA	1	166	166	hemi	66.1065											
MvSl-1064-A1-R4_A1g00816	87.2091	126.456	MvSl-1064-A1-R4_A1	aMAT	1736813	1736721	NA	1	91	91	hemi	106.833											
MvSl-1064-A1-R4_A1g00824	1620.44	2525.87	MvSl-1064-A1-R4_A1	aMAT	1751470	1751537	NA	6	127.5	765	hemi	2073.15											
MvSl-1064-A1-R4_A1g00827	44.3062	223	MvSl-1064-A1-R4_A1	aMAT	1756119	1756078	NA	2	153	306	hemi	133.653											
MvSl-1064-A1-R4_A1g00833	151.149	150.263	MvSl-1064-A1-R4_A1	aMAT	1764878	1764961	NA	1	82	82	hemi	150.706											
MvSl-1064-A1-R4_A1g00839	5176	5230	MvSl-1064-A1-R4_A1	aMAT	1780490	1780602	NA	12	88.1667	1058	hemi	5203											
MvSl-1064-A1-R4_A1g00841	127	80	MvSl-1064-A1-R4_A1	aMAT	1789386	1789306	NA	2	73	146	hemi	103.5											
MvSl-1064-A1-R4_A1g00851	33.1731	33.1943	MvSl-1064-A1-R4_A1	aMAT	1832369	1832229	NA	3	76.6667	230	hemi	33.1837											
MvSl-1064-A1-R4_A1g00852	94.0888	66.5531	MvSl-1064-A1-R4_A1	aMAT	1832736	1832793	NA	1	56	56	hemi	80.321											
MvSl-1064-A1-R4_A1g00857	91.6275	124.28	MvSl-1064-A1-R4_A1	aMAT	1846348	1846275	NA	3	64	192	hemi	107.954											
MvSl-1064-A1-R4_A1g00859	111.104	111.186	MvSl-1064-A1-R4_A1	aMAT	1851549	1851485	NA	5	78	390	hemi	111.145											
MvSl-1064-A1-R4_A1g00861	46.4827	36	MvSl-1064-A1-R4_A1	aMAT	1854743	1854672	NA	1	70	70	hemi	41.2413											
MvSl-1064-A1-R4_A1g00863	275.989	194.694	MvSl-1064-A1-R4_A1	aMAT	1859885	1860161	NA	2	186.5	373	hemi	235.341											
MvSl-1064-A1-R4_A1g00865	194.326	151.013	MvSl-1064-A1-R4_A1	aMAT	1862687	1862628	NA	5	78.2	391	hemi	172.669											
MvSl-1064-A1-R4_A1g00872	5.57023	6.13629	MvSl-1064-A1-R4_A1	aMAT	1877230	1877315	NA	1	84	84	hemi	5.85326											
MvSl-1064-A1-R4_A1g00877	237.314	195.158	MvSl-1064-A1-R4_A1	aMAT	1886132	1886086	NA	2	61.5	123	hemi	216.236											
MvSl-1064-A1-R4_A1g00882	1081.33	987.524	MvSl-1064-A1-R4_A1	aMAT	1896152	1896233	NA	7	75.5714	529	hemi	1034.43											
MvSl-1064-A1-R4_A1g00884	2523.8	3275.18	MvSl-1064-A1-R4_A1	aMAT	1905550	1905446	NA	6	93	558	hemi	2899.49											
MvSl-1064-A1-R4_A1g00889	124.955	131.991	MvSl-1064-A1-R4_A1	aMAT	1917551	1917387	NA	2	150	300	hemi	128.473											
MvSl-1064-A1-R4_A1g00891	375.149	279.964	MvSl-1064-A1-R4_A1	aMAT	1923175	1922933	NA	2	259	518	hemi	327.557											
MvSl-1064-A1-R4_A1g00909	141.958	176.702	MvSl-1064-A1-R4_A1	aMAT	1962969	1963015	NA	1	45	45	hemi	159.33											
MvSl-1064-A1-R4_A1g00914	10092.6	17567.9	MvSl-1064-A1-R4_A1	aMAT	1977812	1977742	NA	7	126.286	884	hemi	13830.2											
MvSl-1064-A1-R4_A1g00919	33.8509	71.6463	MvSl-1064-A1-R4_A1	aMAT	1983760	1983616	NA	1	143	143	hemi	52.7486											
MvSl-1064-A1-R4_A1g00925	118.698	104.185	MvSl-1064-A1-R4_A1	aMAT	1999148	1999232	NA	2	62.5	125	hemi	111.441											
MvSl-1064-A1-R4_A1g00931	155	120	MvSl-1064-A1-R4_A1	aMAT	2009919	2009963	NA	1	43	43	hemi	137.5											
MvSl-1064-A1-R4_A1g00932	5	5.00298	MvSl-1064-A1-R4_A1	aMAT	2010938	2010983	NA	1	44	44	hemi	5.00149											
MvSl-1064-A1-R4_A1g00939	8	5	MvSl-1064-A1-R4_A1	aMAT	2019964	2019748	NA	1	215	215	hemi	6.5											
MvSl-1064-A1-R4_A1g00945	25	23.0835	MvSl-1064-A1-R4_A1	aMAT	2035176	2035224	NA	2	47.5	95	hemi	24.0418											
MvSl-1064-A1-R4_A1g00947	62.2874	68.4135	MvSl-1064-A1-R4_A1	aMAT	2037322	2037466	NA	6	104.5	627	hemi	65.3504											
MvSl-1064-A1-R4_A1g00951	254.044	236.618	MvSl-1064-A1-R4_A1	aMAT	2044759	2045363	NA	2	352	704	hemi	245.331											
MvSl-1064-A1-R4_A1g00967	536.708	521.397	MvSl-1064-A1-R4_A1	aMAT	2079169	2078996	NA	2	144	288	hemi	529.053											
MvSl-1064-A1-R4_A1g00976	143.575	81.84	MvSl-1064-A1-R4_A1	aMAT	2097093	2097142	NA	1	48	48	hemi	112.707											
MvSl-1064-A1-R4_A1g00980	316.647	533.079	MvSl-1064-A1-R4_A1	aMAT	2106647	2106596	NA	7	95	665	hemi	424.863											
MvSl-1064-A1-R4_A1g00994	68.711	21.1996	MvSl-1064-A1-R4_A1	aMAT	2130758	2130711	NA	2	268.5	537	hemi	44.9553											
MvSl-1064-A1-R4_A1g00996	2370	2083	MvSl-1064-A1-R4_A1	aMAT	2136054	2136220	NA	11	93.0909	1024	hemi	2226.5											
MvSl-1064-A1-R4_A1g01000	251.657	244.3	MvSl-1064-A1-R4_A1	aMAT	2146820	2146879	NA	1	58	58	hemi	247.978											
MvSl-1064-A1-R4_A1g01001	44.4561	45.0191	MvSl-1064-A1-R4_A1	aMAT	2148724	2148477	NA	3	145.667	437	hemi	44.7376											
MvSl-1064-A1-R4_A1g01011	1216.54	1618.43	MvSl-1064-A1-R4_A1	aMAT	2181965	2182056	NA	1	90	90	hemi	1417.49											
MvSl-1064-A1-R4_A1g01013	69.2415	120.288	MvSl-1064-A1-R4_A1	aMAT	2183992	2184046	NA	2	46.5	93	hemi	94.7647											
MvSl-1064-A1-R4_A1g01019	834.934	841.5	MvSl-1064-A1-R4_A1	aMAT	2200939	2200989	NA	9	73.8889	665	hemi	838.217											
MvSl-1064-A1-R4_A1g01032	27.9785	28.2485	MvSl-1064-A1-R4_A1	aMAT	2231728	2231825	NA	1	96	96	hemi	28.1135											
MvSl-1064-A1-R4_A1g01033	257.064	208.763	MvSl-1064-A1-R4_A1	aMAT	2233728	2233331	NA	3	189.333	568	hemi	232.913											
MvSl-1064-A1-R4_A1g01034	2631.57	3561.18	MvSl-1064-A1-R4_A1	aMAT	2236041	2235945	NA	7	88	616	hemi	3096.38											
