gid	gname	chr	start	end	logCPM	logFC.water.diploid	FDR.water.diploid	share
MvSl-1064-A1-R4_A1g00319	MvSl-1064-A1-R4_A1	aMAT	727828	730657	2.436564396	1.791564212	9.36E-05	no
MvSl-1064-A1-R4_A1g00320	MvSl-1064-A1-R4_A1	aMAT	730971	731930	0.719868087	2.415017786	5.85E-06	no
MvSl-1064-A1-R4_A1g00330	MvSl-1064-A1-R4_A1	aMAT	745290	746054	3.18534273	1.726097483	4.05E-06	no
MvSl-1064-A1-R4_A1g00331	MvSl-1064-A1-R4_A1	aMAT	746286	750364	3.140495158	1.160352726	0.017315115	no
MvSl-1064-A1-R4_A1g00334	MvSl-1064-A1-R4_A1	aMAT	754658	754813	3.639155553	1.123990156	0.017187706	no
MvSl-1064-A1-R4_A1g00339	MvSl-1064-A1-R4_A1	aMAT	764843	766003	2.810816932	2.828435338	1.59E-11	no
MvSl-1064-A1-R4_A1g00340	MvSl-1064-A1-R4_A1	aMAT	766367	766927	5.748470577	4.425842229	2.76E-31	no
MvSl-1064-A1-R4_A1g00341	MvSl-1064-A1-R4_A1	aMAT	767051	767497	5.377685755	4.737212405	7.08E-28	no
MvSl-1064-A1-R4_A1g00342	MvSl-1064-A1-R4_A1	aMAT	767711	767993	4.905570939	1.970167443	1.05E-11	no
MvSl-1064-A1-R4_A1g00343	MvSl-1064-A1-R4_A1	aMAT	768274	769465	3.2372749	1.601674078	3.68E-05	no
MvSl-1064-A1-R4_A1g00348	MvSl-1064-A1-R4_A1	aMAT	780549	782150	5.554361453	1.536965575	9.57E-07	no
MvSl-1064-A1-R4_A1g00353	MvSl-1064-A1-R4_A1	aMAT	796977	799849	5.913210422	1.963856647	7.16E-10	no
MvSl-1064-A1-R4_A1g00355	MvSl-1064-A1-R4_A1	aMAT	800398	801531	8.176762454	2.059345794	7.93E-08	no
MvSl-1064-A1-R4_A1g00356	MvSl-1064-A1-R4_A1	aMAT	801996	802169	1.245429475	1.863492055	0.000646497	no
MvSl-1064-A1-R4_A1g00357	MvSl-1064-A1-R4_A1	aMAT	802981	807787	5.560905707	2.263955294	1.56E-07	no
MvSl-1064-A1-R4_A1g00361	MvSl-1064-A1-R4_A1	aMAT	821978	826818	6.655380931	1.194476524	0.001431958	no
MvSl-1064-A1-R4_A1g00363	MvSl-1064-A1-R4_A1	aMAT	828697	829688	6.537863854	1.808540658	6.19E-07	no
MvSl-1064-A1-R4_A1g00364	MvSl-1064-A1-R4_A1	aMAT	829798	830753	6.529442773	1.853188536	8.86E-07	no
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	aMAT	856916	857392	3.849507964	1.400923173	0.000107369	yes
MvSl-1064-A1-R4_A1g00387	MvSl-1064-A1-R4_A1	aMAT	875047	876411	0.196886638	2.303511085	0.000193895	no
MvSl-1064-A1-R4_A1g00388	MvSl-1064-A1-R4_A1	aMAT	876591	877428	1.553500231	1.376472557	0.009150838	no
MvSl-1064-A1-R4_A1g00409	MvSl-1064-A1-R4_A1	aMAT	932779	934001	9.028161626	2.314950794	4.82E-07	no
MvSl-1064-A1-R4_A1g00410	MvSl-1064-A1-R4_A1	aMAT	934508	935674	4.275309193	1.811830854	1.37E-05	no
MvSl-1064-A1-R4_A1g00411	MvSl-1064-A1-R4_A1	aMAT	935744	938216	4.534548556	2.061231606	7.35E-10	no
MvSl-1064-A1-R4_A1g00412	MvSl-1064-A1-R4_A1	aMAT	938428	938885	1.297832419	2.058577976	0.00316878	no
MvSl-1064-A1-R4_A1g00413	MvSl-1064-A1-R4_A1	aMAT	939062	939680	7.117370775	2.05009467	4.71E-07	no
MvSl-1064-A1-R4_A1g00414	MvSl-1064-A1-R4_A1	aMAT	940309	942859	6.003162826	1.157071417	0.008212076	no
MvSl-1064-A1-R4_A1g00423	MvSl-1064-A1-R4_A1	aMAT	960173	962653	4.273764063	1.315768157	0.023554224	no
MvSl-1064-A1-R4_A1g00443	MvSl-1064-A1-R4_A1	aMAT	1002523	1003071	2.859822289	1.451815785	0.000104021	no
MvSl-1064-A1-R4_A1g00448	MvSl-1064-A1-R4_A1	aMAT	1010063	1012204	7.656210259	1.432059831	0.000176277	no
MvSl-1064-A1-R4_A1g00459	MvSl-1064-A1-R4_A1	aMAT	1024475	1028301	2.073649094	1.097003652	0.032235556	no
MvSl-1064-A1-R4_A1g00461	MvSl-1064-A1-R4_A1	aMAT	1029411	1029674	2.158299343	1.49317818	0.002593221	no
MvSl-1064-A1-R4_A1g00462	MvSl-1064-A1-R4_A1	aMAT	1029731	1030180	3.776410404	1.160463052	0.000836783	no
MvSl-1064-A1-R4_A1g00463	MvSl-1064-A1-R4_A1	aMAT	1030290	1032267	6.714082642	1.594004336	1.48E-06	no
MvSl-1064-A1-R4_A1g00464	MvSl-1064-A1-R4_A1	aMAT	1033154	1035497	2.353376196	1.62661244	0.015947007	no
MvSl-1064-A1-R4_A1g00469	MvSl-1064-A1-R4_A1	aMAT	1041888	1044231	2.353376196	1.626612433	0.015947007	no
MvSl-1064-A1-R4_A1g00470	MvSl-1064-A1-R4_A1	aMAT	1045119	1047096	6.714082642	1.594004335	1.48E-06	no
MvSl-1064-A1-R4_A1g00471	MvSl-1064-A1-R4_A1	aMAT	1047206	1047650	3.860117845	1.800173534	7.78E-05	no
MvSl-1064-A1-R4_A1g00489	MvSl-1064-A1-R4_A1	aMAT	1073222	1075732	6.156079479	1.061932332	8.34E-05	no
MvSl-1064-A1-R4_A1g00515	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	5.043536238	1.091637529	0.00038577	no
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	1148624	1150396	8.192682778	1.303724516	3.74E-05	no
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1162650	1164414	1.658069112	2.52749467	1.97E-06	no
MvSl-1064-A1-R4_A1g00537	MvSl-1064-A1-R4_A1	aMAT	1191878	1192535	2.570223724	1.416831313	0.002514836	no
MvSl-1064-A1-R4_A1g00539	MvSl-1064-A1-R4_A1	aMAT	1193951	1194157	1.0546076	1.316385016	0.018423023	no
MvSl-1064-A1-R4_A1g00545	MvSl-1064-A1-R4_A1	aMAT	1215794	1216564	0.772723821	2.539147341	6.87E-06	no
MvSl-1064-A1-R4_A1g00549	MvSl-1064-A1-R4_A1	aMAT	1222223	1223941	5.552176752	1.515812133	2.89E-08	no
MvSl-1064-A1-R4_A1g00550	MvSl-1064-A1-R4_A1	aMAT	1224001	1224328	2.968011293	1.393992737	0.000563958	no
MvSl-1064-A1-R4_A1g00552	MvSl-1064-A1-R4_A1	aMAT	1227568	1228563	1.142234288	1.276282625	0.02259521	no
MvSl-1064-A1-R4_A1g00553	MvSl-1064-A1-R4_A1	aMAT	1228633	1229758	1.900514848	2.204365322	3.11E-07	no
MvSl-1064-A1-R4_A1g00577	MvSl-1064-A1-R4_A1	aMAT	1279830	1280188	4.349188045	2.022703143	5.32E-06	no
MvSl-1064-A1-R4_A1g00578	MvSl-1064-A1-R4_A1	aMAT	1280349	1280637	0.906841743	2.593439936	0.000155378	no
MvSl-1064-A1-R4_A1g00579	MvSl-1064-A1-R4_A1	aMAT	1280712	1281171	5.980113012	2.472676416	8.03E-10	no
MvSl-1064-A1-R4_A1g00580	MvSl-1064-A1-R4_A1	aMAT	1282503	1283947	4.349431726	1.854353917	1.14E-06	no
MvSl-1064-A1-R4_A1g00582	MvSl-1064-A1-R4_A1	aMAT	1285336	1286410	5.970572092	1.92120108	6.21E-08	no
MvSl-1064-A1-R4_A1g00583	MvSl-1064-A1-R4_A1	aMAT	1286475	1288021	5.479605626	2.093653491	2.33E-06	no
MvSl-1064-A1-R4_A1g00599	MvSl-1064-A1-R4_A1	aMAT	1313288	1315071	0.289950643	2.613561719	5.19E-05	no
MvSl-1064-A1-R4_A1g00601	MvSl-1064-A1-R4_A1	aMAT	1315464	1315679	0.74519192	1.887765969	0.009725895	no
MvSl-1064-A1-R4_A1g00605	MvSl-1064-A1-R4_A1	aMAT	1322144	1326771	5.948232163	1.556657398	1.54E-07	no
MvSl-1064-A1-R4_A1g00620	MvSl-1064-A1-R4_A1	aMAT	1353495	1354271	3.577446102	1.125507645	0.00923471	no
MvSl-1064-A1-R4_A1g00621	MvSl-1064-A1-R4_A1	aMAT	1354338	1354822	1.57705213	2.893909933	1.03E-08	no
MvSl-1064-A1-R4_A1g00622	MvSl-1064-A1-R4_A1	aMAT	1355213	1356312	5.670748994	1.023182818	0.000845505	no
MvSl-1064-A1-R4_A1g00623	MvSl-1064-A1-R4_A1	aMAT	1356413	1356598	2.643077891	1.07523464	0.023844965	no
MvSl-1064-A1-R4_A1g00626	MvSl-1064-A1-R4_A1	aMAT	1360313	1362886	4.827998573	1.203891386	0.000126262	no
MvSl-1064-A1-R4_A1g00629	MvSl-1064-A1-R4_A1	aMAT	1370267	1370662	2.722109973	1.113897465	0.016394228	no
MvSl-1064-A1-R4_A1g00630	MvSl-1064-A1-R4_A1	aMAT	1370783	1372841	5.736910451	1.123670397	0.00074028	no
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	3.830403094	1.447323026	0.000224449	no
MvSl-1064-A1-R4_A1g00636	MvSl-1064-A1-R4_A1	aMAT	1381215	1381929	5.205249228	2.106884764	9.56E-08	no
MvSl-1064-A1-R4_A1g00637	MvSl-1064-A1-R4_A1	aMAT	1382038	1383413	6.91918135	1.759351838	3.99E-08	no
MvSl-1064-A1-R4_A1g00639	MvSl-1064-A1-R4_A1	aMAT	1384621	1385073	2.527603007	1.550378405	0.000136158	no
MvSl-1064-A1-R4_A1g00650	MvSl-1064-A1-R4_A1	aMAT	1405337	1405911	3.715650449	2.937746099	1.16E-11	no
MvSl-1064-A1-R4_A1g00652	MvSl-1064-A1-R4_A1	aMAT	1406494	1409473	6.214217889	1.610649029	2.32E-05	no
MvSl-1064-A1-R4_A1g00658	MvSl-1064-A1-R4_A1	aMAT	1418198	1418380	1.444938542	2.385070016	0.001460455	no
MvSl-1064-A1-R4_A1g00660	MvSl-1064-A1-R4_A1	aMAT	1423018	1424956	5.31903438	1.337606447	2.59E-06	no
MvSl-1064-A1-R4_A1g00663	MvSl-1064-A1-R4_A1	aMAT	1429339	1431109	5.058964423	1.325728326	7.41E-06	no
MvSl-1064-A1-R4_A1g00671	MvSl-1064-A1-R4_A1	aMAT	1448156	1449954	4.488569847	1.70767979	1.29E-05	no
MvSl-1064-A1-R4_A1g00672	MvSl-1064-A1-R4_A1	aMAT	1450048	1452440	5.065257701	1.068765771	0.001445209	no
MvSl-1064-A1-R4_A1g00673	MvSl-1064-A1-R4_A1	aMAT	1453621	1453990	1.103591971	1.194651248	0.046895793	no
MvSl-1064-A1-R4_A1g00674	MvSl-1064-A1-R4_A1	aMAT	1454051	1455196	3.376043765	2.085771404	1.92E-06	no
MvSl-1064-A1-R4_A1g00675	MvSl-1064-A1-R4_A1	aMAT	1455898	1456136	1.327152427	1.763484516	0.001781967	no
MvSl-1064-A1-R4_A1g00676	MvSl-1064-A1-R4_A1	aMAT	1456305	1457669	5.858787797	2.085756476	6.26E-10	no
MvSl-1064-A1-R4_A1g00690	MvSl-1064-A1-R4_A1	aMAT	1478950	1479853	5.334966383	1.091192262	0.000395112	no
MvSl-1064-A1-R4_A1g00691	MvSl-1064-A1-R4_A1	aMAT	1479917	1482617	5.704944797	1.268950343	3.35E-06	no
MvSl-1064-A1-R4_A1g00696	MvSl-1064-A1-R4_A1	aMAT	1492967	1494429	3.420922017	1.365981106	0.00014522	no
MvSl-1064-A1-R4_A1g00705	MvSl-1064-A1-R4_A1	aMAT	1506010	1507991	4.411551474	1.128557843	0.001356732	no
MvSl-1064-A1-R4_A1g00706	MvSl-1064-A1-R4_A1	aMAT	1508492	1509244	4.847308192	1.123791894	0.004466865	no
MvSl-1064-A1-R4_A1g00710	MvSl-1064-A1-R4_A1	aMAT	1512410	1513514	3.742066868	1.031466454	0.030014591	no
MvSl-1064-A1-R4_A1g00711	MvSl-1064-A1-R4_A1	aMAT	1513744	1518006	4.441564863	1.091777196	0.001269942	no
MvSl-1064-A1-R4_A1g00731	MvSl-1064-A1-R4_A1	aMAT	1546685	1549632	4.53007463	1.251420524	0.003940176	no
MvSl-1064-A1-R4_A1g00733	MvSl-1064-A1-R4_A1	aMAT	1552758	1553579	7.307425218	1.455901818	7.10E-08	no
MvSl-1064-A1-R4_A1g00734	MvSl-1064-A1-R4_A1	aMAT	1553969	1554367	6.880560711	1.374542898	7.78E-07	no
MvSl-1064-A1-R4_A1g00747	MvSl-1064-A1-R4_A1	aMAT	1576656	1577372	4.071369917	1.008765955	0.006433577	no
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A1-R4_A1	aMAT	1593613	1594973	3.751008218	1.655622601	1.14E-06	no
MvSl-1064-A1-R4_A1g00757	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	1.103348918	1.684707255	0.010883797	yes
MvSl-1064-A1-R4_A1g00763	MvSl-1064-A1-R4_A1	aMAT	1614331	1618375	2.566602722	1.555335302	0.000784329	no
MvSl-1064-A1-R4_A1g00764	MvSl-1064-A1-R4_A1	aMAT	1618535	1619661	1.990513231	1.505854137	0.001337876	no
MvSl-1064-A1-R4_A1g00784	MvSl-1064-A1-R4_A1	aMAT	1662910	1667750	3.735119931	1.675637601	0.003217573	no
MvSl-1064-A1-R4_A1g00785	MvSl-1064-A1-R4_A1	aMAT	1668108	1669511	4.593254301	1.395436588	0.000765935	no
MvSl-1064-A1-R4_A1g00786	MvSl-1064-A1-R4_A1	aMAT	1671739	1675375	4.802573212	1.073107876	0.014815286	no
MvSl-1064-A1-R4_A1g00799	MvSl-1064-A1-R4_A1	aMAT	1697537	1698363	3.942071489	1.560696363	6.20E-05	no
MvSl-1064-A1-R4_A1g00806	MvSl-1064-A1-R4_A1	aMAT	1721558	1724769	7.777006607	1.42565281	8.00E-07	no
MvSl-1064-A1-R4_A1g00807	MvSl-1064-A1-R4_A1	aMAT	1724998	1728313	8.223465296	1.046344865	0.000879878	no
MvSl-1064-A1-R4_A1g00822	MvSl-1064-A1-R4_A1	aMAT	1746981	1750716	1.090422709	2.414659204	2.92E-05	no
MvSl-1064-A1-R4_A1g00824	MvSl-1064-A1-R4_A1	aMAT	1751427	1752854	5.615822954	1.642802453	9.02E-08	no
MvSl-1064-A1-R4_A1g00833	MvSl-1064-A1-R4_A1	aMAT	1764621	1764984	2.997175035	1.154653037	0.037519374	no
MvSl-1064-A1-R4_A1g00839	MvSl-1064-A1-R4_A1	aMAT	1780431	1784944	7.535316124	1.16031955	0.000255676	no
MvSl-1064-A1-R4_A1g00847	MvSl-1064-A1-R4_A1	aMAT	1808244	1809983	3.321013369	1.364500828	0.016619418	no
MvSl-1064-A1-R4_A1g00848	MvSl-1064-A1-R4_A1	aMAT	1810847	1816989	6.621189539	1.222522516	1.37E-05	no
MvSl-1064-A1-R4_A1g00852	MvSl-1064-A1-R4_A1	aMAT	1832733	1833013	0.423068286	3.978861045	6.05E-05	no
MvSl-1064-A1-R4_A1g00857	MvSl-1064-A1-R4_A1	aMAT	1845751	1846365	2.170037033	1.114148598	0.018785922	no
MvSl-1064-A1-R4_A1g00865	MvSl-1064-A1-R4_A1	aMAT	1861713	1862835	1.916078843	2.121393106	0.000181351	no
MvSl-1064-A1-R4_A1g00867	MvSl-1064-A1-R4_A1	aMAT	1867836	1869529	0.642711799	1.417506198	0.016169753	no
MvSl-1064-A1-R4_A1g00869	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	8.864199304	1.013158024	0.034354671	no
MvSl-1064-A1-R4_A1g00873	MvSl-1064-A1-R4_A1	aMAT	1877937	1880100	3.931750216	1.082509255	0.005327077	no
MvSl-1064-A1-R4_A1g00876	MvSl-1064-A1-R4_A1	aMAT	1881637	1885681	4.063657425	1.677438065	9.87E-07	no
MvSl-1064-A1-R4_A1g00877	MvSl-1064-A1-R4_A1	aMAT	1885757	1886437	2.762705493	1.20104654	0.005914132	no
MvSl-1064-A1-R4_A1g00879	MvSl-1064-A1-R4_A1	aMAT	1887328	1890569	5.118439708	1.562202084	4.12E-05	no
MvSl-1064-A1-R4_A1g00880	MvSl-1064-A1-R4_A1	aMAT	1890749	1893127	5.810180844	1.742028066	0.000278065	no
MvSl-1064-A1-R4_A1g00884	MvSl-1064-A1-R4_A1	aMAT	1904427	1905635	6.375018621	1.480192296	0.000235966	no
MvSl-1064-A1-R4_A1g00885	MvSl-1064-A1-R4_A1	aMAT	1906179	1907200	3.985975767	2.467461328	2.05E-07	no
MvSl-1064-A1-R4_A1g00891	MvSl-1064-A1-R4_A1	aMAT	1921718	1923408	3.136238039	1.088696468	0.015619926	no
MvSl-1064-A1-R4_A1g00910	MvSl-1064-A1-R4_A1	aMAT	1963284	1964943	6.79537811	1.292332413	8.37E-06	no
MvSl-1064-A1-R4_A1g00914	MvSl-1064-A1-R4_A1	aMAT	1975648	1977845	8.378374671	2.208470791	1.17E-09	no
MvSl-1064-A1-R4_A1g00916	MvSl-1064-A1-R4_A1	aMAT	1979096	1979682	1.000380422	2.428958843	7.51E-06	no
MvSl-1064-A1-R4_A1g00924	MvSl-1064-A1-R4_A1	aMAT	1996326	1998910	4.871684229	1.060187708	0.000916672	no
MvSl-1064-A1-R4_A1g00925	MvSl-1064-A1-R4_A1	aMAT	1999093	1999997	1.592680722	1.195994114	0.016086187	no
MvSl-1064-A1-R4_A1g00928	MvSl-1064-A1-R4_A1	aMAT	2002682	2003990	1.822670074	1.543001751	0.002124052	no
MvSl-1064-A1-R4_A1g00930	MvSl-1064-A1-R4_A1	aMAT	2005032	2007320	1.251194483	1.48680923	0.008607092	no
MvSl-1064-A1-R4_A1g00934	MvSl-1064-A1-R4_A1	aMAT	2013857	2015775	1.995656408	1.635941267	0.000733321	no
MvSl-1064-A1-R4_A1g00948	MvSl-1064-A1-R4_A1	aMAT	2039965	2042074	6.847158348	1.508004575	3.51E-06	no
MvSl-1064-A1-R4_A1g00960	MvSl-1064-A1-R4_A1	aMAT	2058571	2059524	6.714002736	1.541969159	3.50E-09	yes
MvSl-1064-A1-R4_A1g00964	MvSl-1064-A1-R4_A1	aMAT	2066842	2069567	7.076084243	1.122821374	7.52E-05	no
MvSl-1064-A1-R4_A1g00976	MvSl-1064-A1-R4_A1	aMAT	2097071	2097556	2.471501141	1.777422758	0.000339449	no
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A1-R4_A1	aMAT	2097615	2099010	3.686708656	1.438742421	0.000404777	no
MvSl-1064-A1-R4_A1g00985	MvSl-1064-A1-R4_A1	aMAT	2110106	2111747	5.894648605	1.293331183	2.32E-05	no
MvSl-1064-A1-R4_A1g01009	MvSl-1064-A1-R4_A1	aMAT	2173990	2180257	5.431971016	1.27653691	1.04E-05	no
MvSl-1064-A1-R4_A1g01013	MvSl-1064-A1-R4_A1	aMAT	2182886	2184721	1.722059717	1.148157255	0.033181456	no
MvSl-1064-A1-R4_A1g01024	MvSl-1064-A1-R4_A1	aMAT	2208436	2212373	1.156165198	1.886482679	0.001848946	no
MvSl-1064-A1-R4_A1g01031	MvSl-1064-A1-R4_A1	aMAT	2227919	2230836	0.15279931	1.574560562	0.026906364	no
MvSl-1064-A1-R4_A1g01034	MvSl-1064-A1-R4_A1	aMAT	2234431	2236252	6.146774863	1.363391069	0.002139985	no
MvSl-1064-A1-R4_A1g01036	MvSl-1064-A1-R4_A1	aMAT	2237077	2237486	4.221237871	1.640309963	2.45E-05	no
MvSl-1064-A1-R4_A1g01054	MvSl-1064-A1-R4_A1	aMAT	2261246	2264163	0.15279931	1.574560953	0.026832951	no
MvSl-1064-A1-R4_A1g01108	MvSl-1064-A1-R4_A1	aMAT	2463279	2468248	0.254292064	2.054311842	0.00322783	no
MvSl-1064-A1-R4_A1g01111	MvSl-1064-A1-R4_A1	aMAT	2471925	2475920	0.155844838	1.96210999	0.002035802	no
MvSl-1064-A1-R4_A1g01126	MvSl-1064-A1-R4_A1	aMAT	2498085	2499011	4.403079593	1.739016952	2.92E-06	no
MvSl-1064-A1-R4_A1g01140	MvSl-1064-A1-R4_A1	aMAT	2521041	2521388	3.325900242	2.39758366	1.25E-06	no
MvSl-1064-A1-R4_A1g01143	MvSl-1064-A1-R4_A1	aMAT	2526521	2530846	7.88906401	1.716844349	1.89E-06	no
MvSl-1064-A1-R4_A1g01147	MvSl-1064-A1-R4_A1	aMAT	2540612	2546864	6.260540721	1.185385152	2.34E-06	no
MvSl-1064-A1-R4_A1g01152	MvSl-1064-A1-R4_A1	aMAT	2550874	2553727	4.737160461	1.432104563	7.28E-06	no
MvSl-1064-A1-R4_A1g01179	MvSl-1064-A1-R4_A1	aMAT	2609428	2609592	2.598385636	1.13466484	0.00957795	no
MvSl-1064-A1-R4_A1g01197	MvSl-1064-A1-R4_A1	aMAT	2646484	2650145	1.776001517	1.115815884	0.047577827	no
MvSl-1064-A1-R4_A1g01204	MvSl-1064-A1-R4_A1	aMAT	2667624	2673941	6.657680506	1.269436746	0.000127675	no
MvSl-1064-A1-R4_A1g01205	MvSl-1064-A1-R4_A1	aMAT	2674056	2677992	4.426970771	2.253643738	0.000116474	no
MvSl-1064-A1-R4_A1g01210	MvSl-1064-A1-R4_A1	aMAT	2681282	2685010	3.221508629	1.106698408	0.010957307	no
MvSl-1064-A1-R4_A1g01218	MvSl-1064-A1-R4_A1	aMAT	2703817	2704714	6.003182929	2.067330681	2.01E-07	no
MvSl-1064-A1-R4_A1g01219	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	10.5705547	1.267578206	0.006459094	no
MvSl-1064-A1-R4_A1g01223	MvSl-1064-A1-R4_A1	aMAT	2712840	2714339	4.024488806	1.386761341	6.01E-05	no
MvSl-1064-A1-R4_A1g01230	MvSl-1064-A1-R4_A1	aMAT	2729331	2732646	5.836342576	1.152302094	8.52E-05	no
MvSl-1064-A1-R4_A1g01231	MvSl-1064-A1-R4_A1	aMAT	2733622	2735613	7.377027446	1.718319592	4.77E-07	no
MvSl-1064-A1-R4_A1g01237	MvSl-1064-A1-R4_A1	aMAT	2745599	2747996	6.178064207	1.142017675	0.000851785	no
MvSl-1064-A1-R4_A1g01241	MvSl-1064-A1-R4_A1	aMAT	2752706	2753794	0.926085421	2.000729701	0.00965873	no
MvSl-1064-A1-R4_A1g01242	MvSl-1064-A1-R4_A1	aMAT	2753876	2758163	5.922516705	1.894700928	0.011433443	no
MvSl-1064-A1-R4_A1g01243	MvSl-1064-A1-R4_A1	aMAT	2758445	2759609	0.653904944	1.83669325	0.0034911	no
MvSl-1064-A1-R4_A1g01255	MvSl-1064-A1-R4_A1	aMAT	2778871	2780197	4.369891564	2.202696794	0.000301054	no
MvSl-1064-A1-R4_A1g01256	MvSl-1064-A1-R4_A1	aMAT	2780608	2782495	6.623392776	1.547142212	3.08E-07	no
MvSl-1064-A1-R4_A1g01257	MvSl-1064-A1-R4_A1	aMAT	2783037	2784165	0.342250972	1.439665169	0.029958826	no
