gene A1 A2 location chr start end log2FC intron_nr mean sum group ave_count
MvSl-1064-A1-R4_A1g00036 5.319569804088 5.3471878740249 MvSl-1064-A1-R4_A1 aMAT 68795 70180 0.003551398 3 71758 93 NONDE 5.33338
MvSl-1064-A1-R4_A1g00037 4.88765165739082 4.70436376514164 MvSl-1064-A1-R4_A1 aMAT 71408 72880 0.137660032 2 75040 85.5 NONDE 4.79601
MvSl-1064-A1-R4_A1g00039 8.18352192551146 8.31993340368579 MvSl-1064-A1-R4_A1 aMAT 77299 78423 0.295471116 12 79425 90.0833 NONDE 8.25173
MvSl-1064-A1-R4_A1g00040 1.01070045865122 1.24190124495121 MvSl-1064-A1-R4_A1 aMAT 79342 82258 -0.153782551 7 83876 87.5714 NONDE 1.1263
MvSl-1064-A1-R4_A1g00046 4.07216115485571 3.90105374989486 MvSl-1064-A1-R4_A1 aMAT 89113 90244 0.172808324 7 91653 83.1429 NONDE 3.98661
MvSl-1064-A1-R4_A1g00047 4.92353937014398 5.1519034790545 MvSl-1064-A1-R4_A1 aMAT 90443 91903 0.101448809 5 93457 74 NONDE 5.03772
MvSl-1064-A1-R4_A1g00049 5.34436775553408 5.34353035825238 MvSl-1064-A1-R4_A1 aMAT 94248 95819 0.016501789 7 96717 79.1429 NONDE 5.34395
MvSl-1064-A1-R4_A1g00050 4.72866188992885 5.77952095915017 MvSl-1064-A1-R4_A1 aMAT 96486 99661 -0.305565903 3 101420 72.6667 NONDE 5.25409
MvSl-1064-A1-R4_A1g00051 6.79139685261486 7.34687666459864 MvSl-1064-A1-R4_A1 aMAT 101324 106023 0.525224843 4 106704 85 NONDE 7.06914
MvSl-1064-A1-R4_A1g00052 0.891508456659377 1.17761919517806 MvSl-1064-A1-R4_A1 aMAT 106474 107890 -0.24696277 1 108461 180 NONDE 1.03456
MvSl-1064-A1-R4_A1g00053 6.51047105488767 6.71170158751799 MvSl-1064-A1-R4_A1 aMAT 108409 108819 0.092722371 5 112076 71.4 NONDE 6.61109
MvSl-1064-A1-R4_A1g00054 2.22582861741679 2.50163951280521 MvSl-1064-A1-R4_A1 aMAT 111120 112733 -0.264670368 7 115144 76.7143 NONDE 2.36373
MvSl-1064-A1-R4_A1g00055 5.32341272735309 4.95982405419481 MvSl-1064-A1-R4_A1 aMAT 113646 115349 -0.468008418 2 116254 72 NONDE 5.14162
MvSl-1064-A1-R4_A1g00056 8.2016433966115 8.79746856765098 MvSl-1064-A1-R4_A1 aMAT 115614 117044 0.138986425 6 119361 94.6667 NONDE 8.49956
MvSl-1064-A1-R4_A1g00058 0.715526454853909 1.11033881986308 MvSl-1064-A1-R4_A1 aMAT 121712 122035 0.348340275 1 123779 128 NONDE 0.912933
MvSl-1064-A1-R4_A1g00060 3.29922006285481 2.42063910339663 MvSl-1064-A1-R4_A1 aMAT 124165 124371 0.159124156 5 126386 119.8 NONDE 2.85993
MvSl-1064-A1-R4_A1g00061 7.13592230208528 7.17025069576794 MvSl-1064-A1-R4_A1 aMAT 125081 126633 0.162009488 3 128939 100.333 NONDE 7.15309
MvSl-1064-A1-R4_A1g00062 5.99415077880217 6.00695241156242 MvSl-1064-A1-R4_A1 aMAT 128311 129271 -0.149956869 5 131063 129 NONDE 6.00055
MvSl-1064-A1-R4_A1g00063 5.01192043276118 5.0612865399922 MvSl-1064-A1-R4_A1 aMAT 130054 132843 0.061904548 3 133794 108.333 NONDE 5.0366
MvSl-1064-A1-R4_A1g00064 8.06572665267352 8.20066844777691 MvSl-1064-A1-R4_A1 aMAT 133237 134512 -0.174246289 3 136000 151.667 NONDE 8.1332
MvSl-1064-A1-R4_A1g00065 7.42101873120459 7.31221031356771 MvSl-1064-A1-R4_A1 aMAT 135668 136821 0.256054292 10 138062 81.9 NONDE 7.36661
MvSl-1064-A1-R4_A1g00066 7.92422668425218 8.10237582181955 MvSl-1064-A1-R4_A1 aMAT 137505 140273 0.031593411 2 141401 73 NONDE 8.0133
MvSl-1064-A1-R4_A1g00067 1.43682526313295 1.17761919517806 MvSl-1064-A1-R4_A1 aMAT 141157 141857 -0.223086763 8 144387 105 NONDE 1.30722
MvSl-1064-A1-R4_A1g00068 0.932343105671562 0.846572996932114 MvSl-1064-A1-R4_A1 aMAT 142411 144606 -0.392762525 3 146535 124.667 NONDE 0.889458
MvSl-1064-A1-R4_A1g00069 6.02515632210311 5.60720738110157 MvSl-1064-A1-R4_A1 aMAT 145335 146902 -0.260923672 2 150124 98 NONDE 5.81618
MvSl-1064-A1-R4_A1g00070 7.43040336009033 7.36683319172074 MvSl-1064-A1-R4_A1 aMAT 149220 153705 0.338336875 1 156679 84 NONDE 7.39862
MvSl-1064-A1-R4_A1g00071 4.19470742746883 4.27585435651738 MvSl-1064-A1-R4_A1 aMAT 154349 157189 0.520825111 4 158676 97.5 NONDE 4.23528
MvSl-1064-A1-R4_A1g00072 8.11145118669318 7.51157080214628 MvSl-1064-A1-R4_A1 aMAT 158422 160299 0.103669735 4 162812 110.25 NONDE 7.81151
MvSl-1064-A1-R4_A1g00073 4.83208860346842 4.31746684315258 MvSl-1064-A1-R4_A1 aMAT 160618 163050 -0.80991947 3 107.667 323 DE 4.57478
MvSl-1064-A1-R4_A1g00074 8.63503938250877 9.27516949514761 MvSl-1064-A1-R4_A1 aMAT 165329 166779 0.569611229 10 168793 124.3 NONDE 8.9551
MvSl-1064-A1-R4_A1g00076 7.00565727130933 7.13788662930041 MvSl-1064-A1-R4_A1 aMAT 171697 173594 -0.042967715 1 175808 125 NONDE 7.07177
MvSl-1064-A1-R4_A1g00077 6.50455951292841 6.68665906183792 MvSl-1064-A1-R4_A1 aMAT 173863 176567 0.049928904 1 178442 93 NONDE 6.59561
MvSl-1064-A1-R4_A1g00079 6.54708473461078 5.86364443251374 MvSl-1064-A1-R4_A1 aMAT 179366 179827 1.64719803 10 83.6 836 DE 6.20536
MvSl-1064-A1-R4_A1g00080 6.18576597453638 5.88014860524807 MvSl-1064-A1-R4_A1 aMAT 180716 185718 1.361803636 3 92 276 DE 6.03296
MvSl-1064-A1-R4_A1g00081 6.53221854674802 6.09115449719364 MvSl-1064-A1-R4_A1 aMAT 186136 186867 2.862523103 8 84 672 DE 6.31169
MvSl-1064-A1-R4_A1g00106 0.849484255195149 1.00314234555998 MvSl-1064-A1-R4_A1 aMAT 192447 192848 -0.635472111 3 233200 81 NONDE 0.926313
MvSl-1064-A1-R4_A1g00107 2.05144650475629 1.88946899420337 MvSl-1064-A1-R4_A1 aMAT 220047 220241 2.471248171 11 89 979 DE 1.97046
MvSl-1064-A1-R4_A1g00109 6.86575002903043 7.34000971377139 MvSl-1064-A1-R4_A1 aMAT 234418 236731 0.203157286 2 239283 71 NONDE 7.10288
MvSl-1064-A1-R4_A1g00110 8.18061184241076 7.99543759853117 MvSl-1064-A1-R4_A1 aMAT 238849 239016 -0.239746971 2 242988 200.5 NONDE 8.08802
MvSl-1064-A1-R4_A1g00112 2.63744338552294 1.80688150447963 MvSl-1064-A1-R4_A1 aMAT 240393 243364 -1.252868453 2 148 296 DE 2.22216
MvSl-1064-A1-R4_A1g00113 8.13706020484287 7.78435789317662 MvSl-1064-A1-R4_A1 aMAT 244443 244638 0.078226036 2 250406 84 NONDE 7.96071
MvSl-1064-A1-R4_A1g00118 3.8975650631436 3.98796207886651 MvSl-1064-A1-R4_A1 aMAT 3110528 3114459 -0.640841648 2 270801 66.5 NONDE 3.94276
MvSl-1064-A1-R4_A1g00144 6.57152628159385 7.00064142779351 MvSl-1064-A1-R4_A1 aMAT 1139524 1144406 0.362255569 3 320361 121.333 NONDE 6.78608
MvSl-1064-A1-R4_A1g00153 8.04143454706186 7.89375467313051 MvSl-1064-A1-R4_A1 aMAT 2573298 2575010 0.232458835 9 338414 72.3333 NONDE 7.96759
MvSl-1064-A1-R4_A1g00154 5.30214883738896 5.45111325013076 MvSl-1064-A1-R4_A1 aMAT 2575916 2576612 1.199907107 1 127 127 DE 5.37663
MvSl-1064-A1-R4_A1g00163 2.42496250457584 2.33481896339107 MvSl-1064-A1-R4_A1 aMAT 1648933 1652928 2.306986183 1 56 56 DE 2.37989
MvSl-1064-A1-R4_A1g00165 7.95706401349453 7.80876902828136 MvSl-1064-A1-R4_A1 aMAT 621126 622892 0.648642332 6 82.8333 497 DE 7.88292
MvSl-1064-A1-R4_A1g00175 7.10723112822698 7.33725375532602 MvSl-1064-A1-R4_A1 aMAT 2578833 2582754 0.179277963 3 381761 85.6667 NONDE 7.22224
MvSl-1064-A1-R4_A1g00184 6.10769500145954 6.1394134744937 MvSl-1064-A1-R4_A1 aMAT 1966448 1967834 -0.151634745 2 406383 124.5 NONDE 6.12355
MvSl-1064-A1-R4_A1g00185 8.16891245262074 8.2232349401158 MvSl-1064-A1-R4_A1 aMAT 912091 913460 -0.391179053 13 407934 82.2308 NONDE 8.19607
MvSl-1064-A1-R4_A1g00186 7.47901845929463 7.45421935551841 MvSl-1064-A1-R4_A1 aMAT 914330 919259 -0.052625562 4 413085 124.25 NONDE 7.46662
MvSl-1064-A1-R4_A1g00193 8.7854020230535 8.88891760244224 MvSl-1064-A1-R4_A1 aMAT 1550514 1551842 0.702608647 8 427653 105.75 NONDE 8.83716
MvSl-1064-A1-R4_A1g00209 6.34358028844472 6.22439916887052 MvSl-1064-A1-R4_A1 aMAT 380085 382864 1.275245122 3 204.667 614 DE 6.28399
MvSl-1064-A1-R4_A1g00210 5.30020012487562 5.35083614071863 MvSl-1064-A1-R4_A1 aMAT 1119790 1125248 0.094374743 4 471766 105 NONDE 5.32552
MvSl-1064-A1-R4_A1g00211 8.93371160663582 8.92775533607155 MvSl-1064-A1-R4_A1 aMAT 1116801 1118832 -0.182895244 8 474080 76.5 NONDE 8.93073
MvSl-1064-A1-R4_A1g00240 4.95608278891849 4.80353934197858 MvSl-1064-A1-R4_A1 aMAT 718774 719371 0.497981281 5 542757 78.8 NONDE 4.87981
MvSl-1064-A1-R4_A1g00242 5.34625775130313 5.19921635576273 MvSl-1064-A1-R4_A1 aMAT 1108286 1110870 -0.639026403 4 84.25 337 DE 5.27274
MvSl-1064-A1-R4_A1g00245 4.59833682609691 5.18906212204678 MvSl-1064-A1-R4_A1 aMAT 1060653 1061300 0.822763866 1 551184 72 NONDE 4.8937
MvSl-1064-A1-R4_A1g00246 5.89046181808471 5.80899498336625 MvSl-1064-A1-R4_A1 aMAT 551158 551514 -0.870177676 2 173 346 DE 5.84973
MvSl-1064-A1-R4_A1g00254 5.60493118907769 5.26643230139265 MvSl-1064-A1-R4_A1 aMAT 667810 671393 1.93412253 3 73 219 DE 5.43568
MvSl-1064-A1-R4_A1g00270 5.99294484726406 5.98011392202196 MvSl-1064-A1-R4_A1 aMAT 1111101 1112366 1.146581982 3 208 624 DE 5.98653
MvSl-1064-A1-R4_A1g00280 7.73522972802119 7.77861331933905 MvSl-1064-A1-R4_A1 aMAT 713060 718328 -0.225684153 9 642204 70 NONDE 7.75692
MvSl-1064-A1-R4_A1g00281 6.46943971521166 6.27231759879449 MvSl-1064-A1-R4_A1 aMAT 704230 705173 -0.066072746 9 646878 77 NONDE 6.37088
MvSl-1064-A1-R4_A1g00290 7.04284321819721 7.23337312785113 MvSl-1064-A1-R4_A1 aMAT 407531 411380 -0.171909394 4 671202 86.75 NONDE 7.13811
MvSl-1064-A1-R4_A1g00292 7.088722794328 7.35371108483933 MvSl-1064-A1-R4_A1 aMAT 1132727 1134319 0.909844551 8 90.125 721 DE 7.22122
MvSl-1064-A1-R4_A1g00307 6.6721477070337 6.88336781495885 MvSl-1064-A1-R4_A1 aMAT 1993924 1995401 0.482989826 1 704289 80 NONDE 6.77776
MvSl-1064-A1-R4_A1g00311 8.39230254237096 8.15026703299809 MvSl-1064-A1-R4_A1 aMAT 1396587 1398849 -0.024241788 9 714094 86.1111 NONDE 8.27128
MvSl-1064-A1-R4_A1g00312 9.05985995548923 9.57867163290556 MvSl-1064-A1-R4_A1 aMAT 1393224 1396199 3.506293707 1 118 118 DE 9.31927
MvSl-1064-A1-R4_A1g00327 4.25631206710367 4.20908624266341 MvSl-1064-A1-R4_A1 aMAT 1158935 1161921 0.092850987 4 741848 91.75 NONDE 4.2327
MvSl-1064-A1-R4_A1g00351 8.45997967121689 8.43782657357033 MvSl-1064-A1-R4_A1 aMAT 1488010 1490661 -0.242191733 9 794974 70.8889 NONDE 8.4489
MvSl-1064-A1-R4_A1g00352 5.37616572551948 5.61784460109876 MvSl-1064-A1-R4_A1 aMAT 1486271 1487768 -0.189240511 2 796195 60 NONDE 5.49701
MvSl-1064-A1-R4_A1g00359 8.64812194365183 8.83913646807168 MvSl-1064-A1-R4_A1 aMAT 679143 681507 0.268073831 8 819195 125.375 NONDE 8.74363
MvSl-1064-A1-R4_A1g00367 4.19470742746883 4.26429404774503 MvSl-1064-A1-R4_A1 aMAT 245502 246121 0.55317147 4 835898 75.25 NONDE 4.2295
MvSl-1064-A1-R4_A1g00368 6.04856139376801 6.37710869070925 MvSl-1064-A1-R4_A1 aMAT 248916 251783 0.047631159 3 837652 85.6667 NONDE 6.21284
MvSl-1064-A1-R4_A1g00369 6.98336263253371 7.20845458175185 MvSl-1064-A1-R4_A1 aMAT 270179 271004 0.088019809 5 840913 75.8 NONDE 7.09591
MvSl-1064-A1-R4_A1g00370 6.99545655340007 7.0514097608833 MvSl-1064-A1-R4_A1 aMAT 319920 320757 0.071834435 5 843708 64.8 NONDE 7.02343
MvSl-1064-A1-R4_A1g00371 7.40433390366132 7.50093832774453 MvSl-1064-A1-R4_A1 aMAT 330602 330868 0.323685138 6 848281 91.3333 NONDE 7.45264
MvSl-1064-A1-R4_A1g00372 7.30044503638758 7.39405134465942 MvSl-1064-A1-R4_A1 aMAT 337815 342587 -0.153090469 5 851873 79 NONDE 7.34725
MvSl-1064-A1-R4_A1g00373 5.20342423911981 5.70594017673541 MvSl-1064-A1-R4_A1 aMAT 342659 343448 -0.309993049 3 853030 100 NONDE 5.45468
MvSl-1064-A1-R4_A1g00374 7.88543474693271 7.46393765781838 MvSl-1064-A1-R4_A1 aMAT 343906 345432 -0.126027095 4 854635 71.5 NONDE 7.67469
MvSl-1064-A1-R4_A1g00375 4.76867322847514 4.37950522873746 MvSl-1064-A1-R4_A1 aMAT 355987 356282 0.630356769 1 857101 75 NONDE 4.57409
MvSl-1064-A1-R4_A1g00380 6.54872711676636 6.64269102204932 MvSl-1064-A1-R4_A1 aMAT 901642 902941 0.520490676 2 863199 210.5 NONDE 6.59571
MvSl-1064-A1-R4_A1g00390 5.17393026326782 5.01144707557413 MvSl-1064-A1-R4_A1 aMAT 896092 900842 0.02557557 1 886124 280 NONDE 5.09269
MvSl-1064-A1-R4_A1g00391 7.025844848521 6.92617917072407 MvSl-1064-A1-R4_A1 aMAT 895253 895922 -0.025817744 6 892108 102.5 NONDE 6.97601
MvSl-1064-A1-R4_A1g00394 6.02161258016419 6.54972516022418 MvSl-1064-A1-R4_A1 aMAT 889992 892373 0.026695248 3 895482 108.333 NONDE 6.28567
MvSl-1064-A1-R4_A1g00395 8.36669326063594 8.25424651756625 MvSl-1064-A1-R4_A1 aMAT 885400 886813 0.272243153 9 900028 73.2222 NONDE 8.31047
MvSl-1064-A1-R4_A1g00396 7.51516924755726 7.7687606489395 MvSl-1064-A1-R4_A1 aMAT 863010 863649 0.170097067 5 902635 83.6 NONDE 7.64196
MvSl-1064-A1-R4_A1g00397 8.95739907040117 9.45032622494183 MvSl-1064-A1-R4_A1 aMAT 861883 862053 0.122156205 3 904059 121 NONDE 9.20386
MvSl-1064-A1-R4_A1g00398 8.03529706718532 8.20646910270149 MvSl-1064-A1-R4_A1 aMAT 856916 857392 0.150737593 4 904615 183.75 NONDE 8.12088
MvSl-1064-A1-R4_A1g00399 7.59005511438048 8.22472689623736 MvSl-1064-A1-R4_A1 aMAT 854394 856791 -0.035908126 2 907586 74.5 NONDE 7.90739
MvSl-1064-A1-R4_A1g00400 5.34247528053682 5.0612865399922 MvSl-1064-A1-R4_A1 aMAT 852461 853825 1.072020036 7 91.2857 639 DE 5.20188
MvSl-1064-A1-R4_A1g00401 7.04051048897774 7.8878026860331 MvSl-1064-A1-R4_A1 aMAT 849156 852184 0.358466712 4 912884 93.5 NONDE 7.46416
MvSl-1064-A1-R4_A1g00402 7.87826821806339 7.89750121024125 MvSl-1064-A1-R4_A1 aMAT 844814 848787 0.029052116 3 916935 82.3333 NONDE 7.88788
MvSl-1064-A1-R4_A1g00403 6.87690663869401 7.00932404073721 MvSl-1064-A1-R4_A1 aMAT 841678 844038 0.477123411 7 920436 66.7143 NONDE 6.94312
MvSl-1064-A1-R4_A1g00404 3.29139345406651 3.21267482879993 MvSl-1064-A1-R4_A1 aMAT 838903 841231 -0.312501154 5 925477 70.4 NONDE 3.25203
MvSl-1064-A1-R4_A1g00405 4.60150527011057 5.23321574660517 MvSl-1064-A1-R4_A1 aMAT 837338 838797 0.555792081 5 926338 80.2 NONDE 4.91736
MvSl-1064-A1-R4_A1g00406 5.30020012487562 5.55439498497535 MvSl-1064-A1-R4_A1 aMAT 1134595 1135956 -0.245088081 1 929339 83 NONDE 5.4273
MvSl-1064-A1-R4_A1g00432 6.97849653379546 7.10639939823101 MvSl-1064-A1-R4_A1 aMAT 1584006 1586510 0.147701251 3 983856 111.667 NONDE 7.04245
MvSl-1064-A1-R4_A1g00433 5.59224573945904 5.38326191669372 MvSl-1064-A1-R4_A1 aMAT 1578575 1582088 0.348274381 3 986847 74.3333 NONDE 5.48775
MvSl-1064-A1-R4_A1g00441 5.06338116915012 5.66256470919093 MvSl-1064-A1-R4_A1 aMAT 1136196 1138565 0.104254767 7 998926 118 NONDE 5.36297
MvSl-1064-A1-R4_A1g00453 -2.29255867825372 -1.49302128221501 MvSl-1064-A1-R4_A1 aMAT 3104710 3107087 -5.477788358 1 47 47 DE -1.89279
MvSl-1064-A1-R4_A1g00478 7.08815821220657 7.16040960551832 MvSl-1064-A1-R4_A1 aMAT 3092860 3095963 0.123482527 3 1055188 85 NONDE 7.12428
MvSl-1064-A1-R4_A1g00481 3.25965538728574 3.02448391953453 MvSl-1064-A1-R4_A1 aMAT 641110 646152 -0.001846554 2 1061208 49.5 NONDE 3.14207
MvSl-1064-A1-R4_A1g00492 4.65433067940988 4.54470200640268 MvSl-1064-A1-R4_A1 aMAT 741065 742055 0.443340488 1 1092582 52 NONDE 4.59952
MvSl-1064-A1-R4_A1g00495 7.69723141919355 7.55531171421115 MvSl-1064-A1-R4_A1 aMAT 3171155 3174630 2.067703556 2 144.5 289 DE 7.62627
MvSl-1064-A1-R4_A1g00503 6.24673402702636 6.55368775316385 MvSl-1064-A1-R4_A1 aMAT 1995562 1995873 -0.31062679 8 1108497 78.625 NONDE 6.40021
MvSl-1064-A1-R4_A1g00504 3.56247231779281 3.70975445797129 MvSl-1064-A1-R4_A1 aMAT 2004135 2004905 0.045809758 4 1111376 76.5 NONDE 3.63611
MvSl-1064-A1-R4_A1g00505 6.71739015700581 5.94192286164475 MvSl-1064-A1-R4_A1 aMAT 2051926 2054309 0.172207716 8 1113312 114.625 NONDE 6.32966
MvSl-1064-A1-R4_A1g00506 4.98790827829817 4.90131790947652 MvSl-1064-A1-R4_A1 aMAT 2054540 2055464 0.018095169 8 1117012 80 NONDE 4.94461
MvSl-1064-A1-R4_A1g00507 6.11768806097875 5.6223795095914 MvSl-1064-A1-R4_A1 aMAT 2055616 2057858 0.00574296 13 1124781 96.3846 NONDE 5.87003
MvSl-1064-A1-R4_A1g00511 6.86179171234775 6.82226551823615 MvSl-1064-A1-R4_A1 aMAT 2058571 2059524 0.101736763 7 1132852 75.8571 NONDE 6.84203
MvSl-1064-A1-R4_A1g00512 5.08617906590515 5.03431503176344 MvSl-1064-A1-R4_A1 aMAT 2080392 2081481 -0.035270485 7 1135800 105.429 NONDE 5.06025
MvSl-1064-A1-R4_A1g00513 5.72745507282239 5.78627267201621 MvSl-1064-A1-R4_A1 aMAT 2082268 2082504 0.052249887 9 1136360 71.3333 NONDE 5.75686
MvSl-1064-A1-R4_A1g00514 8.42843485155443 7.92804443411862 MvSl-1064-A1-R4_A1 aMAT 1991175 1993509 0.109706751 2 1140452 82 NONDE 8.17824
MvSl-1064-A1-R4_A1g00515 5.35567076789359 5.62840396487722 MvSl-1064-A1-R4_A1 aMAT 1984288 1990725 0.65435269 3 1146272 69.6667 NONDE 5.49204
MvSl-1064-A1-R4_A1g00516 8.81998569499579 9.19155557933694 MvSl-1064-A1-R4_A1 aMAT 2618847 2620704 0.995708515 6 131.5 789 DE 9.00577
MvSl-1064-A1-R4_A1g00517 8.77122752948991 8.48714424080975 MvSl-1064-A1-R4_A1 aMAT 2625755 2626956 -0.533503452 2 1151121 216 NONDE 8.62919
MvSl-1064-A1-R4_A1g00518 6.29156247564359 6.65602270118145 MvSl-1064-A1-R4_A1 aMAT 2689352 2692677 0.322480627 6 1153416 94.1667 NONDE 6.47379
MvSl-1064-A1-R4_A1g00519 7.32365373015856 7.3117424216496 MvSl-1064-A1-R4_A1 aMAT 2705499 2709175 0.329453209 1 1154616 71 NONDE 7.3177
MvSl-1064-A1-R4_A1g00520 5.55350608701888 5.76728767420358 MvSl-1064-A1-R4_A1 aMAT 2709667 2711246 0.210251201 2 1157329 72 NONDE 5.6604
MvSl-1064-A1-R4_A1g00521 5.7660882545623 6.46977672491549 MvSl-1064-A1-R4_A1 aMAT 2723676 2724484 0.294232959 3 1161547 106.667 NONDE 6.11793
MvSl-1064-A1-R4_A1g00522 2.14127070830561 2.40668559879287 MvSl-1064-A1-R4_A1 aMAT 1378554 1381105 4.658089516 6 84.6667 508 DE 2.27398
MvSl-1064-A1-R4_A1g00525 7.52604861844342 7.46646213739764 MvSl-1064-A1-R4_A1 aMAT 1300472 1304579 0.428603192 3 1167193 105.333 NONDE 7.49626
MvSl-1064-A1-R4_A1g00527 5.31378615743286 4.83774088265904 MvSl-1064-A1-R4_A1 aMAT 1278622 1279107 0.581882017 2 1174545 88.5 NONDE 5.07576
MvSl-1064-A1-R4_A1g00528 2.46725985858851 2.8804727473447 MvSl-1064-A1-R4_A1 aMAT 3162864 3163091 -0.174837032 2 1175132 85 NONDE 2.67387
MvSl-1064-A1-R4_A1g00530 6.8690403502937 6.85024333169212 MvSl-1064-A1-R4_A1 aMAT 3139638 3144611 0.006866399 7 1177204 81.7143 NONDE 6.85964
MvSl-1064-A1-R4_A1g00532 5.15464640550445 5.17266521093749 MvSl-1064-A1-R4_A1 aMAT 3096186 3097883 0.189104916 1 1184241 74 NONDE 5.16366
MvSl-1064-A1-R4_A1g00533 6.01924524038266 6.10201908460394 MvSl-1064-A1-R4_A1 aMAT 1186986 1189109 -0.3416455 4 1185905 107.25 NONDE 6.06063
MvSl-1064-A1-R4_A1g00534 7.75207909054276 7.75849692509074 MvSl-1064-A1-R4_A1 aMAT 1199905 1206247 0.347983004 9 1188829 110 NONDE 7.75529
MvSl-1064-A1-R4_A1g00541 6.66988564022236 5.89521744575062 MvSl-1064-A1-R4_A1 aMAT 1207176 1208666 0.128964275 3 1201596 71.3333 NONDE 6.28255
MvSl-1064-A1-R4_A1g00542 5.09968685945603 4.97881047308939 MvSl-1064-A1-R4_A1 aMAT 1209281 1212345 -0.323479209 4 1208289 79.5 NONDE 5.03925
MvSl-1064-A1-R4_A1g00543 7.24530030179259 6.80707490011375 MvSl-1064-A1-R4_A1 aMAT 1213232 1215281 -0.052555432 9 1209695 97.2222 NONDE 7.02619
MvSl-1064-A1-R4_A1g00544 5.5320795094798 5.74666548884346 MvSl-1064-A1-R4_A1 aMAT 1274366 1278155 -0.086776727 2 1213830 153.5 NONDE 5.63937
