target_id	length	eff_length	est_counts	meantpm
MvSl-1064-A1-R4_A1g00046	1461	1128.99	314	2.21854
MvSl-1064-A1-R4_A1g00047	1270	937.991	568	5.56508
MvSl-1064-A1-R4_A1g00048	1572	1239.99	532	3.5896
MvSl-1064-A1-R4_A1g00049	3176	2843.99	761	2.2641
MvSl-1064-A1-R4_A1g00050	4700	4367.99	496	1.48418
MvSl-1064-A1-R4_A1g00051	1417	1084.99	2078	20.0436
MvSl-1064-A1-R4_A1g00052	411	134.803	33	2.24167
MvSl-1064-A1-R4_A1g00053	1614	1281.99	1710	12.1371
MvSl-1064-A1-R4_A1g00054	1704	1371.99	86	0.587908
MvSl-1064-A1-R4_A1g00055	1431	1098.99	750	5.12037
MvSl-1064-A1-R4_A1g00056	2299	1966.99	5526	29.9196
MvSl-1064-A1-R4_A1g00057	324	82.5238	384	44.5134
MvSl-1064-A1-R4_A1g00058	278	60.9234	29	4.5929
MvSl-1064-A1-R4_A1g00059	207	36.703	131.957	41.5577
MvSl-1064-A1-R4_A1g00060	1553	1220.99	183	0.972628
MvSl-1064-A1-R4_A1g00061	961	629.251	2639	35.8519
MvSl-1064-A1-R4_A1g00062	2790	2457.99	1195.34	4.13314
MvSl-1064-A1-R4_A1g00063	1276	943.991	604	5.50547
MvSl-1064-A1-R4_A1g00064	1154	821.991	5029	54.2809
MvSl-1064-A1-R4_A1g00065	2769	2436.99	3216	10.7581
MvSl-1064-A1-R4_A1g00066	701	377.591	4558.52	107.952
MvSl-1064-A1-R4_A1g00067	2196	1863.99	49	0.203254
MvSl-1064-A1-R4_A1g00068	1568	1235.99	34	0.225523
MvSl-1064-A1-R4_A1g00069	4486	4153.99	1221	2.17125
MvSl-1064-A1-R4_A1g00070	2841	2508.99	3237	10.6808
MvSl-1064-A1-R4_A1g00071	1878	1545.99	342	1.92658
MvSl-1064-A1-R4_A1g00072	2433	2100.99	5191	17.3113
MvSl-1064-A1-R4_A1g00073	1451	1118.99	533	3.41568
MvSl-1064-A1-R4_A1g00074	3085	2752.99	7463	29.4241
MvSl-1064-A1-R4_A1g00075	1898	1565.99	2	0.0053441
MvSl-1064-A1-R4_A1g00076	2705	2372.99	2411	9.01613
MvSl-1064-A1-R4_A1g00077	1476	1143.99	1703	13.4471
MvSl-1064-A1-R4_A1g00078	462	172.087	2962	166.118
MvSl-1064-A1-R4_A1g00079	5003	4670.99	1754	2.57166
MvSl-1064-A1-R4_A1g00080	732	407.237	1365	25.4588
MvSl-1064-A1-R4_A1g00081	1764	1431.99	1735.81	8.88861
MvSl-1064-A1-R4_A1g00082	192	32.2087	2	0.259831
MvSl-1064-A1-R4_A1g00083	1778	1445.99	1.02202	0.00874626
MvSl-1064-A1-R4_A1g00084	402	128.898	1	0.0627248
MvSl-1064-A1-R4_A1g00085	186	30.2889	0	0
MvSl-1064-A1-R4_A1g00086	2250	1917.99	5.53221	0.0221051
MvSl-1064-A1-R4_A1g00087	9497	9164.99	419.108	0.390439
MvSl-1064-A1-R4_A1g00088	951	619.563	95.194	1.32923
MvSl-1064-A1-R4_A1g00089	206	36.3208	0	0
MvSl-1064-A1-R4_A1g00090	309	74.9434	0	0
MvSl-1064-A1-R4_A1g00091	1059	726.991	0	0.00567965
MvSl-1064-A1-R4_A1g00092	1274	941.991	116.852	0.961855
MvSl-1064-A1-R4_A1g00093	423	143.27	100.805	4.50467
MvSl-1064-A1-R4_A1g00094	1778	1445.99	0	0
MvSl-1064-A1-R4_A1g00095	955	623.439	41.1687	0.783408
MvSl-1064-A1-R4_A1g00096	231	43.6457	0	0
MvSl-1064-A1-R4_A1g00097	1161	828.991	10.7945	0.106628
MvSl-1064-A1-R4_A1g00098	195	33.1815	0	0
MvSl-1064-A1-R4_A1g00099	3051	2718.99	189.933	0.517782
MvSl-1064-A1-R4_A1g00100	251	50.2744	32.9124	6.48835
MvSl-1064-A1-R4_A1g00101	360	102.337	78	6.25635
MvSl-1064-A1-R4_A1g00102	1546	1213.99	42.0906	0.257808
MvSl-1064-A1-R4_A1g00103	2476	2143.99	21.1714	0.0771946
MvSl-1064-A1-R4_A1g00104	222	40.6477	3.18373	0.327744
MvSl-1064-A1-R4_A1g00105	186	30.2889	0	0
MvSl-1064-A1-R4_A1g00106	1602	1269.99	32.3343	0.228534
MvSl-1064-A1-R4_A1g00107	2314	1981.99	75.9946	0.307326
MvSl-1064-A1-R4_A1g00108	168	24.8977	546	225.686
MvSl-1064-A1-R4_A1g00109	859	529.16	2188	41.7184
MvSl-1064-A1-R4_A1g00110	2972	2639.99	5446	16.3956
MvSl-1064-A1-R4_A1g00111	196	33.388	1	0.251171
MvSl-1064-A1-R4_A1g00112	620	304.534	115.276	2.46272
MvSl-1064-A1-R4_A1g00113	2868	2535.99	5284	15.6999
MvSl-1064-A1-R4_A1g00114	755	428.975	519.883	12.1611
MvSl-1064-A1-R4_A1g00115	2403	2070.99	119.573	0.494555
MvSl-1064-A1-R4_A1g00116	4981	4648.99	0	0
MvSl-1064-A1-R4_A1g00117	748	422.147	27.3236	0.58673
MvSl-1064-A1-R4_A1g00118	826	496.982	277.664	4.86726
MvSl-1064-A1-R4_A1g00119	165	23.63	23	7.80285
MvSl-1064-A1-R4_A1g00120	2241	1908.99	531.237	2.15528
MvSl-1064-A1-R4_A1g00121	323	81.8909	551.565	64.4507
MvSl-1064-A1-R4_A1g00122	5641	5308.99	291.042	0.421631
MvSl-1064-A1-R4_A1g00123	607	292.813	19.09	0.579741
MvSl-1064-A1-R4_A1g00124	744	418.317	238.991	5.2325
MvSl-1064-A1-R4_A1g00125	1671	1338.99	245.412	1.49349
MvSl-1064-A1-R4_A1g00126	1054	721.991	1925	23.5894
MvSl-1064-A1-R4_A1g00127	192	32.2087	979183	247264
MvSl-1064-A1-R4_A1g00128	210	37.702	3729.76	762.244
MvSl-1064-A1-R4_A1g00129	548	241.844	0	0
MvSl-1064-A1-R4_A1g00130	362	103.693	1097.39	98.0984
MvSl-1064-A1-R4_A1g00131	415	137.59	95	6.23847
MvSl-1064-A1-R4_A1g00132	2715	2382.99	173.416	0.633053
MvSl-1064-A1-R4_A1g00133	336	89.1426	2.00703	0.13814
MvSl-1064-A1-R4_A1g00134	2084	1751.99	258.71	1.21779
MvSl-1064-A1-R4_A1g00135	486	190.847	3.68869	0.185165
MvSl-1064-A1-R4_A1g00136	4821	4488.99	1509.42	2.71934
MvSl-1064-A1-R4_A1g00137	153	20.4298	8.4	1.72048
MvSl-1064-A1-R4_A1g00138	1100	767.991	8.0487	0.146323
MvSl-1064-A1-R4_A1g00139	1198	865.991	32.463	0.2631
MvSl-1064-A1-R4_A1g00140	300	70.3859	2.54307	0.426994
MvSl-1064-A1-R4_A1g00141	498	200.137	24.0972	0.862296
MvSl-1064-A1-R4_A1g00142	1836	1503.99	62.0867	0.307978
MvSl-1064-A1-R4_A1g00143	1297	964.991	1643.82	13.0776
MvSl-1064-A1-R4_A1g00144	838	508.678	1784	34.7181
MvSl-1064-A1-R4_A1g00145	599	285.417	68.8491	1.90351
MvSl-1064-A1-R4_A1g00146	691	368.39	31	0.672584
MvSl-1064-A1-R4_A1g00147	535	230.816	0	0
MvSl-1064-A1-R4_A1g00148	364	104.86	2	0.153757
MvSl-1064-A1-R4_A1g00149	2749	2416.99	125.128	0.518739
MvSl-1064-A1-R4_A1g00150	267	55.9382	20.9328	2.98396
MvSl-1064-A1-R4_A1g00151	1911	1578.99	855.158	4.40806
MvSl-1064-A1-R4_A1g00152	2081	1748.99	999.851	4.81016
MvSl-1064-A1-R4_A1g00153	4773	4440.99	4945	8.96212
MvSl-1064-A1-R4_A1g00154	790	462.618	739	14.1819
MvSl-1064-A1-R4_A1g00155	1527	1194.99	1124.04	9.02181
MvSl-1064-A1-R4_A1g00156	354	99.1089	238.188	19.3535
MvSl-1064-A1-R4_A1g00157	2362	2029.99	1163.74	4.471
MvSl-1064-A1-R4_A1g00158	1434	1101.99	5675.21	49.3496
MvSl-1064-A1-R4_A1g00159	753	427.062	1188.33	23.688
MvSl-1064-A1-R4_A1g00160	1570	1237.99	169.574	1.31597
MvSl-1064-A1-R4_A1g00161	240	46.5995	9.07961	1.59251
MvSl-1064-A1-R4_A1g00162	1028	695.991	7.50775	0.112153
MvSl-1064-A1-R4_A1g00163	296	68.421	99.1686	11.5579
MvSl-1064-A1-R4_A1g00164	343	92.7765	172.875	13.7353
MvSl-1064-A1-R4_A1g00165	3167	2834.99	4664	13.2363
MvSl-1064-A1-R4_A1g00166	4967	4634.99	3091.91	4.85904
MvSl-1064-A1-R4_A1g00167	1699	1366.99	52.1004	0.405518
MvSl-1064-A1-R4_A1g00168	2036	1703.99	1279.29	5.57812
MvSl-1064-A1-R4_A1g00169	837	507.73	64.0453	1.59116
MvSl-1064-A1-R4_A1g00170	1198	865.991	669.042	7.32187
MvSl-1064-A1-R4_A1g00171	251	50.2744	13.0534	2.91985
MvSl-1064-A1-R4_A1g00172	1955	1622.99	239.331	1.23533
MvSl-1064-A1-R4_A1g00173	349	96.2936	53353	4369.06
MvSl-1064-A1-R4_A1g00174	192	32.2087	1.86073e+06	480738
MvSl-1064-A1-R4_A1g00175	2780	2447.99	2587	9.72587
MvSl-1064-A1-R4_A1g00176	813	484.524	183.744	3.64714
MvSl-1064-A1-R4_A1g00177	190	31.8008	9	2.3801
MvSl-1064-A1-R4_A1g00178	4057	3724.99	2356.33	5.32615
MvSl-1064-A1-R4_A1g00179	5104	4771.99	865.358	1.38464
MvSl-1064-A1-R4_A1g00180	3709	3376.99	605.418	1.29276
MvSl-1064-A1-R4_A1g00181	2823	2490.99	50.898	0.125439
MvSl-1064-A1-R4_A1g00182	2007	1674.99	79.592	0.508154
MvSl-1064-A1-R4_A1g00183	1389	1056.99	209.458	1.81462
MvSl-1064-A1-R4_A1g00184	513	212.185	1293	51.0708
MvSl-1064-A1-R4_A1g00185	3850	3517.99	5402	13.25
MvSl-1064-A1-R4_A1g00186	1850	1517.99	3348	18.4984
MvSl-1064-A1-R4_A1g00187	1576	1243.99	173.766	1.09463
MvSl-1064-A1-R4_A1g00188	150	19.3513	24.6428	13.3701
MvSl-1064-A1-R4_A1g00189	5094	4761.99	32043.3	60.2015
MvSl-1064-A1-R4_A1g00190	1237	904.991	328	3.51647
MvSl-1064-A1-R4_A1g00191	2207	1874.99	1527.78	7.08605
MvSl-1064-A1-R4_A1g00192	1026	693.991	2292.09	26.3559
MvSl-1064-A1-R4_A1g00193	2250	1917.99	8282.96	37.9163
MvSl-1064-A1-R4_A1g00194	1931	1598.99	250.391	1.1961
MvSl-1064-A1-R4_A1g00195	753	427.062	97.4777	1.49335
MvSl-1064-A1-R4_A1g00196	231	43.6457	2.7287	0.369001
MvSl-1064-A1-R4_A1g00197	2079	1746.99	175.617	0.771286
MvSl-1064-A1-R4_A1g00198	357	100.542	285.472	19.9625
MvSl-1064-A1-R4_A1g00199	231	43.6457	1	0.188589
MvSl-1064-A1-R4_A1g00200	5581	5248.99	82.6187	0.114597
MvSl-1064-A1-R4_A1g00201	1034	701.991	1135.35	18.1193
MvSl-1064-A1-R4_A1g00202	691	368.39	0	0
MvSl-1064-A1-R4_A1g00203	4164	3831.99	16.8202	0.0183672
MvSl-1064-A1-R4_A1g00204	328	84.6803	0	0
MvSl-1064-A1-R4_A1g00205	4164	3831.99	19.7571	0.0709262
MvSl-1064-A1-R4_A1g00206	5508	5175.99	7.73918	0.00731035
MvSl-1064-A1-R4_A1g00207	192	32.2087	0	0.130697
MvSl-1064-A1-R4_A1g00208	1860	1527.99	414.656	2.14709
MvSl-1064-A1-R4_A1g00209	2480	2147.99	1523.19	5.75938
MvSl-1064-A1-R4_A1g00210	1179	846.991	737.727	7.49793
MvSl-1064-A1-R4_A1g00211	3096	2763.99	9180.05	28.0519
MvSl-1064-A1-R4_A1g00212	1897	1564.99	172.496	0.64338
MvSl-1064-A1-R4_A1g00213	1079	746.991	28.749	0.3011
MvSl-1064-A1-R4_A1g00214	2022	1689.99	0	0.00341062
MvSl-1064-A1-R4_A1g00215	168	24.8977	195.897	73.6957
MvSl-1064-A1-R4_A1g00216	1080	747.991	35.6129	0.359147
MvSl-1064-A1-R4_A1g00217	6299	5966.99	569.491	0.673815
MvSl-1064-A1-R4_A1g00218	1519	1186.99	64.2845	0.444017
MvSl-1064-A1-R4_A1g00219	1607	1274.99	609.726	3.68471
MvSl-1064-A1-R4_A1g00220	4997	4664.99	45.8839	0.0712537
MvSl-1064-A1-R4_A1g00221	4079	3746.99	29.152	0.0537721
MvSl-1064-A1-R4_A1g00222	2417	2084.99	138.446	0.558599
MvSl-1064-A1-R4_A1g00223	1224	891.991	32.8416	0.399459
MvSl-1064-A1-R4_A1g00224	287	64.5999	23.8754	1.93859
MvSl-1064-A1-R4_A1g00225	437	153.598	0.529958	0.0144374
MvSl-1064-A1-R4_A1g00226	867	537	1.05079	0.016289
MvSl-1064-A1-R4_A1g00227	1406	1073.99	257.537	1.63325
MvSl-1064-A1-R4_A1g00228	5417	5084.99	637.671	0.894669
MvSl-1064-A1-R4_A1g00229	437	153.598	0.529958	0.0144374
MvSl-1064-A1-R4_A1g00230	1166	833.991	485	4.28598
MvSl-1064-A1-R4_A1g00231	153	20.4298	13.6945	5.00108
MvSl-1064-A1-R4_A1g00232	276	60.2043	27.1494	3.5442
MvSl-1064-A1-R4_A1g00233	258	52.3299	7.08146	1.48283
MvSl-1064-A1-R4_A1g00234	796	468.336	93.6196	2.06799
MvSl-1064-A1-R4_A1g00235	3621	3288.99	2812.93	8.47569
MvSl-1064-A1-R4_A1g00236	3049	2716.99	13301.3	43.141
MvSl-1064-A1-R4_A1g00237	1897	1564.99	303.639	1.48434
MvSl-1064-A1-R4_A1g00238	159	21.4797	5.04159	4.18448
MvSl-1064-A1-R4_A1g00239	1030	697.991	672.591	11.7453
MvSl-1064-A1-R4_A1g00240	1858	1525.99	580.891	3.05718
MvSl-1064-A1-R4_A1g00241	1041	708.991	2778	33.0268
MvSl-1064-A1-R4_A1g00242	913	582.101	762	10.5107
MvSl-1064-A1-R4_A1g00243	478	184.447	53	2.14591
MvSl-1064-A1-R4_A1g00244	1717	1384.99	214	1.16624
MvSl-1064-A1-R4_A1g00245	357	100.542	453	46.0643
MvSl-1064-A1-R4_A1g00246	1381	1048.99	1112	8.71553
MvSl-1064-A1-R4_A1g00247	2290	1957.99	223.419	0.727571
MvSl-1064-A1-R4_A1g00248	11939	11607	4830.12	3.36915
MvSl-1064-A1-R4_A1g00249	1720	1387.99	468.462	2.52881
MvSl-1064-A1-R4_A1g00250	973	641.187	150.312	1.71044
MvSl-1064-A1-R4_A1g00251	4095	3762.99	316.564	0.598377
MvSl-1064-A1-R4_A1g00252	1599	1266.99	122.474	0.922592
MvSl-1064-A1-R4_A1g00253	2904	2571.99	451.021	1.49695
MvSl-1064-A1-R4_A1g00254	2436	2103.99	912	3.27953
MvSl-1064-A1-R4_A1g00255	354	99.1089	182	12.6759
MvSl-1064-A1-R4_A1g00256	1267	934.991	358.475	2.7585
MvSl-1064-A1-R4_A1g00257	781	453.988	1259.87	24.0151
MvSl-1064-A1-R4_A1g00258	224	41.0694	0	0
MvSl-1064-A1-R4_A1g00259	437	153.598	0	0.126262
MvSl-1064-A1-R4_A1g00260	7642	7309.99	559.241	0.557874
MvSl-1064-A1-R4_A1g00261	1858	1525.99	0	0
MvSl-1064-A1-R4_A1g00262	344	93.4168	17.8824	1.67462
MvSl-1064-A1-R4_A1g00263	8372	8039.99	1419.99	1.40077
MvSl-1064-A1-R4_A1g00264	371	109.184	9	0.701265
MvSl-1064-A1-R4_A1g00265	231	43.6457	62.4295	15.1749
MvSl-1064-A1-R4_A1g00266	972	640.187	814.449	11.073
MvSl-1064-A1-R4_A1g00267	210	37.702	1	0.221978
MvSl-1064-A1-R4_A1g00268	279	61.3706	0	0.128889
MvSl-1064-A1-R4_A1g00269	3649	3316.99	7542	19.172
MvSl-1064-A1-R4_A1g00270	1767	1434.99	1194	7.00744
MvSl-1064-A1-R4_A1g00271	1003	670.991	44.6777	0.589018
MvSl-1064-A1-R4_A1g00272	210	37.702	6.35464	1.40935
MvSl-1064-A1-R4_A1g00273	1633	1300.99	24.3827	0.13023
MvSl-1064-A1-R4_A1g00274	1562	1229.99	7.47096	0.0458961
MvSl-1064-A1-R4_A1g00275	4981	4648.99	51.1634	0.1543
MvSl-1064-A1-R4_A1g00276	325	83.0822	4.44933	0.505961
MvSl-1064-A1-R4_A1g00277	1482	1149.99	198	1.52946
MvSl-1064-A1-R4_A1g00278	400	127.724	1	0.0643759
MvSl-1064-A1-R4_A1g00279	495	197.738	154.622	6.45481
MvSl-1064-A1-R4_A1g00280	5043	4710.99	3999	7.29707
MvSl-1064-A1-R4_A1g00281	4668	4335.99	1662	3.03498
MvSl-1064-A1-R4_A1g00282	262	53.6675	29.2357	3.97545
MvSl-1064-A1-R4_A1g00283	5390	5057.99	96.4561	0.119928
MvSl-1064-A1-R4_A1g00284	231	43.6457	0	0
MvSl-1064-A1-R4_A1g00285	1549	1216.99	19.3728	0.135591
MvSl-1064-A1-R4_A1g00286	206	36.3208	0	0
MvSl-1064-A1-R4_A1g00287	3897	3564.99	120.009	0.25679
MvSl-1064-A1-R4_A1g00288	345	93.9961	3.69948	0.187948
MvSl-1064-A1-R4_A1g00289	1501	1168.99	113.373	0.726357
MvSl-1064-A1-R4_A1g00290	3584	3251.99	2474	6.89943
MvSl-1064-A1-R4_A1g00291	6481	6148.99	408.825	0.447874
MvSl-1064-A1-R4_A1g00292	2365	2032.99	2554	11.7152
MvSl-1064-A1-R4_A1g00293	614	299.195	400.366	11.3642
MvSl-1064-A1-R4_A1g00294	1966	1633.99	634.094	2.7669
MvSl-1064-A1-R4_A1g00295	1286	953.991	203	2.07307
MvSl-1064-A1-R4_A1g00296	1308	975.991	213.888	1.88034
MvSl-1064-A1-R4_A1g00297	592	279.393	143.881	3.78181
MvSl-1064-A1-R4_A1g00298	514	213.115	227.595	8.09249
MvSl-1064-A1-R4_A1g00299	397	125.813	81.0914	5.28145
MvSl-1064-A1-R4_A1g00300	1993	1660.99	642.232	3.11985
MvSl-1064-A1-R4_A1g00301	604	289.966	24.8306	0.713799
MvSl-1064-A1-R4_A1g00302	2394	2061.99	3.79864	0.023866
MvSl-1064-A1-R4_A1g00303	312	76.1614	0	0
MvSl-1064-A1-R4_A1g00304	407	132.053	0	0
MvSl-1064-A1-R4_A1g00305	1421	1088.99	347.066	2.65794
MvSl-1064-A1-R4_A1g00306	1343	1010.99	35652	250.43
MvSl-1064-A1-R4_A1g00307	944	612.625	1913	28.4747
MvSl-1064-A1-R4_A1g00308	829	499.881	382.597	5.55627
MvSl-1064-A1-R4_A1g00309	406	131.41	0	0.197121
MvSl-1064-A1-R4_A1g00310	2816	2483.99	1466.25	4.67512
MvSl-1064-A1-R4_A1g00311	5269	4936.99	6307	9.96988
MvSl-1064-A1-R4_A1g00312	598	284.477	10019	358.204
MvSl-1064-A1-R4_A1g00313	2382	2049.99	10970.2	58.5709
MvSl-1064-A1-R4_A1g00314	1035	702.991	44.5148	0.549299
MvSl-1064-A1-R4_A1g00315	300	70.3859	25.7715	2.64116
MvSl-1064-A1-R4_A1g00316	1442	1109.99	212.787	1.42902
MvSl-1064-A1-R4_A1g00317	346	94.4551	247.647	18.8683
MvSl-1064-A1-R4_A1g00318	207	36.703	6.28979	4.50094
MvSl-1064-A1-R4_A1g00319	2830	2497.99	304.717	0.804381
MvSl-1064-A1-R4_A1g00320	960	628.314	89	1.08748
MvSl-1064-A1-R4_A1g00321	778	451.17	416.104	8.30344
MvSl-1064-A1-R4_A1g00322	1875	1542.99	113.247	0.643849
MvSl-1064-A1-R4_A1g00323	225	41.2883	6.21429	0.629795
MvSl-1064-A1-R4_A1g00324	297	68.9367	3.43541	0.452097
MvSl-1064-A1-R4_A1g00325	936	604.747	0	0
MvSl-1064-A1-R4_A1g00326	591	278.569	0	0
MvSl-1064-A1-R4_A1g00327	991	658.991	357	4.50238
MvSl-1064-A1-R4_A1g00328	610	295.475	115	4.12721
MvSl-1064-A1-R4_A1g00329	548	241.844	55	2.11116
MvSl-1064-A1-R4_A1g00330	765	438.668	296.023	5.61921
MvSl-1064-A1-R4_A1g00331	4079	3746.99	404.801	0.679732
MvSl-1064-A1-R4_A1g00332	863	533.107	13	0.217747
MvSl-1064-A1-R4_A1g00333	1543	1210.99	3.12783	0.0216309
MvSl-1064-A1-R4_A1g00334	156	21.1228	327.376	119.112
MvSl-1064-A1-R4_A1g00335	4467	4134.99	344.536	0.570164
MvSl-1064-A1-R4_A1g00336	870	539.946	17	0.192705
MvSl-1064-A1-R4_A1g00337	336	89.1426	0	0.0437825
MvSl-1064-A1-R4_A1g00338	1739	1406.99	20	0.112403
MvSl-1064-A1-R4_A1g00339	1161	828.991	366	3.85564
MvSl-1064-A1-R4_A1g00340	561	252.829	2410.91	104.066
MvSl-1064-A1-R4_A1g00341	447	160.577	1879.18	129.343
MvSl-1064-A1-R4_A1g00342	283	63.1832	1108	159.298
MvSl-1064-A1-R4_A1g00343	1192	859.991	325.472	3.65343
MvSl-1064-A1-R4_A1g00344	977	645.187	0	0.0255761
MvSl-1064-A1-R4_A1g00345	305	73.1099	28	2.48407
MvSl-1064-A1-R4_A1g00346	1296	963.991	850.301	8.36941
MvSl-1064-A1-R4_A1g00347	5645	5312.99	24.9608	0.0373044
MvSl-1064-A1-R4_A1g00348	1602	1269.99	2415.22	14.5733
MvSl-1064-A1-R4_A1g00349	1747	1414.99	20314	104.893
MvSl-1064-A1-R4_A1g00350	2786	2453.99	593	2.17359
MvSl-1064-A1-R4_A1g00351	4538	4205.99	6610	13.2011
MvSl-1064-A1-R4_A1g00352	912	581.101	778	12.3451
MvSl-1064-A1-R4_A1g00353	2873	2540.99	1940.05	7.8089
MvSl-1064-A1-R4_A1g00354	159	21.4797	26.7248	14.3986
MvSl-1064-A1-R4_A1g00355	1134	801.991	9439.36	146.09
MvSl-1064-A1-R4_A1g00356	174	26.382	90.8272	34.5351
MvSl-1064-A1-R4_A1g00357	4807	4474.99	1874.23	4.24883
MvSl-1064-A1-R4_A1g00358	6732	6399.99	9653.28	11.0141
MvSl-1064-A1-R4_A1g00359	2026	1693.99	7531	40.3072
MvSl-1064-A1-R4_A1g00360	1749	1416.99	543.357	3.12818
MvSl-1064-A1-R4_A1g00361	4841	4508.99	3387.11	6.48727
MvSl-1064-A1-R4_A1g00362	588	275.919	33.869	1.06096
MvSl-1064-A1-R4_A1g00363	992	659.991	2617.72	45.4836
MvSl-1064-A1-R4_A1g00364	956	624.376	2309.97	45.6478
MvSl-1064-A1-R4_A1g00365	183	29.3886	6.67388	1.9217
MvSl-1064-A1-R4_A1g00366	2268	1935.99	1215.6	5.50756
MvSl-1064-A1-R4_A1g00367	1933	1600.99	342	1.85271
MvSl-1064-A1-R4_A1g00368	1460	1127.99	1241	10.5088
MvSl-1064-A1-R4_A1g00369	2329	1996.99	2374	10.9189
MvSl-1064-A1-R4_A1g00370	2361	2028.99	2394	10.1842
MvSl-1064-A1-R4_A1g00371	3974	3641.99	3179.27	7.64787
MvSl-1064-A1-R4_A1g00372	3029	2696.99	2958	9.59752
MvSl-1064-A1-R4_A1g00373	1365	1032.99	690	6.84079
MvSl-1064-A1-R4_A1g00374	2398	2065.99	4438	15.8489
MvSl-1064-A1-R4_A1g00375	477	183.699	509.637	20.2717
MvSl-1064-A1-R4_A1g00376	1297	964.991	27.14	0.230105
MvSl-1064-A1-R4_A1g00377	1121	788.991	36.207	0.531883
MvSl-1064-A1-R4_A1g00378	278	60.9234	16	2.20439
MvSl-1064-A1-R4_A1g00379	171	25.706	37	10.7001
MvSl-1064-A1-R4_A1g00380	640	322.036	1755.58	47.258
MvSl-1064-A1-R4_A1g00381	180	28.4097	0	0
MvSl-1064-A1-R4_A1g00382	1566	1233.99	446.634	2.7998
MvSl-1064-A1-R4_A1g00383	635	317.631	1569	35.5705
MvSl-1064-A1-R4_A1g00384	420	140.945	1	0.0574204
MvSl-1064-A1-R4_A1g00385	159	21.4797	0	0.76096
MvSl-1064-A1-R4_A1g00386	159	21.4797	13	3.29346
MvSl-1064-A1-R4_A1g00387	1365	1032.99	66.1779	0.460044
MvSl-1064-A1-R4_A1g00388	838	508.678	89.6063	1.42427
MvSl-1064-A1-R4_A1g00389	2304	1971.99	2203.45	9.14127
MvSl-1064-A1-R4_A1g00390	1414	1081.99	676	4.9986
MvSl-1064-A1-R4_A1g00391	2382	2049.99	2445	9.75194
