a1	cdsa1	a2	cdsa2	cdsa2	prota1	prota2	protdiff
MvSl-1064-A1-R4_A1g00059	207	MvSl-1064-A2-R4_A2g00059	207	0	68	68	0
MvSl-1064-A1-R4_A1g00060	1553	MvSl-1064-A2-R4_A2g00060	1553	0	317	317	0
MvSl-1064-A1-R4_A1g00061	961	MvSl-1064-A2-R4_A2g00061	960	1	219	219	0
MvSl-1064-A1-R4_A1g00062	2790	MvSl-1064-A2-R4_A2g00062	2790	0	714	714	0
MvSl-1064-A1-R4_A1g00063	1276	MvSl-1064-A2-R4_A2g00063	1275	1	316	316	0
MvSl-1064-A1-R4_A1g00064	1154	MvSl-1064-A2-R4_A2g00064	1154	0	232	232	0
MvSl-1064-A1-R4_A1g00065	2769	MvSl-1064-A2-R4_A2g00065	2768	1	649	649	0
MvSl-1064-A1-R4_A1g00066	701	MvSl-1064-A2-R4_A2g00066	701	0	184	184	0
MvSl-1064-A1-R4_A1g00067	2196	MvSl-1064-A2-R4_A2g00067	2196	0	451	451	0
MvSl-1064-A1-R4_A1g00068	1568	MvSl-1064-A2-R4_A2g00068	1568	0	397	397	0
MvSl-1064-A1-R4_A1g00069	4486	MvSl-1064-A2-R4_A2g00069	4486	0	1429	1429	0
MvSl-1064-A1-R4_A1g00070	2841	MvSl-1064-A2-R4_A2g00070	2841	0	918	918	0
MvSl-1064-A1-R4_A1g00071	1878	MvSl-1064-A2-R4_A2g00071	1878	0	495	495	0
MvSl-1064-A1-R4_A1g00072	2433	MvSl-1064-A2-R4_A2g00072	2433	0	663	663	0
MvSl-1064-A1-R4_A1g00073	1451	MvSl-1064-A2-R4_A2g00073	1451	0	375	375	0
MvSl-1064-A1-R4_A1g00074	3085	MvSl-1064-A2-R4_A2g00074	3085	0	613	613	0
MvSl-1064-A1-R4_A1g00075	1898	MvSl-1064-A2-R4_A2g00075	1898	0	433	433	0
MvSl-1064-A1-R4_A1g00076	2705	MvSl-1064-A2-R4_A2g00076	2705	0	859	859	0
MvSl-1064-A1-R4_A1g00077	1476	MvSl-1064-A2-R4_A2g00077	1476	0	460	460	0
MvSl-1064-A1-R4_A1g00078	462	MvSl-1064-A2-R4_A2g00078	462	0	153	153	0
MvSl-1064-A1-R4_A1g00079	5003	MvSl-1064-A2-R4_A2g00079	5002	1	1388	1388	0
MvSl-1064-A1-R4_A1g00080	732	MvSl-1064-A2-R4_A2g00080	732	0	151	151	0
MvSl-1064-A1-R4_A1g00081	1764	MvSl-1064-A2-R4_A2g00081	1762	2	363	363	0
MvSl-1064-A1-R4_A1g00083	1778	MvSl-1064-A2-R4_A2g00083	1782	-4	343	343	0
MvSl-1064-A1-R4_A1g00084	402	MvSl-1064-A2-R4_A2g00084	396	6	106	104	2
MvSl-1064-A1-R4_A1g00106	1602	MvSl-1064-A2-R4_A2g00116	1630	-28	452	452	0
MvSl-1064-A1-R4_A1g00107	2314	MvSl-1064-A2-R4_A2g00117	2314	0	444	444	0
MvSl-1064-A1-R4_A1g00108	168	MvSl-1064-A2-R4_A2g00118	168	0	55	55	0
MvSl-1064-A1-R4_A1g00109	859	MvSl-1064-A2-R4_A2g00119	847	12	238	234	4
MvSl-1064-A1-R4_A1g00110	2972	MvSl-1064-A2-R4_A2g00120	2972	0	856	856	0
MvSl-1064-A1-R4_A1g00111	196	MvSl-1064-A2-R4_A2g00121	196	0	40	40	0
MvSl-1064-A1-R4_A1g00112	620	MvSl-1064-A2-R4_A2g00122	684	-64	107	113	-6
MvSl-1064-A1-R4_A1g00113	2868	MvSl-1064-A2-R4_A2g00123	2868	0	899	899	0
MvSl-1064-A1-R4_A1g00367	1933	MvSl-1064-A2-R4_A2g00124	1933	0	543	543	0
MvSl-1064-A1-R4_A1g00368	1460	MvSl-1064-A2-R4_A2g00125	1461	-1	400	400	0
MvSl-1064-A1-R4_A1g00369	2329	MvSl-1064-A2-R4_A2g00126	2329	0	649	649	0
MvSl-1064-A1-R4_A1g00370	2361	MvSl-1064-A2-R4_A2g00127	2343	18	678	672	6
MvSl-1064-A1-R4_A1g00371	3974	MvSl-1064-A2-R4_A2g00128	3925	49	1141	1130	11
MvSl-1064-A1-R4_A1g00372	3029	MvSl-1064-A2-R4_A2g00129	3023	6	877	875	2
MvSl-1064-A1-R4_A1g00373	1365	MvSl-1064-A2-R4_A2g00130	1365	0	354	354	0
MvSl-1064-A1-R4_A1g00374	2398	MvSl-1064-A2-R4_A2g00131	2398	0	703	703	0
MvSl-1064-A1-R4_A1g00375	477	MvSl-1064-A2-R4_A2g00132	492	-15	133	138	-5
MvSl-1064-A1-R4_A1g01392	3932	MvSl-1064-A2-R4_A2g00153	3932	0	1213	1207	6
MvSl-1064-A1-R4_A1g01393	1368	MvSl-1064-A2-R4_A2g00154	1648	-280	401	471	-70
MvSl-1064-A1-R4_A1g00290	3584	MvSl-1064-A2-R4_A2g00169	3582	2	1078	1078	0
MvSl-1064-A1-R4_A1g00772	1280	MvSl-1064-A2-R4_A2g00179	1280	0	343	360	-17
MvSl-1064-A1-R4_A1g01389	294	MvSl-1064-A2-R4_A2g00185	288	6	97	95	2
MvSl-1064-A1-R4_A1g01388	2378	MvSl-1064-A2-R4_A2g00186	2705	-327	748	858	-110
MvSl-1064-A1-R4_A1g01252	1487	MvSl-1064-A2-R4_A2g00195	1484	3	321	294	27
MvSl-1064-A1-R4_A1g01253	969	MvSl-1064-A2-R4_A2g00196	890	79	182	169	13
MvSl-1064-A1-R4_A1g00800	2157	MvSl-1064-A2-R4_A2g00203	2239	-82	445	457	-12
MvSl-1064-A1-R4_A1g00801	1199	MvSl-1064-A2-R4_A2g00204	1199	0	348	348	0
MvSl-1064-A1-R4_A1g00808	689	MvSl-1064-A2-R4_A2g00206	543	146	180	112	68
MvSl-1064-A1-R4_A1g00589	324	MvSl-1064-A2-R4_A2g00207	379	-55	89	101	-12
MvSl-1064-A1-R4_A1g00591	1332	MvSl-1064-A2-R4_A2g00208	1341	-9	443	446	-3
MvSl-1064-A1-R4_A1g00592	1520	MvSl-1064-A2-R4_A2g00209	1503	17	487	480	7
MvSl-1064-A1-R4_A1g00593	4108	MvSl-1064-A2-R4_A2g00210	4105	3	1188	1188	0
MvSl-1064-A1-R4_A1g00608	379	MvSl-1064-A2-R4_A2g00220	165	214	83	54	29
MvSl-1064-A1-R4_A1g00641	290	MvSl-1064-A2-R4_A2g00231	294	-4	53	54	-1
MvSl-1064-A1-R4_A1g00120	2241	MvSl-1064-A2-R4_A2g00240	2055	186	557	530	27
MvSl-1064-A1-R4_A1g00246	1381	MvSl-1064-A2-R4_A2g00241	1375	6	344	344	0
MvSl-1064-A1-R4_A1g00215	168	MvSl-1064-A2-R4_A2g00258	189	-21	55	62	-7
MvSl-1064-A1-R4_A1g00102	1546	MvSl-1064-A2-R4_A2g00279	1358	188	366	339	27
MvSl-1064-A1-R4_A1g00233	258	MvSl-1064-A2-R4_A2g00289	246	12	85	81	4
MvSl-1064-A1-R4_A1g00165	3167	MvSl-1064-A2-R4_A2g00290	3227	-60	889	904	-15
MvSl-1064-A1-R4_A1g00481	648	MvSl-1064-A2-R4_A2g00295	656	-8	182	174	8
MvSl-1064-A1-R4_A1g00718	1526	MvSl-1064-A2-R4_A2g00298	1525	1	460	460	0
MvSl-1064-A1-R4_A1g00254	2436	MvSl-1064-A2-R4_A2g00300	2459	-23	738	746	-8
MvSl-1064-A1-R4_A1g00359	2026	MvSl-1064-A2-R4_A2g00301	2025	1	340	340	0
MvSl-1064-A1-R4_A1g00281	4668	MvSl-1064-A2-R4_A2g00303	4423	245	1324	1289	35
MvSl-1064-A1-R4_A1g00280	5043	MvSl-1064-A2-R4_A2g00304	5043	0	1470	1470	0
MvSl-1064-A1-R4_A1g00648	1838	MvSl-1064-A2-R4_A2g00314	1847	-9	502	505	-3
MvSl-1064-A1-R4_A1g00647	1303	MvSl-1064-A2-R4_A2g00315	1184	119	286	225	61
MvSl-1064-A1-R4_A1g00778	3022	MvSl-1064-A2-R4_A2g00328	3021	1	827	826	1
MvSl-1064-A1-R4_A1g00779	3996	MvSl-1064-A2-R4_A2g00329	3961	35	1011	1002	9
MvSl-1064-A1-R4_A1g01282	1020	MvSl-1064-A2-R4_A2g00349	1018	2	224	224	0
MvSl-1064-A1-R4_A1g00869	2678	MvSl-1064-A2-R4_A2g00351	2670	8	609	609	0
MvSl-1064-A1-R4_A1g00405	2048	MvSl-1064-A2-R4_A2g00365	2048	0	548	548	0
MvSl-1064-A1-R4_A1g00404	1153	MvSl-1064-A2-R4_A2g00366	1147	6	266	264	2
MvSl-1064-A1-R4_A1g00403	4496	MvSl-1064-A2-R4_A2g00367	4496	0	1342	1342	0
MvSl-1064-A1-R4_A1g00402	4930	MvSl-1064-A2-R4_A2g00368	4912	18	1560	1530	30
MvSl-1064-A1-R4_A1g00401	1370	MvSl-1064-A2-R4_A2g00369	1367	3	331	330	1
MvSl-1064-A1-R4_A1g00400	3003	MvSl-1064-A2-R4_A2g00370	3000	3	787	787	0
MvSl-1064-A1-R4_A1g00399	632	MvSl-1064-A2-R4_A2g00371	632	0	160	160	0
MvSl-1064-A1-R4_A1g00398	1107	MvSl-1064-A2-R4_A2g00372	1107	0	123	123	0
MvSl-1064-A1-R4_A1g00397	738	MvSl-1064-A2-R4_A2g00373	737	1	124	124	0
MvSl-1064-A1-R4_A1g00396	1300	MvSl-1064-A2-R4_A2g00374	1300	0	293	293	0
MvSl-1064-A1-R4_A1g00395	4751	MvSl-1064-A2-R4_A2g00375	4751	0	1363	1363	0
MvSl-1064-A1-R4_A1g00394	670	MvSl-1064-A2-R4_A2g00376	670	0	114	114	0
MvSl-1064-A1-R4_A1g00393	204	MvSl-1064-A2-R4_A2g00377	204	0	67	67	0
MvSl-1064-A1-R4_A1g00392	329	MvSl-1064-A2-R4_A2g00378	329	0	65	65	0
MvSl-1064-A1-R4_A1g00391	2382	MvSl-1064-A2-R4_A2g00379	2375	7	588	616	-28
MvSl-1064-A1-R4_A1g00390	1414	MvSl-1064-A2-R4_A2g00380	1417	-3	377	377	0
MvSl-1064-A1-R4_A1g00389	2304	MvSl-1064-A2-R4_A2g00383	1222	1082	385	300	85
MvSl-1064-A1-R4_A1g00384	420	MvSl-1064-A2-R4_A2g00387	254	166	74	53	21
MvSl-1064-A1-R4_A1g00383	635	MvSl-1064-A2-R4_A2g00388	673	-38	162	171	-9
MvSl-1064-A1-R4_A1g00380	640	MvSl-1064-A2-R4_A2g00393	640	0	72	72	0
MvSl-1064-A1-R4_A1g00379	171	MvSl-1064-A2-R4_A2g00394	171	0	56	56	0
MvSl-1064-A1-R4_A1g01189	1202	MvSl-1064-A2-R4_A2g00403	1206	-4	347	347	0
MvSl-1064-A1-R4_A1g01375	1315	MvSl-1064-A2-R4_A2g00417	1415	-100	390	427	-37
MvSl-1064-A1-R4_A1g01376	3313	MvSl-1064-A2-R4_A2g00418	3934	-621	840	913	-73
MvSl-1064-A1-R4_A1g01378	638	MvSl-1064-A2-R4_A2g00420	353	285	156	80	76
MvSl-1064-A1-R4_A1g00624	1522	MvSl-1064-A2-R4_A2g00431	1467	55	256	257	-1
MvSl-1064-A1-R4_A1g00185	3850	MvSl-1064-A2-R4_A2g00443	3859	-9	926	926	0
MvSl-1064-A1-R4_A1g00186	1850	MvSl-1064-A2-R4_A2g00444	1850	0	450	450	0
MvSl-1064-A1-R4_A1g01383	2593	MvSl-1064-A2-R4_A2g00527	2613	-20	678	674	4
MvSl-1064-A1-R4_A1g00230	1166	MvSl-1064-A2-R4_A2g00529	1407	-241	229	321	-92
MvSl-1064-A1-R4_A1g00355	1134	MvSl-1064-A2-R4_A2g00539	1188	-54	194	231	-37
MvSl-1064-A1-R4_A1g00568	627	MvSl-1064-A2-R4_A2g00548	207	420	131	68	63
MvSl-1064-A1-R4_A1g00575	3790	MvSl-1064-A2-R4_A2g00559	3809	-19	991	994	-3
MvSl-1064-A1-R4_A1g00576	486	MvSl-1064-A2-R4_A2g00560	411	75	161	136	25
MvSl-1064-A1-R4_A1g00757	1092	MvSl-1064-A2-R4_A2g00565	904	188	297	284	13
MvSl-1064-A1-R4_A1g00756	216	MvSl-1064-A2-R4_A2g00566	216	0	71	71	0
MvSl-1064-A1-R4_A1g00752	1361	MvSl-1064-A2-R4_A2g00568	2301	-940	410	599	-189
MvSl-1064-A1-R4_A1g00751	3646	MvSl-1064-A2-R4_A2g00569	3643	3	972	971	1
MvSl-1064-A1-R4_A1g00750	2505	MvSl-1064-A2-R4_A2g00570	2505	0	728	728	0
MvSl-1064-A1-R4_A1g00749	3514	MvSl-1064-A2-R4_A2g00576	3496	18	1116	1110	6
MvSl-1064-A1-R4_A1g00745	718	MvSl-1064-A2-R4_A2g00577	1175	-457	164	294	-130
MvSl-1064-A1-R4_A1g01135	1040	MvSl-1064-A2-R4_A2g00602	1242	-202	265	384	-119
MvSl-1064-A1-R4_A1g00245	357	MvSl-1064-A2-R4_A2g00611	357	0	94	94	0
MvSl-1064-A1-R4_A1g00635	2552	MvSl-1064-A2-R4_A2g00615	2362	190	628	553	75
MvSl-1064-A1-R4_A1g00241	1041	MvSl-1064-A2-R4_A2g00643	1029	12	346	342	4
MvSl-1064-A1-R4_A1g00242	913	MvSl-1064-A2-R4_A2g00644	914	-1	191	191	0
MvSl-1064-A1-R4_A1g00243	478	MvSl-1064-A2-R4_A2g00645	570	-92	130	151	-21
MvSl-1064-A1-R4_A1g00270	1767	MvSl-1064-A2-R4_A2g00647	1770	-3	380	380	0
MvSl-1064-A1-R4_A1g00269	3649	MvSl-1064-A2-R4_A2g00651	2840	809	1021	804	217
MvSl-1064-A1-R4_A1g00292	2365	MvSl-1064-A2-R4_A2g00711	2364	1	547	547	0
MvSl-1064-A1-R4_A1g00406	623	MvSl-1064-A2-R4_A2g00732	623	0	179	179	0
MvSl-1064-A1-R4_A1g00441	1855	MvSl-1064-A2-R4_A2g00737	1854	1	342	342	0
MvSl-1064-A1-R4_A1g00144	838	MvSl-1064-A2-R4_A2g00759	826	12	157	160	-3
MvSl-1064-A1-R4_A1g01369	2411	MvSl-1064-A2-R4_A2g00773	2389	22	631	609	22
MvSl-1064-A1-R4_A1g01368	6067	MvSl-1064-A2-R4_A2g00774	6071	-4	1872	1851	21
MvSl-1064-A1-R4_A1g01367	1824	MvSl-1064-A2-R4_A2g00775	1816	8	542	581	-39
MvSl-1064-A1-R4_A1g01366	2415	MvSl-1064-A2-R4_A2g00776	2415	0	758	758	0
MvSl-1064-A1-R4_A1g01290	2096	MvSl-1064-A2-R4_A2g00797	2070	26	419	449	-30
MvSl-1064-A1-R4_A1g01288	813	MvSl-1064-A2-R4_A2g00799	813	0	270	270	0
MvSl-1064-A1-R4_A1g00327	991	MvSl-1064-A2-R4_A2g00818	991	0	207	215	-8
MvSl-1064-A1-R4_A1g00326	591	MvSl-1064-A2-R4_A2g00819	579	12	196	192	4
MvSl-1064-A1-R4_A1g01404	1178	MvSl-1064-A2-R4_A2g00821	1833	-655	368	610	-242
MvSl-1064-A1-R4_A1g01405	1580	MvSl-1064-A2-R4_A2g00822	864	716	344	219	125
MvSl-1064-A1-R4_A1g01137	2253	MvSl-1064-A2-R4_A2g00825	2249	4	595	597	-2
MvSl-1064-A1-R4_A1g01136	1104	MvSl-1064-A2-R4_A2g00826	1104	0	367	367	0
MvSl-1064-A1-R4_A1g00475	299	MvSl-1064-A2-R4_A2g00828	223	76	46	53	-7
MvSl-1064-A1-R4_A1g01154	937	MvSl-1064-A2-R4_A2g00832	937	0	184	184	0
MvSl-1064-A1-R4_A1g01159	1635	MvSl-1064-A2-R4_A2g00833	1635	0	424	424	0
MvSl-1064-A1-R4_A1g01160	2046	MvSl-1064-A2-R4_A2g00834	2043	3	474	473	1
MvSl-1064-A1-R4_A1g01161	1713	MvSl-1064-A2-R4_A2g00835	1449	264	478	390	88
MvSl-1064-A1-R4_A1g01162	697	MvSl-1064-A2-R4_A2g00836	671	26	186	177	9
MvSl-1064-A1-R4_A1g01163	1032	MvSl-1064-A2-R4_A2g00837	1028	4	227	226	1
MvSl-1064-A1-R4_A1g01212	3326	MvSl-1064-A2-R4_A2g00841	2998	328	922	846	76
MvSl-1064-A1-R4_A1g01049	327	MvSl-1064-A2-R4_A2g00858	804	-477	93	180	-87
MvSl-1064-A1-R4_A1g00533	1386	MvSl-1064-A2-R4_A2g00864	1888	-502	318	307	11
MvSl-1064-A1-R4_A1g00534	2124	MvSl-1064-A2-R4_A2g00865	2124	0	377	377	0
MvSl-1064-A1-R4_A1g00541	6343	MvSl-1064-A2-R4_A2g00866	6341	2	2042	2040	2
MvSl-1064-A1-R4_A1g00542	1491	MvSl-1064-A2-R4_A2g00867	1491	0	390	390	0
MvSl-1064-A1-R4_A1g00543	3065	MvSl-1064-A2-R4_A2g00868	3065	0	729	729	0
MvSl-1064-A1-R4_A1g00544	2050	MvSl-1064-A2-R4_A2g00869	2468	-418	580	640	-60
MvSl-1064-A1-R4_A1g00525	1345	MvSl-1064-A2-R4_A2g00886	1321	24	342	334	8
MvSl-1064-A1-R4_A1g00524	169	MvSl-1064-A2-R4_A2g00887	169	0	42	42	0
MvSl-1064-A1-R4_A1g00523	243	MvSl-1064-A2-R4_A2g00888	243	0	80	80	0
MvSl-1064-A1-R4_A1g00522	1765	MvSl-1064-A2-R4_A2g00889	1753	12	418	418	0
MvSl-1064-A1-R4_A1g00669	2338	MvSl-1064-A2-R4_A2g00902	2344	-6	711	725	-14
MvSl-1064-A1-R4_A1g00668	2873	MvSl-1064-A2-R4_A2g00904	2668	205	651	636	15
MvSl-1064-A1-R4_A1g00312	598	MvSl-1064-A2-R4_A2g00914	678	-80	159	185	-26
MvSl-1064-A1-R4_A1g00311	5269	MvSl-1064-A2-R4_A2g00915	5268	1	1497	1499	-2
MvSl-1064-A1-R4_A1g00842	2087	MvSl-1064-A2-R4_A2g00923	2065	22	466	519	-53
MvSl-1064-A1-R4_A1g00843	1375	MvSl-1064-A2-R4_A2g00924	1375	0	371	342	29
MvSl-1064-A1-R4_A1g00844	887	MvSl-1064-A2-R4_A2g00925	889	-2	258	258	0
MvSl-1064-A1-R4_A1g01021	994	MvSl-1064-A2-R4_A2g00954	1587	-593	246	304	-58
MvSl-1064-A1-R4_A1g01317	1528	MvSl-1064-A2-R4_A2g00957	1774	-246	270	310	-40
MvSl-1064-A1-R4_A1g01022	285	MvSl-1064-A2-R4_A2g00961	159	126	94	52	42
MvSl-1064-A1-R4_A1g00352	912	MvSl-1064-A2-R4_A2g00968	911	1	263	252	11
MvSl-1064-A1-R4_A1g00351	4538	MvSl-1064-A2-R4_A2g00969	4579	-41	1299	1300	-1
MvSl-1064-A1-R4_A1g00350	2786	MvSl-1064-A2-R4_A2g00970	2795	-9	824	907	-83
MvSl-1064-A1-R4_A1g00694	2652	MvSl-1064-A2-R4_A2g00975	2656	-4	781	782	-1
MvSl-1064-A1-R4_A1g00693	1498	MvSl-1064-A2-R4_A2g00976	1498	0	334	334	0
MvSl-1064-A1-R4_A1g00642	210	MvSl-1064-A2-R4_A2g00977	261	-51	69	86	-17
MvSl-1064-A1-R4_A1g00433	1921	MvSl-1064-A2-R4_A2g00993	1921	0	565	565	0
MvSl-1064-A1-R4_A1g00432	629	MvSl-1064-A2-R4_A2g00994	608	21	97	97	0
MvSl-1064-A1-R4_A1g00349	1747	MvSl-1064-A2-R4_A2g00995	1791	-44	290	270	20
MvSl-1064-A1-R4_A1g00644	2526	MvSl-1064-A2-R4_A2g01002	2400	126	789	784	5
MvSl-1064-A1-R4_A1g01129	2397	MvSl-1064-A2-R4_A2g01028	2564	-167	756	791	-35
MvSl-1064-A1-R4_A1g00835	404	MvSl-1064-A2-R4_A2g01032	389	15	90	83	7
MvSl-1064-A1-R4_A1g00845	4894	MvSl-1064-A2-R4_A2g01038	4885	9	1538	1506	32
MvSl-1064-A1-R4_A1g00163	296	MvSl-1064-A2-R4_A2g01041	296	0	79	79	0
MvSl-1064-A1-R4_A1g00546	490	MvSl-1064-A2-R4_A2g01042	586	-96	114	154	-40
MvSl-1064-A1-R4_A1g00407	958	MvSl-1064-A2-R4_A2g01066	1420	-462	263	446	-183
MvSl-1064-A1-R4_A1g01346	2631	MvSl-1064-A2-R4_A2g01083	1508	1123	242	165	77
MvSl-1064-A1-R4_A1g01358	520	MvSl-1064-A2-R4_A2g01109	544	-24	154	165	-11
MvSl-1064-A1-R4_A1g01359	1759	MvSl-1064-A2-R4_A2g01110	1816	-57	455	494	-39
MvSl-1064-A1-R4_A1g00854	3480	MvSl-1064-A2-R4_A2g01111	3476	4	900	860	40
MvSl-1064-A1-R4_A1g00853	3308	MvSl-1064-A2-R4_A2g01112	3327	-19	872	842	30
MvSl-1064-A1-R4_A1g01385	1698	MvSl-1064-A2-R4_A2g01134	1692	6	517	516	1
MvSl-1064-A1-R4_A1g01384	3104	MvSl-1064-A2-R4_A2g01135	3099	5	1008	989	19
MvSl-1064-A1-R4_A1g01431	6270	MvSl-1064-A2-R4_A2g01151	6013	257	1705	1644	61
MvSl-1064-A1-R4_A1g01432	841	MvSl-1064-A2-R4_A2g01152	840	1	167	167	0
MvSl-1064-A1-R4_A1g00997	2256	MvSl-1064-A2-R4_A2g01153	2430	-174	628	690	-62
MvSl-1064-A1-R4_A1g00998	1022	MvSl-1064-A2-R4_A2g01154	1022	0	230	230	0
MvSl-1064-A1-R4_A1g00956	2384	MvSl-1064-A2-R4_A2g01182	2432	-48	766	779	-13
MvSl-1064-A1-R4_A1g00957	925	MvSl-1064-A2-R4_A2g01186	924	1	237	237	0
MvSl-1064-A1-R4_A1g00958	2243	MvSl-1064-A2-R4_A2g01187	2242	1	649	649	0
MvSl-1064-A1-R4_A1g00959	193	MvSl-1064-A2-R4_A2g01188	261	-68	37	36	1
MvSl-1064-A1-R4_A1g00960	954	MvSl-1064-A2-R4_A2g01189	954	0	227	216	11
MvSl-1064-A1-R4_A1g00968	1090	MvSl-1064-A2-R4_A2g01198	1090	0	243	275	-32
MvSl-1064-A1-R4_A1g00184	513	MvSl-1064-A2-R4_A2g01227	511	2	87	87	0
