gene	haploid	cdslength	protleng	chr	chr1	DE_status	DE_status2	mean_exp	genelength	efflength	estcounts	meantpm
MvSl-1064-A1-R4_A1g00033	A1	956	266	bPAR	bPAR	NON	NON	4.44665	956	624.376	404	5.51451
MvSl-1064-A1-R4_A1g00035	A1	1386	461	bPAR	bPAR	NON	NON	5.32011	1386	1053.99	710	6.01535
MvSl-1064-A1-R4_A1g00036	A1	1473	397	bPAR	bPAR	NON	NON	5.33338	1473	1140.99	748	5.5988
MvSl-1064-A1-R4_A1g00037	A1	2592	806	bPAR	bPAR	NON	NON	4.79601	2592	2259.99	554	1.94897
MvSl-1064-A1-R4_A1g00039	A1	2917	611	bPAR	bPAR	NON	NON	8.25173	2917	2584.99	5457	18.7627
MvSl-1064-A1-R4_A1g00040	A1	1696	360	bPAR	bPAR	NON	NON	1.1263	1696	1363.99	36	0.243876
MvSl-1064-A1-R4_A1g00046	A1	1461	292	bPAR	bPAR	NON	NON	3.98661	1461	1128.99	314	2.21854
MvSl-1064-A1-R4_A1g00047	A1	1270	299	bPAR	bPAR	NON	NON	5.03772	1270	937.991	568	5.56508
MvSl-1064-A1-R4_A1g00048	A1	1572	523	bPAR	bPAR	NON	NON	4.8138	1572	1239.99	532	3.5896
MvSl-1064-A1-R4_A1g00049	A1	3176	873	bPAR	bPAR	NON	NON	5.34395	3176	2843.99	761	2.2641
MvSl-1064-A1-R4_A1g00050	A1	4700	1493	bPAR	bPAR	NON	NON	5.25409	4700	4367.99	496	1.48418
MvSl-1064-A1-R4_A1g00051	A1	1417	358	bPAR	bPAR	NON	NON	7.06914	1417	1084.99	2078	20.0436
MvSl-1064-A1-R4_A1g00052	A1	411	76	bPAR	bPAR	NON	NON	1.03456	411	134.803	33	2.24167
MvSl-1064-A1-R4_A1g00053	A1	1614	418	bPAR	bPAR	NON	NON	6.61109	1614	1281.99	1710	12.1371
MvSl-1064-A1-R4_A1g00054	A1	1704	388	bPAR	bPAR	NON	NON	2.36373	1704	1371.99	86	0.587908
MvSl-1064-A1-R4_A1g00055	A1	1431	428	bPAR	bPAR	NON	NON	5.14162	1431	1098.99	750	5.12037
MvSl-1064-A1-R4_A1g00056	A1	2299	576	bPAR	bPAR	NON	NON	8.49956	2299	1966.99	5526	29.9196
MvSl-1064-A1-R4_A1g00057	A1	324	107	bPAR	bPAR	NON	NON	4.56746	324	82.5238	384	44.5134
MvSl-1064-A1-R4_A1g00058	A1	278	49	bPAR	bPAR	NON	NON	0.912933	278	60.9234	29	4.5929
MvSl-1064-A1-R4_A1g00059	A1	207	68	bPAR	bPAR	NON	NON	3.21855	207	36.703	131.957	41.5577
MvSl-1064-A1-R4_A1g00060	A1	1553	317	bPAR	bPAR	NON	NON	2.85993	1553	1220.99	183	0.972628
MvSl-1064-A1-R4_A1g00061	A1	961	219	bPAR	bPAR	NON	NON	7.15309	961	629.251	2639	35.8519
MvSl-1064-A1-R4_A1g00062	A1	2790	714	bPAR	bPAR	NON	NON	6.00055	2790	2457.99	1195.34	4.13314
MvSl-1064-A1-R4_A1g00063	A1	1276	316	bPAR	bPAR	NON	NON	5.0366	1276	943.991	604	5.50547
MvSl-1064-A1-R4_A1g00064	A1	1154	232	bPAR	bPAR	NON	NON	8.1332	1154	821.991	5029	54.2809
MvSl-1064-A1-R4_A1g00065	A1	2769	649	bPAR	bPAR	NON	NON	7.36661	2769	2436.99	3216	10.7581
MvSl-1064-A1-R4_A1g00066	A1	701	184	bPAR	bPAR	NON	NON	8.0133	701	377.591	4558.52	107.952
MvSl-1064-A1-R4_A1g00067	A1	2196	451	bPAR	bPAR	NON	NON	1.30722	2196	1863.99	49	0.203254
MvSl-1064-A1-R4_A1g00068	A1	1568	397	bPAR	bPAR	NON	NON	0.889458	1568	1235.99	34	0.225523
MvSl-1064-A1-R4_A1g00069	A1	4486	1429	bPAR	bPAR	NON	NON	5.81618	4486	4153.99	1221	2.17125
MvSl-1064-A1-R4_A1g00070	A1	2841	918	bPAR	bPAR	NON	NON	7.39862	2841	2508.99	3237	10.6808
MvSl-1064-A1-R4_A1g00071	A1	1878	495	bPAR	bPAR	NON	NON	4.23528	1878	1545.99	342	1.92658
MvSl-1064-A1-R4_A1g00072	A1	2433	663	bPAR	bPAR	NON	NON	7.81151	2433	2100.99	5191	17.3113
MvSl-1064-A1-R4_A1g00073	A1	1451	375	bPAR	bPAR	Down	DE	4.57478	1451	1118.99	533	3.41568
MvSl-1064-A1-R4_A1g00074	A1	3085	613	bPAR	bPAR	NON	NON	8.9551	3085	2752.99	7463	29.4241
MvSl-1064-A1-R4_A1g00076	A1	2705	859	bPAR	bPAR	NON	NON	7.07177	2705	2372.99	2411	9.01613
MvSl-1064-A1-R4_A1g00077	A1	1476	460	bPAR	bPAR	NON	NON	6.59561	1476	1143.99	1703	13.4471
MvSl-1064-A1-R4_A1g00078	A1	462	153	bPAR	bPAR	Up	DE	7.5136	462	172.087	2962	166.118
MvSl-1064-A1-R4_A1g00079	A1	5003	1388	bPAR	bPAR	Up	DE	6.20536	5003	4670.99	1754	2.57166
MvSl-1064-A1-R4_A1g00080	A1	732	151	bPAR	bPAR	Up	DE	6.03296	732	407.237	1365	25.4588
MvSl-1064-A1-R4_A1g00081	A1	1764	363	faBlack	NRR	Up	DE	6.31169	1764	1431.99	1735.81	8.88861
MvSl-1064-A1-R4_A1g00106	A1	1602	452	faBlack	NRR	NON	NON	0.926313	1602	1269.99	32.3343	0.228534
MvSl-1064-A1-R4_A1g00107	A1	2314	444	faBlack	NRR	Up	DE	1.97046	2314	1981.99	75.9946	0.307326
MvSl-1064-A1-R4_A1g00108	A1	168	55	faBlack	NRR	NON	NON	5.0987	168	24.8977	546	225.686
MvSl-1064-A1-R4_A1g00109	A1	859	238	cGreen	NRR	NON	NON	7.10288	859	529.16	2188	41.7184
MvSl-1064-A1-R4_A1g00110	A1	2972	856	cGreen	NRR	NON	NON	8.08802	2972	2639.99	5446	16.3956
MvSl-1064-A1-R4_A1g00112	A1	620	107	cGreen	NRR	Down	DE	2.22216	620	304.534	115.276	2.46272
MvSl-1064-A1-R4_A1g00113	A1	2868	899	cGreen	NRR	NON	NON	7.96071	2868	2535.99	5284	15.6999
MvSl-1064-A1-R4_A1g00118	A1	826	230	faBlack	NRR	NON	NON	3.94276	826	496.982	277.664	4.86726
MvSl-1064-A1-R4_A1g00144	A1	838	157	faBlack	NRR	NON	NON	6.78608	838	508.678	1784	34.7181
MvSl-1064-A1-R4_A1g00153	A1	4773	1373	faBlack	NRR	NON	NON	7.96759	4773	4440.99	4945	8.96212
MvSl-1064-A1-R4_A1g00154	A1	790	220	faBlack	NRR	Up	DE	5.37663	790	462.618	739	14.1819
MvSl-1064-A1-R4_A1g00155	A1	1527	508	faBlack	NRR	NON	NON	6.07553	1527	1194.99	1124.04	9.02181
MvSl-1064-A1-R4_A1g00163	A1	296	79	faBlack	NRR	Up	DE	2.37989	296	68.421	99.1686	11.5579
MvSl-1064-A1-R4_A1g00165	A1	3167	889	faBlack	NRR	Up	DE	7.88292	3167	2834.99	4664	13.2363
MvSl-1064-A1-R4_A1g00175	A1	2780	840	gPurple	NRR	NON	NON	7.22224	2780	2447.99	2587	9.72587
MvSl-1064-A1-R4_A1g00184	A1	513	87	gPurple	NRR	NON	NON	6.12355	513	212.185	1293	51.0708
MvSl-1064-A1-R4_A1g00185	A1	3850	926	gPurple	NRR	NON	NON	8.19607	3850	3517.99	5402	13.25
MvSl-1064-A1-R4_A1g00186	A1	1850	450	gPurple	NRR	NON	NON	7.46662	1850	1517.99	3348	18.4984
MvSl-1064-A1-R4_A1g00215	A1	168	55	faBlack	NRR	NON	NON	3.50959	168	24.8977	195.897	73.6957
MvSl-1064-A1-R4_A1g00241	A1	1041	346	faBlack	NRR	Down	DE	7.20617	1041	708.991	2778	33.0268
MvSl-1064-A1-R4_A1g00242	A1	913	191	faBlack	NRR	Down	DE	5.27274	913	582.101	762	10.5107
MvSl-1064-A1-R4_A1g00245	A1	357	94	faBlack	NRR	NON	NON	4.8937	357	100.542	453	46.0643
MvSl-1064-A1-R4_A1g00246	A1	1381	344	faBlack	NRR	Down	DE	5.84973	1381	1048.99	1112	8.71553
MvSl-1064-A1-R4_A1g00254	A1	2436	738	faBlack	NRR	Up	DE	5.43568	2436	2103.99	912	3.27953
MvSl-1064-A1-R4_A1g00270	A1	1767	380	faBlack	NRR	Up	DE	5.98653	1767	1434.99	1194	7.00744
MvSl-1064-A1-R4_A1g00280	A1	5043	1470	faBlack	NRR	NON	NON	7.75692	5043	4710.99	3999	7.29707
MvSl-1064-A1-R4_A1g00281	A1	4668	1324	faBlack	NRR	NON	NON	6.37088	4668	4335.99	1662	3.03498
MvSl-1064-A1-R4_A1g00290	A1	3584	1078	faBlack	NRR	NON	NON	7.13811	3584	3251.99	2474	6.89943
MvSl-1064-A1-R4_A1g00292	A1	2365	547	faBlack	NRR	Up	DE	7.22122	2365	2032.99	2554	11.7152
MvSl-1064-A1-R4_A1g00307	A1	944	287	faBlack	NRR	NON	NON	6.77776	944	612.625	1913	28.4747
MvSl-1064-A1-R4_A1g00311	A1	5269	1497	faBlack	NRR	NON	NON	8.27128	5269	4936.99	6307	9.96988
MvSl-1064-A1-R4_A1g00312	A1	598	159	faBlack	NRR	Up	DE	9.31927	598	284.477	10019	358.204
MvSl-1064-A1-R4_A1g00326	A1	591	196	faBlack	NRR	Down	DE	-3.35702	591	278.569	0	0
MvSl-1064-A1-R4_A1g00327	A1	991	207	faBlack	NRR	NON	NON	4.2327	991	658.991	357	4.50238
MvSl-1064-A1-R4_A1g00351	A1	4538	1299	faBlack	NRR	NON	NON	8.4489	4538	4205.99	6610	13.2011
MvSl-1064-A1-R4_A1g00352	A1	912	263	faBlack	NRR	NON	NON	5.49701	912	581.101	778	12.3451
MvSl-1064-A1-R4_A1g00359	A1	2026	340	faBlack	NRR	NON	NON	8.74363	2026	1693.99	7531	40.3072
MvSl-1064-A1-R4_A1g00367	A1	1933	543	dRed	NRR	NON	NON	4.2295	1933	1600.99	342	1.85271
MvSl-1064-A1-R4_A1g00368	A1	1460	400	dRed	NRR	NON	NON	6.21284	1460	1127.99	1241	10.5088
MvSl-1064-A1-R4_A1g00369	A1	2329	649	dRed	NRR	NON	NON	7.09591	2329	1996.99	2374	10.9189
MvSl-1064-A1-R4_A1g00370	A1	2361	678	dRed	NRR	NON	NON	7.02343	2361	2028.99	2394	10.1842
MvSl-1064-A1-R4_A1g00371	A1	3974	1141	dRed	NRR	NON	NON	7.45264	3974	3641.99	3179.27	7.64787
MvSl-1064-A1-R4_A1g00372	A1	3029	877	dRed	NRR	NON	NON	7.34725	3029	2696.99	2958	9.59752
MvSl-1064-A1-R4_A1g00373	A1	1365	354	dRed	NRR	NON	NON	5.45468	1365	1032.99	690	6.84079
MvSl-1064-A1-R4_A1g00374	A1	2398	703	dRed	NRR	NON	NON	7.67469	2398	2065.99	4438	15.8489
MvSl-1064-A1-R4_A1g00375	A1	477	133	dRed	NRR	NON	NON	4.57409	477	183.699	509.637	20.2717
MvSl-1064-A1-R4_A1g00379	A1	171	56	dRed	NRR	NON	NON	0.835894	171	25.706	37	10.7001
MvSl-1064-A1-R4_A1g00380	A1	640	72	dRed	NRR	NON	NON	6.59571	640	322.036	1755.58	47.258
MvSl-1064-A1-R4_A1g00390	A1	1414	377	dRed	NRR	NON	NON	5.09269	1414	1081.99	676	4.9986
MvSl-1064-A1-R4_A1g00391	A1	2382	588	dRed	NRR	NON	NON	6.97601	2382	2049.99	2445	9.75194
MvSl-1064-A1-R4_A1g00394	A1	670	114	dRed	NRR	NON	NON	6.28567	670	349.18	1218	35.7689
MvSl-1064-A1-R4_A1g00395	A1	4751	1363	dRed	NRR	NON	NON	8.31047	4751	4418.99	6196	11.4193
MvSl-1064-A1-R4_A1g00396	A1	1300	293	dRed	NRR	NON	NON	7.64196	1300	967.991	3433	32.9008
MvSl-1064-A1-R4_A1g00397	A1	738	124	dRed	NRR	NON	NON	9.20386	738	412.779	9332	228.77
MvSl-1064-A1-R4_A1g00398	A1	1107	123	dRed	NRR	NON	NON	8.12088	1107	774.991	4924	57.1222
MvSl-1064-A1-R4_A1g00399	A1	632	160	dRed	NRR	NON	NON	7.90739	632	314.893	3616	122.961
MvSl-1064-A1-R4_A1g00400	A1	3003	787	dRed	NRR	Up	DE	5.20188	3003	2670.99	760	2.19207
MvSl-1064-A1-R4_A1g00401	A1	1370	331	dRed	NRR	NON	NON	7.46416	1370	1037.99	2470	28.2528
MvSl-1064-A1-R4_A1g00402	A1	4930	1560	dRed	NRR	NON	NON	7.88788	4930	4597.99	4416	8.18558
MvSl-1064-A1-R4_A1g00403	A1	4496	1342	dRed	NRR	NON	NON	6.94312	4496	4163.99	2205	4.70074
MvSl-1064-A1-R4_A1g00404	A1	1153	266	dRed	NRR	NON	NON	3.25203	1153	820.991	182	1.82323
MvSl-1064-A1-R4_A1g00405	A1	2048	548	dRed	NRR	NON	NON	4.91736	2048	1715.99	454	2.86268
MvSl-1064-A1-R4_A1g00406	A1	623	179	dRed	NRR	NON	NON	5.4273	623	307.279	738	22.1024
MvSl-1064-A1-R4_A1g00432	A1	629	97	faBlack	NRR	NON	NON	7.04245	629	312.283	2366	66.4915
MvSl-1064-A1-R4_A1g00433	A1	1921	565	faBlack	NRR	NON	NON	5.48775	1921	1588.99	904	4.48458
MvSl-1064-A1-R4_A1g00441	A1	1855	342	gPurple	NRR	NON	NON	5.36297	1855	1522.99	625.575	4.38467
MvSl-1064-A1-R4_A1g00478	A1	2475	739	fBlue	NRR	NON	NON	7.12428	2475	2142.99	2553.24	10.3436
MvSl-1064-A1-R4_A1g00481	A1	648	182	faBlack	NRR	NON	NON	3.14207	648	329.131	178.341	4.19543
MvSl-1064-A1-R4_A1g00495	A1	1318	342	fBlue	NRR	Up	DE	7.62627	1318	985.991	3895	31.8221
MvSl-1064-A1-R4_A1g00503	A1	2585	651	faBlack	NRR	NON	NON	6.40021	2585	2252.99	1424	5.99081
MvSl-1064-A1-R4_A1g00504	A1	1266	319	faBlack	NRR	NON	NON	3.63611	1266	933.991	220	2.10064
MvSl-1064-A1-R4_A1g00505	A1	3893	991	faBlack	NRR	NON	NON	6.32966	3893	3560.99	1974	3.70482
MvSl-1064-A1-R4_A1g00506	A1	2032	463	faBlack	NRR	NON	NON	4.94461	2032	1699.99	594	2.86907
MvSl-1064-A1-R4_A1g00507	A1	5459	1401	faBlack	NRR	NON	NON	5.87003	5459	5126.99	1302.31	1.83342
MvSl-1064-A1-R4_A1g00510	A1	960	319	faBlack	NRR	NON	NON	5.78679	960	628.314	1040	13.9097
MvSl-1064-A1-R4_A1g00511	A1	1593	353	faBlack	NRR	NON	NON	6.84203	1593	1260.99	2182	14.4365
MvSl-1064-A1-R4_A1g00512	A1	1362	207	faBlack	NRR	NON	NON	5.06025	1362	1029.99	636	5.12826
MvSl-1064-A1-R4_A1g00513	A1	2370	575	faBlack	NRR	NON	NON	5.75686	2370	2037.99	993	4.21004
MvSl-1064-A1-R4_A1g00514	A1	4883	1572	faBlack	NRR	NON	NON	8.17824	4883	4550.99	6467	10.246
MvSl-1064-A1-R4_A1g00516	A1	1773	327	faBlack	NRR	Up	DE	9.00577	1773	1440.99	8484	57.2036
MvSl-1064-A1-R4_A1g00517	A1	669	78	faBlack	NRR	NON	NON	8.62919	669	348.216	8202	179.932
MvSl-1064-A1-R4_A1g00518	A1	1840	424	faBlack	NRR	NON	NON	6.47379	1840	1507.99	1469	9.43992
MvSl-1064-A1-R4_A1g00519	A1	2159	695	faBlack	NRR	NON	NON	7.3177	2159	1826.99	3006	13.8641
MvSl-1064-A1-R4_A1g00520	A1	2112	655	faBlack	NRR	NON	NON	5.6604	2112	1779.99	880	4.52158
MvSl-1064-A1-R4_A1g00521	A1	2987	888	faBlack	NRR	NON	NON	6.11793	2987	2654.99	1020	4.2869
MvSl-1064-A1-R4_A1g00522	A1	1765	418	faBlack	NRR	Up	DE	2.27398	1765	1432.99	81	0.5281
MvSl-1064-A1-R4_A1g00525	A1	1345	342	faBlack	NRR	NON	NON	7.49626	1345	1012.99	3459	28.2844
MvSl-1064-A1-R4_A1g00532	A1	1937	620	faBlack	NRR	NON	NON	5.16366	1937	1604.99	667	3.53843
MvSl-1064-A1-R4_A1g00533	A1	1386	318	faBlack	NRR	NON	NON	6.06063	1386	1053.99	1216	10.048
MvSl-1064-A1-R4_A1g00534	A1	2124	377	faBlack	NRR	NON	NON	7.75529	2124	1791.99	4046	19.1473
MvSl-1064-A1-R4_A1g00541	A1	6343	2042	faBlack	NRR	NON	NON	6.28255	6343	6010.99	1910	2.1243
MvSl-1064-A1-R4_A1g00542	A1	1491	390	faBlack	NRR	NON	NON	5.03925	1491	1158.99	642	4.49419
MvSl-1064-A1-R4_A1g00543	A1	3065	729	faBlack	NRR	NON	NON	7.02619	3065	2732.99	2847	7.64823
MvSl-1064-A1-R4_A1g00544	A1	2050	580	faBlack	NRR	NON	NON	5.63937	2050	1717.99	867	4.61682
MvSl-1064-A1-R4_A1g00575	A1	3790	991	faBlack	NRR	NON	NON	7.63479	3790	3457.99	3865	9.13236
MvSl-1064-A1-R4_A1g00576	A1	486	161	faBlack	NRR	NON	NON	4.00066	486	190.847	363	13.2225
MvSl-1064-A1-R4_A1g00593	A1	4108	1188	fBlue	NRR	NON	NON	8.0334	4108	3775.99	5332	11.05
MvSl-1064-A1-R4_A1g00624	A1	1522	256	gPurple	NRR	Up	DE	7.88098	1522	1189.99	4110	31.5561
MvSl-1064-A1-R4_A1g00635	A1	2552	628	faBlack	NRR	Up	DE	4.67781	2552	2219.99	555.969	1.84252
MvSl-1064-A1-R4_A1g00641	A1	290	53	faBlack	NRR	Up	DE	3.92387	290	66.2788	234.492	35.9362
MvSl-1064-A1-R4_A1g00644	A1	2526	789	faBlack	NRR	Up	DE	5.55818	2526	2193.99	812	3.4204
MvSl-1064-A1-R4_A1g00645	A1	2976	842	faBlack	NRR	NON	NON	6.09457	2976	2643.99	1144	4.13295
MvSl-1064-A1-R4_A1g00646	A1	2263	696	faBlack	NRR	Up	DE	8.56593	2263	1930.99	6063	31.6278
MvSl-1064-A1-R4_A1g00648	A1	1838	502	faBlack	NRR	Down	DE	6.10116	1838	1505.99	1311	7.23049
MvSl-1064-A1-R4_A1g00668	A1	2873	651	eOrange	NRR	Up	DE	7.30375	2873	2540.99	2893.06	9.88014
MvSl-1064-A1-R4_A1g00669	A1	2338	711	eOrange	NRR	NON	NON	6.01191	2338	2005.99	1160	5.11041
MvSl-1064-A1-R4_A1g00693	A1	1498	334	faBlack	NRR	NON	NON	7.24269	1498	1165.99	2888	20.6132
MvSl-1064-A1-R4_A1g00694	A1	2652	781	faBlack	NRR	NON	NON	7.19115	2652	2319.99	2699	10.0055
MvSl-1064-A1-R4_A1g00718	A1	1526	460	faBlack	NRR	Down	DE	4.61018	1526	1193.99	406	3.26192
MvSl-1064-A1-R4_A1g00732	A1	1329	422	faBlack	NRR	NON	NON	6.55024	1329	996.991	1584	15.0061
MvSl-1064-A1-R4_A1g00749	A1	3514	1116	faBlack	NRR	NON	NON	7.67663	3514	3181.99	4808	10.4471
MvSl-1064-A1-R4_A1g00750	A1	2505	728	faBlack	NRR	NON	NON	6.03858	2505	2172.99	1352	4.81523
MvSl-1064-A1-R4_A1g00751	A1	3646	972	faBlack	NRR	NON	NON	8.22365	3646	3313.99	5810	14.3343
MvSl-1064-A1-R4_A1g00756	A1	216	71	faBlack	NRR	NON	NON	0.437223	216	39.1601	25	5.10468
MvSl-1064-A1-R4_A1g00757	A1	1092	297	faBlack	NRR	NON	NON	1.88795	1092	759.991	43.6817	0.820616
MvSl-1064-A1-R4_A1g00772	A1	1280	343	fBlue	NRR	NON	NON	4.27738	1280	947.991	269	3.38454
MvSl-1064-A1-R4_A1g00778	A1	3022	827	faBlack	NRR	NON	NON	4.58693	3022	2689.99	561	1.44528
MvSl-1064-A1-R4_A1g00779	A1	3996	1011	faBlack	NRR	NON	NON	7.67674	3996	3663.99	4004	8.87505
MvSl-1064-A1-R4_A1g00794	A1	691	113	faBlack	NRR	NON	NON	5.23834	691	368.39	685	16.1128
MvSl-1064-A1-R4_A1g00800	A1	2157	445	faBlack	NRR	Up	DE	7.16995	2157	1824.99	2430.23	12.6146
MvSl-1064-A1-R4_A1g00801	A1	1199	348	fBlue	NRR	NON	NON	3.65382	1199	866.991	190	2.34188
MvSl-1064-A1-R4_A1g00835	A1	404	90	faBlack	NRR	Down	DE	1.09865	404	130.105	31	2.47554
MvSl-1064-A1-R4_A1g00840	A1	1879	575	faBlack	NRR	NON	NON	6.58748	1879	1546.99	1756	9.8715
MvSl-1064-A1-R4_A1g00842	A1	2087	466	faBlack	NRR	NON	NON	7.59865	2087	1754.99	3164	17.7354
MvSl-1064-A1-R4_A1g00843	A1	1375	371	faBlack	NRR	NON	NON	4.212	1375	1042.99	308	2.82899
MvSl-1064-A1-R4_A1g00845	A1	4894	1538	faBlack	NRR	NON	NON	6.68877	4894	4561.99	2051	3.5947
MvSl-1064-A1-R4_A1g00853	A1	3308	872	gPurple	NRR	Up	DE	8.02149	3308	2975.99	4957	13.8703
MvSl-1064-A1-R4_A1g00854	A1	3480	900	gPurple	NRR	Down	DE	7.50358	3480	3147.99	3728	9.18483
MvSl-1064-A1-R4_A1g00869	A1	2678	609	faBlack	NRR	NON	NON	9.56132	2678	2345.99	11089	52.8674
MvSl-1064-A1-R4_A1g00886	A1	1930	611	faBlack	NRR	NON	NON	4.27201	1930	1597.99	359	1.91106
MvSl-1064-A1-R4_A1g00911	A1	791	87	faBlack	NRR	NON	NON	6.6911	791	463.618	1683	35.574
MvSl-1064-A1-R4_A1g00912	A1	1387	341	faBlack	NRR	NON	NON	5.54275	1387	1054.99	776	7.05906
MvSl-1064-A1-R4_A1g00920	A1	6438	1991	faBlack	NRR	Up	DE	6.16843	6438	6105.99	1499	1.87814
MvSl-1064-A1-R4_A1g00921	A1	2335	552	faBlack	NRR	NON	NON	7.34827	2335	2002.99	2893	12.9458
MvSl-1064-A1-R4_A1g00922	A1	1478	456	faBlack	NRR	NON	NON	6.42017	1478	1145.99	1571	11.8592
MvSl-1064-A1-R4_A1g00923	A1	312	103	faBlack	NRR	Down	DE	3.10884	312	76.1614	192	17.6215
MvSl-1064-A1-R4_A1g00956	A1	2384	766	faBlack	NRR	Down	DE	5.00345	2384	2051.99	530	2.49889
MvSl-1064-A1-R4_A1g00957	A1	925	237	faBlack	NRR	NON	NON	4.90728	925	593.867	546	7.99041
MvSl-1064-A1-R4_A1g00958	A1	2243	649	faBlack	NRR	NON	NON	7.09191	2243	1910.99	2426	11.357
MvSl-1064-A1-R4_A1g00959	A1	193	37	faBlack	NRR	Down	DE	3.71321	193	32.6882	246	64.0019
MvSl-1064-A1-R4_A1g00960	A1	954	227	faBlack	NRR	NON	NON	7.7993	954	622.501	4726	57.0919
MvSl-1064-A1-R4_A1g00968	A1	1090	243	faBlack	NRR	NON	NON	6.17246	1090	757.991	1504.89	15.1512
MvSl-1064-A1-R4_A1g00977	A1	1396	359	faBlack	NRR	NON	NON	3.9466	1396	1063.99	349.421	2.32694
MvSl-1064-A1-R4_A1g00997	A1	2256	628	fBlue	NRR	Up	DE	6.89267	2256	1923.99	2139	9.81713
MvSl-1064-A1-R4_A1g00998	A1	1022	230	fBlue	NRR	NON	NON	4.44409	1022	689.991	364	5.01946
MvSl-1064-A1-R4_A1g01017	A1	4845	1051	gPurple	NRR	NON	NON	8.34288	4845	4512.99	5621	11.48
MvSl-1064-A1-R4_A1g01127	A1	729	171	faBlack	NRR	NON	NON	0.740091	729	404.237	39.4131	0.635149
MvSl-1064-A1-R4_A1g01129	A1	2397	756	faBlack	NRR	NON	NON	7.16336	2397	2064.99	2704	11.0219
MvSl-1064-A1-R4_A1g01136	A1	1104	367	faBlack	NRR	Up	DE	4.57031	1104	771.991	576	5.01591
MvSl-1064-A1-R4_A1g01137	A1	2253	595	faBlack	NRR	Up	DE	6.91238	2253	1920.99	2278	9.95425
MvSl-1064-A1-R4_A1g01154	A1	937	184	fBlue	NRR	NON	NON	7.33479	937	605.747	2910	42.2874
