target_id	length	eff_length	est_counts	meantpm
MvSl-1064-A2-R4_A2g00080	732	395.856	570	22.6204
MvSl-1064-A2-R4_A2g00081	1762	1417.84	208.67	2.7397
MvSl-1064-A2-R4_A2g00082	219	38.9266	1	0.197817
MvSl-1064-A2-R4_A2g00083	1782	1437.84	1.06696	0.00571405
MvSl-1064-A2-R4_A2g00084	396	120.747	0	0
MvSl-1064-A2-R4_A2g00085	186	29.8902	0.4	0.103048
MvSl-1064-A2-R4_A2g00086	819	478.966	0.935186	0.0917615
MvSl-1064-A2-R4_A2g00087	6878	6533.84	108.931	0.488399
MvSl-1064-A2-R4_A2g00088	1905	1560.84	4.43665	0.0546683
MvSl-1064-A2-R4_A2g00089	203	34.9117	0	0
MvSl-1064-A2-R4_A2g00090	1905	1560.84	4.43665	0.0546683
MvSl-1064-A2-R4_A2g00091	203	34.9117	0	0
MvSl-1064-A2-R4_A2g00092	1905	1560.84	4.43665	0.0546683
MvSl-1064-A2-R4_A2g00093	203	34.9117	0	0
MvSl-1064-A2-R4_A2g00094	1905	1560.84	4.43665	0.0546683
MvSl-1064-A2-R4_A2g00095	203	34.9117	0	0
MvSl-1064-A2-R4_A2g00096	1905	1560.84	4.43665	0.021888
MvSl-1064-A2-R4_A2g00097	203	34.9117	0	0
MvSl-1064-A2-R4_A2g00098	1006	661.844	0	0.0062656
MvSl-1064-A2-R4_A2g00099	990	645.908	70	1.75277
MvSl-1064-A2-R4_A2g00100	222	39.7997	12.068	4.20815
MvSl-1064-A2-R4_A2g00101	378	109.502	7	1.17979
MvSl-1064-A2-R4_A2g00102	1240	895.844	0	0
MvSl-1064-A2-R4_A2g00103	235	43.8357	0	0
MvSl-1064-A2-R4_A2g00104	186	29.8902	0.4	0.103048
MvSl-1064-A2-R4_A2g00105	819	478.966	0.935186	0.0917615
MvSl-1064-A2-R4_A2g00106	6878	6533.84	108.931	0.488399
MvSl-1064-A2-R4_A2g00107	1905	1560.84	4.43665	0.021888
MvSl-1064-A2-R4_A2g00108	203	34.9117	0	0
MvSl-1064-A2-R4_A2g00109	1006	661.844	0	0.0062656
MvSl-1064-A2-R4_A2g00110	990	645.908	70	1.75277
MvSl-1064-A2-R4_A2g00111	222	39.7997	12.068	4.20815
MvSl-1064-A2-R4_A2g00112	378	109.502	7	1.17979
MvSl-1064-A2-R4_A2g00113	1240	895.844	0	0
MvSl-1064-A2-R4_A2g00114	235	43.8357	0	0
MvSl-1064-A2-R4_A2g00115	186	29.8902	0.4	0.103048
MvSl-1064-A2-R4_A2g00116	1630	1285.84	55.4767	0.769403
MvSl-1064-A2-R4_A2g00117	2314	1969.84	14.2629	0.121366
MvSl-1064-A2-R4_A2g00118	168	25.509	622	383.712
MvSl-1064-A2-R4_A2g00119	847	506.077	3014	83.3171
MvSl-1064-A2-R4_A2g00120	2972	2627.84	6731	42.9817
MvSl-1064-A2-R4_A2g00121	196	32.9221	1	0.958576
MvSl-1064-A2-R4_A2g00122	684	351.386	228.008	11.3554
MvSl-1064-A2-R4_A2g00123	2868	2523.84	5119	33.0089
MvSl-1064-A2-R4_A2g00124	1933	1588.84	276	2.80557
MvSl-1064-A2-R4_A2g00125	1461	1116.84	1790	22.5132
MvSl-1064-A2-R4_A2g00126	2329	1984.84	2930	22.7385
MvSl-1064-A2-R4_A2g00127	2343	1998.84	2675	21.6924
MvSl-1064-A2-R4_A2g00128	3925	3580.84	2994	13.7072
MvSl-1064-A2-R4_A2g00129	3023	2678.84	4014	23.668
MvSl-1064-A2-R4_A2g00130	1365	1020.84	1325	18.8299
MvSl-1064-A2-R4_A2g00131	2398	2053.84	4709	38.4862
MvSl-1064-A2-R4_A2g00132	492	186.938	272.769	29.0888
MvSl-1064-A2-R4_A2g00133	3166	2821.84	735.544	5.07933
MvSl-1064-A2-R4_A2g00134	385	114.067	129.576	22.874
MvSl-1064-A2-R4_A2g00135	1671	1326.84	271.508	3.07545
MvSl-1064-A2-R4_A2g00136	6694	6349.84	407.067	1.20128
MvSl-1064-A2-R4_A2g00137	231	42.5244	0	0
MvSl-1064-A2-R4_A2g00138	557	239.695	2.65776	0.273075
MvSl-1064-A2-R4_A2g00139	2838	2493.84	94.5647	1.05745
MvSl-1064-A2-R4_A2g00140	1874	1529.84	523.761	5.25832
MvSl-1064-A2-R4_A2g00141	150	20.1732	274.807	186.72
MvSl-1064-A2-R4_A2g00142	1767	1422.84	272.387	4.51669
MvSl-1064-A2-R4_A2g00143	1926	1581.84	5	0.0830182
MvSl-1064-A2-R4_A2g00144	2504	2159.84	76.2999	0.592128
MvSl-1064-A2-R4_A2g00145	249	47.8871	0	0
MvSl-1064-A2-R4_A2g00146	1309	964.844	7.64852	0.170203
MvSl-1064-A2-R4_A2g00147	297	65.9908	1.05684	0.12332
MvSl-1064-A2-R4_A2g00148	168	25.509	10.2304	5.42708
MvSl-1064-A2-R4_A2g00149	426	139.632	371	46.2653
MvSl-1064-A2-R4_A2g00150	2252	1907.84	432.134	4.23219
MvSl-1064-A2-R4_A2g00151	396	120.747	19.7267	2.63787
MvSl-1064-A2-R4_A2g00152	402	124.246	186	29.2529
MvSl-1064-A2-R4_A2g00153	3932	3587.84	1042	4.4093
MvSl-1064-A2-R4_A2g00154	1648	1303.84	2159	27.6959
MvSl-1064-A2-R4_A2g00155	1856	1511.84	19209.3	196.315
MvSl-1064-A2-R4_A2g00156	339	86.5532	330.778	65.8835
MvSl-1064-A2-R4_A2g00157	765	427.561	360.026	13.8344
MvSl-1064-A2-R4_A2g00158	4698	4353.84	515.869	2.4124
MvSl-1064-A2-R4_A2g00159	224	40.6492	17.7528	10.1847
MvSl-1064-A2-R4_A2g00160	1804	1459.84	690.415	7.72721
MvSl-1064-A2-R4_A2g00161	4911	4566.84	1794.08	5.98785
MvSl-1064-A2-R4_A2g00162	1302	957.844	248.727	4.98325
MvSl-1064-A2-R4_A2g00163	2172	1827.84	3216	25.1784
MvSl-1064-A2-R4_A2g00164	7674	7329.84	1409.61	3.28178
MvSl-1064-A2-R4_A2g00165	661	330.304	61.2188	3.59457
MvSl-1064-A2-R4_A2g00166	1397	1052.84	34.8934	0.660643
MvSl-1064-A2-R4_A2g00167	571	251.525	71.4083	6.13608
MvSl-1064-A2-R4_A2g00168	841	500.279	448.473	12.9352
MvSl-1064-A2-R4_A2g00169	3582	3237.84	3210	17.2472
MvSl-1064-A2-R4_A2g00170	999	654.844	491.733	12.1523
MvSl-1064-A2-R4_A2g00171	3703	3358.84	15636	74.8384
MvSl-1064-A2-R4_A2g00172	2815	2470.84	989.635	7.11914
MvSl-1064-A2-R4_A2g00173	293	64.031	475.845	123.071
MvSl-1064-A2-R4_A2g00174	365	101.05	2517.68	386.636
MvSl-1064-A2-R4_A2g00175	174	26.0434	62.4514	32.5939
MvSl-1064-A2-R4_A2g00176	1536	1191.84	11419.1	165.728
MvSl-1064-A2-R4_A2g00177	153	20.8982	198.653	132.96
MvSl-1064-A2-R4_A2g00178	737	400.695	1304	47.1072
MvSl-1064-A2-R4_A2g00179	1280	935.844	400	5.64069
MvSl-1064-A2-R4_A2g00180	223	40.1867	1.04238	0.411986
MvSl-1064-A2-R4_A2g00181	337	85.6006	0	0
MvSl-1064-A2-R4_A2g00182	1505	1160.84	43.7933	0.583222
MvSl-1064-A2-R4_A2g00183	938	594.338	954.681	25.9832
MvSl-1064-A2-R4_A2g00184	391	117.733	563.047	77.9886
MvSl-1064-A2-R4_A2g00185	288	61.8609	2204	499.89
MvSl-1064-A2-R4_A2g00186	2705	2360.84	1202	7.30328
MvSl-1064-A2-R4_A2g00187	2067	1722.84	1057.78	9.78981
MvSl-1064-A2-R4_A2g00188	159	23.0912	48	32.7459
MvSl-1064-A2-R4_A2g00189	4162	3817.84	3884.53	14.5663
MvSl-1064-A2-R4_A2g00190	234	43.6497	202.993	56.6283
MvSl-1064-A2-R4_A2g00191	697	363.364	353.479	12.9527
MvSl-1064-A2-R4_A2g00192	3413	3068.84	4737.92	17.9482
MvSl-1064-A2-R4_A2g00193	6032	5687.84	674.528	2.42021
MvSl-1064-A2-R4_A2g00194	497	190.622	143.82	16.1094
MvSl-1064-A2-R4_A2g00195	1484	1139.84	3184	44.224
MvSl-1064-A2-R4_A2g00196	890	547.602	1754	44.5735
MvSl-1064-A2-R4_A2g00197	222	39.7997	23.4101	9.94217
MvSl-1064-A2-R4_A2g00198	216	38.2035	35.6128	15.9543
MvSl-1064-A2-R4_A2g00199	4421	4076.84	797.955	3.28404
MvSl-1064-A2-R4_A2g00200	2992	2647.84	677.392	4.07836
MvSl-1064-A2-R4_A2g00201	2008	1663.84	1962.98	18.2073
MvSl-1064-A2-R4_A2g00202	969	624.972	179.09	4.6683
MvSl-1064-A2-R4_A2g00203	2239	1894.84	1793.51	14.8689
MvSl-1064-A2-R4_A2g00204	1199	854.844	319	5.08623
MvSl-1064-A2-R4_A2g00205	856	514.769	17	0.609168
MvSl-1064-A2-R4_A2g00206	543	227.766	28	1.96301
MvSl-1064-A2-R4_A2g00207	379	110.208	1	0.221861
MvSl-1064-A2-R4_A2g00208	1341	996.844	23	0.552232
MvSl-1064-A2-R4_A2g00209	1503	1158.84	213	4.02192
MvSl-1064-A2-R4_A2g00210	4105	3760.84	5533	25.1047
MvSl-1064-A2-R4_A2g00211	153	20.8982	0	0.82694
MvSl-1064-A2-R4_A2g00212	493	187.745	186.916	16.7873
MvSl-1064-A2-R4_A2g00213	999	654.844	297.372	7.29849
MvSl-1064-A2-R4_A2g00214	309	71.3909	131.135	25.1136
MvSl-1064-A2-R4_A2g00215	222	39.7997	3533.91	1524.96
MvSl-1064-A2-R4_A2g00216	5665	5320.84	9567.62	29.264
MvSl-1064-A2-R4_A2g00217	3531	3186.84	8.69288	0.0877885
MvSl-1064-A2-R4_A2g00218	3761	3416.84	89.494	0.503996
MvSl-1064-A2-R4_A2g00219	1719	1374.84	110.158	1.85028
MvSl-1064-A2-R4_A2g00220	165	25.3929	0	10.6402
MvSl-1064-A2-R4_A2g00221	276	57.4234	9.65796	2.47756
MvSl-1064-A2-R4_A2g00222	726	390.216	59.5439	2.53977
MvSl-1064-A2-R4_A2g00223	1182	837.844	9.12096	0.284198
MvSl-1064-A2-R4_A2g00224	198	33.9182	45.3561	17.4441
MvSl-1064-A2-R4_A2g00225	153	20.8982	55	42.1882
MvSl-1064-A2-R4_A2g00226	1065	720.844	2107.17	50.222
MvSl-1064-A2-R4_A2g00227	1489	1144.84	121.829	1.9991
MvSl-1064-A2-R4_A2g00228	639	310.382	5	0.177397
MvSl-1064-A2-R4_A2g00229	3650	3305.84	360.233	1.89566
MvSl-1064-A2-R4_A2g00230	809	469.395	199	6.20045
MvSl-1064-A2-R4_A2g00231	294	64.4006	64.575	17.3484
MvSl-1064-A2-R4_A2g00232	341	87.7317	16.0711	2.56338
MvSl-1064-A2-R4_A2g00233	615	289.23	0	0.143112
MvSl-1064-A2-R4_A2g00234	285	60.7523	0	0
MvSl-1064-A2-R4_A2g00235	2495	2150.84	7639.58	55.3997
MvSl-1064-A2-R4_A2g00236	999	654.844	1837	51.3555
MvSl-1064-A2-R4_A2g00237	5279	4934.84	676.43	2.12311
MvSl-1064-A2-R4_A2g00238	234	43.6497	3.5	2.06566
MvSl-1064-A2-R4_A2g00239	1590	1245.84	3704	45.6684
MvSl-1064-A2-R4_A2g00240	2055	1710.84	921.17	9.21604
MvSl-1064-A2-R4_A2g00241	1375	1030.84	2256.23	35.8003
MvSl-1064-A2-R4_A2g00242	541	226.087	229.279	14.4756
MvSl-1064-A2-R4_A2g00243	413	131.014	34.9618	3.22602
MvSl-1064-A2-R4_A2g00244	392	118.33	88.65	11.2084
MvSl-1064-A2-R4_A2g00245	180	27.6937	40.5	23.3289
MvSl-1064-A2-R4_A2g00246	1647	1302.84	2503.5	30.0636
MvSl-1064-A2-R4_A2g00247	3162	2817.84	1.22964	0.0226464
MvSl-1064-A2-R4_A2g00248	3897	3552.84	14.5984	0.0636835
MvSl-1064-A2-R4_A2g00249	345	89.7004	0	0
MvSl-1064-A2-R4_A2g00250	2505	2160.84	129.525	1.11821
MvSl-1064-A2-R4_A2g00251	5558	5213.84	82.6714	0.357038
MvSl-1064-A2-R4_A2g00252	813	473.205	30.1186	1.09109
MvSl-1064-A2-R4_A2g00253	1472	1127.84	139.589	2.65541
MvSl-1064-A2-R4_A2g00254	1434	1089.84	5414.95	66.4381
MvSl-1064-A2-R4_A2g00255	410	129.038	1.28495	0.157021
MvSl-1064-A2-R4_A2g00256	812	472.253	42.5175	1.27592
MvSl-1064-A2-R4_A2g00257	426	139.632	0	0.0633625
MvSl-1064-A2-R4_A2g00258	189	30.6841	147.918	77.9566
MvSl-1064-A2-R4_A2g00259	1124	779.844	1.23442	0.0121889
MvSl-1064-A2-R4_A2g00260	526	213.91	1.02665	0.0369574
MvSl-1064-A2-R4_A2g00261	2129	1784.84	3.72202	0.0377935
MvSl-1064-A2-R4_A2g00262	339	86.5532	0	0
MvSl-1064-A2-R4_A2g00263	1419	1074.84	35.0071	0.615163
MvSl-1064-A2-R4_A2g00264	9000	8655.84	301.113	0.654803
MvSl-1064-A2-R4_A2g00265	1871	1526.84	25.7329	0.278319
MvSl-1064-A2-R4_A2g00266	287	61.3907	1317.33	440.297
MvSl-1064-A2-R4_A2g00267	552	235.208	5	0.339423
MvSl-1064-A2-R4_A2g00268	1914	1569.84	2	0.0151011
MvSl-1064-A2-R4_A2g00269	3576	3231.84	41.0954	0.33674
MvSl-1064-A2-R4_A2g00270	791	452.235	0	0
MvSl-1064-A2-R4_A2g00271	786	447.462	22.5041	1.63631
MvSl-1064-A2-R4_A2g00272	6123	5778.84	63.6278	0.237111
MvSl-1064-A2-R4_A2g00273	1692	1347.84	289.237	3.66987
MvSl-1064-A2-R4_A2g00274	666	334.722	0	0
MvSl-1064-A2-R4_A2g00275	306	70.0087	0	0.435932
MvSl-1064-A2-R4_A2g00276	643	313.994	3	0.152841
MvSl-1064-A2-R4_A2g00277	4067	3722.84	15.8599	0.133765
MvSl-1064-A2-R4_A2g00278	3141	2796.84	60	0.417504
MvSl-1064-A2-R4_A2g00279	1358	1013.84	7	0.167745
MvSl-1064-A2-R4_A2g00280	4530	4185.84	22.5973	0.10609
MvSl-1064-A2-R4_A2g00281	255	49.7919	1.36348	1.5237
MvSl-1064-A2-R4_A2g00282	329	81.6159	291.43	59.2658
MvSl-1064-A2-R4_A2g00283	1156	811.844	1240.72	19.6944
MvSl-1064-A2-R4_A2g00284	350	92.4225	33.2557	5.70847
MvSl-1064-A2-R4_A2g00285	281	59.3777	0	0
MvSl-1064-A2-R4_A2g00286	4612	4267.84	53.3962	0.244704
MvSl-1064-A2-R4_A2g00287	513	203.161	0	0.0406231
MvSl-1064-A2-R4_A2g00288	2971	2626.84	34.0689	0.354859
MvSl-1064-A2-R4_A2g00289	246	46.9269	1	0.331708
MvSl-1064-A2-R4_A2g00290	3227	2882.84	3270	18.3214
MvSl-1064-A2-R4_A2g00291	189	30.6841	472	279.455
MvSl-1064-A2-R4_A2g00292	497	190.622	28.8654	3.54743
MvSl-1064-A2-R4_A2g00293	2042	1697.84	19.0898	0.171332
MvSl-1064-A2-R4_A2g00294	1437	1092.84	198.454	3.46078
MvSl-1064-A2-R4_A2g00295	656	325.642	198.302	9.42383
MvSl-1064-A2-R4_A2g00296	1559	1214.84	334.94	5.40004
MvSl-1064-A2-R4_A2g00297	3514	3169.84	3429.32	19.2267
MvSl-1064-A2-R4_A2g00298	1525	1180.84	1287	14.8509
MvSl-1064-A2-R4_A2g00299	4962	4617.84	3524.07	12.2588
MvSl-1064-A2-R4_A2g00300	2459	2114.84	207	1.89594
MvSl-1064-A2-R4_A2g00301	2025	1680.84	9157	73.856
MvSl-1064-A2-R4_A2g00302	150	20.1732	5	4.73813
MvSl-1064-A2-R4_A2g00303	4423	4078.84	1684	7.48241
MvSl-1064-A2-R4_A2g00304	5043	4698.84	5827	18.8173
MvSl-1064-A2-R4_A2g00305	321	77.4554	0	0
MvSl-1064-A2-R4_A2g00306	1252	907.844	833.457	14.4562
MvSl-1064-A2-R4_A2g00307	324	78.9861	78.1537	19.1484
MvSl-1064-A2-R4_A2g00308	994	649.844	713.719	17.2748
MvSl-1064-A2-R4_A2g00309	263	52.5209	5.19321	1.56719
MvSl-1064-A2-R4_A2g00310	363	99.8321	9.41674	1.44109
MvSl-1064-A2-R4_A2g00311	1252	907.844	510.492	9.00826
MvSl-1064-A2-R4_A2g00312	469	169.518	504.408	47.0692
MvSl-1064-A2-R4_A2g00313	2148	1803.84	363.133	4.07357
MvSl-1064-A2-R4_A2g00314	1847	1502.84	2318	24.977
MvSl-1064-A2-R4_A2g00315	1184	839.844	6955	121.595
MvSl-1064-A2-R4_A2g00316	1283	938.844	1941.71	32.0144
MvSl-1064-A2-R4_A2g00317	702	368.028	1	0.0659706
MvSl-1064-A2-R4_A2g00318	1731	1386.84	8	0.247888
MvSl-1064-A2-R4_A2g00319	4632	4287.84	251.596	1.47028
MvSl-1064-A2-R4_A2g00320	529	216.316	3.34904	0.329767
MvSl-1064-A2-R4_A2g00321	1998	1653.84	177.744	1.41892
MvSl-1064-A2-R4_A2g00322	4599	4254.84	14.1981	0.135175
MvSl-1064-A2-R4_A2g00323	6527	6182.84	3687.06	10.1143
MvSl-1064-A2-R4_A2g00324	4758	4413.84	8163	27.507
MvSl-1064-A2-R4_A2g00325	2766	2421.84	3520.61	22.5677
MvSl-1064-A2-R4_A2g00326	4455	4110.84	375.622	1.80776
MvSl-1064-A2-R4_A2g00327	1843	1498.84	841.457	8.50277
MvSl-1064-A2-R4_A2g00328	3021	2676.84	710	4.19168
MvSl-1064-A2-R4_A2g00329	3961	3616.84	6722	31.2593
MvSl-1064-A2-R4_A2g00330	1138	793.844	1356.45	36.1475
MvSl-1064-A2-R4_A2g00331	789	450.372	609.549	31.5197
MvSl-1064-A2-R4_A2g00332	402	124.246	30.0236	5.3175
MvSl-1064-A2-R4_A2g00333	477	175.493	76	7.24148
MvSl-1064-A2-R4_A2g00334	652	321.842	130	7.37866
MvSl-1064-A2-R4_A2g00335	2044	1699.84	30	0.350762
MvSl-1064-A2-R4_A2g00336	5118	4773.84	346.643	1.66864
MvSl-1064-A2-R4_A2g00337	2139	1794.84	0	0.0244512
MvSl-1064-A2-R4_A2g00338	252	48.694	4	2.04253
MvSl-1064-A2-R4_A2g00339	3779	3434.84	2598.5	13.3317
MvSl-1064-A2-R4_A2g00340	610	285.013	2799.8	159.995
MvSl-1064-A2-R4_A2g00341	547	231.017	13	1.01192
MvSl-1064-A2-R4_A2g00342	159	23.0912	36	30.6086
MvSl-1064-A2-R4_A2g00343	827	486.626	708.189	22.1618
MvSl-1064-A2-R4_A2g00344	428	140.948	315.761	33.3926
MvSl-1064-A2-R4_A2g00345	336	85.1941	434.019	86.2958
MvSl-1064-A2-R4_A2g00346	690	356.915	328.838	15.696
MvSl-1064-A2-R4_A2g00347	276	57.4234	0	0.292984
MvSl-1064-A2-R4_A2g00348	192	31.5615	3.16237	4.11566
MvSl-1064-A2-R4_A2g00349	1018	673.844	216.609	5.14213
MvSl-1064-A2-R4_A2g00350	285	60.7523	16.1484	4.36531
MvSl-1064-A2-R4_A2g00351	2670	2325.84	11202	67.8042
MvSl-1064-A2-R4_A2g00352	558	240.435	1196.33	87.377
MvSl-1064-A2-R4_A2g00353	5025	4680.84	977.036	3.86428
MvSl-1064-A2-R4_A2g00354	206	35.7338	7.21964	1.55577
MvSl-1064-A2-R4_A2g00355	3127	2782.84	1786.01	12.1439
MvSl-1064-A2-R4_A2g00356	2635	2290.84	1967.42	16.0322
MvSl-1064-A2-R4_A2g00357	1794	1449.84	330.872	3.5189
MvSl-1064-A2-R4_A2g00358	2472	2127.84	1093.75	8.52364
MvSl-1064-A2-R4_A2g00359	1488	1143.84	2158.28	40.4399
MvSl-1064-A2-R4_A2g00360	204	35.2191	1	2.92195
MvSl-1064-A2-R4_A2g00361	525	213.099	12	1.20837
MvSl-1064-A2-R4_A2g00362	471	170.956	8	1.1815
MvSl-1064-A2-R4_A2g00363	2966	2621.84	195.433	1.53087
MvSl-1064-A2-R4_A2g00364	1350	1005.84	24.5993	0.302084
MvSl-1064-A2-R4_A2g00365	2048	1703.84	477	4.30898
MvSl-1064-A2-R4_A2g00366	1147	802.844	266	5.10349
MvSl-1064-A2-R4_A2g00367	4496	4151.84	2003	7.45256
MvSl-1064-A2-R4_A2g00368	4912	4567.84	5038	17.8051
MvSl-1064-A2-R4_A2g00369	1367	1022.84	4000	48.6904
MvSl-1064-A2-R4_A2g00370	3000	2655.84	293	2.33432
MvSl-1064-A2-R4_A2g00371	632	304.371	6823	287.247
MvSl-1064-A2-R4_A2g00372	1107	762.844	5895	114.974
MvSl-1064-A2-R4_A2g00373	737	400.695	13479	478.493
MvSl-1064-A2-R4_A2g00374	1300	955.844	4211	65.0778
MvSl-1064-A2-R4_A2g00375	4751	4406.84	5745	20.9118
MvSl-1064-A2-R4_A2g00376	670	338.376	1940	80.0472
MvSl-1064-A2-R4_A2g00377	204	35.2191	2	1.11311
MvSl-1064-A2-R4_A2g00378	329	81.6159	3	0.58434
MvSl-1064-A2-R4_A2g00379	2375	2030.84	2847	22.0928
MvSl-1064-A2-R4_A2g00380	1417	1072.84	721	10.9371
MvSl-1064-A2-R4_A2g00381	4447	4102.84	3237.82	12.6645
MvSl-1064-A2-R4_A2g00382	2100	1755.84	499.745	4.53949
MvSl-1064-A2-R4_A2g00383	1222	877.844	502	9.50692
MvSl-1064-A2-R4_A2g00384	159	23.0912	0	0.357761
MvSl-1064-A2-R4_A2g00385	207	35.86	15	8.46739
MvSl-1064-A2-R4_A2g00386	159	23.0912	0	0.357761
MvSl-1064-A2-R4_A2g00387	254	49.4535	0	0
MvSl-1064-A2-R4_A2g00388	673	341.097	2576	135.203
MvSl-1064-A2-R4_A2g00389	1149	804.844	151.556	3.17352
MvSl-1064-A2-R4_A2g00390	842	501.229	98.6989	3.15735
MvSl-1064-A2-R4_A2g00391	1164	819.844	9.36764	0.226065
MvSl-1064-A2-R4_A2g00392	225	41.1369	0	0.38542
MvSl-1064-A2-R4_A2g00393	640	311.253	1415.9	75.8578
