gid	dn	dnse	ds	dsse	dnds	part8	youngold	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_MC12g11009	0	0	0.0008	0.0008	0	Auto	Auto	666047	667790	6.383542808	-0.082966675	0.082966675	0.664127352	0.999949922	6.251597687	6.426264777	6.484710509	6.361486638	NON	NON
MvSl-1064-A1-R4_MC06g07042	0	0	0.0009	0.0009	0	Auto	Auto	488793	489083	4.342312623	-0.372234776	0.372234776	0.172327132	0.719197391	4.318393525	3.950634929	4.660768401	4.356178349	NON	NON
MvSl-1064-A1-R4_A1g00506	0.0057	0.004	0.001	0.001	5.7	Black	OldStrata	2141875	2142896	4.983198703	-0.015811423	0.015811423	0.945549253	0.999949922	4.910025666	5.037775798	4.945916459	5.034974338	NON	NON
MvSl-1064-A1-R4_A1g00518	0.0027	0.0027	0.0011	0.0011	2.454545455	Black	OldStrata	2816107	2817007	6.42064297	-0.22566182	0.22566182	0.270681587	0.857375652	6.19594927	6.403960425	6.700618095	6.334243767	NON	NON
MvSl-1064-A1-R4_A1g00110	0.0013	0.0013	0.0011	0.0008	1.181818182	Green	ColorStrata	239159	240017	8.260723867	0.241287933	0.241287933	0.295178095	0.881068661	8.441379152	8.308037425	8.040323501	8.223930293	NON	NON
MvSl-1064-A1-R4_A1g00368	0.0059	0.0042	0.0012	0.0012	4.916666667	Red	ColorStrata	270179	271004	6.245731637	-0.043565528	0.043565528	0.839785025	0.999949922	6.019047064	6.403157428	6.422598566	6.09320606	NON	NON
MvSl-1064-A1-R4_A1g00395	0.0018	0.0013	0.0013	0.0007	1.384615385	Red	ColorStrata	856916	857392	8.227969264	-0.269694111	0.269694111	0.233764778	0.809418827	8.092731623	8.081102749	8.299084497	8.411801838	NON	NON
MvSl-1064-A1-R4_A1g00750	0.0032	0.0023	0.0013	0.0009	2.461538462	Black	OldStrata	1060653	1061300	6.097585204	0.014269393	0.014269393	0.943617205	0.999949922	6.170615659	6.035561532	5.951012977	6.217688522	NON	NON
MvSl-1064-A1-R4_A1g00519	0	0	0.0014	0.001	0	Black	OldStrata	2817417	2818269	7.209478113	-0.326955786	0.326955786	0.092780188	0.533232991	7.109155425	6.961056624	7.35774055	7.36973547	NON	NON
MvSl-1064-A1-R4_A1g01406	0.0028	0.0016	0.0015	0.0008	1.866666667	Black	OldStrata	2570487	2572532	11.19326598	-0.847111802	0.847111802	0.020176455	0.19826266	10.73863677	10.6776209	11.7091685	11.38354962	NON	NON
MvSl-1064-A1-R4_A1g00396	0	0	0.0015	0.0015	0	Red	ColorStrata	854394	856791	7.610864961	-0.169013158	0.169013158	0.422996231	0.963100667	7.406664777	7.63246924	7.814718323	7.559812667	NON	NON
MvSl-1064-A1-R4_A1g00113	0.0078	0.0035	0.0015	0.0008	5.2	Green	ColorStrata	244443	244638	7.979637652	-0.075035752	0.075035752	0.738768461	0.999949922	7.96674954	7.916131385	7.828952565	8.182794709	NON	NON
MvSl-1064-A1-R4_A1g00505	0	0	0.0015	0.0009	0	Black	OldStrata	2138970	2141225	5.214982344	-0.144290177	0.144290177	0.67522147	0.999949922	5.548320501	4.573009349	4.763151789	5.668397978	NON	NON
MvSl-1064-A1-R4_MC08g08560	0	0	0.0016	0.0016	0	Auto	Auto	775238	776424	3.897485548	-0.449300254	0.449300254	0.245898904	0.82491538	3.277251335	3.959401453	4.573285785	3.405005123	NON	NON
MvSl-1064-A1-R4_A1g00544	0.0066	0.0038	0.0016	0.0011	4.125	Black	OldStrata	1389234	1391759	5.724453495	0.079283405	0.079283405	0.705581617	0.999949922	5.700304384	5.823861874	5.788490022	5.57173491	NON	NON
MvSl-1064-A1-R4_A1g00543	0	0	0.0018	0.001	0	Black	OldStrata	1386919	1387128	7.10998025	0.054014046	0.054014046	0.797843208	0.999949922	7.226715631	7.040662416	6.847680948	7.284870798	NON	NON
MvSl-1064-A1-R4_MC01-1g01906	0.0058	0.003	0.002	0.001	2.9	Auto	Auto	252903	254669	6.588161536	0.099866244	0.099866244	0.592028225	0.993007798	6.657628645	6.616324886	6.545900699	6.528749632	NON	NON
MvSl-1064-A1-R4_A1g00503	0.0098	0.0044	0.0021	0.0012	4.666666667	Black	OldStrata	2085727	2087119	6.618833999	0.312841444	0.312841444	0.112546373	0.599839866	6.727499066	6.804447111	6.599074458	6.292389913	NON	NON
MvSl-1064-A1-R4_A1g00512	0	0	0.0022	0.0022	0	Black	OldStrata	2205155	2206148	5.143397092	0.047038026	0.047038026	0.833375382	0.999949922	5.108856861	5.222083239	5.09695005	5.142090814	NON	NON
MvSl-1064-A1-R4_A1g00534	0	0	0.0023	0.0017	0	Black	OldStrata	1360313	1362886	7.63040081	-0.344806798	0.344806798	0.088256902	0.520728635	7.376617118	7.515853555	7.795173008	7.78993464	NON	NON
MvSl-1064-A1-R4_MC12g11023	0.0066	0.0038	0.0023	0.0012	2.869565217	Auto	Auto	697220	699272	6.102073617	0.218330098	0.218330098	0.257230344	0.840298895	6.247116239	6.165305934	5.986519106	5.99100089	NON	NON
MvSl-1064-A1-R4_A1g01502	0.0011	0.0009	0.0023	0.0008	0.47826087	bPAR	bPAR	3368989	3374123	6.938801273	-0.099308012	0.099308012	0.615485575	0.993528898	6.994053997	6.774334029	6.824864653	7.133930818	NON	NON
MvSl-1064-A1-R4_A1g00405	0.0045	0.0032	0.0025	0.0015	1.8	Red	ColorStrata	795631	796542	4.746572492	-0.551722285	0.551722285	0.04209753	0.336977327	4.394932573	4.496773059	5.279788599	4.642984876	NON	NON
MvSl-1064-A1-R4_A1g01161	0.0082	0.0047	0.0025	0.0018	3.28	Blue	OldStrata	1278622	1279107	5.815680965	-0.232190071	0.232190071	0.259199933	0.841907382	5.601249332	5.783704593	5.894126752	5.95950894	NON	NON
MvSl-1064-A1-R4_A1g00801	0	0	0.0025	0.0018	0	Blue	OldStrata	547576	548488	3.716994031	-0.032184551	0.032184551	0.920597917	0.999949922	3.443160492	3.919525672	4.004173073	3.397504126	NON	NON
MvSl-1064-A1-R4_A1g01160	0.0031	0.0032	0.0027	0.0016	1.148148148	Blue	OldStrata	1274366	1278155	7.24373885	0.299223533	0.299223533	0.124292953	0.628778266	7.341312514	7.428184979	7.032992427	7.137875175	NON	NON
MvSl-1064-A1-R4_A1g00401	0	0	0.0028	0.002	0	Red	ColorStrata	838903	841231	7.406258472	-0.351049332	0.351049332	0.250598641	0.830238617	6.76371715	7.566580317	7.93396601	7.085154184	NON	NON
MvSl-1064-A1-R4_MC02g03759	0.0063	0.0051	0.0028	0.0023	2.25	Auto	Auto	1409980	1410630	6.544301325	0.015847224	0.015847224	0.933582491	0.999949922	6.535785018	6.568421736	6.63037236	6.435687961	NON	NON
MvSl-1064-A1-R4_A1g01351	0.0074	0.0074	0.0029	0.002	2.551724138	Black	OldStrata	3018297	3020055	10.24828619	-0.066627592	0.066627592	0.832387119	0.999949922	10.11316739	10.30935514	10.27492192	10.28748315	NON	NON
MvSl-1064-A1-R4_MC09-2g09152	0.0028	0.002	0.003	0.0013	0.933333333	Auto	Auto	559379	563059	2.609056045	-0.141237069	0.141237069	0.676389603	0.999949922	2.696263497	2.362488512	2.597835617	2.754356521	NON	NON
MvSl-1064-A1-R4_MC01-2g03154	0.0036	0.0036	0.0033	0.0023	1.090909091	Auto	Auto	3020115	3023750	7.457093905	-0.271873775	0.271873775	0.183475973	0.741637012	7.299939105	7.329780485	7.704337949	7.458470809	NON	NON
MvSl-1064-A1-R4_A1g00404	0	0	0.0033	0.0024	0	Red	ColorStrata	817323	819348	3.134550406	0.367701232	0.367701232	0.234555079	0.810841638	3.298197579	3.307670096	2.86319961	3.011832238	NON	NON
MvSl-1064-A1-R4_A1g00372	0.0036	0.0026	0.0034	0.0013	1.058823529	Red	ColorStrata	342659	343448	7.380390177	0.168740362	0.168740362	0.392387746	0.944737248	7.469184511	7.455165634	7.326549971	7.259751592	NON	NON
MvSl-1064-A1-R4_A1g00352	0.0415	0.016	0.0034	0.0024	12.20588235	Black	OldStrata	1593613	1594973	5.335915631	0.141113881	0.141113881	0.55327913	0.991963994	5.228260566	5.561340617	5.426076757	5.080186119	NON	NON
MvSl-1064-A1-R4_MC07g07862	0	0	0.0036	0.0026	0	Auto	Auto	768597	770579	1.798831448	0.604639834	0.604639834	0.130284698	0.641580217	1.939040069	2.164429209	1.763912422	1.093044126	NON	NON
MvSl-1064-A1-R4_A1g00077	0.0088	0.0047	0.0036	0.0019	2.444444444	bPAR	bPAR	173863	176567	6.61989281	-0.046850616	0.046850616	0.81113546	0.999949922	6.471926294	6.710856687	6.731254427	6.54920365	NON	NON
MvSl-1064-A1-R4_MC03g04676	0.0058	0.0029	0.0037	0.0014	1.567567568	Auto	Auto	1008854	1009327	7.951908469	-0.145028273	0.145028273	0.504796078	0.982488598	7.876202317	7.879072396	8.140191284	7.89455023	NON	NON
MvSl-1064-A1-R4_A1g00391	0.0096	0.0048	0.0037	0.0017	2.594594595	Red	ColorStrata	882195	884498	6.542804595	0.070339113	0.070339113	0.712053817	0.999949922	6.620689376	6.532889836	6.409127051	6.599104863	NON	NON
MvSl-1064-A1-R4_MC16g12176	0.0053	0.0028	0.0039	0.0017	1.358974359	Auto	Auto	10315	11362	6.013176796	0.312449109	0.312449109	0.13502592	0.64497063	6.219931222	6.098423478	5.654851406	6.019378625	NON	NON
MvSl-1064-A1-R4_A1g00912	0	0	0.004	0.0023	0	Black	OldStrata	3075092	3075729	5.500641209	-0.203998749	0.203998749	0.379512918	0.935410771	5.215471148	5.555570627	5.760472807	5.417106794	NON	NON
MvSl-1064-A1-R4_A1g00521	0.0026	0.0019	0.0042	0.0015	0.619047619	Black	OldStrata	2851861	2852673	6.067281417	-0.291387191	0.291387191	0.257982391	0.841469461	5.665799039	6.126912123	6.515210885	5.810733343	NON	NON
MvSl-1064-A1-R4_A1g01272	0.0234	0.0136	0.0048	0.0034	4.875	Black	OldStrata	2596448	2598123	9.29144902	0.130280609	0.130280609	0.672113449	0.999949922	9.062681933	9.598111376	9.4516614	8.955549294	NON	NON
MvSl-1064-A1-R4_A1g00211	0.0131	0.0044	0.0051	0.0017	2.568627451	Black	OldStrata	1148624	1150396	9.073264247	0.185227777	0.185227777	0.480912422	0.97871377	9.242404366	9.078698617	8.974637878	8.980709535	NON	NON
MvSl-1064-A1-R4_A1g01415	0.0223	0.0085	0.0052	0.0026	4.288461538	Black	OldStrata	411533	413382	6.905320965	0.39982018	0.39982018	0.041251598	0.331759087	6.920535641	7.243588431	6.652646148	6.729543489	NON	NON
MvSl-1064-A1-R4_A1g01348	0.0108	0.0041	0.0052	0.0017	2.076923077	Black	OldStrata	2998043	3000087	7.467088532	0.084837282	0.084837282	0.671371618	0.999949922	7.459532099	7.55650443	7.429333874	7.418727578	NON	NON
MvSl-1064-A1-R4_A1g00694	0.0175	0.0053	0.0053	0.0018	3.301886792	Black	OldStrata	1614331	1618375	7.344745525	0.19734445	0.19734445	0.315974492	0.898238153	7.383983812	7.493770894	7.263567805	7.221498732	NON	NON
MvSl-1064-A1-R4_A1g00441	0.0341	0.0115	0.0053	0.0027	6.433962264	Purple	OldStrata	1158935	1161921	5.448078664	-0.202459721	0.202459721	0.406724681	0.952516213	5.260636291	5.422416689	5.806413718	5.227065093	NON	NON
MvSl-1064-A1-R4_A1g01350	0.0119	0.0045	0.0054	0.0021	2.203703704	Black	OldStrata	3000503	3001944	6.055411418	-0.142316764	0.142316764	0.465907181	0.976188214	5.923421285	6.039700852	6.173423879	6.074512503	NON	NON
MvSl-1064-A1-R4_A1g00246	0.0169	0.0076	0.0055	0.0027	3.072727273	Black	OldStrata	616404	620052	6.804052816	1.489921975	1.489921975	1.13E-15	1.03E-13	7.381123455	7.345749247	5.832215722	5.916858268	Up	DE
MvSl-1064-A1-R4_A1g00528	0.0276	0.0139	0.0056	0.004	4.928571429	Black	OldStrata	3164779	3166951	3.099595878	0.697456225	0.697456225	0.031421832	0.272613007	3.359271189	3.438832055	2.904750081	2.483866404	NON	NON
MvSl-1064-A1-R4_A1g00359	0.0442	0.017	0.0059	0.0026	7.491525424	Black	OldStrata	667810	671393	8.673038109	-0.246336768	0.246336768	0.354792697	0.920996025	8.274592337	8.772094332	8.883730825	8.691807056	NON	NON
MvSl-1064-A1-R4_A1g00080	0	0	0.0061	0.0043	0	bPAR	bPAR	180716	185718	5.542369321	-1.367630539	1.367630539	5.04E-10	2.49E-08	4.671337984	4.740031501	5.91079222	6.21449043	Down	DE
MvSl-1064-A1-R4_MC10-2g09966	0.0106	0.0045	0.0061	0.0022	1.737704918	Auto	Auto	482581	484452	6.32819239	0.101362124	0.101362124	0.592824639	0.993007798	6.429046848	6.324759424	6.207027835	6.343056632	NON	NON
MvSl-1064-A1-R4_MC05-3g06663	0.003	0.003	0.0062	0.0028	0.483870968	Auto	Auto	459849	463932	2.437436247	0.0093139	0.0093139	0.978347973	0.999949922	2.552573137	2.322276386	2.349660208	2.511925948	NON	NON
MvSl-1064-A1-R4_A1g00390	0.0089	0.0051	0.0064	0.0028	1.390625	Red	ColorStrata	885400	886813	5.128558775	-0.022069907	0.022069907	0.922399937	0.999949922	5.142062711	5.092596165	5.053738443	5.220703378	NON	NON
MvSl-1064-A1-R4_A1g00646	0.0091	0.0041	0.0065	0.0021	1.4	Black	OldStrata	2916000	2917527	8.061495384	-1.506373241	1.506373241	1.16E-09	5.46E-08	6.997793444	7.234137364	8.839052054	8.377183037	Down	DE
MvSl-1064-A1-R4_A1g00751	0.0079	0.003	0.0065	0.0018	1.215384615	Black	OldStrata	1054963	1057437	8.124435473	-0.32701583	0.32701583	0.142517992	0.656156805	8.026807877	7.872705603	8.227208051	8.328461098	NON	NON
MvSl-1064-A1-R4_MC08g08440	0.0092	0.0056	0.0065	0.0028	1.415384615	Auto	Auto	490317	491758	4.591366856	-0.229813521	0.229813521	0.374699946	0.934727118	4.301203313	4.62627845	4.826680933	4.564776917	NON	NON
MvSl-1064-A1-R4_A1g00389	0.0033	0.0036	0.0065	0.0032	0.507692308	Red	ColorStrata	889992	892373	4.723334071	-0.203418508	0.203418508	0.397901001	0.947470271	4.66865954	4.567285932	4.725966547	4.911383465	NON	NON
MvSl-1064-A1-R4_A1g00970	0.0159	0.0065	0.0068	0.0026	2.338235294	Black	OldStrata	2512310	2513349	6.837559554	0.874880085	0.874880085	6.97E-06	0.000192241	7.221699352	7.196165158	6.494949115	6.154566255	Up	DE
MvSl-1064-A1-R4_A1g01162	0.0389	0.0197	0.0071	0.0041	5.478873239	Blue	OldStrata	1294048	1294371	2.364437833	5.639008765	5.639008765	1.34E-25	2.01E-23	3.024213886	3.529926858	-2.271875237	-1.413437522	Up	DE
MvSl-1064-A1-R4_A1g00958	0.0202	0.0061	0.0072	0.0023	2.805555556	Black	OldStrata	1995562	1995873	6.88895615	-0.561034724	0.561034724	0.003045807	0.044560866	6.492518793	6.66603944	7.218969306	7.061617078	Down	DE
MvSl-1064-A1-R4_A1g00645	0.0143	0.0042	0.0072	0.0021	1.986111111	Black	OldStrata	2984367	2986997	6.146023196	0.00278244	0.00278244	0.989023848	0.999949922	6.127378605	6.167199063	6.299495125	5.970925393	NON	NON
MvSl-1064-A1-R4_A1g00515	0.0118	0.0036	0.0074	0.0019	1.594594595	Black	OldStrata	2080392	2081481	5.262275639	-0.639906605	0.639906605	0.004682811	0.063951041	4.959076487	4.857241716	5.67900013	5.40219189	NON	NON
MvSl-1064-A1-R4_A1g00843	0.0159	0.008	0.0078	0.0032	2.038461538	Black	OldStrata	1539659	1541133	3.467440472	-0.541148688	0.541148688	0.067484603	0.446601168	3.182796519	3.170947863	3.74866531	3.676947153	NON	NON
MvSl-1064-A1-R4_A1g00402	0.0134	0.0032	0.0078	0.0016	1.717948718	Red	ColorStrata	837338	838797	6.473078976	-0.139682704	0.139682704	0.536897429	0.989914145	6.647462248	6.10535173	6.377195517	6.688641897	NON	NON
MvSl-1064-A1-R4_A1g00794	0.036	0.0209	0.0079	0.0056	4.556962025	Black	OldStrata	3092860	3095963	5.339660165	0.026871625	0.026871625	0.90268147	0.999949922	5.255290541	5.444439674	5.365985791	5.285126212	NON	NON
MvSl-1064-A1-R4_A1g00541	0.0129	0.0026	0.0082	0.0014	1.573170732	Black	OldStrata	1369568	1370214	6.087504578	-0.102715119	0.102715119	0.682500759	0.999949922	6.19594927	5.854732024	5.734783511	6.452978659	NON	NON
MvSl-1064-A1-R4_MC04-1g05996	0.0137	0.0049	0.0084	0.0022	1.630952381	Auto	Auto	1669156	1670595	6.999772789	-0.028771426	0.028771426	0.878276781	0.999949922	6.922785343	7.045301911	7.084750849	6.939740011	NON	NON
MvSl-1064-A1-R4_A1g00186	0.0314	0.0088	0.0087	0.0031	3.609195402	Purple	OldStrata	912091	913460	7.53797843	0.055420035	0.055420035	0.784408626	0.999949922	7.46841469	7.656253425	7.497966013	7.521938161	NON	NON
MvSl-1064-A1-R4_A1g01212	0.0463	0.0093	0.009	0.0021	5.144444444	Black	OldStrata	1300472	1304579	3.681776849	-1.916759575	1.916759575	3.57E-07	1.23E-05	2.379931553	2.512986091	3.708169298	4.787726912	Down	DE
MvSl-1064-A1-R4_A1g00532	0.0274	0.0074	0.009	0.0026	3.044444444	Black	OldStrata	3136389	3137566	5.121532291	-0.183549618	0.183549618	0.415199053	0.957865603	4.972169533	5.080592614	5.217262991	5.203600369	NON	NON
MvSl-1064-A1-R4_A1g00242	0.045	0.0185	0.0092	0.0046	4.891304348	Black	OldStrata	1134595	1135956	5.994034638	0.66789462	0.66789462	0.000859995	0.015576484	6.264072184	6.31283723	5.510925333	5.724931509	Up	DE
MvSl-1064-A1-R4_A1g00530	0.0188	0.005	0.0093	0.0023	2.021505376	Black	OldStrata	3145545	3147507	6.903348196	-0.003825303	0.003825303	0.983450028	0.999949922	6.948407867	6.852887557	6.896126738	6.914341333	NON	NON
MvSl-1064-A1-R4_A1g01405	0.0138	0.0087	0.0096	0.0045	1.4375	Black	OldStrata	1209281	1212345	4.735456436	-0.032795964	0.032795964	0.892442804	0.999949922	4.697852434	4.740031501	4.877130362	4.614151429	NON	NON
MvSl-1064-A1-R4_A1g00593	0.0433	0.0071	0.0101	0.002	4.287128713	Blue	OldStrata	576253	577851	8.102240797	0.034237888	0.034237888	0.879662386	0.999949922	8.205590972	8.027399539	7.964065943	8.196637302	NON	NON
MvSl-1064-A1-R4_MC09-2g09310	0.0167	0.01	0.0102	0.005	1.637254902	Auto	Auto	967177	968426	5.320752008	-0.169097134	0.169097134	0.445105101	0.969478601	5.19514158	5.272198117	5.490602859	5.309311625	NON	NON
MvSl-1064-A1-R4_A1g01407	0.0191	0.0073	0.0104	0.0031	1.836538462	Black	OldStrata	2568240	2569874	6.698674504	-0.341690369	0.341690369	0.060985275	0.420175596	6.527678444	6.508457352	6.820122052	6.897821751	NON	NON
MvSl-1064-A1-R4_MC01-1g02323	0.0145	0.0053	0.0104	0.0027	1.394230769	Auto	Auto	998570	998722	5.507346029	-0.392716539	0.392716539	0.124446465	0.628778266	5.163148622	5.422416689	5.988935893	5.313303401	NON	NON
MvSl-1064-A1-R4_A1g01017	0.0299	0.0058	0.0104	0.0022	2.875	Purple	OldStrata	2255626	2255952	6.981727356	-0.275205453	0.275205453	0.151700341	0.675813559	6.967058002	6.695853201	7.147212647	7.077546664	NON	NON
MvSl-1064-A1-R4_A1g00245	0.0584	0.0265	0.0105	0.0074	5.561904762	Black	OldStrata	1116801	1118832	4.685181704	-0.790101844	0.790101844	0.01264054	0.13979816	3.747260393	4.606881073	5.271871423	4.732156886	NON	NON
MvSl-1064-A1-R4_A1g00869	0.0392	0.0091	0.0106	0.0028	3.698113208	Black	OldStrata	790625	795162	9.338890611	-0.780523068	0.780523068	0.013747733	0.149338463	8.704736125	9.065944327	9.984595285	9.28556907	NON	NON
MvSl-1064-A1-R4_A1g00718	0.0446	0.0117	0.0108	0.0032	4.12962963	Black	OldStrata	646353	651020	5.277681998	1.042239841	1.042239841	4.09E-05	0.001013304	5.444107525	5.924666038	4.826680933	4.482085104	Up	DE
MvSl-1064-A1-R4_A1g00280	0.0321	0.0055	0.011	0.0018	2.918181818	Black	OldStrata	713060	718328	7.921190275	0.227539771	0.227539771	0.284418953	0.875269126	7.955256369	8.101789089	7.824223406	7.781314721	NON	NON
MvSl-1064-A1-R4_A1g00290	0.0292	0.0059	0.0116	0.0022	2.517241379	Black	OldStrata	427406	429655	7.273594848	0.178481473	0.178481473	0.380554294	0.935410771	7.469953922	7.240894438	7.275000485	7.081648005	NON	NON
MvSl-1064-A1-R4_A1g00153	0.0341	0.0058	0.0117	0.002	2.914529915	Black	OldStrata	2625755	2626956	7.254262017	-0.269881931	0.269881931	0.216383753	0.784940814	7.317144298	6.875643118	7.263068671	7.493634893	NON	NON
MvSl-1064-A1-R4_A1g01173	0.0354	0.0098	0.0118	0.0033	3	Black	OldStrata	2578833	2582754	5.051893974	-0.529087108	0.529087108	0.021237842	0.206337527	4.837949365	4.688236463	5.215200217	5.366138491	NON	NON
MvSl-1064-A1-R4_A1g00380	0.0218	0.022	0.0119	0.0084	1.831932773	Red	ColorStrata	895253	895922	6.245651362	-0.537209791	0.537209791	0.005100502	0.068668013	6.014835218	5.888402365	6.528562347	6.449355693	NON	NON
MvSl-1064-A1-R4_A1g01369	0.0277	0.0083	0.0119	0.0029	2.327731092	Black	OldStrata	1164814	1164982	9.018867889	0.659905903	0.659905903	0.015634871	0.164811973	9.092340452	9.501349351	8.701597015	8.599615153	NON	NON
MvSl-1064-A1-R4_A1g01163	0.0408	0.0156	0.0121	0.0049	3.371900826	Blue	OldStrata	1297181	1298512	4.000940946	3.617225151	3.617225151	5.65E-30	9.85E-28	4.932528437	4.816810011	1.222272509	1.393758781	Up	DE
MvSl-1064-A1-R4_A1g01159	0.0255	0.0085	0.0122	0.0037	2.090163934	Blue	OldStrata	1257109	1257735	7.055672441	0.357858524	0.357858524	0.060602364	0.418827493	7.139939228	7.302048937	6.939878948	6.78736634	NON	NON
MvSl-1064-A1-R4_A1g01347	0.0306	0.0042	0.0123	0.0017	2.487804878	Black	OldStrata	2994712	2997178	6.966932186	1.102009758	1.102009758	5.33E-09	2.29E-07	7.476094476	7.349922341	6.247961129	6.375872141	Up	DE
MvSl-1064-A1-R4_A1g00185	0.0201	0.0049	0.0126	0.0026	1.595238095	Purple	OldStrata	908654	911656	8.465648249	0.416321973	0.416321973	0.074832796	0.474941031	8.69884097	8.617465119	8.268078219	8.216489368	NON	NON
MvSl-1064-A1-R4_A1g01317	0.067	0.0198	0.0127	0.0048	5.275590551	Purple	OldStrata	1584006	1586510	7.258747299	0.067848033	0.067848033	0.733220074	0.999949922	7.220785424	7.360302567	7.316001439	7.12657685	NON	NON
MvSl-1064-A1-R4_A1g00400	0.013	0.0041	0.0128	0.0029	1.015625	Red	ColorStrata	841678	844038	4.786379612	-1.080405595	1.080405595	0.00015815	0.0034056	4.473765263	3.737837858	5.076642639	5.366138491	Down	DE
MvSl-1064-A1-R4_A1g01367	0.0117	0.0048	0.0128	0.0034	0.9140625	Black	OldStrata	1174940	1175619	3.931856578	0.242412729	0.242412729	0.387643108	0.941274886	4.069054591	4.023505511	3.629806773	3.962692591	NON	NON
MvSl-1064-A1-R4_A1g00853	0.0339	0.007	0.0129	0.0027	2.627906977	Purple	OldStrata	1834558	1837865	6.990703053	-1.487301401	1.487301401	2.69E-15	2.30E-13	6.047159869	6.082461412	7.576395002	7.524953348	Down	DE
MvSl-1064-A1-R4_A1g00154	0.0425	0.0152	0.013	0.0053	3.269230769	Black	OldStrata	2689352	2692677	5.199460696	-0.909654782	0.909654782	5.39E-05	0.001286072	4.614019113	4.737485441	5.671496984	5.491215484	Down	DE
MvSl-1064-A1-R4_A1g00913	0.0428	0.0095	0.013	0.0027	3.292307692	Black	OldStrata	3038018	3044084	5.065746913	-0.556748515	0.556748515	0.017232741	0.176680176	4.86393896	4.653544251	5.208994139	5.418960362	NON	NON
MvSl-1064-A1-R4_A1g01431	0.0372	0.0054	0.0132	0.002	2.818181818	Blue	OldStrata	1965456	1966246	6.240834108	0.17831449	0.17831449	0.351534401	0.920531701	6.358504463	6.294767148	6.076761213	6.217688522	NON	NON
MvSl-1064-A1-R4_A1g00525	0.0295	0.0112	0.0133	0.0042	2.218045113	Black	OldStrata	1393224	1396199	7.344338163	-0.425729346	0.425729346	0.030124451	0.265604818	7.144765701	7.086899462	7.51105696	7.571525519	NON	NON
MvSl-1064-A1-R4_MC08g08685	0.0133	0.0059	0.0133	0.0035	1	Auto	Auto	1089818	1092008	6.626957729	0.011836223	0.011836223	0.952547863	0.999949922	6.549680879	6.711505487	6.761960408	6.464690854	NON	NON
MvSl-1064-A1-R4_A1g00998	0.0443	0.0169	0.0134	0.0051	3.305970149	Blue	OldStrata	1984288	1990725	4.69567389	0.375035839	0.375035839	0.152083473	0.67653367	4.652483599	5.058323309	4.648591005	4.324885121	NON	NON
MvSl-1064-A1-R4_A1g01432	0.0663	0.024	0.0135	0.0061	4.911111111	Blue	OldStrata	1966448	1967834	4.827251695	1.19652809	1.19652809	1.15E-05	0.000311293	5.202567338	5.393598278	3.74866531	4.398127407	Up	DE
