gida2	cdsa2	prota2	reversecdsa2	cdsa2expest	bPARt8	youngold	DE	haploid
MvSl-1064-A2-R4_A2g00444	1353	450	1350	1.002222222	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00258	189	62	186	1.016129032	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00529	966	321	963	1.003115265	Purple	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00643	1029	342	1026	1.002923977	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00644	576	191	573	1.005235602	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00611	285	94	282	1.010638298	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00241	1035	344	1032	1.002906977	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01311	2229	742	2226	1.001347709	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01312	2337	778	2334	1.001285347	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00300	2241	746	2238	1.001340483	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00651	2415	804	2412	1.001243781	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00647	1143	380	1140	1.002631579	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00304	4413	1470	4410	1.000680272	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00303	3870	1289	3867	1.000775795	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00169	3237	1078	3234	1.000927644	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00711	1644	547	1641	1.001828154	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01256	864	287	861	1.003484321	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00915	4500	1499	4497	1.000667111	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00914	558	185	555	1.005405405	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00819	579	192	576	1.005208333	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00818	648	215	645	1.004651163	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01638	801	266	798	1.003759398	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00995	813	270	810	1.003703704	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00970	2724	907	2721	1.001102536	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00969	3903	1300	3900	1.000769231	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00968	759	252	756	1.003968254	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00301	1023	340	1020	1.002941176	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00124	1632	543	1629	1.001841621	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00125	1203	400	1200	1.0025	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00126	1950	649	1947	1.001540832	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00127	2019	672	2016	1.001488095	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00128	3393	1130	3390	1.000884956	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00129	2628	875	2625	1.001142857	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00130	1065	354	1062	1.002824859	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00131	2112	703	2109	1.001422475	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00132	417	138	414	1.007246377	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00394	171	56	168	1.017857143	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00393	219	72	216	1.013888889	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00388	516	171	513	1.005847953	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00383	903	300	900	1.003333333	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00380	1134	377	1131	1.00265252	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00379	1851	616	1848	1.001623377	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00376	345	114	342	1.00877193	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00375	4092	1363	4089	1.000733676	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00374	882	293	879	1.003412969	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00373	375	124	372	1.008064516	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00372	372	123	369	1.008130081	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00371	483	160	480	1.00625	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00370	2364	787	2361	1.001270648	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00369	993	330	990	1.003030303	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00368	4593	1530	4590	1.000653595	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00367	4029	1342	4026	1.000745156	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00366	795	264	792	1.003787879	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00365	1647	548	1644	1.001824818	Red	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00732	540	179	537	1.005586592	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g01066	1341	446	1338	1.002242152	Red	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00994	294	97	291	1.010309278	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00993	1698	565	1695	1.001769912	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00737	1029	342	1026	1.002923977	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01642	2067	688	2064	1.001453488	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01653	2262	753	2259	1.001328021	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00295	525	174	522	1.005747126	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01715	1164	387	1161	1.002583979	Blue	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01265	1956	651	1953	1.001536098	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01266	960	319	957	1.003134796	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01267	2838	945	2835	1.001058201	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01268	1392	463	1389	1.002159827	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01269	3876	1291	3873	1.000774593	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01274	960	319	957	1.003134796	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01275	1062	353	1059	1.002832861	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01276	624	207	621	1.004830918	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01277	1689	562	1686	1.001779359	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01252	4665	1554	4662	1.000643501	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01504	1008	335	1005	1.002985075	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01505	237	78	234	1.012820513	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01506	1275	424	1272	1.002358491	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01511	2088	695	2085	1.001438849	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01512	1968	655	1965	1.001526718	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01513	2664	887	2661	1.001127396	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00889	1257	418	1254	1.002392344	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00886	1005	334	1002	1.002994012	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01664	1863	620	1860	1.001612903	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00864	924	307	921	1.003257329	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00865	1134	377	1131	1.00265252	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00866	6123	2040	6120	1.000490196	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00867	1173	390	1170	1.002564103	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00868	2190	729	2187	1.001371742	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00869	1923	640	1920	1.0015625	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01042	465	154	462	1.006493506	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00548	207	68	204	1.014705882	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00559	2985	994	2982	1.001006036	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00560	411	136	408	1.007352941	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00208	1341	446	1338	1.002242152	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00210	3567	1188	3564	1.000841751	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00220	165	54	162	1.018518519	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00431	774	257	771	1.003891051	Purple	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00615	1662	553	1659	1.001808318	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00231	165	54	162	1.018518519	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00977	261	86	258	1.011627907	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01002	2355	784	2352	1.00127551	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01535	2520	839	2517	1.001191895	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01534	2091	696	2088	1.001436782	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00315	678	225	675	1.004444444	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00314	1518	505	1515	1.001980198	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00904	1911	636	1908	1.001572327	Orange	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g00902	2178	725	2175	1.00137931	Orange	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00976	1005	334	1002	1.002994012	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00975	2349	782	2346	1.001278772	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00298	1383	460	1380	1.002173913	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01321	1269	422	1266	1.002369668	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00577	885	294	882	1.003401361	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00576	3333	1110	3330	1.000900901	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00570	2187	728	2184	1.001373626	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00569	2916	971	2913	1.001029866	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00568	1800	599	1797	1.001669449	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00566	216	71	213	1.014084507	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00565	855	284	852	1.003521127	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00179	1083	360	1080	1.002777778	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00328	2481	826	2478	1.001210654	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00329	3009	1002	3006	1.000998004	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01610	342	113	339	1.008849558	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00203	1374	457	1371	1.002188184	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00204	1047	348	1044	1.002873563	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01032	252	83	249	1.012048193	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01736	1785	594	1782	1.001683502	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00923	1560	519	1557	1.001926782	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00924	1029	342	1026	1.002923977	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01038	4521	1506	4518	1.000664011	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01112	2529	842	2526	1.001187648	Purple	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01111	2583	860	2580	1.001162791	Purple	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00351	1830	609	1827	1.001642036	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01477	1734	577	1731	1.001733102	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01609	264	87	261	1.011494253	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01608	1026	341	1023	1.002932551	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01572	2775	924	2772	1.001082251	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01577	4887	1628	4884	1.000614251	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01578	1653	550	1650	1.001818182	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01580	1413	470	1410	1.00212766	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01579	312	103	309	1.009708738	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01182	2340	779	2337	1.001283697	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01186	714	237	711	1.004219409	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01187	1950	649	1947	1.001540832	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01188	111	36	108	1.027777778	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01189	651	216	648	1.00462963	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01198	828	275	825	1.003636364	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01566	906	301	903	1.003322259	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01153	2073	690	2070	1.001449275	Blue	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01154	693	230	690	1.004347826	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01279	3201	1066	3198	1.000938086	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00954	915	304	912	1.003289474	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00858	543	180	540	1.005555556	Centro	Centro	Down	A2
MvSl-1064-A2-R4_A2g01563	537	178	534	1.005617978	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01028	2376	791	2373	1.001264223	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00602	1155	384	1152	1.002604167	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00826	1104	367	1101	1.002724796	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00825	1794	597	1791	1.001675042	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00832	555	184	552	1.005434783	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00833	1275	424	1272	1.002358491	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00834	1422	473	1419	1.002114165	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00835	1173	390	1170	1.002564103	Blue	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00836	534	177	531	1.005649718	Blue	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00837	681	226	678	1.004424779	Blue	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01564	3180	1059	3177	1.000944287	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01393	1689	562	1686	1.001779359	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01392	966	321	963	1.003115265	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01305	1755	584	1752	1.001712329	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00403	1044	347	1041	1.002881844	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00841	2541	846	2538	1.001182033	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01387	3075	1024	3072	1.000976563	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01388	768	255	765	1.003921569	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01519	522	173	519	1.005780347	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01520	552	183	549	1.005464481	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00195	885	294	882	1.003401361	Orange	ColorStrata	NON	A2
MvSl-1064-A2-R4_A2g00196	510	169	507	1.00591716	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01419	6933	2310	6930	1.0004329	Orange	ColorStrata	Up	A2
MvSl-1064-A2-R4_A2g01394	414	137	411	1.00729927	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01395	552	183	549	1.005464481	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00349	675	224	672	1.004464286	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00799	813	270	810	1.003703704	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00797	1350	449	1347	1.002227171	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00957	933	310	930	1.003225806	Purple	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01083	498	165	495	1.006060606	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01555	6372	2123	6369	1.000471032	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01556	2376	791	2373	1.001264223	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01557	1890	629	1887	1.001589825	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01558	840	279	837	1.003584229	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g01109	498	165	495	1.006060606	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01110	1485	494	1482	1.002024291	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00776	2277	758	2274	1.001319261	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00775	1746	581	1743	1.00172117	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00774	5556	1851	5553	1.000540249	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00773	1830	609	1827	1.001642036	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00417	1284	427	1281	1.00234192	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00418	2742	913	2739	1.00109529	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g00420	243	80	240	1.0125	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g00527	2025	674	2022	1.00148368	Black	OldStrata	Down	A2
MvSl-1064-A2-R4_A2g01135	2970	989	2967	1.001011122	Black	OldStrata	Up	A2
MvSl-1064-A2-R4_A2g01134	1551	516	1548	1.001937984	Black	OldStrata	NON	A2
MvSl-1064-A2-R4_A2g00186	2577	858	2574	1.001165501	Black	OldStrata	NON	A2
