gida2	cdsa2	prota2	reversecdsa2	cdsa2expest	gida1	cdsa1	prota1	reversecdsa1	cdsa1expest	cdsratioa1a2	protratioa1a2	bPARt8	youngold	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A2-R4_MC11g10987	957	151	453	2.112582781	MvSl-1064-A1-R4_MC11g10722	957	151	453	2.112582781	1.000	1.000	Auto	Auto	1404174	1407908	5.209432946	-1.583388685	2.92E-09	2.13E-07	4.101985555	4.314091977	6.065245735	5.451454138	Down
MvSl-1064-A2-R4_MC09g09815	2132	540	1620	1.316049383	MvSl-1064-A1-R4_MC09-2g09541	2132	540	1620	1.316049383	1.000	1.000	Auto	Auto	1559137	1559711	7.081634109	-1.582170124	7.16E-14	8.02E-12	6.214615899	5.94075215	7.483979534	7.825770184	Down
MvSl-1064-A2-R4_MC12g11375	2479	615	1845	1.343631436	MvSl-1064-A1-R4_MC12g11112	2479	615	1845	1.343631436	1.000	1.000	Auto	Auto	949644	950592	10.10216769	-1.576794961	0.000238607	0.007861758	8.528236756	9.520918006	11.10342951	10.09313944	Down
MvSl-1064-A2-R4_MC02g03884	6578	2051	6153	1.069071997	MvSl-1064-A1-R4_MC02g03606	6578	2051	6153	1.069071997	1.000	1.000	Auto	Auto	1085380	1085925	7.564074806	-1.571640477	1.18E-13	1.30E-11	6.644764531	6.500306332	8.257786298	8.022728391	Down
MvSl-1064-A2-R4_A2g01182	2432	779	2337	1.040650407	MvSl-1064-A1-R4_A1g00956	2384	766	2298	1.037423847	0.980	0.983	Black	OldStrata	1965456	1966246	5.990954214	-1.568597907	1.62E-13	1.75E-11	4.813261568	5.172121486	6.591355061	6.548187485	Down
MvSl-1064-A2-R4_MC09g09341	427	122	366	1.166666667	MvSl-1064-A1-R4_MC09-2g09066	427	122	366	1.166666667	1.000	1.000	Auto	Auto	366993	367393	0.138411273	-1.564245215	0.012870792	0.185447008	-0.676887244	-0.843691691	-0.364302286	1.241090978	Down
MvSl-1064-A2-R4_MC02g03554	1021	171	513	1.990253411	MvSl-1064-A1-R4_MC02g03274	1021	171	513	1.990253411	1.000	1.000	Auto	Auto	283921	284543	3.023015811	-1.556235941	2.87E-06	0.000148844	1.904772445	2.184871749	3.414015402	3.742104036	Down
MvSl-1064-A2-R4_MC08-2g09116	1856	511	1533	1.210697978	MvSl-1064-A1-R4_MC08g08835	1856	511	1533	1.210697978	1.000	1.000	Auto	Auto	1479228	1480033	0.54195836	-1.553529433	0.001958473	0.046189041	-0.451579696	-0.298739211	0.751441924	1.32180469	Down
MvSl-1064-A2-R4_MC11g10893	198	65	195	1.015384615	MvSl-1064-A1-R4_MC11g10629	198	65	195	1.015384615	1.000	1.000	Auto	Auto	1160696	1164186	1.422890532	-1.551664113	0.000734466	0.02083	-0.085131921	0.876526105	2.19682445	1.689386051	Down
MvSl-1064-A2-R4_MC02g03653	737	133	399	1.847117794	MvSl-1064-A1-R4_MC02g03373	737	133	399	1.847117794	1.000	1.000	Auto	Auto	542592	543917	3.387595059	-1.549962876	4.22E-07	2.41E-05	2.442585572	2.395872867	3.942382084	3.963702488	Down
MvSl-1064-A2-R4_MC11g10516	915	145	435	2.103448276	MvSl-1064-A1-R4_MC11g10255	915	145	435	2.103448276	1.000	1.000	Auto	Auto	234233	235729	6.29295361	-1.515548438	1.29E-09	1.00E-07	5.227734399	5.453831945	7.183728097	6.438588928	Down
MvSl-1064-A2-R4_MC05g06648	480	159	477	1.006289308	MvSl-1064-A1-R4_MC05-2g06374	480	159	477	1.006289308	1.000	1.000	Auto	Auto	235382	236867	0.902962452	-1.502375902	0.003694257	0.075588878	-0.256752132	0.227750757	1.861053843	0.789971317	Down
MvSl-1064-A2-R4_MC06-2g07443	219	72	216	1.013888889	MvSl-1064-A1-R4_MC06g07178	219	72	216	1.013888889	1.000	1.000	Auto	Auto	885006	887281	1.170216642	-1.474795627	0.002162395	0.049690738	0.657244997	-0.210709988	1.295199996	1.998535036	Down
MvSl-1064-A2-R4_MC11g10770	4002	1220	3660	1.093442623	MvSl-1064-A1-R4_MC11g10508	4002	1220	3660	1.093442623	1.000	1.000	Auto	Auto	873279	874178	2.178403896	-1.472130395	0.001565674	0.038654455	1.708726229	0.660109451	2.15338262	3.115325416	Down
MvSl-1064-A2-R4_MC09g09242	529	81	243	2.176954733	MvSl-1064-A1-R4_MC09-2g08967	529	81	243	2.176954733	1.000	1.000	Auto	Auto	141899	143355	0.186064043	-1.439358607	0.027757266	0.310786849	-0.256752132	-1.136324015	-0.451044639	1.295398697	Down
MvSl-1064-A2-R4_MC08-1g08569	646	161	483	1.33747412	MvSl-1064-A1-R4_MC08g08304	646	161	483	1.33747412	1.000	1.000	Auto	Auto	163112	163803	0.96683987	-1.431195769	0.004692145	0.089881897	0.139195447	0.095869339	1.914076052	0.827313457	Down
MvSl-1064-A2-R4_MC09g09602	984	302	906	1.086092715	MvSl-1064-A1-R4_MC09-2g09328	984	302	906	1.086092715	1.000	1.000	Auto	Auto	1041700	1042055	0.108346871	-1.422675242	0.017154241	0.228082201	-0.559839611	-0.843691691	-0.205051883	1.095642352	Down
MvSl-1064-A2-R4_MC04-2g06286	186	61	183	1.016393443	MvSl-1064-A1-R4_MC04-1g06004	186	61	183	1.016393443	1.000	1.000	Auto	Auto	1710309	1710638	2.481481462	-1.418207782	6.55E-05	0.002670099	1.661290212	1.566198706	2.80472694	3.181706359	Down
MvSl-1064-A2-R4_MC01g02064	2022	448	1344	1.504464286	MvSl-1064-A1-R4_MC01-1g01783	2022	448	1344	1.504464286	1.000	1.000	Auto	Auto	117575	119790	0.718683447	-1.417353812	0.007362978	0.126411899	-0.944012749	0.405399752	1.470630915	0.899217479	Down
MvSl-1064-A2-R4_MC06-1g07176	2149	479	1437	1.495476688	MvSl-1064-A1-R4_MC06g06913	2149	479	1437	1.495476688	1.000	1.000	Auto	Auto	172035	173880	1.969702917	-1.413740401	0.008216603	0.135114123	1.535392051	0.512737124	1.517070891	3.061497786	Down
MvSl-1064-A2-R4_MC01g02379	153	50	150	1.02	MvSl-1064-A1-R4_MC01-1g02098	153	50	150	1.02	1.000	1.000	Auto	Auto	520524	523797	0.381893308	-1.401191165	0.007286866	0.125828306	-0.804276279	-0.127744564	1.125731176	0.543012817	Down
MvSl-1064-A2-R4_MC05g06880	241	45	135	1.785185185	MvSl-1064-A1-R4_MC05-3g06617	241	45	135	1.785185185	1.000	1.000	Auto	Auto	425748	427299	0.829977325	-1.395209472	0.005286882	0.09884421	-0.006416232	0.025113675	0.751441924	1.729387555	Down
MvSl-1064-A2-R4_MC13g11976	923	214	642	1.437694704	MvSl-1064-A1-R4_MC13g11715	922	200	600	1.536666667	0.999	0.935	Auto	Auto	1031168	1034740	6.182210163	-1.388374506	4.10E-12	3.87E-10	5.201029709	5.443694613	6.768561183	6.657191156	Down
MvSl-1064-A2-R4_MC05g06735	1421	401	1203	1.181213633	MvSl-1064-A1-R4_MC05-2g06461	1421	401	1203	1.181213633	1.000	1.000	Auto	Auto	301318	301943	2.706148916	-1.387614215	8.41E-05	0.003348805	1.708726229	1.994297687	2.972427824	3.438556216	Down
MvSl-1064-A2-R4_MC01g03007	952	295	885	1.075706215	MvSl-1064-A1-R4_MC01-1g02725	952	295	885	1.075706215	1.000	1.000	Auto	Auto	1973283	1974977	4.667111799	-1.359290441	5.90E-08	3.75E-06	3.834353668	3.834431757	5.050655731	5.313522536	Down
MvSl-1064-A2-R4_MC02g04473	597	117	351	1.700854701	MvSl-1064-A1-R4_MC02g04195	597	117	351	1.700854701	1.000	1.000	Auto	Auto	2465001	2468172	0.985208877	-1.357700618	0.003527299	0.073006126	0.206836906	0.163316487	1.125731176	1.748979932	Down
MvSl-1064-A2-R4_MC12g11042	326	76	228	1.429824561	MvSl-1064-A1-R4_MC12g10779	326	76	228	1.429824561	1.000	1.000	Auto	Auto	105690	108401	5.588239884	-1.353929625	1.49E-05	0.000703264	4.969914175	4.511415833	5.492506732	6.540478654	Down
MvSl-1064-A2-R4_MC12g11025	246	81	243	1.012345679	MvSl-1064-A1-R4_MC12g10762	246	81	243	1.012345679	1.000	1.000	Auto	Auto	53941	55877	0.447482671	-1.343053392	0.008280238	0.135911153	-0.256752132	-0.392490783	0.542819706	1.213150749	Down
MvSl-1064-A2-R4_MC01g02327	318	105	315	1.00952381	MvSl-1064-A1-R4_MC01-1g02046	318	105	315	1.00952381	1.000	1.000	Auto	Auto	439149	443618	3.355313215	-1.334807628	3.93E-05	0.001691654	2.722282938	2.338668854	3.666646408	4.037255133	Down
MvSl-1064-A2-R4_MC13g11679	923	289	867	1.064590542	MvSl-1064-A1-R4_MC13g11418	923	289	867	1.064590542	1.000	1.000	Auto	Auto	316706	317374	3.191371948	-1.329350229	2.65E-05	0.001193308	2.355852495	2.409826362	3.565320735	3.818269293	Down
MvSl-1064-A2-R4_MC03g04763	319	86	258	1.236434109	MvSl-1064-A1-R4_MC03g04485	319	86	258	1.236434109	1.000	1.000	Auto	Auto	590018	591935	1.4474578	-1.318758889	0.005920801	0.106765032	0.999986546	0.227750757	1.373010389	2.333055693	Down
MvSl-1064-A2-R4_A2g01109	544	165	495	1.098989899	MvSl-1064-A1-R4_A1g01358	520	154	462	1.125541126	0.956	0.933	Black	OldStrata	1769429	1769832	2.118648741	-1.310751769	0.000308038	0.009966196	1.338351876	1.322441863	2.604220918	2.615140007	Down
MvSl-1064-A2-R4_MC11g10439	258	85	255	1.011764706	MvSl-1064-A1-R4_MC11g10180	258	85	255	1.011764706	1.000	1.000	Auto	Auto	72177	72682	0.77289146	-1.308338864	0.005703545	0.10372771	0.271448488	-0.298739211	1.03289541	1.422845577	Down
MvSl-1064-A2-R4_MC01g02704	196	50	150	1.306666667	MvSl-1064-A1-R4_MC01-1g02422	196	50	150	1.306666667	1.000	1.000	Auto	Auto	1238638	1242061	2.465844211	-1.308330508	0.000752395	0.021137814	1.863450874	1.462909357	2.538200779	3.285974288	Down
MvSl-1064-A2-R4_MC02g04484	1825	535	1605	1.137071651	MvSl-1064-A1-R4_MC02g04206	1825	535	1605	1.137071651	1.000	1.000	Auto	Auto	2492649	2493498	1.382745705	-1.302755265	0.001485591	0.037085981	0.608055998	0.612638576	1.768108815	1.948573304	Down
