gida1	part8	youngold	dndsa2	dna2	dsa2	DE	DE2	haploid
MvSl-1064-A1-R4_MC07g08057	Auto	Auto	0.5259	0.0309	0.0587	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC07g08097	Auto	Auto	0.0714	0.0053	0.0744	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC07g08104	Auto	Auto	0.172	0.022	0.128	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC07g08138	Auto	Auto	0.0775	0.0112	0.1446	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC07g08233	Auto	Auto	0.6282	0.0917	0.146	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC08g08318	Auto	Auto	0.1852	0.0214	0.1158	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC09-2g09142	Auto	Auto	0.1151	0.0152	0.1317	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC09-2g09201	Auto	Auto	0.0425	0.0051	0.1207	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC09-2g09232	Auto	Auto	0.0341	0.0068	0.1985	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC09-2g09340	Auto	Auto	0.1261	0.0147	0.1163	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC10-1g09718	Auto	Auto	0.1644	0.022	0.1338	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC10-2g10026	Auto	Auto	0.186	0.0255	0.137	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC10-2g10098	Auto	Auto	0.0867	0.0232	0.2679	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC11g10214	Auto	Auto	0.1204	0.0125	0.1034	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC11g10344	Auto	Auto	0.1593	0.0225	0.1411	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC11g10585	Auto	Auto	0.2452	0.0352	0.1437	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC11g10594	Auto	Auto	0.1119	0.014	0.125	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC12g10944	Auto	Auto	0.2726	0.033	0.1212	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC13g11645	Auto	Auto	0.3779	0.0631	0.1669	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC14g11748	Auto	Auto	0.4126	0.0528	0.128	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC15g12029	Auto	Auto	0.089	0.0069	0.0774	Down	Vhighmutations	A1
MvSl-1064-A1-R4_MC15g12082	Auto	Auto	0.5744	0.0818	0.1424	Down	Vhighmutations	A1
MvSl-1064-A1-R4_A1g00004	bPAR	bPAR	0.1601	0.0586	0.3659	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00005	bPAR	bPAR	0.3445	0.0998	0.2896	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00006	bPAR	bPAR	0.0669	0.0256	0.3817	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00007	bPAR	bPAR	0.1393	0.0465	0.3338	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00008	bPAR	bPAR	0.3763	0.0703	0.1869	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00009	bPAR	bPAR	0.18	0.0294	0.1632	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00013	bPAR	bPAR	0.2008	0.0196	0.0975	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00017	bPAR	bPAR	0.3321	0.0344	0.1035	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00025	bPAR	bPAR	0.4324	0.1361	0.3148	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00028	bPAR	bPAR	0.93	0.0419	0.0451	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00031	bPAR	bPAR	0.2724	0.0622	0.2282	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00032	bPAR	bPAR	0.1754	0.0343	0.1956	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00033	bPAR	bPAR	0.1467	0.0289	0.1972	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00035	bPAR	bPAR	0.7655	0.1692	0.221	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00036	bPAR	bPAR	0.194	0.0398	0.2051	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00037	bPAR	bPAR	0.131	0.0288	0.2195	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00039	bPAR	bPAR	0.0859	0.0157	0.1827	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00040	bPAR	bPAR	0.573	0.1671	0.2916	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00046	bPAR	bPAR	0.1394	0.0327	0.2348	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00047	bPAR	bPAR	0.137	0.0473	0.345	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00048	bPAR	bPAR	0.2526	0.066	0.2614	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00049	bPAR	bPAR	0.4357	0.1086	0.2493	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00050	bPAR	bPAR	0.1413	0.0362	0.2565	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00051	bPAR	bPAR	0.0567	0.0168	0.2959	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00052	bPAR	bPAR	0.5861	0.1109	0.1893	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00053	bPAR	bPAR	0.5875	0.0686	0.1167	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00054	bPAR	bPAR	0.2099	0.0431	0.2052	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00055	bPAR	bPAR	0.3586	0.0506	0.1411	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00056	bPAR	bPAR	0.1251	0.0244	0.1947	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00057	bPAR	bPAR	0.1586	0.0342	0.2158	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00060	bPAR	bPAR	0.2337	0.0817	0.3495	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00061	bPAR	bPAR	0.1738	0.0271	0.1558	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00062	bPAR	bPAR	0.5747	0.082	0.1426	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00063	bPAR	bPAR	0.346	0.0816	0.2359	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00064	bPAR	bPAR	0.4925	0.0688	0.1397	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00065	bPAR	bPAR	0.1873	0.04	0.2136	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00066	bPAR	bPAR	0.0349	0.0062	0.1762	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00067	bPAR	bPAR	0.2303	0.0561	0.2435	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00068	bPAR	bPAR	0.4292	0.0585	0.1364	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00069	bPAR	bPAR	0.2512	0.0291	0.1158	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00070	bPAR	bPAR	0.4448	0.0513	0.1153	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00071	bPAR	bPAR	0.2911	0.036	0.1238	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00072	bPAR	bPAR	0.1001	0.0195	0.1946	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00074	bPAR	bPAR	0.1103	0.0147	0.1329	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00076	bPAR	bPAR	0.2418	0.0635	0.2626	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00077	bPAR	bPAR	0.1185	0.0404	0.3409	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00109	Green	ColorStrata	0.0974	0.0124	0.1276	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00110	Green	ColorStrata	0.2954	0.0323	0.1092	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00113	Green	ColorStrata	0.1683	0.017	0.1011	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00144	Black	OldStrata	0.1114	0.0305	0.2736	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00153	Black	OldStrata	0.1386	0.0173	0.125	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00155	Black	OldStrata	0.2968	0.0429	0.1446	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00175	Purple	OldStrata	0.3786	0.0579	0.1528	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00184	Purple	OldStrata	0.0391	0.0051	0.1291	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00185	Purple	OldStrata	0.4949	0.0312	0.063	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00186	Purple	OldStrata	0.3347	0.0366	0.1093	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00193	Black	OldStrata	0.0873	0.0104	0.1192	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00209	Black	OldStrata	0.5717	0.058	0.1015	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00211	Black	OldStrata	0.2798	0.0234	0.0836	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00241	Black	OldStrata	0.362	0.0251	0.0692	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00245	Black	OldStrata	0.163	0.0176	0.1081	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00280	Black	OldStrata	0.1601	0.0149	0.0932	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00281	Black	OldStrata	0.291	0.0327	0.1123	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00290	Black	OldStrata	0.1801	0.0134	0.0746	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00311	Black	OldStrata	0.3752	0.0295	0.0787	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00327	Black	OldStrata	0.385	0.0396	0.103	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00328	Black	OldStrata	0.5414	0.0491	0.0907	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00351	Black	OldStrata	0.4411	0.0406	0.092	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00352	Black	OldStrata	0.1567	0.0274	0.1751	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00359	Black	OldStrata	0.1014	0.0181	0.1785	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00367	Red	ColorStrata	0.1984	0.026	0.1308	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00368	Red	ColorStrata	0.1873	0.0235	0.1255	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00369	Red	ColorStrata	0.24	0.0426	0.1776	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00370	Red	ColorStrata	0.1783	0.036	0.2018	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00371	Red	ColorStrata	0.2387	0.0396	0.1657	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00372	Red	ColorStrata	0.1365	0.0227	0.166	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00373	Red	ColorStrata	0.0969	0.0186	0.1924	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00374	Red	ColorStrata	0.0192	0.0033	0.1728	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00380	Red	ColorStrata	0.3047	0.0304	0.0997	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00389	Red	ColorStrata	0.2949	0.0336	0.114	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00390	Red	ColorStrata	0.3636	0.0298	0.082	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00391	Red	ColorStrata	0.1539	0.0208	0.1353	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00394	Red	ColorStrata	0.1619	0.0394	0.2431	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00395	Red	ColorStrata	0.134	0.0208	0.1555	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00396	Red	ColorStrata	0.1411	0.0197	0.1396	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00397	Red	ColorStrata	0.1778	0.022	0.1239	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00398	Red	ColorStrata	98.9996	0.0219	0.0002	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00399	Red	ColorStrata	0.0576	0.0049	0.0848	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00401	Red	ColorStrata	0.4557	0.0615	0.1349	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00402	Red	ColorStrata	0.2139	0.0224	0.1046	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00403	Red	ColorStrata	0.0424	0.0053	0.1247	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00404	Red	ColorStrata	0.2879	0.0427	0.1482	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00405	Red	ColorStrata	0.3623	0.0337	0.0929	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00406	Red	ColorStrata	0.3583	0.0489	0.1365	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00432	Black	OldStrata	0.1625	0.0422	0.2599	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00433	Black	OldStrata	0.4363	0.0411	0.0941	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00441	Purple	OldStrata	0.1214	0.0094	0.0773	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00478	Blue	OldStrata	0.1931	0.0347	0.1797	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00503	Black	OldStrata	0.2459	0.0366	0.1489	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00505	Black	OldStrata	0.2141	0.0322	0.1503	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00506	Black	OldStrata	0.1981	0.0333	0.1683	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00507	Black	OldStrata	0.4057	0.0531	0.1309	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00511	Black	OldStrata	0.0464	0.0094	0.2029	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00512	Black	OldStrata	0.1195	0.0303	0.2531	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00513	Black	OldStrata	0.3494	0.0555	0.1589	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00514	Black	OldStrata	0.5048	0.0699	0.1384	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00515	Black	OldStrata	0.2864	0.0447	0.1562	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00517	Black	OldStrata	0.4738	0.0397	0.0838	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00518	Black	OldStrata	0.1276	0.0245	0.1924	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00519	Black	OldStrata	0.3035	0.0777	0.2559	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00520	Black	OldStrata	0.5164	0.0818	0.1584	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00521	Black	OldStrata	0.1401	0.0319	0.2279	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00525	Black	OldStrata	0.1837	0.0265	0.1441	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00528	Black	OldStrata	0.3067	0.0579	0.1887	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00530	Black	OldStrata	0.1435	0.0272	0.1897	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00532	Black	OldStrata	0.1537	0.0241	0.1569	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00533	Black	OldStrata	0.1887	0.037	0.1962	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00534	Black	OldStrata	0.0892	0.0199	0.2231	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00541	Black	OldStrata	0.2104	0.0399	0.1898	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00543	Black	OldStrata	0.0947	0.0159	0.1683	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00544	Black	OldStrata	0.169	0.0378	0.2237	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00575	Black	OldStrata	0.4773	0.0304	0.0637	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00593	Blue	OldStrata	0.1287	0.0225	0.1747	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00645	Black	OldStrata	0.3405	0.0247	0.0725	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00647	Black	OldStrata	0.3445	0.0408	0.1184	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00669	Orange	ColorStrata	0.4256	0.0393	0.0924	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00693	Black	OldStrata	0.086	0.0114	0.1326	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00694	Black	OldStrata	0.4949	0.0303	0.0612	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00726	Black	OldStrata	0.2974	0.03	0.1009	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00749	Black	OldStrata	0.3859	0.0579	0.15	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00750	Black	OldStrata	0.2251	0.0387	0.1719	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00751	Black	OldStrata	0.2346	0.0277	0.118	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00772	Blue	OldStrata	0.2226	0.0371	0.1668	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00778	Black	OldStrata	0.6295	0.04	0.0635	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00794	Black	OldStrata	0.2047	0.0242	0.1184	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00801	Blue	OldStrata	0.3731	0.0697	0.1869	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00832	Black	OldStrata	0.3576	0.0237	0.0662	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00840	Black	OldStrata	0.5705	0.0522	0.0915	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00842	Black	OldStrata	0.1867	0.0234	0.1255	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00843	Black	OldStrata	0.3957	0.0358	0.0906	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00845	Black	OldStrata	0.3976	0.0317	0.0797	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00869	Black	OldStrata	0.1502	0.0162	0.1076	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00911	Black	OldStrata	0.6887	0.0294	0.0427	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00912	Black	OldStrata	0.2371	0.0485	0.2045	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00913	Black	OldStrata	0.1498	0.0173	0.1154	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00920	Black	OldStrata	0.5806	0.0467	0.0804	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00921	Black	OldStrata	0.1872	0.0248	0.1326	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00957	Black	OldStrata	0.3864	0.0412	0.1067	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00960	Black	OldStrata	0.0505	0.0181	0.3585	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00968	Black	OldStrata	0.153	0.0314	0.2053	NON	Neutral	A1
MvSl-1064-A1-R4_A1g00998	Blue	OldStrata	0.1268	0.0197	0.1556	NON	Neutral	A1
