gid	gname	chr	start	end	logCPM	logFC.MvSl.Mint	PV.MvSl.Mint	FDR.MvSl.Mint	MintM1	MintM2	MintM3	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C001g00036	MinSal-1389-A1-17072018_C015	aPR	149160	149570	4.965345589	9.270766231	3.28E-87	2.38E-86	-2.638590112	-1.242546265	-2.638590112	5.950443098	6.388563557
MinSal-1389-A1-17072018_C001g00037	MinSal-1389-A1-17072018_C015	aPR	149614	152566	7.684810431	-0.927703537	0.03081095	0.037126004	7.568473101	7.155626462	8.75995912	6.392108778	7.526173949
MinSal-1389-A1-17072018_C001g00038	MinSal-1389-A1-17072018_C015	aPR	160835	162153	5.636547377	2.326624975	3.96E-27	1.18E-26	4.320800368	4.31793209	3.972550106	6.433609515	6.642629598
MinSal-1389-A1-17072018_C001g00039	MinSal-1389-A1-17072018_C015	aPR	162362	163565	7.883815704	-0.9492477	1.36E-05	2.00E-05	8.303825193	7.962095344	8.298302388	7.196199992	7.297123905
MinSal-1389-A1-17072018_C001g00040	MinSal-1389-A1-17072018_C015	aPR	163791	165396	8.41970863	-1.229095774	7.49E-09	1.28E-08	8.89101803	8.80731836	8.688747948	7.491347046	7.644516343
MinSal-1389-A1-17072018_C001g00047	MinSal-1389-A1-17072018_C015	aPR	171724	174630	8.004202533	-0.873679517	4.76E-05	6.83E-05	8.413050053	8.380308196	8.068410241	7.393408281	7.452374734
MinSal-1389-A1-17072018_C001g00048	MinSal-1389-A1-17072018_C015	aPR	175242	176924	2.95311132	10.6067638	7.71E-41	2.85E-40	-2.638590112	-2.638590112	-2.638590112	3.94085656	4.022099986
MinSal-1389-A1-17072018_C001g00050	MinSal-1389-A1-17072018_C015	aPR	177556	179125	5.216568564	0.983848533	5.42E-06	8.16E-06	4.565770209	4.741884695	4.848423707	5.52273624	5.855327055
MinSal-1389-A1-17072018_C001g00051	MinSal-1389-A1-17072018_C015	aPR	182146	184370	9.420988829	-1.860114119	1.27E-11	2.41E-11	10.00671661	10.11860175	9.566276706	8.293956684	7.773187929
MinSal-1389-A1-17072018_C001g00052	MinSal-1389-A1-17072018_C015	aPR	186614	188421	5.558412049	3.304685169	7.04E-51	3.01E-50	3.394554603	3.22218939	3.406004239	6.687989408	6.552515848
MinSal-1389-A1-17072018_C001g00053	MinSal-1389-A1-17072018_C015	aPR	188795	189826	7.852477838	1.513289934	5.81E-14	1.19E-13	7.05698974	6.938576919	7.139269693	8.606075808	8.509110931
MinSal-1389-A1-17072018_C001g00054	MinSal-1389-A1-17072018_C015	aPR	194019	199220	9.857941543	-1.95625482	1.12E-14	2.36E-14	10.40468929	10.27872229	10.4157797	8.561334133	8.245126256
MinSal-1389-A1-17072018_C001g00056	MinSal-1389-A1-17072018_C015	aPR	203587	206434	6.295677501	-1.301492121	6.13E-07	9.63E-07	6.793982737	6.937035126	6.273596926	5.57896454	5.195666545
MinSal-1389-A1-17072018_C001g00057	MinSal-1389-A1-17072018_C015	aPR	206975	208940	6.169929666	1.900631852	1.41E-11	2.66E-11	5.542671005	5.074755135	4.378290371	6.992653536	6.969097979
MinSal-1389-A1-17072018_C001g00059	MinSal-1389-A1-17072018_C015	aPR	220056	222122	5.041668821	12.90499222	6.25E-89	4.69E-88	-2.638590112	-2.638590112	-2.638590112	5.982319129	6.508604247
MinSal-1389-A1-17072018_C001g00060	MinSal-1389-A1-17072018_C015	aPR	237518	240194	8.192990458	-0.937121185	8.33E-06	1.24E-05	8.576833733	8.405054611	8.517725592	7.477704788	7.647219017
MinSal-1389-A1-17072018_C001g00061	MinSal-1389-A1-17072018_C015	aPR	241581	245812	3.095655682	10.7693739	2.30E-43	8.81E-43	-2.638590112	-2.638590112	-2.638590112	4.128992307	4.157169348
MinSal-1389-A1-17072018_C001g00063	MinSal-1389-A1-17072018_C015	aPR	249852	250374	7.008342029	-1.021458989	1.11E-06	1.72E-06	7.33726204	7.278810477	7.408229442	6.381351541	6.259388354
MinSal-1389-A1-17072018_C001g00065	MinSal-1389-A1-17072018_C015	aPR	264466	265628	4.162901952	3.058131053	6.31E-15	1.35E-14	2.002519487	1.332824807	2.798755712	4.768516108	5.408154514
MinSal-1389-A1-17072018_C001g00067	MinSal-1389-A1-17072018_C015	aPR	275536	277060	5.647619717	8.47805767	3.10E-111	3.56E-110	-0.41054341	-1.777909711	-1.309844998	7.057319293	6.721685854
MinSal-1389-A1-17072018_C001g00071	MinSal-1389-A1-17072018_C015	aPR	277587	282872	7.928996629	-1.077647617	1.89E-06	2.90E-06	8.112731282	8.449529403	8.23693384	7.006720863	7.364366689
MinSal-1389-A1-17072018_C001g00075	MinSal-1389-A1-17072018_C015	aPR	283181	284714	4.718561235	12.56063459	1.43E-96	1.22E-95	-2.638590112	-2.638590112	-2.638590112	5.926329533	5.924913413
MinSal-1389-A1-17072018_C001g00076	MinSal-1389-A1-17072018_C015	aPR	285189	288665	6.486284778	0.567135256	0.015255754	0.018862007	5.991551153	6.554147711	6.059226859	6.83545805	6.749621029
MinSal-1389-A1-17072018_C001g00077	MinSal-1389-A1-17072018_C010	bHD1	10752	11989	3.446671931	11.16728401	6.00E-36	2.06E-35	-2.638590112	-2.638590112	-2.638590112	4.018285321	4.919808225
MinSal-1389-A1-17072018_C001g00078	MinSal-1389-A1-17072018_C010	bHD1	13885	14988	6.320915767	11.55704942	1.51E-122	2.37E-121	-2.638590112	-2.638590112	-1.309844998	7.826534474	7.331137028
MinSal-1389-A1-17072018_C001g00080	MinSal-1389-A1-17072018_C010	bHD1	21579	22921	5.548706035	13.43839168	2.34E-116	3.08E-115	-2.638590112	-2.638590112	-2.638590112	6.59727267	6.980930362
MinSal-1389-A1-17072018_C001g00081	MinSal-1389-A1-17072018_C010	bHD1	23482	25265	7.028056206	1.151238955	1.49E-06	2.30E-06	6.442953594	6.054348329	6.767199662	7.480587583	7.703160806
MinSal-1389-A1-17072018_C001g00083	MinSal-1389-A1-17072018_C010	bHD1	31459	33009	0.40012619	4.878856644	3.12E-09	5.41E-09	-2.638590112	-1.777909711	-2.638590112	1.201456912	0.811598611
MinSal-1389-A1-17072018_C001g00084	MinSal-1389-A1-17072018_C010	bHD1	33238	34824	6.025309617	-2.651220207	3.65E-11	6.79E-11	7.011397273	6.935491684	5.517372073	4.045795751	3.940721191
MinSal-1389-A1-17072018_C001g00085	MinSal-1389-A1-17072018_C010	bHD1	35753	36673	5.577486407	13.46842673	2.34E-124	3.90E-123	-2.638590112	-2.638590112	-2.638590112	6.701643147	6.951165432
MinSal-1389-A1-17072018_C001g00091	MinSal-1389-A1-17072018_C010	bHD1	48042	50192	5.611110026	-1.33447496	9.00E-09	1.53E-08	5.912259492	6.129169873	6.038061843	4.924852221	4.432524085
MinSal-1389-A1-17072018_C001g00093	MinSal-1389-A1-17072018_C010	bHD1	61783	64284	6.704893459	1.16954987	6.42E-08	1.06E-07	6.082544561	5.923435767	6.309368636	7.380733113	7.167104926
MinSal-1389-A1-17072018_C001g00094	MinSal-1389-A1-17072018_C010	bHD1	66568	70304	0.136261514	-1.322814378	0.014653388	0.01814754	-0.151556483	1.255762694	0.693551471	-0.054752037	-0.900292587
MinSal-1389-A1-17072018_C001g00095	MinSal-1389-A1-17072018_C010	bHD1	71430	73721	8.06109315	-0.806830865	0.000165027	0.000231031	8.358170777	8.169331763	8.463191851	7.625025374	7.424681683
MinSal-1389-A1-17072018_C001g00096	MinSal-1389-A1-17072018_C010	bHD1	74330	75556	4.45302904	-1.183843487	2.42E-06	3.71E-06	4.94410404	4.601004516	5.009321596	3.827681277	3.518947146
MinSal-1389-A1-17072018_C001g00099	MinSal-1389-A1-17072018_C010	bHD1	76255	78029	7.068943089	-1.266826585	0.000150745	0.000211436	7.723948026	7.802765094	6.522480984	6.306969482	6.068940104
MinSal-1389-A1-17072018_C001g00100	MinSal-1389-A1-17072018_C010	bHD1	80572	81410	5.632016068	3.278694317	1.04E-33	3.44E-33	3.434584509	3.852180597	2.69439934	6.702878012	6.693852778
MinSal-1389-A1-17072018_C001g00101	MinSal-1389-A1-17072018_C010	bHD1	81872	84164	1.374097408	4.621293317	8.46E-15	1.80E-14	-1.131431696	-1.777909711	-2.638590112	2.045056338	2.206643718
MinSal-1389-A1-17072018_C001g00102	MinSal-1389-A1-17072018_C010	bHD1	84942	87997	8.031388485	-1.411006204	1.91E-10	3.46E-10	8.360120729	8.331266076	8.639535712	6.938644593	7.134249231
MinSal-1389-A1-17072018_C001g00103	MinSal-1389-A1-17072018_C010	bHD1	88631	90089	5.99089448	7.623559245	8.09E-114	9.71E-113	0.258405648	-0.85296275	0.178493578	7.120597181	7.369285777
MinSal-1389-A1-17072018_C001g00104	MinSal-1389-A1-17072018_C010	bHD1	92344	98689	2.917234981	1.35808255	0.008806571	0.011110866	0.952966899	1.724683901	3.072976163	3.554288563	3.363282564
MinSal-1389-A1-17072018_C001g00105	MinSal-1389-A1-17072018_C010	bHD1	98966	100951	5.466826331	-2.916746912	2.11E-28	6.45E-28	6.185836673	6.316327285	5.78211146	3.392279923	3.023864891
MinSal-1389-A1-17072018_C001g00108	MinSal-1389-A1-17072018_C010	bHD1	108560	111878	8.168548651	0.753121056	0.000674728	0.000913511	7.747975387	7.565941392	8.090423471	8.653788093	8.479276238
MinSal-1389-A1-17072018_C001g00109	MinSal-1389-A1-17072018_C010	bHD1	113046	113706	9.03215204	-1.507178388	4.86E-12	9.36E-12	9.450111929	9.478905482	9.472756408	7.914170522	8.005776503
MinSal-1389-A1-17072018_C001g00110	MinSal-1389-A1-17072018_C010	bHD1	113932	115561	5.380876858	4.539213506	1.71E-73	1.02E-72	1.83316353	1.985565835	2.394773855	6.525109377	6.558271027
MinSal-1389-A1-17072018_C001g00111	MinSal-1389-A1-17072018_C010	bHD1	118063	119381	4.234631657	12.03816334	1.60E-69	9.01E-69	-2.638590112	-2.638590112	-2.638590112	5.210079478	5.576410083
MinSal-1389-A1-17072018_C001g00112	MinSal-1389-A1-17072018_C010	bHD1	120416	122719	3.987445714	11.76775499	1.68E-55	7.72E-55	-2.638590112	-2.638590112	-2.638590112	4.839848299	5.380809334
MinSal-1389-A1-17072018_C001g00113	MinSal-1389-A1-17072018_C010	bHD1	123422	126369	0.225722559	-1.474029048	0.002023913	0.002667046	1.158160597	0.679703544	0.693551471	-0.619707121	-0.210776717
MinSal-1389-A1-17072018_C001g00114	MinSal-1389-A1-17072018_C010	bHD1	126606	128715	4.430446206	5.512712122	1.56E-55	7.18E-55	-0.726421499	0.556591343	0.693551471	5.415347983	5.720675197
MinSal-1389-A1-17072018_C001g00115	MinSal-1389-A1-17072018_C010	bHD1	129224	131394	3.743965026	11.49810156	3.84E-56	1.78E-55	-2.638590112	-2.638590112	-2.638590112	4.999106418	4.721219177
MinSal-1389-A1-17072018_C001g00117	MinSal-1389-A1-17072018_C010	bHD1	134802	136500	9.106497922	-0.531724991	0.018553761	0.022768604	9.320917173	9.487357417	9.048266347	8.708451049	8.820585583
MinSal-1389-A1-17072018_C001g00118	MinSal-1389-A1-17072018_C010	bHD1	137165	140483	6.425743612	0.50107612	0.025192841	0.030574828	6.018140126	6.060025716	6.483868995	6.638512104	6.756521116
MinSal-1389-A1-17072018_C001g00120	MinSal-1389-A1-17072018_C010	bHD1	146710	149067	7.298675742	-0.702907748	0.000946217	0.001271781	7.667327569	7.427861728	7.526929051	6.831511797	6.85215397
MinSal-1389-A1-17072018_C001g00121	MinSal-1389-A1-17072018_C010	bHD1	149317	150668	5.957408318	1.353955773	2.96E-11	5.51E-11	5.095354351	5.278417191	5.347123419	6.611150542	6.571848263
MinSal-1389-A1-17072018_C001g00122	MinSal-1389-A1-17072018_C010	bHD1	150937	152508	6.736989602	5.095164537	2.48E-67	1.35E-66	3.311000247	2.855130993	2.255013726	7.731414641	8.172174859
MinSal-1389-A1-17072018_C001g00123	MinSal-1389-A1-17072018_C010	bHD1	152796	153764	7.43871339	15.37883955	1.73E-181	3.53E-179	-2.638590112	-2.638590112	-2.638590112	8.738867594	8.742644793
MinSal-1389-A1-17072018_C001g00124	MinSal-1389-A1-17072018_C010	bHD1	153994	156133	3.288744786	10.98818352	6.92E-47	2.75E-46	-2.638590112	-2.638590112	-2.638590112	4.441627849	4.273689357
MinSal-1389-A1-17072018_C001g00125	MinSal-1389-A1-17072018_C010	bHD1	156856	159369	4.937049631	12.79409362	8.38E-70	4.72E-69	-2.638590112	-2.638590112	-2.638590112	5.68524519	6.514536926
MinSal-1389-A1-17072018_C001g00126	MinSal-1389-A1-17072018_C010	bHD1	160075	165190	3.044969446	10.71181643	1.80E-41	6.72E-41	-2.638590112	-2.638590112	-2.638590112	3.986188747	4.17974578
MinSal-1389-A1-17072018_C001g00127	MinSal-1389-A1-17072018_C010	bHD1	166190	168203	5.797406749	13.69752632	7.68E-115	9.58E-114	-2.638590112	-2.638590112	-2.638590112	6.809325707	7.274577434
MinSal-1389-A1-17072018_C001g00130	MinSal-1389-A1-17072018_C010	bHD1	178120	179529	7.844561257	-2.279030713	2.68E-25	7.68E-25	8.324611873	8.482668917	8.395116138	6.166344576	6.08397955
MinSal-1389-A1-17072018_C001g00133	MinSal-1389-A1-17072018_C010	bHD1	182252	184714	4.217950066	12.01967296	7.64E-73	4.52E-72	-2.638590112	-2.638590112	-2.638590112	5.500184936	5.262409427
MinSal-1389-A1-17072018_C001g00134	MinSal-1389-A1-17072018_C010	bHD1	185186	192009	3.477735014	8.526985443	6.40E-50	2.70E-49	-2.638590112	-1.777909711	-2.638590112	4.611683237	4.52359062
MinSal-1389-A1-17072018_C001g00137	MinSal-1389-A1-17072018_C010	bHD1	192413	193927	6.541205804	0.918227347	3.45E-05	5.00E-05	6.021429554	6.088082281	6.170389891	6.768628088	7.217074603
MinSal-1389-A1-17072018_C001g00138	MinSal-1389-A1-17072018_C010	bHD1	195845	199025	7.523480909	-2.783190835	2.32E-20	5.87E-20	8.527366723	8.1408181	7.580978564	5.484473868	5.215833554
MinSal-1389-A1-17072018_C001g00139	MinSal-1389-A1-17072018_C010	bHD1	199379	200967	6.180188714	-2.910675469	2.85E-37	9.94E-37	6.770715631	6.896359012	6.78000488	3.81403236	4.017929428
MinSal-1389-A1-17072018_C001g00140	MinSal-1389-A1-17072018_C010	bHD1	201078	203173	3.669319543	11.41566518	2.36E-50	9.99E-50	-2.638590112	-2.638590112	-2.638590112	4.552636506	4.985354439
MinSal-1389-A1-17072018_C001g00142	MinSal-1389-A1-17072018_C010	bHD1	205416	209025	7.369659576	-0.747839337	0.000565914	0.000769706	7.713817307	7.50168525	7.661034064	7.003717961	6.746473683
MinSal-1389-A1-17072018_C001g00143	MinSal-1389-A1-17072018_C010	bHD1	216081	218237	5.712091094	9.109127776	1.24E-103	1.23E-102	-1.131431696	-1.777909711	-1.309844998	7.205813324	6.683357657
MinSal-1389-A1-17072018_C001g00144	MinSal-1389-A1-17072018_C010	bHD1	218815	220462	3.71126099	11.46280469	7.49E-40	2.72E-39	-2.638590112	-2.638590112	-2.638590112	4.32136021	5.208532672
MinSal-1389-A1-17072018_C001g00145	MinSal-1389-A1-17072018_C010	bHD1	220577	224526	8.131812514	-1.677280112	8.65E-15	1.83E-14	8.611078895	8.469397662	8.710649995	6.916994018	6.930790565
MinSal-1389-A1-17072018_C001g00146	MinSal-1389-A1-17072018_C010	bHD1	262793	263119	6.029475298	2.096501703	1.53E-20	3.89E-20	4.971573594	4.797319654	4.582130774	7.058766763	6.697116908
MinSal-1389-A1-17072018_C001g00147	MinSal-1389-A1-17072018_C010	bHD1	263222	265713	2.26068292	9.804272342	1.90E-26	5.61E-26	-2.638590112	-2.638590112	-2.638590112	3.434519339	2.893352276
MinSal-1389-A1-17072018_C001g00149	MinSal-1389-A1-17072018_C010	bHD1	270929	276032	5.23075726	10.42984723	5.06E-113	6.00E-112	-1.696546282	-2.638590112	-2.638590112	6.536235955	6.39500984
MinSal-1389-A1-17072018_C001g00150	MinSal-1389-A1-17072018_C010	bHD1	276401	278696	7.891394168	15.8369244	6.26E-187	1.77E-184	-2.638590112	-2.638590112	-2.638590112	9.041933714	9.340114561
MinSal-1389-A1-17072018_C001g00154	MinSal-1389-A1-17072018_C010	bHD1	280780	286273	6.554533554	3.562454495	1.01E-48	4.15E-48	4.299280935	4.250016903	3.703530264	7.749155001	7.599175344
MinSal-1389-A1-17072018_C001g00155	MinSal-1389-A1-17072018_C010	bHD1	286500	289227	3.586439435	11.32282936	1.16E-54	5.26E-54	-2.638590112	-2.638590112	-2.638590112	4.710762422	4.674291689
MinSal-1389-A1-17072018_C001g00156	MinSal-1389-A1-17072018_C010	bHD1	289673	292504	9.382450097	-1.130680404	4.64E-07	7.32E-07	9.617047414	9.762924273	9.824478009	8.603433389	8.610398371
MinSal-1389-A1-17072018_C001g00159	MinSal-1389-A1-17072018_C010	bHD1	301046	304500	5.617290003	13.50999234	1.20E-119	1.70E-118	-2.638590112	-2.638590112	-2.638590112	6.691103897	7.035072125
MinSal-1389-A1-17072018_C001g00160	MinSal-1389-A1-17072018_C010	bHD1	305438	306752	4.748917672	-5.840632621	7.99E-74	4.80E-73	5.336280343	5.679721586	5.584603942	0.010529469	-0.134522922
MinSal-1389-A1-17072018_C001g00161	MinSal-1389-A1-17072018_C010	bHD1	307007	309369	5.733703288	2.516365895	6.58E-26	1.91E-25	4.138925279	4.470668877	3.782011754	6.563682663	6.78992371
MinSal-1389-A1-17072018_C001g00162	MinSal-1389-A1-17072018_C010	bHD1	309466	310464	7.517598121	-0.859602672	6.19E-05	8.83E-05	7.687139598	7.7334008	7.985154333	6.880353589	7.012715792
MinSal-1389-A1-17072018_C001g00164	MinSal-1389-A1-17072018_C010	bHD1	315934	317924	7.026331461	-0.542037056	0.010406773	0.013029905	7.187176639	7.234310821	7.246954652	6.83038231	6.515276799
MinSal-1389-A1-17072018_C001g00165	MinSal-1389-A1-17072018_C010	bHD1	318479	323766	6.229728424	1.332404197	3.82E-09	6.59E-09	5.457805829	5.823505315	5.230686048	6.817329256	6.903922125
MinSal-1389-A1-17072018_C001g00169	MinSal-1389-A1-17072018_C010	bHD1	330230	332488	5.416559232	1.200835153	1.47E-08	2.49E-08	4.644680523	4.850703132	4.872537216	6.143789367	5.810217796
MinSal-1389-A1-17072018_C001g00170	MinSal-1389-A1-17072018_C010	bHD1	342239	345135	7.506722248	-1.865401433	1.37E-17	3.20E-17	8.11811854	7.993586244	7.904127583	6.192953447	6.095899236
MinSal-1389-A1-17072018_C001g00173	MinSal-1389-A1-17072018_C010	bHD1	349771	353258	9.414309431	-0.909324643	4.44E-05	6.38E-05	9.787332178	9.666899883	9.685067283	8.739018077	8.868130603
MinSal-1389-A1-17072018_C001g00174	MinSal-1389-A1-17072018_C010	bHD1	353891	357459	6.132073292	0.806195243	0.013807633	0.017146696	5.994901697	6.123758667	4.721412589	6.577212658	6.517494142
MinSal-1389-A1-17072018_C001g00175	MinSal-1389-A1-17072018_C010	bHD1	357779	360054	3.047972262	10.71454953	4.41E-39	1.58E-38	-2.638590112	-2.638590112	-2.638590112	4.268964655	3.882272469
MinSal-1389-A1-17072018_C001g00179	MinSal-1389-A1-17072018_C010	bHD1	361466	364754	8.759471935	-0.681336943	0.002067226	0.002720494	9.212128989	8.97483981	8.765603595	8.283058441	8.346512789
MinSal-1389-A1-17072018_C001g00180	MinSal-1389-A1-17072018_C010	bHD1	365586	367123	7.690620824	-1.526949162	2.36E-12	4.59E-12	8.23889907	7.956779378	8.188531033	6.556869784	6.656110156
MinSal-1389-A1-17072018_C001g00181	MinSal-1389-A1-17072018_C010	bHD1	367801	370703	7.047391784	0.591291237	0.013703244	0.017024198	6.727059536	6.39928673	7.124284708	7.317244503	7.416387867
MinSal-1389-A1-17072018_C001g00182	MinSal-1389-A1-17072018_C010	bHD1	371096	373120	4.023128527	11.80599714	4.13E-48	1.68E-47	-2.638590112	-2.638590112	-2.638590112	5.521337063	4.713503167
MinSal-1389-A1-17072018_C001g00183	MinSal-1389-A1-17072018_C010	bHD1	373411	376342	5.248596793	0.786907959	0.000338387	0.000467098	4.865749235	4.593194563	5.114167942	5.612204665	5.680341994
MinSal-1389-A1-17072018_C001g00184	MinSal-1389-A1-17072018_C010	bHD1	376812	377346	7.65281763	0.422928571	0.034962433	0.041872954	7.353013783	7.508967792	7.532615217	7.917365506	7.860497495
MinSal-1389-A1-17072018_C001g00185	MinSal-1389-A1-17072018_C010	bHD1	377503	378402	5.044986302	4.459627213	3.16E-57	1.50E-56	1.571152841	1.666327829	2.179705074	6.005522138	6.345113605
MinSal-1389-A1-17072018_C001g00186	MinSal-1389-A1-17072018_C010	bHD1	378557	379159	5.970922599	5.808752403	1.66E-99	1.52E-98	1.497475387	1.666327829	1.07232403	7.19180903	7.218892501
MinSal-1389-A1-17072018_C001g00187	MinSal-1389-A1-17072018_C010	bHD1	379488	381425	6.540350511	0.874413109	0.000462387	0.000632381	6.0247115	6.471357243	5.749930304	7.142150169	6.82137435
MinSal-1389-A1-17072018_C001g00188	MinSal-1389-A1-17072018_C010	bHD1	383174	388242	7.68862887	-1.170734823	4.60E-08	7.63E-08	7.946183893	8.092467841	8.123454186	7.002214163	6.759646643
MinSal-1389-A1-17072018_C001g00189	MinSal-1389-A1-17072018_C010	bHD1	392294	397167	6.136264546	1.20081499	2.66E-09	4.62E-09	5.519593705	5.634777173	5.381138498	6.685492967	6.748992109
MinSal-1389-A1-17072018_C001g00190	MinSal-1389-A1-17072018_C010	bHD1	397386	400731	7.489395552	2.22925328	2.59E-24	7.25E-24	5.943807672	6.202869901	6.348579284	8.261640438	8.524259561
MinSal-1389-A1-17072018_C001g00191	MinSal-1389-A1-17072018_C010	bHD1	400997	402922	5.371366674	1.965299893	1.52E-21	3.99E-21	4.299280935	4.298851781	4.037978346	6.119027026	6.245186947
MinSal-1389-A1-17072018_C001g00192	MinSal-1389-A1-17072018_C010	bHD1	406412	411793	5.32066765	2.135396555	1.49E-21	3.91E-21	3.72018999	4.21990229	4.160554056	6.238795492	6.100836853
MinSal-1389-A1-17072018_C001g00194	MinSal-1389-A1-17072018_C010	bHD1	415302	415948	3.617637556	11.35770562	2.61E-55	1.20E-54	-2.638590112	-2.638590112	-2.638590112	4.718109341	4.736528486
MinSal-1389-A1-17072018_C001g00195	MinSal-1389-A1-17072018_C010	bHD1	416501	420572	5.76745306	13.66632748	7.38E-132	1.72E-130	-2.638590112	-2.638590112	-2.638590112	6.980994731	7.076266826
MinSal-1389-A1-17072018_C001g00196	MinSal-1389-A1-17072018_C010	bHD1	420939	423069	7.013370591	-0.753975519	0.002024815	0.002667642	7.313307188	6.938576919	7.519312465	6.698551352	6.319926603
MinSal-1389-A1-17072018_C001g00197	MinSal-1389-A1-17072018_C010	bHD1	424854	428390	7.016671889	1.573378745	2.72E-14	5.65E-14	6.047478419	6.228304794	6.218219244	7.833879895	7.634676487
MinSal-1389-A1-17072018_C001g00198	MinSal-1389-A1-17072018_C010	bHD1	428575	430779	5.821139806	-1.634318286	1.55E-14	3.24E-14	6.226308808	6.421508951	6.232264218	4.703377898	4.633984623
MinSal-1389-A1-17072018_C001g00199	MinSal-1389-A1-17072018_C010	bHD1	431358	433087	5.420181388	10.62910148	4.82E-124	7.93E-123	-1.696546282	-2.638590112	-2.638590112	6.667895867	6.664805452
MinSal-1389-A1-17072018_C001g00200	MinSal-1389-A1-17072018_C010	bHD1	433720	436265	7.740651761	-1.137259763	2.49E-06	3.81E-06	8.240311341	8.265219773	7.728646774	7.123366621	6.783181914
MinSal-1389-A1-17072018_C001g00201	MinSal-1389-A1-17072018_C010	bHD1	437195	438391	5.730212047	0.592787981	0.004098211	0.005280712	5.372794929	5.63096783	5.329810328	6.12179948	5.965542279
MinSal-1389-A1-17072018_C001g00208	MinSal-1389-A1-17072018_C010	bHD1	442993	444499	7.708606037	-0.694085068	0.001132385	0.001514447	7.987977229	7.755437528	8.090423471	7.167864095	7.340769202
