
gid	gname	chr	start	end	logCPM	logFC.MvSl.Mint	PV.MvSl.Mint	FDR.MvSl.Mint
MinSal-1389-A1-17072018_C001g00078	MinSal-1389-A1-17072018_C010	bHD1	13885	14988	6.32091576731855	11.5570494196271	1.51318247237234e-122	2.37225379134351e-121
MinSal-1389-A1-17072018_C001g00080	MinSal-1389-A1-17072018_C010	bHD1	21579	22921	5.54870603482054	13.4383916763915	2.34115600742253e-116	3.07620631928735e-115
MinSal-1389-A1-17072018_C001g00081	MinSal-1389-A1-17072018_C010	bHD1	23482	25265	7.02805620625146	1.15123895516089	1.49083516561967e-06	2.30189921611834e-06
MinSal-1389-A1-17072018_C001g00083	MinSal-1389-A1-17072018_C010	bHD1	31459	33009	0.40012618982631	4.87885664442781	3.11996515237241e-09	5.41086142609275e-09
MinSal-1389-A1-17072018_C001g00084	MinSal-1389-A1-17072018_C010	bHD1	33238	34824	6.02530961670514	-2.65122020736715	3.6470579593763e-11	6.78996715905246e-11
MinSal-1389-A1-17072018_C001g00085	MinSal-1389-A1-17072018_C010	bHD1	35753	36673	5.57748640733914	13.4684267341672	2.33912457537335e-124	3.90469077004577e-123
MinSal-1389-A1-17072018_C001g00091	MinSal-1389-A1-17072018_C010	bHD1	48042	50192	5.61111002610903	-1.33447495979113	9.00340326020317e-09	1.53316573907942e-08
MinSal-1389-A1-17072018_C001g00093	MinSal-1389-A1-17072018_C010	bHD1	61783	64284	6.70489345931286	1.1695498703221	6.42369799178068e-08	1.05858827306152e-07
MinSal-1389-A1-17072018_C001g00094	MinSal-1389-A1-17072018_C010	bHD1	66568	70304	0.136261514325591	-1.32281437754418	0.0146533884585224	0.0181475402309725
MinSal-1389-A1-17072018_C001g00096	MinSal-1389-A1-17072018_C010	bHD1	74330	75556	4.45302904022333	-1.18384348659742	2.4207513793351e-06	3.70777272523645e-06
MinSal-1389-A1-17072018_C001g00099	MinSal-1389-A1-17072018_C010	bHD1	76255	78029	7.06894308919721	-1.26682658470632	0.000150745185155634	0.000211435731889299
MinSal-1389-A1-17072018_C001g00100	MinSal-1389-A1-17072018_C010	bHD1	80572	81410	5.63201606839413	3.27869431676808	1.03534984404704e-33	3.43917218375714e-33
MinSal-1389-A1-17072018_C001g00101	MinSal-1389-A1-17072018_C010	bHD1	81872	84164	1.37409740769724	4.6212933168873	8.46356056240285e-15	1.79509877926984e-14
MinSal-1389-A1-17072018_C001g00102	MinSal-1389-A1-17072018_C010	bHD1	84942	87997	8.03138848459438	-1.41100620366565	1.90789653723601e-10	3.46072692980123e-10
MinSal-1389-A1-17072018_C001g00103	MinSal-1389-A1-17072018_C010	bHD1	88631	90089	5.99089448049642	7.62355924453662	8.09318634856544e-114	9.70854702461514e-113
MinSal-1389-A1-17072018_C001g00104	MinSal-1389-A1-17072018_C010	bHD1	92344	98689	2.9172349812989	1.35808254981807	0.00880657071517618	0.0111108660971118
MinSal-1389-A1-17072018_C001g00105	MinSal-1389-A1-17072018_C010	bHD1	98966	100951	5.46682633065159	-2.91674691237641	2.11153428793512e-28	6.45330180005339e-28
MinSal-1389-A1-17072018_C001g00109	MinSal-1389-A1-17072018_C010	bHD1	113046	113706	9.03215203958662	-1.50717838822525	4.86172651317223e-12	9.36320809784161e-12
MinSal-1389-A1-17072018_C001g00110	MinSal-1389-A1-17072018_C010	bHD1	113932	115561	5.38087685813978	4.53921350601663	1.71082870084766e-73	1.02407786679023e-72
MinSal-1389-A1-17072018_C001g00111	MinSal-1389-A1-17072018_C010	bHD1	118063	119381	4.23463165668283	12.0381633429545	1.60274720486597e-69	9.01127128656142e-69
MinSal-1389-A1-17072018_C001g00112	MinSal-1389-A1-17072018_C010	bHD1	120416	122719	3.9874457143087	11.7677549878445	1.67778626440125e-55	7.71937997115049e-55
MinSal-1389-A1-17072018_C001g00113	MinSal-1389-A1-17072018_C010	bHD1	123422	126369	0.225722558744358	-1.47402904785499	0.00202391289412829	0.00266704643331204
MinSal-1389-A1-17072018_C001g00114	MinSal-1389-A1-17072018_C010	bHD1	126606	128715	4.43044620614781	5.51271212232768	1.55814953282369e-55	7.18008874923265e-55
MinSal-1389-A1-17072018_C001g00115	MinSal-1389-A1-17072018_C010	bHD1	129224	131394	3.7439650257012	11.4981015574139	3.83643407818001e-56	1.78171695511714e-55
MinSal-1389-A1-17072018_C001g00121	MinSal-1389-A1-17072018_C010	bHD1	149317	150668	5.95740831808805	1.35395577325378	2.95553917092306e-11	5.51464896942383e-11
MinSal-1389-A1-17072018_C001g00122	MinSal-1389-A1-17072018_C010	bHD1	150937	152508	6.7369896017202	5.09516453681984	2.48468105051593e-67	1.35084586287683e-66
MinSal-1389-A1-17072018_C001g00123	MinSal-1389-A1-17072018_C010	bHD1	152796	153764	7.43871338955312	15.3788395483328	1.72930238994306e-181	3.5337399871733e-179
MinSal-1389-A1-17072018_C001g00124	MinSal-1389-A1-17072018_C010	bHD1	153994	156133	3.28874478607101	10.9881835202747	6.91987913395907e-47	2.74663119543479e-46
MinSal-1389-A1-17072018_C001g00125	MinSal-1389-A1-17072018_C010	bHD1	156856	159369	4.93704963109757	12.7940936160488	8.37746045826997e-70	4.72358046391131e-69
MinSal-1389-A1-17072018_C001g00126	MinSal-1389-A1-17072018_C010	bHD1	160075	165190	3.04496944608846	10.7118164342792	1.80338856845163e-41	6.7213085890845e-41
MinSal-1389-A1-17072018_C001g00127	MinSal-1389-A1-17072018_C010	bHD1	166190	168203	5.79740674871989	13.6975263203636	7.68135112246538e-115	9.5830919477326e-114
MinSal-1389-A1-17072018_C001g00130	MinSal-1389-A1-17072018_C010	bHD1	178120	179529	7.84456125741256	-2.27903071267851	2.6796952793412e-25	7.68257098470051e-25
MinSal-1389-A1-17072018_C001g00133	MinSal-1389-A1-17072018_C010	bHD1	182252	184714	4.21795006591351	12.0196729606179	7.63989910307846e-73	4.51836747353722e-72
MinSal-1389-A1-17072018_C001g00134	MinSal-1389-A1-17072018_C010	bHD1	185186	192009	3.47773501443586	8.5269854427302	6.40079323111814e-50	2.70164534812009e-49
MinSal-1389-A1-17072018_C001g00138	MinSal-1389-A1-17072018_C010	bHD1	195845	199025	7.52348090938711	-2.78319083482442	2.32054498423312e-20	5.8667020377839e-20
MinSal-1389-A1-17072018_C001g00139	MinSal-1389-A1-17072018_C010	bHD1	199379	200967	6.18018871398582	-2.91067546894365	2.85074350750737e-37	9.94320542995212e-37
MinSal-1389-A1-17072018_C001g00140	MinSal-1389-A1-17072018_C010	bHD1	201078	203173	3.66931954321708	11.4156651842509	2.35579394547205e-50	9.99315312875258e-50
MinSal-1389-A1-17072018_C001g00143	MinSal-1389-A1-17072018_C010	bHD1	216081	218237	5.71209109431205	9.10912777612537	1.24434386086318e-103	1.22695203319055e-102
MinSal-1389-A1-17072018_C001g00144	MinSal-1389-A1-17072018_C010	bHD1	218815	220462	3.71126099012931	11.462804692214	7.4912467156151e-40	2.72350478752976e-39
MinSal-1389-A1-17072018_C001g00145	MinSal-1389-A1-17072018_C010	bHD1	220577	224526	8.13181251353778	-1.67728011233283	8.64689695269188e-15	1.83332777608773e-14
MinSal-1389-A1-17072018_C001g00146	MinSal-1389-A1-17072018_C010	bHD1	262793	263119	6.0294752978721	2.0965017029677	1.53265973466876e-20	3.89307397670255e-20
MinSal-1389-A1-17072018_C001g00147	MinSal-1389-A1-17072018_C010	bHD1	263222	265713	2.26068292007753	9.80427234152882	1.90453104334683e-26	5.60668204812385e-26
MinSal-1389-A1-17072018_C001g00149	MinSal-1389-A1-17072018_C010	bHD1	270929	276032	5.23075726022047	10.4298472279024	5.06394065368798e-113	6.001782462751e-112
MinSal-1389-A1-17072018_C001g00150	MinSal-1389-A1-17072018_C010	bHD1	276401	278696	7.89139416777611	15.8369243996971	6.26419371395833e-187	1.76769580709129e-184
MinSal-1389-A1-17072018_C001g00154	MinSal-1389-A1-17072018_C010	bHD1	280780	286273	6.55453355354757	3.56245449504045	1.01310039545295e-48	4.15476328266725e-48
MinSal-1389-A1-17072018_C001g00155	MinSal-1389-A1-17072018_C010	bHD1	286500	289227	3.58643943542834	11.3228293609513	1.15539100202963e-54	5.25871511369247e-54
MinSal-1389-A1-17072018_C001g00156	MinSal-1389-A1-17072018_C010	bHD1	289673	292504	9.38245009732787	-1.13068040373584	4.64496776708091e-07	7.32271321833506e-07
MinSal-1389-A1-17072018_C001g00159	MinSal-1389-A1-17072018_C010	bHD1	301046	304500	5.61729000322298	13.5099923413295	1.19893589811534e-119	1.6997354383329e-118
MinSal-1389-A1-17072018_C001g00160	MinSal-1389-A1-17072018_C010	bHD1	305438	306752	4.74891767207526	-5.84063262097083	7.99102910703229e-74	4.79785597652212e-73
MinSal-1389-A1-17072018_C001g00161	MinSal-1389-A1-17072018_C010	bHD1	307007	309369	5.73370328759152	2.51636589504338	6.5798934422905e-26	1.91327029141381e-25
MinSal-1389-A1-17072018_C001g00165	MinSal-1389-A1-17072018_C010	bHD1	318479	323766	6.2297284241832	1.33240419710904	3.81725989412355e-09	6.5931454772883e-09
MinSal-1389-A1-17072018_C001g00169	MinSal-1389-A1-17072018_C010	bHD1	330230	332488	5.41655923234704	1.20083515294141	1.47440699076521e-08	2.49282049280303e-08
MinSal-1389-A1-17072018_C001g00170	MinSal-1389-A1-17072018_C010	bHD1	342239	345135	7.50672224843187	-1.86540143311569	1.36885652222182e-17	3.20499555538779e-17
MinSal-1389-A1-17072018_C001g00175	MinSal-1389-A1-17072018_C010	bHD1	357779	360054	3.04797226172214	10.7145495257948	4.41121708752459e-39	1.58237726759508e-38
MinSal-1389-A1-17072018_C001g00180	MinSal-1389-A1-17072018_C010	bHD1	365586	367123	7.69062082417598	-1.52694916226621	2.35721708128081e-12	4.58898437045667e-12
MinSal-1389-A1-17072018_C001g00182	MinSal-1389-A1-17072018_C010	bHD1	371096	373120	4.02312852748911	11.8059971395205	4.12923747055549e-48	1.68293406124565e-47
MinSal-1389-A1-17072018_C001g00185	MinSal-1389-A1-17072018_C010	bHD1	377503	378402	5.04498630236076	4.45962721253237	3.15708514656616e-57	1.49551451467235e-56
MinSal-1389-A1-17072018_C001g00186	MinSal-1389-A1-17072018_C010	bHD1	378557	379159	5.97092259869599	5.8087524033011	1.6564489791721e-99	1.52424171592762e-98
MinSal-1389-A1-17072018_C001g00188	MinSal-1389-A1-17072018_C010	bHD1	383174	388242	7.68862887016524	-1.1707348232442	4.60208711664136e-08	7.63492952217713e-08
MinSal-1389-A1-17072018_C001g00189	MinSal-1389-A1-17072018_C010	bHD1	392294	397167	6.1362645459074	1.20081498970425	2.65636818378461e-09	4.6176702426247e-09
MinSal-1389-A1-17072018_C001g00190	MinSal-1389-A1-17072018_C010	bHD1	397386	400731	7.48939555199492	2.22925328008541	2.58609362975614e-24	7.24938072371564e-24
MinSal-1389-A1-17072018_C001g00191	MinSal-1389-A1-17072018_C010	bHD1	400997	402922	5.37136667413744	1.9652998933641	1.5167542328258e-21	3.98770434060588e-21
MinSal-1389-A1-17072018_C001g00192	MinSal-1389-A1-17072018_C010	bHD1	406412	411793	5.32066765031053	2.13539655527485	1.48694476554351e-21	3.91106732383969e-21
MinSal-1389-A1-17072018_C001g00194	MinSal-1389-A1-17072018_C010	bHD1	415302	415948	3.61763755590881	11.3577056193656	2.60612206131348e-55	1.19534669778202e-54
MinSal-1389-A1-17072018_C001g00195	MinSal-1389-A1-17072018_C010	bHD1	416501	420572	5.76745306047249	13.6663274769153	7.3849545019674e-132	1.71940248253545e-130
MinSal-1389-A1-17072018_C001g00197	MinSal-1389-A1-17072018_C010	bHD1	424854	428390	7.0166718885727	1.57337874471369	2.71928371675872e-14	5.64825632860574e-14
MinSal-1389-A1-17072018_C001g00198	MinSal-1389-A1-17072018_C010	bHD1	428575	430779	5.82113980598571	-1.63431828629909	1.54756513513396e-14	3.23830190353243e-14
MinSal-1389-A1-17072018_C001g00199	MinSal-1389-A1-17072018_C010	bHD1	431358	433087	5.42018138789136	10.6291014765255	4.81795588045362e-124	7.93089070765782e-123
MinSal-1389-A1-17072018_C001g00200	MinSal-1389-A1-17072018_C010	bHD1	433720	436265	7.74065176142338	-1.13725976328825	2.48675638051436e-06	3.80591898526036e-06
MinSal-1389-A1-17072018_C001g00209	MinSal-1389-A1-17072018_C010	bHD1	444967	445689	4.96440621284873	12.8228249289312	1.60134359396848e-105	1.63050895839471e-104
MinSal-1389-A1-17072018_C001g00210	MinSal-1389-A1-17072018_C010	bHD1	449233	451465	5.11886549942858	4.05451818016558	5.77786026118877e-39	2.06811516316747e-38
MinSal-1389-A1-17072018_C001g00211	MinSal-1389-A1-17072018_C010	bHD1	460875	462343	10.0025545853472	-1.20566404112454	9.55028443861117e-07	1.48504291742875e-06
MinSal-1389-A1-17072018_C001g00214	MinSal-1389-A1-17072018_C010	bHD1	462731	463157	5.69581008850151	3.20731262019638	3.32037213077068e-50	1.40446290128102e-49
MinSal-1389-A1-17072018_C001g00216	MinSal-1389-A1-17072018_C010	bHD1	464649	466343	4.17686171019196	11.9745450661459	4.85459306666728e-57	2.29047121919349e-56
MinSal-1389-A1-17072018_C001g00217	MinSal-1389-A1-17072018_C010	bHD1	473650	474493	2.88753938412921	10.5317267490582	1.14987470844079e-39	4.17023104175039e-39
MinSal-1389-A1-17072018_C001g00218	MinSal-1389-A1-17072018_C010	bHD1	475707	476953	3.83118365162459	11.596159533931	2.72964563651184e-33	9.01665554178883e-33
MinSal-1389-A1-17072018_C001g00219	MinSal-1389-A1-17072018_C010	bHD1	477521	478834	4.05574924752579	11.8426629406638	1.5357548924826e-61	7.71261312953549e-61
MinSal-1389-A1-17072018_C001g00220	MinSal-1389-A1-17072018_C010	bHD1	479317	480647	2.65126695873177	10.259500932273	3.5917926608806e-36	1.23606058701385e-35
MinSal-1389-A1-17072018_C001g00222	MinSal-1389-A1-17072018_C010	bHD1	483565	486222	7.35000723257263	-2.17385792463081	2.09198269823189e-22	5.59688012177072e-22
MinSal-1389-A1-17072018_C001g00224	MinSal-1389-A1-17072018_C010	bHD1	489266	490884	9.26759751563241	-1.71345900158726	7.96437945188631e-06	1.19033827570941e-05
MinSal-1389-A1-17072018_C001g00226	MinSal-1389-A1-17072018_C010	bHD1	495507	499090	6.64597709415853	1.43850087235098	1.89397460126084e-11	3.56194652080982e-11
MinSal-1389-A1-17072018_C001g00227	MinSal-1389-A1-17072018_C010	bHD1	499262	500920	5.78660771862255	13.6862403095395	2.4126020613117e-132	5.74179912262376e-131
MinSal-1389-A1-17072018_C001g00229	MinSal-1389-A1-17072018_C010	bHD1	505162	507803	5.94996748458029	1.44763906134589	7.29195702176058e-11	1.3436609860371e-10
MinSal-1389-A1-17072018_C001g00230	MinSal-1389-A1-17072018_C010	bHD1	508129	512577	6.18144960493286	11.4143407852617	5.24134794537314e-133	1.29417616351172e-131
MinSal-1389-A1-17072018_C001g00232	MinSal-1389-A1-17072018_C010	bHD1	516263	518201	5.97465111555898	2.54596333931812	1.00720163773335e-18	2.4332152079934e-18
MinSal-1389-A1-17072018_C001g00234	MinSal-1389-A1-17072018_C010	bHD1	518802	520672	4.76232588352813	2.99062866986027	1.25831197426572e-23	3.46987285225624e-23
MinSal-1389-A1-17072018_C001g00235	MinSal-1389-A1-17072018_C010	bHD1	520825	522748	6.85134868735011	2.29525410749413	3.21138647650759e-28	9.78440938806375e-28
MinSal-1389-A1-17072018_C001g00237	MinSal-1389-A1-17072018_C010	bHD1	525400	526298	5.22183307375648	2.68776689776285	1.55938641289333e-20	3.95756911469203e-20
MinSal-1389-A1-17072018_C001g00243	MinSal-1389-A1-17072018_C010	bHD1	541830	542700	4.86942730603889	3.65332776805102	3.54508651262625e-47	1.41851334732094e-46
MinSal-1389-A1-17072018_C001g00244	MinSal-1389-A1-17072018_C010	bHD1	546799	547773	4.20189305371194	1.10040039776569	3.48476774002925e-06	5.29370254483808e-06
MinSal-1389-A1-17072018_C001g00246	MinSal-1389-A1-17072018_C010	bHD1	548013	550956	7.83203871310165	10.2820373476382	7.23171939541859e-120	1.04270484518858e-118
MinSal-1389-A1-17072018_C001g00247	MinSal-1389-A1-17072018_C010	bHD1	551649	554568	6.94462236005603	2.57026968003035	1.70505201848194e-31	5.48839666568387e-31
MinSal-1389-A1-17072018_C001g00249	MinSal-1389-A1-17072018_C010	bHD1	562627	564197	4.76057811874954	12.6057548015175	2.52292697954497e-85	1.76933316932349e-84
MinSal-1389-A1-17072018_C001g00250	MinSal-1389-A1-17072018_C010	bHD1	564620	566125	7.45457669725516	1.17892337054917	0.00101822423835984	0.00136608486224144
MinSal-1389-A1-17072018_C001g00251	MinSal-1389-A1-17072018_C010	bHD1	567428	569253	2.26580594692489	9.81300267981948	1.00518130512583e-23	2.77961008594292e-23
MinSal-1389-A1-17072018_C001g00253	MinSal-1389-A1-17072018_C010	bHD1	571522	576235	6.25383087367069	11.5002157414934	7.5349072226734e-78	4.77560002155749e-77
MinSal-1389-A1-17072018_C001g00254	MinSal-1389-A1-17072018_C010	bHD1	577563	578511	3.83494053198906	11.5994164086119	2.49510542363725e-56	1.16242097016308e-55
MinSal-1389-A1-17072018_C001g00255	MinSal-1389-A1-17072018_C010	bHD1	579280	582333	7.85356481216822	11.7014060054602	4.12324466100199e-192	1.35746377006099e-189
MinSal-1389-A1-17072018_C001g00258	MinSal-1389-A1-17072018_C010	bHD1	582850	585040	5.03159932140604	12.8942084770548	9.22655423775365e-105	9.23590547515678e-104
MinSal-1389-A1-17072018_C001g00259	MinSal-1389-A1-17072018_C010	bHD1	585967	587048	9.36001029046431	-1.83533646341667	1.807143464462e-15	3.93573398397715e-15
MinSal-1389-A1-17072018_C001g00265	MinSal-1389-A1-17072018_C010	bHD1	587644	589226	8.32277846919909	-1.10325846666537	7.45592816487402e-08	1.22562636075017e-07
MinSal-1389-A1-17072018_C001g00266	MinSal-1389-A1-17072018_C010	bHD1	589510	595583	3.9798554829945	11.7591162065247	9.78879112946666e-66	5.19322974334999e-65
MinSal-1389-A1-17072018_C001g00268	MinSal-1389-A1-17072018_C010	bHD1	597219	601013	6.23755530462871	1.77874970118542	2.36201027084213e-14	4.91304768866635e-14
MinSal-1389-A1-17072018_C001g00269	MinSal-1389-A1-17072018_C010	bHD1	601971	603800	7.22954434860969	-1.81581742860394	3.65603674345618e-16	8.16956023443488e-16
MinSal-1389-A1-17072018_C001g00270	MinSal-1389-A1-17072018_C010	bHD1	603965	606243	4.67442711238305	2.62099611115242	7.83546394063478e-28	2.37023784135792e-27
MinSal-1389-A1-17072018_C001g00276	MinSal-1389-A1-17072018_C010	bHD1	618059	620219	3.32918857798732	11.033314173936	1.40641996692667e-39	5.08818359219012e-39
MinSal-1389-A1-17072018_C001g00279	MinSal-1389-A1-17072018_C010	bHD1	623508	625277	8.92047920666436	4.80725996669963	9.64148983507333e-58	4.60769909376166e-57
MinSal-1389-A1-17072018_C001g00280	MinSal-1389-A1-17072018_C010	bHD1	625825	627169	5.69602650646008	1.94989217973609	2.7930569982275e-20	7.03427784593971e-20
MinSal-1389-A1-17072018_C001g00281	MinSal-1389-A1-17072018_C010	bHD1	627321	627506	2.4682493095128	10.0474972526818	8.03404092793365e-33	2.63619748277601e-32
MinSal-1389-A1-17072018_C001g00282	MinSal-1389-A1-17072018_C010	bHD1	627688	629631	7.11419806679765	2.89323454981714	8.88090441175337e-33	2.91085395708244e-32
MinSal-1389-A1-17072018_C001g00283	MinSal-1389-A1-17072018_C010	bHD1	629830	630120	10.8054391368154	-2.46358993792829	4.74298600234517e-12	9.13914167016368e-12
MinSal-1389-A1-17072018_C001g00284	MinSal-1389-A1-17072018_C010	bHD1	630673	631005	3.35798262181926	11.0662992945883	2.91586685463325e-48	1.19004318047911e-47
MinSal-1389-A1-17072018_C001g00285	MinSal-1389-A1-17072018_C010	bHD1	633544	636735	6.23070540198424	2.07428724913387	4.49555734402117e-18	1.06605333416044e-17
MinSal-1389-A1-17072018_C001g00286	MinSal-1389-A1-17072018_C010	bHD1	637260	638564	1.73496879163516	9.18676414595715	1.06217100139815e-22	2.86240352627805e-22
MinSal-1389-A1-17072018_C001g00287	MinSal-1389-A1-17072018_C010	bHD1	638668	639764	2.5785671508449	10.1755582172976	1.25662391606474e-34	4.23110984465889e-34
MinSal-1389-A1-17072018_C001g00288	MinSal-1389-A1-17072018_C010	bHD1	639886	640403	4.73959088248413	12.5832836714532	8.75888070791652e-87	6.27631524487465e-86
MinSal-1389-A1-17072018_C001g00290	MinSal-1389-A1-17072018_C010	bHD1	643619	644664	7.50766635708001	-1.02296649528346	1.2492869313848e-05	1.85030581551657e-05
MinSal-1389-A1-17072018_C001g00291	MinSal-1389-A1-17072018_C010	bHD1	644867	646836	6.82858596534896	-2.11436298553145	3.17232422589813e-18	7.55291014972774e-18
MinSal-1389-A1-17072018_C001g00292	MinSal-1389-A1-17072018_C010	bHD1	647226	649640	8.41614670439618	-1.90395822682692	3.87033262970692e-08	6.44620325004025e-08
MinSal-1389-A1-17072018_C001g00293	MinSal-1389-A1-17072018_C010	bHD1	649902	651202	6.74724246548378	-1.77022492410672	2.17582902479365e-15	4.71960571044186e-15
MinSal-1389-A1-17072018_C001g00294	MinSal-1389-A1-17072018_C010	bHD1	651445	653575	8.27610451873167	-1.90586659349569	3.68888549433793e-13	7.3406096170069e-13
MinSal-1389-A1-17072018_C001g00298	MinSal-1389-A1-17072018_C010	bHD1	683718	685013	3.35853184349736	11.0669718262239	6.56908156778784e-49	2.70711942772676e-48
MinSal-1389-A1-17072018_C001g00299	MinSal-1389-A1-17072018_C010	bHD1	685687	690355	3.34616585848531	11.0531471216426	3.29724593050333e-49	1.36353659345169e-48
MinSal-1389-A1-17072018_C001g00301	MinSal-1389-A1-17072018_C010	bHD1	690861	692686	8.49182873107286	-1.67127596682506	1.47920617751654e-10	2.69550301597879e-10
MinSal-1389-A1-17072018_C001g00304	MinSal-1389-A1-17072018_C010	bHD1	695900	697678	4.69228819097106	3.51481988006827	9.39174617803971e-38	3.29322413319901e-37
