gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	bias
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1970332	1974462	5.93035825	-3.509378289	8.24E-55	4.40E-52	a2
MvSl-1064-A1-R4_MC12g10810	MvSl-1064-A1-R4_MC12	Chr12	173282	175019	4.707687888	-3.479844036	4.31E-26	6.57E-24	a2
MvSl-1064-A1-R4_MC02g04225	MvSl-1064-A1-R4_MC02	Chr02	2520294	2521314	0.836466433	-3.336924952	3.19E-10	1.65E-08	a2
MvSl-1064-A1-R4_MC05-3g06747	MvSl-1064-A1-R4_MC05-3	Chr05	664553	665083	3.751364789	-3.253641177	2.92E-23	3.67E-21	a2
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A1-R4_A1	aMAT	2519820	2520678	1.456748042	-3.1475067	5.20E-12	3.32E-10	a2
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A1-R4_A1	aMAT	3035765	3037588	5.585095293	-3.065033979	1.93E-41	5.89E-39	a2
MvSl-1064-A1-R4_A1g00628	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	6.566260623	-3.018808589	1.17E-37	3.11E-35	a2
MvSl-1064-A1-R4_MC06g06947	MvSl-1064-A1-R4_MC06	Chr06	232660	235326	6.326569699	-2.990309692	1.64E-40	4.68E-38	a2
MvSl-1064-A1-R4_MC06g06945	MvSl-1064-A1-R4_MC06	Chr06	229052	230768	10.00610865	-2.948332512	6.00E-15	5.03E-13	a2
MvSl-1064-A1-R4_A1g01493	MvSl-1064-A1-R4_A1	aMAT	3342886	3345193	0.143937876	-2.930023968	1.67E-06	5.15E-05	a2
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	5.666856495	-2.764413249	2.80E-28	4.52E-26	a2
MvSl-1064-A1-R4_MC10-1g09820	MvSl-1064-A1-R4_MC10-1	Chr10	292132	298154	1.368689677	-2.726059901	1.59E-09	7.26E-08	a2
MvSl-1064-A1-R4_A1g00016	MvSl-1064-A1-R4_A1	aMAT	31867	32715	1.823444182	-2.671972801	1.24E-09	5.82E-08	a2
MvSl-1064-A1-R4_MC02g03451	MvSl-1064-A1-R4_MC02	Chr02	723169	723507	0.554277049	-2.668968539	2.35E-07	8.44E-06	a2
MvSl-1064-A1-R4_MC06g06946	MvSl-1064-A1-R4_MC06	Chr06	230960	231869	7.017319242	-2.605561205	3.62E-36	8.85E-34	a2
MvSl-1064-A1-R4_MC05-2g06420	MvSl-1064-A1-R4_MC05-2	Chr05	265218	269867	2.934544065	-2.531381084	5.45E-12	3.43E-10	a2
MvSl-1064-A1-R4_MC02g04185	MvSl-1064-A1-R4_MC02	Chr02	2419609	2421508	5.141434231	-2.522903041	1.19E-24	1.62E-22	a2
MvSl-1064-A1-R4_MC05-3g06523	MvSl-1064-A1-R4_MC05-3	Chr05	343243	346503	0.088810483	-2.427079998	2.29E-05	0.000593338	a2
MvSl-1064-A1-R4_A1g00015	MvSl-1064-A1-R4_A1	aMAT	31145	31816	4.728011616	-2.421298156	1.59E-15	1.42E-13	a2
MvSl-1064-A1-R4_MC04-1g06073	MvSl-1064-A1-R4_MC04-2	Chr04	1915530	1916180	6.69975206	-2.404658963	4.11E-32	8.37E-30	a2
MvSl-1064-A1-R4_MC08g08318	MvSl-1064-A1-R4_MC08	Chr08	170007	171453	2.156293226	-2.383547533	2.18E-09	9.69E-08	a2
MvSl-1064-A1-R4_MC02g03508	MvSl-1064-A1-R4_MC02	Chr02	829013	830241	1.940432268	-2.300600211	5.95E-08	2.27E-06	a2
MvSl-1064-A1-R4_A1g00448	MvSl-1064-A1-R4_A1	aMAT	3110528	3114459	6.769288689	-2.200893457	1.52E-25	2.25E-23	a2
MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2598714	2598931	9.095566891	-2.188677548	2.80E-12	1.88E-10	a2
MvSl-1064-A1-R4_MC07g08233	MvSl-1064-A1-R4_MC07	Chr07	1687994	1691309	4.281706355	-2.188232416	2.05E-15	1.77E-13	a2
MvSl-1064-A1-R4_MC02g04217	MvSl-1064-A1-R4_MC02	Chr02	2500661	2500881	4.585960727	-2.060362229	1.12E-15	1.03E-13	a2
MvSl-1064-A1-R4_MC06g07079	MvSl-1064-A1-R4_MC06	Chr06	595535	600785	1.669252126	-1.993922013	7.75E-07	2.53E-05	a2
MvSl-1064-A1-R4_MC06g07412	MvSl-1064-A1-R4_MC06	Chr06	1433455	1433734	1.912479392	-1.99287112	3.48E-07	1.21E-05	a2
MvSl-1064-A1-R4_MC06g06944	MvSl-1064-A1-R4_MC06	Chr06	222330	228153	2.050573878	-1.980106975	3.45E-06	0.000100751	a2
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	6.456170652	-1.952930588	1.30E-23	1.65E-21	a2
MvSl-1064-A1-R4_MC02g03360	MvSl-1064-A1-R4_MC02	Chr02	501565	509249	3.032534274	-1.932556102	2.68E-08	1.07E-06	a2
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	651956	657345	4.805555172	-1.92950017	2.21E-12	1.51E-10	a2
MvSl-1064-A1-R4_A1g01212	MvSl-1064-A1-R4_A1	aMAT	1300472	1304579	3.681776849	-1.916759575	3.57E-07	1.23E-05	a2
MvSl-1064-A1-R4_MC02g03392	MvSl-1064-A1-R4_MC02	Chr02	576424	584158	3.078369971	-1.90387515	2.23E-08	8.90E-07	a2
MvSl-1064-A1-R4_MC10-2g10078	MvSl-1064-A1-R4_MC10-2	Chr10	617264	621090	5.805485191	-1.900034164	8.15E-19	8.61E-17	a2
MvSl-1064-A1-R4_MC03g05082	MvSl-1064-A1-R4_MC03	Chr03	2015028	2016811	2.793279695	-1.887609074	2.29E-07	8.28E-06	a2
MvSl-1064-A1-R4_MC01-1g02837	MvSl-1064-A1-R4_MC01-1	Chr01	2239253	2239736	3.730794518	-1.876848734	1.75E-09	7.93E-08	a2
MvSl-1064-A1-R4_MC03g04879	MvSl-1064-A1-R4_MC03	Chr03	1511301	1512245	4.267983526	-1.84868273	5.17E-12	3.32E-10	a2
MvSl-1064-A1-R4_MC01-1g02861	MvSl-1064-A1-R4_MC01-1	Chr01	2306805	2311302	5.213690471	-1.842429842	1.66E-15	1.46E-13	a2
MvSl-1064-A1-R4_A1g00594	MvSl-1064-A1-R4_A1	aMAT	1098507	1099824	5.062947197	-1.835910271	7.11E-13	5.02E-11	a2
MvSl-1064-A1-R4_MC11g10730	MvSl-1064-A1-R4_MC11	Chr11	1404174	1407908	2.351630764	-1.806977046	3.56E-06	0.00010337	a2
MvSl-1064-A1-R4_MC15g12082	MvSl-1064-A1-R4_MC15	Chr15	173809	175626	1.710736431	-1.788336519	1.14E-05	0.000309742	a2
MvSl-1064-A1-R4_MC01-1g02082	MvSl-1064-A1-R4_MC01-1	Chr01	484788	486625	7.161669708	-1.782062892	3.01E-14	2.38E-12	a2
MvSl-1064-A1-R4_MC14g11980	MvSl-1064-A1-R4_MC14	Chr14	572936	573493	2.22956456	-1.769421928	2.86E-06	8.53E-05	a2
MvSl-1064-A1-R4_MC03g05235	MvSl-1064-A1-R4_MC03	Chr03	2384276	2386106	6.150510706	-1.764312444	8.62E-08	3.20E-06	a2
MvSl-1064-A1-R4_MC03g04807	MvSl-1064-A1-R4_MC03	Chr03	1345764	1346051	4.290409262	-1.761008869	1.04E-08	4.35E-07	a2
MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2516666	2518918	6.202889736	-1.734381671	1.81E-15	1.58E-13	a2
MvSl-1064-A1-R4_MC04-1g05279	MvSl-1064-A1-R4_MC04-1	Chr04	14662	15523	0.581156142	-1.7146887	0.000703332	0.013128358	a2
MvSl-1064-A1-R4_MC01-1g02852	MvSl-1064-A1-R4_MC01-1	Chr01	2277804	2277986	4.592848345	-1.693855885	2.80E-11	1.64E-09	a2
MvSl-1064-A1-R4_MC09-2g09232	MvSl-1064-A1-R4_MC09-2	Chr09	771106	771513	4.495481705	-1.679549321	8.69E-09	3.64E-07	a2
MvSl-1064-A1-R4_MC01-1g02839	MvSl-1064-A1-R4_MC01-1	Chr01	2241972	2244590	4.726355299	-1.671422591	2.22E-09	9.82E-08	a2
MvSl-1064-A1-R4_A1g00014	MvSl-1064-A1-R4_A1	aMAT	27672	29826	3.986166643	-1.647743756	4.11E-07	1.40E-05	a2
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	5.694014129	-1.646693649	7.76E-10	3.79E-08	a2
MvSl-1064-A1-R4_MC01-2g02971	MvSl-1064-A1-R4_MC01-2	Chr01	2553752	2554384	2.638559373	-1.624207692	1.22E-05	0.000328081	a2
MvSl-1064-A1-R4_MC01-1g02161	MvSl-1064-A1-R4_MC01-1	Chr01	604276	606975	3.116312176	-1.612389211	4.01E-05	0.000997114	a2
MvSl-1064-A1-R4_MC12g11273	MvSl-1064-A1-R4_MC12	Chr12	1325547	1330139	7.668898456	-1.606021691	1.42E-14	1.16E-12	a2
MvSl-1064-A1-R4_MC11g10688	MvSl-1064-A1-R4_MC11	Chr11	1293047	1293321	0.666542812	-1.582352777	0.000807215	0.014682726	a2
MvSl-1064-A1-R4_MC03g04474	MvSl-1064-A1-R4_MC03	Chr03	530465	533423	0.820213933	-1.570200753	0.001249242	0.021232144	a2
MvSl-1064-A1-R4_MC07g07984	MvSl-1064-A1-R4_MC07	Chr07	1072860	1073318	1.185389112	-1.570091356	0.000483808	0.009443087	a2
MvSl-1064-A1-R4_MC01-1g02005	MvSl-1064-A1-R4_MC01-1	Chr01	379911	381720	5.257499538	-1.562530536	7.14E-12	4.42E-10	a2
MvSl-1064-A1-R4_MC10-1g09785	MvSl-1064-A1-R4_MC10-1	Chr10	253166	256550	2.168565211	-1.544787561	0.003026542	0.04438063	a2
MvSl-1064-A1-R4_MC11g10303	MvSl-1064-A1-R4_MC11	Chr11	314171	315245	3.544673804	-1.538649848	8.50E-07	2.74E-05	a2
MvSl-1064-A1-R4_MC03g04929	MvSl-1064-A1-R4_MC03	Chr03	1648424	1649875	3.559898973	-1.536562786	2.95E-07	1.04E-05	a2
MvSl-1064-A1-R4_MC09-2g09215	MvSl-1064-A1-R4_MC09-2	Chr09	727387	730261	7.609934619	-1.518359073	1.30E-09	6.07E-08	a2
MvSl-1064-A1-R4_MC01-1g02899	MvSl-1064-A1-R4_MC01-1	Chr01	2407407	2407795	2.452834537	-1.512868526	2.63E-05	0.000665917	a2
MvSl-1064-A1-R4_A1g00646	MvSl-1064-A1-R4_A1	aMAT	2916000	2917527	8.061495384	-1.506373241	1.16E-09	5.46E-08	a2
MvSl-1064-A1-R4_MC01-1g02724	MvSl-1064-A1-R4_MC01-1	Chr01	1942767	1945079	0.911793129	-1.496333291	0.000789035	0.014444245	a2
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	6.990703053	-1.487301401	2.69E-15	2.30E-13	a2
MvSl-1064-A1-R4_MC02g04246	MvSl-1064-A1-R4_MC03	Chr03	10734	11302	1.786634436	-1.470663338	0.000229933	0.004725225	a2
MvSl-1064-A1-R4_MC06g07081	MvSl-1064-A1-R4_MC06	Chr06	612733	619013	4.333613719	-1.461367666	3.24E-08	1.28E-06	a2
MvSl-1064-A1-R4_MC05-2g06485	MvSl-1064-A1-R4_MC05-3	Chr05	324269	326695	3.968869859	-1.429571067	1.34E-06	4.20E-05	a2
MvSl-1064-A1-R4_MC06g07136	MvSl-1064-A1-R4_MC06	Chr06	747469	748345	7.165061002	-1.428404869	8.59E-13	6.02E-11	a2
MvSl-1064-A1-R4_MC07g08097	MvSl-1064-A1-R4_MC07	Chr07	1356317	1358239	4.420988349	-1.422474269	3.57E-07	1.23E-05	a2
MvSl-1064-A1-R4_A1g00168	MvSl-1064-A1-R4_A1	aMAT	718774	719371	3.593941903	-1.420237846	8.84E-05	0.002041729	a2
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1119790	1125248	4.330083151	-1.412656761	5.32E-05	0.001272819	a2
MvSl-1064-A1-R4_MC06g06972	MvSl-1064-A1-R4_MC06	Chr06	305280	309649	3.661888815	-1.410101842	2.82E-06	8.43E-05	a2
MvSl-1064-A1-R4_MC10-1g09814	MvSl-1064-A1-R4_MC10-1	Chr10	286844	287131	8.117220395	-1.374157275	3.57E-06	0.00010337	a2
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	180716	185718	5.542369321	-1.367630539	5.04E-10	2.49E-08	a2
MvSl-1064-A1-R4_MC09-2g09580	MvSl-1064-A1-R4_MC01-1	Chr01	4141	7652	4.070377367	-1.359168185	1.02E-06	3.26E-05	a2
MvSl-1064-A1-R4_MC05-3g06520	MvSl-1064-A1-R4_MC05-3	Chr05	339369	346823	8.672557277	-1.351995767	9.12E-08	3.36E-06	a2
MvSl-1064-A1-R4_A1g01174	MvSl-1064-A1-R4_A1	aMAT	2576791	2577822	6.028028533	-1.343688683	9.53E-11	5.26E-09	a2
MvSl-1064-A1-R4_MC05-3g06511	MvSl-1064-A1-R4_MC05-3	Chr05	331413	333406	3.330650203	-1.323522772	4.59E-05	0.001128361	a2
MvSl-1064-A1-R4_MC01-1g01699	MvSl-1064-A1-R4_MC01-1	Chr01	14920	16821	5.539113531	-1.319583218	4.78E-10	2.37E-08	a2
MvSl-1064-A1-R4_MC18g12256	MvSl-1064-A1-R4_MC18	Chr18	17583	18462	1.00675433	-1.312042703	0.003376836	0.048764482	a2
MvSl-1064-A1-R4_MC11g10236	MvSl-1064-A1-R4_MC11	Chr11	174537	177515	4.097848589	-1.307956371	5.20E-06	0.000146683	a2
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A1-R4_A1	aMAT	1751427	1752854	5.076743613	-1.306575235	7.95E-08	3.00E-06	a2
MvSl-1064-A1-R4_MC12g11205	MvSl-1064-A1-R4_MC12	Chr12	1134446	1134742	6.151825048	-1.294487564	7.61E-09	3.20E-07	a2
MvSl-1064-A1-R4_MC03g04840	MvSl-1064-A1-R4_MC03	Chr03	1414458	1415377	3.522511215	-1.277030027	2.05E-05	0.000533001	a2
MvSl-1064-A1-R4_A1g00626	MvSl-1064-A1-R4_A1	aMAT	2709667	2711246	3.045373552	-1.254644399	9.35E-05	0.002143854	a2
MvSl-1064-A1-R4_MC03g05154	MvSl-1064-A1-R4_MC03	Chr03	2187002	2188631	6.1323058	-1.253849334	1.44E-09	6.69E-08	a2
MvSl-1064-A1-R4_MC05-3g06513	MvSl-1064-A1-R4_MC05-3	Chr05	333219	334279	5.629104666	-1.224846913	7.12E-05	0.001667724	a2
MvSl-1064-A1-R4_MC01-2g03113	MvSl-1064-A1-R4_MC01-2	Chr01	2893115	2893489	3.905020513	-1.190902817	0.000162498	0.003481686	a2
MvSl-1064-A1-R4_MC11g10594	MvSl-1064-A1-R4_MC11	Chr11	1066922	1067246	2.965279865	-1.179155962	0.000603667	0.011519531	a2
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	5.488642924	-1.168558114	2.01E-07	7.28E-06	a2
MvSl-1064-A1-R4_MC08g08647	MvSl-1064-A1-R4_MC08	Chr08	1005844	1008701	7.66948414	-1.164412299	5.76E-07	1.92E-05	a2
MvSl-1064-A1-R4_MC04-1g05504	MvSl-1064-A1-R4_MC04-1	Chr04	503362	503958	8.09070929	-1.156400131	6.34E-07	2.09E-05	a2
MvSl-1064-A1-R4_MC05-3g06515	MvSl-1064-A1-R4_MC05-3	Chr05	333921	340706	9.819871578	-1.154134943	0.000191032	0.004012616	a2
MvSl-1064-A1-R4_MC10-2g10098	MvSl-1064-A1-R4_MC10-2	Chr10	662159	664366	7.745759317	-1.143945715	9.67E-05	0.002192478	a2
MvSl-1064-A1-R4_MC10-1g09620	MvSl-1064-A1-R4_MC10-1	Chr10	57521	59809	3.238135729	-1.130350536	0.000316192	0.006390374	a2
MvSl-1064-A1-R4_MC05-3g06514	MvSl-1064-A1-R4_MC05-3	Chr05	333416	334242	8.716049418	-1.117604784	7.85E-06	0.000215865	a2
MvSl-1064-A1-R4_MC11g10722	MvSl-1064-A1-R4_MC11	Chr11	1381368	1381643	8.385266482	-1.116450817	2.95E-06	8.72E-05	a2
MvSl-1064-A1-R4_MC06g07140	MvSl-1064-A1-R4_MC06	Chr06	755046	757789	6.632849507	-1.114499409	4.48E-09	1.93E-07	a2
MvSl-1064-A1-R4_MC05-3g06731	MvSl-1064-A1-R4_MC05-3	Chr05	630141	632459	3.765130384	-1.110557998	0.000131366	0.002887019	a2
MvSl-1064-A1-R4_MC01-1g02359	MvSl-1064-A1-R4_MC01-1	Chr01	1072505	1073440	5.292900413	-1.095470345	5.27E-05	0.001266383	a2
MvSl-1064-A1-R4_MC08g08437	MvSl-1064-A1-R4_MC08	Chr08	479562	479717	3.061135831	-1.091716353	0.000949362	0.016873374	a2
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	aMAT	841678	844038	4.786379612	-1.080405595	0.00015815	0.0034056	a2
MvSl-1064-A1-R4_MC03g05159	MvSl-1064-A1-R4_MC03	Chr03	2193893	2194681	6.132922671	-1.075091541	4.00E-08	1.56E-06	a2
MvSl-1064-A1-R4_MC07g08057	MvSl-1064-A1-R4_MC07	Chr07	1250646	1252658	4.443322735	-1.074575189	4.64E-05	0.00113626	a2
MvSl-1064-A1-R4_MC03g04642	MvSl-1064-A1-R4_MC03	Chr03	921260	925020	6.442336358	-1.07257881	4.09E-07	1.40E-05	a2
MvSl-1064-A1-R4_MC01-1g02008	MvSl-1064-A1-R4_MC01-1	Chr01	383122	384434	8.284435452	-1.070633349	0.001409225	0.023393131	a2
MvSl-1064-A1-R4_MC05-3g06518	MvSl-1064-A1-R4_MC05-3	Chr05	337264	338212	7.957817206	-1.068391232	3.10E-06	9.11E-05	a2
MvSl-1064-A1-R4_MC04-1g05744	MvSl-1064-A1-R4_MC04-1	Chr04	1069684	1072396	5.761746384	-1.064099059	4.61E-07	1.55E-05	a2
MvSl-1064-A1-R4_MC05-3g06707	MvSl-1064-A1-R4_MC05-3	Chr05	565851	570084	7.153368434	-1.033030577	8.62E-08	3.20E-06	a2
MvSl-1064-A1-R4_MC05-3g06517	MvSl-1064-A1-R4_MC05-3	Chr05	336152	336708	8.124266244	-1.030728333	5.92E-06	0.000164757	a2
MvSl-1064-A1-R4_MC01-1g02180	MvSl-1064-A1-R4_MC01-1	Chr01	653570	656228	4.206258925	-1.019676864	0.000391311	0.007743791	a2
MvSl-1064-A1-R4_MC06g06896	MvSl-1064-A1-R4_MC06	Chr06	106884	109986	6.132855032	-1.014107806	4.50E-07	1.53E-05	a2
MvSl-1064-A1-R4_MC03g04915	MvSl-1064-A1-R4_MC03	Chr03	1601268	1603634	2.885315329	-1.008182435	0.003442003	0.049621725	a2
MvSl-1064-A1-R4_MC03g04895	MvSl-1064-A1-R4_MC03	Chr03	1588368	1590325	5.86251617	-0.997991256	5.44E-05	0.001296378	a2
MvSl-1064-A1-R4_MC01-1g02603	MvSl-1064-A1-R4_MC01-1	Chr01	1669135	1669419	4.793482327	-0.994476219	0.001648449	0.026690519	a2
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A1-R4_A1	aMAT	177417	178892	7.162015405	-0.993002656	8.92E-05	0.002056118	a2
MvSl-1064-A1-R4_MC01-1g02267	MvSl-1064-A1-R4_MC01-1	Chr01	862521	862738	3.806879058	-0.991272367	0.001068189	0.018674741	a2
MvSl-1064-A1-R4_MC13g11645	MvSl-1064-A1-R4_MC13	Chr13	837582	839150	7.735144653	-0.981775324	0.000253469	0.005171621	a2
MvSl-1064-A1-R4_MC03g05141	MvSl-1064-A1-R4_MC03	Chr03	2155040	2156556	8.179241109	-0.964512004	0.000392699	0.007744282	a2
MvSl-1064-A1-R4_MC05-3g06519	MvSl-1064-A1-R4_MC05-3	Chr05	339298	341280	7.956580056	-0.96196907	0.000215078	0.004441316	a2
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	2776699	2777667	8.659814433	-0.952952226	0.000213002	0.00443055	a2
MvSl-1064-A1-R4_A1g01384	MvSl-1064-A1-R4_A1	aMAT	1838292	1841771	7.461687284	-0.947792045	4.74E-06	0.000134121	a2
MvSl-1064-A1-R4_MC11g10214	MvSl-1064-A1-R4_MC11	Chr11	121781	122734	6.027313228	-0.947429324	1.43E-06	4.46E-05	a2
MvSl-1064-A1-R4_MC12g10989	MvSl-1064-A1-R4_MC12	Chr12	610583	611894	3.738704173	-0.932000816	0.00126676	0.021487163	a2
MvSl-1064-A1-R4_A1g01494	MvSl-1064-A1-R4_A1	aMAT	3345781	3348549	7.318336786	-0.924508323	0.000134886	0.002956775	a2
MvSl-1064-A1-R4_MC01-1g02849	MvSl-1064-A1-R4_MC01-1	Chr01	2271169	2273596	5.393877774	-0.916923323	0.000105321	0.002381983	a2
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	5.199460696	-0.909654782	5.39E-05	0.001286072	a2
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	6.888217476	-0.906844922	6.74E-06	0.000186342	a2
MvSl-1064-A1-R4_MC01-1g02838	MvSl-1064-A1-R4_MC01-1	Chr01	2240124	2240829	6.602323489	-0.8850548	0.000322432	0.006501119	a2
MvSl-1064-A1-R4_MC01-1g02009	MvSl-1064-A1-R4_MC01-1	Chr01	384760	385725	8.653767833	-0.88374669	0.001742734	0.028004957	a2
MvSl-1064-A1-R4_MC11g10585	MvSl-1064-A1-R4_MC11	Chr11	1046508	1046713	4.85536541	-0.880292822	0.002602405	0.038895041	a2
MvSl-1064-A1-R4_MC12g11233	MvSl-1064-A1-R4_MC12	Chr12	1206947	1212539	4.439638949	-0.874554805	0.000537918	0.010380722	a2
MvSl-1064-A1-R4_MC01-1g02299	MvSl-1064-A1-R4_MC01-1	Chr01	934290	936000	4.239779755	-0.871000447	0.00172334	0.027745456	a2
MvSl-1064-A1-R4_A1g01253	MvSl-1064-A1-R4_A1	aMAT	525538	526703	6.667842774	-0.854931713	4.91E-05	0.001193109	a2
MvSl-1064-A1-R4_MC03g05043	MvSl-1064-A1-R4_MC03	Chr03	1888458	1891265	4.683588438	-0.850427141	0.000634546	0.012006499	a2
MvSl-1064-A1-R4_MC02g03664	MvSl-1064-A1-R4_MC02	Chr02	1194204	1196896	4.647290283	-0.84941929	0.00251016	0.037914057	a2
MvSl-1064-A1-R4_MC04-1g05945	MvSl-1064-A1-R4_MC04-1	Chr04	1558563	1559650	6.6175212	-0.846596623	0.000901037	0.016148777	a2
MvSl-1064-A1-R4_MC07g07855	MvSl-1064-A1-R4_MC07	Chr07	752109	754135	6.66469805	-0.839449408	7.72E-05	0.001797234	a2
MvSl-1064-A1-R4_MC03g04747	MvSl-1064-A1-R4_MC03	Chr03	1190549	1191676	5.497499333	-0.837537799	0.000136352	0.002973659	a2
MvSl-1064-A1-R4_MC05-2g06483	MvSl-1064-A1-R4_MC05-3	Chr05	321091	322684	4.616354971	-0.837132444	0.000705447	0.013139146	a2
MvSl-1064-A1-R4_MC02g03224	MvSl-1064-A1-R4_MC02	Chr02	146032	148493	5.581384381	-0.827229126	0.00151778	0.024857282	a2
MvSl-1064-A1-R4_MC07g08138	MvSl-1064-A1-R4_MC07	Chr07	1457721	1458150	5.554091834	-0.826312022	0.0001684	0.003590153	a2
MvSl-1064-A1-R4_MC07g08104	MvSl-1064-A1-R4_MC07	Chr07	1370639	1371031	7.286967096	-0.819537186	0.00062101	0.011797812	a2
MvSl-1064-A1-R4_MC03g04352	MvSl-1064-A1-R4_MC03	Chr03	218308	218823	5.809221157	-0.813359118	0.000792672	0.014479812	a2
MvSl-1064-A1-R4_MC12g10776	MvSl-1064-A1-R4_MC12	Chr12	69956	74714	7.935226591	-0.812700819	0.00183539	0.029273786	a2
