gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	group1.expr.minus	group2.expr.minus	ratio
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A1-R4_A1	aMAT	61566	63177	9.338396016	0.061240754	0.821500452	0.999958419	9.348441402	9.388661784	9.347744848	9.266018651	9.368551593	9.30688175	0.00893142
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A1-R4_A1	aMAT	63513	66190	4.596058018	-0.284616013	0.242580203	0.882867969	4.433885895	4.459406433	4.707452897	4.752696941	4.446646164	4.730074919	-0.078469771
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A1-R4_A1	aMAT	68178	68401	5.124794164	0.425650311	0.065706772	0.529848335	5.244539252	5.395677707	4.994602318	4.793669164	5.32010848	4.894135741	0.107282049
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A1-R4_A1	aMAT	68795	70180	5.331680874	0.003551398	0.986900058	0.999958419	5.319569804	5.347187874	5.34349777	5.316202274	5.333378839	5.329850022	0.000854844
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A1-R4_A1	aMAT	71408	72880	4.731582684	0.137660032	0.573894766	0.999958419	4.887651657	4.704363765	4.544802349	4.769709008	4.796007711	4.657255679	0.037414868
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A1-R4_A1	aMAT	77299	78423	8.113146485	0.295471116	0.195195377	0.830462169	8.183521926	8.319933404	8.093439576	7.808457943	8.251727665	7.95094876	0.049738127
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A1-R4_A1	aMAT	79342	82258	1.209438555	-0.153782551	0.708575573	0.999958419	1.010700459	1.241901245	1.195045959	1.358657151	1.126300852	1.276851555	-0.119051832
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A1-R4_A1	aMAT	89113	90244	3.905101402	0.172808324	0.538855769	0.999958419	4.072161155	3.90105375	3.878767083	3.753030379	3.986607452	3.815898731	0.054431706
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A1-R4_A1	aMAT	90443	91903	4.992476538	0.101448809	0.668080853	0.999958419	4.92353937	5.151903479	4.988389483	4.892390922	5.037721425	4.940390203	0.02501778
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A1-R4_A1	aMAT	92386	93655	4.810124688	0.007485268	0.974758817	0.999958419	4.829388608	4.798204851	4.804946785	4.807856549	4.813796729	4.806401667	0.001963359
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A1-R4_A1	aMAT	94248	95819	5.335718044	0.016501789	0.941272848	0.999958419	5.344367756	5.343530358	5.175019633	5.46536786	5.343949057	5.320193747	0.005754212
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A1-R4_A1	aMAT	96486	99661	5.508883333	-0.305565903	0.309054835	0.945084766	4.72866189	5.779520959	5.78101958	5.51233013	5.254091425	5.646674855	-0.093275008
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A1-R4_A1	aMAT	101324	106023	6.856856651	0.525224843	0.024863779	0.303485109	6.791396853	7.346876665	6.785124925	6.319394332	7.069136759	6.552259628	0.100341707
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A1-R4_A1	aMAT	106474	107890	1.169143769	-0.24696277	0.589975637	0.999958419	0.891508457	1.177619195	1.679344092	0.723173516	1.034563826	1.201258804	-0.138177317
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A1-R4_A1	aMAT	108409	108819	6.569003688	0.092722371	0.632698291	0.999958419	6.510471055	6.711701588	6.618119322	6.419032533	6.611086321	6.518575928	0.018566113
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A1-R4_A1	aMAT	111120	112733	2.508820871	-0.264670368	0.460620123	0.999958419	2.225828617	2.501639513	2.897177754	2.304500823	2.363734065	2.600839288	-0.110180355
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	aMAT	113646	115349	5.405796893	-0.468008418	0.049411921	0.453473626	5.323412727	4.959824054	5.434665139	5.783969646	5.141618391	5.609317393	-0.112527377
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	aMAT	115614	117044	8.462296167	0.138986425	0.597395574	0.999958419	8.201643397	8.797468568	8.381733628	8.400543448	8.499555982	8.391138538	0.017246833
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A1-R4_A1	aMAT	118986	121284	4.609910819	-0.05443888	0.832362274	0.999958419	4.360976168	4.773952496	4.67429408	4.598012098	4.567464332	4.636153089	-0.018963751
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A1-R4_A1	aMAT	125081	126633	7.074446488	0.162009488	0.38538076	0.98684762	7.135922302	7.170250696	7.042159657	6.938571948	7.153086499	6.990365803	0.030506444
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A1-R4_A1	aMAT	128311	129271	6.077510756	-0.149956869	0.44175935	0.999958419	5.994150779	6.006952412	6.232980517	6.062640846	6.000551595	6.147810681	-0.031719481
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A1-R4_A1	aMAT	130054	132843	5.006200366	0.061904548	0.788441369	0.999958419	5.011920433	5.06128654	4.98423268	4.965932483	5.036603486	4.975082581	0.015765792
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A1-R4_A1	aMAT	133237	134512	8.224538763	-0.174246289	0.444678169	0.999958419	8.065726653	8.200668448	8.379163613	8.235197802	8.13319755	8.307180707	-0.028382093
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A1-R4_A1	aMAT	135668	136821	7.245249931	0.256054292	0.188949424	0.822268879	7.421018731	7.312210314	7.12802976	7.095234597	7.366614522	7.111632178	0.046788071
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A1-R4_A1	aMAT	137505	140273	8.000348233	0.031593411	0.893788555	0.999958419	7.924226684	8.102375822	8.192924801	7.740743534	8.013301253	7.966834167	0.007782509
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A1-R4_A1	aMAT	141157	141857	1.426918739	-0.223086763	0.606298017	0.999958419	1.436825263	1.177619195	1.043481563	1.890069826	1.307222229	1.466775695	-0.114531863
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A1-R4_A1	aMAT	142411	144606	1.095444543	-0.392762525	0.405337297	0.999958419	0.932343106	0.846572997	0.640509712	1.700308521	0.889458051	1.170409117	-0.245680477
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	aMAT	145335	146902	5.967524556	-0.260923672	0.248276393	0.890868542	6.025156322	5.607207381	5.910425425	6.25267843	5.816181852	6.081551928	-0.058255864
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A1-R4_A1	aMAT	149220	153705	7.239654826	0.338336875	0.084188877	0.60140699	7.43040336	7.366833192	6.985578873	7.13234916	7.398618276	7.058964016	0.062411239
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A1-R4_A1	aMAT	158422	160299	7.791521101	0.103669735	0.68036499	0.999958419	8.111451187	7.511570802	7.54234444	7.911690595	7.811510994	7.727017517	0.014523709
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	160618	163050	5.058196663	-0.80991947	0.001916073	0.049762042	4.832088603	4.317466843	5.54883681	5.244996893	4.574777723	5.396916852	-0.211815877
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	aMAT	165329	166779	8.733440389	0.569611229	0.050992451	0.460354434	8.635039383	9.275169495	8.615365001	8.195955786	8.955104439	8.405660394	0.085220301
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A1-R4_A1	aMAT	171697	173594	7.094952543	-0.042967715	0.819650896	0.999958419	7.005657271	7.137886629	7.102849018	7.129527847	7.07177195	7.116188433	-0.008302787
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A1-R4_A1	aMAT	173863	176567	6.573761795	0.049928904	0.798496139	0.999958419	6.504559513	6.686659062	6.665616765	6.421341294	6.595609287	6.543479029	0.010455182
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A1-R4_A1	aMAT	177417	178892	7.115664734	0.994579566	8.82E-05	0.003970201	7.302393418	7.724802124	6.845949474	6.138506951	7.513597771	6.492228212	0.193493657
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	5.644287357	1.64719803	7.86E-10	7.96E-08	6.547084735	5.863644433	4.361456565	4.807856549	6.205364584	4.584656557	0.390848985
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	180716	185718	5.5144551	1.361803636	8.69E-10	8.67E-08	6.185765975	5.880148605	4.707452897	4.65667321	6.03295729	4.682063054	0.3272286
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A1-R4_A1	aMAT	234418	236731	7.024310442	0.203157286	0.364257944	0.976804264	6.865750029	7.340009714	7.105721829	6.705225379	7.102879871	6.905473604	0.037337627
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A1-R4_A1	aMAT	238849	239016	8.215836299	-0.239746971	0.294484251	0.940149944	8.180611842	7.995437599	8.264298626	8.394092918	8.08802472	8.329195772	-0.039395292
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A1-R4_A1	aMAT	244443	244638	7.932851141	0.078226036	0.72590681	0.999958419	8.137060205	7.784357893	7.869483977	7.916608751	7.960709049	7.893046364	0.011416218
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	6.632205996	0.362255569	0.086999707	0.608315059	6.571526282	7.000641428	6.551552325	6.319394332	6.786083855	6.435473328	0.069930629
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A1-R4_A1	aMAT	2573298	2575010	7.857907234	0.232458835	0.297314439	0.941690388	8.041434547	7.893754673	7.546226794	7.905656657	7.96759461	7.725941725	0.041160454
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	2575916	2576612	4.899184712	1.199907107	6.98E-07	4.57E-05	5.302148837	5.45111325	4.227198383	4.137017987	5.376631044	4.182108185	0.320253234
MvSl-1064-A1-R4_A1g00155	MvSl-1064-A1-R4_A1	aMAT	2576791	2577822	6.313487878	-0.424687393	0.03190764	0.354405552	5.905921725	6.245130827	6.550849818	6.467502116	6.075526276	6.509175967	-0.090487259
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	621126	622892	7.596577433	0.648642332	0.001442787	0.039964658	7.957064013	7.808769028	7.223253013	7.249591	7.882916521	7.236422007	0.114031426
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A1-R4_A1	aMAT	2578833	2582754	7.139978329	0.179277963	0.367983368	0.979464616	7.107231128	7.337253755	6.947654513	7.141247092	7.222242442	7.044450803	0.033067343
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	aMAT	1966448	1967834	6.201472736	-0.151634745	0.443800623	0.999958419	6.107695001	6.139413474	6.416163898	6.118726101	6.123554238	6.267444999	-0.030442458
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A1-R4_A1	aMAT	912091	913460	8.405143473	-0.391179053	0.091667575	0.621441975	8.168912453	8.22323494	8.556738227	8.617432765	8.196073696	8.587085496	-0.062581418
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A1-R4_A1	aMAT	914330	919259	7.493225087	-0.052625562	0.793265461	0.999958419	7.479018459	7.454219356	7.612024451	7.420134885	7.466618907	7.516079668	-0.008792993
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	aMAT	1550514	1551842	8.529107462	0.702608647	0.003346381	0.07620808	8.785402023	8.888917602	8.191798687	8.077256124	8.837159813	8.134527406	0.111330388
MvSl-1064-A1-R4_A1g00211	MvSl-1064-A1-R4_A1	aMAT	1116801	1118832	9.025083009	-0.182895244	0.484132302	0.999958419	8.933711607	8.927755336	9.032075636	9.19076189	8.930733471	9.111418763	-0.027027788
MvSl-1064-A1-R4_A1g00241	MvSl-1064-A1-R4_A1	aMAT	1098507	1099824	7.574849766	-0.662073361	0.001062325	0.031128913	7.209927458	7.202409537	7.936096926	7.79635333	7.206168498	7.866225128	-0.116761405
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	aMAT	1108286	1110870	5.629104964	-0.639026403	0.001909543	0.049737443	5.346257751	5.199216356	5.966286817	5.856286507	5.272737054	5.911286662	-0.148336909
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A1-R4_A1	aMAT	1060653	1061300	4.569917203	0.822763866	0.01087427	0.17773945	4.598336826	5.189062122	4.463524702	3.625336571	4.893699474	4.044430636	0.241135706
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	aMAT	551158	551514	6.349903641	-0.870177676	2.70E-06	0.00016678	5.890461818	5.808994983	6.688152922	6.749999634	5.849728401	6.719076278	-0.181791337
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	667810	671393	4.779274622	1.93412253	2.25E-12	2.82E-10	5.604931189	5.266432301	3.255541595	3.74322064	5.435681745	3.499381118	0.555429425
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	5.523770767	1.146581982	3.20E-07	2.23E-05	5.992944847	5.980113922	4.640355179	5.019744648	5.986529385	4.830049914	0.277444204
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	aMAT	713060	718328	7.874344913	-0.225684153	0.287313465	0.934316152	7.735229728	7.778613319	8.056302123	7.905106863	7.756921524	7.980704493	-0.038017373
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	aMAT	704230	705173	6.407620966	-0.066072746	0.741194645	0.999958419	6.469439715	6.272317599	6.266741717	6.595009196	6.370878657	6.430875457	-0.012321822
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	aMAT	407531	411380	7.22979762	-0.171909394	0.394721764	0.99271075	7.042843218	7.233373128	7.196553288	7.420904294	7.138108173	7.308728791	-0.031369231
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	1132727	1134319	6.842813175	0.909844551	5.03E-06	0.000296534	7.088722794	7.353711085	6.461723184	6.158942903	7.22121694	6.310333044	0.1780595
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A1-R4_A1	aMAT	1396587	1398849	8.288515389	-0.024241788	0.918945153	0.999958419	8.392302542	8.150267033	8.154366299	8.433324019	8.271284788	8.293845159	-0.003654411
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	8.463950488	3.506293707	2.51E-34	1.32E-31	9.059859955	9.578671633	5.734757334	5.934879493	9.319265794	5.834818414	0.622460163
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A1-R4_A1	aMAT	1162650	1164414	4.179200728	-12.52043259	1.26E-71	3.75E-68	-3.357020002	-3.357020002	5.035351226	5.287803045	-3.357020002	5.161577136	NA
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	aMAT	1158935	1161921	4.187143245	0.092850987	0.727482579	0.999958419	4.256312067	4.209086243	4.173445458	4.106734908	4.232699155	4.140090183	0.027776185
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A1-R4_A1	aMAT	1488010	1490661	8.575120942	-0.242191733	0.311229209	0.945084766	8.459979671	8.437826574	8.692711886	8.689442267	8.448903122	8.691077076	-0.038004015
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	5.599888393	-0.189240511	0.387454596	0.9888672	5.376165726	5.617844601	5.844309052	5.519531836	5.497005163	5.681920444	-0.042939324
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	aMAT	679143	681507	8.618965431	0.268073831	0.309836908	0.945084766	8.648121944	8.839136468	8.708231463	8.205811008	8.743629206	8.457021236	0.044830083
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	aMAT	245502	246121	3.979303609	0.55317147	0.045559162	0.436857925	4.194707427	4.264294048	3.666888549	3.693145751	4.229500738	3.68001715	0.173347048
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A1-R4_A1	aMAT	248916	251783	6.198615494	0.047631159	0.824772652	0.999958419	6.048561394	6.377108691	6.354700873	5.968948674	6.212835042	6.161824773	0.010804656
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A1-R4_A1	aMAT	270179	271004	7.05697942	0.088019809	0.646950129	0.999958419	6.983362633	7.208454582	7.064972384	6.957785847	7.095908607	7.011379116	0.015884257
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A1-R4_A1	aMAT	330602	330868	7.300641091	0.323685138	0.097964138	0.638844931	7.404333904	7.500938328	7.096123462	7.163024829	7.452636116	7.129574146	0.058894055
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A1-R4_A1	aMAT	337815	342587	7.426599613	-0.153090469	0.441004339	0.999958419	7.300445036	7.394051345	7.518828324	7.483007586	7.347248191	7.500917955	-0.027548062
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A1-R4_A1	aMAT	342659	343448	5.639944271	-0.309993049	0.18352183	0.817155424	5.203424239	5.705940177	5.921337318	5.636761223	5.454682208	5.77904927	-0.07500215
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A1-R4_A1	aMAT	343906	345432	7.754386656	-0.126027095	0.573388272	0.999958419	7.885434747	7.463937658	7.749095114	7.879866999	7.674686202	7.814481057	-0.02410077
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A1-R4_A1	aMAT	901642	902941	6.359490526	0.520490676	0.005578264	0.109693542	6.548727117	6.642691022	6.017016906	6.133821766	6.595709069	6.075419336	0.107906757
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A1-R4_A1	aMAT	896092	900842	5.082163748	0.02557557	0.911021036	0.999958419	5.173930263	5.011447076	5.045361122	5.09302014	5.092688669	5.069190631	0.005942457
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A1-R4_A1	aMAT	895253	895922	6.989824824	-0.025817744	0.887826086	0.999958419	7.025844849	6.926179171	7.02354487	6.98144887	6.97601201	7.00249687	-0.005018918
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A1-R4_A1	aMAT	889992	892373	6.296513901	0.026695248	0.907498473	0.999958419	6.02161258	6.54972516	6.470664903	6.067562587	6.28566887	6.269113745	0.003460821
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A1-R4_A1	aMAT	885400	886813	8.18183627	0.272243153	0.222063653	0.859012644	8.366693261	8.254246518	8.035863256	8.042931881	8.310469889	8.039397569	0.044449895
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A1-R4_A1	aMAT	863010	863649	7.564997178	0.170097067	0.41852727	0.999958419	7.515169248	7.768760649	7.587914666	7.358017022	7.641964948	7.472965844	0.02980235
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A1-R4_A1	aMAT	861883	862053	9.165035659	0.122156205	0.67671674	0.999958419	8.95739907	9.450326225	9.265890055	8.918634467	9.203862648	9.092262261	0.016476493
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A1-R4_A1	aMAT	856916	857392	8.050022057	0.150737593	0.500839754	0.999958419	8.035297067	8.206469103	8.073034524	7.864960773	8.120883085	7.968997649	0.025277993
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A1-R4_A1	aMAT	854394	856791	7.960113093	-0.035908126	0.899931644	0.999958419	7.590055114	8.224726896	8.283877811	7.589155887	7.907391005	7.936516849	-0.004916996
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	aMAT	852461	853825	4.769216816	1.072020036	0.000166362	0.006615846	5.342475281	5.06128654	3.752477599	4.446050251	5.20188091	4.099263925	0.302699925
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A1-R4_A1	aMAT	849156	852184	7.357382245	0.358466712	0.239559354	0.881451766	7.040510489	7.887802686	7.513790395	6.710269471	7.464156588	7.112029933	0.064218656
MvSl-1064-A1-R4_A1g00402	MvSl-1064-A1-R4_A1	aMAT	844814	848787	7.873463901	0.029052116	0.889768403	0.999958419	7.878268218	7.89750121	7.846482773	7.871166971	7.887884714	7.858824872	0.004933912
MvSl-1064-A1-R4_A1g00403	MvSl-1064-A1-R4_A1	aMAT	841678	844038	6.725656163	0.477123411	0.009498753	0.160255471	6.876906639	7.009324041	6.516720736	6.417491305	6.94311534	6.46710602	0.09373451
MvSl-1064-A1-R4_A1g00404	MvSl-1064-A1-R4_A1	aMAT	838903	841231	3.417100287	-0.312501154	0.291758244	0.93976694	3.291393454	3.212674829	3.614063227	3.508584345	3.252034141	3.561323786	-0.110761701
MvSl-1064-A1-R4_A1g00405	MvSl-1064-A1-R4_A1	aMAT	837338	838797	4.700350718	0.555792081	0.042285111	0.420355691	4.60150527	5.233215747	4.45153059	4.342651316	4.917360508	4.397090953	0.142243041
MvSl-1064-A1-R4_A1g00406	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	5.560753048	-0.245088081	0.246388474	0.888594543	5.300200125	5.554394985	5.67926888	5.675962461	5.427297555	5.67761567	-0.05847853
MvSl-1064-A1-R4_A1g00432	MvSl-1064-A1-R4_A1	aMAT	1584006	1586510	6.971908192	0.147701251	0.435660719	0.999958419	6.978496534	7.106399398	7.008273465	6.774888575	7.042447966	6.89158102	0.028674173
MvSl-1064-A1-R4_A1g00433	MvSl-1064-A1-R4_A1	aMAT	1578575	1582088	5.32768879	0.348274381	0.122348558	0.707465373	5.592245739	5.383261917	5.029311781	5.250201199	5.487753828	5.13975649	0.084578989
MvSl-1064-A1-R4_A1g00441	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	5.342847706	0.104254767	0.678633561	0.999958419	5.063381169	5.662564709	5.370821223	5.204460987	5.362972939	5.287641105	0.018268481
MvSl-1064-A1-R4_A1g00478	MvSl-1064-A1-R4_A1	aMAT	3092860	3095963	7.064314611	0.123482527	0.516837007	0.999958419	7.088158212	7.160409606	7.095160104	6.901014334	7.124283909	6.998087219	0.02369112
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	6.936239213	2.067703556	6.86E-27	2.44E-24	7.697231419	7.555311714	5.56562656	5.55921022	7.626271567	5.56241839	0.415345139
MvSl-1064-A1-R4_A1g00503	MvSl-1064-A1-R4_A1	aMAT	1995562	1995873	6.572097444	-0.31062679	0.11373503	0.684099697	6.246734027	6.553687753	6.759815287	6.676518988	6.40021089	6.718167138	-0.063871007
MvSl-1064-A1-R4_A1g00504	MvSl-1064-A1-R4_A1	aMAT	2004135	2004905	3.615390834	0.045809758	0.875321724	0.999958419	3.562472318	3.709754458	3.630114904	3.554182373	3.636113388	3.592148639	0.014966581
MvSl-1064-A1-R4_A1g00505	MvSl-1064-A1-R4_A1	aMAT	2051926	2054309	6.297459108	0.172207716	0.535262923	0.999958419	6.717390157	5.941922862	5.832796325	6.507168628	6.329656509	6.169982476	0.03351497
MvSl-1064-A1-R4_A1g00506	MvSl-1064-A1-R4_A1	aMAT	2054540	2055464	4.936196595	0.018095169	0.938917383	0.999958419	4.987908278	4.901317909	4.992534344	4.858714947	4.944613094	4.925624645	0.004927982
MvSl-1064-A1-R4_A1g00507	MvSl-1064-A1-R4_A1	aMAT	2055616	2057858	5.888187631	0.00574296	0.979944806	0.999958419	6.117688061	5.62237951	5.761721238	5.999143956	5.870033785	5.880432597	-0.00230837
MvSl-1064-A1-R4_A1g00510	MvSl-1064-A1-R4_A1	aMAT	2058215	2058407	5.786136564	0.001327671	0.994825088	0.999958419	5.794052874	5.779520959	5.842013844	5.726626922	5.786786917	5.784320383	0.000555192
MvSl-1064-A1-R4_A1g00511	MvSl-1064-A1-R4_A1	aMAT	2058571	2059524	6.792174322	0.101736763	0.572680297	0.999958419	6.861791712	6.822265518	6.770113212	6.710269471	6.842028615	6.740191341	0.019814289
MvSl-1064-A1-R4_A1g00512	MvSl-1064-A1-R4_A1	aMAT	2080392	2081481	5.078206868	-0.035270485	0.876832312	0.999958419	5.086179066	5.034315032	5.13807929	5.051889065	5.060247049	5.094984177	-0.008789865
MvSl-1064-A1-R4_A1g00513	MvSl-1064-A1-R4_A1	aMAT	2082268	2082504	5.731284711	0.052249887	0.798795247	0.999958419	5.727455073	5.786272672	5.740929897	5.668206965	5.756863872	5.704568431	0.011872822
MvSl-1064-A1-R4_A1g00514	MvSl-1064-A1-R4_A1	aMAT	1991175	1993509	8.145986632	0.109706751	0.667353936	0.999958419	8.428434852	7.928044434	7.884616877	8.269988547	8.178239643	8.077302712	0.016639499
MvSl-1064-A1-R4_A1g00515	MvSl-1064-A1-R4_A1	aMAT	1984288	1990725	5.20789376	0.65435269	0.004271009	0.091677455	5.355670768	5.628403965	4.793114313	4.89682224	5.492037366	4.844968276	0.161332325
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	2618847	2620704	8.604052683	0.995708515	9.92E-05	0.004330622	8.819985695	9.191555579	8.092474424	7.94844132	9.005770637	8.020457872	0.15572827
MvSl-1064-A1-R4_A1g00517	MvSl-1064-A1-R4_A1	aMAT	2625755	2626956	8.927432406	-0.533503452	0.050844731	0.459822197	8.771227529	8.487144241	8.974042345	9.34171421	8.629185885	9.157878278	-0.080162486
