gida1	dndsa1	dna1	dsa1	gida2	dndsa2	dna2	dsa2	dndiff	dsdiff	dndsdiff	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	DE
MvSl-1064-A1-R4_A1g01212	0.2302	0.0054	0.0235	MvSl-1064-A2-R4_A2g00841	0.0801	0.001	0.0128	0.0044	0.0107	0.1501	1300472	1304579	3.681776849	-1.916759575	3.57E-07	1.23E-05	2.379931553	2.512986091	3.708169298	4.787726912	Black	OldStrata	Down
MvSl-1064-A1-R4_MC10-2g10078	1.088	0.0065	0.006	MvSl-1064-A2-R4_MC10g10342	1.088	0.0065	0.006	0	0	0	617264	621090	5.805485191	-1.900034164	8.15E-19	8.61E-17	4.551423418	4.584388514	6.549179748	6.373006493	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g05082	98.9996	0.0105	0.0001	MvSl-1064-A2-R4_MC03g05359	98.9996	0.0105	0.0001	0	0	0	2015028	2016811	2.793279695	-1.887609074	2.29E-07	8.28E-06	1.884682455	1.240316199	3.327712534	3.567567658	Auto	Auto	Down
MvSl-1064-A1-R4_MC01-1g02837	1.9681	0.0525	0.0267	MvSl-1064-A2-R4_MC01g03119	1.9681	0.0525	0.0267	0	0	0	2239253	2239736	3.730794518	-1.876848734	1.75E-09	7.93E-08	2.326557468	2.702444378	4.204624864	4.547935962	Auto	Auto	Down
MvSl-1064-A1-R4_MC15g12082	0.7135	0.0058	0.0082	MvSl-1064-A2-R4_MC15g12331	0.7135	0.0058	0.0082	0	0	0	173809	175626	1.710736431	-1.788336519	1.14E-05	0.000309742	0.602775612	0.642902881	2.546257243	2.114537831	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g05235	0.3328	0.003	0.0091	MvSl-1064-A2-R4_MC03g05512	0.3328	0.003	0.0091	0	0	0	2384276	2386106	6.150510706	-1.764312444	8.62E-08	3.20E-06	4.5220475	5.385489933	7.175602574	6.229354576	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g04807	0.661	0.0219	0.0332	MvSl-1064-A2-R4_MC03g05085	0.661	0.0219	0.0332	0	0	0	1345764	1346051	4.290409262	-1.761008869	1.04E-08	4.35E-07	2.826929886	3.445087292	5.121388196	4.683641468	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00972	98.9996	0.0076	0.0001	MvSl-1064-A2-R4_A2g01289	0.8572	0.018	0.021	-0.0104	-0.0209	98.1424	2516666	2518918	6.202889736	-1.734381671	1.81E-15	1.58E-13	5.082938239	5.102523392	7.033577842	6.579351014	Black	OldStrata	Down
MvSl-1064-A1-R4_MC09-2g09232	0.1513	0.0038	0.0248	MvSl-1064-A2-R4_MC09g09507	0.1513	0.0038	0.0248	0	0	0	771106	771513	4.495481705	-1.679549321	8.69E-09	3.64E-07	3.175268029	3.653917778	4.82938061	5.337024857	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00079	0.5242	0.0058	0.0111	MvSl-1064-A2-R4_A2g00079	0.5242	0.0058	0.0111	0	0	0	179366	179827	5.694014129	-1.646693649	7.76E-10	3.79E-08	4.856897194	4.413095053	5.91206624	6.597469001	bPAR	bPAR	Down
MvSl-1064-A1-R4_MC01-1g02161	0.5595	0.003	0.0054	MvSl-1064-A2-R4_MC01g02442	0.5595	0.003	0.0054	0	0	0	604276	606975	3.116312176	-1.612389211	4.01E-05	0.000997114	1.482707068	2.559854427	3.895012163	3.499126886	Auto	Auto	Down
MvSl-1064-A1-R4_MC12g11273	0.3136	0.0025	0.0078	MvSl-1064-A2-R4_MC12g11536	0.3136	0.0025	0.0078	0	0	0	1325547	1330139	7.668898456	-1.606021691	1.42E-14	1.16E-12	6.712623335	6.593276345	8.252573007	8.265986475	Auto	Auto	Down
MvSl-1064-A1-R4_MC11g10688	0.5058	0.2406	0.4757	MvSl-1064-A2-R4_MC11g10952	0.5058	0.2406	0.4757	0	0	0	1293047	1293321	0.666542812	-1.582352777	0.000807215	0.014682726	-0.304547654	-0.149133665	1.010226695	1.452852467	Auto	Auto	Down
MvSl-1064-A1-R4_MC10-1g09785	1.7349	0.0103	0.0059	MvSl-1064-A2-R4_MC10g10052	1.7349	0.0103	0.0059	0	0	0	253166	256550	2.168565211	-1.544787561	0.003026542	0.04438063	1.272993863	1.211251072	1.596513013	3.382384109	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g04929	0.7379	0.0092	0.0125	MvSl-1064-A2-R4_MC03g05207	0.7379	0.0092	0.0125	0	0	0	1648424	1649875	3.559898973	-1.536562786	2.95E-07	1.04E-05	2.664351658	2.559854427	4.187892716	4.079797675	Auto	Auto	Down
MvSl-1064-A1-R4_MC09-2g09215	0.7239	0.084	0.116	MvSl-1064-A2-R4_MC09g09490	0.6955	0.1344	0.1933	-0.0504	-0.0773	0.0284	727387	730261	7.609934619	-1.518359073	1.30E-09	6.07E-08	6.532842441	6.778055293	8.464949013	7.819705119	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00646	0.3205	0.0026	0.008	MvSl-1064-A2-R4_A2g01534	0.6414	0.007	0.0109	-0.0044	-0.0029	-0.3209	2916000	2917527	8.061495384	-1.506373241	1.16E-09	5.46E-08	6.997793444	7.234137364	8.839052054	8.377183037	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g00853	0.2795	0.0018	0.0063	MvSl-1064-A2-R4_A2g01112	0.7796	0.0041	0.0052	-0.0023	0.0011	-0.5001	1834558	1837865	6.990703053	-1.487301401	2.69E-15	2.30E-13	6.047159869	6.082461412	7.576395002	7.524953348	Purple	OldStrata	Down
MvSl-1064-A1-R4_MC06g07136	0.5895	0.0048	0.0081	MvSl-1064-A2-R4_MC06-2g07401	0.5895	0.0048	0.0081	0	0	0	747469	748345	7.165061002	-1.428404869	8.59E-13	6.02E-11	6.314633037	6.249023184	7.582408921	7.826354569	Auto	Auto	Down
MvSl-1064-A1-R4_MC07g08097	0.1125	0.0008	0.0072	MvSl-1064-A2-R4_MC07g08362	0.1125	0.0008	0.0072	0	0	0	1356317	1358239	4.420988349	-1.422474269	3.57E-07	1.23E-05	3.711272357	3.368172614	4.75181192	5.151040089	Auto	Auto	Down
MvSl-1064-A1-R4_MC09-2g09580	0.3475	0.0286	0.0823	MvSl-1064-A2-R4_C28g01908	0.3475	0.0286	0.0823	0	0	0	4141	7652	4.070377367	-1.359168185	1.02E-06	3.26E-05	3.291249234	3.200827934	4.462871657	4.720180125	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06520	3.7864	0.0145	0.0038	MvSl-1064-A2-R4_MC05g06783	3.7864	0.0145	0.0038	0	0	0	339369	346823	8.672557277	-1.351995767	9.12E-08	3.36E-06	7.936173671	7.74575384	9.286872863	9.098443482	Auto	Auto	Down
MvSl-1064-A1-R4_A1g01174	0.5402	0.0047	0.0086	MvSl-1064-A2-R4_A2g01392	0.5847	0.006	0.0103	-0.0013	-0.0017	-0.0445	2576791	2577822	6.028028533	-1.343688683	9.53E-11	5.26E-09	5.23551822	5.179573941	6.693226827	6.389170415	Black	OldStrata	Down
MvSl-1064-A1-R4_MC05-3g06511	0.001	0	0.0081	MvSl-1064-A2-R4_MC05g06774	0.001	0	0.0081	0	0	0	331413	333406	3.330650203	-1.323522772	4.59E-05	0.001128361	2.456463497	2.616376624	3.585779566	4.070393899	Auto	Auto	Down
MvSl-1064-A1-R4_MC18g12256	98.9996	0.0039	0	MvSl-1064-A2-R4_MC18g12506	98.9996	0.0039	0	0	0	0	17583	18462	1.00675433	-1.312042703	0.003376836	0.048764482	0.248288386	0.300568733	1.189025871	1.787266256	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00644	0.6126	0.0053	0.0087	MvSl-1064-A2-R4_A2g01002	2.7788	0.0068	0.0024	-0.0015	0.0063	-2.1662	1751427	1752854	5.076743613	-1.306575235	7.95E-08	3.00E-06	4.42698439	4.128287818	5.70716142	5.457345095	Black	OldStrata	Down
MvSl-1064-A1-R4_MC03g05154	0.1791	0.003	0.0165	MvSl-1064-A2-R4_MC03g05431	0.1791	0.003	0.0165	0	0	0	2187002	2188631	6.1323058	-1.253849334	1.44E-09	6.69E-08	5.476628825	5.266911179	6.759131448	6.482525974	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06513	2.4017	0.0101	0.0042	MvSl-1064-A2-R4_MC05g06776	2.4017	0.0101	0.0042	0	0	0	333219	334279	5.629104666	-1.224846913	7.12E-05	0.001667724	5.276555713	4.371006289	5.736222758	6.416332957	Auto	Auto	Down
MvSl-1064-A1-R4_MC01-2g03113	0.4319	0	0	MvSl-1064-A2-R4_MC01g03393	0.5041	0	0	0	0	-0.0722	2893115	2893489	3.905020513	-1.190902817	0.000162498	0.003481686	3.516492693	2.793503825	4.466344721	4.29289804	Auto	Auto	Down
MvSl-1064-A1-R4_MC11g10594	1.4129	0.003	0.0021	MvSl-1064-A2-R4_MC11g10858	1.4129	0.003	0.0021	0	0	0	1066922	1067246	2.965279865	-1.179155962	0.000603667	0.011519531	2.198716135	2.349208619	3.696387111	3.125165782	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00270	0.1273	0.0011	0.0088	MvSl-1064-A2-R4_A2g00647	0.1633	0.0024	0.0145	-0.0013	-0.0057	-0.036	1136196	1138565	5.488642924	-1.168558114	2.01E-07	7.28E-06	4.954685599	4.609668146	5.962125924	5.954405817	Black	OldStrata	Down
MvSl-1064-A1-R4_MC04-1g05504	0.7029	0.0102	0.0145	MvSl-1064-A2-R4_MC04-1g05781	0.7029	0.0102	0.0145	0	0	0	503362	503958	8.09070929	-1.156400131	6.34E-07	2.09E-05	7.471491512	7.325124766	8.706561436	8.3881057	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06515	0.1686	0.0017	0.01	MvSl-1064-A2-R4_MC05g06778	0.1686	0.0017	0.01	0	0	0	333921	340706	9.819871578	-1.154134943	0.000191032	0.004012616	8.923572537	9.311450405	10.36291659	10.20159216	Auto	Auto	Down
MvSl-1064-A1-R4_MC10-2g10098	0.3686	0.0036	0.0097	MvSl-1064-A2-R4_MC10g10362	0.3686	0.0036	0.0097	0	0	0	662159	664366	7.745759317	-1.143945715	9.67E-05	0.002192478	7.100734902	7.026132275	8.627333663	7.612192567	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06514	0.3494	0.0039	0.0112	MvSl-1064-A2-R4_MC05g06777	0.3494	0.0039	0.0112	0	0	0	333416	334242	8.716049418	-1.117604784	7.85E-06	0.000215865	8.068044298	8.035713102	9.073168251	9.259428012	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06731	0.3441	0.0185	0.0537	MvSl-1064-A2-R4_MC05g06995	0.3441	0.0185	0.0537	0	0	0	630141	632459	3.765130384	-1.110557998	0.000131366	0.002887019	3.081721694	3.148124546	4.36206763	4.056172296	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g05159	0.2981	0.0043	0.0144	MvSl-1064-A2-R4_MC03g05436	0.2981	0.0043	0.0144	0	0	0	2193893	2194681	6.132922671	-1.075091541	4.00E-08	1.56E-06	5.425189389	5.569952562	6.587160452	6.558482363	Auto	Auto	Down
MvSl-1064-A1-R4_MC07g08057	1.1183	0.0061	0.0055	MvSl-1064-A2-R4_MC07g08322	1.1183	0.0061	0.0055	0	0	0	1250646	1252658	4.443322735	-1.074575189	4.64E-05	0.00113626	3.630992488	3.976776292	4.955833706	4.807672288	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g04642	0.0722	0.0015	0.0205	MvSl-1064-A2-R4_MC03g04920	0.0722	0.0015	0.0205	0	0	0	921260	925020	6.442336358	-1.07257881	4.09E-07	1.40E-05	5.650948475	5.953473513	6.688773822	7.051496346	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06518	0.2726	0.0024	0.0089	MvSl-1064-A2-R4_MC05g06781	0.2726	0.0024	0.0089	0	0	0	337264	338212	7.957817206	-1.068391232	3.10E-06	9.11E-05	7.418670191	7.230067876	8.214872627	8.555851874	Auto	Auto	Down
MvSl-1064-A1-R4_MC04-1g05744	98.9996	0.0076	0.0001	MvSl-1064-A2-R4_MC04-1g06020	98.9996	0.0076	0.0001	0	0	0	1069684	1072396	5.761746384	-1.064099059	4.61E-07	1.55E-05	5.249924908	5.012726144	6.248969728	6.145638895	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06707	0.2649	0.0039	0.0146	MvSl-1064-A2-R4_MC05g06971	0.2649	0.0039	0.0146	0	0	0	565851	570084	7.153368434	-1.033030577	8.62E-08	3.20E-06	6.600454225	6.491936086	7.641976279	7.514155763	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06517	0.001	0	0.0162	MvSl-1064-A2-R4_MC05g06780	0.001	0	0.0162	0	0	0	336152	336708	8.124266244	-1.030728333	5.92E-06	0.000164757	7.432946047	7.600601549	8.637574636	8.45580219	Auto	Auto	Down
MvSl-1064-A1-R4_MC06g06896	0.3436	0.0012	0.0035	MvSl-1064-A2-R4_MC06-1g07159	0.3436	0.0012	0.0035	0	0	0	106884	109986	6.132855032	-1.014107806	4.50E-07	1.53E-05	5.521851848	5.558458507	6.679078233	6.414476008	Auto	Auto	Down
MvSl-1064-A1-R4_MC01-1g02603	0.2442	0.003	0.0121	MvSl-1064-A2-R4_MC01g02885	0.2442	0.003	0.0121	0	0	0	1669135	1669419	4.793482327	-0.994476219	0.001648449	0.026690519	3.625478263	4.634512433	5.337821767	5.063693531	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00078	0.243	0.0089	0.0365	MvSl-1064-A2-R4_A2g00078	0.243	0.0089	0.0365	0	0	0	177417	178892	7.162015405	-0.993002656	8.92E-05	0.002056118	6.188489281	6.891761894	7.771153038	7.347523635	bPAR	bPAR	Down
MvSl-1064-A1-R4_MC01-1g02267	0.1384	0.0013	0.0093	MvSl-1064-A2-R4_MC01g02549	0.1384	0.0013	0.0093	0	0	0	862521	862738	3.806879058	-0.991272367	0.001068189	0.018674741	3.298197579	3.170947863	4.452402015	3.94221645	Auto	Auto	Down
MvSl-1064-A1-R4_MC13g11645	0.4151	0.0048	0.0116	MvSl-1064-A2-R4_MC13g11906	0.4151	0.0048	0.0116	0	0	0	837582	839150	7.735144653	-0.981775324	0.000253469	0.005171621	6.958859706	7.341564048	8.467334208	7.726989333	Auto	Auto	Down
MvSl-1064-A1-R4_MC05-3g06519	0.1214	0.0019	0.016	MvSl-1064-A2-R4_MC05g06782	0.1214	0.0019	0.016	0	0	0	339298	341280	7.956580056	-0.96196907	0.000215078	0.004441316	7.704103852	7.007233021	8.445064211	8.267273141	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00516	0.7041	0.0101	0.0144	MvSl-1064-A2-R4_A2g01504	1.5803	0.0138	0.0087	-0.0037	0.0057	-0.8762	2776699	2777667	8.659814433	-0.952952226	0.000213002	0.00443055	8.032808644	8.176295153	9.232840031	8.861394841	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g01384	0.4076	0.0038	0.0093	MvSl-1064-A2-R4_A2g01135	0.3429	0.0033	0.0097	0.0005	-0.0004	0.0647	1838292	1841771	7.461687284	-0.947792045	4.74E-06	0.000134121	6.799048222	7.016713595	7.929883853	7.784912615	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g00154	0.5076	0.0023	0.0046	MvSl-1064-A2-R4_A2g01432	0.1421	0.0022	0.0155	1E-04	-0.0109	0.3655	2689352	2692677	5.199460696	-0.909654782	5.39E-05	0.001286072	4.614019113	4.737485441	5.671496984	5.491215484	Black	OldStrata	Down
MvSl-1064-A1-R4_A1g00292	0.1956	0.0042	0.0214	MvSl-1064-A2-R4_A2g00711	0.7355	0.0068	0.0092	-0.0026	0.0122	-0.5399	1153924	1156082	6.888217476	-0.906844922	6.74E-06	0.000186342	6.208912143	6.506963213	7.397851347	7.133366457	Black	OldStrata	Down
MvSl-1064-A1-R4_MC11g10585	0.3915	0.0042	0.0107	MvSl-1064-A2-R4_MC11g10849	0.3915	0.0042	0.0107	0	0	0	1046508	1046713	4.85536541	-0.880292822	0.002602405	0.038895041	3.854852985	4.722113991	5.192312882	5.266717306	Auto	Auto	Down
MvSl-1064-A1-R4_MC01-1g02299	0.2701	0.005	0.0186	MvSl-1064-A2-R4_MC01g02581	0.2701	0.005	0.0186	0	0	0	934290	936000	4.239779755	-0.871000447	0.00172334	0.027745456	3.674363583	3.812312661	4.373211181	4.81613661	Auto	Auto	Down
MvSl-1064-A1-R4_A1g01253	0.5751	0.0077	0.0135	MvSl-1064-A2-R4_A2g00196	98.9996	0.0062	0.0001	0.0015	0.0134	-98.4245	525538	526703	6.667842774	-0.854931713	4.91E-05	0.001193109	5.95783539	6.370665454	7.131438766	6.927422143	Black	OldStrata	Down
MvSl-1064-A1-R4_MC02g03664	0.4636	0.0046	0.0099	MvSl-1064-A2-R4_MC02g03942	0.4636	0.0046	0.0099	0	0	0	1194204	1196896	4.647290283	-0.84941929	0.00251016	0.037914057	4.04859814	4.272441398	5.299393515	4.649314797	Auto	Auto	Down
MvSl-1064-A1-R4_MC04-1g05945	98.9996	0.0025	0	MvSl-1064-A2-R4_MC04-1g06221	98.9996	0.0025	0	0	0	0	1558563	1559650	6.6175212	-0.846596623	0.000901037	0.016148777	5.827022471	6.387002911	7.262069885	6.62823757	Auto	Auto	Down
MvSl-1064-A1-R4_MC07g07855	0.1746	0.002	0.0115	MvSl-1064-A2-R4_MC07g08120	0.1746	0.002	0.0115	0	0	0	752109	754135	6.66469805	-0.839449408	7.72E-05	0.001797234	6.12932802	6.240057518	6.774622523	7.237342038	Auto	Auto	Down
MvSl-1064-A1-R4_MC03g04747	0.4809	0.0049	0.0103	MvSl-1064-A2-R4_MC03g05025	0.4809	0.0049	0.0103	0	0	0	1190549	1191676	5.497499333	-0.837537799	0.000136352	0.002973659	4.873274833	5.154981038	5.881174868	5.831757427	Auto	Auto	Down
MvSl-1064-A1-R4_MC02g03224	0.095	0.0006	0.0067	MvSl-1064-A2-R4_MC02g03504	0.095	0.0006	0.0067	0	0	0	146032	148493	5.581384381	-0.827229126	0.00151778	0.024857282	4.884860353	5.306957742	6.226616025	5.573400197	Auto	Auto	Down
MvSl-1064-A1-R4_MC07g08138	0.2163	0.0032	0.0147	MvSl-1064-A2-R4_MC07g08403	0.2163	0.0032	0.0147	0	0	0	1457721	1458150	5.554091834	-0.826312022	0.0001684	0.003590153	5.00863394	5.156887755	6.065355509	5.733893915	Auto	Auto	Down
MvSl-1064-A1-R4_MC07g08104	0.2938	0.0053	0.0179	MvSl-1064-A2-R4_MC07g08369	0.2938	0.0053	0.0179	0	0	0	1370639	1371031	7.286967096	-0.819537186	0.00062101	0.011797812	7.100238043	6.472929357	7.511477277	7.756974574	Auto	Auto	Down
MvSl-1064-A1-R4_A1g00165	0.1019	0.0011	0.0106	MvSl-1064-A2-R4_A2g00290	0.3801	0.0045	0.0119	-0.0034	-0.0013	-0.2782	621126	622892	7.334891887	-0.801032568	5.23E-05	0.001260356	6.838905348	6.920104979	7.656871623	7.703989183	Black	OldStrata	Down
MvSl-1064-A1-R4_MC04-1g05865	0.1258	0.0022	0.0177	MvSl-1064-A2-R4_MC04-1g06141	0.1258	0.0022	0.0177	0	0	0	1369950	1372160	7.516792192	-0.799610004	0.000193094	0.004045989	6.857840708	7.242242063	7.837023804	7.886534929	Auto	Auto	Down
MvSl-1064-A1-R4_MC04-1g05729	0.4731	0.0033	0.007	MvSl-1064-A2-R4_MC04-1g06005	0.4731	0.0033	0.007	0	0	0	1035061	1037563	5.769394008	-0.7976718	0.000143502	0.003113702	5.425189389	5.201908905	6.064209963	6.162332636	Auto	Auto	Down
MvSl-1064-A1-R4_MC06g07298	98.9996	0.0023	0	MvSl-1064-A2-R4_MC06-2g07563	98.9996	0.0023	0	0	0	0	1178498	1181711	6.934805112	-0.785742372	2.88E-05	0.000725311	6.425878059	6.551127679	7.343174373	7.203330105	Auto	Auto	Down
