gida1	dnds	dn	ds	gida2	dnds	dn	ds
MvSl-1064-A1-R4_A1g00073	0.3145	0.006	0.019	MvSl-1064-A2-R4_A2g00073	0.3145	0.006	0.019
MvSl-1064-A1-R4_A1g00074	0.9074	0.0043	0.0048	MvSl-1064-A2-R4_A2g00074	0.9074	0.0043	0.0048
MvSl-1064-A1-R4_A1g00075	0.3113	0.0046	0.0149	MvSl-1064-A2-R4_A2g00075	0.3113	0.0046	0.0149
MvSl-1064-A1-R4_A1g00076	1.0834	0.0126	0.0116	MvSl-1064-A2-R4_A2g00076	1.0834	0.0126	0.0116
MvSl-1064-A1-R4_A1g00077	0.7512	0.0129	0.0171	MvSl-1064-A2-R4_A2g00077	0.7512	0.0129	0.0171
MvSl-1064-A1-R4_A1g00078	0.243	0.0089	0.0365	MvSl-1064-A2-R4_A2g00078	0.243	0.0089	0.0365
MvSl-1064-A1-R4_A1g00079	0.5242	0.0058	0.0111	MvSl-1064-A2-R4_A2g00079	0.5242	0.0058	0.0111
MvSl-1064-A1-R4_A1g00111	0.4956	0.0461	0.093	MvSl-1064-A2-R4_A2g00121	0.001	0	0
MvSl-1064-A1-R4_A1g00113	0.4827	0.0064	0.0132	MvSl-1064-A2-R4_A2g00123	0.3044	0.0039	0.0129
MvSl-1064-A1-R4_A1g00368	0.229	0.0023	0.01	MvSl-1064-A2-R4_A2g00125	0.424	0.0036	0.0086
MvSl-1064-A1-R4_A1g00369	0.4762	0.0072	0.0152	MvSl-1064-A2-R4_A2g00126	0.5018	0.0071	0.0141
MvSl-1064-A1-R4_A1g00370	0.7092	0.0041	0.0058	MvSl-1064-A2-R4_A2g00127	0.6118	0.0048	0.0078
MvSl-1064-A1-R4_A1g00371	0.4487	0.0042	0.0093	MvSl-1064-A2-R4_A2g00128	0.4408	0.0034	0.0078
MvSl-1064-A1-R4_A1g00372	0.6891	0.0052	0.0075	MvSl-1064-A2-R4_A2g00129	0.6791	0.0073	0.0107
MvSl-1064-A1-R4_A1g00373	98.9996	0.0026	0	MvSl-1064-A2-R4_A2g00130	98.9996	0.0026	0
MvSl-1064-A1-R4_A1g00374	0.1263	0.0013	0.0105	MvSl-1064-A2-R4_A2g00131	0.8584	0.0027	0.0032
MvSl-1064-A1-R4_A1g00375	98.9996	0.0038	0	MvSl-1064-A2-R4_A2g00132	0.3927	0.0034	0.0086
MvSl-1064-A1-R4_A1g01392	0.8867	0.0103	0.0116	MvSl-1064-A2-R4_A2g00153	0.9646	0.012	0.0124
MvSl-1064-A1-R4_A1g01393	0.9602	0.005	0.0052	MvSl-1064-A2-R4_A2g00154	0.6368	0.0085	0.0134
MvSl-1064-A1-R4_A1g01415	0.1275	0.0013	0.0101	MvSl-1064-A2-R4_A2g00163	0.001	0	0.014
MvSl-1064-A1-R4_A1g00290	0.244	0.0025	0.0102	MvSl-1064-A2-R4_A2g00169	0.439	0.0056	0.0128
MvSl-1064-A1-R4_A1g00772	0.2036	0.0038	0.0185	MvSl-1064-A2-R4_A2g00179	1.8464	0.0074	0.004
MvSl-1064-A1-R4_A1g01389	98.9996	0.0088	0.0001	MvSl-1064-A2-R4_A2g00185	0.4427	0	0
MvSl-1064-A1-R4_A1g01388	0.4243	0.0063	0.0149	MvSl-1064-A2-R4_A2g00186	0.2445	0.0037	0.0153
MvSl-1064-A1-R4_A1g01252	0.001	0	0.0065	MvSl-1064-A2-R4_A2g00195	1.1921	0.0048	0.0041
MvSl-1064-A1-R4_A1g01253	0.5751	0.0077	0.0135	MvSl-1064-A2-R4_A2g00196	98.9996	0.0062	0.0001
MvSl-1064-A1-R4_A1g00591	0.2593	0.0021	0.0082	MvSl-1064-A2-R4_A2g00208	0.7101	0.0109	0.0154
MvSl-1064-A1-R4_A1g00593	0.2572	0.0068	0.0266	MvSl-1064-A2-R4_A2g00210	0.5389	0.0048	0.0089
MvSl-1064-A1-R4_A1g00726	0.1698	0.0021	0.0123	MvSl-1064-A2-R4_A2g00239	98.9996	0.0034	0
MvSl-1064-A1-R4_A1g00165	0.1019	0.0011	0.0106	MvSl-1064-A2-R4_A2g00290	0.3801	0.0045	0.0119
MvSl-1064-A1-R4_A1g00254	0.8848	0.0049	0.0055	MvSl-1064-A2-R4_A2g00300	0.5785	0.0083	0.0144
MvSl-1064-A1-R4_A1g00359	0.1151	0.0046	0.0404	MvSl-1064-A2-R4_A2g00301	0.1072	0.0012	0.0111
MvSl-1064-A1-R4_A1g00281	0.9396	0.0094	0.01	MvSl-1064-A2-R4_A2g00303	0.2879	0.0041	0.0143
MvSl-1064-A1-R4_A1g00280	0.487	0.0068	0.0139	MvSl-1064-A2-R4_A2g00304	0.568	0.0051	0.009
MvSl-1064-A1-R4_A1g00648	0.2998	0.0028	0.0093	MvSl-1064-A2-R4_A2g00314	0.1836	0.0019	0.0105
MvSl-1064-A1-R4_A1g00647	0.042	0.0016	0.0383	MvSl-1064-A2-R4_A2g00315	1.1351	0.0153	0.0135
MvSl-1064-A1-R4_A1g00778	0.6647	0.0067	0.0101	MvSl-1064-A2-R4_A2g00328	1.7546	0.0059	0.0034
MvSl-1064-A1-R4_A1g00779	0.5897	0.0033	0.0057	MvSl-1064-A2-R4_A2g00329	0.1313	0.0019	0.0145
MvSl-1064-A1-R4_A1g01282	0.7953	0.0485	0.061	MvSl-1064-A2-R4_A2g00349	1.5066	0.0426	0.0283
MvSl-1064-A1-R4_A1g00869	1.0246	0.0045	0.0044	MvSl-1064-A2-R4_A2g00351	0.2535	0.0031	0.0122
MvSl-1064-A1-R4_A1g00405	0.4128	0.0026	0.0064	MvSl-1064-A2-R4_A2g00365	0.7741	0.0052	0.0067
MvSl-1064-A1-R4_A1g00404	98.9996	0.005	0.0001	MvSl-1064-A2-R4_A2g00366	98.9996	0.0047	0
MvSl-1064-A1-R4_A1g00403	0.0997	0.0021	0.0212	MvSl-1064-A2-R4_A2g00367	0.1737	0.0014	0.008
MvSl-1064-A1-R4_A1g00402	0.7096	0.0071	0.01	MvSl-1064-A2-R4_A2g00368	0.8004	0.0041	0.0051
MvSl-1064-A1-R4_A1g00401	0.001	0	0.0165	MvSl-1064-A2-R4_A2g00369	0.1386	0.0029	0.0209
MvSl-1064-A1-R4_A1g00399	0.1733	0.0025	0.0144	MvSl-1064-A2-R4_A2g00371	0.001	0	0.0143
MvSl-1064-A1-R4_A1g00398	0.2868	0.0035	0.0124	MvSl-1064-A2-R4_A2g00372	0.2868	0.0035	0.0124
MvSl-1064-A1-R4_A1g00397	0.1523	0.0036	0.0234	MvSl-1064-A2-R4_A2g00373	98.9996	0.0034	0
MvSl-1064-A1-R4_A1g00396	0.6607	0.0062	0.0094	MvSl-1064-A2-R4_A2g00374	0.7862	0.0076	0.0097
MvSl-1064-A1-R4_A1g00395	0.6084	0.0042	0.0069	MvSl-1064-A2-R4_A2g00375	0.2317	0.0027	0.0118
MvSl-1064-A1-R4_A1g00394	0.001	0	0	MvSl-1064-A2-R4_A2g00376	0.001	0	0
MvSl-1064-A1-R4_A1g00391	0.3425	0.0071	0.0207	MvSl-1064-A2-R4_A2g00379	0.5887	0.0079	0.0135
MvSl-1064-A1-R4_A1g00390	0.2626	0.0039	0.0147	MvSl-1064-A2-R4_A2g00380	1.5676	0.005	0.0032
MvSl-1064-A1-R4_A1g00389	0.5657	0.0112	0.0198	MvSl-1064-A2-R4_A2g00383	0.4258	0.0065	0.0152
MvSl-1064-A1-R4_A1g00383	0.804	0.0077	0.0095	MvSl-1064-A2-R4_A2g00388	0.4851	0.0032	0.0067
MvSl-1064-A1-R4_A1g00380	0.1701	0.0055	0.0325	MvSl-1064-A2-R4_A2g00393	98.9996	0.0066	0.0001
MvSl-1064-A1-R4_A1g00379	98.9996	0.0162	0.0002	MvSl-1064-A2-R4_A2g00394	98.9996	0.0075	0.0001
MvSl-1064-A1-R4_A1g01189	98.9996	0.0052	0.0001	MvSl-1064-A2-R4_A2g00403	1.0263	0.0069	0.0067
MvSl-1064-A1-R4_A1g00624	0.4363	0.0038	0.0087	MvSl-1064-A2-R4_A2g00431	0.8323	0.0037	0.0045
MvSl-1064-A1-R4_A1g00185	0.453	0.0048	0.0106	MvSl-1064-A2-R4_A2g00443	0.7497	0.0053	0.0071
MvSl-1064-A1-R4_A1g00186	0.3645	0.0054	0.0149	MvSl-1064-A2-R4_A2g00444	0.225	0.0033	0.0147
MvSl-1064-A1-R4_A1g01038	0.7525	0.0039	0.0052	MvSl-1064-A2-R4_A2g00513	0.1656	0.0098	0.059
MvSl-1064-A1-R4_A1g00230	1.613	0.0085	0.0053	MvSl-1064-A2-R4_A2g00529	98.9996	0.0015	0
MvSl-1064-A1-R4_A1g00575	0.1892	0.0024	0.0128	MvSl-1064-A2-R4_A2g00559	0.5939	0.0054	0.009
MvSl-1064-A1-R4_A1g00576	0.2766	0.0156	0.0565	MvSl-1064-A2-R4_A2g00560	0.5522	0.0393	0.0711
MvSl-1064-A1-R4_A1g00757	1.3079	0.0179	0.0137	MvSl-1064-A2-R4_A2g00565	0.9577	0.0083	0.0087
MvSl-1064-A1-R4_A1g00756	98.9996	0.014	0.0001	MvSl-1064-A2-R4_A2g00566	0.3127	0.0292	0.0933
MvSl-1064-A1-R4_A1g00752	0.9222	0.0123	0.0133	MvSl-1064-A2-R4_A2g00568	0.8351	0.012	0.0144
MvSl-1064-A1-R4_A1g00751	0.6785	0.0055	0.0081	MvSl-1064-A2-R4_A2g00569	1.1843	0.0051	0.0043
MvSl-1064-A1-R4_A1g00750	1.8359	0.0059	0.0032	MvSl-1064-A2-R4_A2g00570	0.988	0.0069	0.007
MvSl-1064-A1-R4_A1g00749	0.9717	0.0142	0.0146	MvSl-1064-A2-R4_A2g00576	0.7841	0.0104	0.0133
MvSl-1064-A1-R4_A1g00745	0.2247	0.008	0.0355	MvSl-1064-A2-R4_A2g00577	0.3856	0.0141	0.0366
MvSl-1064-A1-R4_A1g01135	0.1168	0.0031	0.0265	MvSl-1064-A2-R4_A2g00602	0.42	0.0038	0.0089
MvSl-1064-A1-R4_A1g00245	98.9996	0.0056	0.0001	MvSl-1064-A2-R4_A2g00611	0.203	0.0051	0.0252
MvSl-1064-A1-R4_A1g00241	0.9215	0.0105	0.0114	MvSl-1064-A2-R4_A2g00643	0.423	0.0061	0.0144
MvSl-1064-A1-R4_A1g00242	98.9996	0.0045	0	MvSl-1064-A2-R4_A2g00644	0.2124	0.0047	0.0222
MvSl-1064-A1-R4_A1g00270	0.1273	0.0011	0.0088	MvSl-1064-A2-R4_A2g00647	0.1633	0.0024	0.0145
MvSl-1064-A1-R4_A1g00269	0.4334	0.0041	0.0095	MvSl-1064-A2-R4_A2g00651	0.3464	0.0064	0.0184
MvSl-1064-A1-R4_A1g00211	0.5721	0.0096	0.0168	MvSl-1064-A2-R4_A2g00698	0.2258	0.0039	0.0172
MvSl-1064-A1-R4_A1g00292	0.1956	0.0042	0.0214	MvSl-1064-A2-R4_A2g00711	0.7355	0.0068	0.0092
MvSl-1064-A1-R4_A1g00406	0.001	0	0.0063	MvSl-1064-A2-R4_A2g00732	0.001	0	0.0063
MvSl-1064-A1-R4_A1g00441	0.1296	0.0026	0.0203	MvSl-1064-A2-R4_A2g00737	0.2319	0.0015	0.0063
MvSl-1064-A1-R4_A1g00144	0.372	0.0059	0.0159	MvSl-1064-A2-R4_A2g00759	0.2051	0.003	0.0146
MvSl-1064-A1-R4_A1g01369	0.2726	0.005	0.0185	MvSl-1064-A2-R4_A2g00773	0.9449	0.0067	0.007
MvSl-1064-A1-R4_A1g01368	0.848	0.0086	0.0102	MvSl-1064-A2-R4_A2g00774	1.0455	0.0057	0.0055
MvSl-1064-A1-R4_A1g01367	98.9996	0.009	0.0001	MvSl-1064-A2-R4_A2g00775	1.8866	0.0103	0.0055
MvSl-1064-A1-R4_A1g01366	0.4858	0.0096	0.0197	MvSl-1064-A2-R4_A2g00776	0.3199	0.0044	0.0138
MvSl-1064-A1-R4_A1g00327	0.8201	0.0092	0.0113	MvSl-1064-A2-R4_A2g00818	0.9853	0.0047	0.0048
MvSl-1064-A1-R4_A1g00326	0.3875	0.0065	0.0168	MvSl-1064-A2-R4_A2g00819	0.8229	0.0102	0.0124
MvSl-1064-A1-R4_A1g01404	2.5908	0.0096	0.0037	MvSl-1064-A2-R4_A2g00821	0.7321	0.0061	0.0083
MvSl-1064-A1-R4_A1g01405	0.3049	0.0083	0.0272	MvSl-1064-A2-R4_A2g00822	98.9996	0.0053	0.0001
MvSl-1064-A1-R4_A1g01137	1.0065	0.0109	0.0109	MvSl-1064-A2-R4_A2g00825	0.6386	0.0107	0.0167
MvSl-1064-A1-R4_A1g01136	0.608	0.0155	0.0255	MvSl-1064-A2-R4_A2g00826	1.2989	0.0141	0.0108
MvSl-1064-A1-R4_A1g01154	0.6113	0.0049	0.0079	MvSl-1064-A2-R4_A2g00832	0.7425	0.0069	0.0093
MvSl-1064-A1-R4_A1g01159	0.0592	0.0012	0.0198	MvSl-1064-A2-R4_A2g00833	0.617	0.0094	0.0152
MvSl-1064-A1-R4_A1g01160	0.2126	0.0027	0.0129	MvSl-1064-A2-R4_A2g00834	1.1395	0.0089	0.0078
MvSl-1064-A1-R4_A1g01161	0.3522	0.0033	0.0093	MvSl-1064-A2-R4_A2g00835	0.1056	0.0012	0.0117
MvSl-1064-A1-R4_A1g01162	0.7093	0.0069	0.0097	MvSl-1064-A2-R4_A2g00836	0.3861	0	0
MvSl-1064-A1-R4_A1g01163	0.3504	0.004	0.0115	MvSl-1064-A2-R4_A2g00837	0.1721	0.004	0.0235
MvSl-1064-A1-R4_A1g01212	0.2302	0.0054	0.0235	MvSl-1064-A2-R4_A2g00841	0.0801	0.001	0.0128
MvSl-1064-A1-R4_A1g00534	0.0958	0.0024	0.0251	MvSl-1064-A2-R4_A2g00865	0.1048	0.0025	0.0235
MvSl-1064-A1-R4_A1g00541	0.4804	0.0058	0.0121	MvSl-1064-A2-R4_A2g00866	0.6774	0.0043	0.0064
MvSl-1064-A1-R4_A1g00542	0.1683	0.0013	0.0078	MvSl-1064-A2-R4_A2g00867	0.1195	0.0013	0.0112
MvSl-1064-A1-R4_A1g00543	0.5167	0.0049	0.0095	MvSl-1064-A2-R4_A2g00868	0.4376	0.0043	0.0097
MvSl-1064-A1-R4_A1g00544	0.1331	0.0008	0.0061	MvSl-1064-A2-R4_A2g00869	0.4312	0.0038	0.0088
MvSl-1064-A1-R4_A1g00527	0.1483	0.0026	0.0178	MvSl-1064-A2-R4_A2g00885	0.4516	0.0061	0.0136
MvSl-1064-A1-R4_A1g00525	0.4948	0.0067	0.0136	MvSl-1064-A2-R4_A2g00886	0.9605	0.004	0.0042
MvSl-1064-A1-R4_A1g00523	0.4008	0	0	MvSl-1064-A2-R4_A2g00888	98.9996	0.0103	0.0001
MvSl-1064-A1-R4_A1g00522	1.3698	0.008	0.0058	MvSl-1064-A2-R4_A2g00889	0.6253	0.0021	0.0034
MvSl-1064-A1-R4_A1g00669	0.7822	0.004	0.0051	MvSl-1064-A2-R4_A2g00902	0.3476	0.0052	0.015
MvSl-1064-A1-R4_A1g00668	0.5155	0.0064	0.0125	MvSl-1064-A2-R4_A2g00904	0.5505	0.003	0.0055
MvSl-1064-A1-R4_A1g00312	0.2626	0.006	0.0227	MvSl-1064-A2-R4_A2g00914	1.3323	0.0079	0.006
MvSl-1064-A1-R4_A1g00311	0.4441	0.0042	0.0096	MvSl-1064-A2-R4_A2g00915	0.4872	0.0067	0.0138
MvSl-1064-A1-R4_A1g00842	0.3716	0.003	0.0081	MvSl-1064-A2-R4_A2g00923	0.3076	0.0067	0.0217
MvSl-1064-A1-R4_A1g00843	0.2275	0.0041	0.0181	MvSl-1064-A2-R4_A2g00924	1.4199	0.0054	0.0038
MvSl-1064-A1-R4_A1g00844	0.2138	0.0019	0.0087	MvSl-1064-A2-R4_A2g00925	98.9996	0.0071	0.0001
MvSl-1064-A1-R4_A1g01317	0.4219	0.0018	0.0042	MvSl-1064-A2-R4_A2g00957	0.1971	0.0031	0.0156
MvSl-1064-A1-R4_A1g00352	0.1813	0.0017	0.0096	MvSl-1064-A2-R4_A2g00968	0.3059	0.0035	0.0114
MvSl-1064-A1-R4_A1g00351	0.4298	0.0059	0.0137	MvSl-1064-A2-R4_A2g00969	0.945	0.0077	0.0082
MvSl-1064-A1-R4_A1g00350	0.6035	0.0072	0.012	MvSl-1064-A2-R4_A2g00970	0.7923	0.0049	0.0061
MvSl-1064-A1-R4_A1g00694	0.4212	0.0067	0.016	MvSl-1064-A2-R4_A2g00975	0.5367	0.0042	0.0078
MvSl-1064-A1-R4_A1g00693	0.1083	0.0053	0.0486	MvSl-1064-A2-R4_A2g00976	0.1292	0.0053	0.0414
MvSl-1064-A1-R4_A1g00433	0.5433	0.0034	0.0062	MvSl-1064-A2-R4_A2g00993	1.6762	0.0074	0.0044
MvSl-1064-A1-R4_A1g00432	0.001	0	0.0363	MvSl-1064-A2-R4_A2g00994	0.3428	0	0
MvSl-1064-A1-R4_A1g00644	0.6126	0.0053	0.0087	MvSl-1064-A2-R4_A2g01002	2.7788	0.0068	0.0024
MvSl-1064-A1-R4_A1g01129	0.4376	0.0045	0.0103	MvSl-1064-A2-R4_A2g01028	0.6628	0.0091	0.0138
MvSl-1064-A1-R4_A1g00845	1.0506	0.0047	0.0045	MvSl-1064-A2-R4_A2g01038	0.5245	0.0063	0.0121
MvSl-1064-A1-R4_A1g00407	1.3523	0.0126	0.0093	MvSl-1064-A2-R4_A2g01066	0.5325	0.0074	0.0138
MvSl-1064-A1-R4_A1g01346	0.1291	0.0018	0.0136	MvSl-1064-A2-R4_A2g01083	0.1679	0.0109	0.0651
MvSl-1064-A1-R4_A1g00854	1.1166	0.0033	0.003	MvSl-1064-A2-R4_A2g01111	0.2351	0.0022	0.0095
MvSl-1064-A1-R4_A1g00853	0.2795	0.0018	0.0063	MvSl-1064-A2-R4_A2g01112	0.7796	0.0041	0.0052
MvSl-1064-A1-R4_A1g01385	0.3049	0.0051	0.0168	MvSl-1064-A2-R4_A2g01134	1.0419	0.0026	0.0025
MvSl-1064-A1-R4_A1g01384	0.4076	0.0038	0.0093	MvSl-1064-A2-R4_A2g01135	0.3429	0.0033	0.0097
MvSl-1064-A1-R4_A1g01431	0.8215	0.0045	0.0054	MvSl-1064-A2-R4_A2g01151	0.4463	0.0028	0.0062
MvSl-1064-A1-R4_A1g01432	0.2212	0.0054	0.0246	MvSl-1064-A2-R4_A2g01152	0.001	0	0.0079
MvSl-1064-A1-R4_A1g00997	0.753	0.0103	0.0137	MvSl-1064-A2-R4_A2g01153	1.1315	0.0103	0.0091
MvSl-1064-A1-R4_A1g00998	0.3604	0.0075	0.0208	MvSl-1064-A2-R4_A2g01154	0.1035	0.0019	0.0186
MvSl-1064-A1-R4_A1g00956	0.6649	0.0084	0.0126	MvSl-1064-A2-R4_A2g01182	1.095	0.0085	0.0078
MvSl-1064-A1-R4_A1g00957	0.1089	0.0019	0.0174	MvSl-1064-A2-R4_A2g01186	1.9263	0.0085	0.0044
MvSl-1064-A1-R4_A1g00958	0.6111	0.0049	0.0081	MvSl-1064-A2-R4_A2g01187	0.2001	0.0015	0.0073
MvSl-1064-A1-R4_A1g00960	0.8146	0.021	0.0258	MvSl-1064-A2-R4_A2g01189	0.2407	0.0042	0.0176
MvSl-1064-A1-R4_A1g00184	0.001	0	0	MvSl-1064-A2-R4_A2g01227	98.9996	0.0104	0.0001
MvSl-1064-A1-R4_A1g00515	0.6454	0.0089	0.0138	MvSl-1064-A2-R4_A2g01249	0.8122	0.007	0.0086
MvSl-1064-A1-R4_A1g00514	0.7461	0.01	0.0134	MvSl-1064-A2-R4_A2g01252	0.7883	0.0057	0.0072
MvSl-1064-A1-R4_A1g00307	0.353	0.0052	0.0147	MvSl-1064-A2-R4_A2g01256	98.9996	0.0103	0.0001
MvSl-1064-A1-R4_A1g00503	0.9131	0.0081	0.0089	MvSl-1064-A2-R4_A2g01265	0.6319	0.0098	0.0154
