gid	gidmvsd	dnds	dn	ds
MvSl-1064-A1-R4_MC09-2g08959	MvSdioicae-1303-FR02-D-N206-PbcR_C048g12382	1.0164	0.0069	0.0068
MvSl-1064-A1-R4_MC07g08194	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09289	0.6427	0.0055	0.0086
MvSl-1064-A1-R4_MC01-1g02380	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01689	1.2478	0.0043	0.0034
MvSl-1064-A1-R4_MC02g03821	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03396	0.2041	0.0028	0.0139
MvSl-1064-A1-R4_MC01-1g02819	MvSdioicae-1303-FR02-D-N206-PbcR_C036g11485	0.001	0	0.0112
MvSl-1064-A1-R4_MC12g10811	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05326	0.2106	0.0033	0.0155
MvSl-1064-A1-R4_MC02g04231	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09560	0.1615	0.0018	0.0113
MvSl-1064-A1-R4_MC05-3g06616	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02333	98.9996	0.0032	0
MvSl-1064-A1-R4_MC10-2g10000	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07562	0.5361	0.0042	0.0078
MvSl-1064-A1-R4_MC02g03988	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03246	0.7952	0.0022	0.0028
MvSl-1064-A1-R4_MC03g04598	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00671	0.3505	0.0037	0.0106
MvSl-1064-A1-R4_MC06g07161	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06769	98.9996	0.0013	0
MvSl-1064-A1-R4_MC09-2g09180	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08223	0.2366	0.0051	0.0217
MvSl-1064-A1-R4_MC12g11080	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05054	0.5226	0.0069	0.0132
MvSl-1064-A1-R4_MC08g08632	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05840	0.5997	0.0031	0.0052
MvSl-1064-A1-R4_MC03g05254	MvSdioicae-1303-FR02-D-N206-PbcR_C047g12298	0.2244	0.0107	0.0478
MvSl-1064-A1-R4_MC07g07881	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09794	0.3235	0.0061	0.0187
MvSl-1064-A1-R4_MC12g11031	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05104	1.208	0.0051	0.0042
MvSl-1064-A1-R4_MC13g11414	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05504	0.001	0	0.0272
MvSl-1064-A1-R4_MC03g04848	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00384	2.3937	0.0106	0.0044
MvSl-1064-A1-R4_MC07g07687	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07245	0.3205	0	0
MvSl-1064-A1-R4_MC01-1g02556	MvSdioicae-1303-FR02-D-N206-PbcR_C015g08027	0.5627	0.0037	0.0065
MvSl-1064-A1-R4_MC08g08793	MvSdioicae-1303-FR02-D-N206-PbcR_C025g10032	0.9107	0.006	0.0066
MvSl-1064-A1-R4_MC12g10785	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05357	0.5068	0.0027	0.0053
MvSl-1064-A1-R4_MC06g07369	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07007	0.5175	0	0
MvSl-1064-A1-R4_MC09-2g09121	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08165	0.1666	0.0022	0.0135
MvSl-1064-A1-R4_MC02g04158	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09469	0.1792	0.002	0.0112
MvSl-1064-A1-R4_MC11g10511	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04532	0.3294	0.0032	0.0097
MvSl-1064-A1-R4_A1g01174	MvSdioicae-1303-FR02-D-N206-PbcR_C006g03879	0.5402	0.0047	0.0086
MvSl-1064-A1-R4_MC07g07836	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07092	98.9996	0.0025	0
MvSl-1064-A1-R4_MC01-2g03075	MvSdioicae-1303-FR02-D-N206-PbcR_C035g11439	0.001	0	0.004
MvSl-1064-A1-R4_MC02g03214	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09637	0.1488	0.0007	0.0047
MvSl-1064-A1-R4_MC03g05054	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00245	0.2046	0.0031	0.0152
MvSl-1064-A1-R4_MC01-1g02432	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01735	98.9996	0.0082	0.0001
MvSl-1064-A1-R4_MC01-1g02319	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01631	0.1971	0.0042	0.0213
MvSl-1064-A1-R4_MC07g07741	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07191	0.3802	0.0022	0.0058
MvSl-1064-A1-R4_MC12g11068	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05066	0.5534	0.0028	0.0051
MvSl-1064-A1-R4_MC03g04786	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00442	0.3224	0.0029	0.0089
MvSl-1064-A1-R4_A1g01272	MvSdioicae-1303-FR02-D-N206-PbcR_C006g03909	0.1427	0.0024	0.0166
MvSl-1064-A1-R4_A1g00312	MvSdioicae-1303-FR02-D-N206-PbcR_C043g12107	0.2626	0.006	0.0227
MvSl-1064-A1-R4_MC09-2g09114	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08158	98.9996	0.0064	0.0001
MvSl-1064-A1-R4_MC12g10839	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05297	0.9044	0.0049	0.0054
MvSl-1064-A1-R4_MC02g03218	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09641	0.001	0	0.0107
MvSl-1064-A1-R4_MC01-1g02290	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01602	0.001	0	0.0087
MvSl-1064-A1-R4_MC02g03634	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03581	0.4883	0.0031	0.0064
MvSl-1064-A1-R4_MC08g08435	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06046	1.0055	0.0067	0.0066
MvSl-1064-A1-R4_MC01-1g02091	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01408	0.502	0.0054	0.0108
MvSl-1064-A1-R4_MC12g11006	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05129	1.8133	0.0067	0.0037
MvSl-1064-A1-R4_MC03g05072	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00132	0.0584	0.0007	0.0121
MvSl-1064-A1-R4_MC06g07401	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07038	0.3557	0.003	0.0085
MvSl-1064-A1-R4_A1g00750	MvSdioicae-1303-FR02-D-N206-PbcR_C006g04208	1.8359	0.0059	0.0032
MvSl-1064-A1-R4_MC01-1g02527	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12437	0.1355	0.0019	0.0139
MvSl-1064-A1-R4_MC03g04667	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00561	0.3928	0.0037	0.0094
MvSl-1064-A1-R4_MC11g10706	MvSdioicae-1303-FR02-D-N206-PbcR_C038g11707	0.4001	0.0042	0.0104
MvSl-1064-A1-R4_MC01-2g03062	MvSdioicae-1303-FR02-D-N206-PbcR_C035g11429	0.7037	0.0044	0.0063
MvSl-1064-A1-R4_MC01-1g02189	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01508	0.0845	0.0021	0.0253
MvSl-1064-A1-R4_MC11g10344	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04702	0.2042	0.0027	0.0133
MvSl-1064-A1-R4_MC03g04405	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00842	0.6827	0.0075	0.0109
MvSl-1064-A1-R4_MC01-2g03131	MvSdioicae-1303-FR02-D-N206-PbcR_C039g11785	0.0971	0.0018	0.0186
MvSl-1064-A1-R4_MC08g08668	MvSdioicae-1303-FR02-D-N206-PbcR_C034g11333	0.4344	0.0044	0.0102
MvSl-1064-A1-R4_MC09-2g09123	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08167	0.402	0.0033	0.0081
MvSl-1064-A1-R4_MC07g08137	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09315	0.8281	0.0059	0.0071
MvSl-1064-A1-R4_MC01-1g02348	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01661	0.0763	0.0012	0.0154
MvSl-1064-A1-R4_MC03g04643	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00590	0.2396	0.0015	0.0061
MvSl-1064-A1-R4_MC03g04559	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00636	0.3067	0.0034	0.011
MvSl-1064-A1-R4_MC14g11913	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10494	0.2409	0.0032	0.0132
MvSl-1064-A1-R4_MC01-1g02192	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01511	0.001	0	0.0071
MvSl-1064-A1-R4_MC02g03266	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09690	0.0876	0.001	0.0112
MvSl-1064-A1-R4_MC12g11050	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05085	0.2858	0.0043	0.0151
MvSl-1064-A1-R4_MC02g03225	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09648	98.9996	0.0067	0.0001
MvSl-1064-A1-R4_MC13g11707	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05806	0.3752	0	0
MvSl-1064-A1-R4_MC10-2g10111	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07680	0.001	0	0.0152
MvSl-1064-A1-R4_MC14g11945	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10462	98.9996	0.0053	0.0001
MvSl-1064-A1-R4_MC01-1g02541	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12423	0.5787	0.0043	0.0075
MvSl-1064-A1-R4_MC12g10815	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05322	1.7104	0.0127	0.0074
MvSl-1064-A1-R4_MC01-1g02223	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01540	0.2795	0.0065	0.0232
MvSl-1064-A1-R4_MC01-1g02580	MvSdioicae-1303-FR02-D-N206-PbcR_C015g08001	0.8789	0.002	0.0022
MvSl-1064-A1-R4_MC08g08390	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06090	0.3332	0.0029	0.0088
MvSl-1064-A1-R4_MC01-1g02720	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07863	98.9996	0.0043	0
MvSl-1064-A1-R4_MC02g03336	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09755	0.1602	0.0007	0.0041
MvSl-1064-A1-R4_MC13g11643	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05744	0.9788	0.0078	0.008
MvSl-1064-A1-R4_MC11g10613	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04436	98.9996	0.0055	0.0001
MvSl-1064-A1-R4_MC10-1g09693	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08644	0.6527	0.0051	0.0079
MvSl-1064-A1-R4_MC12g10921	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05211	3.4101	0.0088	0.0026
MvSl-1064-A1-R4_MC05-3g06611	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02328	0.2986	0.0046	0.0153
MvSl-1064-A1-R4_MC03g04545	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00690	0.3933	0.0038	0.0096
MvSl-1064-A1-R4_A1g01368	MvSdioicae-1303-FR02-D-N206-PbcR_C032g11059	0.848	0.0086	0.0102
MvSl-1064-A1-R4_MC01-1g02449	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01751	0.1508	0.0019	0.0129
MvSl-1064-A1-R4_MC11g10413	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04629	1.3582	0.0068	0.005
MvSl-1064-A1-R4_MC06g07494	MvSdioicae-1303-FR02-D-N206-PbcR_C027g10335	0.3293	0.0031	0.0094
MvSl-1064-A1-R4_MC12g11167	MvSdioicae-1303-FR02-D-N206-PbcR_C008g04964	0.2596	0.0028	0.011
MvSl-1064-A1-R4_MC10-2g09985	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07547	1.5933	0.0049	0.0031
MvSl-1064-A1-R4_MC11g10696	MvSdioicae-1303-FR02-D-N206-PbcR_C038g11715	0.4403	0.0072	0.0164
MvSl-1064-A1-R4_MC07g08187	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09295	0.001	0	0.0152
MvSl-1064-A1-R4_MC14g11735	MvSdioicae-1303-FR02-D-N206-PbcR_C064g12788	0.6735	0.0011	0.0016
MvSl-1064-A1-R4_MC08g08421	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06060	0.3822	0.0038	0.0099
MvSl-1064-A1-R4_MC07g07826	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07102	0.0872	0.002	0.0229
MvSl-1064-A1-R4_MC10-1g09750	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08701	0.1991	0.0018	0.0092
MvSl-1064-A1-R4_MC03g04370	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00878	0.5654	0.0042	0.0074
MvSl-1064-A1-R4_MC05-3g06660	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02375	0.0155	0.0004	0.0227
MvSl-1064-A1-R4_MC10-2g09931	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07494	0.1213	0.0014	0.0117
MvSl-1064-A1-R4_MC01-1g01880	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01146	98.9996	0.0063	0.0001
MvSl-1064-A1-R4_MC12g11220	MvSdioicae-1303-FR02-D-N206-PbcR_C008g04910	0.3732	0.0023	0.0062
MvSl-1064-A1-R4_MC13g11571	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05675	98.9996	0.0045	0
MvSl-1064-A1-R4_MC01-1g02768	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07815	98.9996	0.0036	0
MvSl-1064-A1-R4_MC05-2g06478	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02197	0.1464	0.0017	0.0118
MvSl-1064-A1-R4_A1g01252	MvSdioicae-1303-FR02-D-N206-PbcR_C006g04150	0.001	0	0.0065
MvSl-1064-A1-R4_MC02g03641	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03574	0.001	0	0.0029
MvSl-1064-A1-R4_MC16g12177	MvSdioicae-1303-FR02-D-N206-PbcR_C046g12276	0.7854	0.0021	0.0027
MvSl-1064-A1-R4_MC06g07049	MvSdioicae-1303-FR02-D-N206-PbcR_C020g09068	1.2262	0.0062	0.005
MvSl-1064-A1-R4_MC09-2g09023	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08064	0.3748	0.0041	0.011
MvSl-1064-A1-R4_MC03g04724	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00506	0.2933	0.0024	0.0083
MvSl-1064-A1-R4_MC03g04305	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00942	0.1244	0.0039	0.0314
MvSl-1064-A1-R4_MC08g08798	MvSdioicae-1303-FR02-D-N206-PbcR_C025g10026	0.6605	0.0069	0.0104
MvSl-1064-A1-R4_A1g00402	MvSdioicae-1303-FR02-D-N206-PbcR_C017g08397	0.7096	0.0071	0.01
MvSl-1064-A1-R4_MC03g04769	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00460	1.9918	0.0091	0.0046
MvSl-1064-A1-R4_MC08g08851	MvSdioicae-1303-FR02-D-N206-PbcR_C025g09986	0.257	0.0028	0.0109
MvSl-1064-A1-R4_MC01-1g02068	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01378	0.224	0.0019	0.0086
MvSl-1064-A1-R4_MC07g08114	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09368	0.1571	0.0013	0.008
MvSl-1064-A1-R4_MC04-1g05565	MvSdioicae-1303-FR02-D-N206-PbcR_C004g03002	0.001	0	0.0045
MvSl-1064-A1-R4_MC02g03271	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09695	0.3903	0.0022	0.0056
MvSl-1064-A1-R4_MC06g07363	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07001	0.001	0	0
MvSl-1064-A1-R4_MC04-1g05298	MvSdioicae-1303-FR02-D-N206-PbcR_C030g10851	0.4024	0.0054	0.0135
MvSl-1064-A1-R4_MC07g08003	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09921	0.5496	0.0025	0.0046
MvSl-1064-A1-R4_MC06g06995	MvSdioicae-1303-FR02-D-N206-PbcR_C020g09120	0.6879	0.0041	0.006
MvSl-1064-A1-R4_MC01-1g02656	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07928	98.9996	0	0
MvSl-1064-A1-R4_MC01-1g02043	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01297	0.001	0	0.0127
MvSl-1064-A1-R4_MC01-1g02374	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01686	0.262	0.0055	0.0211
MvSl-1064-A1-R4_MC01-1g02691	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07893	98.9996	0.0028	0
MvSl-1064-A1-R4_MC06g07386	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07024	0.3429	0.0035	0.0103
MvSl-1064-A1-R4_MC07g07756	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07177	0.1334	0.0007	0.0053
MvSl-1064-A1-R4_MC11g10582	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04470	0.2567	0.0017	0.0065
MvSl-1064-A1-R4_MC03g04311	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00934	0.5697	0.0061	0.0107
MvSl-1064-A1-R4_MC05-3g06757	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02474	0.0953	0.0008	0.008
MvSl-1064-A1-R4_MC12g11096	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05036	0.8342	0.0106	0.0127
MvSl-1064-A1-R4_MC02g03561	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03657	1.1563	0.0045	0.0039
MvSl-1064-A1-R4_MC06g06958	MvSdioicae-1303-FR02-D-N206-PbcR_C020g09158	0.5045	0	0
MvSl-1064-A1-R4_MC15g12126	MvSdioicae-1303-FR02-D-N206-PbcR_C044g12169	0.4558	0.0019	0.0041
MvSl-1064-A1-R4_MC07g08110	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09372	0.733	0.0053	0.0073
MvSl-1064-A1-R4_MC12g10908	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05225	0.4768	0.007	0.0147
MvSl-1064-A1-R4_MC02g03307	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09727	0.0865	0.0007	0.0081
MvSl-1064-A1-R4_MC08g08609	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05863	1.0465	0.0052	0.0049
MvSl-1064-A1-R4_MC03g05007	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00159	0.4075	0.0045	0.0111
MvSl-1064-A1-R4_MC01-1g02822	MvSdioicae-1303-FR02-D-N206-PbcR_C036g11487	0.1149	0.0016	0.0138
MvSl-1064-A1-R4_MC06g07340	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06973	0.5271	0.0015	0.0029
MvSl-1064-A1-R4_MC01-1g01954	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01223	0.8104	0.0055	0.0067
MvSl-1064-A1-R4_MC14g11875	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10531	0.8254	0.0026	0.0032
MvSl-1064-A1-R4_MC02g03685	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03531	0.2137	0.0015	0.0069
MvSl-1064-A1-R4_MC02g04089	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09424	0.1166	0.002	0.0168
MvSl-1064-A1-R4_MC05-3g06539	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02259	0.3229	0.0015	0.0045
MvSl-1064-A1-R4_MC02g04230	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09559	1.3695	0.0028	0.002
MvSl-1064-A1-R4_MC02g03979	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03255	0.1628	0.0021	0.0129
MvSl-1064-A1-R4_MC05-2g06357	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02069	0.5047	0.0027	0.0053
MvSl-1064-A1-R4_MC02g03761	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03456	0.1095	0.0019	0.0178
MvSl-1064-A1-R4_MC10-2g09987	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07549	0.0669	0.0007	0.0111
MvSl-1064-A1-R4_MC01-1g02749	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07833	0.0796	0.0014	0.0174
MvSl-1064-A1-R4_MC03g05178	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00019	0.1021	0.0011	0.011
MvSl-1064-A1-R4_MC10-1g09818	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08763	0.2323	0.0024	0.0102
MvSl-1064-A1-R4_MC03g05090	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00116	0.3726	0.0047	0.0125
MvSl-1064-A1-R4_MC10-2g09960	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07522	0.5152	0.0037	0.0072
MvSl-1064-A1-R4_MC06g07228	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06859	0.337	0.0033	0.0099
MvSl-1064-A1-R4_MC07g08136	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09314	98.9996	0.0096	0.0001
MvSl-1064-A1-R4_MC13g11673	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05774	0.3256	0.0021	0.0064
MvSl-1064-A1-R4_MC06g07226	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06857	0.339	0.0015	0.0044
MvSl-1064-A1-R4_MC03g04781	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00447	0.2905	0.0029	0.01
MvSl-1064-A1-R4_MC01-1g02194	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01513	0.483	0	0
MvSl-1064-A1-R4_MC05-3g06530	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02247	0.5195	0.0014	0.0026
MvSl-1064-A1-R4_A1g00694	MvSdioicae-1303-FR02-D-N206-PbcR_C017g08318	0.4212	0.0067	0.016
MvSl-1064-A1-R4_MC05-3g06573	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02294	98.9996	0.006	0.0001
MvSl-1064-A1-R4_MC01-1g02455	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01756	0.1897	0.0029	0.0154
MvSl-1064-A1-R4_MC01-1g02518	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12446	0.473	0.0042	0.0088
MvSl-1064-A1-R4_MC01-1g02358	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01671	0.6606	0.005	0.0075
MvSl-1064-A1-R4_MC05-3g06758	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02475	1.2093	0.0062	0.0052
MvSl-1064-A1-R4_MC07g08104	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09378	0.2938	0.0053	0.0179
MvSl-1064-A1-R4_MC03g04505	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00728	0.1928	0.0029	0.0149
MvSl-1064-A1-R4_MC01-1g02802	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07775	0.4272	0.0029	0.0068
MvSl-1064-A1-R4_MC10-2g10053	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07614	0.3003	0.0028	0.0095
MvSl-1064-A1-R4_MC01-1g01801	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01067	0.7852	0.0033	0.0042
MvSl-1064-A1-R4_MC07g07696	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07236	0.3226	0.0026	0.008
