Haploid	Gene	Genomicloc	intronnr	intronmean	introntotal	ploidy
A1	MvSl-1064-A1-R4_MC12g11286	aAutosome	8	268.875	2151	diploidy
A1	MvSl-1064-A1-R4_MC12g11287	aAutosome	2	78	156	diploidy
A1	MvSl-1064-A1-R4_MC12g11288	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01697	aAutosome	4	143.25	573	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01698	aAutosome	1	227	227	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01699	aAutosome	2	203.5	407	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01700	aAutosome	1	235	235	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01701	aAutosome	1	78	78	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01702	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01703	aAutosome	3	78	234	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01704	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01705	aAutosome	4	91	364	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01706	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01707	aAutosome	1	79	79	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01708	aAutosome	1	72	72	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01709	aAutosome	7	103	721	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01710	aAutosome	1	78	78	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01711	aAutosome	5	68.8	344	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01712	aAutosome	7	81.1429	568	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01713	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01714	aAutosome	1	77	77	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01715	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01716	aAutosome	1	107	107	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01717	aAutosome	6	76.8333	461	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01718	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01719	aAutosome	5	92.6	463	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01720	aAutosome	3	125.333	376	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01721	aAutosome	1	47	47	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01722	aAutosome	2	138.5	277	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01723	aAutosome	1	95	95	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01724	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01725	aAutosome	3	95	285	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01726	aAutosome	3	143	429	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01727	aAutosome	4	108.75	435	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01728	aAutosome	6	105	630	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01729	aAutosome	2	74.5	149	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01730	aAutosome	3	92.6667	278	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01731	aAutosome	3	189.333	568	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01732	aAutosome	1	61	61	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01733	aAutosome	2	66.5	133	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01734	aAutosome	2	71	142	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01735	aAutosome	5	84.8	424	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01736	aAutosome	1	53	53	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01737	aAutosome	3	101.333	304	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01738	aAutosome	1	125	125	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01739	aAutosome	1	180	180	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01740	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01741	aAutosome	4	76	304	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01742	aAutosome	4	134.75	539	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01743	aAutosome	3	78.6667	236	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01744	aAutosome	5	90.6	453	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01745	aAutosome	1	115	115	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01746	aAutosome	1	142	142	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01747	aAutosome	1	172	172	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01748	aAutosome	2	82.5	165	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01749	aAutosome	2	103	206	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01750	aAutosome	8	70.625	565	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01751	aAutosome	9	77.2222	695	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01752	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01753	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01754	aAutosome	3	92.3333	277	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01755	aAutosome	1	96	96	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01756	aAutosome	4	106.25	425	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01757	aAutosome	2	94.5	189	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01758	aAutosome	5	96	480	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01759	aAutosome	1	306	306	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01760	aAutosome	3	94	282	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01761	aAutosome	1	190	190	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01762	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01763	aAutosome	3	94.3333	283	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01764	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01765	aAutosome	4	68.5	274	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01766	aAutosome	5	77	385	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01767	aAutosome	2	88.5	177	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01768	aAutosome	6	78	468	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01769	aAutosome	3	83.6667	251	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01770	aAutosome	6	147.167	883	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01771	aAutosome	7	97	679	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01772	aAutosome	1	79	79	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01773	aAutosome	1	96	96	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01774	aAutosome	9	94.8889	854	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01775	aAutosome	4	55.25	221	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01776	aAutosome	4	100.5	402	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01777	aAutosome	2	78	156	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01778	aAutosome	8	83.125	665	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01779	aAutosome	11	87.1818	959	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01780	aAutosome	3	74.6667	224	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01782	aAutosome	3	73	219	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01783	aAutosome	7	96.4286	675	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01785	aAutosome	1	119	119	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01786	aAutosome	1	73	73	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01787	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01788	aAutosome	10	102.7	1027	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01789	aAutosome	5	93.2	466	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01790	aAutosome	9	64.8889	584	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01791	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01792	aAutosome	2	58.5	117	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01794	aAutosome	1	132	132	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01795	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01796	aAutosome	3	100.333	301	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01797	aAutosome	3	83.6667	251	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01798	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01799	aAutosome	2	90	180	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01800	aAutosome	2	158	316	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01801	aAutosome	7	79.7143	558	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01802	aAutosome	8	86.5	692	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01803	aAutosome	3	218.667	656	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01804	aAutosome	5	98	490	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01805	aAutosome	6	103.5	621	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01806	aAutosome	7	88	616	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01807	aAutosome	2	118.5	237	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01808	aAutosome	2	71	142	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01809	aAutosome	6	105	630	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01810	aAutosome	2	95.5	191	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01811	aAutosome	1	70	70	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01812	aAutosome	3	243.667	731	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01813	aAutosome	11	79	869	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01814	aAutosome	4	86.75	347	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01815	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01816	aAutosome	4	71.5	286	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01817	aAutosome	12	76.25	915	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01818	aAutosome	5	74.8	374	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01819	aAutosome	8	76.375	611	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01820	aAutosome	2	74	148	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01821	aAutosome	1	70	70	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01822	aAutosome	11	73.2727	806	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01823	aAutosome	1	59	59	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01824	aAutosome	5	75.8	379	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01825	aAutosome	4	84	336	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01826	aAutosome	3	75	225	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01827	aAutosome	2	79	158	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01828	aAutosome	2	64.5	129	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01829	aAutosome	2	49.5	99	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01830	aAutosome	2	85	170	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01831	aAutosome	1	53	53	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01832	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01833	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01834	aAutosome	4	96	384	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01835	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01836	aAutosome	4	89	356	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01837	aAutosome	2	66.5	133	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01839	aAutosome	3	114.667	344	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01840	aAutosome	7	97.8571	685	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01841	aAutosome	4	69	276	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01842	aAutosome	1	134	134	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01843	aAutosome	9	78.3333	705	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01844	aAutosome	10	109.3	1093	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01845	aAutosome	5	81.8	409	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01846	aAutosome	9	67.3333	606	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01847	aAutosome	4	81	324	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01848	aAutosome	1	211	211	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01849	aAutosome	2	206.5	413	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01850	aAutosome	4	68.75	275	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01851	aAutosome	3	104	312	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01852	aAutosome	3	140.333	421	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01853	aAutosome	3	80.6667	242	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01854	aAutosome	6	85.6667	514	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01855	aAutosome	9	105.778	952	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01856	aAutosome	3	99.6667	299	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01857	aAutosome	5	70.8	354	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01858	aAutosome	2	95	190	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01859	aAutosome	3	104	312	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01860	aAutosome	4	69.75	279	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01861	aAutosome	2	74	148	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01862	aAutosome	3	84	252	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01863	aAutosome	4	81.5	326	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01864	aAutosome	2	79.5	159	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01865	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01866	aAutosome	1	65	65	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01867	aAutosome	4	66	264	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01868	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01869	aAutosome	2	80	160	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01870	aAutosome	7	80	560	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01871	aAutosome	4	120.25	481	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01872	aAutosome	2	84.5	169	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01873	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01874	aAutosome	5	84	420	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01875	aAutosome	5	89.8	449	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01876	aAutosome	5	67.6	338	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01877	aAutosome	2	73	146	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01878	aAutosome	5	100.8	504	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01879	aAutosome	6	74.8333	449	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01880	aAutosome	3	94.6667	284	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01881	aAutosome	5	79	395	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01882	aAutosome	3	83.6667	251	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01883	aAutosome	3	73	219	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01884	aAutosome	5	63.4	317	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01885	aAutosome	1	72	72	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01886	aAutosome	18	76.9444	1385	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01887	aAutosome	1	68	68	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01888	aAutosome	1	87	87	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01889	aAutosome	5	124.4	622	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01890	aAutosome	3	69.3333	208	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01891	aAutosome	2	78.5	157	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01892	aAutosome	1	119	119	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01893	aAutosome	2	78	156	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01894	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01895	aAutosome	2	102.5	205	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01896	aAutosome	2	76.5	153	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01897	aAutosome	4	62.75	251	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01898	aAutosome	1	107	107	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01899	aAutosome	3	202.333	607	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01900	aAutosome	2	101.5	203	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01901	aAutosome	3	68.6667	206	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01902	aAutosome	2	73	146	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01903	aAutosome	6	82.8333	497	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01904	aAutosome	5	89.6	448	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01905	aAutosome	3	88.3333	265	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01906	aAutosome	15	100.467	1507	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01907	aAutosome	9	77.5556	698	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01908	aAutosome	1	93	93	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01909	aAutosome	1	74	74	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01910	aAutosome	1	48	48	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01911	aAutosome	6	66.3333	398	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01912	aAutosome	4	100.25	401	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01913	aAutosome	12	78.75	945	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01914	aAutosome	5	86.8	434	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01915	aAutosome	4	73	292	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01916	aAutosome	4	65	260	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01917	aAutosome	5	63.2	316	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01918	aAutosome	2	66.5	133	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01919	aAutosome	5	118	590	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01921	aAutosome	5	197.2	986	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01922	aAutosome	7	75.1429	526	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01923	aAutosome	8	115.875	927	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01924	aAutosome	1	80	80	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01925	aAutosome	5	147.2	736	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01926	aAutosome	1	427	427	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01927	aAutosome	9	76.3333	687	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01928	aAutosome	6	85.3333	512	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01929	aAutosome	7	122.429	857	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01930	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01931	aAutosome	5	102.2	511	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01932	aAutosome	3	65	195	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01933	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01934	aAutosome	3	103	309	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01935	aAutosome	7	118.286	828	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01936	aAutosome	1	80	80	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01937	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01938	aAutosome	4	158.75	635	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01939	aAutosome	5	78.8	394	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01940	aAutosome	2	114.5	229	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01941	aAutosome	3	107	321	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01942	aAutosome	4	89.25	357	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01943	aAutosome	4	202.75	811	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01944	aAutosome	9	85.2222	767	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01945	aAutosome	13	80	1040	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01946	aAutosome	7	93.8571	657	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01947	aAutosome	3	84	252	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01948	aAutosome	3	104.667	314	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01949	aAutosome	3	84	252	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01950	aAutosome	7	121.143	848	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01951	aAutosome	6	95.1667	571	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01952	aAutosome	2	185	370	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01953	aAutosome	2	68	136	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01954	aAutosome	5	80.6	403	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01955	aAutosome	2	85	170	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01956	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01957	aAutosome	3	178	534	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01958	aAutosome	1	60	60	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01959	aAutosome	5	90.8	454	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01960	aAutosome	2	178	356	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01961	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01962	aAutosome	6	117.333	704	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01963	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01964	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01965	aAutosome	5	85.8	429	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01966	aAutosome	1	93	93	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01967	aAutosome	3	74.3333	223	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01968	aAutosome	6	86.8333	521	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01969	aAutosome	2	98	196	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01970	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01971	aAutosome	1	105	105	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01972	aAutosome	14	65.7143	920	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01973	aAutosome	3	75.3333	226	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01974	aAutosome	6	63.5	381	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01975	aAutosome	9	71	639	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01976	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01977	aAutosome	3	63.3333	190	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01978	aAutosome	1	163	163	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01979	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01980	aAutosome	3	79.6667	239	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01981	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01982	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01983	aAutosome	1	0	0	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01984	aAutosome	2	126.5	253	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01985	aAutosome	4	86.5	346	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01986	aAutosome	2	219.5	439	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01987	aAutosome	4	209	836	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01988	aAutosome	6	102.667	616	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01989	aAutosome	6	77.8333	467	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01990	aAutosome	1	100	100	diploidy
A1	MvSl-1064-A1-R4_MC01-1g01991	aAutosome	1	0	0	diploidy
