gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2	averagewater	averagedi	log2ratio_waterdi	averagerich	log2ratio_richdi	log2ratio_waterrich
MvSl-1064-A1-R4_A1g01115	MvSl-1064-A1-R4_A1	MAT	2487024	2487693	5.922592681	0	-7.559575864	-7.559575864	1	2.05E-11	5.41E-10	1	3.62E-10	4.80E-09	3.654595526	3.654595526	3.654595526	3.654595526	7.41686444	7.232437595	3.654595526	7.324651018	-1.00304828	3.654595526	-1.00304828	0
MvSl-1064-A1-R4_A1g00282	MvSl-1064-A1-R4_A1	MAT	651600	651861	6.843399633	7.502281476	-0.157888292	-7.660169768	1.06E-08	0.784896535	4.12E-09	1.25E-07	0.948332575	3.12E-08	7.352503513	7.183551647	3.654595526	3.654595526	7.923818966	6.678805704	7.26802758	7.301312335	-0.006591903	3.654595526	-0.998444053	0.99185215
MvSl-1064-A1-R4_A1g00621	MvSl-1064-A1-R4_A1	MAT	1354338	1354822	8.690295818	7.806386315	2.253437333	-5.552948982	2.38E-25	2.26E-07	7.51E-11	5.60E-23	2.79E-06	7.20E-10	9.470758865	10.29201542	3.654595526	4.254944124	8.046674655	7.395306863	9.881387141	7.720990759	0.355927594	3.954769825	-0.965192257	1.321119851
MvSl-1064-A1-R4_A1g00638	MvSl-1064-A1-R4_A1	MAT	1383670	1384158	6.844517995	4.782282993	-0.600830689	-5.383113683	1.63E-07	0.21573338	7.15E-10	1.48E-06	0.400769519	6.23E-09	6.799805943	7.239735122	3.654595526	4.254944124	7.588473751	7.587295957	7.019770532	7.587884854	-0.112273915	3.954769825	-0.940104056	0.827830142
MvSl-1064-A1-R4_A1g01318	MvSl-1064-A1-R4_A1	MAT	2918580	2919346	7.693272545	5.374152485	0.443373407	-4.930779078	3.66E-13	0.321099187	9.94E-11	6.88E-12	0.524016035	9.34E-10	7.852012717	8.799441502	3.654595526	4.677613573	7.965944068	7.97851941	8.325727109	7.972231739	0.062592625	4.166104549	-0.936284603	0.998877228
MvSl-1064-A1-R4_A1g01116	MvSl-1064-A1-R4_A1	MAT	2488287	2489096	6.153437718	1.429359106	-3.811329638	-5.240688744	0.290758031	7.65E-08	7.17E-09	0.416634983	1.03E-06	5.35E-08	4.523293559	4.593287381	4.352605324	3.654595526	7.533507927	7.395306863	4.55829047	7.464407395	-0.711534867	4.003600425	-0.898729734	0.187194866
MvSl-1064-A1-R4_A1g00813	MvSl-1064-A1-R4_A1	MAT	1734470	1735304	7.747941483	0.015738974	-4.65808164	-4.673820614	0.984117969	2.34E-18	9.05E-17	1	1.00E-16	2.02E-15	5.452871206	4.593287381	5.694199524	4.254944124	9.200142576	9.169193249	5.023079294	9.184667913	-0.87065551	4.974571824	-0.884655205	0.013999695
MvSl-1064-A1-R4_A1g01114	MvSl-1064-A1-R4_A1	MAT	2486044	2486963	8.297505874	-1.317808829	-6.217328441	-4.899519613	0.131708149	2.05E-28	7.73E-22	0.22347592	1.38E-26	3.30E-20	4.523293559	4.593287381	5.457434477	5.270167862	9.557801008	9.984447316	4.55829047	9.771124162	-1.100031692	5.363801169	-0.865268794	-0.234762898
MvSl-1064-A1-R4_A1g01306	MvSl-1064-A1-R4_A1	MAT	2894931	2896335	12.72061646	0.743828936	-5.654456642	-6.398285578	0.060229952	3.36E-42	2.24E-48	0.12525698	7.90E-40	5.26E-46	8.877424329	8.366735055	8.313854958	7.451823473	14.40815913	14.0940047	8.622079692	14.25108192	-0.724963648	7.882839215	-0.854284197	0.129320549
MvSl-1064-A1-R4_A1g00815	MvSl-1064-A1-R4_A1	MAT	1735751	1736615	10.00248185	2.325494725	-2.834213301	-5.159708026	7.17E-07	1.87E-13	1.68E-28	5.45E-06	4.63E-12	1.58E-26	8.537115918	8.577614491	6.838788411	5.860169451	10.94370715	11.6677756	8.557365204	11.30574137	-0.401817032	6.349478931	-0.832345492	0.43052846
MvSl-1064-A1-R4_A1g01401	MvSl-1064-A1-R4_A1	MAT	3132127	3133455	8.509302289	10.22903791	3.639175781	-6.589862127	3.23E-20	1.01E-09	3.95E-06	3.03E-18	1.44E-08	2.06E-05	10.50513213	8.836349805	3.654595526	3.654595526	6.401616514	6.499382507	9.67074097	6.45049951	0.584215549	3.654595526	-0.81969914	1.403914689
MvSl-1064-A1-R4_A1g00135	MvSl-1064-A1-R4_A1	MAT	302447	302932	6.622654794	1.156990767	-3.148171521	-4.305162287	0.222224801	9.85E-08	1.91E-09	0.339109274	1.29E-06	1.52E-08	5.061691818	5.373548278	4.352605324	4.677613573	7.835688873	7.943839405	5.217620048	7.889764139	-0.596590283	4.515109448	-0.805221212	0.20863093
MvSl-1064-A1-R4_A1g01301	MvSl-1064-A1-R4_A1	MAT	2882708	2882899	5.797788416	2.386300138	-2.213081393	-4.599381531	0.045480263	0.000531292	8.95E-07	0.097707437	0.003285619	5.26E-06	5.270499382	4.902634891	3.654595526	4.254944124	6.729663132	6.982017197	5.086567137	6.855840164	-0.430641148	3.954769825	-0.793739746	0.363098598
MvSl-1064-A1-R4_A1g00223	MvSl-1064-A1-R4_A1	MAT	512213	513436	8.298272061	2.694190173	-1.397705005	-4.091895179	1.01E-06	0.000578912	9.93E-15	7.07E-06	0.003488319	1.37E-13	7.525377981	8.315371287	6.234288018	4.677613573	9.235012908	9.404178879	7.920374634	9.319595893	-0.234698728	5.455950795	-0.772436766	0.537738038
MvSl-1064-A1-R4_A1g01117	MvSl-1064-A1-R4_A1	MAT	2489884	2490261	6.275111289	-4.229924552	-7.879351171	-3.649426619	0.013722546	2.02E-11	1.89E-06	0.037280906	3.62E-10	1.07E-05	3.654595526	3.654595526	3.654595526	5.270167862	7.41686444	7.796128523	3.654595526	7.606496481	-1.057520364	4.462381694	-0.769418187	-0.288102177
MvSl-1064-A1-R4_A1g00901	MvSl-1064-A1-R4_A1	MAT	1943418	1943662	6.964755597	-0.909460081	-4.733886959	-3.824426878	0.358495515	2.23E-10	6.31E-08	0.490661956	3.49E-09	4.36E-07	4.153364272	4.902634891	5.174034766	5.004101533	8.795364717	7.71618524	4.527999582	8.255774979	-0.866529824	5.089068149	-0.698002138	-0.168527686
MvSl-1064-A1-R4_A1g01423	MvSl-1064-A1-R4_A1	MAT	3178351	3179220	5.526053778	2.186913275	-1.980779184	-4.167692459	0.077393209	0.005149888	3.65E-05	0.151608992	0.021826795	0.000164936	5.270499382	4.593287381	4.352605324	3.654595526	6.132437525	6.760788823	4.931893382	6.446613174	-0.386399806	4.003600425	-0.687243423	0.300843617
MvSl-1064-A1-R4_A1g01141	MvSl-1064-A1-R4_A1	MAT	2522143	2522310	9.583259009	2.352253457	-1.557022038	-3.909275494	9.68E-07	0.000169986	9.63E-16	6.89E-06	0.001268151	1.62E-14	8.924513208	9.299842794	7.531342032	5.860169451	10.32069861	10.93187606	9.112178001	10.62628733	-0.221769794	6.695755741	-0.666318824	0.44454903
MvSl-1064-A1-R4_A1g00673	MvSl-1064-A1-R4_A1	MAT	1453621	1453990	8.332576293	3.988277057	0.512621018	-3.475656039	9.68E-13	0.220532701	1.03E-09	1.75E-11	0.408072321	8.83E-09	8.939874039	9.161257356	5.457434477	5.494722048	9.031871756	7.871873568	9.050565697	8.451872662	0.098736938	5.476078262	-0.626127966	0.724864904
MvSl-1064-A1-R4_A1g00195	MvSl-1064-A1-R4_A1	MAT	433303	434055	10.79949783	0.830017582	-3.488847357	-4.318864939	0.023963321	8.68E-24	3.90E-31	0.058356275	5.10E-22	6.11E-29	9.014316687	8.39174707	8.164246181	7.697457441	12.25585147	12.12592515	8.703031878	12.19088831	-0.486213269	7.930851811	-0.620255523	0.134042254
MvSl-1064-A1-R4_A1g01414	MvSl-1064-A1-R4_A1	MAT	3163920	3164102	6.87342932	2.847695253	-0.265340566	-3.113035819	3.33E-05	0.590468577	4.88E-06	0.000172034	0.783955455	2.49E-05	7.046798079	7.293812387	4.352605324	5.270167862	7.150793314	7.63155089	7.170305233	7.391172102	-0.043768633	4.811386593	-0.619350443	0.57558181
MvSl-1064-A1-R4_A1g00301	MvSl-1064-A1-R4_A1	MAT	696126	696729	6.929474136	2.271476869	-0.20615901	-2.477635879	0.000569279	0.69528281	0.000171701	0.002175294	0.880816498	0.000672497	7.156057381	7.293812387	3.654595526	6.013178253	7.588473751	7.232437595	7.224934884	7.410455673	-0.036577672	4.833886889	-0.616378542	0.57980087
MvSl-1064-A1-R4_A1g00659	MvSl-1064-A1-R4_A1	MAT	1419367	1421348	9.693711997	1.66477566	-2.197863995	-3.862639656	4.32E-05	4.20E-10	9.56E-22	0.000216041	6.17E-09	3.46E-20	8.828746483	8.64157277	6.838788411	7.397247298	11.14505435	10.6221752	8.735159626	10.88361478	-0.317251826	7.118017855	-0.612610342	0.295358516
MvSl-1064-A1-R4_A1g01308	MvSl-1064-A1-R4_A1	MAT	2898422	2899008	7.774315961	-0.112322879	-3.48597237	-3.373649491	0.85457385	1.57E-13	4.56E-12	0.965504109	4.11E-12	4.87E-11	6.013574405	5.727991797	6.377146352	5.494722048	9.252137024	8.88834161	5.870783101	9.070239317	-0.62758766	5.9359342	-0.611665517	-0.015922143
MvSl-1064-A1-R4_A1g01249	MvSl-1064-A1-R4_A1	MAT	2769725	2770523	13.91839367	3.505741267	-1.457959844	-4.963701111	1.75E-13	0.00081809	1.51E-22	3.43E-12	0.004689055	7.08E-21	13.60127964	13.52585951	10.60397019	9.238461752	14.93834323	15.09940581	13.56356957	15.01887452	-0.147039797	9.92121597	-0.598187848	0.451148051
MvSl-1064-A1-R4_A1g00619	MvSl-1064-A1-R4_A1	MAT	1351565	1352868	6.577796752	0.722392698	-2.413178846	-3.135571543	0.35094469	1.53E-05	9.07E-07	0.485129425	0.000149603	5.26E-06	5.270499382	5.877139744	5.174034766	5.004101533	7.78951914	7.587295957	5.573819563	7.688407549	-0.464018513	5.089068149	-0.595283302	0.131264789
MvSl-1064-A1-R4_A1g00874	MvSl-1064-A1-R4_A1	MAT	1880645	1880865	4.925820457	4.681075099	-0.725113246	-5.406188345	0.006651753	0.362575258	0.000740176	0.019298297	0.568543805	0.002520888	3.654595526	5.727991797	3.654595526	3.654595526	5.370628505	5.601009369	4.691293661	5.485818937	-0.225721194	3.654595526	-0.585995262	0.360274068
MvSl-1064-A1-R4_A1g00345	MvSl-1064-A1-R4_A1	MAT	771175	771479	7.219869706	1.677868295	-1.051462506	-2.7293308	0.017956329	0.077034931	8.44E-05	0.04637074	0.206893815	0.000356674	7.305842396	6.713659227	6.377146352	4.254944124	7.41686444	8.443216581	7.009750811	7.930040511	-0.177965077	5.316045238	-0.576974854	0.399009777
MvSl-1064-A1-R4_A1g01371	MvSl-1064-A1-R4_A1	MAT	3050902	3054160	9.776661296	1.158900207	-2.492166479	-3.651066686	0.00333235	1.44E-12	6.50E-21	0.010303978	3.22E-11	1.98E-19	8.795357492	8.28898696	7.531342032	7.397247298	11.15874009	10.87318553	8.542172226	11.01596281	-0.366920703	7.464294665	-0.561517749	0.194597046
MvSl-1064-A1-R4_A1g00224	MvSl-1064-A1-R4_A1	MAT	513881	514167	7.673316153	0.682551478	-2.470422936	-3.152974414	0.301132388	1.47E-05	3.61E-07	0.428885522	0.000149603	2.23E-06	7.102461797	5.561627799	6.075713049	5.860169451	9.269060267	8.28596808	6.332044798	8.777514174	-0.471140958	5.96794125	-0.556579087	0.085438129
MvSl-1064-A1-R4_A1g00124	MvSl-1064-A1-R4_A1	MAT	282374	283117	10.31463647	2.918089781	-0.5349122	-3.453001981	1.45E-13	0.115474966	4.69E-18	2.96E-12	0.279622749	1.10E-16	10.29424307	10.72490823	8.164246181	7.017695288	11.06978676	11.04254613	10.50957565	11.05616645	-0.073146822	7.590970734	-0.542494946	0.469348124
MvSl-1064-A1-R4_A1g00454	MvSl-1064-A1-R4_A1	MAT	1018305	1020228	8.99877157	2.689309399	-0.489837106	-3.179146505	3.96E-11	0.131983249	4.19E-15	5.64E-10	0.302595741	6.16E-14	9.302711429	9.116945749	6.934321552	6.393776419	9.676716979	9.713031497	9.209828589	9.694874238	-0.074047878	6.664048986	-0.540823178	0.4667753
MvSl-1064-A1-R4_A1g00686	MvSl-1064-A1-R4_A1	MAT	1472457	1472968	8.113339065	1.873389103	-1.167724385	-3.041113488	4.14E-05	0.0008638	2.35E-12	0.000209378	0.004776308	2.57E-11	7.915548076	7.857718289	6.377146352	6.013178253	8.929145899	9.092109685	7.886633182	9.010627792	-0.192218083	6.195162303	-0.540485547	0.348267464
MvSl-1064-A1-R4_A1g00762	MvSl-1064-A1-R4_A1	MAT	1613927	1614079	8.070513331	1.727918419	-1.317975671	-3.04589409	0.000379623	0.000611566	4.83E-11	0.001573387	0.003592951	4.73E-10	7.819163997	7.666003995	6.234288018	6.151504108	9.302322605	8.672325195	7.742583996	8.9873239	-0.215076468	6.192896063	-0.537277364	0.322200896
MvSl-1064-A1-R4_A1g01248	MvSl-1064-A1-R4_A1	MAT	2768811	2769341	6.295454017	-1.123681987	-3.836304637	-2.71262265	0.227266531	5.13E-08	2.92E-05	0.345680484	7.08E-07	0.00013592	4.817463838	4.198976763	4.821009328	5.494722048	7.41686444	7.541640419	4.5082203	7.47925243	-0.73033606	5.157865688	-0.536119871	-0.194216189
MvSl-1064-A1-R4_A1g01207	MvSl-1064-A1-R4_A1	MAT	2679047	2679570	7.18528271	-0.903655511	-3.712590815	-2.808935303	0.204783688	7.60E-11	2.17E-07	0.317651266	1.23E-09	1.40E-06	5.061691818	5.373548278	6.377146352	5.270167862	8.595191391	8.258009191	5.217620048	8.426600291	-0.691558804	5.823657107	-0.533025281	-0.158533524
MvSl-1064-A1-R4_A1g00776	MvSl-1064-A1-R4_A1	MAT	1644054	1644584	7.657500241	-1.258437081	-4.13054609	-2.872109009	0.084414109	2.67E-10	2.07E-06	0.162600947	4.05E-09	1.16E-05	5.892484755	4.198976763	6.838788411	5.494722048	9.318670543	8.492041591	5.045730759	8.905356067	-0.81961007	6.166755229	-0.530161712	-0.289448358
MvSl-1064-A1-R4_A1g00990	MvSl-1064-A1-R4_A1	MAT	2123993	2125289	5.395155925	1.348185154	-1.641672578	-2.989857733	0.209490893	0.020446897	0.000957421	0.323883946	0.074496447	0.00314806	4.153364272	5.561627799	4.352605324	4.254944124	6.132437525	6.294432853	4.857496036	6.213435189	-0.355178286	4.303774724	-0.529788541	0.174610255
MvSl-1064-A1-R4_A1g00424	MvSl-1064-A1-R4_A1	MAT	962847	963114	4.52736908	2.16136194	-3.09455955	-5.25592149	0.286348131	0.003846737	0.00079486	0.412833194	0.017553074	0.002649532	4.153364272	3.654595526	3.654595526	3.654595526	4.753997759	5.768910961	3.903979899	5.26145436	-0.430516017	3.654595526	-0.525749897	0.095233881
MvSl-1064-A1-R4_A1g00244	MvSl-1064-A1-R4_A1	MAT	549134	550850	9.622881954	3.067807491	-0.09096755	-3.158775041	1.97E-14	0.784307416	3.96E-15	4.88E-13	0.948332575	6.00E-14	10.13653258	9.990176682	7.403626273	6.782433937	9.877660879	10.38425663	10.06335463	10.13095875	-0.009659402	7.093030105	-0.514296736	0.504637333
MvSl-1064-A1-R4_A1g01128	MvSl-1064-A1-R4_A1	MAT	2503139	2503641	6.061518248	3.526083709	0.6163154	-2.909768308	2.69E-05	0.275650041	0.001356122	0.000148592	0.466856446	0.0043359	6.730834503	6.632044112	4.352605324	4.254944124	5.976323456	6.294432853	6.681439308	6.135378155	0.123006653	4.303774724	-0.511549704	0.634556356
MvSl-1064-A1-R4_A1g00665	MvSl-1064-A1-R4_A1	MAT	1432577	1432777	5.317778892	1.508207947	-1.237407386	-2.745615333	0.14404691	0.070397341	0.002438524	0.240078183	0.198124253	0.007490891	5.452871206	4.593287381	4.821009328	3.654595526	6.132437525	5.919293281	5.023079294	6.025865403	-0.262596399	4.237802427	-0.50785212	0.245255721
MvSl-1064-A1-R4_A1g01334	MvSl-1064-A1-R4_A1	MAT	2955573	2956394	4.588972004	3.513717461	-1.577908712	-5.091626172	0.066063215	0.078958911	0.001547109	0.133834961	0.209664904	0.004880143	4.523293559	4.198976763	3.654595526	3.654595526	4.753997759	5.601009369	4.361135161	5.177503564	-0.247552938	3.654595526	-0.502544898	0.254991959
MvSl-1064-A1-R4_A1g00655	MvSl-1064-A1-R4_A1	MAT	1411041	1411256	4.818677321	0	-5.902813479	-5.902813479	1	0.000217818	0.00060855	1	0.001551128	0.002118657	3.654595526	3.654595526	3.654595526	3.654595526	3.654595526	6.678805704	3.654595526	5.166700615	-0.499531545	3.654595526	-0.499531545	0
MvSl-1064-A1-R4_A1g00485	MvSl-1064-A1-R4_A1	MAT	1069705	1070074	4.838112199	0.528513814	-2.692860593	-3.221374407	0.724511879	0.003926932	0.003064657	0.872953649	0.017746714	0.009059049	3.654595526	4.593287381	4.352605324	3.654595526	6.273295883	4.933815107	4.123941453	5.603555495	-0.442318667	4.003600425	-0.485044523	0.042725857
MvSl-1064-A1-R4_A1g01094	MvSl-1064-A1-R4_A1	MAT	2409081	2410475	4.775072453	0.526829516	-2.553424314	-3.08025383	0.72158586	0.004588752	0.003623226	0.871838956	0.020346354	0.010511828	4.153364272	4.198976763	4.352605324	3.654595526	5.601942769	5.601009369	4.176170517	5.601476069	-0.423626428	4.003600425	-0.484509053	0.060882625
MvSl-1064-A1-R4_A1g00787	MvSl-1064-A1-R4_A1	MAT	1675443	1676404	10.71386152	-1.158101036	-4.454915573	-3.296814537	0.002986201	5.45E-29	1.25E-18	0.009419559	4.27E-27	3.25E-17	7.441528588	7.961600161	9.22960221	8.313143737	12.0112696	12.17534371	7.701564375	12.09330665	-0.650985345	8.771372974	-0.463334183	-0.187651162
MvSl-1064-A1-R4_A1g01001	MvSl-1064-A1-R4_A1	MAT	2147585	2149416	9.63014497	0.109698025	-2.935843812	-3.045541837	0.783719213	5.35E-15	2.54E-15	0.911113557	1.67E-13	4.11E-14	7.915548076	8.089408014	7.75716116	8.019948513	10.51055066	11.17179325	8.002478045	10.84117196	-0.438002005	7.888554836	-0.458687792	0.020685787
MvSl-1064-A1-R4_A1g00431	MvSl-1064-A1-R4_A1	MAT	981578	982760	12.53004005	-1.183745866	-4.947924586	-3.764178719	0.000492982	1.28E-39	1.65E-26	0.001980354	2.00E-37	1.29E-24	8.778368676	9.286568181	10.03204942	10.37931154	14.17215545	13.73250771	9.032468429	13.95233158	-0.62731402	10.20568048	-0.451133852	-0.176180167
MvSl-1064-A1-R4_A1g00932	MvSl-1064-A1-R4_A1	MAT	2010788	2011245	5.064248748	2.700506362	-0.11018225	-2.810688611	0.015590107	0.876476297	0.01270181	0.041632672	0.996643377	0.031255763	5.270499382	5.373548278	3.654595526	4.254944124	5.801243207	4.933815107	5.32202383	5.367529157	-0.012283153	3.954769825	-0.440664394	0.428381241
MvSl-1064-A1-R4_A1g01233	MvSl-1064-A1-R4_A1	MAT	2736134	2736497	7.714614929	0.479017736	-1.963492363	-2.442510099	0.373820048	2.12E-05	8.76E-07	0.506326866	0.000195566	5.26E-06	6.228960007	7.345935668	6.736477757	6.151504108	8.621785452	8.832561951	6.787447838	8.727173701	-0.362645306	6.443990933	-0.437560048	0.074914742
MvSl-1064-A1-R4_A1g01122	MvSl-1064-A1-R4_A1	MAT	2492581	2493816	4.835946062	-3.326234121	-5.784496086	-2.458261965	0.069511269	1.18E-05	0.006293464	0.138433459	0.000123597	0.01709785	3.654595526	3.654595526	4.352605324	4.254944124	5.976323456	5.601009369	3.654595526	5.788666413	-0.663519276	4.303774724	-0.427628456	-0.23589082
MvSl-1064-A1-R4_A1g00945	MvSl-1064-A1-R4_A1	MAT	2034877	2035970	7.599424459	0.924639364	-1.371187765	-2.295827129	0.103484378	0.005387733	2.54E-05	0.189251587	0.022296724	0.000119517	7.156057381	7.183551647	6.838788411	5.688986326	7.880426767	8.869986978	7.169804514	8.375206872	-0.224191042	6.263887369	-0.419066555	0.194875512
MvSl-1064-A1-R4_A1g00419	MvSl-1064-A1-R4_A1	MAT	947329	947573	4.769430896	1.737919411	-0.901525624	-2.639445035	0.167162847	0.263746238	0.020174442	0.273181465	0.463945933	0.0467093	4.817463838	4.593287381	3.654595526	4.254944124	5.601942769	4.933815107	4.70537561	5.267878938	-0.1629123	3.954769825	-0.413628462	0.250716162
MvSl-1064-A1-R4_A1g01323	MvSl-1064-A1-R4_A1	MAT	2936331	2936675	4.161312996	0	-4.444620054	-4.444620054	1	0.005185994	0.01086484	1	0.021826795	0.0278225	3.654595526	3.654595526	3.654595526	3.654595526	5.095010095	4.619093476	3.654595526	4.857051786	-0.410369124	3.654595526	-0.410369124	0
MvSl-1064-A1-R4_A1g00499	MvSl-1064-A1-R4_A1	MAT	1103738	1104479	4.526348311	4.201051272	-0.244815395	-4.445866667	0.017782597	0.783171496	0.011325844	0.046175803	0.948332575	0.028466024	4.523293559	4.902634891	3.654595526	3.654595526	5.095010095	4.619093476	4.712964225	4.857051786	-0.043446138	3.654595526	-0.410369124	0.366922986
MvSl-1064-A1-R4_A1g00449	MvSl-1064-A1-R4_A1	MAT	1012588	1012846	4.159222922	0	-4.443739683	-4.443739683	1	0.005201279	0.010892213	1	0.021826795	0.0278225	3.654595526	3.654595526	3.654595526	3.654595526	4.753997759	4.933815107	3.654595526	4.843906433	-0.406459254	3.654595526	-0.406459254	0
MvSl-1064-A1-R4_A1g00012	MvSl-1064-A1-R4_A1	MAT	26008	26178	4.456737461	3.896494625	-0.546862452	-4.443357077	0.033687521	0.555967963	0.011299397	0.07612084	0.75304018	0.028466024	4.817463838	4.198976763	3.654595526	3.654595526	4.753997759	4.933815107	4.5082203	4.843906433	-0.103612981	3.654595526	-0.406459254	0.302846273
MvSl-1064-A1-R4_A1g00623	MvSl-1064-A1-R4_A1	MAT	1356413	1356598	9.839201357	2.928094511	0.466216372	-2.461878139	2.35E-14	0.162540536	1.42E-10	5.52E-13	0.354897228	1.31E-09	10.34704739	10.66973757	7.403626273	7.867695235	9.786573176	10.27689477	10.50839248	10.03173397	0.066970995	7.635660754	-0.393746084	0.460717079
MvSl-1064-A1-R4_A1g00904	MvSl-1064-A1-R4_A1	MAT	1950368	1950922	5.140378342	3.051520431	0.42618959	-2.625330841	0.005021501	0.553378993	0.025525265	0.015032519	0.751699788	0.056323354	6.013574405	4.902634891	4.352605324	3.654595526	5.095010095	5.410961655	5.458104648	5.252985875	0.055262351	4.003600425	-0.391839711	0.447102061
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A1-R4_A1	MAT	2519820	2520678	7.703295253	-1.602872216	-3.779067757	-2.17619554	0.007434398	1.32E-12	4.09E-06	0.021305896	3.11E-11	2.11E-05	5.270499382	5.727991797	6.377146352	7.155608751	9.182386172	8.539268168	5.499245589	8.86082717	-0.688207666	6.766377551	-0.389057703	-0.299149962
MvSl-1064-A1-R4_A1g01008	MvSl-1064-A1-R4_A1	MAT	2171912	2173912	4.314559348	2.991416727	-1.450712189	-4.442128916	0.131424325	0.170804218	0.011079287	0.22347592	0.366566129	0.028147378	4.153364272	4.198976763	3.654595526	3.654595526	4.306581242	5.192025128	4.176170517	4.749303185	-0.185535238	3.654595526	-0.378004114	0.192468876
MvSl-1064-A1-R4_A1g01370	MvSl-1064-A1-R4_A1	MAT	3048163	3050355	12.70144867	1.896663033	-1.220291455	-3.116954487	8.29E-07	0.001070276	8.36E-15	6.09E-06	0.005716244	1.19E-13	12.51123265	12.3640157	10.02121076	10.93359104	13.98702148	13.23204368	12.43762418	13.60953258	-0.129906589	10.4774009	-0.377336642	0.247430053
