gid	gname	chr	start	end	logCPM	logFC.water.diploid	FDR.water.diploid
MvSl-1064-A2-R4_A2g00805	MvSl-1064-A2-R4_A2g00805	aMAT	1694615	1696195	6.114802107	1.069876917	1.22E-05
MvSl-1064-A2-R4_A2g01668	MvSl-1064-A2-R4_A2g01668	aMAT	3681458	3682428	1.399180776	1.070644311	0.020427503
MvSl-1064-A2-R4_A2g00595	MvSl-1064-A2-R4_A2g00595	aMAT	1261314	1261646	1.796934862	1.07321228	0.022869655
MvSl-1064-A2-R4_A2g01104	MvSl-1064-A2-R4_A2g01104	aMAT	2397408	2401324	5.453688109	1.075143884	3.13E-05
MvSl-1064-A2-R4_A2g00316	MvSl-1064-A2-R4_A2g00316	aMAT	687938	689220	5.537052377	1.076668139	6.70E-06
MvSl-1064-A2-R4_A2g00986	MvSl-1064-A2-R4_A2g00986	aMAT	2128636	2129629	4.302964506	1.07745642	0.00010222
MvSl-1064-A2-R4_A2g01271	MvSl-1064-A2-R4_A2g01271	aMAT	2751881	2754351	8.510912438	1.078714854	0.00477418
MvSl-1064-A2-R4_A2g00534	MvSl-1064-A2-R4_A2g00534	aMAT	1126191	1129363	2.612309833	1.079406114	0.025857487
MvSl-1064-A2-R4_A2g01655	MvSl-1064-A2-R4_A2g01655	aMAT	3651159	3652583	3.377998724	1.080591934	0.001082429
MvSl-1064-A2-R4_A2g00133	MvSl-1064-A2-R4_A2g00133	aMAT	303263	306428	4.270864918	1.080815652	0.001836596
MvSl-1064-A2-R4_A2g01515	MvSl-1064-A2-R4_A2g01515	aMAT	3328229	3331690	2.884733816	1.081034232	0.008064639
MvSl-1064-A2-R4_A2g01402	MvSl-1064-A2-R4_A2g01402	aMAT	3100068	3106998	3.355999942	1.081441322	0.041531606
MvSl-1064-A2-R4_A2g00816	MvSl-1064-A2-R4_A2g00816	aMAT	1727524	1728459	6.819806563	1.082941051	1.06E-05
MvSl-1064-A2-R4_A2g00746	MvSl-1064-A2-R4_A2g00746	aMAT	1580285	1581323	5.035071353	1.085885659	2.13E-05
MvSl-1064-A2-R4_A2g00168	MvSl-1064-A2-R4_A2g00168	aMAT	386178	387018	3.211233474	1.087603632	0.011561851
MvSl-1064-A2-R4_A2g00987	MvSl-1064-A2-R4_A2g00987	aMAT	2130410	2131267	4.429348122	1.087959244	5.32E-05
MvSl-1064-A2-R4_A2g00956	MvSl-1064-A2-R4_A2g00956	aMAT	2054263	2059839	5.686639553	1.088421155	3.29E-05
MvSl-1064-A2-R4_A2g01182	MvSl-1064-A2-R4_A2g01182	aMAT	2546533	2548964	6.299823606	1.089533664	3.20E-06
MvSl-1064-A2-R4_A2g00609	MvSl-1064-A2-R4_A2g00609	aMAT	1287568	1288942	5.18365123	1.092739741	2.75E-06
MvSl-1064-A2-R4_A2g01441	MvSl-1064-A2-R4_A2g01441	aMAT	3192619	3196452	6.450768602	1.092897941	5.61E-07
MvSl-1064-A2-R4_A2g00977	MvSl-1064-A2-R4_A2g00977	aMAT	2106242	2106502	6.207235821	1.09621693	0.000214893
MvSl-1064-A2-R4_A2g00416	MvSl-1064-A2-R4_A2g00416	aMAT	918271	926418	7.0231119	1.096373292	5.56E-07
MvSl-1064-A2-R4_A2g01199	MvSl-1064-A2-R4_A2g01199	aMAT	2590122	2591006	4.778273801	1.099955974	1.75E-05
MvSl-1064-A2-R4_A2g01156	MvSl-1064-A2-R4_A2g01156	aMAT	2499437	2501054	2.824250299	1.100163633	0.012820554
MvSl-1064-A2-R4_A2g01278	MvSl-1064-A2-R4_A2g01278	aMAT	2765169	2771173	5.957789587	1.102526206	6.84E-06
MvSl-1064-A2-R4_A2g00171	MvSl-1064-A2-R4_A2g00171	aMAT	393547	397249	8.659457331	1.1086259	6.80E-05
MvSl-1064-A2-R4_A2g01537	MvSl-1064-A2-R4_A2g01537	aMAT	3383471	3384332	5.686011798	1.111068769	9.57E-06
MvSl-1064-A2-R4_A2g01613	MvSl-1064-A2-R4_A2g01613	aMAT	3540608	3543078	5.913367415	1.111638465	1.34E-05
MvSl-1064-A2-R4_A2g01481	MvSl-1064-A2-R4_A2g01481	aMAT	3281806	3282401	1.109248885	1.115357471	0.027083756
MvSl-1064-A2-R4_A2g01376	MvSl-1064-A2-R4_A2g01376	aMAT	3041568	3046125	2.863922611	1.11556776	0.009939031
MvSl-1064-A2-R4_A2g00226	MvSl-1064-A2-R4_A2g00226	aMAT	499921	500985	5.591481523	1.115940096	3.01E-05
MvSl-1064-A2-R4_A2g01688	MvSl-1064-A2-R4_A2g01688	aMAT	3726121	3727272	2.894017227	1.121953522	0.047597924
MvSl-1064-A2-R4_A2g01585	MvSl-1064-A2-R4_A2g01585	aMAT	3481456	3484641	5.38469846	1.122028846	2.26E-05
MvSl-1064-A2-R4_A2g00875	MvSl-1064-A2-R4_A2g00875	aMAT	1846746	1847566	2.906432245	1.124237901	0.003798733
MvSl-1064-A2-R4_A2g00967	MvSl-1064-A2-R4_A2g00967	aMAT	2081802	2083628	5.261715817	1.125093842	8.80E-07
MvSl-1064-A2-R4_A2g00201	MvSl-1064-A2-R4_A2g00201	aMAT	453225	455232	5.619958617	1.126248298	1.46E-07
MvSl-1064-A2-R4_A2g01485	MvSl-1064-A2-R4_A2g01485	aMAT	3286655	3287279	1.123915086	1.12695378	0.027108484
MvSl-1064-A2-R4_A2g01109	MvSl-1064-A2-R4_A2g01109	aMAT	2405493	2406036	2.018961357	1.127033749	0.005900257
MvSl-1064-A2-R4_A2g00802	MvSl-1064-A2-R4_A2g00802	aMAT	1689956	1690300	3.000318854	1.132075312	0.006690006
MvSl-1064-A2-R4_A2g00671	MvSl-1064-A2-R4_A2g00671	aMAT	1428204	1428548	3.000318854	1.132075399	0.006690006
MvSl-1064-A2-R4_A2g00433	MvSl-1064-A2-R4_A2g00433	aMAT	957508	959884	5.331238856	1.132648733	6.43E-07
MvSl-1064-A2-R4_A2g01681	MvSl-1064-A2-R4_A2g01681	aMAT	3715227	3715636	4.106512831	1.138433817	9.48E-05
MvSl-1064-A2-R4_A2g01628	MvSl-1064-A2-R4_A2g01628	aMAT	3581633	3582042	4.106512831	1.138433825	9.48E-05
MvSl-1064-A2-R4_A2g01406	MvSl-1064-A2-R4_A2g01406	aMAT	3112335	3113282	2.987506245	1.138783927	0.005369986
MvSl-1064-A2-R4_A2g00819	MvSl-1064-A2-R4_A2g00819	aMAT	1732370	1732948	4.22853035	1.1424463	8.26E-05
MvSl-1064-A2-R4_A2g00851	MvSl-1064-A2-R4_A2g00851	aMAT	1793528	1793970	2.427174441	1.142838491	0.002612665
MvSl-1064-A2-R4_A2g00451	MvSl-1064-A2-R4_A2g00451	aMAT	1003119	1003749	1.738989565	1.143302171	0.00739951
MvSl-1064-A2-R4_A2g00753	MvSl-1064-A2-R4_A2g00753	aMAT	1593477	1596181	3.279560311	1.143884992	0.001306856
MvSl-1064-A2-R4_A2g00246	MvSl-1064-A2-R4_A2g00246	aMAT	531845	533491	6.085168238	1.149071992	4.31E-06
MvSl-1064-A2-R4_A2g00594	MvSl-1064-A2-R4_A2g00594	aMAT	1260063	1261146	2.954223509	1.150600688	0.011201935
MvSl-1064-A2-R4_A2g00665	MvSl-1064-A2-R4_A2g00665	aMAT	1417896	1419666	3.905938742	1.151316956	0.000166354
MvSl-1064-A2-R4_A2g00901	MvSl-1064-A2-R4_A2g00901	aMAT	1914580	1918853	4.686320935	1.152683817	9.59E-06
MvSl-1064-A2-R4_A2g01615	MvSl-1064-A2-R4_A2g01615	aMAT	3548252	3552846	1.447815757	1.156576324	0.022441436
MvSl-1064-A2-R4_A2g00646	MvSl-1064-A2-R4_A2g00646	aMAT	1373881	1377121	5.260629523	1.163794805	2.14E-06
MvSl-1064-A2-R4_A2g00344	MvSl-1064-A2-R4_A2g00344	aMAT	763085	763512	2.594928075	1.16436688	0.005288638
MvSl-1064-A2-R4_A2g01643	MvSl-1064-A2-R4_A2g01643	aMAT	3620864	3624260	7.919918403	1.164880897	5.22E-05
MvSl-1064-A2-R4_A2g01384	MvSl-1064-A2-R4_A2g01384	aMAT	3062745	3064694	3.227243276	1.167519372	0.002333962
MvSl-1064-A2-R4_A2g01409	MvSl-1064-A2-R4_A2g01409	aMAT	3116730	3122101	6.242441617	1.170201161	4.33E-07
MvSl-1064-A2-R4_A2g00729	MvSl-1064-A2-R4_A2g00729	aMAT	1548865	1549318	6.885273272	1.176435493	2.32E-08
MvSl-1064-A2-R4_A2g01024	MvSl-1064-A2-R4_A2g01024	aMAT	2229990	2231675	5.156956997	1.178190117	5.45E-07
MvSl-1064-A2-R4_A2g01292	MvSl-1064-A2-R4_A2g01292	aMAT	2805164	2809382	6.331215697	1.178219204	4.49E-06
MvSl-1064-A2-R4_A2g00910	MvSl-1064-A2-R4_A2g00910	aMAT	1941011	1941747	3.792542602	1.181847151	0.00195968
MvSl-1064-A2-R4_A2g00135	MvSl-1064-A2-R4_A2g00135	aMAT	310261	311931	3.177169036	1.185179428	0.001712395
MvSl-1064-A2-R4_A2g01331	MvSl-1064-A2-R4_A2g01331	aMAT	2898473	2903969	1.062523876	1.18802612	0.026488663
MvSl-1064-A2-R4_A2g00483	MvSl-1064-A2-R4_A2g00483	aMAT	1046736	1047926	5.691395248	1.18873507	0.000578885
MvSl-1064-A2-R4_A2g00240	MvSl-1064-A2-R4_A2g00240	aMAT	525277	527331	4.581473917	1.193134597	2.95E-06
MvSl-1064-A2-R4_A2g01144	MvSl-1064-A2-R4_A2g01144	aMAT	2472735	2475006	3.340879732	1.194060222	0.006549031
MvSl-1064-A2-R4_A2g01448	MvSl-1064-A2-R4_A2g01448	aMAT	3208501	3208976	1.441840918	1.194391968	0.026906858
MvSl-1064-A2-R4_A2g00605	MvSl-1064-A2-R4_A2g00605	aMAT	1283215	1284862	6.211322813	1.195758435	4.77E-06
MvSl-1064-A2-R4_A2g01606	MvSl-1064-A2-R4_A2g01606	aMAT	3528673	3530501	1.987216038	1.196243692	0.022806768
MvSl-1064-A2-R4_A2g00152	MvSl-1064-A2-R4_A2g00152	aMAT	341812	342213	2.201574206	1.196876406	0.008732587
MvSl-1064-A2-R4_A2g01658	MvSl-1064-A2-R4_A2g01658	aMAT	3656301	3656710	3.994218992	1.198003031	4.01E-05
MvSl-1064-A2-R4_A2g00728	MvSl-1064-A2-R4_A2g00728	aMAT	1548486	1548715	2.966552996	1.205826508	0.001263784
MvSl-1064-A2-R4_A2g00340	MvSl-1064-A2-R4_A2g00340	aMAT	757429	758038	5.982165828	1.205865109	2.09E-07
MvSl-1064-A2-R4_A2g01194	MvSl-1064-A2-R4_A2g01194	aMAT	2574975	2579277	3.20722684	1.209898866	0.000696355
MvSl-1064-A2-R4_A2g00613	MvSl-1064-A2-R4_A2g00613	aMAT	1298515	1299073	2.169212742	1.21216566	0.008674406
MvSl-1064-A2-R4_A2g01017	MvSl-1064-A2-R4_A2g01017	aMAT	2211196	2213374	3.492787011	1.212251581	0.00235548
MvSl-1064-A2-R4_A2g00236	MvSl-1064-A2-R4_A2g00236	aMAT	514910	515908	5.544969391	1.214033641	2.96E-07
MvSl-1064-A2-R4_A2g00771	MvSl-1064-A2-R4_A2g00771	aMAT	1625530	1627850	6.073883398	1.214956055	6.15E-08
MvSl-1064-A2-R4_A2g00423	MvSl-1064-A2-R4_A2g00423	aMAT	937086	939363	2.456610443	1.215108285	0.014165907
MvSl-1064-A2-R4_A2g00959	MvSl-1064-A2-R4_A2g00959	aMAT	2064370	2065980	4.897011652	1.215750264	3.03E-06
MvSl-1064-A2-R4_A2g00432	MvSl-1064-A2-R4_A2g00432	aMAT	950947	956680	5.632385627	1.21621673	5.86E-06
MvSl-1064-A2-R4_A2g00847	MvSl-1064-A2-R4_A2g00847	aMAT	1788593	1788976	2.317627084	1.223070408	0.002308224
MvSl-1064-A2-R4_A2g00844	MvSl-1064-A2-R4_A2g00844	aMAT	1784111	1784371	2.466652105	1.225324923	0.023028849
MvSl-1064-A2-R4_A2g01113	MvSl-1064-A2-R4_A2g01113	aMAT	2416920	2417330	1.646025816	1.225960612	0.022607165
MvSl-1064-A2-R4_A2g00242	MvSl-1064-A2-R4_A2g00242	aMAT	529310	529850	2.764221903	1.232520501	0.001296776
MvSl-1064-A2-R4_A2g00845	MvSl-1064-A2-R4_A2g00845	aMAT	1785540	1787608	3.948578239	1.234872443	0.000371005
MvSl-1064-A2-R4_A2g01291	MvSl-1064-A2-R4_A2g01291	aMAT	2798882	2804543	6.666532333	1.237674259	2.68E-08
MvSl-1064-A2-R4_A2g00587	MvSl-1064-A2-R4_A2g00587	aMAT	1240356	1252177	2.455761932	1.238278492	0.006989173
MvSl-1064-A2-R4_A2g01237	MvSl-1064-A2-R4_A2g01237	aMAT	2660940	2663666	3.852514429	1.238656383	6.58E-05
MvSl-1064-A2-R4_A2g00184	MvSl-1064-A2-R4_A2g00184	aMAT	414787	415177	3.915778387	1.239596341	2.52E-05
MvSl-1064-A2-R4_A2g00679	MvSl-1064-A2-R4_A2g00679	aMAT	1447344	1450690	5.634898279	1.24400361	3.20E-07
MvSl-1064-A2-R4_A2g01473	MvSl-1064-A2-R4_A2g01473	aMAT	3270627	3272937	2.352101328	1.248210005	0.00235548
MvSl-1064-A2-R4_A2g00980	MvSl-1064-A2-R4_A2g00980	aMAT	2112426	2112717	2.017432967	1.24848025	0.007868977
MvSl-1064-A2-R4_A2g00330	MvSl-1064-A2-R4_A2g00330	aMAT	734714	735851	5.228263653	1.248515119	0.000142269
MvSl-1064-A2-R4_A2g00880	MvSl-1064-A2-R4_A2g00880	aMAT	1857913	1859420	3.738733402	1.248984714	8.50E-05
MvSl-1064-A2-R4_A2g00909	MvSl-1064-A2-R4_A2g00909	aMAT	1939366	1940814	2.471089833	1.252816453	0.001361437
MvSl-1064-A2-R4_A2g01612	MvSl-1064-A2-R4_A2g01612	aMAT	3538283	3540499	4.511916303	1.258488784	5.92E-06
MvSl-1064-A2-R4_A2g01122	MvSl-1064-A2-R4_A2g01122	aMAT	2430253	2431454	3.276915738	1.259830147	0.000711369
MvSl-1064-A2-R4_A2g00453	MvSl-1064-A2-R4_A2g00453	aMAT	1005545	1009146	5.306773464	1.260780768	6.74E-07
MvSl-1064-A2-R4_A2g01439	MvSl-1064-A2-R4_A2g01439	aMAT	3185777	3190068	1.089019397	1.262711378	0.034804697
MvSl-1064-A2-R4_A2g01670	MvSl-1064-A2-R4_A2g01670	aMAT	3682936	3684091	4.37281915	1.262724944	1.05E-05
MvSl-1064-A2-R4_A2g00192	MvSl-1064-A2-R4_A2g00192	aMAT	428450	431862	7.412730421	1.263270905	0.031640012
MvSl-1064-A2-R4_A2g00140	MvSl-1064-A2-R4_A2g00140	aMAT	322688	324561	4.008594884	1.280226031	1.29E-05
MvSl-1064-A2-R4_A2g01304	MvSl-1064-A2-R4_A2g01304	aMAT	2838533	2838880	2.486537454	1.281733971	0.005777316
MvSl-1064-A2-R4_A2g00950	MvSl-1064-A2-R4_A2g00950	aMAT	2033586	2040234	1.330382767	1.286557477	0.013472927
MvSl-1064-A2-R4_A2g00202	MvSl-1064-A2-R4_A2g00202	aMAT	455448	456416	1.829274348	1.287721977	0.002444107
MvSl-1064-A2-R4_A2g01233	MvSl-1064-A2-R4_A2g01233	aMAT	2656195	2657118	4.039813596	1.291016515	3.74E-05
MvSl-1064-A2-R4_A2g01455	MvSl-1064-A2-R4_A2g01455	aMAT	3216187	3220734	5.276335396	1.292025357	7.38E-07
MvSl-1064-A2-R4_A2g01383	MvSl-1064-A2-R4_A2g01383	aMAT	3055280	3062358	5.930975496	1.292664532	2.22E-07
MvSl-1064-A2-R4_A2g01531	MvSl-1064-A2-R4_A2g01531	aMAT	3361117	3366737	2.058531528	1.304289193	0.000958808
MvSl-1064-A2-R4_A2g01294	MvSl-1064-A2-R4_A2g01294	aMAT	2813796	2815719	4.006723567	1.304326153	0.000647633
MvSl-1064-A2-R4_A2g01719	MvSl-1064-A2-R4_A2g01719	aMAT	3778188	3781065	5.130097411	1.305437812	1.63E-07
MvSl-1064-A2-R4_A2g00873	MvSl-1064-A2-R4_A2g00873	aMAT	1839057	1840504	4.501367245	1.306038643	1.24E-05
MvSl-1064-A2-R4_A2g01581	MvSl-1064-A2-R4_A2g01581	aMAT	3473396	3474561	1.036302731	1.311016714	0.011433456
MvSl-1064-A2-R4_A2g01648	MvSl-1064-A2-R4_A2g01648	aMAT	3632634	3635786	7.858471005	1.313019431	1.48E-09
MvSl-1064-A2-R4_A2g01733	MvSl-1064-A2-R4_A2g01733	aMAT	3820294	3821497	5.318300986	1.316722016	0.000327975
MvSl-1064-A2-R4_A2g00893	MvSl-1064-A2-R4_A2g00893	aMAT	1886323	1889340	2.548498578	1.324827231	0.010757211
MvSl-1064-A2-R4_A2g00219	MvSl-1064-A2-R4_A2g00219	aMAT	492996	494714	1.671752883	1.325997612	0.019334786
MvSl-1064-A2-R4_A2g01489	MvSl-1064-A2-R4_A2g01489	aMAT	3290499	3291386	8.524921683	1.328874294	5.03E-06
MvSl-1064-A2-R4_A2g01212	MvSl-1064-A2-R4_A2g01212	aMAT	2608097	2608867	0.137850304	1.33076484	0.041847232
MvSl-1064-A2-R4_A2g00593	MvSl-1064-A2-R4_A2g00593	aMAT	1256316	1260005	7.752576485	1.334422348	1.35E-07
MvSl-1064-A2-R4_A2g01096	MvSl-1064-A2-R4_A2g01096	aMAT	2382873	2385638	2.395550228	1.335617291	0.005046942
MvSl-1064-A2-R4_A2g01035	MvSl-1064-A2-R4_A2g01035	aMAT	2267519	2268034	2.525941853	1.337500763	0.001058209
MvSl-1064-A2-R4_A2g00353	MvSl-1064-A2-R4_A2g00353	aMAT	771397	776421	5.279585672	1.337801901	5.64E-06
MvSl-1064-A2-R4_A2g00589	MvSl-1064-A2-R4_A2g00589	aMAT	1253507	1254678	1.609904264	1.339488092	0.00142394
MvSl-1064-A2-R4_A2g00468	MvSl-1064-A2-R4_A2g00468	aMAT	1032409	1032991	2.816437828	1.342072118	0.000217054
MvSl-1064-A2-R4_A2g00478	MvSl-1064-A2-R4_A2g00478	aMAT	1042495	1043077	2.816437828	1.342072696	0.000214939
MvSl-1064-A2-R4_A2g00487	MvSl-1064-A2-R4_A2g00487	aMAT	1052580	1053162	2.816437828	1.342072723	0.000214939
MvSl-1064-A2-R4_A2g00906	MvSl-1064-A2-R4_A2g00906	aMAT	1932492	1934423	4.770215347	1.344010658	1.08E-06
MvSl-1064-A2-R4_A2g00896	MvSl-1064-A2-R4_A2g00896	aMAT	1900341	1902794	2.27837562	1.344673906	0.006377515
MvSl-1064-A2-R4_A2g01686	MvSl-1064-A2-R4_A2g01686	aMAT	3722964	3725083	4.255724944	1.346729131	8.17E-06
MvSl-1064-A2-R4_A2g01026	MvSl-1064-A2-R4_A2g01026	aMAT	2240650	2241764	1.464598042	1.360223583	0.010963565
MvSl-1064-A2-R4_A2g01306	MvSl-1064-A2-R4_A2g01306	aMAT	2843142	2844095	3.631215737	1.362068326	1.01E-05
MvSl-1064-A2-R4_A2g01721	MvSl-1064-A2-R4_A2g01721	aMAT	3786052	3792404	3.771313853	1.362307719	0.000177923
MvSl-1064-A2-R4_A2g01150	MvSl-1064-A2-R4_A2g01150	aMAT	2483005	2483970	4.665785292	1.362565128	1.88E-05
MvSl-1064-A2-R4_A2g00106	MvSl-1064-A2-R4_A2g00106	aMAT	232508	239385	2.772551395	1.37188114	0.009173982
MvSl-1064-A2-R4_A2g00087	MvSl-1064-A2-R4_A2g00087	aMAT	195182	202059	2.772551395	1.371881148	0.009173982
MvSl-1064-A2-R4_A2g00597	MvSl-1064-A2-R4_A2g00597	aMAT	1262154	1263319	4.826245163	1.3764779	5.51E-08
MvSl-1064-A2-R4_A2g00326	MvSl-1064-A2-R4_A2g00326	aMAT	719299	723753	3.622511526	1.381468172	6.02E-05
MvSl-1064-A2-R4_A2g01827	MvSl-1064-A2-R4_A2g01827	aMAT	4041523	4046532	3.573507109	1.388893335	0.002343502
MvSl-1064-A2-R4_A2g00526	MvSl-1064-A2-R4_A2g00526	aMAT	1114356	1114555	0.808081522	1.392068154	0.012838259
MvSl-1064-A2-R4_A2g00941	MvSl-1064-A2-R4_A2g00941	aMAT	2014606	2017049	1.265177028	1.39273619	0.004541084
MvSl-1064-A2-R4_A2g00842	MvSl-1064-A2-R4_A2g00842	aMAT	1780996	1781821	8.550475461	1.395164933	0.000149777
MvSl-1064-A2-R4_A2g00614	MvSl-1064-A2-R4_A2g00614	aMAT	1299401	1300748	3.529156251	1.396183871	2.11E-05
MvSl-1064-A2-R4_A2g00440	MvSl-1064-A2-R4_A2g00440	aMAT	976015	977531	0.592566968	1.403211039	0.011292825
MvSl-1064-A2-R4_A2g00804	MvSl-1064-A2-R4_A2g00804	aMAT	1692527	1694528	7.666155314	1.403552111	2.16E-09
MvSl-1064-A2-R4_A2g00954	MvSl-1064-A2-R4_A2g00954	aMAT	2049904	2051490	3.833416921	1.407288925	0.002612356
MvSl-1064-A2-R4_A2g00297	MvSl-1064-A2-R4_A2g00297	aMAT	645413	648926	6.506993881	1.407589622	5.91E-11
MvSl-1064-A2-R4_A2g00565	MvSl-1064-A2-R4_A2g00565	aMAT	1180873	1181776	0.657875373	1.413102634	0.007345245
MvSl-1064-A2-R4_A2g01649	MvSl-1064-A2-R4_A2g01649	aMAT	3635965	3640375	1.477264393	1.427113716	0.013368001
MvSl-1064-A2-R4_A2g01378	MvSl-1064-A2-R4_A2g01378	aMAT	3047116	3048345	0.94974907	1.42781178	0.023352466
MvSl-1064-A2-R4_A2g00357	MvSl-1064-A2-R4_A2g00357	aMAT	784631	786424	3.164185567	1.443055061	0.00080389
MvSl-1064-A2-R4_A2g00781	MvSl-1064-A2-R4_A2g00781	aMAT	1646344	1647279	1.650315086	1.443092633	0.001572578
MvSl-1064-A2-R4_A2g00674	MvSl-1064-A2-R4_A2g00674	aMAT	1437348	1440943	5.675382963	1.44804582	0.000854145
MvSl-1064-A2-R4_A2g01121	MvSl-1064-A2-R4_A2g01121	aMAT	2425218	2429490	1.84409389	1.449277239	0.002473091
MvSl-1064-A2-R4_A2g00187	MvSl-1064-A2-R4_A2g00187	aMAT	419331	421397	4.451844671	1.451444583	1.77E-06
MvSl-1064-A2-R4_A2g00345	MvSl-1064-A2-R4_A2g00345	aMAT	763957	764292	3.156055689	1.460695246	3.06E-05
MvSl-1064-A2-R4_A2g00132	MvSl-1064-A2-R4_A2g00132	aMAT	302096	302587	2.665727055	1.461902537	0.000634246
MvSl-1064-A2-R4_A2g01625	MvSl-1064-A2-R4_A2g01625	aMAT	3572720	3574076	2.098481993	1.465484681	0.001038973
MvSl-1064-A2-R4_A2g00931	MvSl-1064-A2-R4_A2g00931	aMAT	1986707	1991331	7.50652499	1.472821287	2.50E-11
MvSl-1064-A2-R4_A2g01171	MvSl-1064-A2-R4_A2g01171	aMAT	2526936	2527205	0.315169735	1.477518686	0.005695155
MvSl-1064-A2-R4_A2g00406	MvSl-1064-A2-R4_A2g00406	aMAT	892030	896582	3.012389624	1.491139628	0.000148712
MvSl-1064-A2-R4_A2g01296	MvSl-1064-A2-R4_A2g01296	aMAT	2821182	2825521	5.220268349	1.495631108	1.26E-07
MvSl-1064-A2-R4_A2g00449	MvSl-1064-A2-R4_A2g00449	aMAT	1001048	1001233	1.602108286	1.50644969	0.003933059
MvSl-1064-A2-R4_A2g00325	MvSl-1064-A2-R4_A2g00325	aMAT	716468	719233	6.021072163	1.506749055	9.50E-14
MvSl-1064-A2-R4_A2g00850	MvSl-1064-A2-R4_A2g00850	aMAT	1790487	1793467	3.504170947	1.507433458	2.05E-06
MvSl-1064-A2-R4_A2g01034	MvSl-1064-A2-R4_A2g01034	aMAT	2266194	2267443	3.623640689	1.507734027	3.72E-05
MvSl-1064-A2-R4_A2g01189	MvSl-1064-A2-R4_A2g01189	aMAT	2555910	2556863	6.619466124	1.513307298	4.22E-12
