gida1	Up 	up5k	part8	youngold	haploid	DE
MvSl-1064-A1-R4_A1g00516	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC01-1g02603	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02022	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g06896	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06707	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06517	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04642	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00400	k5	0	Red	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06518	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g08057	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05159	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC02g03484	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09850	k5	5	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09620	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06514	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09801	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-2g10098	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10990	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00270	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06515	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10594	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01346	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC11g10198	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-2g03113	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00154	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06513	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09733	k5	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05233	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05154	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10761	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05987	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00644	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06511	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06520	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00080	k5	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC07g08097	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g07136	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04844	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04845	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00646	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00021	k5	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC03g04929	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10688	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC08g08665	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01174	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC12g11286	k5	6	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00853	k5	1	Purple	OldStrata	A1	Up
MvSl-1064-A1-R4_MC01-1g02161	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00079	k5	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC09-2g09232	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02176	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05082	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05235	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC15g12082	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09785	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10849	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10618	k5	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02837	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09814	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC14g11845	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05911	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC14g11898	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00254	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01212	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g06944	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-2g06432	k5	5	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g07412	k5	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02598	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00495	k5	1	Blue	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00448	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01261	k5	2	Orange	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC03g04807	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00641	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00389	k5	0	Red	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC13g11331	k5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00163	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00252	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC02g03498	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC08g08318	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00107	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC08g08647	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g06946	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00081	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07033	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g06945	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00997	k5	0	Blue	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g06947	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10810	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10358	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05502	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-1g06212	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00312	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00635	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC10-2g09885	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-2g09933	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-2g03166	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01136	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07066	k5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00591	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00269	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00522	k5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00752	k5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07137	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00668	k5	1	Orange	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC07g08235	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01404	k5	2	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC13g11429	k5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02299	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC01-1g02509	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC11g10239	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC11g10344	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC07g07960	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_A1g00886	k5	3	Black	OldStrata	A1	NON
MvSl-1064-A1-R4_MC05-2g06317	k5	1	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC01-2g03077	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC02g03664	k5	4	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC10-2g10109	k5	1	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC09-2g09524	k5	0	Auto	Auto	A1	NON
MvSl-1064-A1-R4_MC02g03482	k5	1	Auto	Auto	A1	NON
