gid	Down	downak5	part8	youngold	haploid	DE
MvSl-1064-A1-R4_MC03g04909	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10627	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g08004	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04539	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10630	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06412	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02787	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10628	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00959	ak5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g08249	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08369	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03891	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g09886	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10654	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11804	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09730	ak5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06485	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01515	ak5	0	bPAR	bPAR	A1	Down
MvSl-1064-A1-R4_MC11g10722	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09541	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC12g11112	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03606	ak5	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00956	ak5 	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC02g03274	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08835	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10629	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03373	ak5	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10255	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g07178	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10508	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g06004	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11715	ak5 	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06461	ak5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02725	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC12g10779	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02046	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11418	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01358	ak5 	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02422	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04206	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g07471	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05801	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07851	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10231	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05858	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04109	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09380	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g06041	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11416	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02753	ak5 	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03922	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g07191	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00112	ak5 	0	Green	ColorStrata	A1	Down
MvSl-1064-A1-R4_MC06g07420	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01135	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g07835	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03005	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09507	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04224	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01432	ak5	0	Blue	OldStrata	A1	Down
MvSl-1064-A1-R4_MC05-1g06258	ak5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00923	ak5 	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC10-1g09732	ak5	3	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g10125	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g09980	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g08078	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10248	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01347	ak5 	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC13g11714	ak5	2	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07592	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08447	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11772	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g09962	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09506	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04831	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00718	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC08g08762	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02769	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08498	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03327	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05592	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10369	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05308	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03205	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09727	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05677	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09729	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01383	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC12g10792	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02764	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11916	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11325	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-2g06481	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g01376	ak5	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC10-2g10108	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03070	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11584	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g10116	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04760	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00350	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC06g07527	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC14g11775	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00383	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00246	ak5 	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC10-2g10050	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g03617	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-2g03146	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07613	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02779	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00073	ak5 	0	bPAR	bPAR	A1	Down
MvSl-1064-A1-R4_MC02g03229	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC06g06943	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08472	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC08g08445	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00120	ak5	2	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC01-1g02763	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00854	ak5	1	Purple	OldStrata	A1	Down
MvSl-1064-A1-R4_MC07g07612	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC02g04208	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-2g10037	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05112	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11692	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05942	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC12g11020	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC05-3g06591	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g01957	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g05077	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC03g04423	ak5 	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02545	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC07g07597	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10335	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC11g10517	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11443	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC01-1g02628	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC10-1g09809	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00241	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC09-2g09527	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05493	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC04-1g05323	ak5	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_A1g00648	ak5 	1	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_A1g00242	ak5	0	Black	OldStrata	A1	Down
MvSl-1064-A1-R4_MC14g11805	ak5	1	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC13g11616	ak5 	0	Auto	Auto	A1	Down
MvSl-1064-A1-R4_MC09-2g09201	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-2g10026	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g01952	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05373	ak5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01137	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00165	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC09-2g09142	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05441	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-1g06149	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC09-2g09340	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05310	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC02g04171	ak5 	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06516	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC15g12029	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-2g03112	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01164	ak5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC10-1g09718	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g07298	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05865	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05729	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00624	ak5 	1	Purple	OldStrata	A1	Up
MvSl-1064-A1-R4_MC07g07981	ak5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g08104	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00913	ak5 	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC02g03224	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g08138	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04747	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g07855	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00800	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07419	ak5 	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05945	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01253	ak5	4	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC12g11233	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00292	ak5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01359	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-2g06430	ak5 	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00920	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01384	ak5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC13g11645	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00078	ak5	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC05-3g06519	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00516	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC01-1g02603	ak5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02022	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g06896	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06707	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06517	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04642	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00400	ak5	0	Red	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06518	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC07g08057	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05159	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC02g03484	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09850	ak5 	4	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09620	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06514	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09801	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-2g10098	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10990	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00270	ak5 	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06515	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10594	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01346	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC11g10198	ak5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-2g03113	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00154	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06513	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09733	ak5	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05233	ak5 	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05154	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10761	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05987	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00644	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC05-3g06511	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-3g06520	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00080	ak5	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC07g08097	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g07136	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04844	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g04845	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00646	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00021	ak5	1	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC03g04929	ak5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10688	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC08g08665	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01174	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC12g11286	ak5 	6	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00853	ak5	0	Purple	OldStrata	A1	Up
MvSl-1064-A1-R4_MC01-1g02161	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00079	ak5 	0	bPAR	bPAR	A1	Up
MvSl-1064-A1-R4_MC09-2g09232	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02176	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05082	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC03g05235	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC15g12082	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09785	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10849	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10618	ak5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02837	ak5 	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-1g09814	ak5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC14g11845	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05911	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC14g11898	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00254	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01212	ak5 	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g06944	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-2g06432	ak5	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g07412	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02598	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00495	ak5	1	Blue	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00448	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g01261	ak5	0	Orange	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC03g04807	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00641	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00389	ak5	0	Red	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC13g11331	ak5	1	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00163	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00252	ak5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC02g03498	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC08g08318	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00107	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC08g08647	ak5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g06946	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00081	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07033	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC06g06945	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00997	ak5	0	Blue	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g06947	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC12g10810	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC11g10358	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC04-1g05502	ak5	2	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC05-1g06212	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00312	ak5	1	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00635	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC10-2g09885	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC10-2g09933	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-2g03166	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01136	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07066	ak5	3	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00591	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00269	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00522	ak5	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_A1g00752	ak5	2	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC06g07137	ak5 	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g00668	ak5	0	Orange	ColorStrata	A1	Up
MvSl-1064-A1-R4_MC07g08235	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_A1g01404	ak5 	0	Black	OldStrata	A1	Up
MvSl-1064-A1-R4_MC13g11429	ak5	0	Auto	Auto	A1	Up
MvSl-1064-A1-R4_MC01-1g02299	ak5	0	Auto	Auto	A1	NON
