gida1	a1up5k	a1upto10k	a1upto15k	a1upto20k	a1down5k	a1downto10k	a1downto15k	a1downto20k	gida2	a2up5k	a2upto10k	a2upto15k	a2upto20k	a2down5k	a2downto10k	a2downto15k	a2downto20k	upk5diff	upk10diff	upk15diff	upk20diff	downk5diff	downk10diff	downk15diff	downk20diff	part8	youngold	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_A1g00546	0	0	0	0	1	2	1	2	MvSl-1064-A2-R4_A2g01042	0	0	0	0	4	0	1	2	0	0	0	0	-3	2	0	0	Black	OldStrata	1745782	1746129	2.485640639	-5.178035206	3.20E-27	7.00E-25	-1.469159474	-1.308401875	3.55422887	3.258898	Down
MvSl-1064-A1-R4_MC06g07138	0	0	0	0	0	0	0	1	MvSl-1064-A2-R4_MC06-2g07403	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	-2	Auto	Auto	775632	778789	10.1367686	-4.461926371	3.17E-35	9.79E-33	6.6749344	6.546036304	11.03980458	11.10458723	Down
MvSl-1064-A1-R4_A1g00230	1	0	0	1	1	1	0	2	MvSl-1064-A2-R4_A2g00529	0	1	1	0	2	3	1	0	1	-1	-1	1	-1	-2	-1	2	Purple	OldStrata	919803	924298	7.931159145	-4.377708895	1.08E-61	1.07E-58	4.6857151	4.265040875	8.807265181	8.915719932	Down
MvSl-1064-A1-R4_A1g00835	0	0	0	3	1	0	0	0	MvSl-1064-A2-R4_A2g01032	0	1	1	2	0	0	0	0	0	-1	-1	1	1	0	0	0	Black	OldStrata	1699348	1701504	4.357868312	-4.211410331	2.88E-38	1.07E-35	0.795484859	1.380280122	5.269905346	5.275187817	Down
MvSl-1064-A1-R4_MC07g07961	0	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC07g08226	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1046886	1049447	4.451821038	-4.098807213	4.24E-39	1.65E-36	1.037625052	1.54106134	5.313316174	5.407440054	Down
MvSl-1064-A1-R4_MC05-1g06209	0	0	0	0	2	0	0	0	MvSl-1064-A2-R4_MC05g06481	0	0	0	0	4	0	0	0	0	0	0	0	-2	0	0	0	Auto	Auto	104091	109253	1.452454099	-3.931740917	9.91E-15	1.20E-12	-1.098749702	-1.503819643	2.225075556	2.384068171	Down
MvSl-1064-A1-R4_A1g01049	3	1	1	1	2	1	1	1	MvSl-1064-A2-R4_A2g00858	4	4	0	0	1	0	0	0	-1	-3	1	1	1	1	1	1	Centro	Centro	1294048	1294371	6.513988328	-3.777674322	1.15E-66	1.47E-63	3.774308316	3.498068961	7.37709628	7.442679142	Down
MvSl-1064-A1-R4_MC04-1g05826	0	0	0	0	0	1	0	0	MvSl-1064-A2-R4_MC04-1g06102	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	Auto	Auto	1312033	1316157	1.971927407	-3.740911112	1.35E-14	1.59E-12	-1.469159474	-0.210709988	3.013500968	2.615140007	Down
MvSl-1064-A1-R4_A1g01163	0	0	1	0	0	1	0	0	MvSl-1064-A2-R4_A2g00837	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	-2	Blue	OldStrata	1274366	1278155	3.946239252	-3.618099128	1.08E-28	2.60E-26	1.338351876	1.166807851	4.763399885	4.877018939	Down
MvSl-1064-A1-R4_A1g01220	0	1	0	0	0	2	0	0	MvSl-1064-A2-R4_A2g01388	0	1	0	0	2	0	2	3	0	0	0	0	-2	2	-2	-3	Black	OldStrata	2550475	2550711	7.577636273	-3.433543456	2.13E-53	1.47E-50	4.986849327	5.05047294	8.496865622	8.399334827	Down
MvSl-1064-A1-R4_MC11g10730	2	0	0	0	6	2	2	1	MvSl-1064-A2-R4_MC11g10995	3	0	0	0	5	1	2	2	-1	0	0	0	1	1	0	-1	Auto	Auto	1	1541	3.154365051	-3.427928155	4.14E-20	6.87E-18	0.392589324	0.876526105	3.845620088	4.152077424	Down
MvSl-1064-A1-R4_MC01-1g02827	0	0	0	0	0	0	0	2	MvSl-1064-A2-R4_MC01g03109	0	0	0	0	0	2	0	2	0	0	0	0	0	-2	0	0	Auto	Auto	2237326	2237787	0.079794359	-3.397964571	3.19E-07	1.87E-05	-2.303292362	-1.729917293	0.450120158	1.155592611	Down
MvSl-1064-A1-R4_MC01-1g02912	7	4	0	0	8	0	1	3	MvSl-1064-A2-R4_MC01g03205	10	0	1	3	9	7	0	0	-3	4	-1	-3	-1	-7	1	3	Auto	Auto	2505946	2508327	1.915108382	-3.208886611	1.30E-12	1.30E-10	-0.676887244	-0.049291912	2.504022074	2.921749114	Down
MvSl-1064-A1-R4_MC09-2g09566	1	0	0	0	3	1	2	1	MvSl-1064-A2-R4_MC09g09840	1	0	0	0	4	1	2	1	0	0	0	0	-1	0	0	0	Auto	Auto	13356	13632	0.381852506	-3.143828712	2.34E-07	1.40E-05	-2.73950632	-0.982600945	1.03289541	1.241090978	Down
MvSl-1064-A1-R4_MC01-1g01970	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC01g02251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	349846	350081	7.856326782	-2.966515799	5.05E-33	1.41E-30	5.820253544	5.607030949	8.465756617	8.869759549	Down
MvSl-1064-A1-R4_A1g00349	0	0	0	0	0	0	3	1	MvSl-1064-A2-R4_A2g00995	0	1	0	2	0	0	0	0	0	-1	0	-2	0	0	3	1	Black	OldStrata	1637608	1638887	11.70738415	-2.631955286	7.64E-10	6.22E-08	10.06875038	9.615201561	12.24315571	12.70341165	Down
MvSl-1064-A1-R4_A1g00745	2	0	1	0	1	0	0	0	MvSl-1064-A2-R4_A2g00577	0	2	0	0	0	1	0	0	2	-2	1	0	1	-1	0	0	Black	OldStrata	1091186	1095689	6.56734286	-2.593515429	1.18E-37	4.05E-35	4.837471476	4.667653199	7.301586216	7.385932228	Down
MvSl-1064-A1-R4_MC01-1g02924	8	2	2	1	10	1	2	0	MvSl-1064-A2-R4_MC01g03193	11	0	6	0	7	2	2	1	-3	2	-4	1	3	-1	0	-1	Auto	Auto	2473513	2473800	0.066479194	-2.590687889	0.000115248	0.004285709	-3.367777697	-0.716990412	0.542819706	0.933868779	Down
MvSl-1064-A1-R4_MC03g05222	0	0	0	1	0	0	0	0	MvSl-1064-A2-R4_MC03g05499	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	2379331	2380742	4.249805442	-2.473067947	1.61E-17	2.33E-15	2.663308573	2.423646192	5.068306309	4.933761983	Down
MvSl-1064-A1-R4_MC04-1g06069	0	0	1	0	0	0	0	0	MvSl-1064-A2-R4_MC04-2g06351	0	0	2	0	1	0	1	1	0	0	-1	0	-1	0	-1	-1	Auto	Auto	1920608	1922496	4.059196111	-2.352162348	8.56E-16	1.14E-13	2.355852495	2.55501761	4.784910323	4.799280626	Down
MvSl-1064-A1-R4_MC11g10575	1	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10839	1	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	Auto	Auto	1044430	1046324	0.321601444	-2.3451438	9.10E-05	0.003556402	-0.559839611	-1.998155058	0.587027488	1.295398697	Down
MvSl-1064-A1-R4_MC05-3g06760	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC05g07024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	722958	723609	0.117161721	-2.341269668	0.00041968	0.012924996	-0.944012749	-1.729917293	-0.131567676	1.32180469	Down
MvSl-1064-A1-R4_MC03g05070	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC03g05347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	2010948	2011221	1.091174813	-2.332142218	0.000795277	0.022134387	0.449547153	-2.756123813	1.539742065	1.982072626	Down
MvSl-1064-A1-R4_MC11g10346	1	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC11g10607	3	0	0	0	3	0	0	0	-2	0	0	0	-2	0	0	0	Auto	Auto	444488	448921	2.276039497	-2.317235571	7.22E-07	4.00E-05	1.037625052	0.348579756	2.332852805	3.432510636	Down
MvSl-1064-A1-R4_MC01-1g02734	0	1	0	0	1	0	0	0	MvSl-1064-A2-R4_MC01g03016	0	2	0	0	2	0	0	0	0	-1	0	0	-1	0	0	0	Auto	Auto	1992894	1995725	4.313666109	-2.267308223	3.90E-16	5.38E-14	2.698981676	2.859527966	5.072199505	4.994526016	Down
MvSl-1064-A1-R4_MC03g04879	2	0	0	0	2	1	1	0	MvSl-1064-A2-R4_MC03g05157	3	0	0	0	3	2	1	0	-1	0	0	0	-1	-1	0	0	Auto	Auto	1537686	1543708	0.335524549	-2.249604219	8.03E-05	0.003213565	-0.676887244	-1.503819643	0.587027488	1.295398697	Down
MvSl-1064-A1-R4_MC03g04959	1	0	1	1	1	0	0	0	MvSl-1064-A2-R4_MC03g05236	2	0	1	2	2	0	0	0	-1	0	0	-1	-1	0	0	0	Auto	Auto	1729459	1732205	0.279969863	-2.18587571	9.17E-05	0.003556402	-1.697459749	-0.600523601	0.933672404	0.899217479	Down
MvSl-1064-A1-R4_MC03g04909	1	1	2	2	1	1	1	2	MvSl-1064-A2-R4_MC03g05187	1	1	2	2	2	3	2	4	0	0	0	0	-1	-2	-1	-2	Auto	Auto	1621176	1622066	3.540591865	-2.162634387	4.46E-12	4.17E-10	2.147870734	2.048818249	4.237572487	4.237778291	Down
MvSl-1064-A1-R4_MC11g10627	2	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10891	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1155543	1158481	2.629579352	-2.115653978	4.24E-09	3.02E-07	1.144984764	1.322441863	3.13758889	3.46248834	Down
MvSl-1064-A1-R4_MC07g08004	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g08269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1148539	1148866	5.437988366	-2.066001177	8.72E-11	7.66E-09	4.376203888	3.670246252	5.642745653	6.486791093	Down
MvSl-1064-A1-R4_MC03g04539	0	0	0	1	0	0	0	0	MvSl-1064-A2-R4_MC03g04817	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	704605	709495	2.04721543	-2.032766443	1.92E-05	0.000898194	0.961339723	0.460066454	1.981870833	3.181706359	Down
MvSl-1064-A1-R4_MC11g10630	0	2	1	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10894	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1165720	1176607	2.337048813	-1.989578271	8.86E-06	0.000427064	0.704812036	1.322441863	3.420137944	2.371483155	Down
MvSl-1064-A1-R4_MC05-2g06412	0	0	0	1	0	0	0	0	MvSl-1064-A2-R4_MC05g06686	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	265218	269867	4.381319138	-1.975485933	3.43E-12	3.27E-10	3.216491211	2.938657068	4.872354051	5.20421874	Down
MvSl-1064-A1-R4_MC01-1g02787	1	0	0	1	1	1	0	0	MvSl-1064-A2-R4_MC01g03069	1	0	0	4	1	1	0	0	0	0	0	-3	0	0	0	0	Auto	Auto	2147039	2147964	1.077410775	-1.959267183	9.85E-05	0.003770756	-0.168391579	-0.127744564	1.125731176	2.108794187	Down
MvSl-1064-A1-R4_MC11g10628	0	2	1	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10892	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1158617	1160243	0.337491544	-1.940428671	0.00019395	0.006659698	-0.804276279	-0.843691691	0.863517532	1.000770276	Down
MvSl-1064-A1-R4_A1g00959	0	1	1	0	2	1	1	1	MvSl-1064-A2-R4_A2g01188	0	1	0	0	1	1	0	3	0	0	1	0	1	0	1	-2	Black	OldStrata	1984288	1990725	4.965149188	-1.92938051	4.57E-15	5.69E-13	3.711654919	3.693247618	5.71673727	5.525743438	Down
MvSl-1064-A1-R4_MC07g08249	0	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g08514	0	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	Auto	Auto	27681	28191	0.515437145	-1.903377956	0.000298856	0.009704149	-0.350879619	-0.982600945	0.789776042	1.373209518	Down
MvSl-1064-A1-R4_MC08g08369	1	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC08-1g08634	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	345347	347246	3.462087611	-1.869301096	1.55E-07	9.37E-06	2.53759432	1.89858543	3.789971004	4.357479799	Down
MvSl-1064-A1-R4_MC02g03891	1	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC02g04169	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1712449	1713500	6.215976477	-1.86882734	1.98E-15	2.61E-13	5.106790927	4.883021375	6.536754326	7.132185913	Down
MvSl-1064-A1-R4_MC10-2g09886	0	0	0	1	0	0	0	0	MvSl-1064-A2-R4_MC10g10150	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	387329	390924	6.233690039	-1.847305117	1.26E-21	2.22E-19	5.054965421	5.012112767	6.849051293	6.906536567	Down
MvSl-1064-A1-R4_MC11g10654	1	1	0	1	0	0	2	1	MvSl-1064-A2-R4_MC11g10918	1	1	0	1	0	0	1	3	0	0	0	0	0	0	1	-2	Auto	Auto	1241384	1243156	2.104420259	-1.72443753	3.87E-05	0.001677199	1.368202338	0.563552404	2.396341294	2.94741494	Down
MvSl-1064-A1-R4_MC14g11804	0	0	0	0	0	2	1	0	MvSl-1064-A2-R4_MC14g12065	0	0	0	0	0	3	1	0	0	0	0	0	0	-1	0	0	Auto	Auto	176561	177297	8.571881839	-1.719572683	2.92E-11	2.67E-09	7.361518506	7.57074096	9.344429028	9.014766715	Down
MvSl-1064-A1-R4_MC10-1g09730	0	0	0	0	2	3	0	0	MvSl-1064-A2-R4_MC10g09997	0	0	0	0	2	4	0	0	0	0	0	0	0	-1	0	0	Auto	Auto	201561	203436	4.392137311	-1.675871495	5.05E-09	3.57E-07	3.371909693	3.279908949	4.719392263	5.223604488	Down
MvSl-1064-A1-R4_MC05-2g06485	0	0	1	0	0	0	0	0	MvSl-1064-A2-R4_MC05g06759	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	Auto	Auto	333921	340706	1.331719559	-1.656167138	0.000205684	0.006982346	0.608055998	-0.049291912	1.668760978	2.093549477	Down
MvSl-1064-A1-R4_A1g01515	1	1	1	0	0	0	0	0	MvSl-1064-A2-R4_A2g01828	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	bPAR	bPAR	3408913	3409518	5.662045657	-1.618542595	1.07E-12	1.09E-10	4.821376762	4.428171971	6.212735655	6.291866304	Down
MvSl-1064-A1-R4_MC11g10722	0	1	0	0	0	0	1	0	MvSl-1064-A2-R4_MC11g10987	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	-1	Auto	Auto	1404174	1407908	5.209432946	-1.583388685	2.92E-09	2.13E-07	4.101985555	4.314091977	6.065245735	5.451454138	Down
MvSl-1064-A1-R4_MC09-2g09541	0	0	0	1	0	1	0	0	MvSl-1064-A2-R4_MC09g09815	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1559137	1559711	7.081634109	-1.582170124	7.16E-14	8.02E-12	6.214615899	5.94075215	7.483979534	7.825770184	Down
MvSl-1064-A1-R4_MC12g11112	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC12g11375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	949644	950592	10.10216769	-1.576794961	0.000238607	0.007861758	8.528236756	9.520918006	11.10342951	10.09313944	Down
MvSl-1064-A1-R4_MC02g03606	1	0	0	0	3	1	0	0	MvSl-1064-A2-R4_MC02g03884	1	0	0	0	4	1	0	0	0	0	0	0	-1	0	0	0	Auto	Auto	1085380	1085925	7.564074806	-1.571640477	1.18E-13	1.30E-11	6.644764531	6.500306332	8.257786298	8.022728391	Down
MvSl-1064-A1-R4_A1g00956	1	1	0	4	0	2	1	1	MvSl-1064-A2-R4_A2g01182	1	0	0	0	0	1	1	0	0	1	0	4	0	1	0	1	Black	OldStrata	1965456	1966246	5.990954214	-1.568597907	1.62E-13	1.75E-11	4.813261568	5.172121486	6.591355061	6.548187485	Down
MvSl-1064-A1-R4_MC02g03274	0	0	0	1	0	0	0	2	MvSl-1064-A2-R4_MC02g03554	0	0	0	2	0	0	0	3	0	0	0	-1	0	0	0	-1	Auto	Auto	283921	284543	3.023015811	-1.556235941	2.87E-06	0.000148844	1.904772445	2.184871749	3.414015402	3.742104036	Down
MvSl-1064-A1-R4_MC08g08835	0	0	0	0	0	3	0	0	MvSl-1064-A2-R4_MC08-2g09116	0	0	0	0	0	5	0	0	0	0	0	0	0	-2	0	0	Auto	Auto	1479228	1480033	0.54195836	-1.553529433	0.001958473	0.046189041	-0.451579696	-0.298739211	0.751441924	1.32180469	Down
MvSl-1064-A1-R4_MC11g10629	0	2	1	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10893	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1160696	1164186	1.422890532	-1.551664113	0.000734466	0.02083	-0.085131921	0.876526105	2.19682445	1.689386051	Down
MvSl-1064-A1-R4_MC02g03373	2	1	1	2	3	1	1	0	MvSl-1064-A2-R4_MC02g03653	2	2	1	4	3	2	5	0	0	-1	0	-2	0	-1	-4	0	Auto	Auto	542592	543917	3.387595059	-1.549962876	4.22E-07	2.41E-05	2.442585572	2.395872867	3.942382084	3.963702488	Down
MvSl-1064-A1-R4_MC11g10255	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	234233	235729	6.29295361	-1.515548438	1.29E-09	1.00E-07	5.227734399	5.453831945	7.183728097	6.438588928	Down
MvSl-1064-A1-R4_MC06g07178	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC06-2g07443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	885006	887281	1.170216642	-1.474795627	0.002162395	0.049690738	0.657244997	-0.210709988	1.295199996	1.998535036	Down
MvSl-1064-A1-R4_MC11g10508	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	873279	874178	2.178403896	-1.472130395	0.001565674	0.038654455	1.708726229	0.660109451	2.15338262	3.115325416	Down
MvSl-1064-A1-R4_MC04-1g06004	0	0	0	0	0	0	1	0	MvSl-1064-A2-R4_MC04-2g06286	0	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	Auto	Auto	1710309	1710638	2.481481462	-1.418207782	6.55E-05	0.002670099	1.661290212	1.566198706	2.80472694	3.181706359	Down
MvSl-1064-A1-R4_MC13g11715	1	0	0	0	2	1	1	2	MvSl-1064-A2-R4_MC13g11976	1	0	0	0	2	1	1	3	0	0	0	0	0	0	0	-1	Auto	Auto	1031168	1034740	6.182210163	-1.388374506	4.10E-12	3.87E-10	5.201029709	5.443694613	6.768561183	6.657191156	Down
MvSl-1064-A1-R4_MC05-2g06461	0	0	0	1	2	0	0	0	MvSl-1064-A2-R4_MC05g06735	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	301318	301943	2.706148916	-1.387614215	8.41E-05	0.003348805	1.708726229	1.994297687	2.972427824	3.438556216	Down
MvSl-1064-A1-R4_MC01-1g02725	0	0	0	0	1	0	0	1	MvSl-1064-A2-R4_MC01g03007	0	0	0	0	2	0	0	2	0	0	0	0	-1	0	0	-1	Auto	Auto	1973283	1974977	4.667111799	-1.359290441	5.90E-08	3.75E-06	3.834353668	3.834431757	5.050655731	5.313522536	Down
MvSl-1064-A1-R4_MC12g10779	3	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC12g11042	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	105690	108401	5.588239884	-1.353929625	1.49E-05	0.000703264	4.969914175	4.511415833	5.492506732	6.540478654	Down
MvSl-1064-A1-R4_MC01-1g02046	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC01g02327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	439149	443618	3.355313215	-1.334807628	3.93E-05	0.001691654	2.722282938	2.338668854	3.666646408	4.037255133	Down
MvSl-1064-A1-R4_MC13g11418	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC13g11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	316706	317374	3.191371948	-1.329350229	2.65E-05	0.001193308	2.355852495	2.409826362	3.565320735	3.818269293	Down
MvSl-1064-A1-R4_A1g01358	0	1	1	0	0	1	0	0	MvSl-1064-A2-R4_A2g01109	0	0	0	1	0	0	2	3	0	1	1	-1	0	1	-2	-3	Black	OldStrata	1769429	1769832	2.118648741	-1.310751769	0.000308038	0.009966196	1.338351876	1.322441863	2.604220918	2.615140007	Down
MvSl-1064-A1-R4_MC01-1g02422	0	1	3	1	0	0	0	0	MvSl-1064-A2-R4_MC01g02704	0	6	5	1	0	0	0	0	0	-5	-2	0	0	0	0	0	Auto	Auto	1238638	1242061	2.465844211	-1.308330508	0.000752395	0.021137814	1.863450874	1.462909357	2.538200779	3.285974288	Down
MvSl-1064-A1-R4_MC02g04206	2	0	0	1	1	0	0	0	MvSl-1064-A2-R4_MC02g04484	3	0	0	2	1	0	0	0	-1	0	0	-1	0	0	0	0	Auto	Auto	2492649	2493498	1.382745705	-1.302755265	0.001485591	0.037085981	0.608055998	0.612638576	1.768108815	1.948573304	Down
MvSl-1064-A1-R4_MC06g07471	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC06-2g07736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1589579	1590278	2.987044207	-1.298926129	0.000163886	0.005797241	2.294991104	2.101353244	3.167012106	3.742104036	Down
MvSl-1064-A1-R4_MC04-1g05801	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC04-1g06077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1257323	1259951	4.020663964	-1.295909989	0.000171744	0.006011067	2.639026841	3.652751326	4.597723768	4.441158103	Down
MvSl-1064-A1-R4_MC07g07851	0	0	0	0	1	1	0	0	MvSl-1064-A2-R4_MC07g08116	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Auto	Auto	766132	767244	2.112106573	-1.295568489	0.002010735	0.046927622	1.636974197	0.954753039	2.182488695	2.921749114	Down
MvSl-1064-A1-R4_MC11g10231	0	0	0	0	1	0	1	0	MvSl-1064-A2-R4_MC11g10492	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	Auto	Auto	186103	188903	1.992041364	-1.287124297	0.000532601	0.015857708	1.179066455	1.26218765	2.396341294	2.549619522	Down
