gid	location	chr	start	end	log2FC	intron_nr	mean	sum	group
MvSl-1064-A1-R4_A1g00453	MvSl-1064-A1-R4_A1	aMAT	3104710	3107087	-5.477788358	1	47	47	DE
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	2.067703556	2	144.5	289	DE
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	2618847	2620704	0.995708515	6	131.5	789	DE
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	4.658089516	6	84.6667	508	DE
MvSl-1064-A1-R4_A1g00594	MvSl-1064-A1-R4_A1	aMAT	1017072	1017508	1.188992125	3	102.333	307	DE
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A1-R4_A1	aMAT	908654	911656	0.808088472	7	107.286	751	DE
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A1-R4_A1	aMAT	1091186	1095689	3.597650441	10	66.5	665	DE
MvSl-1064-A1-R4_A1g00641	MvSl-1064-A1-R4_A1	aMAT	545893	546933	2.24131479	1	128	128	DE
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A1-R4_A1	aMAT	1588797	1592442	1.320733705	1	156	156	DE
MvSl-1064-A1-R4_A1g00646	MvSl-1064-A1-R4_A1	aMAT	2776699	2777667	1.509647233	2	86	172	DE
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A1-R4_A1	aMAT	739770	740360	-0.64351508	3	109.667	329	DE
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	5.495973042	7	131	917	DE
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A1-R4_A1	aMAT	646353	651020	-1.039972343	2	71.5	143	DE
MvSl-1064-A1-R4_A1g00800	MvSl-1064-A1-R4_A1	aMAT	486140	486307	0.846571444	8	102.375	819	DE
MvSl-1064-A1-R4_A1g00835	MvSl-1064-A1-R4_A1	aMAT	1637608	1638887	-4.211399549	2	65.5	131	DE
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A1-R4_A1	aMAT	1711315	1715586	1.602029695	6	114.833	689	DE
MvSl-1064-A1-R4_A1g00854	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	-0.781634241	8	97.125	777	DE
MvSl-1064-A1-R4_A1g00920	MvSl-1064-A1-R4_A1	aMAT	3000503	3001944	0.945533516	4	115.5	462	DE
MvSl-1064-A1-R4_A1g00929	MvSl-1064-A1-R4_A1	aMAT	3107476	3107769	-2.777924797	2	69	138	DE
MvSl-1064-A1-R4_A1g00956	MvSl-1064-A1-R4_A1	aMAT	1794549	1795435	-1.568578928	1	83	83	DE
MvSl-1064-A1-R4_A1g00959	MvSl-1064-A1-R4_A1	aMAT	1838292	1841771	-1.929359364	1	79	79	DE
MvSl-1064-A1-R4_A1g00970	MvSl-1064-A1-R4_A1	aMAT	2085727	2087119	-0.873348638	3	71.3333	214	DE
MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2138970	2141225	1.761422743	3	81.3333	244	DE
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1790347	1792433	2.954530306	4	92.25	369	DE
MvSl-1064-A1-R4_A1g01137	MvSl-1064-A1-R4_A1	aMAT	1164529	1164771	0.63619117	6	77.5	465	DE
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	-5.466800161	2	68	136	DE
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1183296	1185232	-3.618098308	4	87	348	DE
MvSl-1064-A1-R4_A1g01164	MvSl-1064-A1-R4_A1	aMAT	2987402	2994226	0.771436125	10	83.2	832	DE
MvSl-1064-A1-R4_A1g01212	MvSl-1064-A1-R4_A1	aMAT	1185421	1186806	1.980081342	7	79.5714	557	DE
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A1-R4_A1	aMAT	2515006	2516109	-3.433526337	8	86.125	689	DE
MvSl-1064-A1-R4_A1g01253	MvSl-1064-A1-R4_A1	aMAT	473140	476235	0.883920258	4	105	420	DE
MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2570487	2572532	2.083064204	7	146	1022	DE
MvSl-1064-A1-R4_A1g01282	MvSl-1064-A1-R4_A1	aMAT	817323	819348	-6.176567113	3	115	345	DE
MvSl-1064-A1-R4_A1g01347	MvSl-1064-A1-R4_A1	aMAT	2816107	2817007	-1.100869854	5	89.4	447	DE
MvSl-1064-A1-R4_A1g01358	MvSl-1064-A1-R4_A1	aMAT	1688108	1688798	-1.310742222	1	55	55	DE
MvSl-1064-A1-R4_A1g01359	MvSl-1064-A1-R4_A1	aMAT	1699348	1701504	0.921473077	5	78.2	391	DE
MvSl-1064-A1-R4_A1g01376	MvSl-1064-A1-R4_A1	aMAT	907140	907771	-0.9329166	11	71.8182	790	DE
MvSl-1064-A1-R4_A1g01384	MvSl-1064-A1-R4_A1	aMAT	1761367	1764288	0.957219372	1	77	77	DE
MvSl-1064-A1-R4_A1g01432	MvSl-1064-A1-R4_A1	aMAT	1786241	1788119	-1.159635395	4	84.25	337	DE
MvSl-1064-A1-R4_MC01-1g01829	MvSl-1064-A1-R4_MC01-1	Chr01	192929	193317	-0.804351667	2	49.5	99	DE
MvSl-1064-A1-R4_MC01-1g01952	MvSl-1064-A1-R4_MC01-2	Chr01	349846	350081	0.612699943	2	185	370	DE
MvSl-1064-A1-R4_MC01-1g01957	MvSl-1064-A1-R4_MC01-2	Chr01	356542	357953	-0.738982325	3	178	534	DE
MvSl-1064-A1-R4_MC01-1g02022	MvSl-1064-A1-R4_MC01-1	Chr01	443094	443969	1.014272522	2	93.5	187	DE
MvSl-1064-A1-R4_MC01-1g02161	MvSl-1064-A1-R4_MC01-1	Chr01	700448	701057	1.614325382	2	75.5	151	DE
MvSl-1064-A1-R4_MC01-1g02176	MvSl-1064-A1-R4_MC01-1	Chr01	722869	724783	1.70690577	4	176.25	705	DE
MvSl-1064-A1-R4_MC01-1g02422	MvSl-1064-A1-R4_MC01-1	Chr01	1303810	1304945	-1.308367889	1	43	43	DE
MvSl-1064-A1-R4_MC01-1g02545	MvSl-1064-A1-R4_MC01-1	Chr01	1623049	1624982	-0.712922212	10	83	830	DE
MvSl-1064-A1-R4_MC01-1g02598	MvSl-1064-A1-R4_MC01-1	Chr01	1729784	1733845	2.025196036	1	53	53	DE
MvSl-1064-A1-R4_MC01-1g02603	MvSl-1064-A1-R4_MC01-1	Chr01	1744104	1745938	0.996392695	3	105.333	316	DE
MvSl-1064-A1-R4_MC01-1g02725	MvSl-1064-A1-R4_MC01-1	Chr01	2015903	2020132	-1.359295459	1	64	64	DE
MvSl-1064-A1-R4_MC01-1g02734	MvSl-1064-A1-R4_MC01-1	Chr01	2039963	2041115	-2.267291134	2	117	234	DE
MvSl-1064-A1-R4_MC01-1g02763	MvSl-1064-A1-R4_MC01-1	Chr01	2127734	2131703	-0.786327856	6	114.833	689	DE
MvSl-1064-A1-R4_MC01-1g02764	MvSl-1064-A1-R4_MC01-1	Chr01	2133289	2133526	-0.967982214	12	124.333	1492	DE
MvSl-1064-A1-R4_MC01-1g02769	MvSl-1064-A1-R4_MC01-1	Chr01	2142465	2143388	-1.02544667	1	88	88	DE
MvSl-1064-A1-R4_MC01-1g02779	MvSl-1064-A1-R4_MC01-1	Chr01	2167004	2168847	-0.828548762	3	105	315	DE
MvSl-1064-A1-R4_MC01-1g02785	MvSl-1064-A1-R4_MC01-1	Chr01	2188911	2189774	1.810257754	3	79	237	DE
MvSl-1064-A1-R4_MC01-1g02787	MvSl-1064-A1-R4_MC01-1	Chr01	2190569	2190916	-1.959306133	3	95.6667	287	DE
MvSl-1064-A1-R4_MC01-1g02805	MvSl-1064-A1-R4_MC01-1	Chr01	2224752	2226292	-1.939109554	1	42	42	DE
MvSl-1064-A1-R4_MC01-1g02827	MvSl-1064-A1-R4_MC01-1	Chr01	2277804	2277986	-3.39796683	2	70.5	141	DE
MvSl-1064-A1-R4_MC01-1g02837	MvSl-1064-A1-R4_MC01-1	Chr01	2299525	2301343	1.879419611	1	90	90	DE
MvSl-1064-A1-R4_MC01-1g02869	MvSl-1064-A1-R4_MC01-1	Chr01	2388232	2388937	5.23662639	1	117	117	DE
MvSl-1064-A1-R4_MC01-1g02870	MvSl-1064-A1-R4_MC01-1	Chr01	2389164	2391367	3.421263313	7	109.143	764	DE
MvSl-1064-A1-R4_MC01-1g02885	MvSl-1064-A1-R4_MC01-1	Chr01	2421729	2423505	-9.036583209	5	142.6	713	DE
MvSl-1064-A1-R4_MC01-1g02912	MvSl-1064-A1-R4_MC01-1	Chr01	2476117	2477982	-3.208883457	6	167.833	1007	DE
MvSl-1064-A1-R4_MC01-1g02916	MvSl-1064-A1-R4_MC01-1	Chr01	2469795	2471672	-10.9138206	2	109	218	DE
MvSl-1064-A1-R4_MC01-1g02924	MvSl-1064-A1-R4_MC01-1	Chr01	2461947	2463297	-2.590604926	7	179.571	1257	DE
MvSl-1064-A1-R4_MC01-2g02957	MvSl-1064-A1-R4_MC01-1	Chr01	2528970	2529194	-1.782542131	3	70	210	DE
MvSl-1064-A1-R4_MC01-2g02970	MvSl-1064-A1-R4_MC01-1	Chr01	2555812	2558089	-6.834404007	1	222	222	DE
MvSl-1064-A1-R4_MC01-2g03005	MvSl-1064-A1-R4_MC01-1	Chr01	2638104	2638522	-1.193137545	6	72.3333	434	DE
MvSl-1064-A1-R4_MC01-2g03070	MvSl-1064-A1-R4_MC01-1	Chr01	2813014	2813993	-0.907754983	3	76	228	DE
MvSl-1064-A1-R4_MC01-2g03113	MvSl-1064-A1-R4_MC01-1	Chr01	2877953	2880822	1.195746083	4	78.75	315	DE
MvSl-1064-A1-R4_MC01-2g03146	MvSl-1064-A1-R4_MC02	Chr02	1	793	-0.8464695	1	383	383	DE
MvSl-1064-A1-R4_MC01-2g03166	MvSl-1064-A1-R4_MC02	Chr02	46893	50202	3.824812888	1	83	83	DE
MvSl-1064-A1-R4_MC02g03205	MvSl-1064-A1-R4_MC02	Chr02	150721	151305	-0.991156642	3	118.667	356	DE
MvSl-1064-A1-R4_MC02g03224	MvSl-1064-A1-R4_MC02	Chr02	198023	198831	0.829492031	2	99.5	199	DE
MvSl-1064-A1-R4_MC02g03229	MvSl-1064-A1-R4_MC02	Chr02	208275	211944	-0.801401632	11	88.9091	978	DE
MvSl-1064-A1-R4_MC02g03274	MvSl-1064-A1-R4_MC02	Chr02	312457	313624	-1.556238697	4	126.25	505	DE
MvSl-1064-A1-R4_MC02g03288	MvSl-1064-A1-R4_MC02	Chr02	345926	346202	-0.937752502	6	137.333	824	DE
MvSl-1064-A1-R4_MC02g03327	MvSl-1064-A1-R4_MC02	Chr02	441250	443026	-1.013847502	3	107	321	DE
MvSl-1064-A1-R4_MC02g03352	MvSl-1064-A1-R4_MC02	Chr02	522417	524545	-1.013747337	4	89.5	358	DE
MvSl-1064-A1-R4_MC02g03373	MvSl-1064-A1-R4_MC02	Chr02	569119	570909	-1.549954537	2	167.5	335	DE
MvSl-1064-A1-R4_MC02g03471	MvSl-1064-A1-R4_MC02	Chr02	787392	787596	-1.249068282	1	51	51	DE
MvSl-1064-A1-R4_MC02g03484	MvSl-1064-A1-R4_MC02	Chr02	806915	808042	1.080843074	1	94	94	DE
MvSl-1064-A1-R4_MC02g03498	MvSl-1064-A1-R4_MC02	Chr02	834046	835876	2.377148195	1	157	157	DE
MvSl-1064-A1-R4_MC02g03515	MvSl-1064-A1-R4_MC02	Chr02	876340	878957	-0.867009653	1	45	45	DE
MvSl-1064-A1-R4_MC02g03606	MvSl-1064-A1-R4_MC02	Chr02	1116373	1120136	-1.571618651	4	105.5	422	DE
MvSl-1064-A1-R4_MC02g03617	MvSl-1064-A1-R4_MC02	Chr02	1150600	1152710	-0.849481762	2	149	298	DE
MvSl-1064-A1-R4_MC02g03891	MvSl-1064-A1-R4_MC02	Chr02	1741514	1744931	-1.868856006	3	230.333	691	DE
MvSl-1064-A1-R4_MC02g03922	MvSl-1064-A1-R4_MC02	Chr02	1811379	1812803	-1.256207955	5	85.2	426	DE
MvSl-1064-A1-R4_MC02g04206	MvSl-1064-A1-R4_MC02	Chr02	2520294	2521314	-1.302753851	2	108.5	217	DE
MvSl-1064-A1-R4_MC02g04207	MvSl-1064-A1-R4_MC02	Chr02	2537745	2542439	-0.768739149	1	44	44	DE
MvSl-1064-A1-R4_MC02g04208	MvSl-1064-A1-R4_MC02	Chr02	2542839	2543411	-0.779442813	1	79	79	DE
MvSl-1064-A1-R4_MC02g04224	MvSl-1064-A1-R4_MC03	Chr03	26279	28913	-1.165037482	4	134.75	539	DE
MvSl-1064-A1-R4_MC03g04423	MvSl-1064-A1-R4_MC03	Chr03	457974	458561	-0.717472941	2	210	420	DE
MvSl-1064-A1-R4_MC03g04424	MvSl-1064-A1-R4_MC03	Chr03	458630	459341	-1.088173939	6	99.6667	598	DE
MvSl-1064-A1-R4_MC03g04539	MvSl-1064-A1-R4_MC03	Chr03	736466	738274	-2.032831905	1	40	40	DE
MvSl-1064-A1-R4_MC03g04642	MvSl-1064-A1-R4_MC03	Chr03	973608	977163	1.070796931	4	148.75	595	DE
MvSl-1064-A1-R4_MC03g04747	MvSl-1064-A1-R4_MC03	Chr03	1234285	1237148	0.84291779	12	93.1667	1118	DE
MvSl-1064-A1-R4_MC03g04760	MvSl-1064-A1-R4_MC03	Chr03	1277504	1279733	-0.875667489	1	446	446	DE
MvSl-1064-A1-R4_MC03g04807	MvSl-1064-A1-R4_MC03	Chr03	1389676	1391164	2.131557996	1	73	73	DE
MvSl-1064-A1-R4_MC03g04831	MvSl-1064-A1-R4_MC03	Chr03	1440930	1449373	-1.046417871	1	124	124	DE
MvSl-1064-A1-R4_MC03g04844	MvSl-1064-A1-R4_MC03	Chr03	1477378	1479347	1.475105134	1	41	41	DE
MvSl-1064-A1-R4_MC03g04845	MvSl-1064-A1-R4_MC03	Chr03	1480098	1480448	1.486982557	2	161	322	DE
MvSl-1064-A1-R4_MC03g04879	MvSl-1064-A1-R4_MC03	Chr03	1585502	1587550	-2.249655847	2	88.5	177	DE
MvSl-1064-A1-R4_MC03g04909	MvSl-1064-A1-R4_MC03	Chr03	1648424	1649875	-2.162625369	4	184.5	738	DE
MvSl-1064-A1-R4_MC03g04929	MvSl-1064-A1-R4_MC03	Chr03	1698538	1701021	1.539145101	3	90.6667	272	DE
MvSl-1064-A1-R4_MC03g05070	MvSl-1064-A1-R4_MC03	Chr03	2033734	2033925	-2.332226538	2	86	172	DE
MvSl-1064-A1-R4_MC03g05082	MvSl-1064-A1-R4_MC03	Chr03	2070240	2071403	1.764628388	1	80	80	DE
MvSl-1064-A1-R4_MC03g05112	MvSl-1064-A1-R4_MC03	Chr03	2150803	2151639	-0.765743954	4	69.75	279	DE
MvSl-1064-A1-R4_MC03g05154	MvSl-1064-A1-R4_MC03	Chr03	2236247	2236895	1.272732544	9	162.333	1461	DE
MvSl-1064-A1-R4_MC03g05222	MvSl-1064-A1-R4_MC03	Chr03	2406369	2407408	-2.473053475	2	132.5	265	DE
MvSl-1064-A1-R4_MC03g05233	MvSl-1064-A1-R4_MC03	Chr03	2430829	2431709	1.269865436	11	112.636	1239	DE
MvSl-1064-A1-R4_MC03g05235	MvSl-1064-A1-R4_MC03	Chr03	2437236	2440046	1.765933211	7	99.2857	695	DE
MvSl-1064-A1-R4_MC04-1g05282	MvSl-1064-A1-R4_MC04-1	Chr04	49616	50221	-5.21727399	1	103	103	DE
MvSl-1064-A1-R4_MC04-1g05308	MvSl-1064-A1-R4_MC04-1	Chr04	83248	83523	-0.991807878	1	79	79	DE
MvSl-1064-A1-R4_MC04-1g05323	MvSl-1064-A1-R4_MC04-1	Chr04	106646	108295	-0.644210349	3	89.3333	268	DE
MvSl-1064-A1-R4_MC04-1g05373	MvSl-1064-A1-R4_MC04-1	Chr04	218527	219073	0.623684677	9	110.444	994	DE
MvSl-1064-A1-R4_MC04-1g05411	MvSl-1064-A1-R4_MC04-1	Chr04	343240	347427	3.873941315	2	57	114	DE
MvSl-1064-A1-R4_MC04-1g05441	MvSl-1064-A1-R4_MC04-1	Chr04	421065	421307	0.664901011	8	70.75	566	DE
MvSl-1064-A1-R4_MC04-1g05493	MvSl-1064-A1-R4_MC04-1	Chr04	531590	531883	-0.648329768	2	67.5	135	DE
MvSl-1064-A1-R4_MC04-1g05502	MvSl-1064-A1-R4_MC04-1	Chr04	552732	553186	3.273642901	3	78	234	DE
MvSl-1064-A1-R4_MC04-1g05592	MvSl-1064-A1-R4_MC04-1	Chr04	753437	754771	-0.996261031	3	112	336	DE
MvSl-1064-A1-R4_MC04-1g05729	MvSl-1064-A1-R4_MC04-1	Chr04	1116693	1119291	0.804899347	3	168	504	DE
MvSl-1064-A1-R4_MC04-1g05801	MvSl-1064-A1-R4_MC04-1	Chr04	1296862	1297302	-1.295875142	5	88	440	DE
MvSl-1064-A1-R4_MC04-1g05832	MvSl-1064-A1-R4_MC04-1	Chr04	1366216	1367297	-6.360765044	3	105.333	316	DE
MvSl-1064-A1-R4_MC04-1g05858	MvSl-1064-A1-R4_MC04-1	Chr04	1423579	1424514	-1.283329854	1	108	108	DE
MvSl-1064-A1-R4_MC04-1g05865	MvSl-1064-A1-R4_MC04-1	Chr04	1439123	1440432	0.797419698	8	88.625	709	DE
MvSl-1064-A1-R4_MC04-1g05911	MvSl-1064-A1-R4_MC04-1	Chr04	1554327	1556717	1.893026087	1	208	208	DE
MvSl-1064-A1-R4_MC04-1g05942	MvSl-1064-A1-R4_MC04-1	Chr04	1618800	1619609	-0.753476185	6	127.833	767	DE
MvSl-1064-A1-R4_MC04-1g05945	MvSl-1064-A1-R4_MC04-1	Chr04	1623051	1624038	0.848751619	4	86	344	DE
MvSl-1064-A1-R4_MC04-1g05982	MvSl-1064-A1-R4_MC04-1	Chr04	1708858	1709195	-1.44319894	1	62	62	DE
MvSl-1064-A1-R4_MC04-1g05987	MvSl-1064-A1-R4_MC04-1	Chr04	1713418	1713721	1.297457215	1	40	40	DE
MvSl-1064-A1-R4_MC04-1g06041	MvSl-1064-A1-R4_MC04-1	Chr04	1868139	1871971	-1.26792222	2	214	428	DE
MvSl-1064-A1-R4_MC04-1g06069	MvSl-1064-A1-R4_MC04-1	Chr04	1935217	1937471	-2.352149863	5	88.4	442	DE
MvSl-1064-A1-R4_MC04-2g06086	MvSl-1064-A1-R4_MC05-1	Chr05	5538	7710	-2.050213059	1	40	40	DE
MvSl-1064-A1-R4_MC05-1g06149	MvSl-1064-A1-R4_MC05-3	Chr05	71756	72543	0.680708917	6	79.8333	479	DE
MvSl-1064-A1-R4_MC05-1g06209	MvSl-1064-A1-R4_MC05-1	Chr05	124813	126762	-3.931744769	2	140	280	DE
MvSl-1064-A1-R4_MC05-2g06430	MvSl-1064-A1-R4_MC05-1	Chr05	285041	285279	0.937505774	8	80	640	DE
MvSl-1064-A1-R4_MC05-2g06432	MvSl-1064-A1-R4_MC05-2	Chr05	285886	287358	1.985323498	5	73.8	369	DE
MvSl-1064-A1-R4_MC05-2g06461	MvSl-1064-A1-R4_MC05-3	Chr05	310382	311304	-1.387624162	3	71.6667	215	DE
MvSl-1064-A1-R4_MC05-2g06481	MvSl-1064-A1-R4_MC05-2	Chr05	323133	324392	-0.948524294	2	219	438	DE
MvSl-1064-A1-R4_MC05-2g06485	MvSl-1064-A1-R4_MC05-2	Chr05	327387	329680	-1.656192403	10	75.7	757	DE
MvSl-1064-A1-R4_MC05-3g06511	MvSl-1064-A1-R4_MC05-3	Chr05	333416	334242	1.322777006	4	84.5	338	DE
MvSl-1064-A1-R4_MC05-3g06514	MvSl-1064-A1-R4_MC05-1	Chr05	336152	336708	1.119815212	5	72	360	DE
MvSl-1064-A1-R4_MC05-3g06515	MvSl-1064-A1-R4_MC05-1	Chr05	337264	338212	1.157101909	5	259.6	1298	DE
MvSl-1064-A1-R4_MC05-3g06516	MvSl-1064-A1-R4_MC05-3	Chr05	339298	341280	0.754473273	2	88.5	177	DE
MvSl-1064-A1-R4_MC05-3g06517	MvSl-1064-A1-R4_MC05-1	Chr05	339369	346823	1.041324794	4	90.25	361	DE
MvSl-1064-A1-R4_MC05-3g06518	MvSl-1064-A1-R4_MC05-2	Chr05	342012	342758	1.075636136	8	88	704	DE
MvSl-1064-A1-R4_MC05-3g06519	MvSl-1064-A1-R4_MC05-3	Chr05	342167	343614	0.994685368	5	171.2	856	DE
MvSl-1064-A1-R4_MC05-3g06591	MvSl-1064-A1-R4_MC05-3	Chr05	394942	396910	-0.741328641	11	95.3636	1049	DE
MvSl-1064-A1-R4_MC05-3g06707	MvSl-1064-A1-R4_MC05-3	Chr05	623804	624999	1.036563219	11	89.5455	985	DE
MvSl-1064-A1-R4_MC05-3g06731	MvSl-1064-A1-R4_MC05-3	Chr05	677213	677974	-2.331804709	2	90	180	DE
MvSl-1064-A1-R4_MC05-3g06760	MvSl-1064-A1-R4_MC05-3	Chr05	748841	749627	-2.341356549	4	64.25	257	DE
MvSl-1064-A1-R4_MC05-3g06790	MvSl-1064-A1-R4_MC05-3	Chr05	818866	823259	-1.170169788	3	78	234	DE
MvSl-1064-A1-R4_MC06g06896	MvSl-1064-A1-R4_MC06	Chr06	164622	167040	1.014428428	5	104.2	521	DE
MvSl-1064-A1-R4_MC06g06907	MvSl-1064-A1-R4_MC06	Chr06	187971	189682	-1.636579481	3	113.333	340	DE
MvSl-1064-A1-R4_MC06g06943	MvSl-1064-A1-R4_MC06	Chr06	280916	282284	-0.800764683	7	98	686	DE
MvSl-1064-A1-R4_MC06g06944	MvSl-1064-A1-R4_MC06	Chr06	283718	287261	1.982851226	3	74	222	DE
MvSl-1064-A1-R4_MC06g06945	MvSl-1064-A1-R4_MC06	Chr06	287765	289283	2.950826932	6	69.8333	419	DE
MvSl-1064-A1-R4_MC06g07033	MvSl-1064-A1-R4_MC01-2	Chr01	21439	22441	2.935183439	16	79.75	1276	DE
MvSl-1064-A1-R4_MC06g07102	MvSl-1064-A1-R4_MC06	Chr06	719696	720073	-2.263685807	4	110.5	442	DE
MvSl-1064-A1-R4_MC06g07136	MvSl-1064-A1-R4_MC06	Chr06	800364	806063	1.427669969	1	95	95	DE
MvSl-1064-A1-R4_MC06g07137	MvSl-1064-A1-R4_MC06	Chr06	806773	806949	4.961436238	7	78.8571	552	DE
MvSl-1064-A1-R4_MC06g07138	MvSl-1064-A1-R4_MC06	Chr06	807580	809503	-4.461922418	7	81.7143	572	DE
MvSl-1064-A1-R4_MC06g07191	MvSl-1064-A1-R4_MC06	Chr06	940825	943820	-1.254968644	29	99.931	2898	DE
MvSl-1064-A1-R4_MC06g07298	MvSl-1064-A1-R4_MC06	Chr06	1221202	1222069	0.789319847	4	94	376	DE
MvSl-1064-A1-R4_MC06g07419	MvSl-1064-A1-R4_MC06	Chr06	1508105	1508263	0.847864365	5	80	400	DE
MvSl-1064-A1-R4_MC06g07471	MvSl-1064-A1-R4_MC06	Chr06	1621156	1622824	-1.298951371	10	98.1	981	DE
MvSl-1064-A1-R4_MC06g07527	MvSl-1064-A1-R4_MC07	Chr07	28375	28666	-0.873800661	2	119	238	DE
MvSl-1064-A1-R4_MC07g07592	MvSl-1064-A1-R4_MC07	Chr07	186081	187166	-1.087043471	1	83	83	DE
MvSl-1064-A1-R4_MC07g07597	MvSl-1064-A1-R4_MC07	Chr07	196832	198411	-0.703489723	8	79.875	639	DE
MvSl-1064-A1-R4_MC07g07612	MvSl-1064-A1-R4_MC07	Chr07	235864	236563	-0.77959921	2	197	394	DE
MvSl-1064-A1-R4_MC07g07855	MvSl-1064-A1-R4_MC07	Chr07	803187	804691	0.843074328	9	110.778	997	DE
MvSl-1064-A1-R4_MC07g07961	MvSl-1064-A1-R4_MC07	Chr07	1066540	1066944	-4.098797133	1	184	184	DE
MvSl-1064-A1-R4_MC07g07981	MvSl-1064-A1-R4_MC07	Chr07	1123124	1123801	0.812984352	3	51.6667	155	DE
MvSl-1064-A1-R4_MC07g08004	MvSl-1064-A1-R4_MC07	Chr07	1187289	1193245	-2.066051918	5	91.2	456	DE
MvSl-1064-A1-R4_MC07g08057	MvSl-1064-A1-R4_MC07	Chr07	1312446	1314003	1.076892155	3	83.3333	250	DE
MvSl-1064-A1-R4_MC07g08097	MvSl-1064-A1-R4_MC07	Chr07	1410040	1412737	1.422698134	2	123.5	247	DE
MvSl-1064-A1-R4_MC07g08104	MvSl-1064-A1-R4_MC07	Chr07	1429990	1433590	0.818935271	5	132.8	664	DE
MvSl-1064-A1-R4_MC07g08138	MvSl-1064-A1-R4_MC07	Chr07	1502445	1503999	0.830411176	8	84.5	676	DE
MvSl-1064-A1-R4_MC07g08235	MvSl-1064-A1-R4_MC08	Chr08	21352	26574	5.637470206	4	96.75	387	DE
MvSl-1064-A1-R4_MC07g08249	MvSl-1064-A1-R4_MC08	Chr08	57854	58597	-1.903414504	1	93	93	DE
MvSl-1064-A1-R4_MC08g08318	MvSl-1064-A1-R4_MC08	Chr08	228358	231681	2.386265286	6	87.5	525	DE
MvSl-1064-A1-R4_MC08g08369	MvSl-1064-A1-R4_MC08	Chr08	367562	374596	-1.869330153	4	100.75	403	DE
