gene	location	chr	start	end	log2FC	intron_nr	mean	sum
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	aMAT	113646	115349	-0.468008417939855	2	116254	72
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	aMAT	115614	117044	0.138986425015022	6	119361	94.6667
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A1-R4_A1	aMAT	121712	122035	0.34834027490337	1	123779	128
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A1-R4_A1	aMAT	124165	124371	0.159124155901782	5	126386	119.8
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A1-R4_A1	aMAT	125081	126633	0.162009487585316	3	128939	100.333
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A1-R4_A1	aMAT	128311	129271	-0.149956868748848	5	131063	129
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A1-R4_A1	aMAT	130054	132843	0.0619045482440714	3	133794	108.333
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A1-R4_A1	aMAT	133237	134512	-0.174246288694909	3	136000	151.667
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A1-R4_A1	aMAT	135668	136821	0.256054292225132	10	138062	81.9
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A1-R4_A1	aMAT	137505	140273	0.0315934112653318	2	141401	73
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A1-R4_A1	aMAT	141157	141857	-0.223086763307051	8	144387	105
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A1-R4_A1	aMAT	142411	144606	-0.392762524974695	3	146535	124.667
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	aMAT	145335	146902	-0.260923672475478	2	150124	98
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A1-R4_A1	aMAT	149220	153705	0.338336875142065	1	156679	84
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A1-R4_A1	aMAT	154349	157189	0.520825110580756	4	158676	97.5
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A1-R4_A1	aMAT	158422	160299	0.103669735356542	4	162812	110.25
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	aMAT	165329	166779	0.569611228968345	10	168793	124.3
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A1-R4_A1	aMAT	171697	173594	-0.0429677151778728	1	175808	125
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A1-R4_A1	aMAT	173863	176567	0.0499289039924081	1	178442	93
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A1-R4_A1	aMAT	192447	192848	-0.635472111346173	3	233200	81
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A1-R4_A1	aMAT	234418	236731	0.203157286403178	2	239283	71
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A1-R4_A1	aMAT	238849	239016	-0.239746971263684	2	242988	200.5
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A1-R4_A1	aMAT	244443	244638	0.0782260363949858	2	250406	84
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	aMAT	3110528	3114459	-0.64084164827163	2	270801	66.5
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A1-R4_A1	aMAT	1139524	1144406	0.362255569297193	3	320361	121.333
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A1-R4_A1	aMAT	2573298	2575010	0.23245883500989	9	338414	72.3333
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A1-R4_A1	aMAT	2578833	2582754	0.179277962694838	3	381761	85.6667
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	aMAT	1966448	1967834	-0.151634744551154	2	406383	124.5
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A1-R4_A1	aMAT	912091	913460	-0.391179053007992	13	407934	82.2308
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A1-R4_A1	aMAT	914330	919259	-0.0526255620726509	4	413085	124.25
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	aMAT	1550514	1551842	0.702608646516834	8	427653	105.75
MvSl-1064-A1-R4_A1g00210	MvSl-1064-A1-R4_A1	aMAT	1119790	1125248	0.0943747426712621	4	471766	105
MvSl-1064-A1-R4_A1g00211	MvSl-1064-A1-R4_A1	aMAT	1116801	1118832	-0.182895244327894	8	474080	76.5
MvSl-1064-A1-R4_A1g00240	MvSl-1064-A1-R4_A1	aMAT	718774	719371	0.497981280881755	5	542757	78.8
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A1-R4_A1	aMAT	1060653	1061300	0.822763866243135	1	551184	72
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	aMAT	713060	718328	-0.22568415278769	9	642204	70
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	aMAT	704230	705173	-0.0660727455606182	9	646878	77
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	aMAT	407531	411380	-0.171909394471142	4	671202	86.75
MvSl-1064-A1-R4_A1g00307	MvSl-1064-A1-R4_A1	aMAT	1993924	1995401	0.482989826472117	1	704289	80
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A1-R4_A1	aMAT	1396587	1398849	-0.0242417878231174	9	714094	86.1111
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	aMAT	1158935	1161921	0.0928509867297093	4	741848	91.75
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A1-R4_A1	aMAT	1488010	1490661	-0.242191733239139	9	794974	70.8889
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A1-R4_A1	aMAT	1486271	1487768	-0.189240510620396	2	796195	60
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	aMAT	679143	681507	0.268073831225764	8	819195	125.375
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	aMAT	245502	246121	0.553171469978447	4	835898	75.25
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A1-R4_A1	aMAT	248916	251783	0.0476311594610428	3	837652	85.6667
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A1-R4_A1	aMAT	270179	271004	0.0880198089677822	5	840913	75.8
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A1-R4_A1	aMAT	319920	320757	0.0718344348791779	5	843708	64.8
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A1-R4_A1	aMAT	330602	330868	0.323685137589474	6	848281	91.3333
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A1-R4_A1	aMAT	337815	342587	-0.153090469035268	5	851873	79
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A1-R4_A1	aMAT	342659	343448	-0.309993049458856	3	853030	100
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A1-R4_A1	aMAT	343906	345432	-0.126027095083333	4	854635	71.5
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	aMAT	355987	356282	0.630356769221683	1	857101	75
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A1-R4_A1	aMAT	901642	902941	0.520490675962271	2	863199	210.5
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A1-R4_A1	aMAT	896092	900842	0.0255755695044711	1	886124	280
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A1-R4_A1	aMAT	895253	895922	-0.0258177440917268	6	892108	102.5
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A1-R4_A1	aMAT	889992	892373	0.0266952483055408	3	895482	108.333
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A1-R4_A1	aMAT	885400	886813	0.272243152660931	9	900028	73.2222
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A1-R4_A1	aMAT	863010	863649	0.170097066946694	5	902635	83.6
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A1-R4_A1	aMAT	861883	862053	0.122156205055286	3	904059	121
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A1-R4_A1	aMAT	856916	857392	0.150737592720888	4	904615	183.75
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A1-R4_A1	aMAT	854394	856791	-0.0359081256831122	2	907586	74.5
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A1-R4_A1	aMAT	849156	852184	0.358466712204069	4	912884	93.5
MvSl-1064-A1-R4_A1g00402	MvSl-1064-A1-R4_A1	aMAT	844814	848787	0.0290521159113027	3	916935	82.3333
MvSl-1064-A1-R4_A1g00403	MvSl-1064-A1-R4_A1	aMAT	841678	844038	0.477123410893618	7	920436	66.7143
MvSl-1064-A1-R4_A1g00404	MvSl-1064-A1-R4_A1	aMAT	838903	841231	-0.312501154343947	5	925477	70.4
MvSl-1064-A1-R4_A1g00405	MvSl-1064-A1-R4_A1	aMAT	837338	838797	0.555792080843086	5	926338	80.2
MvSl-1064-A1-R4_A1g00406	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	-0.245088081471816	1	929339	83
MvSl-1064-A1-R4_A1g00432	MvSl-1064-A1-R4_A1	aMAT	1584006	1586510	0.147701251415034	3	983856	111.667
MvSl-1064-A1-R4_A1g00433	MvSl-1064-A1-R4_A1	aMAT	1578575	1582088	0.348274381394333	3	986847	74.3333
MvSl-1064-A1-R4_A1g00441	MvSl-1064-A1-R4_A1	aMAT	1136196	1138565	0.104254766888705	7	998926	118
MvSl-1064-A1-R4_A1g00478	MvSl-1064-A1-R4_A1	aMAT	3092860	3095963	0.123482527438169	3	1055188	85
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	aMAT	641110	646152	-0.00184655365558315	2	1061208	49.5
MvSl-1064-A1-R4_A1g00492	MvSl-1064-A1-R4_A1	aMAT	741065	742055	0.443340488292083	1	1092582	52
MvSl-1064-A1-R4_A1g00503	MvSl-1064-A1-R4_A1	aMAT	1995562	1995873	-0.310626789594861	8	1108497	78.625
MvSl-1064-A1-R4_A1g00504	MvSl-1064-A1-R4_A1	aMAT	2004135	2004905	0.0458097577168874	4	1111376	76.5
MvSl-1064-A1-R4_A1g00505	MvSl-1064-A1-R4_A1	aMAT	2051926	2054309	0.172207716436543	8	1113312	114.625
MvSl-1064-A1-R4_A1g00506	MvSl-1064-A1-R4_A1	aMAT	2054540	2055464	0.018095169191777	8	1117012	80
MvSl-1064-A1-R4_A1g00507	MvSl-1064-A1-R4_A1	aMAT	2055616	2057858	0.00574296025547087	13	1124781	96.3846
MvSl-1064-A1-R4_A1g00511	MvSl-1064-A1-R4_A1	aMAT	2058571	2059524	0.101736763359485	7	1132852	75.8571
MvSl-1064-A1-R4_A1g00512	MvSl-1064-A1-R4_A1	aMAT	2080392	2081481	-0.0352704846695949	7	1135800	105.429
MvSl-1064-A1-R4_A1g00513	MvSl-1064-A1-R4_A1	aMAT	2082268	2082504	0.0522498872199359	9	1136360	71.3333
MvSl-1064-A1-R4_A1g00514	MvSl-1064-A1-R4_A1	aMAT	1991175	1993509	0.109706750873437	2	1140452	82
MvSl-1064-A1-R4_A1g00515	MvSl-1064-A1-R4_A1	aMAT	1984288	1990725	0.654352689684475	3	1146272	69.6667
MvSl-1064-A1-R4_A1g00517	MvSl-1064-A1-R4_A1	aMAT	2625755	2626956	-0.533503451979998	2	1151121	216
MvSl-1064-A1-R4_A1g00518	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	0.322480626672117	6	1153416	94.1667
MvSl-1064-A1-R4_A1g00519	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	0.329453209135033	1	1154616	71
MvSl-1064-A1-R4_A1g00520	MvSl-1064-A1-R4_A1	aMAT	2709667	2711246	0.210251201015469	2	1157329	72
MvSl-1064-A1-R4_A1g00521	MvSl-1064-A1-R4_A1	aMAT	2723676	2724484	0.294232959287171	3	1161547	106.667
MvSl-1064-A1-R4_A1g00525	MvSl-1064-A1-R4_A1	aMAT	1300472	1304579	0.428603192047263	3	1167193	105.333
MvSl-1064-A1-R4_A1g00527	MvSl-1064-A1-R4_A1	aMAT	1278622	1279107	0.581882016632099	2	1174545	88.5
MvSl-1064-A1-R4_A1g00528	MvSl-1064-A1-R4_A1	aMAT	3162864	3163091	-0.174837031690773	2	1175132	85
MvSl-1064-A1-R4_A1g00530	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	0.00686639934135971	7	1177204	81.7143
MvSl-1064-A1-R4_A1g00532	MvSl-1064-A1-R4_A1	aMAT	3096186	3097883	0.189104915574362	1	1184241	74
MvSl-1064-A1-R4_A1g00533	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	-0.341645499885068	4	1185905	107.25
MvSl-1064-A1-R4_A1g00534	MvSl-1064-A1-R4_A1	aMAT	1199905	1206247	0.347983004300663	9	1188829	110
MvSl-1064-A1-R4_A1g00541	MvSl-1064-A1-R4_A1	aMAT	1207176	1208666	0.128964275192438	3	1201596	71.3333
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A1-R4_A1	aMAT	1209281	1212345	-0.323479208980968	4	1208289	79.5
MvSl-1064-A1-R4_A1g00543	MvSl-1064-A1-R4_A1	aMAT	1213232	1215281	-0.0525554320081037	9	1209695	97.2222
MvSl-1064-A1-R4_A1g00544	MvSl-1064-A1-R4_A1	aMAT	1274366	1278155	-0.0867767274591289	2	1213830	153.5
MvSl-1064-A1-R4_A1g00575	MvSl-1064-A1-R4_A1	aMAT	924447	925599	0.421916293856135	7	1277897	116.286
MvSl-1064-A1-R4_A1g00593	MvSl-1064-A1-R4_A1	aMAT	542621	544478	-0.0331574306307314	6	1304382	90.1667
MvSl-1064-A1-R4_A1g00645	MvSl-1064-A1-R4_A1	aMAT	2791731	2799682	0.00262413055457307	5	1395914	89.4
MvSl-1064-A1-R4_A1g00669	MvSl-1064-A1-R4_A1	aMAT	1386243	1386532	0.154053322487201	2	1442019	101
MvSl-1064-A1-R4_A1g00693	MvSl-1064-A1-R4_A1	aMAT	1539659	1541133	0.0125228498026728	5	1486423	98.6
MvSl-1064-A1-R4_A1g00694	MvSl-1064-A1-R4_A1	aMAT	1526188	1527713	-0.197895490406907	4	1490114	76.5
MvSl-1064-A1-R4_A1g00726	MvSl-1064-A1-R4_A1	aMAT	547576	548488	0.31161577323386	6	1541047	114.833
MvSl-1064-A1-R4_A1g00732	MvSl-1064-A1-R4_A1	aMAT	2238742	2239464	0.418964567530459	1	1551645	60
MvSl-1064-A1-R4_A1g00749	MvSl-1064-A1-R4_A1	aMAT	1054963	1057437	0.496680815425074	2	1580486	81.5
MvSl-1064-A1-R4_A1g00750	MvSl-1064-A1-R4_A1	aMAT	998707	1000561	-0.0123117063719707	4	1584716	79.5
MvSl-1064-A1-R4_A1g00751	MvSl-1064-A1-R4_A1	aMAT	985209	987129	0.330966011198294	10	1591316	72.7
MvSl-1064-A1-R4_A1g00757	MvSl-1064-A1-R4_A1	aMAT	928859	929481	0.227771881506307	2	1609048	99
MvSl-1064-A1-R4_A1g00772	MvSl-1064-A1-R4_A1	aMAT	411533	413382	0.408200650259874	3	1638107	82.6667
MvSl-1064-A1-R4_A1g00778	MvSl-1064-A1-R4_A1	aMAT	790625	795162	-0.38590472972079	7	1646000	76.8571
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A1-R4_A1	aMAT	795631	796542	-0.654128400582474	10	1652647	96
MvSl-1064-A1-R4_A1g00794	MvSl-1064-A1-R4_A1	aMAT	3044289	3046699	-0.0169019637212085	4	1688176	87.25
MvSl-1064-A1-R4_A1g00801	MvSl-1064-A1-R4_A1	aMAT	527848	528105	0.0315014499007696	2	1702249	76
MvSl-1064-A1-R4_A1g00832	MvSl-1064-A1-R4_A1	aMAT	3195577	3196417	-0.101008858754439	5	1764016	112.8
MvSl-1064-A1-R4_A1g00840	MvSl-1064-A1-R4_A1	aMAT	3189050	3195319	-0.270688656685733	2	1786337	75.5
MvSl-1064-A1-R4_A1g00842	MvSl-1064-A1-R4_A1	aMAT	1400757	1402594	0.358832298449866	6	1790777	114.333
MvSl-1064-A1-R4_A1g00843	MvSl-1064-A1-R4_A1	aMAT	1437496	1440368	0.646969294654539	2	1793722	129.5
MvSl-1064-A1-R4_A1g00845	MvSl-1064-A1-R4_A1	aMAT	1645733	1648754	-0.0382603242771106	3	1800672	92.3333
MvSl-1064-A1-R4_A1g00869	MvSl-1064-A1-R4_A1	aMAT	834376	836308	0.783136283315317	10	1874598	84.8
MvSl-1064-A1-R4_A1g00886	MvSl-1064-A1-R4_A1	aMAT	2593478	2595807	-0.728654195599335	1	1909544	94
MvSl-1064-A1-R4_A1g00911	MvSl-1064-A1-R4_A1	aMAT	3038018	3044084	0.220741494733949	6	1965605	87.8333
MvSl-1064-A1-R4_A1g00912	MvSl-1064-A1-R4_A1	aMAT	3035765	3037588	0.202295332638458	4	1967470	90.25
MvSl-1064-A1-R4_A1g00921	MvSl-1064-A1-R4_A1	aMAT	3017616	3018135	-0.141311490183061	7	1993334	96.5714
MvSl-1064-A1-R4_A1g00922	MvSl-1064-A1-R4_A1	aMAT	3033187	3035601	-0.258848305795529	1	1995288	107
MvSl-1064-A1-R4_A1g00957	MvSl-1064-A1-R4_A1	aMAT	1796095	1800988	-0.331606852239387	2	2054976	105.5
MvSl-1064-A1-R4_A1g00958	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	0.559962839633071	4	2057283	73.25
MvSl-1064-A1-R4_A1g00960	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	0.0164973059576573	4	2058810	67.5
MvSl-1064-A1-R4_A1g00968	MvSl-1064-A1-R4_A1	aMAT	1965456	1966246	0.0750828047584943	4	2080983	89.5
MvSl-1064-A1-R4_A1g00971	MvSl-1064-A1-R4_A1	aMAT	2097615	2099010	0.545396326890647	1	2085041	118
MvSl-1064-A1-R4_A1g00977	MvSl-1064-A1-R4_A1	aMAT	2998043	3000087	0.509087203165349	4	2097895	79
MvSl-1064-A1-R4_A1g00998	MvSl-1064-A1-R4_A1	aMAT	1792754	1794128	-0.36983637000738	3	2142063	109.667
MvSl-1064-A1-R4_A1g01017	MvSl-1064-A1-R4_A1	aMAT	2082576	2084202	0.258676241305112	17	2198810	99.3529
MvSl-1064-A1-R4_A1g01127	MvSl-1064-A1-R4_A1	aMAT	2854025	2856120	-0.896398973558561	2	2500801	106.5
MvSl-1064-A1-R4_A1g01129	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	0.370505649507511	1	2504172	126
MvSl-1064-A1-R4_A1g01154	MvSl-1064-A1-R4_A1	aMAT	1166037	1167381	0.0722840500311432	2	2558314	191
MvSl-1064-A1-R4_A1g01159	MvSl-1064-A1-R4_A1	aMAT	1172917	1174722	-0.337264476717181	2	2568609	180
MvSl-1064-A1-R4_A1g01160	MvSl-1064-A1-R4_A1	aMAT	1174940	1175619	-0.323252528088729	5	2570615	124.2
MvSl-1064-A1-R4_A1g01161	MvSl-1064-A1-R4_A1	aMAT	1176446	1176679	0.274503856702017	3	2573830	92
MvSl-1064-A1-R4_A1g01173	MvSl-1064-A1-R4_A1	aMAT	2516666	2518918	-0.243338540920098	5	2593553	155.2
MvSl-1064-A1-R4_A1g01184	MvSl-1064-A1-R4_A1	aMAT	2141875	2142896	-0.485461094426326	1	2620395	97
MvSl-1064-A1-R4_A1g01189	MvSl-1064-A1-R4_A1	aMAT	904475	905581	-0.517444208355676	2	2626815	79
MvSl-1064-A1-R4_A1g01219	MvSl-1064-A1-R4_A1	aMAT	2503758	2506154	0.90240438609968	4	2708734	152
MvSl-1064-A1-R4_A1g01227	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	0.282165255986778	2	2724180	145
MvSl-1064-A1-R4_A1g01228	MvSl-1064-A1-R4_A1	aMAT	2775123	2776609	-0.117342920769189	1	2725578	126
MvSl-1064-A1-R4_A1g01252	MvSl-1064-A1-R4_A1	aMAT	471540	472718	-0.196291943303698	4	2775338	130.25
MvSl-1064-A1-R4_A1g01271	MvSl-1064-A1-R4_A1	aMAT	2557552	2558488	0.50272432454752	5	2816365	101.6
MvSl-1064-A1-R4_A1g01272	MvSl-1064-A1-R4_A1	aMAT	2568240	2569874	-0.12717276984101	3	2818073	100.333
MvSl-1064-A1-R4_A1g01290	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	-0.0864691264978293	9	2854194	92.8889
MvSl-1064-A1-R4_A1g01348	MvSl-1064-A1-R4_A1	aMAT	2817417	2818269	-0.153025609346111	1	2995906	91
MvSl-1064-A1-R4_A1g01350	MvSl-1064-A1-R4_A1	aMAT	2835849	2836868	0.145950771156084	2	2998936	77.5
MvSl-1064-A1-R4_A1g01351	MvSl-1064-A1-R4_A1	aMAT	2851861	2852673	0.0698214153422044	5	3001701	120.4
MvSl-1064-A1-R4_A1g01366	MvSl-1064-A1-R4_A1	aMAT	1151741	1153580	0.0716358126680046	1	3033668	138
MvSl-1064-A1-R4_A1g01367	MvSl-1064-A1-R4_A1	aMAT	1150800	1151468	-0.360021701180448	3	3036351	65
MvSl-1064-A1-R4_A1g01368	MvSl-1064-A1-R4_A1	aMAT	1148624	1150396	0.20062964817019	7	3038388	64
MvSl-1064-A1-R4_A1g01369	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	-0.615115419443242	5	3046264	103
MvSl-1064-A1-R4_A1g01385	MvSl-1064-A1-R4_A1	aMAT	1745782	1746129	-0.108222876826289	2	3097697	72
MvSl-1064-A1-R4_A1g01388	MvSl-1064-A1-R4_A1	aMAT	468377	470856	-0.405275717499041	2	3105071	65.5
MvSl-1064-A1-R4_A1g01392	MvSl-1064-A1-R4_A1	aMAT	357937	361103	0.221441848212345	4	3110652	72.5
MvSl-1064-A1-R4_A1g01406	MvSl-1064-A1-R4_A1	aMAT	2500697	2501425	0.843617030265832	8	3144317	162.375
MvSl-1064-A1-R4_A1g01407	MvSl-1064-A1-R4_A1	aMAT	2246376	2250905	0.376756806817499	5	3146692	98
MvSl-1064-A1-R4_A1g01415	MvSl-1064-A1-R4_A1	aMAT	406221	406733	-0.393851400105058	10	3166622	107.8
MvSl-1064-A1-R4_A1g01418	MvSl-1064-A1-R4_A1	aMAT	1131484	1132443	0.285774401538263	9	3174274	84.5556
MvSl-1064-A1-R4_A1g01431	MvSl-1064-A1-R4_A1	aMAT	1769429	1769832	-0.0596902112969284	13	3189574	88.6154
MvSl-1064-A1-R4_A1g01440	MvSl-1064-A1-R4_A1	aMAT	3215913	3218813	-0.0419390925635126	6	3218277	113.5
MvSl-1064-A1-R4_A1g01441	MvSl-1064-A1-R4_A1	aMAT	3219240	3221354	0.0383086349278671	6	3219844	72
MvSl-1064-A1-R4_A1g01444	MvSl-1064-A1-R4_A1	aMAT	3224048	3225965	-0.0632067319986562	3	3224196	126.333
MvSl-1064-A1-R4_A1g01445	MvSl-1064-A1-R4_A1	aMAT	3226394	3229199	-0.0365020148488166	2	3228122	62
MvSl-1064-A1-R4_A1g01447	MvSl-1064-A1-R4_A1	aMAT	3231159	3234807	-0.141031684000185	4	3232855	160.75
MvSl-1064-A1-R4_A1g01448	MvSl-1064-A1-R4_A1	aMAT	3236479	3237729	-0.0376482548759038	1	3236729	72
MvSl-1064-A1-R4_A1g01450	MvSl-1064-A1-R4_A1	aMAT	3239229	3242046	-0.140798154751891	5	3239977	86.6
MvSl-1064-A1-R4_A1g01451	MvSl-1064-A1-R4_A1	aMAT	3242237	3243945	0.00399082915125898	5	3243630	90.4
