#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
MvSl-1064-A1-R4_A1g00059	MvSl-1064-A2-R4_A2g00059	68	68	100	100	68	100.000	139
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A2-R4_A2g00060	317	317	100	100	317	100.000	652
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A2-R4_A2g00061	219	219	100	100	219	100.000	452
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A2-R4_A2g00062	714	714	100	100	714	100.000	1415
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A2-R4_A2g00063	316	316	100	100	316	100.000	653
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A2-R4_A2g00064	232	232	100	100	232	100.000	455
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A2-R4_A2g00065	649	649	100	100	649	100.000	1329
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A2-R4_A2g00066	184	184	100	100	184	100.000	379
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A2-R4_A2g00067	451	451	100	100	451	100.000	948
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A2-R4_A2g00068	397	397	100	100	397	100.000	806
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A2-R4_A2g00069	1429	1429	100	100	1429	100.000	2879
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A2-R4_A2g00070	918	918	100	100	918	100.000	1836
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A2-R4_A2g00071	495	495	100	100	495	100.000	1026
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A2-R4_A2g00072	663	663	100	100	663	100.000	1373
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A2-R4_A2g00073	375	375	100	100	375	100.000	760
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A2-R4_A2g00074	613	613	100	100	613	100.000	1274
MvSl-1064-A1-R4_A1g00075	MvSl-1064-A2-R4_A2g00075	433	433	100	100	433	100.000	890
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A2-R4_A2g00076	859	859	100	100	859	100.000	1770
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A2-R4_A2g00077	460	460	100	100	460	99.348	887
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A2-R4_A2g00078	153	153	100	100	153	100.000	310
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A2-R4_A2g00079	1388	1388	100	100	1388	100.000	2872
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A2-R4_A2g00080	151	151	100	100	151	98.675	291
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A2-R4_A2g00081	363	363	100	100	363	98.072	728
MvSl-1064-A1-R4_A1g00083	MvSl-1064-A2-R4_A2g00083	343	343	100	100	343	99.708	708
MvSl-1064-A1-R4_A1g00084	MvSl-1064-A2-R4_A2g00084	106	104	100	100	106	98.113	210
MvSl-1064-A1-R4_A1g00102	MvSl-1064-A2-R4_A2g00279	366	339	82	96	335	61.493	336
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A2-R4_A2g00116	452	452	100	100	452	99.336	931
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A2-R4_A2g00117	444	444	100	100	444	99.324	916
MvSl-1064-A1-R4_A1g00108	MvSl-1064-A2-R4_A2g00118	55	55	100	100	55	100.000	115
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A2-R4_A2g00119	238	234	100	100	238	98.319	447
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A2-R4_A2g00120	856	856	100	100	856	99.766	1696
MvSl-1064-A1-R4_A1g00111	MvSl-1064-A2-R4_A2g00121	40	40	100	100	40	100.000	84.0
MvSl-1064-A1-R4_A1g00112	MvSl-1064-A2-R4_A2g00122	107	113	93	88	100	100.000	197
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A2-R4_A2g00123	899	899	100	100	899	99.666	1831
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A2-R4_A2g01692	230	233	98	100	233	90.987	361
MvSl-1064-A1-R4_A1g00120	MvSl-1064-A2-R4_A2g00240	557	530	89	99	542	72.878	728
MvSl-1064-A1-R4_A1g00126	MvSl-1064-A2-R4_A2g01242	226	196	92	92	208	63.942	251
MvSl-1064-A1-R4_A1g00130	MvSl-1064-A2-R4_A2g01411	72	75	100	100	75	66.667	97.8
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A2-R4_A2g00759	157	160	100	100	160	93.125	305
MvSl-1064-A1-R4_A1g00150	MvSl-1064-A2-R4_A2g01565	49	49	100	100	49	97.959	101
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A2-R4_A2g01431	1373	1339	100	100	1373	95.193	2693
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A2-R4_A2g01432	220	220	100	100	220	97.273	440
MvSl-1064-A1-R4_A1g00155	MvSl-1064-A2-R4_A2g01433	508	508	100	100	508	96.654	994
MvSl-1064-A1-R4_A1g00163	MvSl-1064-A2-R4_A2g01041	79	79	100	100	79	97.468	161
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A2-R4_A2g00290	889	904	99	98	892	96.637	1738
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A2-R4_A2g01447	840	639	84	99	705	80.993	1044
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A2-R4_A2g01227	87	87	100	100	87	100.000	181
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A2-R4_A2g00443	926	926	100	100	926	97.408	1817
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A2-R4_A2g00444	450	450	100	100	450	98.222	900
MvSl-1064-A1-R4_A1g00215	MvSl-1064-A2-R4_A2g00258	55	62	100	89	55	98.182	108
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A2-R4_A2g00529	229	321	88	63	202	98.020	405
MvSl-1064-A1-R4_A1g00233	MvSl-1064-A2-R4_A2g00289	85	81	86	90	73	91.781	136
MvSl-1064-A1-R4_A1g00241	MvSl-1064-A2-R4_A2g00643	346	342	100	100	346	95.954	628
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A2-R4_A2g00644	191	191	100	100	191	97.906	384
MvSl-1064-A1-R4_A1g00243	MvSl-1064-A2-R4_A2g00645	130	151	97	92	143	63.636	163
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A2-R4_A2g00611	94	94	100	100	94	97.872	177
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A2-R4_A2g00241	344	344	100	100	344	98.837	694
MvSl-1064-A1-R4_A1g00252	MvSl-1064-A2-R4_A2g01311	489	742	93	57	439	88.546	824
MvSl-1064-A1-R4_A1g00253	MvSl-1064-A2-R4_A2g01312	780	778	100	100	826	77.119	1200
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A2-R4_A2g00300	738	746	100	99	743	96.231	1452
MvSl-1064-A1-R4_A1g00269	MvSl-1064-A2-R4_A2g00651	1021	804	75	99	817	87.148	1303
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A2-R4_A2g00647	380	380	100	100	380	97.105	768
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A2-R4_A2g00304	1470	1470	100	100	1470	97.551	2967
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A2-R4_A2g00303	1324	1289	96	99	1273	96.858	2492
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A2-R4_A2g00169	1078	1078	100	100	1078	97.495	2182
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A2-R4_A2g00711	547	547	100	100	547	96.709	1088
MvSl-1064-A1-R4_A1g00307	MvSl-1064-A2-R4_A2g01256	287	287	93	95	268	92.701	440
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A2-R4_A2g00915	1497	1499	100	100	1499	97.198	2956
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A2-R4_A2g00914	159	185	99	85	158	93.671	303
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A2-R4_A2g00819	196	192	100	100	196	89.286	290
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A2-R4_A2g00818	207	215	100	100	215	90.698	360
MvSl-1064-A1-R4_A1g00328	MvSl-1064-A2-R4_A2g01638	175	266	100	54	175	72.571	187
MvSl-1064-A1-R4_A1g00349	MvSl-1064-A2-R4_A2g00995	290	270	100	100	303	76.568	437
MvSl-1064-A1-R4_A1g00350	MvSl-1064-A2-R4_A2g00970	824	907	83	76	690	95.362	1161
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A2-R4_A2g00969	1299	1300	100	100	1307	94.950	2430
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A2-R4_A2g00968	263	252	100	100	263	95.057	502
MvSl-1064-A1-R4_A1g00355	MvSl-1064-A2-R4_A2g00539	194	231	94	97	238	55.462	199
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A2-R4_A2g00301	340	340	100	100	340	98.529	678
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A2-R4_A2g00124	543	543	98	98	534	95.318	969
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A2-R4_A2g00125	400	400	100	100	400	99.750	816
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A2-R4_A2g00126	649	649	100	100	649	99.846	1339
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A2-R4_A2g00127	678	672	100	100	678	98.968	1371
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A2-R4_A2g00128	1141	1130	100	100	1143	98.688	2307
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A2-R4_A2g00129	877	875	100	100	877	98.974	1788
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A2-R4_A2g00130	354	354	100	100	354	100.000	704
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A2-R4_A2g00131	703	703	100	100	703	99.858	1459
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A2-R4_A2g00132	133	138	100	100	138	96.377	261
MvSl-1064-A1-R4_A1g00379	MvSl-1064-A2-R4_A2g00394	56	56	100	100	56	92.857	109
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A2-R4_A2g00393	72	72	100	100	72	97.222	146
MvSl-1064-A1-R4_A1g00383	MvSl-1064-A2-R4_A2g00388	162	171	100	100	175	74.857	205
MvSl-1064-A1-R4_A1g00384	MvSl-1064-A2-R4_A2g00387	74	53	72	100	53	90.566	98.6
MvSl-1064-A1-R4_A1g00389	MvSl-1064-A2-R4_A2g00383	385	300	78	99	299	99.331	603
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A2-R4_A2g00380	377	377	100	100	377	98.674	734
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A2-R4_A2g00379	588	616	100	100	616	94.643	1178
MvSl-1064-A1-R4_A1g00392	MvSl-1064-A2-R4_A2g00378	65	65	100	100	65	100.000	133
MvSl-1064-A1-R4_A1g00393	MvSl-1064-A2-R4_A2g00377	67	67	100	100	67	100.000	128
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A2-R4_A2g00376	114	114	100	100	114	100.000	233
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A2-R4_A2g00375	1363	1363	100	100	1363	99.707	2810
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A2-R4_A2g00374	293	293	100	100	293	99.659	601
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A2-R4_A2g00373	124	124	100	100	124	100.000	249
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A2-R4_A2g00372	123	123	100	100	123	100.000	244
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A2-R4_A2g00371	160	160	100	100	160	100.000	332
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A2-R4_A2g00370	787	787	100	100	787	97.459	1573
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A2-R4_A2g00369	331	330	99	100	330	99.394	659
MvSl-1064-A1-R4_A1g00402	MvSl-1064-A2-R4_A2g00368	1560	1530	100	100	1560	96.474	3034
MvSl-1064-A1-R4_A1g00403	MvSl-1064-A2-R4_A2g00367	1342	1342	100	100	1342	100.000	2795
MvSl-1064-A1-R4_A1g00404	MvSl-1064-A2-R4_A2g00366	266	264	100	100	266	98.496	542
MvSl-1064-A1-R4_A1g00405	MvSl-1064-A2-R4_A2g00365	548	548	100	100	548	99.453	1095
MvSl-1064-A1-R4_A1g00406	MvSl-1064-A2-R4_A2g00732	179	179	100	100	179	100.000	359
MvSl-1064-A1-R4_A1g00407	MvSl-1064-A2-R4_A2g01066	263	446	93	55	244	97.951	481
MvSl-1064-A1-R4_A1g00432	MvSl-1064-A2-R4_A2g00994	97	97	100	100	97	100.000	196
MvSl-1064-A1-R4_A1g00433	MvSl-1064-A2-R4_A2g00993	565	565	100	100	565	94.336	1072
MvSl-1064-A1-R4_A1g00441	MvSl-1064-A2-R4_A2g00737	342	342	100	100	342	98.830	694
MvSl-1064-A1-R4_A1g00448	MvSl-1064-A2-R4_A2g01642	513	688	98	71	521	82.700	791
MvSl-1064-A1-R4_A1g00475	MvSl-1064-A2-R4_A2g00828	46	53	87	75	40	95.000	84.0
MvSl-1064-A1-R4_A1g00478	MvSl-1064-A2-R4_A2g01653	739	753	98	94	725	90.897	1327
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A2-R4_A2g00295	182	174	100	99	182	85.165	318
MvSl-1064-A1-R4_A1g00495	MvSl-1064-A2-R4_A2g01715	342	387	100	100	387	83.979	518
MvSl-1064-A1-R4_A1g00503	MvSl-1064-A2-R4_A2g01265	651	651	100	100	651	99.539	1335
MvSl-1064-A1-R4_A1g00504	MvSl-1064-A2-R4_A2g01266	319	319	100	100	319	100.000	658
MvSl-1064-A1-R4_A1g00505	MvSl-1064-A2-R4_A2g01267	991	945	100	100	991	95.055	1891
MvSl-1064-A1-R4_A1g00506	MvSl-1064-A2-R4_A2g01268	463	463	100	100	463	99.784	953
MvSl-1064-A1-R4_A1g00507	MvSl-1064-A2-R4_A2g01269	1401	1291	92	99	1284	96.573	2299
MvSl-1064-A1-R4_A1g00508	MvSl-1064-A2-R4_A2g01271	614	594	99	87	638	69.906	824
MvSl-1064-A1-R4_A1g00510	MvSl-1064-A2-R4_A2g01274	319	319	100	100	319	100.000	659
MvSl-1064-A1-R4_A1g00511	MvSl-1064-A2-R4_A2g01275	353	353	100	100	353	100.000	722
MvSl-1064-A1-R4_A1g00512	MvSl-1064-A2-R4_A2g01276	207	207	100	100	207	99.517	410
MvSl-1064-A1-R4_A1g00513	MvSl-1064-A2-R4_A2g01277	575	562	96	98	552	98.551	1109
MvSl-1064-A1-R4_A1g00514	MvSl-1064-A2-R4_A2g01252	1572	1554	100	100	1580	93.861	2749
MvSl-1064-A1-R4_A1g00516	MvSl-1064-A2-R4_A2g01504	327	335	98	96	321	98.442	639
MvSl-1064-A1-R4_A1g00517	MvSl-1064-A2-R4_A2g01505	78	78	100	100	78	100.000	158
MvSl-1064-A1-R4_A1g00518	MvSl-1064-A2-R4_A2g01506	424	424	100	100	424	99.764	872
MvSl-1064-A1-R4_A1g00519	MvSl-1064-A2-R4_A2g01511	695	695	100	100	695	99.712	1406
MvSl-1064-A1-R4_A1g00520	MvSl-1064-A2-R4_A2g01512	655	655	100	100	655	99.847	1341
MvSl-1064-A1-R4_A1g00521	MvSl-1064-A2-R4_A2g01513	888	887	100	100	888	98.986	1766
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A2-R4_A2g00889	418	418	100	100	418	96.651	819
MvSl-1064-A1-R4_A1g00523	MvSl-1064-A2-R4_A2g00888	80	80	100	100	80	100.000	167
MvSl-1064-A1-R4_A1g00524	MvSl-1064-A2-R4_A2g00887	42	42	100	100	42	92.857	82.4
MvSl-1064-A1-R4_A1g00525	MvSl-1064-A2-R4_A2g00886	342	334	98	100	334	97.006	657
MvSl-1064-A1-R4_A1g00532	MvSl-1064-A2-R4_A2g01664	620	620	100	100	620	98.065	1263
MvSl-1064-A1-R4_A1g00533	MvSl-1064-A2-R4_A2g00864	318	307	87	91	278	99.640	557
MvSl-1064-A1-R4_A1g00534	MvSl-1064-A2-R4_A2g00865	377	377	100	100	377	99.469	753
MvSl-1064-A1-R4_A1g00541	MvSl-1064-A2-R4_A2g00866	2042	2040	100	100	2042	98.286	4100
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A2-R4_A2g00867	390	390	100	100	390	100.000	807
MvSl-1064-A1-R4_A1g00543	MvSl-1064-A2-R4_A2g00868	729	729	100	100	729	99.588	1490
MvSl-1064-A1-R4_A1g00544	MvSl-1064-A2-R4_A2g00869	580	640	100	91	580	99.655	1193
MvSl-1064-A1-R4_A1g00546	MvSl-1064-A2-R4_A2g01042	114	154	98	67	112	76.786	165
MvSl-1064-A1-R4_A1g00568	MvSl-1064-A2-R4_A2g00548	131	68	51	99	67	91.045	119
MvSl-1064-A1-R4_A1g00575	MvSl-1064-A2-R4_A2g00559	991	994	100	100	994	96.378	1930
MvSl-1064-A1-R4_A1g00576	MvSl-1064-A2-R4_A2g00560	161	136	81	96	130	80.769	148
MvSl-1064-A1-R4_A1g00589	MvSl-1064-A2-R4_A2g00207	89	101	85	93	94	74.468	134
MvSl-1064-A1-R4_A1g00591	MvSl-1064-A2-R4_A2g00208	443	446	100	100	449	72.160	636
MvSl-1064-A1-R4_A1g00592	MvSl-1064-A2-R4_A2g00209	487	480	92	93	463	55.864	371
MvSl-1064-A1-R4_A1g00593	MvSl-1064-A2-R4_A2g00210	1188	1188	100	100	1188	97.811	2382
MvSl-1064-A1-R4_A1g00608	MvSl-1064-A2-R4_A2g00220	83	54	57	87	47	87.234	87.0
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A2-R4_A2g00431	256	257	100	100	273	84.249	449
MvSl-1064-A1-R4_A1g00635	MvSl-1064-A2-R4_A2g00615	628	553	90	99	575	81.391	865
MvSl-1064-A1-R4_A1g00641	MvSl-1064-A2-R4_A2g00231	53	54	100	100	54	90.741	99.0
MvSl-1064-A1-R4_A1g00642	MvSl-1064-A2-R4_A2g00977	69	86	71	57	49	91.837	92.0
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A2-R4_A2g01002	789	784	99	99	782	94.885	1343
MvSl-1064-A1-R4_A1g00645	MvSl-1064-A2-R4_A2g01535	842	839	99	100	839	98.570	1675
MvSl-1064-A1-R4_A1g00646	MvSl-1064-A2-R4_A2g01534	696	696	100	100	696	98.563	1403
MvSl-1064-A1-R4_A1g00647	MvSl-1064-A2-R4_A2g00315	286	225	77	96	234	84.188	380
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A2-R4_A2g00314	502	505	99	99	501	96.208	947
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A2-R4_A2g00904	651	636	100	100	653	92.496	1208
MvSl-1064-A1-R4_A1g00669	MvSl-1064-A2-R4_A2g00902	711	725	100	100	725	94.069	1177
MvSl-1064-A1-R4_A1g00693	MvSl-1064-A2-R4_A2g00976	334	334	100	100	334	100.000	690
MvSl-1064-A1-R4_A1g00694	MvSl-1064-A2-R4_A2g00975	781	782	100	100	782	98.721	1578
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A2-R4_A2g00298	460	460	100	100	460	97.609	929
MvSl-1064-A1-R4_A1g00732	MvSl-1064-A2-R4_A2g01321	422	422	100	100	422	99.526	852
MvSl-1064-A1-R4_A1g00745	MvSl-1064-A2-R4_A2g00577	164	294	93	52	153	99.346	308
MvSl-1064-A1-R4_A1g00749	MvSl-1064-A2-R4_A2g00576	1116	1110	100	100	1117	93.465	1763
MvSl-1064-A1-R4_A1g00750	MvSl-1064-A2-R4_A2g00570	728	728	100	100	728	99.725	1502
MvSl-1064-A1-R4_A1g00751	MvSl-1064-A2-R4_A2g00569	972	971	100	100	972	98.560	1976
MvSl-1064-A1-R4_A1g00752	MvSl-1064-A2-R4_A2g00568	410	599	95	65	391	96.675	754
MvSl-1064-A1-R4_A1g00756	MvSl-1064-A2-R4_A2g00566	71	71	100	100	71	91.549	132
MvSl-1064-A1-R4_A1g00757	MvSl-1064-A2-R4_A2g00565	297	284	95	98	281	91.815	533
MvSl-1064-A1-R4_A1g00772	MvSl-1064-A2-R4_A2g00179	343	360	100	100	360	90.833	646
MvSl-1064-A1-R4_A1g00778	MvSl-1064-A2-R4_A2g00328	827	826	100	100	827	95.889	1595
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A2-R4_A2g00329	1011	1002	99	99	1013	95.755	1970
MvSl-1064-A1-R4_A1g00794	MvSl-1064-A2-R4_A2g01610	113	113	100	100	113	98.230	232
MvSl-1064-A1-R4_A1g00800	MvSl-1064-A2-R4_A2g00203	445	457	98	95	436	99.312	893
MvSl-1064-A1-R4_A1g00801	MvSl-1064-A2-R4_A2g00204	348	348	100	100	348	99.425	704
MvSl-1064-A1-R4_A1g00808	MvSl-1064-A2-R4_A2g00206	180	112	56	71	100	64.000	110
MvSl-1064-A1-R4_A1g00835	MvSl-1064-A2-R4_A2g01032	90	83	80	87	72	84.722	124
MvSl-1064-A1-R4_A1g00840	MvSl-1064-A2-R4_A2g01736	575	594	100	100	594	91.077	1016
MvSl-1064-A1-R4_A1g00842	MvSl-1064-A2-R4_A2g00923	466	519	100	100	534	80.899	819
MvSl-1064-A1-R4_A1g00843	MvSl-1064-A2-R4_A2g00924	371	342	100	100	371	90.566	674
MvSl-1064-A1-R4_A1g00844	MvSl-1064-A2-R4_A2g00925	258	258	100	100	258	96.124	436
MvSl-1064-A1-R4_A1g00845	MvSl-1064-A2-R4_A2g01038	1538	1506	100	100	1538	93.563	2711
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A2-R4_A2g01112	872	842	100	100	872	93.922	1653
