target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A2-R4_A2g00043	22	6.06395	0.414449	1.39905
MvSl-1064-A2-R4_A2g00044	0	0	0	0
MvSl-1064-A2-R4_A2g00045	2	0	0	0.0390957
MvSl-1064-A2-R4_A2g00046	320	293	4.35398	4.41262
MvSl-1064-A2-R4_A2g00047	693	648	11.6139	11.5275
MvSl-1064-A2-R4_A2g00048	610	611	8.25924	7.65113
MvSl-1064-A2-R4_A2g00049	789	965	5.65815	4.29088
MvSl-1064-A2-R4_A2g00050	1202	997	3.8009	4.24983
MvSl-1064-A2-R4_A2g00051	2413	1746	27.0088	34.6386
MvSl-1064-A2-R4_A2g00052	68	34	4.3528	8.0727
MvSl-1064-A2-R4_A2g00053	2149	1871	24.4554	26.063
MvSl-1064-A2-R4_A2g00054	161	106	1.29386	1.82337
MvSl-1064-A2-R4_A2g00055	945	1204	18.3849	13.3907
MvSl-1064-A2-R4_A2g00056	7302	7395	62.8034	57.5266
MvSl-1064-A2-R4_A2g00057	557	528	109.532	108.603
MvSl-1064-A2-R4_A2g00058	30	32	8.92791	7.93007
MvSl-1064-A2-R4_A2g00059	217	198.971	86.9898	93.194
MvSl-1064-A2-R4_A2g00060	104	190	2.60868	1.32496
MvSl-1064-A2-R4_A2g00061	2884	2683	72.1832	72.0919
MvSl-1064-A2-R4_A2g00062	1644.8	1461.3	9.91985	10.3568
MvSl-1064-A2-R4_A2g00063	691	682	12.1577	11.4325
MvSl-1064-A2-R4_A2g00064	7289	6594	135.092	138.614
MvSl-1064-A2-R4_A2g00065	3061	2991	20.4883	19.449
MvSl-1064-A2-R4_A2g00066	6406.2	4680.12	211.314	268.779
MvSl-1064-A2-R4_A2g00067	43	79	0.708221	0.357605
MvSl-1064-A2-R4_A2g00068	32	69	0.935759	0.402683
MvSl-1064-A2-R4_A2g00069	1315	1667	6.68346	4.88958
MvSl-1064-A2-R4_A2g00070	2773	3069	20.4082	17.104
MvSl-1064-A2-R4_A2g00071	290	282	3.05191	2.91176
MvSl-1064-A2-R4_A2g00072	4080	5269	41.8785	30.0811
MvSl-1064-A2-R4_A2g00073	1023	828	12.4152	14.234
MvSl-1064-A2-R4_A2g00074	8586	6417	38.8741	48.2443
MvSl-1064-A2-R4_A2g00075	0	1	0.0106831	0
MvSl-1064-A2-R4_A2g00076	3008	3063	21.5412	19.6223
MvSl-1064-A2-R4_A2g00077	2221	1874	27.4789	30.2205
MvSl-1064-A2-R4_A2g00078	2517	1540	154.882	234.801
MvSl-1064-A2-R4_A2g00079	448	611	2.17834	1.48126
MvSl-1064-A2-R4_A2g00080	570	550	23.0652	22.1756
MvSl-1064-A2-R4_A2g00081	208.67	274.43	3.21282	2.26658
MvSl-1064-A2-R4_A2g00082	1	0	0	0.395633
MvSl-1064-A2-R4_A2g00083	1.06696	0	0	0.0114281
MvSl-1064-A2-R4_A2g00084	0	0	0	0
MvSl-1064-A2-R4_A2g00085	0.4	0	0	0.206096
MvSl-1064-A2-R4_A2g00086	0.935186	4.42711	0.153453	0.0300699
MvSl-1064-A2-R4_A2g00087	108.931	283.291	0.72004	0.256757
MvSl-1064-A2-R4_A2g00088	4.43665	6.16445	0.0655606	0.0437759
MvSl-1064-A2-R4_A2g00089	0	0	0	0
MvSl-1064-A2-R4_A2g00090	4.43665	6.16445	0.0655606	0.0437759
MvSl-1064-A2-R4_A2g00091	0	0	0	0
MvSl-1064-A2-R4_A2g00092	4.43665	6.16445	0.0655606	0.0437759
MvSl-1064-A2-R4_A2g00093	0	0	0	0
MvSl-1064-A2-R4_A2g00094	4.43665	6.16445	0.0655606	0.0437759
MvSl-1064-A2-R4_A2g00095	0	0	0	0
MvSl-1064-A2-R4_A2g00096	4.43665	4.84E-08	5.14E-10	0.0437759
MvSl-1064-A2-R4_A2g00097	0	0	0	0
MvSl-1064-A2-R4_A2g00098	0	0.5	0.0125312	0
MvSl-1064-A2-R4_A2g00099	70	71.5294	1.8365	1.66904
MvSl-1064-A2-R4_A2g00100	12.068	9.52414	3.74653	4.66976
MvSl-1064-A2-R4_A2g00101	7	9	1.37507	0.984501
MvSl-1064-A2-R4_A2g00102	0	0	0	0
MvSl-1064-A2-R4_A2g00103	0	0	0	0
MvSl-1064-A2-R4_A2g00104	0.4	0	0	0.206096
MvSl-1064-A2-R4_A2g00105	0.935186	4.42711	0.153453	0.0300699
MvSl-1064-A2-R4_A2g00106	108.931	283.291	0.72004	0.256757
MvSl-1064-A2-R4_A2g00107	4.43665	4.84E-08	5.14E-10	0.0437759
MvSl-1064-A2-R4_A2g00108	0	0	0	0
MvSl-1064-A2-R4_A2g00109	0	0.5	0.0125312	0
MvSl-1064-A2-R4_A2g00110	70	71.5294	1.8365	1.66904
MvSl-1064-A2-R4_A2g00111	12.068	9.52414	3.74653	4.66976
MvSl-1064-A2-R4_A2g00112	7	9	1.37507	0.984501
MvSl-1064-A2-R4_A2g00113	0	0	0	0
MvSl-1064-A2-R4_A2g00114	0	0	0	0
MvSl-1064-A2-R4_A2g00115	0.4	0	0	0.206096
MvSl-1064-A2-R4_A2g00116	55.4767	67.7362	0.874357	0.664449
MvSl-1064-A2-R4_A2g00117	14.2629	15.5696	0.131221	0.11151
MvSl-1064-A2-R4_A2g00118	622	591	391.9	375.523
MvSl-1064-A2-R4_A2g00119	3014	2282	74.9139	91.7204
MvSl-1064-A2-R4_A2g00120	6731	7362	46.516	39.4475
MvSl-1064-A2-R4_A2g00121	1	3	1.44936	0.467791
MvSl-1064-A2-R4_A2g00122	228.008	269.492	12.7175	9.99321
MvSl-1064-A2-R4_A2g00123	5119	5287	34.7814	31.2365
MvSl-1064-A2-R4_A2g00124	276	281	2.93587	2.67527
MvSl-1064-A2-R4_A2g00125	1790	1369	20.3433	24.6831
MvSl-1064-A2-R4_A2g00126	2930	2719	22.7427	22.7342
MvSl-1064-A2-R4_A2g00127	2675	2742	22.7745	20.6103
MvSl-1064-A2-R4_A2g00128	2994	3135	14.5377	12.8767
MvSl-1064-A2-R4_A2g00129	4014	3914	24.2595	23.0765
MvSl-1064-A2-R4_A2g00130	1325	1087	17.6705	19.9892
MvSl-1064-A2-R4_A2g00131	4709	5154	41.6623	35.3102
MvSl-1064-A2-R4_A2g00132	272.769	403.949	35.7057	22.4718
MvSl-1064-A2-R4_A2g00133	735.544	1044.22	6.14432	4.01434
MvSl-1064-A2-R4_A2g00134	129.576	192.342	28.2535	17.4946
MvSl-1064-A2-R4_A2g00135	271.508	239.775	2.9995	3.15139
MvSl-1064-A2-R4_A2g00136	407.067	541.146	1.41528	0.987285
MvSl-1064-A2-R4_A2g00137	0	0	0	0
MvSl-1064-A2-R4_A2g00138	2.65776	5.43523	0.375386	0.170764
MvSl-1064-A2-R4_A2g00139	94.5647	229.945	1.53092	0.583981
MvSl-1064-A2-R4_A2g00140	523.761	483.293	5.24404	5.2726
MvSl-1064-A2-R4_A2g00141	274.807	202.42	163.647	209.793
MvSl-1064-A2-R4_A2g00142	272.387	521.604	6.0851	2.94828
MvSl-1064-A2-R4_A2g00143	5	11.1831	0.117357	0.0486794
MvSl-1064-A2-R4_A2g00144	76.2999	83.2846	0.640202	0.544053
MvSl-1064-A2-R4_A2g00145	0	0	0	0
MvSl-1064-A2-R4_A2g00146	7.64852	12.694	0.218322	0.122084
MvSl-1064-A2-R4_A2g00147	1.05684	0	0	0.246641
MvSl-1064-A2-R4_A2g00148	10.2304	7.05417	4.67771	6.17646
MvSl-1064-A2-R4_A2g00149	371	434.022	51.6112	40.9194
MvSl-1064-A2-R4_A2g00150	432.134	571.842	4.97606	3.48831
MvSl-1064-A2-R4_A2g00151	19.7267	19.8962	2.7597	2.51604
MvSl-1064-A2-R4_A2g00152	186	264	35.4506	23.0553
MvSl-1064-A2-R4_A2g00153	1042	939	4.34587	4.47274
MvSl-1064-A2-R4_A2g00154	2159	2348	29.8904	25.5015
MvSl-1064-A2-R4_A2g00155	19209.3	17937.6	196.951	195.679
MvSl-1064-A2-R4_A2g00156	330.778	384.615	72.9107	58.8563
MvSl-1064-A2-R4_A2g00157	360.026	378.132	14.7007	12.968
MvSl-1064-A2-R4_A2g00158	515.869	786.566	3.00003	1.82476
MvSl-1064-A2-R4_A2g00159	17.7528	35.1132	13.6435	6.72594
MvSl-1064-A2-R4_A2g00160	690.415	718.595	8.17088	7.28354
MvSl-1064-A2-R4_A2g00161	1794.08	1629.59	5.92556	6.05013
MvSl-1064-A2-R4_A2g00162	248.727	344.447	5.96736	3.99915
MvSl-1064-A2-R4_A2g00163	3216	2561	23.2602	27.0967
MvSl-1064-A2-R4_A2g00164	1409.61	1589.72	3.60184	2.96171
MvSl-1064-A2-R4_A2g00165	61.2188	86.4033	4.33478	2.85437
MvSl-1064-A2-R4_A2g00166	34.8934	51.4433	0.810877	0.51041
MvSl-1064-A2-R4_A2g00167	71.4083	119.919	7.8999	4.37226
MvSl-1064-A2-R4_A2g00168	448.473	363.223	12.0646	13.8058
MvSl-1064-A2-R4_A2g00169	3210	3749	19.2262	15.2682
MvSl-1064-A2-R4_A2g00170	491.733	502.962	12.74	11.5646
MvSl-1064-A2-R4_A2g00171	15636	15774.6	77.9839	71.6928
MvSl-1064-A2-R4_A2g00172	989.635	1200.93	8.06993	6.16835
MvSl-1064-A2-R4_A2g00173	475.845	522.483	131.692	114.45
MvSl-1064-A2-R4_A2g00174	2517.68	2373.49	389.562	383.71
MvSl-1064-A2-R4_A2g00175	62.4514	45.8419	28.2575	36.9303
MvSl-1064-A2-R4_A2g00176	11419.1	13206.1	183.902	147.554
MvSl-1064-A2-R4_A2g00177	198.653	158.113	119.526	146.394
MvSl-1064-A2-R4_A2g00178	1304	1064	44.0954	50.119
MvSl-1064-A2-R4_A2g00179	400	265	4.69881	6.58257
MvSl-1064-A2-R4_A2g00180	1.04238	1.08572	0.424502	0.39947
MvSl-1064-A2-R4_A2g00181	0	0	0	0
MvSl-1064-A2-R4_A2g00182	43.7933	40.9486	0.585449	0.580996
MvSl-1064-A2-R4_A2g00183	954.681	976.89	27.2284	24.738
MvSl-1064-A2-R4_A2g00184	563.047	577.985	82.325	73.6521
MvSl-1064-A2-R4_A2g00185	2204	1733	451.082	548.699
MvSl-1064-A2-R4_A2g00186	1202	962	6.76547	7.84109
MvSl-1064-A2-R4_A2g00187	1057.78	1050.68	10.124	9.45562
MvSl-1064-A2-R4_A2g00188	48	46.7886	33.4783	32.0136
MvSl-1064-A2-R4_A2g00189	3884.53	3095.34	13.463	15.6697
MvSl-1064-A2-R4_A2g00190	202.993	115	41.6361	71.6206
MvSl-1064-A2-R4_A2g00191	353.479	239.401	10.9236	14.9817
MvSl-1064-A2-R4_A2g00192	4737.92	2239.95	12.1197	23.7767
MvSl-1064-A2-R4_A2g00193	674.528	1032.32	3.01405	1.82638
MvSl-1064-A2-R4_A2g00194	143.82	237.663	20.5995	11.6194
MvSl-1064-A2-R4_A2g00195	3184	3120	45.4284	43.0196
MvSl-1064-A2-R4_A2g00196	1754	1315	39.818	49.3291
MvSl-1064-A2-R4_A2g00197	23.4101	27.5202	10.8257	9.05864
MvSl-1064-A2-R4_A2g00198	35.6128	42.6755	17.5523	14.3563
MvSl-1064-A2-R4_A2g00199	797.955	872.472	3.55374	3.01435
MvSl-1064-A2-R4_A2g00200	677.392	672.462	4.2168	3.93992
MvSl-1064-A2-R4_A2g00201	1962.98	1828.67	18.2451	18.1694
MvSl-1064-A2-R4_A2g00202	179.09	185.632	4.92343	4.41317
MvSl-1064-A2-R4_A2g00203	1793.51	1730.38	15.1607	14.577
MvSl-1064-A2-R4_A2g00204	319	228	4.42543	5.74702
MvSl-1064-A2-R4_A2g00205	17	22	0.709737	0.508599
MvSl-1064-A2-R4_A2g00206	28	28	2.03277	1.89325
MvSl-1064-A2-R4_A2g00207	1	2	0.303981	0.139741
MvSl-1064-A2-R4_A2g00208	23	45	0.749127	0.355337
MvSl-1064-A2-R4_A2g00209	213	364	5.21315	2.8307
MvSl-1064-A2-R4_A2g00210	5533	6240	27.5518	22.6576
MvSl-1064-A2-R4_A2g00211	0	2.18782	1.65388	0
MvSl-1064-A2-R4_A2g00212	186.916	207.333	18.2419	15.3327
MvSl-1064-A2-R4_A2g00213	297.372	300.173	7.60337	6.99361
MvSl-1064-A2-R4_A2g00214	131.135	95.9612	21.9383	28.2888
MvSl-1064-A2-R4_A2g00215	3533.91	4277.03	1682.46	1367.46
MvSl-1064-A2-R4_A2g00216	9567.62	9879.89	30.8355	27.6925
MvSl-1064-A2-R4_A2g00217	8.69288	25.635	0.133568	0.042009
MvSl-1064-A2-R4_A2g00218	89.494	124.413	0.604617	0.403374
MvSl-1064-A2-R4_A2g00219	110.158	204.304	2.4666	1.23396
MvSl-1064-A2-R4_A2g00220	0	31.6914	21.2803	0
MvSl-1064-A2-R4_A2g00221	9.65796	8.36555	2.36491	2.59021
MvSl-1064-A2-R4_A2g00222	59.5439	64.2184	2.72951	2.35002
MvSl-1064-A2-R4_A2g00223	9.12096	20.2362	0.400741	0.167655
MvSl-1064-A2-R4_A2g00224	45.3561	30.1535	14.2941	20.5941
MvSl-1064-A2-R4_A2g00225	55	58	43.845	40.5314
MvSl-1064-A2-R4_A2g00226	2107.17	2408.36	55.4249	45.0192
MvSl-1064-A2-R4_A2g00227	121.829	162.747	2.35932	1.63887
MvSl-1064-A2-R4_A2g00228	5	2	0.106702	0.248092
MvSl-1064-A2-R4_A2g00229	360.233	420.7	2.11313	1.67818
MvSl-1064-A2-R4_A2g00230	199	166	5.87179	6.52911
MvSl-1064-A2-R4_A2g00231	64.575	76.7882	19.2545	15.4424
MvSl-1064-A2-R4_A2g00232	16.0711	12.2728	2.3056	2.82116
MvSl-1064-A2-R4_A2g00233	0	5	0.286224	0
MvSl-1064-A2-R4_A2g00234	0	0	0	0
MvSl-1064-A2-R4_A2g00235	7639.58	7267.42	56.0978	54.7016
MvSl-1064-A2-R4_A2g00236	1837	2349.33	59.5082	43.2028
MvSl-1064-A2-R4_A2g00237	676.43	634.517	2.13522	2.111
MvSl-1064-A2-R4_A2g00238	3.5	8	2.89643	1.23488
MvSl-1064-A2-R4_A2g00239	3704	3419	45.5493	45.7875
MvSl-1064-A2-R4_A2g00240	921.17	1045	10.1399	8.29217
MvSl-1064-A2-R4_A2g00241	2256.23	2353.79	37.8929	33.7077
MvSl-1064-A2-R4_A2g00242	229.279	182.288	13.3331	15.6181
MvSl-1064-A2-R4_A2g00243	34.9618	18.4683	2.3423	4.10974
MvSl-1064-A2-R4_A2g00244	88.65	76.8838	10.8791	11.5378
MvSl-1064-A2-R4_A2g00245	40.5	42.5	24.1355	22.5223
MvSl-1064-A2-R4_A2g00246	2503.5	2396.71	30.5339	29.5934
MvSl-1064-A2-R4_A2g00247	1.22964	6.54601	0.0385724	0.0067205
MvSl-1064-A2-R4_A2g00248	14.5984	13.712	0.0640867	0.0632802
MvSl-1064-A2-R4_A2g00249	0	0	0	0
MvSl-1064-A2-R4_A2g00250	129.525	170.924	1.31328	0.923142
MvSl-1064-A2-R4_A2g00251	82.6714	147.526	0.46988	0.244195
MvSl-1064-A2-R4_A2g00252	30.1186	34.2593	1.20195	0.980223
MvSl-1064-A2-R4_A2g00253	139.589	231.376	3.40474	1.90607
MvSl-1064-A2-R4_A2g00254	5414.95	3700.92	56.357	76.5191
MvSl-1064-A2-R4_A2g00255	1.28495	1.24792	0.160682	0.153359
MvSl-1064-A2-R4_A2g00256	42.5175	33.1445	1.1653	1.38654
MvSl-1064-A2-R4_A2g00257	0	1.06569	0.126725	0
MvSl-1064-A2-R4_A2g00258	147.918	157.76	81.6718	74.2414
MvSl-1064-A2-R4_A2g00259	1.23442	0	0	0.0243778
MvSl-1064-A2-R4_A2g00260	1.02665	0	0	0.0739148
MvSl-1064-A2-R4_A2g00261	3.72202	4.67375	0.0434714	0.0321157
MvSl-1064-A2-R4_A2g00262	0	0	0	0
MvSl-1064-A2-R4_A2g00263	35.0071	47.1974	0.728736	0.501591
MvSl-1064-A2-R4_A2g00264	301.113	403.334	0.77386	0.535747
MvSl-1064-A2-R4_A2g00265	25.7329	27.3255	0.297081	0.259557
MvSl-1064-A2-R4_A2g00266	1317.33	2098.2	550.126	330.468
MvSl-1064-A2-R4_A2g00267	5	5	0.351462	0.327384
MvSl-1064-A2-R4_A2g00268	2	1.00069	0.0105816	0.0196206
MvSl-1064-A2-R4_A2g00269	41.0954	92.9664	0.477649	0.195831
MvSl-1064-A2-R4_A2g00270	0	0	0	0
MvSl-1064-A2-R4_A2g00271	22.5041	67.2811	2.49807	0.774542
MvSl-1064-A2-R4_A2g00272	63.6278	106.014	0.304653	0.169568
MvSl-1064-A2-R4_A2g00273	289.237	327.643	4.03488	3.30486
MvSl-1064-A2-R4_A2g00274	0	0	0	0
MvSl-1064-A2-R4_A2g00275	0	3.75778	0.871863	0
MvSl-1064-A2-R4_A2g00276	3	3.00485	0.158539	0.147143
MvSl-1064-A2-R4_A2g00277	15.8599	45.2694	0.20192	0.065609
MvSl-1064-A2-R4_A2g00278	60	85	0.504622	0.330386
MvSl-1064-A2-R4_A2g00279	7	14	0.229157	0.106333
MvSl-1064-A2-R4_A2g00280	22.5973	32.5272	0.12904	0.0831403
MvSl-1064-A2-R4_A2g00281	1.36348	8.25855	2.62567	0.421723
MvSl-1064-A2-R4_A2g00282	291.43	316.333	63.5397	54.9919
MvSl-1064-A2-R4_A2g00283	1240.72	775.68	15.8524	23.5365
MvSl-1064-A2-R4_A2g00284	33.2557	32.9055	5.87542	5.54151
MvSl-1064-A2-R4_A2g00285	0	0	0	0
MvSl-1064-A2-R4_A2g00286	53.3962	76.2607	0.296725	0.192682
MvSl-1064-A2-R4_A2g00287	0	1	0.0812463	0
MvSl-1064-A2-R4_A2g00288	34.0689	80.6824	0.509978	0.199739
MvSl-1064-A2-R4_A2g00289	1	1	0.335232	0.328184
MvSl-1064-A2-R4_A2g00290	3270	3329	19.174	17.4689
MvSl-1064-A2-R4_A2g00291	472	622	322.008	236.902
MvSl-1064-A2-R4_A2g00292	28.8654	54.9497	4.76278	2.33208
MvSl-1064-A2-R4_A2g00293	19.0898	17.3362	0.169506	0.173158
MvSl-1064-A2-R4_A2g00294	198.454	271.623	4.12489	2.79667
MvSl-1064-A2-R4_A2g00295	198.302	186.246	9.46935	9.37831
MvSl-1064-A2-R4_A2g00296	334.94	479.723	6.55403	4.24605
MvSl-1064-A2-R4_A2g00297	3429.32	4160.12	21.7921	16.6613
MvSl-1064-A2-R4_A2g00298	1287	919	12.9167	16.7851
MvSl-1064-A2-R4_A2g00299	3524.07	3549.65	12.7648	11.7529
MvSl-1064-A2-R4_A2g00300	207	291	2.28447	1.50741
MvSl-1064-A2-R4_A2g00301	9157	6461	63.8113	83.9006
MvSl-1064-A2-R4_A2g00302	5	7	5.65917	3.8171
MvSl-1064-A2-R4_A2g00303	1684	2114	8.60648	6.35835
MvSl-1064-A2-R4_A2g00304	5827	5245	18.5364	19.0982
MvSl-1064-A2-R4_A2g00305	0	0	0	0
MvSl-1064-A2-R4_A2g00306	833.457	808.277	14.7735	14.1388
MvSl-1064-A2-R4_A2g00307	78.1537	111.153	23.0585	15.2383
MvSl-1064-A2-R4_A2g00308	713.719	690.908	17.6351	16.9144
MvSl-1064-A2-R4_A2g00309	5.19321	5.2481	1.61159	1.5228
MvSl-1064-A2-R4_A2g00310	9.41674	8.61558	1.4295	1.45268
MvSl-1064-A2-R4_A2g00311	510.492	511.909	9.35652	8.65999
MvSl-1064-A2-R4_A2g00312	504.408	495.869	48.3131	45.8252
MvSl-1064-A2-R4_A2g00313	363.133	548.375	5.04684	3.10031
MvSl-1064-A2-R4_A2g00314	2318	2372	26.1999	23.7541
MvSl-1064-A2-R4_A2g00315	6955	5854	115.652	127.537
MvSl-1064-A2-R4_A2g00316	1941.71	1820.53	32.1774	31.8515
MvSl-1064-A2-R4_A2g00317	1	2	0.0900948	0.0418464
MvSl-1064-A2-R4_A2g00318	8	34	0.406938	0.0888386
MvSl-1064-A2-R4_A2g00319	251.596	525.956	2.03691	0.903657
MvSl-1064-A2-R4_A2g00320	3.34904	5.51489	0.4211	0.238435
MvSl-1064-A2-R4_A2g00321	177.744	117.826	1.18269	1.65516
MvSl-1064-A2-R4_A2g00322	14.1981	56.103	0.21896	0.0513908
MvSl-1064-A2-R4_A2g00323	3687.06	4111.97	11.0446	9.18397
MvSl-1064-A2-R4_A2g00324	8163	7052.15	26.532	28.4821
MvSl-1064-A2-R4_A2g00325	3520.61	3318.09	22.7476	22.3878
MvSl-1064-A2-R4_A2g00326	375.622	546.677	2.2083	1.40721
MvSl-1064-A2-R4_A2g00327	841.457	754.817	8.35955	8.64598
MvSl-1064-A2-R4_A2g00328	710	693	4.29852	4.08483
MvSl-1064-A2-R4_A2g00329	6722	7383	33.896	28.6225
MvSl-1064-A2-R4_A2g00330	1356.45	2200.03	45.9798	26.3152
MvSl-1064-A2-R4_A2g00331	609.549	1143.97	42.1956	20.8438
MvSl-1064-A2-R4_A2g00332	30.0236	51.4845	6.91347	3.72152
MvSl-1064-A2-R4_A2g00333	76	83	7.81348	6.66948
MvSl-1064-A2-R4_A2g00334	130	166	8.53663	6.2207
MvSl-1064-A2-R4_A2g00335	30	44.0017	0.429722	0.271801
MvSl-1064-A2-R4_A2g00336	346.643	637.898	2.21898	1.11829
MvSl-1064-A2-R4_A2g00337	0	5.2871	0.0489024	0
MvSl-1064-A2-R4_A2g00338	4	8.62578	2.81997	1.2651
MvSl-1064-A2-R4_A2g00339	2598.5	3105.43	15.0126	11.6508
MvSl-1064-A2-R4_A2g00340	2799.8	2900.88	168.704	151.287
MvSl-1064-A2-R4_A2g00341	13	16.1729	1.15721	0.86664
MvSl-1064-A2-R4_A2g00342	36	52	37.2071	24.0102
MvSl-1064-A2-R4_A2g00343	708.189	642.109	21.911	22.4126
MvSl-1064-A2-R4_A2g00344	315.761	273.981	32.2836	34.5016
MvSl-1064-A2-R4_A2g00345	434.019	488.702	94.1333	78.4583
MvSl-1064-A2-R4_A2g00346	328.838	370.378	17.2029	14.1892
MvSl-1064-A2-R4_A2g00347	0	2.07279	0.585968	0
MvSl-1064-A2-R4_A2g00348	3.16237	13.3207	6.68821	1.5431
MvSl-1064-A2-R4_A2g00349	216.609	216.67	5.33369	4.95058
MvSl-1064-A2-R4_A2g00350	16.1484	17.4741	4.63702	4.09361
MvSl-1064-A2-R4_A2g00351	11202	8606	61.434	74.1744
MvSl-1064-A2-R4_A2g00352	1196.33	1425.9	98.1257	76.6284
MvSl-1064-A2-R4_A2g00353	977.036	1272.37	4.51397	3.21459
MvSl-1064-A2-R4_A2g00354	7.21964	0	0	3.11154
MvSl-1064-A2-R4_A2g00355	1786.01	2414.08	14.4038	9.88402
MvSl-1064-A2-R4_A2g00356	1967.42	2599.23	18.8379	13.2264
MvSl-1064-A2-R4_A2g00357	330.872	307.729	3.52319	3.51461
MvSl-1064-A2-R4_A2g00358	1093.75	1170.28	9.13106	7.91622
MvSl-1064-A2-R4_A2g00359	2158.28	3571.52	51.821	29.0589
MvSl-1064-A2-R4_A2g00360	1	12	5.40662	0.437281
MvSl-1064-A2-R4_A2g00361	12	20	1.54951	0.86724
MvSl-1064-A2-R4_A2g00362	8	17	1.64232	0.720683
MvSl-1064-A2-R4_A2g00363	195.433	302.197	1.91377	1.14797
MvSl-1064-A2-R4_A2g00364	24.5993	13.7906	0.227523	0.376645
MvSl-1064-A2-R4_A2g00365	477	442	4.30646	4.31149
MvSl-1064-A2-R4_A2g00366	266	247	5.1044	5.10258
MvSl-1064-A2-R4_A2g00367	2003	1869	7.47528	7.42983
MvSl-1064-A2-R4_A2g00368	5038	5123	18.6243	16.9858
MvSl-1064-A2-R4_A2g00369	4000	2290	37.154	60.2268
MvSl-1064-A2-R4_A2g00370	293	475	2.96961	1.69904
MvSl-1064-A2-R4_A2g00371	6823	4213	229.261	345.233
MvSl-1064-A2-R4_A2g00372	5895	5101	110.936	119.011
MvSl-1064-A2-R4_A2g00373	13479	10591	438.924	518.063
MvSl-1064-A2-R4_A2g00374	4211	3589	62.3075	67.8481
MvSl-1064-A2-R4_A2g00375	5745	5771	21.7464	20.0771
MvSl-1064-A2-R4_A2g00376	1940	1466	71.7983	88.296
MvSl-1064-A2-R4_A2g00377	2	3	1.35165	0.874562
MvSl-1064-A2-R4_A2g00378	3	3	0.60259	0.56609
MvSl-1064-A2-R4_A2g00379	2847	2764	22.5957	21.5899
MvSl-1064-A2-R4_A2g00380	721	745	11.5244	10.3499
MvSl-1064-A2-R4_A2g00381	3237.82	3255.3	13.1754	12.1536
MvSl-1064-A2-R4_A2g00382	499.745	496.648	4.69567	4.38331
MvSl-1064-A2-R4_A2g00383	502	540	10.2069	8.80695
