gida1	youngold	logFC.A1.A2	abs	DE	DE2	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff	youngold	logFC.A1.A2	ratioprot	DE	DE2	ratiocds
MvSl-1064-A1-R4_A1g00040	bPAR	0.21168993	0.21168993	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.21168993	1	NON	NON	1
MvSl-1064-A1-R4_A1g00046	bPAR	-0.167998149	0.167998149	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.167998149	1	NON	NON	1
MvSl-1064-A1-R4_A1g00047	bPAR	-0.106373771	0.106373771	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.106373771	1	NON	NON	1
MvSl-1064-A1-R4_A1g00048	bPAR	-0.003773033	0.003773033	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.003773033	1	NON	NON	1
MvSl-1064-A1-R4_A1g00049	bPAR	-0.011328206	0.011328206	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.011328206	1	NON	NON	1
MvSl-1064-A1-R4_A1g00050	bPAR	0.307636601	0.307636601	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.307636601	1	NON	NON	1
MvSl-1064-A1-R4_A1g00051	bPAR	-0.521803825	0.521803825	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.521803825	1	NON	NON	1
MvSl-1064-A1-R4_A1g00052	bPAR	0.234775283	0.234775283	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.234775283	1	NON	NON	1
MvSl-1064-A1-R4_A1g00053	bPAR	-0.082958764	0.082958764	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.082958764	1	NON	NON	1
MvSl-1064-A1-R4_A1g00054	bPAR	0.266858021	0.266858021	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.266858021	1	NON	NON	1
MvSl-1064-A1-R4_A1g00055	bPAR	0.465758998	0.465758998	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.465758998	1	NON	NON	1
MvSl-1064-A1-R4_A1g00056	bPAR	-0.137229584	0.137229584	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.137229584	1	NON	NON	1
MvSl-1064-A1-R4_A1g00057	bPAR	0.055084542	0.055084542	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.055084542	1	NON	NON	1
MvSl-1064-A1-R4_A1g00061	bPAR	-0.161410321	0.161410321	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.161410321	1	NON	NON	1
MvSl-1064-A1-R4_A1g00062	bPAR	0.158931977	0.158931977	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.158931977	1	NON	NON	1
MvSl-1064-A1-R4_A1g00063	bPAR	-0.061888586	0.061888586	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.061888586	1	NON	NON	1
MvSl-1064-A1-R4_A1g00064	bPAR	0.176179425	0.176179425	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.176179425	1	NON	NON	1
MvSl-1064-A1-R4_A1g00065	bPAR	-0.25401122	0.25401122	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.25401122	1	NON	NON	1
MvSl-1064-A1-R4_A1g00066	bPAR	-0.017148952	0.017148952	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.017148952	1	NON	NON	1
MvSl-1064-A1-R4_A1g00067	bPAR	0.22606909	0.22606909	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.22606909	1	NON	NON	1
MvSl-1064-A1-R4_A1g00068	bPAR	0.417722847	0.417722847	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.417722847	1	NON	NON	1
MvSl-1064-A1-R4_A1g00069	bPAR	0.262994688	0.262994688	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.262994688	1	NON	NON	1
MvSl-1064-A1-R4_A1g00070	bPAR	-0.335137523	0.335137523	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.335137523	1	NON	NON	1
MvSl-1064-A1-R4_A1g00072	bPAR	-0.10139453	0.10139453	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.10139453	1	NON	NON	1
MvSl-1064-A1-R4_A1g00074	bPAR	-0.556269443	0.556269443	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.556269443	1	NON	NON	1
MvSl-1064-A1-R4_A1g00076	bPAR	0.045865339	0.045865339	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	0.045865339	1	NON	NON	1
MvSl-1064-A1-R4_A1g00077	bPAR	-0.046850616	0.046850616	NON	NON	0	0	0	0	0	0	0	0	0	bPAR	-0.046850616	1	NON	NON	1
MvSl-1064-A1-R4_A1g00109	ColorStrata	-0.144342568	0.144342568	NON	NON	0	0	0	0	1	0	0	0	0	ColorStrata	-0.144342568	0.983193277	NON	NON	1.017021277
MvSl-1064-A1-R4_A1g00110	ColorStrata	0.241287933	0.241287933	NON	NON	0	0	0	0	1	0	0	0	0	ColorStrata	0.241287933	1	NON	NON	1
MvSl-1064-A1-R4_A1g00113	ColorStrata	-0.075035752	0.075035752	NON	NON	0	0	0	0	0	0	0	0	0	ColorStrata	-0.075035752	1	NON	NON	1
MvSl-1064-A1-R4_A1g00144	OldStrata	-0.412659961	0.412659961	NON	NON	0	6	-1	1	3	1	0	-1	-1	OldStrata	-0.412659961	1.01910828	NON	NON	0.98136646
MvSl-1064-A1-R4_A1g00153	OldStrata	-0.269881931	0.269881931	NON	NON	0	-4	0	0	0	0	0	-1	0	OldStrata	-0.269881931	1.025392084	NON	NON	0.975254731
MvSl-1064-A1-R4_A1g00155	OldStrata	0.426648292	0.426648292	NON	NON	0	0	-2	-2	-1	0	-1	0	0	OldStrata	0.426648292	1	NON	NON	1
MvSl-1064-A1-R4_A1g00175	OldStrata	0.199201769	0.199201769	NON	NON	0	0	1	0	-1	2	2	0	-3	OldStrata	0.199201769	0.760714286	NON	NON	1.3140625
MvSl-1064-A1-R4_A1g00184	OldStrata	0.164107121	0.164107121	NON	NON	0	-3	2	1	3	-1	-1	-1	0	OldStrata	0.164107121	1	NON	NON	1
MvSl-1064-A1-R4_A1g00185	OldStrata	0.416321973	0.416321973	NON	NON	0	-2	1	2	0	-2	-1	0	3	OldStrata	0.416321973	1	NON	NON	1
MvSl-1064-A1-R4_A1g00186	OldStrata	0.055420035	0.055420035	NON	NON	0	0	-2	1	2	-2	-1	2	1	OldStrata	0.055420035	1	NON	NON	1
MvSl-1064-A1-R4_A1g00193	OldStrata	-0.688650635	0.688650635	NON	NON	1	0	-2	0	0	2	2	0	1	OldStrata	-0.688650635	1.101415094	NON	NON	1.101176471
MvSl-1064-A1-R4_A1g00211	OldStrata	0.185227777	0.185227777	NON	NON	3	-5	2	0	1	-2	-2	1	1	OldStrata	0.185227777	1	NON	NON	1
MvSl-1064-A1-R4_A1g00241	OldStrata	0.569678864	0.569678864	NON	NON	0	2	4	0	-2	0	2	0	-2	OldStrata	0.569678864	1.011695906	NON	NON	1.011661808
MvSl-1064-A1-R4_A1g00245	OldStrata	-0.790101844	0.790101844	NON	NON	0	0	3	1	1	2	0	0	2	OldStrata	-0.790101844	1	NON	NON	1
MvSl-1064-A1-R4_A1g00280	OldStrata	0.227539771	0.227539771	NON	NON	0	0	0	1	0	0	-1	0	0	OldStrata	0.227539771	1	NON	NON	1
MvSl-1064-A1-R4_A1g00281	OldStrata	0.0839626	0.0839626	NON	NON	0	0	-1	0	2	1	0	-1	0	OldStrata	0.0839626	0.973564955	NON	NON	1.027131783
MvSl-1064-A1-R4_A1g00290	OldStrata	0.178481473	0.178481473	NON	NON	0	0	-1	-1	0	1	0	1	0	OldStrata	0.178481473	1	NON	NON	1
MvSl-1064-A1-R4_A1g00311	OldStrata	0.053430623	0.053430623	NON	NON	0	-4	-2	-2	0	0	5	0	2	OldStrata	0.053430623	0.998665777	NON	NON	1.001335113
MvSl-1064-A1-R4_A1g00327	OldStrata	-0.087017264	0.087017264	NON	NON	0	7	0	-1	3	1	-4	-1	0	OldStrata	-0.087017264	1.038647343	NON	NON	1.038461538
MvSl-1064-A1-R4_A1g00328	OldStrata	-0.093060328	0.093060328	NON	NON	0	0	7	0	0	1	0	1	0	OldStrata	-0.093060328	1.52	NON	NON	1.517045455
MvSl-1064-A1-R4_A1g00351	OldStrata	0.198779887	0.198779887	NON	NON	0	0	0	-1	0	2	1	4	-1	OldStrata	0.198779887	0.999230769	NON	NON	0.99923136
MvSl-1064-A1-R4_A1g00352	OldStrata	0.141113881	0.141113881	NON	NON	0	0	0	-1	0	4	-1	4	0	OldStrata	0.141113881	1.043650794	NON	NON	1.043478261
MvSl-1064-A1-R4_A1g00359	OldStrata	-0.246336768	0.246336768	NON	NON	0	1	3	0	4	3	0	0	-2	OldStrata	-0.246336768	1	NON	NON	1
MvSl-1064-A1-R4_A1g00367	ColorStrata	-0.553218188	0.553218188	NON	NON	0	0	2	1	2	0	0	0	0	ColorStrata	-0.553218188	1	NON	NON	1
MvSl-1064-A1-R4_A1g00368	ColorStrata	-0.043565528	0.043565528	NON	NON	0	0	0	2	1	0	0	0	-1	ColorStrata	-0.043565528	1	NON	NON	1
MvSl-1064-A1-R4_A1g00369	ColorStrata	-0.086462896	0.086462896	NON	NON	0	0	0	2	1	0	0	0	-2	ColorStrata	-0.086462896	1	NON	NON	1
MvSl-1064-A1-R4_A1g00371	ColorStrata	-0.196176703	0.196176703	NON	NON	0	0	0	0	2	0	-1	-1	-1	ColorStrata	-0.196176703	0.990359334	NON	NON	0.990367776
MvSl-1064-A1-R4_A1g00372	ColorStrata	0.168740362	0.168740362	NON	NON	0	0	0	0	0	0	-2	-1	-3	ColorStrata	0.168740362	1.002285714	NON	NON	1.002283105
MvSl-1064-A1-R4_A1g00373	ColorStrata	0.312102415	0.312102415	NON	NON	0	0	0	0	0	-1	-1	-1	-3	ColorStrata	0.312102415	1	NON	NON	1
MvSl-1064-A1-R4_A1g00374	ColorStrata	0.129086183	0.129086183	NON	NON	0	0	0	0	0	-2	-1	0	-3	ColorStrata	0.129086183	1	NON	NON	1
MvSl-1064-A1-R4_A1g00380	ColorStrata	-0.537209791	0.537209791	NON	NON	0	0	0	0	-1	-1	-2	-2	0	ColorStrata	-0.537209791	1	NON	NON	1
MvSl-1064-A1-R4_A1g00389	ColorStrata	-0.203418508	0.203418508	NON	NON	0	-1	0	0	0	0	0	-1	-1	ColorStrata	-0.203418508	1.283333333	NON	NON	1.282392027
MvSl-1064-A1-R4_A1g00390	ColorStrata	-0.022069907	0.022069907	NON	NON	0	0	0	0	0	-1	0	0	0	ColorStrata	-0.022069907	1	NON	NON	1
MvSl-1064-A1-R4_A1g00391	ColorStrata	0.070339113	0.070339113	NON	NON	0	0	0	0	0	0	-1	0	0	ColorStrata	0.070339113	1.047619048	NON	NON	0.954619125
MvSl-1064-A1-R4_A1g00394	ColorStrata	-0.006944094	0.006944094	NON	NON	0	0	0	0	0	0	0	-1	0	ColorStrata	-0.006944094	1	NON	NON	1
MvSl-1064-A1-R4_A1g00395	ColorStrata	-0.269694111	0.269694111	NON	NON	0	0	0	0	0	0	0	-1	0	ColorStrata	-0.269694111	1	NON	NON	1
MvSl-1064-A1-R4_A1g00396	ColorStrata	-0.169013158	0.169013158	NON	NON	0	0	0	0	0	0	0	0	-1	ColorStrata	-0.169013158	1	NON	NON	1
MvSl-1064-A1-R4_A1g00397	ColorStrata	-0.117032966	0.117032966	NON	NON	0	0	0	0	0	0	0	0	-1	ColorStrata	-0.117032966	1	NON	NON	1
MvSl-1064-A1-R4_A1g00398	ColorStrata	-0.147374413	0.147374413	NON	NON	0	0	0	0	0	0	0	0	-1	ColorStrata	-0.147374413	1	NON	NON	1
MvSl-1064-A1-R4_A1g00399	ColorStrata	0.030493513	0.030493513	NON	NON	0	0	0	0	0	0	0	0	0	ColorStrata	0.030493513	1	NON	NON	1
MvSl-1064-A1-R4_A1g00401	ColorStrata	-0.351049332	0.351049332	NON	NON	0	0	0	0	-1	0	0	0	3	ColorStrata	-0.351049332	0.996978852	NON	NON	1.003021148
MvSl-1064-A1-R4_A1g00402	ColorStrata	-0.139682704	0.139682704	NON	NON	0	0	0	-1	-4	0	0	3	3	ColorStrata	-0.139682704	1.019607843	NON	NON	0.98078155
MvSl-1064-A1-R4_A1g00403	ColorStrata	-0.474930026	0.474930026	NON	NON	0	0	-1	-4	-2	0	3	3	0	ColorStrata	-0.474930026	1	NON	NON	1
MvSl-1064-A1-R4_A1g00404	ColorStrata	0.367701232	0.367701232	NON	NON	0	0	-5	-1	-1	0	4	2	0	ColorStrata	0.367701232	0.992481203	NON	NON	1.00754717
MvSl-1064-A1-R4_A1g00405	ColorStrata	-0.551722285	0.551722285	NON	NON	0	-1	-4	-2	-1	3	1	2	0	ColorStrata	-0.551722285	1	NON	NON	1
MvSl-1064-A1-R4_A1g00406	ColorStrata	0.247766304	0.247766304	NON	NON	0	-1	-1	0	-4	3	3	0	0	ColorStrata	0.247766304	1	NON	NON	1
MvSl-1064-A1-R4_A1g00432	OldStrata	-0.146821821	0.146821821	NON	NON	0	1	2	-1	0	0	1	1	0	OldStrata	-0.146821821	1	NON	NON	1
MvSl-1064-A1-R4_A1g00433	OldStrata	-0.345609102	0.345609102	NON	NON	0	0	1	1	0	1	1	0	1	OldStrata	-0.345609102	1	NON	NON	1
MvSl-1064-A1-R4_A1g00441	OldStrata	-0.202459721	0.202459721	NON	NON	0	2	-1	0	1	0	1	-2	1	OldStrata	-0.202459721	1	NON	NON	1
MvSl-1064-A1-R4_A1g00478	OldStrata	-0.180090396	0.180090396	NON	NON	0	-2	4	0	0	1	1	2	4	OldStrata	-0.180090396	1.01894452	NON	NON	0.981432361
MvSl-1064-A1-R4_A1g00503	OldStrata	0.312841444	0.312841444	NON	NON	0	4	0	0	1	0	0	0	0	OldStrata	0.312841444	1	NON	NON	1
MvSl-1064-A1-R4_A1g00504	OldStrata	-0.03748053	0.03748053	NON	NON	0	4	0	-1	1	0	0	0	0	OldStrata	-0.03748053	1	NON	NON	1
MvSl-1064-A1-R4_A1g00505	OldStrata	-0.144290177	0.144290177	NON	NON	0	0	4	0	0	0	0	0	0	OldStrata	-0.144290177	1.048677249	NON	NON	1.048625793
MvSl-1064-A1-R4_A1g00506	OldStrata	-0.015811423	0.015811423	NON	NON	0	0	0	4	-1	0	0	0	0	OldStrata	-0.015811423	1	NON	NON	1
MvSl-1064-A1-R4_A1g00507	OldStrata	0.015950984	0.015950984	NON	NON	0	0	0	4	0	0	0	0	0	OldStrata	0.015950984	1.085205267	NON	NON	1.085139319
MvSl-1064-A1-R4_A1g00511	OldStrata	-0.09768498	0.09768498	NON	NON	0	0	0	0	0	-2	0	0	-1	OldStrata	-0.09768498	1	NON	NON	1
MvSl-1064-A1-R4_A1g00512	OldStrata	0.047038026	0.047038026	NON	NON	0	0	0	0	0	-2	0	0	-3	OldStrata	0.047038026	1	NON	NON	1
MvSl-1064-A1-R4_A1g00513	OldStrata	-0.036290579	0.036290579	NON	NON	0	0	0	0	0	-2	0	-1	-2	OldStrata	-0.036290579	1.023131673	NON	NON	0.977430556
MvSl-1064-A1-R4_A1g00514	OldStrata	-0.1411675	0.1411675	NON	NON	0	-11	-11	-2	-2	0	-2	0	0	OldStrata	-0.1411675	0.988549618	NON	NON	0.988556898
MvSl-1064-A1-R4_A1g00515	OldStrata	-0.639906605	0.639906605	NON	NON	-3	-12	-1	-2	0	-8	0	-1	-1	OldStrata	-0.639906605	1.000963391	NON	NON	1.000962464
MvSl-1064-A1-R4_A1g00517	OldStrata	0.385115618	0.385115618	NON	NON	0	0	-4	-3	0	0	0	0	0	OldStrata	0.385115618	1	NON	NON	1
MvSl-1064-A1-R4_A1g00518	OldStrata	-0.22566182	0.22566182	NON	NON	0	0	-4	-2	-1	0	0	0	1	OldStrata	-0.22566182	1	NON	NON	1
MvSl-1064-A1-R4_A1g00519	OldStrata	-0.326955786	0.326955786	NON	NON	0	0	0	0	-4	0	0	0	1	OldStrata	-0.326955786	1	NON	NON	1
MvSl-1064-A1-R4_A1g00520	OldStrata	-0.207815574	0.207815574	NON	NON	0	0	0	0	-3	0	0	1	0	OldStrata	-0.207815574	1	NON	NON	1
MvSl-1064-A1-R4_A1g00521	OldStrata	-0.291387191	0.291387191	NON	NON	0	0	0	0	0	0	0	1	0	OldStrata	-0.291387191	1.001127396	NON	NON	1.001126126
MvSl-1064-A1-R4_A1g00525	OldStrata	-0.425729346	0.425729346	NON	NON	0	-2	0	0	0	-2	1	-3	0	OldStrata	-0.425729346	1.023952096	NON	NON	1.023880597
MvSl-1064-A1-R4_A1g00528	OldStrata	0.697456225	0.697456225	NON	NON	1	-1	0	-1	0	-1	-1	-2	-1	OldStrata	0.697456225	1	NON	NON	1
MvSl-1064-A1-R4_A1g00530	OldStrata	-0.003825303	0.003825303	NON	NON	0	-2	0	0	0	0	0	-1	-1	OldStrata	-0.003825303	1.001152074	NON	NON	1.001150748
MvSl-1064-A1-R4_A1g00532	OldStrata	-0.183549618	0.183549618	NON	NON	0	1	0	0	0	0	-1	0	0	OldStrata	-0.183549618	1	NON	NON	1
MvSl-1064-A1-R4_A1g00533	OldStrata	-0.112005668	0.112005668	NON	NON	0	1	0	-1	-4	0	0	0	0	OldStrata	-0.112005668	1.035830619	NON	NON	0.965517241
MvSl-1064-A1-R4_A1g00534	OldStrata	-0.344806798	0.344806798	NON	NON	0	0	1	0	-4	0	0	0	0	OldStrata	-0.344806798	1	NON	NON	1
MvSl-1064-A1-R4_A1g00541	OldStrata	-0.102715119	0.102715119	NON	NON	0	0	0	0	0	0	0	0	1	OldStrata	-0.102715119	0.999020568	NON	NON	0.999021047
MvSl-1064-A1-R4_A1g00543	OldStrata	0.054014046	0.054014046	NON	NON	0	0	0	0	0	0	0	2	0	OldStrata	0.054014046	1	NON	NON	1
MvSl-1064-A1-R4_A1g00544	OldStrata	0.079283405	0.079283405	NON	NON	0	0	0	0	0	0	1	0	2	OldStrata	0.079283405	1.103448276	NON	NON	0.906396256
MvSl-1064-A1-R4_A1g00575	OldStrata	-0.417508294	0.417508294	NON	NON	0	2	-1	2	-1	-4	2	0	1	OldStrata	-0.417508294	1.003027245	NON	NON	0.996984925
MvSl-1064-A1-R4_A1g00593	OldStrata	0.034237888	0.034237888	NON	NON	0	1	2	0	-7	1	-1	-3	0	OldStrata	0.034237888	1	NON	NON	1
MvSl-1064-A1-R4_A1g00645	OldStrata	0.00278244	0.00278244	NON	NON	0	-1	0	-1	0	0	0	1	-2	OldStrata	0.00278244	0.996437055	NON	NON	1.003571429
MvSl-1064-A1-R4_A1g00647	OldStrata	-0.06376242	0.06376242	NON	NON	0	-2	0	0	0	-1	2	-1	0	OldStrata	-0.06376242	1.271111111	NON	NON	0.787456446
MvSl-1064-A1-R4_A1g00669	ColorStrata	-0.013902852	0.013902852	NON	NON	0	-1	-3	1	0	0	-1	0	0	ColorStrata	-0.013902852	1.019690577	NON	NON	0.980716253
MvSl-1064-A1-R4_A1g00693	OldStrata	-0.01304676	0.01304676	NON	NON	0	2	-2	0	0	-1	4	0	0	OldStrata	-0.01304676	1	NON	NON	1
MvSl-1064-A1-R4_A1g00694	OldStrata	0.19734445	0.19734445	NON	NON	0	0	0	0	0	3	0	0	0	OldStrata	0.19734445	1.00128041	NON	NON	1.001278772
MvSl-1064-A1-R4_A1g00726	OldStrata	-0.323750225	0.323750225	NON	NON	1	6	0	0	2	1	-2	1	0	OldStrata	-0.323750225	0.966666667	NON	NON	0.966789668
MvSl-1064-A1-R4_A1g00749	OldStrata	-0.432980787	0.432980787	NON	NON	0	1	0	1	0	0	0	1	0	OldStrata	-0.432980787	1.005405405	NON	NON	1.00540054
MvSl-1064-A1-R4_A1g00750	OldStrata	0.014269393	0.014269393	NON	NON	0	0	3	0	-3	0	0	0	0	OldStrata	0.014269393	1	NON	NON	1
MvSl-1064-A1-R4_A1g00751	OldStrata	-0.32701583	0.32701583	NON	NON	0	0	-2	1	0	2	0	-2	0	OldStrata	-0.32701583	0.998971193	NON	NON	0.998972251
MvSl-1064-A1-R4_A1g00772	OldStrata	-0.447897559	0.447897559	NON	NON	0	0	0	1	3	0	0	2	-2	OldStrata	-0.447897559	1.049562682	NON	NON	1.049418605
MvSl-1064-A1-R4_A1g00778	OldStrata	0.389977485	0.389977485	NON	NON	0	-3	-3	1	-4	0	1	-1	-1	OldStrata	0.389977485	0.99879081	NON	NON	1.00120919
MvSl-1064-A1-R4_A1g00794	OldStrata	0.026871625	0.026871625	NON	NON	0	5	0	0	-4	2	-4	-1	0	OldStrata	0.026871625	1	NON	NON	1
MvSl-1064-A1-R4_A1g00801	OldStrata	-0.032184551	0.032184551	NON	NON	0	-6	1	0	5	0	1	0	-2	OldStrata	-0.032184551	1	NON	NON	1
MvSl-1064-A1-R4_A1g00832	OldStrata	0.093408117	0.093408117	NON	NON	-1	0	0	4	-2	-1	1	0	0	OldStrata	0.093408117	1.006369427	NON	NON	1.006361323
MvSl-1064-A1-R4_A1g00840	OldStrata	0.269924924	0.269924924	NON	NON	0	-5	0	-3	0	0	-1	1	1	OldStrata	0.269924924	0.968013468	NON	NON	0.968067227
MvSl-1064-A1-R4_A1g00842	OldStrata	-0.32013805	0.32013805	NON	NON	0	-2	0	-1	0	0	0	-3	3	OldStrata	-0.32013805	0.897880539	NON	NON	1.113490364
MvSl-1064-A1-R4_A1g00843	OldStrata	-0.541148688	0.541148688	NON	NON	0	0	-2	-2	1	0	0	-2	2	OldStrata	-0.541148688	1.084795322	NON	NON	0.922043011
MvSl-1064-A1-R4_A1g00845	OldStrata	0.042076431	0.042076431	NON	NON	0	0	0	0	0	1	0	0	2	OldStrata	0.042076431	0.979193758	NON	NON	0.979207277
MvSl-1064-A1-R4_A1g00869	OldStrata	-0.780523068	0.780523068	NON	NON	0	3	4	-1	-2	3	0	-1	-3	OldStrata	-0.780523068	1	NON	NON	1
MvSl-1064-A1-R4_A1g00911	OldStrata	-0.242165576	0.242165576	NON	NON	0	3	1	0	-5	0	-4	1	0	OldStrata	-0.242165576	1	NON	NON	1
MvSl-1064-A1-R4_A1g00912	OldStrata	-0.203998749	0.203998749	NON	NON	0	3	0	1	-6	0	0	-2	-1	OldStrata	-0.203998749	1	NON	NON	1
MvSl-1064-A1-R4_A1g00913	OldStrata	-0.556748515	0.556748515	NON	NON	-1	-2	3	-2	1	1	0	0	0	OldStrata	-0.556748515	1.332251082	NON	NON	1.331891892
MvSl-1064-A1-R4_A1g00920	OldStrata	-0.976671928	0.976671928	NON	NON	0	0	1	-1	0	0	-4	-1	0	OldStrata	-0.976671928	0.817679558	NON	NON	1.222836096
MvSl-1064-A1-R4_A1g00921	OldStrata	0.145781482	0.145781482	NON	NON	0	0	0	1	-1	-2	-3	0	2	OldStrata	0.145781482	1.003636364	NON	NON	0.996383363
MvSl-1064-A1-R4_A1g00957	OldStrata	0.390662934	0.390662934	NON	NON	0	1	0	0	4	1	1	1	-1	OldStrata	0.390662934	1	NON	NON	1
MvSl-1064-A1-R4_A1g00960	OldStrata	-0.16311838	0.16311838	NON	NON	0	0	1	0	0	2	0	-1	-1	OldStrata	-0.16311838	1.050925926	NON	NON	1.050691244
MvSl-1064-A1-R4_A1g00998	OldStrata	0.375035839	0.375035839	NON	NON	0	0	0	1	-1	0	1	-2	1	OldStrata	0.375035839	1	NON	NON	1
MvSl-1064-A1-R4_A1g01017	OldStrata	-0.275205453	0.275205453	NON	NON	0	-1	1	6	0	-3	-1	2	2	OldStrata	-0.275205453	1.014272122	NON	NON	1.014258555
MvSl-1064-A1-R4_A1g01154	OldStrata	-0.069641132	0.069641132	NON	NON	0	3	3	2	-2	1	0	0	0	OldStrata	-0.069641132	1	NON	NON	1
MvSl-1064-A1-R4_A1g01159	OldStrata	0.357858524	0.357858524	NON	NON	0	1	0	3	-1	0	0	2	0	OldStrata	0.357858524	1	NON	NON	1
MvSl-1064-A1-R4_A1g01160	OldStrata	0.299223533	0.299223533	NON	NON	0	0	1	1	-2	0	0	2	0	OldStrata	0.299223533	0.997890295	NON	NON	1.002109705
MvSl-1064-A1-R4_A1g01161	OldStrata	-0.232190071	0.232190071	NON	NON	0	0	1	0	3	0	2	0	-2	OldStrata	-0.232190071	1.225641026	NON	NON	0.816283925
MvSl-1064-A1-R4_A1g01173	OldStrata	-0.529087108	0.529087108	NON	NON	0	1	-1	0	-1	-2	-3	1	0	OldStrata	-0.529087108	1.087040619	NON	NON	1.086872587
MvSl-1064-A1-R4_A1g01189	OldStrata	0.516954041	0.516954041	NON	NON	0	0	-2	0	-1	-2	0	9	-1	OldStrata	0.516954041	1	NON	NON	1
MvSl-1064-A1-R4_A1g01219	OldStrata	-0.829550149	0.829550149	NON	NON	0	0	0	0	0	-2	0	4	-3	OldStrata	-0.829550149	0.998046875	NON	NON	1.001955034
