gida1	logFC.A1.A2	abs	youngold	GC0diff	GC3diff	DE
MvSl-1064-A1-R4_A1g00432	-0.146821821	0.146821821	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00433	-0.345609102	0.345609102	OldStrata	0.3	0.71	NON
MvSl-1064-A1-R4_A1g00441	-0.202459721	0.202459721	OldStrata	-0.2	0.29	NON
MvSl-1064-A1-R4_A1g00478	-0.180090396	0.180090396	OldStrata	-0.13	-0.67	NON
MvSl-1064-A1-R4_A1g00503	0.312841444	0.312841444	OldStrata	-0.15	-0.46	NON
MvSl-1064-A1-R4_A1g00504	-0.03748053	0.03748053	OldStrata	-0.1	-0.31	NON
MvSl-1064-A1-R4_A1g00505	-0.144290177	0.144290177	OldStrata	-0.12	-0.35	NON
MvSl-1064-A1-R4_A1g00506	-0.015811423	0.015811423	OldStrata	-0.14	-0.43	NON
MvSl-1064-A1-R4_A1g00507	0.015950984	0.015950984	OldStrata	-0.53	-1.04	NON
MvSl-1064-A1-R4_A1g00511	-0.09768498	0.09768498	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00512	0.047038026	0.047038026	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00513	-0.036290579	0.036290579	OldStrata	-0.26	0.16	NON
MvSl-1064-A1-R4_A1g00514	-0.1411675	0.1411675	OldStrata	-0.08	0.04	NON
MvSl-1064-A1-R4_A1g00515	-0.639906605	0.639906605	OldStrata	0.11	0.32	NON
MvSl-1064-A1-R4_A1g00517	0.385115618	0.385115618	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00518	-0.22566182	0.22566182	OldStrata	0.15	0.24	NON
MvSl-1064-A1-R4_A1g00519	-0.326955786	0.326955786	OldStrata	0	0.14	NON
MvSl-1064-A1-R4_A1g00520	-0.207815574	0.207815574	OldStrata	-0.05	0	NON
MvSl-1064-A1-R4_A1g00521	-0.291387191	0.291387191	OldStrata	-0.24	-0.18	NON
MvSl-1064-A1-R4_A1g00525	-0.425729346	0.425729346	OldStrata	0.08	1.49	NON
MvSl-1064-A1-R4_A1g00528	0.697456225	0.697456225	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00530	-0.003825303	0.003825303	OldStrata	-0.41	-0.53	NON
MvSl-1064-A1-R4_A1g00532	-0.183549618	0.183549618	OldStrata	0.16	0.81	NON
MvSl-1064-A1-R4_A1g00533	-0.112005668	0.112005668	OldStrata	0.92	2.32	NON
MvSl-1064-A1-R4_A1g00534	-0.344806798	0.344806798	OldStrata	0.18	0	NON
MvSl-1064-A1-R4_A1g00541	-0.102715119	0.102715119	OldStrata	0.01	0.04	NON
MvSl-1064-A1-R4_A1g00543	0.054014046	0.054014046	OldStrata	0.05	0.14	NON
MvSl-1064-A1-R4_A1g00544	0.079283405	0.079283405	OldStrata	0.31	0.94	NON
MvSl-1064-A1-R4_A1g00575	-0.417508294	0.417508294	OldStrata	0.41	0.4	NON
MvSl-1064-A1-R4_A1g00593	0.034237888	0.034237888	OldStrata	0.14	0	NON
MvSl-1064-A1-R4_A1g00645	0.00278244	0.00278244	OldStrata	-0.01	-0.21	NON
MvSl-1064-A1-R4_A1g00647	-0.06376242	0.06376242	OldStrata	0.1	0.62	NON
MvSl-1064-A1-R4_A1g00669	-0.013902852	0.013902852	ColorStrata	0.41	0.59	NON
MvSl-1064-A1-R4_A1g00693	-0.01304676	0.01304676	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00694	0.19734445	0.19734445	OldStrata	-0.05	-0.43	NON
MvSl-1064-A1-R4_A1g00726	-0.323750225	0.323750225	OldStrata	0.48	1.71	NON
MvSl-1064-A1-R4_A1g00749	-0.432980787	0.432980787	OldStrata	-0.09	0.69	NON
MvSl-1064-A1-R4_A1g00750	0.014269393	0.014269393	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00751	-0.32701583	0.32701583	OldStrata	0.12	0.04	NON
MvSl-1064-A1-R4_A1g00772	-0.447897559	0.447897559	OldStrata	0.05	0.53	NON
MvSl-1064-A1-R4_A1g00778	0.389977485	0.389977485	OldStrata	0.09	-0.31	NON
MvSl-1064-A1-R4_A1g00794	0.026871625	0.026871625	OldStrata	0.3	0.88	NON
MvSl-1064-A1-R4_A1g00801	-0.032184551	0.032184551	OldStrata	0.09	0	NON
MvSl-1064-A1-R4_A1g00832	0.093408117	0.093408117	OldStrata	0.51	0.82	NON
MvSl-1064-A1-R4_A1g00840	0.269924924	0.269924924	OldStrata	0.32	0.05	NON
MvSl-1064-A1-R4_A1g00842	-0.32013805	0.32013805	OldStrata	0.81	2.33	NON
MvSl-1064-A1-R4_A1g00843	-0.541148688	0.541148688	OldStrata	-0.53	-0.84	NON
MvSl-1064-A1-R4_A1g00845	0.042076431	0.042076431	OldStrata	0.13	-0.36	NON
MvSl-1064-A1-R4_A1g00869	-0.780523068	0.780523068	OldStrata	0.06	0	NON
MvSl-1064-A1-R4_A1g00911	-0.242165576	0.242165576	OldStrata	0.38	1.13	NON
MvSl-1064-A1-R4_A1g00912	-0.203998749	0.203998749	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g00913	-0.556748515	0.556748515	OldStrata	1.35	1.75	NON
MvSl-1064-A1-R4_A1g00920	-0.976671928	0.976671928	OldStrata	0.98	1.29	NON
MvSl-1064-A1-R4_A1g00921	0.145781482	0.145781482	OldStrata	-0.27	0.48	NON
MvSl-1064-A1-R4_A1g00957	0.390662934	0.390662934	OldStrata	-0.28	-2.11	NON
MvSl-1064-A1-R4_A1g00960	-0.16311838	0.16311838	OldStrata	0.07	-1.01	NON
MvSl-1064-A1-R4_A1g00998	0.375035839	0.375035839	OldStrata	-0.57	0.43	NON
MvSl-1064-A1-R4_A1g01017	-0.275205453	0.275205453	OldStrata	0.06	0.35	NON
MvSl-1064-A1-R4_A1g01154	-0.069641132	0.069641132	OldStrata	-0.18	-0.55	NON
MvSl-1064-A1-R4_A1g01159	0.357858524	0.357858524	OldStrata	-0.08	-0.24	NON
MvSl-1064-A1-R4_A1g01160	0.299223533	0.299223533	OldStrata	0.03	0.27	NON
MvSl-1064-A1-R4_A1g01161	-0.232190071	0.232190071	OldStrata	-0.03	-1.88	NON
MvSl-1064-A1-R4_A1g01173	-0.529087108	0.529087108	OldStrata	-0.56	-2.97	NON
MvSl-1064-A1-R4_A1g01189	0.516954041	0.516954041	OldStrata	0.09	-0.29	NON
MvSl-1064-A1-R4_A1g01219	-0.829550149	0.829550149	OldStrata	0.02	0.53	NON
MvSl-1064-A1-R4_A1g01227	-0.280852976	0.280852976	OldStrata	0.51	1.01	NON
MvSl-1064-A1-R4_A1g01252	-0.111374107	0.111374107	ColorStrata	-0.6	-2.83	NON
MvSl-1064-A1-R4_A1g01271	-0.520789943	0.520789943	OldStrata	0.05	0.21	NON
MvSl-1064-A1-R4_A1g01272	0.130280609	0.130280609	OldStrata	-0.18	0	NON
MvSl-1064-A1-R4_A1g01317	0.067848033	0.067848033	OldStrata	0.83	1.43	NON
MvSl-1064-A1-R4_A1g01346	-0.29082474	0.29082474	OldStrata	-0.58	-9.91	NON
MvSl-1064-A1-R4_A1g01348	0.084837282	0.084837282	OldStrata	-0.08	-0.38	NON
MvSl-1064-A1-R4_A1g01350	-0.142316764	0.142316764	OldStrata	-0.16	-0.16	NON
MvSl-1064-A1-R4_A1g01351	-0.066627592	0.066627592	OldStrata	0.24	0.36	NON
MvSl-1064-A1-R4_A1g01366	-0.069623816	0.069623816	OldStrata	-0.39	-0.52	NON
MvSl-1064-A1-R4_A1g01367	0.242412729	0.242412729	OldStrata	0.55	0.33	NON
MvSl-1064-A1-R4_A1g01368	-0.173537055	0.173537055	OldStrata	0.04	-0.22	NON
MvSl-1064-A1-R4_A1g01369	0.659905903	0.659905903	OldStrata	0.1	-0.37	NON
MvSl-1064-A1-R4_A1g01388	0.406271174	0.406271174	OldStrata	-0.74	1.95	NON
MvSl-1064-A1-R4_A1g01392	-0.243712597	0.243712597	OldStrata	-0.12	-0.22	NON
MvSl-1064-A1-R4_A1g01393	0.3978728	0.3978728	OldStrata	-1.12	-0.18	NON
MvSl-1064-A1-R4_A1g01405	-0.032795964	0.032795964	OldStrata	2.32	-0.84	NON
MvSl-1064-A1-R4_A1g01406	-0.847111802	0.847111802	OldStrata	0.07	-0.02	NON
MvSl-1064-A1-R4_A1g01407	-0.341690369	0.341690369	OldStrata	-0.05	0.89	NON
MvSl-1064-A1-R4_A1g01415	0.39982018	0.39982018	OldStrata	0.18	0.28	NON
MvSl-1064-A1-R4_A1g01431	0.17831449	0.17831449	OldStrata	0.21	-0.88	NON
MvSl-1064-A1-R4_A1g01440	0.045862676	0.045862676	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01441	-0.034947562	0.034947562	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01444	0.065214682	0.065214682	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01445	0.037844237	0.037844237	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01447	0.150250394	0.150250394	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01450	0.14369571	0.14369571	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01451	-0.002472601	0.002472601	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01453	0.487588091	0.487588091	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01458	-0.110965578	0.110965578	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01460	0.110246775	0.110246775	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01461	-0.004288384	0.004288384	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01462	-0.26053659	0.26053659	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01467	0.062577515	0.062577515	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01468	0.226794407	0.226794407	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01470	-0.187001942	0.187001942	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01471	-0.012356579	0.012356579	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01472	-0.079283425	0.079283425	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01473	0.067474644	0.067474644	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01476	0.163354788	0.163354788	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01477	-0.087890661	0.087890661	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01485	-0.198257752	0.198257752	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01486	0.28424332	0.28424332	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01487	-0.543761745	0.543761745	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01488	0.539198321	0.539198321	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01489	0.054606098	0.054606098	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01497	0.216166984	0.216166984	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01498	0.07504564	0.07504564	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01500	-0.063547829	0.063547829	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01501	0.022873365	0.022873365	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01502	-0.099308012	0.099308012	bPAR	0.09	0.23	NON
MvSl-1064-A1-R4_A1g01508	-0.411722731	0.411722731	bPAR	0	0	NON
MvSl-1064-A1-R4_A1g01509	-0.123099397	0.123099397	bPAR	0	0	NON
MvSl-1064-A1-R4_MC01-1g01709	-0.100650973	0.100650973	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01710	0.681156019	0.681156019	Auto	0.05	0.51	NON
MvSl-1064-A1-R4_MC01-1g01711	0.03968519	0.03968519	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01712	-0.250033449	0.250033449	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01713	0.070223716	0.070223716	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01725	-0.037759494	0.037759494	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01726	0.002893092	0.002893092	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01728	-0.040995885	0.040995885	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01729	0.163608161	0.163608161	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01730	-0.079603277	0.079603277	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01731	0.048450401	0.048450401	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01734	0.072667985	0.072667985	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01735	-0.737805855	0.737805855	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01743	0.090648339	0.090648339	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01744	0.07959967	0.07959967	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01748	0.121594642	0.121594642	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01751	-0.117600828	0.117600828	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01752	-0.383865414	0.383865414	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01753	0.115327921	0.115327921	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01754	0.055169784	0.055169784	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01755	-0.130419197	0.130419197	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01756	-0.253173702	0.253173702	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01766	0.018403169	0.018403169	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01767	-0.155514469	0.155514469	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01768	-0.444698201	0.444698201	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01769	0.289460588	0.289460588	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01770	-0.013789424	0.013789424	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01771	-0.264410227	0.264410227	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01780	-0.01898219	0.01898219	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01796	0.315017706	0.315017706	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01797	-0.34357711	0.34357711	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01799	-0.242369693	0.242369693	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01800	-0.170278024	0.170278024	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01801	-0.032825454	0.032825454	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01802	-0.214287711	0.214287711	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01803	-0.245084236	0.245084236	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01804	-0.22566719	0.22566719	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01805	-0.045336226	0.045336226	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01806	-0.144278056	0.144278056	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01808	-0.169374976	0.169374976	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01809	-0.033048441	0.033048441	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01810	0.010864374	0.010864374	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01811	-0.176876498	0.176876498	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01812	0.170164377	0.170164377	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01813	-0.239994913	0.239994913	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01814	-0.346708134	0.346708134	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01816	0.013993902	0.013993902	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01817	-0.323857808	0.323857808	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01818	0.06884751	0.06884751	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01819	-0.099808237	0.099808237	Auto	0.13	0.46	NON
MvSl-1064-A1-R4_MC01-1g01820	-0.450410089	0.450410089	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01821	0.139474906	0.139474906	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01822	-0.369009688	0.369009688	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01823	0.542914692	0.542914692	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01824	-0.144142705	0.144142705	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01826	0.440053013	0.440053013	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01834	0.292246103	0.292246103	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01840	-0.129982856	0.129982856	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01841	-0.244100893	0.244100893	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01843	0.16194432	0.16194432	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01844	-0.29350543	0.29350543	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01845	-0.000393784	0.000393784	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01846	-0.275605244	0.275605244	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01849	0.028231899	0.028231899	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01850	0.040957162	0.040957162	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01851	0.129453281	0.129453281	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01852	0.165907857	0.165907857	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01853	-0.033529517	0.033529517	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01854	0.334033499	0.334033499	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01855	-0.190003163	0.190003163	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01856	-0.022280654	0.022280654	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01857	-0.140963525	0.140963525	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01858	-0.2347504	0.2347504	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01859	-0.101965018	0.101965018	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01860	-0.067417695	0.067417695	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01861	0.091773481	0.091773481	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01862	-0.049593693	0.049593693	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01863	-0.114752578	0.114752578	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01864	-0.290986166	0.290986166	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01865	-0.22719799	0.22719799	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01867	0.128506237	0.128506237	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01868	0.244516303	0.244516303	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01869	0.006784379	0.006784379	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01870	-0.207483825	0.207483825	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01871	-0.038484917	0.038484917	Auto	0	0	NON
