gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	intron_nr_a2	intron_nr_byprota2	intron_nr_byprota2_trans	intron_mean_a2	intron_total_a2	intron_total_byprota2	intron_total_byprota2_trans	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_A1g00015	254	765	MvSl-1064-A2-R4_A2g00015	254	765	bPAR	bPAR	2	0.007874016	0.088735651	42	84	0.330708661	0.575072744	2	0.007874016	0.088735651	42	84	0.330708661	0.575072744	0	0	0	31145	31816	4.728011616	-2.421298156	2.421298156	1.59E-15	1.42E-13	2.609544687	3.426239624	5.587874592	5.369976294	Down	DE
MvSl-1064-A1-R4_A1g00016	55	168	MvSl-1064-A2-R4_A2g00016	55	168	bPAR	bPAR	1	0.018181818	0.134839972	0	0	0	0	1	0.018181818	0.134839972	0	0	0	0	0	0	0	31867	32715	1.823444182	-2.671972801	2.671972801	1.24E-09	5.82E-08	-0.483640272	0.457320064	2.683885317	2.5530178	Down	DE
MvSl-1064-A1-R4_A1g00017	543	1632	MvSl-1064-A2-R4_A2g00017	543	1632	bPAR	bPAR	8	0.014732965	0.121379426	87.375	699	1.287292818	1.134589273	8	0.014732965	0.121379426	87.375	699	1.287292818	1.134589273	0	0	0	32832	32999	1.30837585	0.89851521	0.89851521	0.0424064	0.33791173	1.92114747	1.35105268	1.12014188	0.38874981	NON	NON
MvSl-1064-A1-R4_A1g00019	261	786	MvSl-1064-A2-R4_A2g00019	261	786	bPAR	bPAR	3	0.011494253	0.107211253	216.667	650	2.490421456	1.578106922	3	0.011494253	0.107211253	216.667	650	2.490421456	1.578106922	0	0	0	37426	37720	2.19453239	0.42715668	0.42715668	0.24416115	0.82290011	2.60954469	2.11820395	2.01221197	1.91884176	NON	NON
MvSl-1064-A1-R4_A1g00021	69	210	MvSl-1064-A2-R4_A2g00021	69	210	bPAR	bPAR	1	0.014492754	0.120385853	142	142	2.057971014	1.434563005	1	0.014492754	0.120385853	142	142	2.057971014	1.434563005	0	0	0	37961	39396	5.74760104	0.19001327	0.19001327	0.37597017	0.93516701	5.78435886	5.89184107	5.47344601	5.80649151	NON	NON
MvSl-1064-A1-R4_A1g00023	437	1314	MvSl-1064-A2-R4_A2g00023	437	1314	bPAR	bPAR	4	0.009153318	0.095672975	203	812	1.85812357	1.363130063	4	0.009153318	0.095672975	203	812	1.85812357	1.363130063	0	0	0	41703	42358	0.12637048	-0.8710914	0.87109137	0.08892993	0.52274071	-0.5822783	-0.0756545	0.15139655	0.76024789	NON	NON
MvSl-1064-A1-R4_A1g00024	203	612	MvSl-1064-A2-R4_A2g00024	203	612	bPAR	bPAR	3	0.014778325	0.121566135	98	294	1.448275862	1.203443336	3	0.014778325	0.121566135	98	294	1.448275862	1.203443336	0	0	0	42439	44564	4.38918068	0.63789727	0.63789727	0.01853608	0.18642936	4.5572275	4.77521245	3.81554725	4.22671425	NON	NON
MvSl-1064-A1-R4_A1g00025	540	1623	MvSl-1064-A2-R4_A2g00025	540	1623	bPAR	bPAR	7	0.012962963	0.113855009	87.7143	614	1.137037037	1.066319388	7	0.012962963	0.113855009	87.7143	614	1.137037037	1.066319388	0	0	0	44670	45575	1.01319108	-0.0112262	0.01122618	0.9814206	0.99994992	1.3009367	0.64290288	0.40408779	1.45285247	NON	NON
MvSl-1064-A1-R4_A1g00026	1405	4218	MvSl-1064-A2-R4_A2g00026	1405	4218	bPAR	bPAR	13	0.009252669	0.096190795	92.1538	1198	0.852669039	0.923400801	13	0.009252669	0.096190795	92.1538	1198	0.852669039	0.923400801	0	0	0	46588	48824	5.04666133	0.48545089	0.48545089	0.05615486	0.40173044	5.4750967	5.02530534	4.60198784	4.94521846	NON	NON
MvSl-1064-A1-R4_A1g00028	167	504	MvSl-1064-A2-R4_A2g00028	167	504	bPAR	bPAR	3	0.017964072	0.134030115	56.6667	170	1.017964072	1.008942056	3	0.017964072	0.134030115	56.6667	170	1.017964072	1.008942056	0	0	0	50171	55586	4.82913274	0.43682457	0.43682457	0.06209667	0.4236747	5.05654545	5.00215904	4.651645	4.53432021	NON	NON
MvSl-1064-A1-R4_A1g00029	56	171	MvSl-1064-A2-R4_A2g00029	56	171	bPAR	bPAR	2	0.035714286	0.188982237	77	154	2.75	1.658312395	2	0.035714286	0.188982237	77	154	2.75	1.658312395	0	0	0	59218	59891	6.297648826	4.988993955	4.988993955	1.54E-87	1.88E-84	7.418271616	7.059641211	2.207478765	2.365830005	Up	DE
MvSl-1064-A1-R4_A1g00030	122	369	MvSl-1064-A2-R4_A2g00030	122	369	bPAR	bPAR	1	0.008196721	0.090535746	85	85	0.696721311	0.834698336	1	0.008196721	0.090535746	85	85	0.696721311	0.834698336	0	0	0	60303	60627	7.934547299	2.637888472	2.637888472	2.29E-30	4.36E-28	8.812093292	8.61919494	6.147697071	6.014483292	Up	DE
MvSl-1064-A1-R4_A1g00031	318	957	MvSl-1064-A2-R4_A2g00031	318	957	bPAR	bPAR	7	0.022012579	0.148366366	93.4286	654	2.056603774	1.43408639	7	0.022012579	0.148366366	93.5714	655	2.059748428	1.435182367	0	-0.1428	-1	60777	61230	4.63023382	0.14428874	0.14428874	0.58867201	0.9930078	4.94364955	4.40669924	4.63939003	4.46783031	NON	NON
MvSl-1064-A1-R4_A1g00032	517	1554	MvSl-1064-A2-R4_A2g00032	517	1554	bPAR	bPAR	12	0.023210832	0.152351015	93.6667	1124	2.174081238	1.474476598	12	0.023210832	0.152351015	93.6667	1124	2.174081238	1.474476598	0	0	0	61566	63177	9.38998595	-0.0582555	0.05825545	0.83088732	0.99994992	9.32201092	9.39813175	9.43669041	9.40072552	NON	NON
MvSl-1064-A1-R4_A1g00033	266	801	MvSl-1064-A2-R4_A2g00033	266	801	bPAR	bPAR	3	0.011278195	0.106198849	51.6667	155	0.582706767	0.763352322	3	0.011278195	0.106198849	51.6667	155	0.582706767	0.763352322	0	0	0	63513	66190	4.63690302	0.29046286	0.29046286	0.22796372	0.80199747	4.7992904	4.74764283	4.50062312	4.46783031	NON	NON
MvSl-1064-A1-R4_A1g00035	461	1386	MvSl-1064-A2-R4_A2g00035	461	1386	bPAR	bPAR	1	0.002169197	0.046574643	0	0	0	0	1	0.002169197	0.046574643	0	0	0	0	0	0	0	68178	68401	5.17098013	-0.4242099	0.42420988	0.06178137	0.42287342	4.8427097	5.03984377	5.44027496	5.29121068	NON	NON
MvSl-1064-A1-R4_A1g00036	397	1194	MvSl-1064-A2-R4_A2g00036	397	1194	bPAR	bPAR	3	0.007556675	0.086929138	93	279	0.702770781	0.838314249	3	0.007556675	0.086929138	93	279	0.702770781	0.838314249	0	0	0	68795	70180	5.37755721	-0.0010409	0.00104087	0.9961279	0.99994992	5.36524611	5.38873874	5.39178523	5.36421575	NON	NON
MvSl-1064-A1-R4_A1g00037	806	2421	MvSl-1064-A2-R4_A2g00037	806	2421	bPAR	bPAR	2	0.00248139	0.049813548	85.5	171	0.212158809	0.460607001	2	0.00248139	0.049813548	85.5	171	0.212158809	0.460607001	0	0	0	71408	72880	4.77881549	-0.1350674	0.13506737	0.57617627	0.9930078	4.82116339	4.59004462	4.74896297	4.93489195	NON	NON
MvSl-1064-A1-R4_A1g00039	611	1836	MvSl-1064-A2-R4_A2g00039	611	1836	bPAR	bPAR	12	0.019639935	0.140142551	90.0833	1081	1.769230769	1.330124344	12	0.019639935	0.140142551	90.0833	1081	1.769230769	1.330124344	0	0	0	77299	78423	8.15386411	-0.2949886	0.29498864	0.19970162	0.76421179	7.85132074	8.13287844	8.36196636	8.22233904	NON	NON
MvSl-1064-A1-R4_A1g00040	360	1083	MvSl-1064-A2-R4_A2g00040	360	1083	bPAR	bPAR	7	0.019444444	0.139443338	87.5714	613	1.702777778	1.304905275	7	0.019444444	0.139443338	87.5714	613	1.702777778	1.304905275	0	0	0	79342	82258	1.2314714	0.21168993	0.21168993	0.60688303	0.9930078	1.45810047	1.18158833	1.25477021	0.97705356	NON	NON
MvSl-1064-A1-R4_A1g00046	292	879	MvSl-1064-A2-R4_A2g00046	292	879	bPAR	bPAR	7	0.023972603	0.154830884	83.1429	582	1.993150685	1.411789887	7	0.023972603	0.154830884	83.1429	582	1.993150685	1.411789887	0	0	0	89113	90244	3.95198282	-0.1679981	0.16799815	0.53972775	0.98991415	3.8069395	3.92401113	3.94565679	4.11681155	NON	NON
MvSl-1064-A1-R4_A1g00047	299	900	MvSl-1064-A2-R4_A2g00047	299	900	bPAR	bPAR	5	0.016722408	0.12931515	74	370	1.237458194	1.112410982	5	0.016722408	0.12931515	74	370	1.237458194	1.112410982	0	0	0	90443	91903	5.06865534	-0.1063738	0.10637377	0.64496158	0.99994992	4.96345405	5.06443093	5.23162041	5.00072967	NON	NON
MvSl-1064-A1-R4_A1g00048	523	1572	MvSl-1064-A2-R4_A2g00048	523	1572	bPAR	bPAR	1	0.001912046	0.043726947	0	0	0	0	1	0.001912046	0.043726947	0	0	0	0	0	0	0	92386	93655	4.85660086	-0.003773	0.00377303	0.98702322	0.99994992	4.85924827	4.85018855	4.84280373	4.87403587	NON	NON
MvSl-1064-A1-R4_A1g00049	873	2622	MvSl-1064-A2-R4_A2g00049	873	2622	bPAR	bPAR	7	0.008018328	0.089545115	79.1429	554	0.634593356	0.796613681	7	0.008018328	0.089545115	79.1429	554	0.634593356	0.796613681	0	0	0	94248	95819	5.38291585	-0.0113282	0.01132821	0.95940986	0.99994992	5.51590339	5.22390336	5.38812772	5.38901365	NON	NON
MvSl-1064-A1-R4_A1g00050	1493	4482	MvSl-1064-A2-R4_A2g00050	1493	4482	bPAR	bPAR	3	0.002009377	0.044826076	72.6667	218	0.146014735	0.382118745	3	0.002009377	0.044826076	72.6667	218	0.146014735	0.382118745	0	0	0	96486	99661	5.55559715	0.3076366	0.3076366	0.30161432	0.88702443	5.56281815	5.82626009	5.82411746	4.77620452	NON	NON
MvSl-1064-A1-R4_A1g00051	358	1077	MvSl-1064-A2-R4_A2g00051	358	1077	bPAR	bPAR	4	0.011173184	0.105703285	85	340	0.94972067	0.974536131	4	0.011173184	0.105703285	85	340	0.94972067	0.974536131	0	0	0	101324	106023	6.90341517	-0.5218038	0.52180383	0.02709038	0.24788085	6.36844195	6.83334848	7.39238468	6.83604073	NON	NON
MvSl-1064-A1-R4_A1g00052	76	231	MvSl-1064-A2-R4_A2g00052	76	231	bPAR	bPAR	1	0.013157895	0.114707867	180	180	2.368421053	1.538967528	1	0.013157895	0.114707867	180	180	2.368421053	1.538967528	0	0	0	106474	107890	1.20743079	0.23477528	0.23477528	0.6068039	0.9930078	0.73155113	1.72460549	1.22227251	0.93622085	NON	NON
MvSl-1064-A1-R4_A1g00053	418	1257	MvSl-1064-A2-R4_A2g00053	418	1257	bPAR	bPAR	5	0.011961722	0.10936966	71.4	357	0.854066986	0.924157446	5	0.011961722	0.10936966	71.4	357	0.854066986	0.924157446	0	0	0	108409	108819	6.65372993	-0.0829588	0.08295876	0.67379162	0.99994992	6.50157751	6.71409777	6.79202645	6.59008458	NON	NON
MvSl-1064-A1-R4_A1g00054	388	1167	MvSl-1064-A2-R4_A2g00054	388	1167	bPAR	bPAR	7	0.018041237	0.134317672	76.7143	537	1.384020619	1.176444057	7	0.018041237	0.134317672	76.7143	537	1.384020619	1.176444057	0	0	0	111120	112733	2.55469619	0.26685802	0.26685802	0.45987298	0.97587937	2.35349133	2.94242651	2.54625724	2.27049897	NON	NON
MvSl-1064-A1-R4_A1g00055	428	1287	MvSl-1064-A2-R4_A2g00055	428	1287	bPAR	bPAR	2	0.004672897	0.068358593	72	144	0.336448598	0.580041893	2	0.004672897	0.068358593	72	144	0.336448598	0.580041893	0	0	0	113646	115349	5.45545015	0.465759	0.465759	0.04740618	0.36153028	5.83540586	5.479906	5.01394684	5.37189137	NON	NON
MvSl-1064-A1-R4_A1g00056	576	1731	MvSl-1064-A2-R4_A2g00056	576	1731	bPAR	bPAR	6	0.010416667	0.102062073	94.6667	568	0.986111111	0.993031274	6	0.010416667	0.102062073	94.6667	568	0.986111111	0.993031274	0	0	0	115614	117044	8.50804466	-0.1372296	0.13722958	0.60403821	0.9930078	8.44939889	8.42618278	8.84273117	8.24602554	NON	NON
MvSl-1064-A1-R4_A1g00057	107	324	MvSl-1064-A2-R4_A2g00057	107	324	bPAR	bPAR	1	0.009345794	0.096673649	0	0	0	0	1	0.009345794	0.096673649	0	0	0	0	0	0	0	118986	121284	4.65801917	0.05508454	0.05508454	0.82866951	0.99994992	4.64976989	4.71953609	4.82126638	4.40935949	NON	NON
MvSl-1064-A1-R4_A1g00058	49	150	MvSl-1064-A2-R4_A2g00058	49	150	bPAR	bPAR	1	0.020408163	0.142857143	128	128	2.612244898	1.616244071	1	0.020408163	0.142857143	128	128	2.612244898	1.616244071	0	0	0	121712	122035	0.03842301	-0.9540501	0.95405011	0.06262019	0.4252105	-0.4836403	-0.3951076	0.66812985	0.12370694	NON	NON
MvSl-1064-A1-R4_A1g00059	68	207	MvSl-1064-A2-R4_A2g00059	68	207	bPAR	bPAR	1	0.014705882	0.121267813	0	0	0	0	1	0.014705882	0.121267813	0	0	0	0	0	0	0	123729	124006	3.31579431	0.00203834	0.00203834	0.99520142	0.99994992	3.26311629	3.36817261	3.6482719	2.87809104	NON	NON
MvSl-1064-A1-R4_A1g00060	317	954	MvSl-1064-A2-R4_A2g00060	317	954	bPAR	bPAR	5	0.015772871	0.12559009	119.8	599	1.889589905	1.37462355	5	0.015772871	0.12559009	119.8	599	1.889589905	1.37462355	0	0	0	124165	124371	2.82517522	-0.1486563	0.14865629	0.71770066	0.99994992	3.12143902	2.25266048	2.39410191	3.27185989	NON	NON
MvSl-1064-A1-R4_A1g00061	219	660	MvSl-1064-A2-R4_A2g00061	219	660	bPAR	bPAR	3	0.01369863	0.117041147	100	301	1.374429224	1.172360535	3	0.01369863	0.117041147	100.333	300	1.369863014	1.170411472	0	-0.333	1	125081	126633	7.12146968	-0.1614103	0.16141032	0.39147605	0.94433655	6.98976844	7.08589903	7.21690897	7.18274949	NON	NON
MvSl-1064-A1-R4_A1g00062	714	2145	MvSl-1064-A2-R4_A2g00062	714	2145	bPAR	bPAR	5	0.007002801	0.083682741	129	645	0.903361345	0.950453231	5	0.007002801	0.083682741	129	645	0.903361345	0.950453231	0	0	0	128311	129271	6.16190646	0.15893198	0.15893198	0.41156393	0.95483549	6.14867865	6.3239111	6.08243043	6.07803605	NON	NON
MvSl-1064-A1-R4_A1g00063	316	951	MvSl-1064-A2-R4_A2g00063	316	951	bPAR	bPAR	3	0.009493671	0.09743547	108	325	1.028481013	1.014140529	3	0.009493671	0.09743547	108.333	324	1.025316456	1.012579111	0	-0.333	1	130054	132843	5.04280133	-0.0618886	0.06188859	0.78366726	0.99994992	5.00013663	5.02321641	5.09470774	5.0517966	NON	NON
MvSl-1064-A1-R4_A1g00064	232	699	MvSl-1064-A2-R4_A2g00064	232	699	bPAR	bPAR	3	0.012931034	0.113714707	151.667	455	1.961206897	1.400430968	3	0.012931034	0.113714707	151.667	455	1.961206897	1.400430968	0	0	0	133237	134512	8.27016471	0.17617943	0.17617943	0.44142914	0.96825211	8.28402945	8.42361135	8.24627345	8.10922231	NON	NON
MvSl-1064-A1-R4_A1g00065	649	1950	MvSl-1064-A2-R4_A2g00065	649	1950	bPAR	bPAR	10	0.01540832	0.124130256	81.9	818	1.260400616	1.122675651	10	0.01540832	0.124130256	81.8	819	1.261941448	1.123361673	0	0.1	-1	135668	136821	7.29102512	-0.2540112	0.25401122	0.1948893	0.75796754	7.1447657	7.17232721	7.35727296	7.4656622	NON	NON
MvSl-1064-A1-R4_A1g00066	184	555	MvSl-1064-A2-R4_A2g00066	184	555	bPAR	bPAR	2	0.010869565	0.104257207	73	146	0.793478261	0.890773967	2	0.010869565	0.104257207	73	146	0.793478261	0.890773967	0	0	0	137505	140273	7.8968573	-0.017149	0.01714895	0.94120566	0.99994992	7.64741741	8.094595	7.98721831	7.8186524	NON	NON
MvSl-1064-A1-R4_A1g00067	451	1356	MvSl-1064-A2-R4_A2g00067	451	1356	bPAR	bPAR	8	0.017738359	0.133185432	105	840	1.862527716	1.364744561	8	0.017738359	0.133185432	105	840	1.862527716	1.364744561	0	0	0	141157	141857	1.47312748	0.22606909	0.22606909	0.5987922	0.9930078	1.93904007	1.08875524	1.22227251	1.48151573	NON	NON
MvSl-1064-A1-R4_A1g00068	397	1194	MvSl-1064-A2-R4_A2g00068	397	1194	bPAR	bPAR	3	0.007556675	0.086929138	124.667	374	0.942065491	0.970600583	3	0.007556675	0.086929138	124.667	374	0.942065491	0.970600583	0	0	0	142411	144606	1.13312014	0.41772285	0.41772285	0.36912364	0.93076177	1.74926736	0.68579449	0.89124159	0.93622085	NON	NON
MvSl-1064-A1-R4_A1g00069	1429	4290	MvSl-1064-A2-R4_A2g00069	1429	4290	bPAR	bPAR	2	0.00139958	0.037410963	98	196	0.137158852	0.370349635	2	0.00139958	0.037410963	98	196	0.137158852	0.370349635	0	0	0	145335	146902	6.01395357	0.26299469	0.26299469	0.23914409	0.81647078	6.30172587	5.95566583	5.6518042	6.07098033	NON	NON
MvSl-1064-A1-R4_A1g00070	918	2757	MvSl-1064-A2-R4_A2g00070	918	2757	bPAR	bPAR	1	0.001089325	0.033004918	84	84	0.091503268	0.302495071	1	0.001089325	0.033004918	84	84	0.091503268	0.302495071	0	0	0	149220	153705	7.28658974	-0.3351375	0.33513752	0.08935463	0.52318798	7.18233761	7.03289662	7.41187843	7.47638251	NON	NON
MvSl-1064-A1-R4_A1g00071	495	1488	MvSl-1064-A2-R4_A2g00071	495	1488	bPAR	bPAR	4	0.008080808	0.089893315	97.5	390	0.787878788	0.887625365	4	0.008080808	0.089893315	97.5	390	0.787878788	0.887625365	0	0	0	154349	157189	4.03272619	-0.5074126	0.50741261	0.05990893	0.41605314	3.73706937	3.78298245	4.28941974	4.2393572	NON	NON
MvSl-1064-A1-R4_A1g00072	663	1992	MvSl-1064-A2-R4_A2g00072	663	1992	bPAR	bPAR	4	0.006033183	0.077673564	110.25	441	0.665158371	0.815572419	4	0.006033183	0.077673564	110.25	441	0.665158371	0.815572419	0	0	0	158422	160299	7.8343337	-0.1013945	0.10139453	0.69061366	0.99994992	7.95827535	7.5829823	7.54799374	8.15664991	NON	NON
MvSl-1064-A1-R4_A1g00073	375	1128	MvSl-1064-A2-R4_A2g00073	375	1128	bPAR	bPAR	3	0.008	0.089442719	107.667	323	0.861333333	0.928080456	3	0.008	0.089442719	107.667	323	0.861333333	0.928080456	0	0	0	160618	163050	5.103829051	0.811477637	0.811477637	0.001586955	0.025743608	5.292301387	5.59407755	4.36206763	4.876735855	Up	DE
MvSl-1064-A1-R4_A1g00074	613	1842	MvSl-1064-A2-R4_A2g00074	613	1842	bPAR	bPAR	10	0.016313214	0.127723192	124.3	1243	2.027732463	1.423984713	10	0.016313214	0.127723192	124.3	1243	2.027732463	1.423984713	0	0	0	165329	166779	8.7491943	-0.5562694	0.55626944	0.05611016	0.40173044	8.22098383	8.63808733	9.28220032	8.65059458	NON	NON
MvSl-1064-A1-R4_A1g00076	859	2580	MvSl-1064-A2-R4_A2g00076	859	2580	bPAR	bPAR	1	0.001164144	0.03411956	125	125	0.145518044	0.381468274	1	0.001164144	0.03411956	125	125	0.145518044	0.381468274	0	0	0	171697	173594	7.14187972	0.04586534	0.04586534	0.8087732	0.99994992	7.18045857	7.14856796	7.18353706	7.05089879	NON	NON
MvSl-1064-A1-R4_A1g00077	460	1383	MvSl-1064-A2-R4_A2g00077	460	1383	bPAR	bPAR	1	0.002173913	0.04662524	93	93	0.202173913	0.449637535	1	0.002173913	0.04662524	93	93	0.202173913	0.449637535	0	0	0	173863	176567	6.61989281	-0.0468506	0.04685062	0.81113546	0.99994992	6.47192629	6.71085669	6.73125443	6.54920365	NON	NON
MvSl-1064-A1-R4_A1g00078	153	462	MvSl-1064-A2-R4_A2g00078	153	462	bPAR	bPAR	1	0.006535948	0.080845208	0	0	0	0	1	0.006535948	0.080845208	0	0	0	0	0	0	0	177417	178892	7.162015405	-0.993002656	0.993002656	8.92E-05	0.002056118	6.188489281	6.891761894	7.771153038	7.347523635	Down	DE
MvSl-1064-A1-R4_A1g00079	1388	4167	MvSl-1064-A2-R4_A2g00079	1388	4167	bPAR	bPAR	10	0.007204611	0.08487998	83.6	836	0.602305476	0.77608342	10	0.007204611	0.08487998	83.5	835	0.601585014	0.775619117	0	0.1	1	179366	179827	5.694014129	-1.646693649	1.646693649	7.76E-10	3.79E-08	4.856897194	4.413095053	5.91206624	6.597469001	Down	DE
MvSl-1064-A1-R4_A1g00080	151	456	MvSl-1064-A2-R4_A2g00080	151	456	bPAR	bPAR	3	0.01986755	0.140952296	92	276	1.82781457	1.351966926	3	0.01986755	0.140952296	92	276	1.82781457	1.351966926	0	0	0	180716	185718	5.542369321	-1.367630539	1.367630539	5.04E-10	2.49E-08	4.671337984	4.740031501	5.91079222	6.21449043	Down	DE
MvSl-1064-A1-R4_A1g00081	363	1092	MvSl-1064-A2-R4_A2g00081	363	1092	Black	OldStrata	8	0.022038567	0.148453924	84	672	1.851239669	1.360602686	8	0.022038567	0.148453924	83.75	670	1.845730028	1.358576471	0	0.25	2	186136	186867	5.666856495	-2.764413249	2.764413249	2.80E-28	4.52E-26	3.896655408	3.506191765	6.231726911	6.674746223	Down	DE
MvSl-1064-A1-R4_A1g00106	452	1359	MvSl-1064-A2-R4_A2g00116	452	1359	Black	OldStrata	3	0.006637168	0.081468817	81	243	0.537610619	0.733219353	3	0.006637168	0.081468817	90.3333	271	0.599557522	0.774310998	0	9.3333	28	192447	192848	2.222659039	1.297354832	1.297354832	0.002461132	0.037571822	3.144754949	2.086543214	1.51836347	1.363278739	Up	DE
MvSl-1064-A1-R4_A1g00108	55	168	MvSl-1064-A2-R4_A2g00118	55	168	Black	OldStrata	1	0.018181818	0.134839972	0	0	0	0	1	0.018181818	0.134839972	0	0	0	0	0	0	0	234418	236731	5.0214083	-0.3180773	0.31807729	0.19675233	0.75910474	4.82838131	4.88050631	5.38446092	4.921879	NON	NON
MvSl-1064-A1-R4_A1g00109	238	717	MvSl-1064-A2-R4_A2g00119	234	705	Green	ColorStrata	2	0.008403361	0.09166985	71	142	0.596638655	0.772423883	2	0.008547009	0.092450033	71	142	0.606837607	0.778997822	0	0	0	238849	239016	6.5585574	-0.1443426	0.14434257	0.51968925	0.98553807	6.28957409	6.65663697	6.85366064	6.36245015	NON	NON
MvSl-1064-A1-R4_A1g00110	856	2571	MvSl-1064-A2-R4_A2g00120	856	2571	Green	ColorStrata	2	0.002336449	0.048336824	200.5	401	0.468457944	0.684439876	2	0.002336449	0.048336824	200.5	401	0.468457944	0.684439876	0	0	0	239159	240017	8.26072387	0.24128793	0.24128793	0.2951781	0.88106866	8.44137915	8.30803743	8.0403235	8.22393029	NON	NON
