gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_A1g00071	495	1488	MvSl-1064-A2-R4_A2g00071	495	1488	bPAR	bPAR	4	97.5	390	4	97.5	390	0	0	0	154349	157189	4.03272619	-0.5074126	0.50741261	0.05990893	0.41605314	3.73706937	3.78298245	4.28941974	4.2393572	NON	NON
MvSl-1064-A1-R4_A1g00072	663	1992	MvSl-1064-A2-R4_A2g00072	663	1992	bPAR	bPAR	4	110.25	441	4	110.25	441	0	0	0	158422	160299	7.8343337	-0.1013945	0.10139453	0.69061366	0.99994992	7.95827535	7.5829823	7.54799374	8.15664991	NON	NON
MvSl-1064-A1-R4_A1g00073	375	1128	MvSl-1064-A2-R4_A2g00073	375	1128	bPAR	bPAR	3	107.667	323	3	107.667	323	0	0	0	160618	163050	5.103829051	0.811477637	0.811477637	0.001586955	0.025743608	5.292301387	5.59407755	4.36206763	4.876735855	Up	DE
MvSl-1064-A1-R4_A1g00074	613	1842	MvSl-1064-A2-R4_A2g00074	613	1842	bPAR	bPAR	10	124.3	1243	10	124.3	1243	0	0	0	165329	166779	8.7491943	-0.5562694	0.55626944	0.05611016	0.40173044	8.22098383	8.63808733	9.28220032	8.65059458	NON	NON
MvSl-1064-A1-R4_A1g00076	859	2580	MvSl-1064-A2-R4_A2g00076	859	2580	bPAR	bPAR	1	125	125	1	125	125	0	0	0	171697	173594	7.14187972	0.04586534	0.04586534	0.8087732	0.99994992	7.18045857	7.14856796	7.18353706	7.05089879	NON	NON
MvSl-1064-A1-R4_A1g00077	460	1383	MvSl-1064-A2-R4_A2g00077	460	1383	bPAR	bPAR	1	93	93	1	93	93	0	0	0	173863	176567	6.61989281	-0.0468506	0.04685062	0.81113546	0.99994992	6.47192629	6.71085669	6.73125443	6.54920365	NON	NON
MvSl-1064-A1-R4_A1g00078	153	462	MvSl-1064-A2-R4_A2g00078	153	462	bPAR	bPAR	1	0	0	1	0	0	0	0	0	177417	178892	7.162015405	-0.993002656	0.993002656	8.92E-05	0.002056118	6.188489281	6.891761894	7.771153038	7.347523635	Down	DE
MvSl-1064-A1-R4_A1g00079	1388	4167	MvSl-1064-A2-R4_A2g00079	1388	4167	bPAR	bPAR	10	83.6	836	10	83.5	835	0	0.1	1	179366	179827	5.694014129	-1.646693649	1.646693649	7.76E-10	3.79E-08	4.856897194	4.413095053	5.91206624	6.597469001	Down	DE
MvSl-1064-A1-R4_A1g00080	151	456	MvSl-1064-A2-R4_A2g00080	151	456	bPAR	bPAR	3	92	276	3	92	276	0	0	0	180716	185718	5.542369321	-1.367630539	1.367630539	5.04E-10	2.49E-08	4.671337984	4.740031501	5.91079222	6.21449043	Down	DE
MvSl-1064-A1-R4_A1g00081	363	1092	MvSl-1064-A2-R4_A2g00081	363	1092	Black	OldStrata	8	84	672	8	83.75	670	0	0.25	2	186136	186867	5.666856495	-2.764413249	2.764413249	2.80E-28	4.52E-26	3.896655408	3.506191765	6.231726911	6.674746223	Down	DE
MvSl-1064-A1-R4_A1g00106	452	1359	MvSl-1064-A2-R4_A2g00116	452	1359	Black	OldStrata	3	81	243	3	90.3333	271	0	9.3333	28	192447	192848	2.222659039	1.297354832	1.297354832	0.002461132	0.037571822	3.144754949	2.086543214	1.51836347	1.363278739	Up	DE
MvSl-1064-A1-R4_A1g00108	55	168	MvSl-1064-A2-R4_A2g00118	55	168	Black	OldStrata	1	0	0	1	0	0	0	0	0	234418	236731	5.0214083	-0.3180773	0.31807729	0.19675233	0.75910474	4.82838131	4.88050631	5.38446092	4.921879	NON	NON
MvSl-1064-A1-R4_A1g00109	238	717	MvSl-1064-A2-R4_A2g00119	234	705	Green	ColorStrata	2	71	142	2	71	142	0	0	0	238849	239016	6.5585574	-0.1443426	0.14434257	0.51968925	0.98553807	6.28957409	6.65663697	6.85366064	6.36245015	NON	NON
MvSl-1064-A1-R4_A1g00110	856	2571	MvSl-1064-A2-R4_A2g00120	856	2571	Green	ColorStrata	2	200.5	401	2	200.5	401	0	0	0	239159	240017	8.26072387	0.24128793	0.24128793	0.2951781	0.88106866	8.44137915	8.30803743	8.0403235	8.22393029	NON	NON
MvSl-1064-A1-R4_A1g00113	899	2700	MvSl-1064-A2-R4_A2g00123	899	2700	Green	ColorStrata	2	84	168	2	84	168	0	0	0	244443	244638	7.97963765	-0.0750358	0.07503575	0.73876846	0.99994992	7.96674954	7.91613139	7.82895257	8.18279471	NON	NON
MvSl-1064-A1-R4_A1g00367	543	1632	MvSl-1064-A2-R4_A2g00124	543	1632	Red	ColorStrata	4	75.25	301	4	75.25	301	0	0	0	248916	251783	4.02388587	-0.5532182	0.55321819	0.04056844	0.32842761	3.74217388	3.70693705	4.30889509	4.2393572	NON	NON
MvSl-1064-A1-R4_A1g00368	400	1203	MvSl-1064-A2-R4_A2g00125	400	1203	Red	ColorStrata	3	85.6667	257	3	86	258	0	-0.3333	-1	270179	271004	6.24573164	-0.0435655	0.04356553	0.83978503	0.99994992	6.01904706	6.40315743	6.42259857	6.09320606	NON	NON
MvSl-1064-A1-R4_A1g00369	649	1950	MvSl-1064-A2-R4_A2g00126	649	1950	Red	ColorStrata	5	75.8	379	5	75.8	379	0	0	0	272261	274501	7.10402066	-0.0864629	0.0864629	0.65543502	0.99994992	7.00789478	7.11070408	7.25355216	7.03103936	NON	NON
MvSl-1064-A1-R4_A1g00370	678	2037	MvSl-1064-A2-R4_A2g00127	672	2019	Red	ColorStrata	5	64.8	324	5	64.8	324	0	0	0	319920	320757	6.47246844	0.01621131	0.01621131	0.93114206	0.99994992	6.53063156	6.4286342	6.46488106	6.46379328	NON	NON
MvSl-1064-A1-R4_A1g00371	1141	3426	MvSl-1064-A2-R4_A2g00128	1130	3393	Red	ColorStrata	6	88.6667	548	6	91.3333	532	0	-2.6666	16	337815	342587	6.61643802	-0.1961767	0.1961767	0.30032784	0.88541286	6.59552706	6.43021166	6.68654216	6.73550556	NON	NON
MvSl-1064-A1-R4_A1g00372	877	2634	MvSl-1064-A2-R4_A2g00129	875	2628	Red	ColorStrata	5	79	395	5	79	395	0	0	0	342659	343448	7.38039018	0.16874036	0.16874036	0.39238775	0.94473725	7.46918451	7.45516563	7.32654997	7.25975159	NON	NON
MvSl-1064-A1-R4_A1g00373	354	1065	MvSl-1064-A2-R4_A2g00130	354	1065	Red	ColorStrata	3	100	300	3	100	300	0	0	0	343906	345432	5.68657226	0.31210242	0.31210242	0.17926227	0.73396222	5.68580656	5.96766438	5.75196043	5.24807046	NON	NON
MvSl-1064-A1-R4_A1g00374	703	2112	MvSl-1064-A2-R4_A2g00131	703	2112	Red	ColorStrata	4	71.5	286	4	71.5	286	0	0	0	357937	361103	7.80410136	0.12908618	0.12908618	0.5688573	0.9930078	7.93394477	7.79708811	7.51105696	7.9342961	NON	NON
MvSl-1064-A1-R4_A1g00375	133	402	MvSl-1064-A2-R4_A2g00132	138	417	Red	ColorStrata	1	75	75	1	75	75	0	0	0	368181	370216	3.70917476	0.05816793	0.05816793	0.84035149	0.99994992	3.8069395	3.66467866	3.53376047	3.8128533	NON	NON
MvSl-1064-A1-R4_A1g01392	1213	3642	MvSl-1064-A2-R4_A2g00153	1207	3624	Black	OldStrata	4	72.5	308	4	77	290	0	-4.5	18	380085	382864	5.35151434	-0.2437126	0.2437126	0.29502314	0.88106866	5.224618	5.22572118	5.66999166	5.23339888	NON	NON
MvSl-1064-A1-R4_A1g01393	401	1206	MvSl-1064-A2-R4_A2g00154	471	1416	Black	OldStrata	2	81	232	3	77.3333	162	-1	3.6667	70	406221	406733	6.05851499	0.3978728	0.3978728	0.03988637	0.32537075	6.27643974	6.20915063	5.82817228	5.8634108	NON	NON
MvSl-1064-A1-R4_A1g00209	621	1866	MvSl-1064-A2-R4_A2g00160	580	1743	Black	OldStrata	1	61	61	3	204.667	614	-2	-143.667	-553	407531	411380	5.17590552	0.16172078	0.16172078	0.46523498	0.97618821	5.28881717	5.2184361	5.12798192	5.05656715	NON	NON
MvSl-1064-A1-R4_A1g01415	364	1095	MvSl-1064-A2-R4_A2g00163	364	1095	Black	OldStrata	10	107.8	1078	10	107.7	1077	0	0.1	1	411533	413382	6.90532097	0.39982018	0.39982018	0.0412516	0.33175909	6.92053564	7.24358843	6.65264615	6.72954349	NON	NON
MvSl-1064-A1-R4_A1g00290	1078	3237	MvSl-1064-A2-R4_A2g00169	1078	3237	Black	OldStrata	4	86.75	345	4	86.25	347	0	0.5	-2	427406	429655	7.27359485	0.17848147	0.17848147	0.38055429	0.93541077	7.46995392	7.24089444	7.27500049	7.08164801	NON	NON
MvSl-1064-A1-R4_A1g00772	343	1032	MvSl-1064-A2-R4_A2g00179	360	1083	Blue	OldStrata	3	65.6667	248	3	82.6667	197	0	-17	51	468377	470856	3.86108266	-0.4478976	0.44789756	0.20691182	0.77582856	3.28426726	3.89688676	4.44889518	3.54737417	NON	NON
MvSl-1064-A1-R4_A1g01388	748	2247	MvSl-1064-A2-R4_A2g00186	858	2577	Black	OldStrata	2	64	131	2	65.5	128	0	-1.5	3	471540	472718	5.48745068	0.40627117	0.40627117	0.16525786	0.70582747	5.5099303	5.82386187	5.67300074	4.7081031	NON	NON
MvSl-1064-A1-R4_A1g01252	321	966	MvSl-1064-A2-R4_A2g00195	294	885	Orange	ColorStrata	4	130.25	521	4	149.75	599	0	-19.5	-78	473140	476235	6.6045101	-0.1113741	0.11137411	0.54969738	0.99096192	6.55404138	6.54167278	6.64653592	6.67164004	NON	NON
MvSl-1064-A1-R4_A1g01253	182	549	MvSl-1064-A2-R4_A2g00196	169	510	Black	OldStrata	4	105	420	4	95	380	0	10	40	525538	526703	6.667842774	-0.854931713	0.854931713	4.91E-05	0.001193109	5.95783539	6.370665454	7.131438766	6.927422143	Down	DE
MvSl-1064-A1-R4_A1g00800	445	1338	MvSl-1064-A2-R4_A2g00203	457	1374	Black	OldStrata	9	96.1111	819	8	102.375	865	1	-6.2639	-46	545893	546933	6.75254765	-0.1346871	0.1346871	0.48175954	0.97871377	6.62484076	6.74040353	6.96095961	6.6599319	NON	NON
MvSl-1064-A1-R4_A1g00801	348	1047	MvSl-1064-A2-R4_A2g00204	348	1047	Blue	OldStrata	2	76	152	2	76	152	0	0	0	547576	548488	3.71699403	-0.0321846	0.03218455	0.92059792	0.99994992	3.44316049	3.91952567	4.00417307	3.39750413	NON	NON
MvSl-1064-A1-R4_A1g00591	443	1332	MvSl-1064-A2-R4_A2g00208	446	1341	Black	OldStrata	1	0	0	1	0	0	0	0	0	552007	553387	3.876731588	-4.272358924	4.272358924	9.78E-25	1.35E-22	1.027525212	0.060947975	4.380592681	5.139844794	Down	DE
MvSl-1064-A1-R4_A1g00593	1188	3567	MvSl-1064-A2-R4_A2g00210	1188	3567	Blue	OldStrata	6	89.6667	541	6	90.1667	538	0	-0.5	3	576253	577851	8.1022408	0.03423789	0.03423789	0.87966239	0.99994992	8.20559097	8.02739954	7.96406594	8.1966373	NON	NON
