gene	haploid	chr	intronnr	intronmean	introntotal	DE_status	Expression
MvSl-1064-A1-R4_A1g00030	A1	bPAR	1	85	85	NON	5.67278
MvSl-1064-A1-R4_A1g00031	A1	bPAR	7	93.5714	655	NON	4.57041
MvSl-1064-A1-R4_A1g00032	A1	bPAR	12	93.6667	1124	NON	9.36855
MvSl-1064-A1-R4_A1g00033	A1	bPAR	3	51.6667	155	NON	4.44665
MvSl-1064-A1-R4_A1g00035	A1	bPAR	1	0	0	NON	5.32011
MvSl-1064-A1-R4_A1g00036	A1	bPAR	3	93	279	NON	5.33338
MvSl-1064-A1-R4_A1g00037	A1	bPAR	2	85.5	171	NON	4.79601
MvSl-1064-A1-R4_A1g00039	A1	bPAR	12	90.0833	1081	NON	8.25173
MvSl-1064-A1-R4_A1g00040	A1	bPAR	7	87.5714	613	NON	1.1263
MvSl-1064-A1-R4_A1g00046	A1	bPAR	7	83.1429	582	NON	3.98661
MvSl-1064-A1-R4_A1g00047	A1	bPAR	5	74	370	NON	5.03772
MvSl-1064-A1-R4_A1g00048	A1	bPAR	1	0	0	NON	4.8138
MvSl-1064-A1-R4_A1g00049	A1	bPAR	7	79.1429	554	NON	5.34395
MvSl-1064-A1-R4_A1g00050	A1	bPAR	3	72.6667	218	NON	5.25409
MvSl-1064-A1-R4_A1g00051	A1	bPAR	4	85	340	NON	7.06914
MvSl-1064-A1-R4_A1g00052	A1	bPAR	1	180	180	NON	1.03456
MvSl-1064-A1-R4_A1g00053	A1	bPAR	5	71.4	357	NON	6.61109
MvSl-1064-A1-R4_A1g00054	A1	bPAR	7	76.7143	537	NON	2.36373
MvSl-1064-A1-R4_A1g00055	A1	bPAR	2	72	144	NON	5.14162
MvSl-1064-A1-R4_A1g00056	A1	bPAR	6	94.6667	568	NON	8.49956
MvSl-1064-A1-R4_A1g00057	A1	bPAR	1	0	0	NON	4.56746
MvSl-1064-A1-R4_A1g00058	A1	bPAR	1	128	128	NON	0.912933
MvSl-1064-A1-R4_A1g00059	A1	bPAR	1	0	0	NON	3.21855
MvSl-1064-A1-R4_A1g00060	A1	bPAR	5	119.8	599	NON	2.85993
MvSl-1064-A1-R4_A1g00061	A1	bPAR	3	100.333	301	NON	7.15309
MvSl-1064-A1-R4_A1g00062	A1	bPAR	5	129	645	NON	6.00055
MvSl-1064-A1-R4_A1g00063	A1	bPAR	3	108.333	325	NON	5.0366
MvSl-1064-A1-R4_A1g00064	A1	bPAR	3	151.667	455	NON	8.1332
MvSl-1064-A1-R4_A1g00065	A1	bPAR	10	81.9	819	NON	7.36661
MvSl-1064-A1-R4_A1g00066	A1	bPAR	2	73	146	NON	8.0133
MvSl-1064-A1-R4_A1g00067	A1	bPAR	8	105	840	NON	1.30722
MvSl-1064-A1-R4_A1g00068	A1	bPAR	3	124.667	374	NON	0.889458
MvSl-1064-A1-R4_A1g00069	A1	bPAR	2	98	196	NON	5.81618
MvSl-1064-A1-R4_A1g00070	A1	bPAR	1	84	84	NON	7.39862
MvSl-1064-A1-R4_A1g00071	A1	bPAR	4	97.5	390	NON	4.23528
MvSl-1064-A1-R4_A1g00072	A1	bPAR	4	110.25	441	NON	7.81151
MvSl-1064-A1-R4_A1g00073	A1	bPAR	3	107.667	323	DE	4.57478
MvSl-1064-A1-R4_A1g00074	A1	bPAR	10	124.3	1243	NON	8.9551
MvSl-1064-A1-R4_A1g00076	A1	bPAR	1	125	125	NON	7.07177
MvSl-1064-A1-R4_A1g00077	A1	bPAR	1	93	93	NON	6.59561
MvSl-1064-A1-R4_A1g00078	A1	bPAR	1	0	0	DE	7.5136
MvSl-1064-A1-R4_A1g00079	A1	bPAR	10	83.6	836	DE	6.20536
MvSl-1064-A1-R4_A1g00080	A1	bPAR	3	92	276	DE	6.03296
MvSl-1064-A1-R4_A1g00081	A1	faBlack	8	84	672	DE	6.31169
MvSl-1064-A1-R4_A1g00106	A1	faBlack	3	81	243	NON	0.926313
MvSl-1064-A1-R4_A1g00107	A1	faBlack	11	89	979	DE	1.97046
MvSl-1064-A1-R4_A1g00108	A1	faBlack	1	0	0	NON	5.0987
MvSl-1064-A1-R4_A1g00109	A1	cGreen	2	71	142	NON	7.10288
MvSl-1064-A1-R4_A1g00110	A1	cGreen	2	200.5	401	NON	8.08802
MvSl-1064-A1-R4_A1g00112	A1	cGreen	2	148	296	DE	2.22216
MvSl-1064-A1-R4_A1g00113	A1	cGreen	2	84	168	NON	7.96071
MvSl-1064-A1-R4_A1g00118	A1	faBlack	2	66.5	133	NON	3.94276
MvSl-1064-A1-R4_A1g00144	A1	faBlack	3	121.333	364	NON	6.78608
MvSl-1064-A1-R4_A1g00153	A1	faBlack	9	72.3333	651	NON	7.96759
MvSl-1064-A1-R4_A1g00154	A1	faBlack	1	127	127	DE	5.37663
MvSl-1064-A1-R4_A1g00155	A1	faBlack	1	0	0	NON	6.07553
MvSl-1064-A1-R4_A1g00163	A1	faBlack	1	56	56	DE	2.37989
MvSl-1064-A1-R4_A1g00165	A1	faBlack	6	82.8333	497	DE	7.88292
MvSl-1064-A1-R4_A1g00175	A1	gPurple	3	85.6667	257	NON	7.22224
MvSl-1064-A1-R4_A1g00184	A1	gPurple	2	124.5	249	NON	6.12355
MvSl-1064-A1-R4_A1g00185	A1	gPurple	13	82.2308	1069	NON	8.19607
MvSl-1064-A1-R4_A1g00186	A1	gPurple	4	124.25	497	NON	7.46662
MvSl-1064-A1-R4_A1g00193	A1	faBlack	8	105.75	846	NON	8.83716
MvSl-1064-A1-R4_A1g00209	A1	faBlack	3	204.667	614	DE	6.28399
MvSl-1064-A1-R4_A1g00210	A1	faBlack	4	105	420	NON	5.32552
MvSl-1064-A1-R4_A1g00211	A1	faBlack	8	76.5	612	NON	8.93073
MvSl-1064-A1-R4_A1g00215	A1	faBlack	1	0	0	NON	3.50959
MvSl-1064-A1-R4_A1g00241	A1	faBlack	1	0	0	DE	7.20617
MvSl-1064-A1-R4_A1g00242	A1	faBlack	4	84.25	337	DE	5.27274
MvSl-1064-A1-R4_A1g00245	A1	faBlack	1	72	72	NON	4.8937
MvSl-1064-A1-R4_A1g00246	A1	faBlack	2	173	346	DE	5.84973
MvSl-1064-A1-R4_A1g00254	A1	faBlack	3	73	219	DE	5.43568
MvSl-1064-A1-R4_A1g00270	A1	faBlack	3	208	624	DE	5.98653
MvSl-1064-A1-R4_A1g00280	A1	faBlack	9	70	630	NON	7.75692
MvSl-1064-A1-R4_A1g00281	A1	faBlack	9	77	693	NON	6.37088
MvSl-1064-A1-R4_A1g00290	A1	faBlack	4	86.75	347	NON	7.13811
MvSl-1064-A1-R4_A1g00292	A1	faBlack	8	90.125	721	DE	7.22122
MvSl-1064-A1-R4_A1g00307	A1	faBlack	1	80	80	NON	6.77776
MvSl-1064-A1-R4_A1g00311	A1	faBlack	9	86.1111	775	NON	8.27128
MvSl-1064-A1-R4_A1g00312	A1	faBlack	1	118	118	DE	9.31927
MvSl-1064-A1-R4_A1g00326	A1	faBlack	1	0	0	DE	-3.35702
MvSl-1064-A1-R4_A1g00327	A1	faBlack	4	91.75	367	NON	4.2327
MvSl-1064-A1-R4_A1g00351	A1	faBlack	9	70.8889	638	NON	8.4489
MvSl-1064-A1-R4_A1g00352	A1	faBlack	2	60	120	NON	5.49701
MvSl-1064-A1-R4_A1g00359	A1	faBlack	8	125.375	1003	NON	8.74363
MvSl-1064-A1-R4_A1g00367	A1	dRed	4	75.25	301	NON	4.2295
MvSl-1064-A1-R4_A1g00368	A1	dRed	3	85.6667	257	NON	6.21284
MvSl-1064-A1-R4_A1g00369	A1	dRed	5	75.8	379	NON	7.09591
MvSl-1064-A1-R4_A1g00370	A1	dRed	5	64.8	324	NON	7.02343
MvSl-1064-A1-R4_A1g00371	A1	dRed	6	91.3333	548	NON	7.45264
MvSl-1064-A1-R4_A1g00372	A1	dRed	5	79	395	NON	7.34725
MvSl-1064-A1-R4_A1g00373	A1	dRed	3	100	300	NON	5.45468
MvSl-1064-A1-R4_A1g00374	A1	dRed	4	71.5	286	NON	7.67469
MvSl-1064-A1-R4_A1g00375	A1	dRed	1	75	75	NON	4.57409
MvSl-1064-A1-R4_A1g00379	A1	dRed	1	0	0	NON	0.835894
MvSl-1064-A1-R4_A1g00380	A1	dRed	2	210.5	421	NON	6.59571
MvSl-1064-A1-R4_A1g00390	A1	dRed	1	280	280	NON	5.09269
MvSl-1064-A1-R4_A1g00391	A1	dRed	6	102.5	615	NON	6.97601
MvSl-1064-A1-R4_A1g00394	A1	dRed	3	108.333	325	NON	6.28567
MvSl-1064-A1-R4_A1g00395	A1	dRed	9	73.2222	659	NON	8.31047
MvSl-1064-A1-R4_A1g00396	A1	dRed	5	83.6	418	NON	7.64196
MvSl-1064-A1-R4_A1g00397	A1	dRed	3	121	363	NON	9.20386
MvSl-1064-A1-R4_A1g00398	A1	dRed	4	183.75	735	NON	8.12088
MvSl-1064-A1-R4_A1g00399	A1	dRed	2	74.5	149	NON	7.90739
MvSl-1064-A1-R4_A1g00400	A1	dRed	7	91.2857	639	DE	5.20188
MvSl-1064-A1-R4_A1g00401	A1	dRed	4	93.5	374	NON	7.46416
MvSl-1064-A1-R4_A1g00402	A1	dRed	3	82.3333	247	NON	7.88788
MvSl-1064-A1-R4_A1g00403	A1	dRed	7	66.7143	467	NON	6.94312
MvSl-1064-A1-R4_A1g00404	A1	dRed	5	70.4	352	NON	3.25203
MvSl-1064-A1-R4_A1g00405	A1	dRed	5	80.2	401	NON	4.91736
MvSl-1064-A1-R4_A1g00406	A1	dRed	1	83	83	NON	5.4273
MvSl-1064-A1-R4_A1g00432	A1	faBlack	3	111.667	335	NON	7.04245
MvSl-1064-A1-R4_A1g00433	A1	faBlack	3	74.3333	223	NON	5.48775
MvSl-1064-A1-R4_A1g00441	A1	gPurple	7	118	826	NON	5.36297
MvSl-1064-A1-R4_A1g00478	A1	fBlue	3	85	255	NON	7.12428
MvSl-1064-A1-R4_A1g00481	A1	faBlack	2	49.5	99	NON	3.14207
MvSl-1064-A1-R4_A1g00492	A1	faBlack	1	52	52	NON	4.59952
MvSl-1064-A1-R4_A1g00495	A1	fBlue	2	144.5	289	DE	7.62627
MvSl-1064-A1-R4_A1g00503	A1	faBlack	8	78.625	629	NON	6.40021
MvSl-1064-A1-R4_A1g00504	A1	faBlack	4	76.5	306	NON	3.63611
MvSl-1064-A1-R4_A1g00505	A1	faBlack	8	114.625	917	NON	6.32966
MvSl-1064-A1-R4_A1g00506	A1	faBlack	8	80	640	NON	4.94461
MvSl-1064-A1-R4_A1g00507	A1	faBlack	13	96.3846	1253	NON	5.87003
MvSl-1064-A1-R4_A1g00510	A1	faBlack	1	0	0	NON	5.78679
MvSl-1064-A1-R4_A1g00511	A1	faBlack	7	75.8571	531	NON	6.84203
MvSl-1064-A1-R4_A1g00512	A1	faBlack	7	105.429	738	NON	5.06025
MvSl-1064-A1-R4_A1g00513	A1	faBlack	9	71.3333	642	NON	5.75686
MvSl-1064-A1-R4_A1g00514	A1	faBlack	2	82	164	NON	8.17824
MvSl-1064-A1-R4_A1g00515	A1	faBlack	3	69.6667	209	NON	5.49204
MvSl-1064-A1-R4_A1g00516	A1	faBlack	6	131.5	789	DE	9.00577
MvSl-1064-A1-R4_A1g00517	A1	faBlack	2	216	432	NON	8.62919
MvSl-1064-A1-R4_A1g00518	A1	faBlack	6	94.1667	565	NON	6.47379
MvSl-1064-A1-R4_A1g00519	A1	faBlack	1	71	71	NON	7.3177
MvSl-1064-A1-R4_A1g00520	A1	faBlack	2	72	144	NON	5.6604
MvSl-1064-A1-R4_A1g00521	A1	faBlack	3	106.667	320	NON	6.11793
MvSl-1064-A1-R4_A1g00522	A1	faBlack	6	84.6667	508	DE	2.27398
MvSl-1064-A1-R4_A1g00525	A1	faBlack	3	105.333	316	NON	7.49626
MvSl-1064-A1-R4_A1g00527	A1	faBlack	2	88.5	177	NON	5.07576
MvSl-1064-A1-R4_A1g00528	A1	faBlack	2	85	170	NON	2.67387
MvSl-1064-A1-R4_A1g00529	A1	faBlack	1	0	0	NON	3.46142
MvSl-1064-A1-R4_A1g00530	A1	faBlack	7	81.7143	572	NON	6.85964
MvSl-1064-A1-R4_A1g00532	A1	faBlack	1	74	74	NON	5.16366
MvSl-1064-A1-R4_A1g00533	A1	faBlack	4	107.25	429	NON	6.06063
MvSl-1064-A1-R4_A1g00534	A1	faBlack	9	110	990	NON	7.75529
MvSl-1064-A1-R4_A1g00541	A1	faBlack	3	71.3333	214	NON	6.28255
MvSl-1064-A1-R4_A1g00542	A1	faBlack	4	79.5	318	NON	5.03925
MvSl-1064-A1-R4_A1g00543	A1	faBlack	9	97.2222	875	NON	7.02619
MvSl-1064-A1-R4_A1g00544	A1	faBlack	2	153.5	307	NON	5.63937
MvSl-1064-A1-R4_A1g00575	A1	faBlack	7	116.286	814	NON	7.63479
MvSl-1064-A1-R4_A1g00576	A1	faBlack	1	0	0	NON	4.00066
MvSl-1064-A1-R4_A1g00593	A1	fBlue	6	90.1667	541	NON	8.0334
MvSl-1064-A1-R4_A1g00594	A1	faBlack	3	102.333	307	DE	5.93226
MvSl-1064-A1-R4_A1g00624	A1	gPurple	7	107.286	751	DE	7.88098
MvSl-1064-A1-R4_A1g00635	A1	faBlack	10	66.5	665	DE	4.67781
MvSl-1064-A1-R4_A1g00641	A1	faBlack	1	128	128	DE	3.92387
MvSl-1064-A1-R4_A1g00644	A1	faBlack	1	156	156	DE	5.55818
MvSl-1064-A1-R4_A1g00645	A1	faBlack	5	89.4	447	NON	6.09457
MvSl-1064-A1-R4_A1g00646	A1	faBlack	2	86	172	DE	8.56593
MvSl-1064-A1-R4_A1g00648	A1	faBlack	3	109.667	329	DE	6.10116
MvSl-1064-A1-R4_A1g00668	A1	eOrange	7	131	917	DE	7.30375
MvSl-1064-A1-R4_A1g00669	A1	eOrange	2	101	202	NON	6.01191
MvSl-1064-A1-R4_A1g00693	A1	faBlack	5	98.6	493	NON	7.24269
MvSl-1064-A1-R4_A1g00694	A1	faBlack	4	76.5	306	NON	7.19115
MvSl-1064-A1-R4_A1g00718	A1	faBlack	2	71.5	143	DE	4.61018
MvSl-1064-A1-R4_A1g00726	A1	faBlack	6	114.833	689	NON	7.64931
MvSl-1064-A1-R4_A1g00732	A1	faBlack	1	60	60	NON	6.55024
MvSl-1064-A1-R4_A1g00749	A1	faBlack	2	81.5	163	NON	7.67663
MvSl-1064-A1-R4_A1g00750	A1	faBlack	4	79.5	318	NON	6.03858
MvSl-1064-A1-R4_A1g00751	A1	faBlack	10	72.7	727	NON	8.22365
MvSl-1064-A1-R4_A1g00756	A1	faBlack	1	0	0	NON	0.437223
MvSl-1064-A1-R4_A1g00757	A1	faBlack	2	99	198	NON	1.88795
MvSl-1064-A1-R4_A1g00772	A1	fBlue	3	82.6667	248	NON	4.27738
MvSl-1064-A1-R4_A1g00778	A1	faBlack	7	76.8571	538	NON	4.58693
MvSl-1064-A1-R4_A1g00779	A1	faBlack	10	96	960	NON	7.67674
MvSl-1064-A1-R4_A1g00794	A1	faBlack	4	87.25	349	NON	5.23834
MvSl-1064-A1-R4_A1g00800	A1	faBlack	8	102.375	819	DE	7.16995
MvSl-1064-A1-R4_A1g00801	A1	fBlue	2	76	152	NON	3.65382
MvSl-1064-A1-R4_A1g00804	A1	faBlack	1	0	0	DE	0.327346
MvSl-1064-A1-R4_A1g00832	A1	faBlack	5	112.8	564	NON	7.36923
MvSl-1064-A1-R4_A1g00835	A1	faBlack	2	65.5	131	DE	1.09865
MvSl-1064-A1-R4_A1g00840	A1	faBlack	2	75.5	151	NON	6.58748
MvSl-1064-A1-R4_A1g00842	A1	faBlack	6	114.333	686	NON	7.59865
MvSl-1064-A1-R4_A1g00843	A1	faBlack	2	129.5	259	NON	4.212
MvSl-1064-A1-R4_A1g00845	A1	faBlack	3	92.3333	277	NON	6.68877
MvSl-1064-A1-R4_A1g00853	A1	gPurple	6	114.833	689	DE	8.02149
MvSl-1064-A1-R4_A1g00854	A1	gPurple	8	97.125	777	DE	7.50358
MvSl-1064-A1-R4_A1g00869	A1	faBlack	10	84.8	848	NON	9.56132
MvSl-1064-A1-R4_A1g00886	A1	faBlack	1	94	94	NON	4.27201
MvSl-1064-A1-R4_A1g00911	A1	faBlack	6	87.8333	527	NON	6.6911
MvSl-1064-A1-R4_A1g00912	A1	faBlack	4	90.25	361	NON	5.54275
MvSl-1064-A1-R4_A1g00920	A1	faBlack	4	115.5	462	DE	6.16843
MvSl-1064-A1-R4_A1g00921	A1	faBlack	7	96.5714	676	NON	7.34827
MvSl-1064-A1-R4_A1g00922	A1	faBlack	1	107	107	NON	6.42017
MvSl-1064-A1-R4_A1g00923	A1	faBlack	1	0	0	DE	3.10884
MvSl-1064-A1-R4_A1g00929	A1	faBlack	2	69	138	DE	-1.63218
MvSl-1064-A1-R4_A1g00956	A1	faBlack	1	83	83	DE	5.00345
MvSl-1064-A1-R4_A1g00957	A1	faBlack	2	105.5	211	NON	4.90728
MvSl-1064-A1-R4_A1g00958	A1	faBlack	4	73.25	293	NON	7.09191
MvSl-1064-A1-R4_A1g00959	A1	faBlack	1	79	79	DE	3.71321
MvSl-1064-A1-R4_A1g00960	A1	faBlack	4	67.5	270	NON	7.7993
MvSl-1064-A1-R4_A1g00968	A1	faBlack	4	89.5	358	NON	6.17246
MvSl-1064-A1-R4_A1g00969	A1	faBlack	1	0	0	NON	1.73944
MvSl-1064-A1-R4_A1g00970	A1	faBlack	3	71.3333	214	DE	6.27788
MvSl-1064-A1-R4_A1g00971	A1	faBlack	1	118	118	NON	5.85832
MvSl-1064-A1-R4_A1g00972	A1	faBlack	3	81.3333	244	DE	6.78475
MvSl-1064-A1-R4_A1g00977	A1	faBlack	4	79	316	NON	3.9466
MvSl-1064-A1-R4_A1g00997	A1	fBlue	4	92.25	369	DE	6.89267
MvSl-1064-A1-R4_A1g00998	A1	fBlue	3	109.667	329	NON	4.44409
MvSl-1064-A1-R4_A1g01017	A1	gPurple	17	99.3529	1689	NON	8.34288
MvSl-1064-A1-R4_A1g01127	A1	faBlack	2	106.5	213	NON	0.740091
MvSl-1064-A1-R4_A1g01129	A1	faBlack	1	126	126	NON	7.16336
MvSl-1064-A1-R4_A1g01136	A1	faBlack	1	0	0	DE	4.57031
MvSl-1064-A1-R4_A1g01137	A1	faBlack	6	77.5	465	DE	6.91238
MvSl-1064-A1-R4_A1g01154	A1	fBlue	2	191	382	NON	7.33479
MvSl-1064-A1-R4_A1g01159	A1	fBlue	2	180	360	NON	6.87054
MvSl-1064-A1-R4_A1g01160	A1	fBlue	5	124.2	621	NON	7.04855
MvSl-1064-A1-R4_A1g01161	A1	fBlue	3	92	276	NON	5.9238
MvSl-1064-A1-R4_A1g01162	A1	fBlue	2	68	136	DE	-1.25634
MvSl-1064-A1-R4_A1g01163	A1	fBlue	4	87	348	DE	1.26334
MvSl-1064-A1-R4_A1g01164	A1	faBlack	10	83.2	832	DE	5.97584
MvSl-1064-A1-R4_A1g01173	A1	faBlack	5	155.2	776	NON	7.20324
MvSl-1064-A1-R4_A1g01184	A1	faBlack	1	97	97	NON	7.08549
MvSl-1064-A1-R4_A1g01189	A1	faBlack	2	79	158	NON	6.81169
MvSl-1064-A1-R4_A1g01212	A1	faBlack	7	79.5714	557	DE	4.25857
MvSl-1064-A1-R4_A1g01219	A1	faBlack	4	152	608	NON	11.6253
MvSl-1064-A1-R4_A1g01220	A1	faBlack	8	86.125	689	DE	5.02942
MvSl-1064-A1-R4_A1g01227	A1	gPurple	2	145	290	NON	7.6003
MvSl-1064-A1-R4_A1g01228	A1	faBlack	1	126	126	NON	3.36564
MvSl-1064-A1-R4_A1g01252	A1	eOrange	4	130.25	521	NON	6.97434
MvSl-1064-A1-R4_A1g01253	A1	faBlack	4	105	420	DE	7.01233
MvSl-1064-A1-R4_A1g01261	A1	eOrange	7	146	1022	DE	11.3493
MvSl-1064-A1-R4_A1g01271	A1	faBlack	5	101.6	508	NON	8.03721
MvSl-1064-A1-R4_A1g01272	A1	faBlack	3	100.333	301	NON	9.1595
MvSl-1064-A1-R4_A1g01282	A1	faBlack	3	115	345	DE	-2.13761
MvSl-1064-A1-R4_A1g01288	A1	faBlack	1	0	0	NON	4.67078
MvSl-1064-A1-R4_A1g01290	A1	faBlack	9	92.8889	836	NON	5.44974
MvSl-1064-A1-R4_A1g01347	A1	faBlack	5	89.4	447	DE	6.26581
MvSl-1064-A1-R4_A1g01348	A1	faBlack	1	91	91	NON	7.30728
MvSl-1064-A1-R4_A1g01350	A1	faBlack	2	77.5	155	NON	6.08116
MvSl-1064-A1-R4_A1g01351	A1	faBlack	5	120.4	602	NON	10.2352
MvSl-1064-A1-R4_A1g01358	A1	faBlack	1	55	55	DE	1.34116
MvSl-1064-A1-R4_A1g01359	A1	faBlack	5	78.2	391	DE	6.06904
MvSl-1064-A1-R4_A1g01366	A1	faBlack	1	138	138	NON	6.3787
MvSl-1064-A1-R4_A1g01367	A1	faBlack	3	65	195	NON	4.41408
MvSl-1064-A1-R4_A1g01368	A1	faBlack	7	64	448	NON	6.1141
MvSl-1064-A1-R4_A1g01369	A1	faBlack	5	103	515	NON	8.73697
MvSl-1064-A1-R4_A1g01376	A1	faBlack	11	71.8182	790	DE	6.37736
MvSl-1064-A1-R4_A1g01384	A1	faBlack	1	77	77	DE	8.18365
MvSl-1064-A1-R4_A1g01385	A1	faBlack	2	72	144	NON	4.91286
MvSl-1064-A1-R4_A1g01388	A1	faBlack	2	65.5	131	NON	5.14593
MvSl-1064-A1-R4_A1g01389	A1	faBlack	1	0	0	NON	6.90298
MvSl-1064-A1-R4_A1g01392	A1	faBlack	4	72.5	290	NON	5.70466
MvSl-1064-A1-R4_A1g01406	A1	faBlack	8	162.375	1299	NON	11.597
MvSl-1064-A1-R4_A1g01407	A1	faBlack	5	98	490	NON	6.94867
MvSl-1064-A1-R4_A1g01413	A1	faBlack	1	0	0	NON	1.99479
MvSl-1064-A1-R4_A1g01415	A1	faBlack	10	107.8	1078	NON	6.65061
MvSl-1064-A1-R4_A1g01418	A1	faBlack	9	84.5556	761	NON	3.92292
MvSl-1064-A1-R4_A1g01431	A1	fBlue	13	88.6154	1152	NON	6.77971
MvSl-1064-A1-R4_A1g01432	A1	fBlue	4	84.25	337	DE	4.06789
MvSl-1064-A1-R4_A1g01440	A1	bPAR	6	113.5	681	NON	6.92832
MvSl-1064-A1-R4_A1g01441	A1	bPAR	6	72	432	NON	6.24213
MvSl-1064-A1-R4_A1g01444	A1	bPAR	3	126.333	379	NON	11.1721
MvSl-1064-A1-R4_A1g01445	A1	bPAR	2	62	124	NON	7.4255
MvSl-1064-A1-R4_A1g01446	A1	bPAR	1	0	0	NON	5.07459
MvSl-1064-A1-R4_A1g01447	A1	bPAR	4	160.75	643	NON	6.01318
MvSl-1064-A1-R4_A1g01448	A1	bPAR	1	72	72	NON	2.05354
MvSl-1064-A1-R4_A1g01450	A1	bPAR	5	86.6	433	NON	4.71363
MvSl-1064-A1-R4_A1g01451	A1	bPAR	5	90.4	452	NON	5.38225
MvSl-1064-A1-R4_A1g01453	A1	bPAR	5	136.2	681	NON	7.68574
MvSl-1064-A1-R4_A1g01454	A1	bPAR	2	216.5	433	NON	2.66356
MvSl-1064-A1-R4_A1g01455	A1	bPAR	1	0	0	NON	3.16122
MvSl-1064-A1-R4_A1g01456	A1	bPAR	1	74	74	NON	3.069
MvSl-1064-A1-R4_A1g01457	A1	bPAR	1	0	0	NON	3.39297
MvSl-1064-A1-R4_A1g01458	A1	bPAR	7	71.1429	498	NON	6.70289
MvSl-1064-A1-R4_A1g01460	A1	bPAR	3	84.3333	253	NON	6.89203
MvSl-1064-A1-R4_A1g01461	A1	bPAR	1	153	153	NON	6.26923
MvSl-1064-A1-R4_A1g01462	A1	bPAR	5	88.4	442	NON	7.58324
MvSl-1064-A1-R4_A1g01465	A1	bPAR	1	92	92	NON	3.34191
MvSl-1064-A1-R4_A1g01466	A1	bPAR	1	0	0	NON	6.51004
MvSl-1064-A1-R4_A1g01467	A1	bPAR	6	85.6667	514	NON	5.6423
MvSl-1064-A1-R4_A1g01468	A1	bPAR	1	71	71	NON	5.55393
MvSl-1064-A1-R4_A1g01469	A1	bPAR	1	75	75	NON	0.126737
MvSl-1064-A1-R4_A1g01470	A1	bPAR	3	108	324	NON	5.73752
MvSl-1064-A1-R4_A1g01471	A1	bPAR	3	126.667	380	NON	6.6995
MvSl-1064-A1-R4_A1g01472	A1	bPAR	1	76	76	NON	5.83431
MvSl-1064-A1-R4_A1g01473	A1	bPAR	3	114	342	NON	7.84372
MvSl-1064-A1-R4_A1g01474	A1	bPAR	2	112	224	NON	0.900671
MvSl-1064-A1-R4_A1g01475	A1	bPAR	1	0	0	NON	-0.363995
MvSl-1064-A1-R4_A1g01476	A1	bPAR	1	69	69	NON	4.3558
MvSl-1064-A1-R4_A1g01477	A1	bPAR	4	63.25	253	NON	7.1217
MvSl-1064-A1-R4_A1g01478	A1	bPAR	3	125.667	377	NON	0.785943
MvSl-1064-A1-R4_A1g01479	A1	bPAR	1	311	311	NON	4.6087
MvSl-1064-A1-R4_A1g01480	A1	bPAR	1	0	0	NON	1.22976
MvSl-1064-A1-R4_A1g01481	A1	bPAR	1	64	64	NON	1.80788
MvSl-1064-A1-R4_A1g01484	A1	bPAR	3	138	414	NON	1.95098
MvSl-1064-A1-R4_A1g01485	A1	bPAR	4	78.5	314	NON	6.93855
MvSl-1064-A1-R4_A1g01486	A1	bPAR	2	67	134	NON	5.9952
MvSl-1064-A1-R4_A1g01487	A1	bPAR	4	86.25	345	NON	9.59629
