gene	chr	start	end	geneID	intronnr	intronmean	introntotal
MvSl-1064-A1-R4_A1	Black	334456	336536	MvSl-1064-A1-R4_A1g00152	7	86	602
MvSl-1064-A1-R4_A1	Black	345616	345969	MvSl-1064-A1-R4_A1g00156	1	0	0
MvSl-1064-A1-R4_A1	Black	346054	348415	MvSl-1064-A1-R4_A1g00157	3	66.3333	199
MvSl-1064-A1-R4_A1	Black	349059	350492	MvSl-1064-A1-R4_A1g00158	6	73.5	441
MvSl-1064-A1-R4_A1	Black	350690	351442	MvSl-1064-A1-R4_A1g00159	3	79	237
MvSl-1064-A1-R4_A1	Black	351935	353504	MvSl-1064-A1-R4_A1g00160	7	62.7143	439
MvSl-1064-A1-R4_A1	Black	353892	354131	MvSl-1064-A1-R4_A1g00161	1	105	105
MvSl-1064-A1-R4_A1	Black	354471	355498	MvSl-1064-A1-R4_A1g00162	3	100.667	302
MvSl-1064-A1-R4_A1	Black	356389	356731	MvSl-1064-A1-R4_A1g00164	1	49	49
MvSl-1064-A1-R4_A1	Black	361362	366328	MvSl-1064-A1-R4_A1g00166	10	87.5	875
MvSl-1064-A1-R4_A1	Black	366416	368114	MvSl-1064-A1-R4_A1g00167	6	74.1667	445
MvSl-1064-A1-R4_A1	Black	371961	372797	MvSl-1064-A1-R4_A1g00169	1	0	0
MvSl-1064-A1-R4_A1	Black	373568	374765	MvSl-1064-A1-R4_A1g00170	5	132.8	664
MvSl-1064-A1-R4_A1	Black	374824	375074	MvSl-1064-A1-R4_A1g00171	1	77	77
MvSl-1064-A1-R4_A1	Black	375380	377334	MvSl-1064-A1-R4_A1g00172	6	81.3333	488
MvSl-1064-A1-R4_A1	Black	378060	378408	MvSl-1064-A1-R4_A1g00173	1	121	121
MvSl-1064-A1-R4_A1	Black	379397	379588	MvSl-1064-A1-R4_A1g00174	1	0	0
MvSl-1064-A1-R4_A1	Black	383416	384228	MvSl-1064-A1-R4_A1g00176	3	68	204
MvSl-1064-A1-R4_A1	Black	384291	384480	MvSl-1064-A1-R4_A1g00177	1	61	61
MvSl-1064-A1-R4_A1	Black	384564	388620	MvSl-1064-A1-R4_A1g00178	7	129.143	904
MvSl-1064-A1-R4_A1	Black	388828	393931	MvSl-1064-A1-R4_A1g00179	7	79.8571	559
MvSl-1064-A1-R4_A1	Black	394135	397843	MvSl-1064-A1-R4_A1g00180	11	80.5455	886
MvSl-1064-A1-R4_A1	Black	397970	400792	MvSl-1064-A1-R4_A1g00181	7	89.1429	624
MvSl-1064-A1-R4_A1	Black	401034	403040	MvSl-1064-A1-R4_A1g00182	4	76.5	306
MvSl-1064-A1-R4_A1	Black	404057	405445	MvSl-1064-A1-R4_A1g00183	4	79.5	318
MvSl-1064-A1-R4_A1	Black	413919	415494	MvSl-1064-A1-R4_A1g00187	4	69.25	277
MvSl-1064-A1-R4_A1	Black	415822	415971	MvSl-1064-A1-R4_A1g00188	1	0	0
MvSl-1064-A1-R4_A1	Black	416903	421996	MvSl-1064-A1-R4_A1g00189	17	74.4706	1266
MvSl-1064-A1-R4_A1	Black	422409	423645	MvSl-1064-A1-R4_A1g00190	1	76	76
MvSl-1064-A1-R4_A1	Black	423985	426191	MvSl-1064-A1-R4_A1g00191	11	96.1818	1058
MvSl-1064-A1-R4_A1	Black	426307	427332	MvSl-1064-A1-R4_A1g00192	4	66	264
MvSl-1064-A1-R4_A1	Black	433303	434055	MvSl-1064-A1-R4_A1g00195	2	282	564
MvSl-1064-A1-R4_A1	Black	435618	435848	MvSl-1064-A1-R4_A1g00196	1	0	0
MvSl-1064-A1-R4_A1	Black	435923	438001	MvSl-1064-A1-R4_A1g00197	1	60	60
MvSl-1064-A1-R4_A1	Black	438188	438544	MvSl-1064-A1-R4_A1g00198	1	0	0
MvSl-1064-A1-R4_A1	Black	438734	438964	MvSl-1064-A1-R4_A1g00199	1	0	0
MvSl-1064-A1-R4_A1	Black	439073	444653	MvSl-1064-A1-R4_A1g00200	8	73.25	586
MvSl-1064-A1-R4_A1	Black	446323	447356	MvSl-1064-A1-R4_A1g00201	3	178.667	536
MvSl-1064-A1-R4_A1	Black	449331	450021	MvSl-1064-A1-R4_A1g00202	2	54.5	109
MvSl-1064-A1-R4_A1	Black	450086	454249	MvSl-1064-A1-R4_A1g00203	1	81	81
MvSl-1064-A1-R4_A1	Black	454328	454655	MvSl-1064-A1-R4_A1g00204	1	169	169
MvSl-1064-A1-R4_A1	Black	454922	459085	MvSl-1064-A1-R4_A1g00205	1	81	81
MvSl-1064-A1-R4_A1	Black	459170	464677	MvSl-1064-A1-R4_A1g00206	11	82.6364	909
MvSl-1064-A1-R4_A1	Black	465072	465263	MvSl-1064-A1-R4_A1g00207	1	0	0
MvSl-1064-A1-R4_A1	Black	465575	467434	MvSl-1064-A1-R4_A1g00208	4	85.5	342
MvSl-1064-A1-R4_A1	Black	479975	481871	MvSl-1064-A1-R4_A1g00212	5	114.8	574
MvSl-1064-A1-R4_A1	Black	481957	483035	MvSl-1064-A1-R4_A1g00213	3	149.667	449
MvSl-1064-A1-R4_A1	Black	483384	485405	MvSl-1064-A1-R4_A1g00214	3	86	258
MvSl-1064-A1-R4_A1	Black	487259	488338	MvSl-1064-A1-R4_A1g00216	1	102	102
MvSl-1064-A1-R4_A1	Black	488435	494733	MvSl-1064-A1-R4_A1g00217	2	50.5	101
MvSl-1064-A1-R4_A1	Black	495361	496879	MvSl-1064-A1-R4_A1g00218	2	135.5	271
MvSl-1064-A1-R4_A1	Black	497168	498774	MvSl-1064-A1-R4_A1g00219	2	116.5	233
MvSl-1064-A1-R4_A1	Black	499227	504223	MvSl-1064-A1-R4_A1g00220	3	90.6667	272
MvSl-1064-A1-R4_A1	Black	504685	508763	MvSl-1064-A1-R4_A1g00221	2	82	164
MvSl-1064-A1-R4_A1	Black	509610	512026	MvSl-1064-A1-R4_A1g00222	7	80	560
MvSl-1064-A1-R4_A1	Black	512213	513436	MvSl-1064-A1-R4_A1g00223	3	57	171
MvSl-1064-A1-R4_A1	Black	513881	514167	MvSl-1064-A1-R4_A1g00224	1	140	140
MvSl-1064-A1-R4_A1	Black	514800	515236	MvSl-1064-A1-R4_A1g00225	2	89.5	179
MvSl-1064-A1-R4_A1	Black	515650	516516	MvSl-1064-A1-R4_A1g00226	2	91.5	183
MvSl-1064-A1-R4_A1	Black	516570	517975	MvSl-1064-A1-R4_A1g00227	2	170.5	341
MvSl-1064-A1-R4_A1	Black	518039	523455	MvSl-1064-A1-R4_A1g00228	8	85.75	686
MvSl-1064-A1-R4_A1	Black	523869	524305	MvSl-1064-A1-R4_A1g00229	2	89.5	179
MvSl-1064-A1-R4_A1	Black	526863	527015	MvSl-1064-A1-R4_A1g00231	1	0	0
MvSl-1064-A1-R4_A1	Black	527440	527715	MvSl-1064-A1-R4_A1g00232	1	0	0
MvSl-1064-A1-R4_A1	Black	529154	529949	MvSl-1064-A1-R4_A1g00234	2	209	418
MvSl-1064-A1-R4_A1	Black	530216	533836	MvSl-1064-A1-R4_A1g00235	6	93	558
MvSl-1064-A1-R4_A1	Black	534384	537432	MvSl-1064-A1-R4_A1g00236	5	129.8	649
MvSl-1064-A1-R4_A1	Black	537555	539451	MvSl-1064-A1-R4_A1g00237	6	86.6667	520
MvSl-1064-A1-R4_A1	Black	540254	540412	MvSl-1064-A1-R4_A1g00238	1	0	0
MvSl-1064-A1-R4_A1	Black	540556	541585	MvSl-1064-A1-R4_A1g00239	5	116	580
MvSl-1064-A1-R4_A1	Black	542621	544478	MvSl-1064-A1-R4_A1g00240	5	78.8	394
MvSl-1064-A1-R4_A1	Black	549134	550850	MvSl-1064-A1-R4_A1g00244	4	91	364
MvSl-1064-A1-R4_A1	Black	553636	555925	MvSl-1064-A1-R4_A1g00247	4	126.25	505
MvSl-1064-A1-R4_A1	Black	556097	568035	MvSl-1064-A1-R4_A1g00248	19	72.4211	1376
MvSl-1064-A1-R4_A1	Black	568469	570188	MvSl-1064-A1-R4_A1g00249	5	79.4	397
MvSl-1064-A1-R4_A1	Black	570749	571721	MvSl-1064-A1-R4_A1g00250	3	75.3333	226
MvSl-1064-A1-R4_A1	Black	571927	576021	MvSl-1064-A1-R4_A1g00251	3	49	147
MvSl-1064-A1-R4_A1	Black	585329	585682	MvSl-1064-A1-R4_A1g00255	1	105	105
MvSl-1064-A1-R4_A1	Black	586243	587509	MvSl-1064-A1-R4_A1g00256	3	141.333	424
MvSl-1064-A1-R4_A1	Black	587793	588573	MvSl-1064-A1-R4_A1g00257	2	180.5	361
MvSl-1064-A1-R4_A1	Black	589118	589341	MvSl-1064-A1-R4_A1g00258	1	95	95
MvSl-1064-A1-R4_A1	Black	590544	590980	MvSl-1064-A1-R4_A1g00259	2	89.5	179
MvSl-1064-A1-R4_A1	Black	591394	599035	MvSl-1064-A1-R4_A1g00260	10	90.4	904
MvSl-1064-A1-R4_A1	Black	599436	601293	MvSl-1064-A1-R4_A1g00261	3	98.3333	295
MvSl-1064-A1-R4_A1	Black	602046	602389	MvSl-1064-A1-R4_A1g00262	1	131	131
MvSl-1064-A1-R4_A1	Black	603439	611810	MvSl-1064-A1-R4_A1g00263	11	81.4545	896
MvSl-1064-A1-R4_A1	Black	611934	612304	MvSl-1064-A1-R4_A1g00264	1	233	233
MvSl-1064-A1-R4_A1	Black	612739	612969	MvSl-1064-A1-R4_A1g00265	1	117	117
MvSl-1064-A1-R4_A1	Black	613296	614267	MvSl-1064-A1-R4_A1g00266	2	64.5	129
MvSl-1064-A1-R4_A1	Black	614785	614994	MvSl-1064-A1-R4_A1g00267	1	0	0
MvSl-1064-A1-R4_A1	Black	615082	615360	MvSl-1064-A1-R4_A1g00268	1	0	0
MvSl-1064-A1-R4_A1	Black	623358	624360	MvSl-1064-A1-R4_A1g00271	2	192.5	385
MvSl-1064-A1-R4_A1	Black	625922	627554	MvSl-1064-A1-R4_A1g00273	5	94.4	472
MvSl-1064-A1-R4_A1	Black	627623	629184	MvSl-1064-A1-R4_A1g00274	6	65.8333	395
MvSl-1064-A1-R4_A1	Black	630415	635395	MvSl-1064-A1-R4_A1g00275	1	40	40
MvSl-1064-A1-R4_A1	Black	635527	635851	MvSl-1064-A1-R4_A1g00276	1	73	73
MvSl-1064-A1-R4_A1	Black	637034	638515	MvSl-1064-A1-R4_A1g00277	5	75.6	378
MvSl-1064-A1-R4_A1	Black	639136	639535	MvSl-1064-A1-R4_A1g00278	1	52	52
MvSl-1064-A1-R4_A1	Black	639803	640297	MvSl-1064-A1-R4_A1g00279	1	96	96
MvSl-1064-A1-R4_A1	Black	651600	651861	MvSl-1064-A1-R4_A1g00282	1	79	79
MvSl-1064-A1-R4_A1	Black	657454	657684	MvSl-1064-A1-R4_A1g00284	1	0	0
MvSl-1064-A1-R4_A1	Black	657874	659422	MvSl-1064-A1-R4_A1g00285	3	75.3333	226
MvSl-1064-A1-R4_A1	Black	659999	660204	MvSl-1064-A1-R4_A1g00286	1	74	74
MvSl-1064-A1-R4_A1	Black	661306	665202	MvSl-1064-A1-R4_A1g00287	3	60	180
MvSl-1064-A1-R4_A1	Black	665245	665589	MvSl-1064-A1-R4_A1g00288	1	0	0
MvSl-1064-A1-R4_A1	Black	665643	667143	MvSl-1064-A1-R4_A1g00289	2	183.5	367
MvSl-1064-A1-R4_A1	Black	672463	678943	MvSl-1064-A1-R4_A1g00291	18	69.7222	1255
MvSl-1064-A1-R4_A1	Black	681942	682555	MvSl-1064-A1-R4_A1g00293	2	79	158
MvSl-1064-A1-R4_A1	Black	682868	684833	MvSl-1064-A1-R4_A1g00294	3	68.3333	205
MvSl-1064-A1-R4_A1	Black	684905	686190	MvSl-1064-A1-R4_A1g00295	1	41	41
MvSl-1064-A1-R4_A1	Black	686455	687762	MvSl-1064-A1-R4_A1g00296	3	120	360
MvSl-1064-A1-R4_A1	Black	688187	688778	MvSl-1064-A1-R4_A1g00297	1	172	172
MvSl-1064-A1-R4_A1	Black	689704	690217	MvSl-1064-A1-R4_A1g00298	2	84.5	169
MvSl-1064-A1-R4_A1	Black	690280	690676	MvSl-1064-A1-R4_A1g00299	2	90.5	181
MvSl-1064-A1-R4_A1	Black	692947	694939	MvSl-1064-A1-R4_A1g00300	6	153.667	922
MvSl-1064-A1-R4_A1	Black	696126	696729	MvSl-1064-A1-R4_A1g00301	1	139	139
MvSl-1064-A1-R4_A1	Black	696787	699180	MvSl-1064-A1-R4_A1g00302	5	120	600
MvSl-1064-A1-R4_A1	Black	699343	699654	MvSl-1064-A1-R4_A1g00303	1	0	0
MvSl-1064-A1-R4_A1	Black	699726	700132	MvSl-1064-A1-R4_A1g00304	2	58	116
MvSl-1064-A1-R4_A1	Black	700350	701770	MvSl-1064-A1-R4_A1g00305	4	105.5	422
MvSl-1064-A1-R4_A1	Black	702770	704112	MvSl-1064-A1-R4_A1g00306	2	76	152
MvSl-1064-A1-R4_A1	Black	706792	707620	MvSl-1064-A1-R4_A1g00308	3	62.3333	187
MvSl-1064-A1-R4_A1	Black	708683	709088	MvSl-1064-A1-R4_A1g00309	2	66.5	133
MvSl-1064-A1-R4_A1	Black	709224	712039	MvSl-1064-A1-R4_A1g00310	10	64.7	647
MvSl-1064-A1-R4_A1	Black	720102	722483	MvSl-1064-A1-R4_A1g00313	10	107.1	1071
MvSl-1064-A1-R4_A1	Black	722650	723684	MvSl-1064-A1-R4_A1g00314	4	100.5	402
MvSl-1064-A1-R4_A1	Black	723975	724274	MvSl-1064-A1-R4_A1g00315	1	0	0
MvSl-1064-A1-R4_A1	Black	725878	726223	MvSl-1064-A1-R4_A1g00317	1	64	64
MvSl-1064-A1-R4_A1	Black	727524	727730	MvSl-1064-A1-R4_A1g00318	1	0	0
MvSl-1064-A1-R4_A1	Black	727828	730657	MvSl-1064-A1-R4_A1g00319	4	85.75	343
MvSl-1064-A1-R4_A1	Black	730971	731930	MvSl-1064-A1-R4_A1g00320	1	0	0
MvSl-1064-A1-R4_A1	Black	732454	733231	MvSl-1064-A1-R4_A1g00321	2	69.5	139
MvSl-1064-A1-R4_A1	Black	734256	736130	MvSl-1064-A1-R4_A1g00322	5	88.8	444
MvSl-1064-A1-R4_A1	Black	737143	737367	MvSl-1064-A1-R4_A1g00323	1	54	54
MvSl-1064-A1-R4_A1	Black	737420	737716	MvSl-1064-A1-R4_A1g00324	1	0	0
MvSl-1064-A1-R4_A1	Black	738413	739348	MvSl-1064-A1-R4_A1g00325	1	0	0
MvSl-1064-A1-R4_A1	Black	743418	743965	MvSl-1064-A1-R4_A1g00329	1	275	275
MvSl-1064-A1-R4_A1	Black	745290	746054	MvSl-1064-A1-R4_A1g00330	2	99	198
MvSl-1064-A1-R4_A1	Black	746286	750364	MvSl-1064-A1-R4_A1g00331	1	53	53
MvSl-1064-A1-R4_A1	Black	750630	751492	MvSl-1064-A1-R4_A1g00332	4	65	260
MvSl-1064-A1-R4_A1	Black	752770	754312	MvSl-1064-A1-R4_A1g00333	3	92.3333	277
MvSl-1064-A1-R4_A1	Black	754658	754813	MvSl-1064-A1-R4_A1g00334	1	0	0
MvSl-1064-A1-R4_A1	Black	756318	760784	MvSl-1064-A1-R4_A1g00335	1	90	90
MvSl-1064-A1-R4_A1	Black	761485	762354	MvSl-1064-A1-R4_A1g00336	1	63	63
MvSl-1064-A1-R4_A1	Black	762397	762732	MvSl-1064-A1-R4_A1g00337	1	0	0
MvSl-1064-A1-R4_A1	Black	762986	764724	MvSl-1064-A1-R4_A1g00338	1	59	59
MvSl-1064-A1-R4_A1	Black	764843	766003	MvSl-1064-A1-R4_A1g00339	1	0	0
MvSl-1064-A1-R4_A1	Black	766367	766927	MvSl-1064-A1-R4_A1g00340	3	81	243
MvSl-1064-A1-R4_A1	Black	767051	767497	MvSl-1064-A1-R4_A1g00341	2	73.5	147
MvSl-1064-A1-R4_A1	Black	767711	767993	MvSl-1064-A1-R4_A1g00342	1	52	52
MvSl-1064-A1-R4_A1	Black	768274	769465	MvSl-1064-A1-R4_A1g00343	4	63.25	253
MvSl-1064-A1-R4_A1	Black	770080	771056	MvSl-1064-A1-R4_A1g00344	1	362	362
MvSl-1064-A1-R4_A1	Black	771175	771479	MvSl-1064-A1-R4_A1g00345	1	89	89
MvSl-1064-A1-R4_A1	Black	771661	772956	MvSl-1064-A1-R4_A1g00346	2	94.5	189
MvSl-1064-A1-R4_A1	Black	773454	779098	MvSl-1064-A1-R4_A1g00347	9	92.2222	830
MvSl-1064-A1-R4_A1	Black	780549	782150	MvSl-1064-A1-R4_A1g00348	1	48	48
MvSl-1064-A1-R4_A1	Black	796977	799849	MvSl-1064-A1-R4_A1g00353	12	98.4167	1181
MvSl-1064-A1-R4_A1	Black	800011	800169	MvSl-1064-A1-R4_A1g00354	1	0	0
MvSl-1064-A1-R4_A1	Black	801996	802169	MvSl-1064-A1-R4_A1g00356	1	0	0
MvSl-1064-A1-R4_A1	Black	802981	807787	MvSl-1064-A1-R4_A1g00357	9	78.4444	706
MvSl-1064-A1-R4_A1	Black	809054	815785	MvSl-1064-A1-R4_A1g00358	4	132	528
MvSl-1064-A1-R4_A1	Black	819921	821669	MvSl-1064-A1-R4_A1g00360	4	84.75	339
MvSl-1064-A1-R4_A1	Black	821978	826818	MvSl-1064-A1-R4_A1g00361	3	69.6667	209
MvSl-1064-A1-R4_A1	Black	827022	827609	MvSl-1064-A1-R4_A1g00362	1	162	162
MvSl-1064-A1-R4_A1	Black	828697	829688	MvSl-1064-A1-R4_A1g00363	3	74.6667	224
MvSl-1064-A1-R4_A1	Black	829798	830753	MvSl-1064-A1-R4_A1g00364	5	91.6	458
MvSl-1064-A1-R4_A1	Black	830936	831118	MvSl-1064-A1-R4_A1g00365	1	0	0
MvSl-1064-A1-R4_A1	Black	831723	833990	MvSl-1064-A1-R4_A1g00366	5	103.2	516
MvSl-1064-A1-R4_A1	Black	864443	864622	MvSl-1064-A1-R4_A1g00381	1	0	0
MvSl-1064-A1-R4_A1	Black	866290	867855	MvSl-1064-A1-R4_A1g00382	4	101.25	405
MvSl-1064-A1-R4_A1	Black	871029	871187	MvSl-1064-A1-R4_A1g00385	1	0	0
MvSl-1064-A1-R4_A1	Black	875047	876411	MvSl-1064-A1-R4_A1g00387	1	0	0
MvSl-1064-A1-R4_A1	Black	876591	877428	MvSl-1064-A1-R4_A1g00388	1	70	70
MvSl-1064-A1-R4_A1	Black	931953	932471	MvSl-1064-A1-R4_A1g00408	2	99	198
MvSl-1064-A1-R4_A1	Black	932779	934001	MvSl-1064-A1-R4_A1g00409	4	100.25	401
MvSl-1064-A1-R4_A1	Black	934508	935674	MvSl-1064-A1-R4_A1g00410	2	429	858
MvSl-1064-A1-R4_A1	Black	935744	938216	MvSl-1064-A1-R4_A1g00411	2	96.5	193
MvSl-1064-A1-R4_A1	Black	938428	938885	MvSl-1064-A1-R4_A1g00412	1	218	218
MvSl-1064-A1-R4_A1	Black	939062	939680	MvSl-1064-A1-R4_A1g00413	3	117.333	352
MvSl-1064-A1-R4_A1	Black	940309	942859	MvSl-1064-A1-R4_A1g00414	3	51.3333	154
MvSl-1064-A1-R4_A1	Black	943004	943177	MvSl-1064-A1-R4_A1g00415	1	0	0
MvSl-1064-A1-R4_A1	Black	943341	944388	MvSl-1064-A1-R4_A1g00416	1	67	67
MvSl-1064-A1-R4_A1	Black	944453	945643	MvSl-1064-A1-R4_A1g00417	1	0	0
MvSl-1064-A1-R4_A1	Black	945783	947241	MvSl-1064-A1-R4_A1g00418	1	76	76
MvSl-1064-A1-R4_A1	Black	947329	947573	MvSl-1064-A1-R4_A1g00419	1	83	83
MvSl-1064-A1-R4_A1	Black	948989	950328	MvSl-1064-A1-R4_A1g00420	4	97.25	389
MvSl-1064-A1-R4_A1	Black	950396	950587	MvSl-1064-A1-R4_A1g00421	1	0	0
MvSl-1064-A1-R4_A1	Black	951529	959912	MvSl-1064-A1-R4_A1g00422	4	110	440
MvSl-1064-A1-R4_A1	Black	960173	962653	MvSl-1064-A1-R4_A1g00423	7	103.286	723
MvSl-1064-A1-R4_A1	Black	962847	963114	MvSl-1064-A1-R4_A1g00424	1	64	64
MvSl-1064-A1-R4_A1	Black	963244	964476	MvSl-1064-A1-R4_A1g00425	4	94.5	378
MvSl-1064-A1-R4_A1	Black	964978	965496	MvSl-1064-A1-R4_A1g00426	1	0	0
MvSl-1064-A1-R4_A1	Black	965709	970661	MvSl-1064-A1-R4_A1g00427	5	73.2	366
MvSl-1064-A1-R4_A1	Black	970809	974251	MvSl-1064-A1-R4_A1g00428	6	145.333	872
MvSl-1064-A1-R4_A1	Black	974324	974825	MvSl-1064-A1-R4_A1g00429	2	80	160
MvSl-1064-A1-R4_A1	Black	975780	981212	MvSl-1064-A1-R4_A1g00430	3	156	468
MvSl-1064-A1-R4_A1	Black	981578	982760	MvSl-1064-A1-R4_A1g00431	4	110.5	442
MvSl-1064-A1-R4_A1	Black	987711	989479	MvSl-1064-A1-R4_A1g00434	5	62.8	314
MvSl-1064-A1-R4_A1	Black	989905	990838	MvSl-1064-A1-R4_A1g00435	2	215	430
MvSl-1064-A1-R4_A1	Black	991608	994148	MvSl-1064-A1-R4_A1g00436	2	66	132
MvSl-1064-A1-R4_A1	Black	994312	994503	MvSl-1064-A1-R4_A1g00437	1	0	0
MvSl-1064-A1-R4_A1	Black	994571	996066	MvSl-1064-A1-R4_A1g00438	4	116.75	467
MvSl-1064-A1-R4_A1	Black	996238	996624	MvSl-1064-A1-R4_A1g00439	1	0	0
MvSl-1064-A1-R4_A1	Black	996677	998466	MvSl-1064-A1-R4_A1g00440	7	102.714	719
MvSl-1064-A1-R4_A1	Black	1001602	1002022	MvSl-1064-A1-R4_A1g00442	1	145	145
MvSl-1064-A1-R4_A1	Black	1002523	1003071	MvSl-1064-A1-R4_A1g00443	1	312	312
MvSl-1064-A1-R4_A1	Black	1003324	1004249	MvSl-1064-A1-R4_A1g00444	4	104	416
MvSl-1064-A1-R4_A1	Black	1004291	1004491	MvSl-1064-A1-R4_A1g00445	1	0	0
MvSl-1064-A1-R4_A1	Black	1005419	1007568	MvSl-1064-A1-R4_A1g00446	2	58	116
MvSl-1064-A1-R4_A1	Black	1007640	1009067	MvSl-1064-A1-R4_A1g00447	1	0	0
MvSl-1064-A1-R4_A1	Black	1012588	1012846	MvSl-1064-A1-R4_A1g00449	1	100	100
MvSl-1064-A1-R4_A1	Black	1013912	1014286	MvSl-1064-A1-R4_A1g00450	1	132	132
MvSl-1064-A1-R4_A1	Black	1014368	1014659	MvSl-1064-A1-R4_A1g00451	1	52	52
MvSl-1064-A1-R4_A1	Black	1015602	1016332	MvSl-1064-A1-R4_A1g00452	1	491	491
MvSl-1064-A1-R4_A1	Black	1017072	1017508	MvSl-1064-A1-R4_A1g00453	1	47	47
