gid	dn	ds	dnds	part8	youngold	logCPM	logFC.A1.A2	abs	DE	DE2
MvSl-1064-A1-R4_A1g00280	0.0321	0.011	2.918155289	Black	OldStrata	7.921190275	0.227539771	0.227539771	NON	NON
MvSl-1064-A1-R4_A1g00281	0.0484	0.0208	2.32691189	Black	OldStrata	6.155642993	0.0839626	0.0839626	NON	NON
MvSl-1064-A1-R4_A1g00290	0.0292	0.0116	2.517219679	Black	OldStrata	7.273594848	0.178481473	0.178481473	NON	NON
MvSl-1064-A1-R4_A1g00311	0.0248	0.0139	1.784159826	Black	OldStrata	8.043715987	0.053430623	0.053430623	NON	NON
MvSl-1064-A1-R4_A1g00327	0.0284	0.0278	1.021579059	Black	OldStrata	4.136656062	-0.087017264	0.087017264	NON	NON
MvSl-1064-A1-R4_A1g00328	0.2594	0.2396	1.082637278	Black	OldStrata	3.04690908	-0.093060328	0.093060328	NON	NON
MvSl-1064-A1-R4_A1g00351	0.0301	0.0195	1.543581828	Black	OldStrata	6.501227834	0.198779887	0.198779887	NON	NON
MvSl-1064-A1-R4_A1g00352	0.0415	0.0034	12.20552337	Black	OldStrata	5.335915631	0.141113881	0.141113881	NON	NON
MvSl-1064-A1-R4_A1g00359	0.0442	0.0059	7.491398451	Black	OldStrata	8.673038109	-0.246336768	0.246336768	NON	NON
MvSl-1064-A1-R4_A1g00367	0.047	0.0336	1.398805361	Red	ColorStrata	4.023885874	-0.553218188	0.553218188	NON	NON
MvSl-1064-A1-R4_A1g00368	0.0059	0.0012	4.916256979	Red	ColorStrata	6.245731637	-0.043565528	0.043565528	NON	NON
MvSl-1064-A1-R4_A1g00369	0.0037	0.0007	5.284959292	Red	ColorStrata	7.10402066	-0.086462896	0.086462896	NON	NON
MvSl-1064-A1-R4_A1g00371	0.0051	0	51000	Red	ColorStrata	6.61643802	-0.196176703	0.196176703	NON	NON
MvSl-1064-A1-R4_A1g00372	0.0036	0.0034	1.058792388	Red	ColorStrata	7.380390177	0.168740362	0.168740362	NON	NON
MvSl-1064-A1-R4_A1g00373	0	0	0	Red	ColorStrata	5.68657226	0.312102415	0.312102415	NON	NON
MvSl-1064-A1-R4_A1g00374	0.0018	0.0006	2.999500083	Red	ColorStrata	7.804101361	0.129086183	0.129086183	NON	NON
MvSl-1064-A1-R4_A1g00380	0.0218	0.0119	1.831917379	Red	ColorStrata	6.245651362	-0.537209791	0.537209791	NON	NON
MvSl-1064-A1-R4_A1g00389	0.0033	0.0065	0.507684497	Red	ColorStrata	4.723334071	-0.203418508	0.203418508	NON	NON
MvSl-1064-A1-R4_A1g00390	0.0089	0.0064	1.390603272	Red	ColorStrata	5.128558775	-0.022069907	0.022069907	NON	NON
MvSl-1064-A1-R4_A1g00391	0.0096	0.0037	2.594524472	Red	ColorStrata	6.542804595	0.070339113	0.070339113	NON	NON
MvSl-1064-A1-R4_A1g00394	0	0	0	Red	ColorStrata	6.310043265	-0.006944094	0.006944094	NON	NON
MvSl-1064-A1-R4_A1g00395	0.0018	0.0013	1.384508884	Red	ColorStrata	8.227969264	-0.269694111	0.269694111	NON	NON
MvSl-1064-A1-R4_A1g00396	0	0.0015	0	Red	ColorStrata	7.610864961	-0.169013158	0.169013158	NON	NON
MvSl-1064-A1-R4_A1g00397	0	0	0	Red	ColorStrata	9.203041396	-0.117032966	0.117032966	NON	NON
MvSl-1064-A1-R4_A1g00398	0	0	0	Red	ColorStrata	8.0944776	-0.147374413	0.147374413	NON	NON
MvSl-1064-A1-R4_A1g00399	0	0	0	Red	ColorStrata	8.03422836	0.030493513	0.030493513	NON	NON
MvSl-1064-A1-R4_A1g00401	0	0.0028	0	Red	ColorStrata	7.406258472	-0.351049332	0.351049332	NON	NON
MvSl-1064-A1-R4_A1g00402	0.0134	0.0078	1.717926693	Red	ColorStrata	6.473078976	-0.139682704	0.139682704	NON	NON
MvSl-1064-A1-R4_A1g00403	0.0048	0	48000	Red	ColorStrata	6.773319632	-0.474930026	0.474930026	NON	NON
MvSl-1064-A1-R4_A1g00404	0	0.0033	0	Red	ColorStrata	3.134550406	0.367701232	0.367701232	NON	NON
MvSl-1064-A1-R4_A1g00405	0.0045	0.0025	1.799928003	Red	ColorStrata	4.746572492	-0.551722285	0.551722285	NON	NON
MvSl-1064-A1-R4_A1g00406	0	0	0	Red	ColorStrata	5.608608443	0.247766304	0.247766304	NON	NON
MvSl-1064-A1-R4_A1g00432	0.1985	0	1985000	Black	OldStrata	7.019822036	-0.146821821	0.146821821	NON	NON
MvSl-1064-A1-R4_A1g00433	0.0201	0.029	0.693101058	Black	OldStrata	5.37347803	-0.345609102	0.345609102	NON	NON
MvSl-1064-A1-R4_A1g00441	0.0341	0.0053	6.433840871	Purple	OldStrata	5.448078664	-0.202459721	0.202459721	NON	NON
MvSl-1064-A1-R4_A1g00478	0.0954	0.0443	2.15349401	Blue	OldStrata	7.070975227	-0.180090396	0.180090396	NON	NON
MvSl-1064-A1-R4_A1g00503	0.0098	0.0021	4.666444455	Black	OldStrata	6.618833999	0.312841444	0.312841444	NON	NON
MvSl-1064-A1-R4_A1g00504	0.0069	0	69000	Black	OldStrata	3.661046445	-0.03748053	0.03748053	NON	NON
MvSl-1064-A1-R4_A1g00505	0	0.0015	0	Black	OldStrata	5.214982344	-0.144290177	0.144290177	NON	NON
MvSl-1064-A1-R4_A1g00506	0.0057	0.001	5.699430057	Black	OldStrata	4.983198703	-0.015811423	0.015811423	NON	NON
MvSl-1064-A1-R4_A1g00507	0.0282	0.022	1.281812355	Black	OldStrata	5.89655757	0.015950984	0.015950984	NON	NON
MvSl-1064-A1-R4_A1g00511	0	0	0	Black	OldStrata	6.828843533	-0.09768498	0.09768498	NON	NON
MvSl-1064-A1-R4_A1g00512	0	0.0022	0	Black	OldStrata	5.143397092	0.047038026	0.047038026	NON	NON
MvSl-1064-A1-R4_A1g00513	0.0215	0.0217	0.990778844	Black	OldStrata	5.76904853	-0.036290579	0.036290579	NON	NON
MvSl-1064-A1-R4_A1g00514	0.0212	0.0206	1.029121218	Black	OldStrata	7.255506686	-0.1411675	0.1411675	NON	NON
MvSl-1064-A1-R4_A1g00515	0.0118	0.0074	1.594573046	Black	OldStrata	5.262275639	-0.639906605	0.639906605	NON	NON
MvSl-1064-A1-R4_A1g00517	0	0	0	Black	OldStrata	8.49204983	0.385115618	0.385115618	NON	NON
MvSl-1064-A1-R4_A1g00518	0.0027	0.0011	2.454322334	Black	OldStrata	6.42064297	-0.22566182	0.22566182	NON	NON
MvSl-1064-A1-R4_A1g00519	0	0.0014	0	Black	OldStrata	7.209478113	-0.326955786	0.326955786	NON	NON
MvSl-1064-A1-R4_A1g00520	0	0.0007	0	Black	OldStrata	5.610310146	-0.207815574	0.207815574	NON	NON
MvSl-1064-A1-R4_A1g00521	0.0026	0.0042	0.61903288	Black	OldStrata	6.067281417	-0.291387191	0.291387191	NON	NON
MvSl-1064-A1-R4_A1g00525	0.0295	0.0133	2.218028436	Black	OldStrata	7.344338163	-0.425729346	0.425729346	NON	NON
MvSl-1064-A1-R4_A1g00528	0.0276	0.0056	4.92848342	Black	OldStrata	3.099595878	0.697456225	0.697456225	NON	NON
MvSl-1064-A1-R4_A1g00530	0.0188	0.0093	2.02148364	Black	OldStrata	6.903348196	-0.003825303	0.003825303	NON	NON
MvSl-1064-A1-R4_A1g00532	0.0274	0.009	3.044410618	Black	OldStrata	5.121532291	-0.183549618	0.183549618	NON	NON
MvSl-1064-A1-R4_A1g00533	0.0717	0.0568	1.262321721	Black	OldStrata	6.013655575	-0.112005668	0.112005668	NON	NON
MvSl-1064-A1-R4_A1g00534	0	0.0023	0	Black	OldStrata	7.63040081	-0.344806798	0.344806798	NON	NON
MvSl-1064-A1-R4_A1g00541	0.0129	0.0082	1.573151547	Black	OldStrata	6.087504578	-0.102715119	0.102715119	NON	NON
MvSl-1064-A1-R4_A1g00543	0	0.0018	0	Black	OldStrata	7.10998025	0.054014046	0.054014046	NON	NON
MvSl-1064-A1-R4_A1g00544	0.0066	0.0016	4.124742204	Black	OldStrata	5.724453495	0.079283405	0.079283405	NON	NON
MvSl-1064-A1-R4_A1g00575	0.0287	0.0166	1.728905248	Black	OldStrata	6.510301587	-0.417508294	0.417508294	NON	NON
MvSl-1064-A1-R4_A1g00593	0.0433	0.0101	4.287086266	Blue	OldStrata	8.102240797	0.034237888	0.034237888	NON	NON
MvSl-1064-A1-R4_A1g00645	0.0143	0.0072	1.986083527	Black	OldStrata	6.146023196	0.00278244	0.00278244	NON	NON
MvSl-1064-A1-R4_A1g00647	0.0753	0.0295	2.55253372	Black	OldStrata	7.480054117	-0.06376242	0.06376242	NON	NON
MvSl-1064-A1-R4_A1g00669	0.034	0.0193	1.761648903	Orange	ColorStrata	5.39943444	-0.013902852	0.013902852	NON	NON
MvSl-1064-A1-R4_A1g00693	0	0	0	Black	OldStrata	7.292629196	-0.01304676	0.01304676	NON	NON
MvSl-1064-A1-R4_A1g00694	0.0175	0.0053	3.301824494	Black	OldStrata	7.344745525	0.19734445	0.19734445	NON	NON
MvSl-1064-A1-R4_A1g00726	0.1207	0.0516	2.339142754	Black	OldStrata	7.513339964	-0.323750225	0.323750225	NON	NON
MvSl-1064-A1-R4_A1g00749	0.0228	0.03	0.759997467	Black	OldStrata	6.600892322	-0.432980787	0.432980787	NON	NON
MvSl-1064-A1-R4_A1g00750	0.0032	0.0013	2.461349127	Black	OldStrata	6.097585204	0.014269393	0.014269393	NON	NON
MvSl-1064-A1-R4_A1g00751	0.0079	0.0065	1.215365917	Black	OldStrata	8.124435473	-0.32701583	0.32701583	NON	NON
MvSl-1064-A1-R4_A1g00772	0.0345	0.0213	1.619710706	Blue	OldStrata	3.861082663	-0.447897559	0.447897559	NON	NON
MvSl-1064-A1-R4_A1g00778	0.0379	0.0198	1.914131747	Black	OldStrata	4.875832498	0.389977485	0.389977485	NON	NON
MvSl-1064-A1-R4_A1g00794	0.036	0.0079	4.556904343	Black	OldStrata	5.339660165	0.026871625	0.026871625	NON	NON
MvSl-1064-A1-R4_A1g00801	0	0.0025	0	Blue	OldStrata	3.716994031	-0.032184551	0.032184551	NON	NON
MvSl-1064-A1-R4_A1g00832	0.0268	0.0145	1.848263115	Black	OldStrata	7.441163571	0.093408117	0.093408117	NON	NON
MvSl-1064-A1-R4_A1g00840	0.0399	0.0288	1.385411856	Black	OldStrata	6.710870848	0.269924924	0.269924924	NON	NON
MvSl-1064-A1-R4_A1g00842	0.0636	0.022	2.89089595	Black	OldStrata	6.494307529	-0.32013805	0.32013805	NON	NON
MvSl-1064-A1-R4_A1g00843	0.0159	0.0078	2.038435405	Black	OldStrata	3.467440472	-0.541148688	0.541148688	NON	NON
MvSl-1064-A1-R4_A1g00845	0.0342	0.022	1.554538388	Black	OldStrata	5.98148388	0.042076431	0.042076431	NON	NON
MvSl-1064-A1-R4_A1g00869	0.0392	0.0106	3.69807832	Black	OldStrata	9.338890611	-0.780523068	0.780523068	NON	NON
MvSl-1064-A1-R4_A1g00911	0.0172	0	172000	Black	OldStrata	6.772889453	-0.242165576	0.242165576	NON	NON
MvSl-1064-A1-R4_A1g00912	0	0.004	0	Black	OldStrata	5.500641209	-0.203998749	0.203998749	NON	NON
MvSl-1064-A1-R4_A1g00913	0.0428	0.013	3.292282367	Black	OldStrata	5.065746913	-0.556748515	0.556748515	NON	NON
MvSl-1064-A1-R4_A1g00920	0.0293	0.0231	1.268392778	Black	OldStrata	3.672418951	-0.976671928	0.976671928	NON	NON
MvSl-1064-A1-R4_A1g00921	0.031	0.0272	1.139701692	Black	OldStrata	7.383520799	0.145781482	0.145781482	NON	NON
MvSl-1064-A1-R4_A1g00957	0.029	0.0245	1.183668638	Black	OldStrata	5.095798749	0.390662934	0.390662934	NON	NON
MvSl-1064-A1-R4_A1g00960	0.0374	0.021	1.7809439	Black	OldStrata	7.509170062	-0.16311838	0.16311838	NON	NON
MvSl-1064-A1-R4_A1g00998	0.0443	0.0134	3.305945478	Blue	OldStrata	4.69567389	0.375035839	0.375035839	NON	NON
MvSl-1064-A1-R4_A1g01017	0.0299	0.0104	2.874972356	Purple	OldStrata	6.981727356	-0.275205453	0.275205453	NON	NON
MvSl-1064-A1-R4_A1g01154	0.0087	0.0139	0.625894778	Blue	OldStrata	7.345488359	-0.069641132	0.069641132	NON	NON
MvSl-1064-A1-R4_A1g01159	0.0255	0.0122	2.090146802	Blue	OldStrata	7.055672441	0.357858524	0.357858524	NON	NON
MvSl-1064-A1-R4_A1g01160	0.0031	0.0027	1.148105626	Blue	OldStrata	7.24373885	0.299223533	0.299223533	NON	NON
MvSl-1064-A1-R4_A1g01161	0.0082	0.0025	3.279868805	Blue	OldStrata	5.815680965	-0.232190071	0.232190071	NON	NON
MvSl-1064-A1-R4_A1g01173	0.0354	0.0118	2.999974576	Black	OldStrata	5.051893974	-0.529087108	0.529087108	NON	NON
MvSl-1064-A1-R4_A1g01189	0.0283	0.0202	1.400983163	Black	OldStrata	7.152241064	0.516954041	0.516954041	NON	NON
MvSl-1064-A1-R4_A1g01219	0.057	0.0253	2.252955522	Black	OldStrata	10.72718883	-0.829550149	0.829550149	NON	NON
MvSl-1064-A1-R4_A1g01227	0.0541	0.0136	3.977911927	Purple	OldStrata	7.55894355	-0.280852976	0.280852976	NON	NON
MvSl-1064-A1-R4_A1g01252	0.0708	0.0369	1.918693987	Orange	ColorStrata	6.604510098	-0.111374107	0.111374107	NON	NON
MvSl-1064-A1-R4_A1g01271	0.022	0	220000	Black	OldStrata	7.766975145	-0.520789943	0.520789943	NON	NON
MvSl-1064-A1-R4_A1g01272	0.0234	0.0048	4.87489844	Black	OldStrata	9.29144902	0.130280609	0.130280609	NON	NON
MvSl-1064-A1-R4_A1g01317	0.067	0.0127	5.275549011	Purple	OldStrata	7.258747299	0.067848033	0.067848033	NON	NON
MvSl-1064-A1-R4_A1g01346	0.067	0.0145	4.620657789	Black	OldStrata	7.445948871	-0.29082474	0.29082474	NON	NON
MvSl-1064-A1-R4_A1g01348	0.0108	0.0052	2.076883137	Black	OldStrata	7.467088532	0.084837282	0.084837282	NON	NON
MvSl-1064-A1-R4_A1g01350	0.0119	0.0054	2.203662895	Black	OldStrata	6.055411418	-0.142316764	0.142316764	NON	NON
MvSl-1064-A1-R4_A1g01351	0.0074	0.0029	2.55163615	Black	OldStrata	10.24828619	-0.066627592	0.066627592	NON	NON
MvSl-1064-A1-R4_A1g01366	0.0338	0.0157	2.15285253	Black	OldStrata	6.385592251	-0.069623816	0.069623816	NON	NON
MvSl-1064-A1-R4_A1g01367	0.0117	0.0128	0.914055359	Black	OldStrata	3.931856578	0.242412729	0.242412729	NON	NON
MvSl-1064-A1-R4_A1g01368	0.0256	0.0195	1.31281378	Black	OldStrata	5.968992551	-0.173537055	0.173537055	NON	NON
MvSl-1064-A1-R4_A1g01369	0.0277	0.0119	2.327711532	Black	OldStrata	9.018867889	0.659905903	0.659905903	NON	NON
MvSl-1064-A1-R4_A1g01388	0.052	0.0139	3.740980281	Black	OldStrata	5.487450676	0.406271174	0.406271174	NON	NON
MvSl-1064-A1-R4_A1g01392	0.0226	0.0147	1.537404507	Black	OldStrata	5.351514336	-0.243712597	0.243712597	NON	NON
MvSl-1064-A1-R4_A1g01393	0.0258	0.0201	1.283575704	Black	OldStrata	6.058514993	0.3978728	0.3978728	NON	NON
MvSl-1064-A1-R4_A1g01405	0.0138	0.0096	1.437485026	Black	OldStrata	4.735456436	-0.032795964	0.032795964	NON	NON
MvSl-1064-A1-R4_A1g01406	0.0028	0.0015	1.866542231	Black	OldStrata	11.19326598	-0.847111802	0.847111802	NON	NON
MvSl-1064-A1-R4_A1g01407	0.0191	0.0104	1.836520803	Black	OldStrata	6.698674504	-0.341690369	0.341690369	NON	NON
MvSl-1064-A1-R4_A1g01415	0.0223	0.0052	4.28837907	Black	OldStrata	6.905320965	0.39982018	0.39982018	NON	NON
MvSl-1064-A1-R4_A1g01431	0.0372	0.0132	2.818160468	Blue	OldStrata	6.240834108	0.17831449	0.17831449	NON	NON
MvSl-1064-A1-R4_A1g01440	0	0	0	bPAR	bPAR	6.984303755	0.045862676	0.045862676	NON	NON
MvSl-1064-A1-R4_A1g01441	0	0	0	bPAR	bPAR	6.270062622	-0.034947562	0.034947562	NON	NON
MvSl-1064-A1-R4_A1g01444	0	0	0	bPAR	bPAR	11.25493161	0.065214682	0.065214682	NON	NON
MvSl-1064-A1-R4_A1g01445	0	0	0	bPAR	bPAR	7.497692906	0.037844237	0.037844237	NON	NON
MvSl-1064-A1-R4_A1g01447	0	0	0	bPAR	bPAR	6.106593871	0.150250394	0.150250394	NON	NON
MvSl-1064-A1-R4_A1g01450	0	0	0	bPAR	bPAR	4.836395629	0.14369571	0.14369571	NON	NON
MvSl-1064-A1-R4_A1g01451	0	0	0	bPAR	bPAR	5.433582369	-0.002472601	0.002472601	NON	NON
MvSl-1064-A1-R4_A1g01453	0	0	0	bPAR	bPAR	7.996253009	0.487588091	0.487588091	NON	NON
MvSl-1064-A1-R4_A1g01458	0	0	0	bPAR	bPAR	6.694543523	-0.110965578	0.110965578	NON	NON
MvSl-1064-A1-R4_A1g01460	0	0	0	bPAR	bPAR	6.998254414	0.110246775	0.110246775	NON	NON
MvSl-1064-A1-R4_A1g01461	0	0	0	bPAR	bPAR	6.312904384	-0.004288384	0.004288384	NON	NON
MvSl-1064-A1-R4_A1g01462	0	0	0	bPAR	bPAR	7.504708569	-0.26053659	0.26053659	NON	NON
MvSl-1064-A1-R4_A1g01467	0	0	0	bPAR	bPAR	5.660045655	0.062577515	0.062577515	NON	NON
MvSl-1064-A1-R4_A1g01468	0	0	0	bPAR	bPAR	5.724811323	0.226794407	0.226794407	NON	NON
MvSl-1064-A1-R4_A1g01470	0	0	0	bPAR	bPAR	5.68643015	-0.187001942	0.187001942	NON	NON
MvSl-1064-A1-R4_A1g01471	0	0	0	bPAR	bPAR	6.739806963	-0.012356579	0.012356579	NON	NON
MvSl-1064-A1-R4_A1g01472	0	0	0	bPAR	bPAR	5.852080579	-0.079283425	0.079283425	NON	NON
MvSl-1064-A1-R4_A1g01473	0	0	0	bPAR	bPAR	7.948743412	0.067474644	0.067474644	NON	NON
MvSl-1064-A1-R4_A1g01476	0	0	0	bPAR	bPAR	4.489541289	0.163354788	0.163354788	NON	NON
MvSl-1064-A1-R4_A1g01477	0	0	0	bPAR	bPAR	7.123697922	-0.087890661	0.087890661	NON	NON
MvSl-1064-A1-R4_A1g01485	0	0	0	bPAR	bPAR	6.902147023	-0.198257752	0.198257752	NON	NON
MvSl-1064-A1-R4_A1g01486	0	0	0	bPAR	bPAR	6.200077691	0.28424332	0.28424332	NON	NON
MvSl-1064-A1-R4_A1g01487	0	0	0	bPAR	bPAR	9.42650329	-0.543761745	0.543761745	NON	NON
MvSl-1064-A1-R4_A1g01488	0	0	0	bPAR	bPAR	9.616236752	0.539198321	0.539198321	NON	NON
MvSl-1064-A1-R4_A1g01489	0	0	0	bPAR	bPAR	6.117910447	0.054606098	0.054606098	NON	NON
MvSl-1064-A1-R4_A1g01497	0	0	0	bPAR	bPAR	5.35705719	0.216166984	0.216166984	NON	NON
MvSl-1064-A1-R4_A1g01498	0	0	0	bPAR	bPAR	5.054827541	0.07504564	0.07504564	NON	NON
MvSl-1064-A1-R4_A1g01500	0	0	0	bPAR	bPAR	7.957801135	-0.063547829	0.063547829	NON	NON
MvSl-1064-A1-R4_A1g01501	0	0	0	bPAR	bPAR	6.314159416	0.022873365	0.022873365	NON	NON
MvSl-1064-A1-R4_A1g01502	0.0011	0.0023	0.478240077	bPAR	bPAR	6.938801273	-0.099308012	0.099308012	NON	NON
MvSl-1064-A1-R4_A1g01508	0	0	0	bPAR	bPAR	7.708475037	-0.411722731	0.411722731	NON	NON
MvSl-1064-A1-R4_A1g01509	0	0	0	bPAR	bPAR	6.105135976	-0.123099397	0.123099397	NON	NON
MvSl-1064-A1-R4_MC01-1g01709	0	0	0	Auto	Auto	5.811828803	-0.100650973	0.100650973	NON	NON
MvSl-1064-A1-R4_MC01-1g01710	0.1245	0.1068	1.165729246	Auto	Auto	3.903693828	0.681156019	0.681156019	NON	NON
MvSl-1064-A1-R4_MC01-1g01711	0	0	0	Auto	Auto	7.257707503	0.03968519	0.03968519	NON	NON
MvSl-1064-A1-R4_MC01-1g01712	0	0	0	Auto	Auto	7.132452385	-0.250033449	0.250033449	NON	NON
MvSl-1064-A1-R4_MC01-1g01713	0	0	0	Auto	Auto	3.955623474	0.070223716	0.070223716	NON	NON
