gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A1-R4_A1	MAT	108409	108819	6.41523169121128	-0.37419081620589	0.0785204405537059	0.289017464783202	6.51226461351569	6.66394456319416	6.24073238091398	6.1917384268752
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A1-R4_A1	MAT	111120	112733	3.73391761276062	0.858637112322054	0.00999514375657406	0.0712920618524461	3.05058287999749	3.40818900684222	3.85087547616816	4.30563716147694
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A1-R4_A1	MAT	113646	115349	5.30184489307392	0.83112425760923	0.00207383762028439	0.0211364350825667	4.59516200538271	5.0255451415345	5.52040725859613	5.78194822701378
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A1-R4_A1	MAT	115614	117044	8.00460899130738	0.056847197964645	0.826590133370714	0.942214975258106	7.58604173549403	8.28214681457467	7.99607197466622	8.06852383366163
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A1-R4_A1	MAT	118986	121284	5.33593649623645	-0.174098250196456	0.492547644642145	0.766764926432472	5.30289292204106	5.52817981236881	5.15787903770119	5.33023433879874
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A1-R4_A1	MAT	121712	122035	0.627026247054117	-0.44106477939061	0.350928013586733	0.655665241718739	0.935255847438174	0.723329528515129	0.473830429048058	0.342604511755311
MvSl-1064-A1-R4_A1g00059	MvSl-1064-A1-R4_A1	MAT	123729	124006	4.25645225645386	-0.481954850574725	0.0970011172650492	0.33048098261097	4.36439035930096	4.58109956943105	3.96631684276848	4.02786703661862
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A1-R4_A1	MAT	124165	124371	2.1039354053031	0.0353630273795595	0.931625693883536	0.980646638713408	2.22166340367621	1.94356065065052	1.88109094639913	2.3276955499693
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A1-R4_A1	MAT	125081	126633	7.10543525387374	-0.316088491782882	0.116315192375702	0.369340452128382	7.16611464250828	7.33821390249568	6.99877158841173	6.87660801403491
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A1-R4_A1	MAT	128311	129271	6.38096464189043	0.283919366211981	0.181571558201365	0.46892330908148	6.28816764117729	6.1739536968041	6.44573455432576	6.58233432225725
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A1-R4_A1	MAT	130054	132843	4.855948149866	-0.0755917669058733	0.779272355386897	0.924237977041254	4.93051168197867	4.85544147671109	4.78544607557651	4.84953400472845
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A1-R4_A1	MAT	133237	134512	7.71857703718513	-0.258038531611801	0.330504242031639	0.634031554405924	7.40060860618186	8.17881610916046	7.61420932098617	7.55293784464186
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A1-R4_A1	MAT	135668	136821	5.8593217418452	-0.147056224982543	0.510975951827089	0.774866682859231	6.03448052898531	5.82025950558923	5.87042385364085	5.69218661092824
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A1-R4_A1	MAT	137505	140273	9.3465570478037	0.384050640205043	0.166944538139583	0.448487481910273	9.06663249385037	9.21318874320769	9.73145394754289	9.285877816723
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A1-R4_A1	MAT	142411	144606	0.644590069090909	0.905869321971759	0.0585272848208094	0.240081880795709	0.188674630077544	0.0915411311555719	1.08221327281165	0.911767454445244
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A1-R4_A1	MAT	145335	146902	6.88618837750531	1.01249983945876	1.55433640089714e-05	0.000415229867096806	6.38135473539564	6.19932050366405	7.03808751717082	7.52974760091878
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A1-R4_A1	MAT	149220	153705	6.54096122513582	-0.254692113287422	0.231931393217334	0.530949826903865	6.69614527391971	6.62863452872245	6.50595081919318	6.30336833489059
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A1-R4_A1	MAT	154349	157189	3.44540621326972	-0.473729887321713	0.213069013555696	0.508617498385848	4.0395894050779	3.16502580880552	2.99668254100445	3.3678343605411
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A1-R4_A1	MAT	158422	160299	6.87616555500331	-0.612103920869286	0.0403028293013277	0.188826218763628	7.56412476927962	6.56872053078213	6.71846947733843	6.33272359518738
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	MAT	160618	163050	6.09856427991743	-2.02588825583004	0.000689945073286703	0.00906092751207973	7.58749109577156	4.81287654806989	5.06203196303138	4.38001294630827
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A1-R4_A1	MAT	165329	166779	8.8155428708313	-0.818129573086044	0.000765547390002298	0.00972708810753289	9.11064233136411	9.2219675140446	8.34114930281299	8.357619771537
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A1-R4_A1	MAT	171697	173594	6.66357917673176	-0.112556389445844	0.58994959292518	0.824724487768503	6.79918755587589	6.63395986550846	6.60698411496884	6.60550286754369
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A1-R4_A1	MAT	173863	176567	7.26663062648322	-0.15402761802715	0.501056810617913	0.770450955740471	7.06413821467075	7.57368438194976	7.15220683535893	7.22233252857796
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A1-R4_A1	MAT	177417	178892	9.32625084451603	-0.247592101714999	0.380976995121217	0.683529973835184	9.22528957085725	9.63510043243246	9.36596010264305	9.00600481094219
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	MAT	179366	179827	5.90910081593694	1.0399407369769	1.0163322112892e-05	0.000294359921936354	5.243455458942	5.34937861177245	6.08146308747223	6.55270181128836
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	MAT	180716	185718	4.02758355777482	0.100451986766007	0.750721197166265	0.91007467888951	3.7600308331586	4.16173135884482	4.22703640817478	3.90816878965407
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	MAT	186136	186867	0.904101980339724	-1.71063200911828	0.000555816054379612	0.00766206682655998	1.64121402660778	1.39998344628951	-0.521335632487566	0.213892726397171
MvSl-1064-A1-R4_A1g00108	MvSl-1064-A1-R4_A1	MAT	231723	233324	3.34964810438714	-0.479381708426943	0.162210777949628	0.441842024041387	3.75488028346665	3.36272506216994	3.07360075543483	3.11499709131638
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A1-R4_A1	MAT	234418	236731	8.95242371783607	-0.0301808188519105	0.90830514084558	0.971706617489994	8.72576376483122	9.17424363565782	8.93810018524464	8.93642587573003
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A1-R4_A1	MAT	238849	239016	6.74644885498473	-0.107736060730474	0.618501820802556	0.844044966412493	6.94990128546154	6.63183208906533	6.72146042087803	6.66107566254786
MvSl-1064-A1-R4_A1g00112	MvSl-1064-A1-R4_A1	MAT	240393	243364	1.05670328017079	0.141274606441484	0.767078657268569	0.917539411563318	1.31708107970532	0.589397115731511	1.33225031868038	0.883833617882036
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A1-R4_A1	MAT	244443	244638	6.10099262266042	-0.625513095445156	0.0446891517259019	0.202005298552921	6.83684499125408	5.71162688277733	5.7100255408257	5.79981000860947
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	MAT	3110528	3114459	3.65797214461719	-0.682983515826077	0.0346402199714688	0.170468325079789	3.79557882929984	4.10457174396888	3.1990650720761	3.35771541499368
MvSl-1064-A1-R4_A1g00144	MvSl-1064-A1-R4_A1	MAT	1139524	1144406	7.13635712380565	-0.149171651385441	0.484423736982165	0.762342137539782	6.99045554037573	7.39828005543979	7.09031032537359	7.02904739691144
MvSl-1064-A1-R4_A1g00153	MvSl-1064-A1-R4_A1	MAT	2573298	2575010	7.6592472329218	0.155883047983106	0.463352254250487	0.744939054174739	7.58277534133835	7.57562288615959	7.65779756807342	7.80832305871784
MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	MAT	2575916	2576612	4.51841092246311	-0.728475333100822	0.0114498024401609	0.0781904461228636	4.63775552870703	5.01088378163363	4.19296399669152	4.02467274790947
MvSl-1064-A1-R4_A1g00155	MvSl-1064-A1-R4_A1	MAT	2576791	2577822	4.71686953786709	0.457636540435117	0.0957782844707755	0.327979619035673	4.42725485347199	4.51105406859646	5.00916411338084	4.83866139557805
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	MAT	621126	622892	7.26955976313176	-0.134323829890753	0.520369472933117	0.781325525325965	7.44485774091604	7.21677361618189	7.23057624855837	7.17052524421839
MvSl-1064-A1-R4_A1g00175	MvSl-1064-A1-R4_A1	MAT	2578833	2582754	7.26849546437105	0.0993566904269726	0.626905034168268	0.849545336751297	7.25771958835351	7.177197125261	7.30988334633963	7.32458088040414
MvSl-1064-A1-R4_A1g00184	MvSl-1064-A1-R4_A1	MAT	1966448	1967834	6.420044610638	0.611155979005836	0.00548899716797278	0.0448398420122524	5.94572897327288	6.20648698802613	6.77378327931421	6.6076392851703
MvSl-1064-A1-R4_A1g00185	MvSl-1064-A1-R4_A1	MAT	912091	913460	8.31849393026632	0.30791723546081	0.179758476678107	0.465607472564009	8.0577200843277	8.24851890925339	8.49107466893879	8.43680644296364
MvSl-1064-A1-R4_A1g00186	MvSl-1064-A1-R4_A1	MAT	914330	919259	8.41058696509086	-0.480097005859179	0.0428039909244133	0.195955258079725	8.61890684573061	8.64252498980146	8.29688748583255	7.98819447717092
MvSl-1064-A1-R4_A1g00193	MvSl-1064-A1-R4_A1	MAT	1550514	1551842	7.95149141787504	-1.2343033333435	4.99384063098889e-08	2.88302128240043e-06	8.3736435859885	8.50441523363485	7.33157778488552	7.06990912003964
MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	MAT	380085	382864	5.25315223814025	-1.01506437420044	9.90989698571688e-05	0.00193738486070765	5.81696910174634	5.5155408214781	4.69298794135091	4.62748709772718
MvSl-1064-A1-R4_A1g00210	MvSl-1064-A1-R4_A1	MAT	1119790	1125248	6.32339581447849	0.252041204754081	0.236952549882799	0.53723401004002	6.1009373890643	6.27694037390061	6.47201901566177	6.41492928210146
MvSl-1064-A1-R4_A1g00211	MvSl-1064-A1-R4_A1	MAT	1116801	1118832	7.4924592431474	-0.145908657392451	0.505295603347292	0.772525885343705	7.7033135657025	7.40919162268493	7.48641225066573	7.34553355942655
MvSl-1064-A1-R4_A1g00215	MvSl-1064-A1-R4_A1	MAT	552007	553387	4.002394724378	0.0697971165618184	0.839089633248761	0.94727959871151	3.68077252709438	4.20244559022745	4.32991159569677	3.66725427560284
MvSl-1064-A1-R4_A1g00240	MvSl-1064-A1-R4_A1	MAT	718774	719371	3.87008913820958	0.566463921563952	0.0629720685850442	0.251478985129317	3.66986797163154	3.44258518449157	4.14327426715808	4.10248195058659
MvSl-1064-A1-R4_A1g00241	MvSl-1064-A1-R4_A1	MAT	1098507	1099824	6.68650198664592	-0.16252036298706	0.431152967232329	0.722209056229167	6.73000503324012	6.79997454332881	6.6209330098278	6.58504753439989
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	MAT	1108286	1110870	6.42550202033887	0.143592157245408	0.538547584284545	0.795293788843889	6.23921517555266	6.45598055192267	6.70089763044564	6.25580224982484
MvSl-1064-A1-R4_A1g00245	MvSl-1064-A1-R4_A1	MAT	1060653	1061300	5.95901405992407	-0.104676771953478	0.637550847007505	0.855171118970616	5.84147187270769	6.16073214397997	5.90328185252124	5.90864935198879
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	MAT	551158	551514	6.25637581633942	0.752600799010957	0.000460521284049371	0.00660234014232114	5.75511751131515	5.9037532910809	6.58962901077278	6.57743764460709
MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	MAT	667810	671393	6.16134816712528	2.16855085720261	3.28216442769928e-18	1.17638243362788e-15	4.88644625740953	4.49943095754082	6.6815741343666	7.03620294982888
MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	MAT	1111101	1112366	6.36209831936868	-0.93342655442273	0.00115355705773517	0.0134093213657269	6.88596570798648	6.61092013217622	5.29134539727031	6.20943045589879
MvSl-1064-A1-R4_A1g00280	MvSl-1064-A1-R4_A1	MAT	713060	718328	6.92589278004557	0.641196759835184	0.00238135539514787	0.0236814093746382	6.62382685941162	6.51431805434034	7.34068383312298	7.06797087242323
MvSl-1064-A1-R4_A1g00281	MvSl-1064-A1-R4_A1	MAT	704230	705173	6.83052792504609	0.748838840061361	0.00108661409153076	0.0128393604606423	6.5735187221341	6.22212905455398	7.31054556928885	6.9837083365302
MvSl-1064-A1-R4_A1g00290	MvSl-1064-A1-R4_A1	MAT	407531	411380	7.70776217574767	1.30494917247023	9.67073181313556e-08	5.28541553618001e-06	6.85861640742938	6.9645666917093	7.92173691139893	8.46211714364482
MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	MAT	1132727	1134319	7.63895164328559	0.0368656484549196	0.862806764458054	0.955217789119918	7.60154657185365	7.6389694881963	7.74292989292265	7.56618088956966
MvSl-1064-A1-R4_A1g00307	MvSl-1064-A1-R4_A1	MAT	1993924	1995401	7.07109369805577	-0.512928451019184	0.0200962565377464	0.118321696603487	7.05683237130111	7.51601546355806	6.79523370980538	6.78942608820825
MvSl-1064-A1-R4_A1g00311	MvSl-1064-A1-R4_A1	MAT	1396587	1398849	7.68740458552539	0.356341585093686	0.0973815505659683	0.331097271924292	7.54485695698434	7.45022076434102	7.77134931229117	7.93303813604889
MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	MAT	1393224	1396199	6.39171404194283	-0.954748677657932	6.84624587602296e-06	0.000212604357492958	6.73131680958585	6.84934018576044	5.87042385364085	5.80447395235268
MvSl-1064-A1-R4_A1g00326	MvSl-1064-A1-R4_A1	MAT	1162650	1164414	2.44453054988456	11.0959298114163	2.96930360976455e-34	6.38548741279866e-31	-3.68947149152235	-3.68947149152235	3.27702904478574	3.54326762451324
MvSl-1064-A1-R4_A1g00327	MvSl-1064-A1-R4_A1	MAT	1158935	1161921	4.81445449999352	-0.93525137926892	0.00147224387082093	0.016236207406156	4.93051168197867	5.4385072677919	4.24931235227048	4.30036365087365
MvSl-1064-A1-R4_A1g00351	MvSl-1064-A1-R4_A1	MAT	1488010	1490661	7.19222637289356	0.20897301906554	0.316057155337788	0.62142254862072	7.1237894803034	7.04312264067346	7.39289502649098	7.18526271098554
MvSl-1064-A1-R4_A1g00352	MvSl-1064-A1-R4_A1	MAT	1486271	1487768	4.99194312826414	-0.132885696131984	0.615420582098322	0.842432821007283	5.05934979909472	5.05442830528652	4.92344702376443	4.92514504609839
MvSl-1064-A1-R4_A1g00359	MvSl-1064-A1-R4_A1	MAT	679143	681507	10.7006727070249	0.976942830465556	0.00227372828816186	0.022795583606956	10.0416305076294	10.21522777533	11.1711558409135	11.0418370918166
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A1-R4_A1	MAT	245502	246121	5.34405675249721	-0.712333575995919	0.00598516148872923	0.0480264544086277	5.77687792657608	5.52703537774105	4.80437617396306	5.07472230802564
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A1-R4_A1	MAT	248916	251783	6.92399603299461	-0.0662241661031679	0.759941949254718	0.914705227066907	6.80418259832616	7.09424390987347	6.75103368670869	7.01784551092384
MvSl-1064-A1-R4_A1g00369	MvSl-1064-A1-R4_A1	MAT	270179	271004	7.41163964040456	0.144613650575535	0.492610637810203	0.766764926432472	7.34856261262825	7.32642100585973	7.40875366612423	7.55182875070127
MvSl-1064-A1-R4_A1g00370	MvSl-1064-A1-R4_A1	MAT	319920	320757	6.493291128324	-0.0897399338397209	0.676132723855545	0.874027168030494	6.64067928050221	6.42682338444511	6.49375713200218	6.4002149614927
MvSl-1064-A1-R4_A1g00371	MvSl-1064-A1-R4_A1	MAT	330602	330868	7.19001705069029	-0.374013279986584	0.0659945350825572	0.259335308716381	7.3680897356739	7.36183536683908	6.9276039845151	7.05197824626298
MvSl-1064-A1-R4_A1g00372	MvSl-1064-A1-R4_A1	MAT	337815	342587	7.90733426291205	0.228670192676268	0.285000155148534	0.594176280801669	7.78769425731366	7.78924686365816	7.99730643171181	8.03657001063128
MvSl-1064-A1-R4_A1g00373	MvSl-1064-A1-R4_A1	MAT	342659	343448	6.04842431691432	0.10615066034019	0.67599315280336	0.874027168030494	5.63410593949328	6.28101940023655	5.9752119901156	6.21574684523027
MvSl-1064-A1-R4_A1g00374	MvSl-1064-A1-R4_A1	MAT	343906	345432	4.24951689253999	-0.12273593523479	0.735325391857771	0.904524468566969	4.74554878468083	3.69169938754236	4.01263229779481	4.34458577894451
MvSl-1064-A1-R4_A1g00375	MvSl-1064-A1-R4_A1	MAT	355987	356282	2.99384715687008	-5.0786268772223	1.53124412642081e-25	1.31717619754718e-22	3.92043848401964	3.99295557226919	-1.58865369710623	-0.460186878075001
MvSl-1064-A1-R4_A1g00379	MvSl-1064-A1-R4_A1	MAT	903456	904193	0.621708552316886	-3.09605015846789	2.36225725660445e-07	1.15455323416543e-05	1.31708107970532	1.58732207015376	-0.767454586584231	-2.42864006143857
MvSl-1064-A1-R4_A1g00380	MvSl-1064-A1-R4_A1	MAT	901642	902941	6.82599487733427	-0.0550107486647522	0.792723968997206	0.930919704587334	6.78977498055101	6.91380653168734	6.8658679741853	6.72741472537025
MvSl-1064-A1-R4_A1g00390	MvSl-1064-A1-R4_A1	MAT	896092	900842	4.10977505467621	-0.0167680217730511	0.956188715773868	0.987055722199305	4.31275003638101	3.89699592653415	4.05434754594151	4.14722965791868
MvSl-1064-A1-R4_A1g00391	MvSl-1064-A1-R4_A1	MAT	895253	895922	8.06383464462089	0.269582409742429	0.224922973559429	0.522950292851493	7.83726983922295	8.0033266301902	8.22177952006611	8.16216451295658
MvSl-1064-A1-R4_A1g00394	MvSl-1064-A1-R4_A1	MAT	889992	892373	7.56942683575429	-0.281161981863807	0.230531364360074	0.529797167038567	7.44085426155924	7.92468523806557	7.43692784499105	7.40723877737859
MvSl-1064-A1-R4_A1g00395	MvSl-1064-A1-R4_A1	MAT	885400	886813	7.41667139555162	-0.166878200383162	0.431713158530443	0.722439522618618	7.54746573848216	7.44629104560905	7.40813503169859	7.24926634440282
MvSl-1064-A1-R4_A1g00396	MvSl-1064-A1-R4_A1	MAT	863010	863649	7.82517145506418	-0.0222785828322658	0.919372083490614	0.976350452121761	7.70765189384968	7.95414824880282	7.85384984938887	7.77306567983038
MvSl-1064-A1-R4_A1g00397	MvSl-1064-A1-R4_A1	MAT	861883	862053	9.31816307550021	-0.339543830366966	0.206014258010198	0.499474252368581	9.29691638090395	9.63874735135461	9.15558470458604	9.12114598341409
MvSl-1064-A1-R4_A1g00398	MvSl-1064-A1-R4_A1	MAT	856916	857392	9.47165729948992	-0.162155030310464	0.56578525869428	0.809376939465744	9.28925491822714	9.77145602402852	9.42983027672762	9.34557792698018
MvSl-1064-A1-R4_A1g00399	MvSl-1064-A1-R4_A1	MAT	854394	856791	9.73960038789193	0.62393947305762	0.0355932455256527	0.173272834188831	9.19921946645743	9.5658098576411	10.2000816422871	9.80968975577198
MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	MAT	852461	853825	2.78518878334972	-0.621942457119263	0.0919102264907624	0.320345124908241	3.20207695480454	2.91502009566477	2.41214123347989	2.48471996668422
MvSl-1064-A1-R4_A1g00401	MvSl-1064-A1-R4_A1	MAT	849156	852184	10.1065382624952	0.319952780221149	0.302172896931029	0.609018570618723	9.70123856791271	10.140773953724	10.3852969024496	10.1175828576916
