genea2	dna2	dna2se	dsa2	dsa2se	dndsa2	chr	chrom	DE	genea1	dna1	dna1se	dsa1	dsa1se	dndsa1
MvSl-1064-A2-R4_A2g00074	0.02492	0.00842	0.00025	0.00066	99.2829	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g00074	0.02492	0.00842	0.00025	0.00065	99.6401
MvSl-1064-A2-R4_A2g00126	0.00371	0.00215	0.0066	0.00471	0.562036	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00369	0.00386	0.00224	0.00904	0.00525	0.426986
MvSl-1064-A2-R4_A2g00130	0.00848	0.00491	0.00009	0.00037	93.1868	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00373	0.00848	0.00491	0.00009	0	94.1176
MvSl-1064-A2-R4_A2g00131	0.00109	0.00109	0.00263	0.00264	0.414291	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00374	0.00109	0.00109	0.00793	0.0046	0.137451
MvSl-1064-A2-R4_A2g00153	0.00668	0.00276	0.01167	0.0053	0.572359	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g01392	0.00228	0.00162	0.01319	0.00543	0.172857
MvSl-1064-A2-R4_A2g00179	0.0095	0.0055	0.0001	0.00041	94.0594	fBlue	NRR	NON	MvSl-1064-A1-R4_A1g00772	0.00002	0	0.01952	0.0035	0.00102458
MvSl-1064-A2-R4_A2g00300	0.0081	0.00331	0.01193	0.00598	0.678904	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g00254	0.0089	0.00338	0.01127	0.00658	0.7897
MvSl-1064-A2-R4_A2g00366	0.00253	0.00253	0.00003	0.00012	81.6129	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00404	0.00551	0.0039	0.00006	0.00021	91.6805
MvSl-1064-A2-R4_A2g00369	0.00495	0.00496	0.03293	0.01941	0.150314	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00401	0.00997	0.00593	0.03278	0.01063	0.304148
MvSl-1064-A2-R4_A2g00371	0.00002	0	0.01737	0.0012	0.00115134	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00399	0.00332	0.00252	0.01741	0.01149	0.190694
MvSl-1064-A2-R4_A2g00372	0.01245	0.00725	0.04434	0.02254	0.280779	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00398	0.01245	0.00725	0.04434	0.02253	0.280784
MvSl-1064-A2-R4_A2g00374	0.01816	0.00818	0.00018	0.00059	100.331	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00396	0.01506	0.00761	0.00015	0.00081	100.333
MvSl-1064-A2-R4_A2g00375	0.00469	0.00237	0.01915	0.00794	0.244896	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00395	0.00497	0.00249	0.00833	0.00483	0.596631
MvSl-1064-A2-R4_A2g00379	0.00236	0.00236	0.00622	0.00623	0.37936	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00391	0.01003	0.00506	0.01619	0.00951	0.619514
MvSl-1064-A2-R4_A2g00380	0.00655	0.00324	0.00397	0.00379	1.64946	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00390	0.0017	0.0017	0.01059	0.00615	0.160527
MvSl-1064-A2-R4_A2g00559	0.00692	0.0023	0.00305	0.00209	2.26811	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00575	0.00228	0.00132	0.00783	0.00351	0.291184
MvSl-1064-A2-R4_A2g00565	0.0078	0.00349	0.00822	0.00581	0.94879	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00757	0.0191	0.00664	0.0116	0.00873	1.64654
MvSl-1064-A2-R4_A2g00576	0.00758	0.0026	0.01502	0.00512	0.504627	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00749	0.02092	0.00472	0.01574	0.00559	1.32909
MvSl-1064-A2-R4_A2g00611	0.00405	0.00407	0.02004	0.01426	0.202086	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00245	0.00912	0.00651	0.00009	0.00085	101.221
MvSl-1064-A2-R4_A2g00647	0.00878	0.00441	0.01223	0.0087	0.717848	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g00270	0.00002	0	0.01952	0	0.00102458
MvSl-1064-A2-R4_A2g00698	0.00594	0.00301	0.02642	0.01095	0.224821	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00211	0.0119	0.00425	0.02223	0.01011	0.53531
MvSl-1064-A2-R4_A2g00711	0.00404	0.00287	0.00571	0.00579	0.707407	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g00292	0.00221	0.0022	0.00442	0.00441	0.499989
MvSl-1064-A2-R4_A2g00732	0.00001	0	0.00806	0.00098	0.00124054	dRed	NRR	NON	MvSl-1064-A1-R4_A1g00406	0.00001	0	0.00806	0	0.00124068
MvSl-1064-A2-R4_A2g00773	0	0.00003	0.00002	0	0	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g01369	0.00304	0.00217	0.01158	0.00832	0.262519
MvSl-1064-A2-R4_A2g00774	0.00514	0.00155	0.00465	0.00231	1.10514	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g01368	0.0062	0.00172	0.01341	0.00389	0.462338
MvSl-1064-A2-R4_A2g00818	0.00532	0.00534	0.00005	0	104.314	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00327	0.00533	0.00535	0.00005	0.00025	106.387
MvSl-1064-A2-R4_A2g00825	0.02563	0.00818	0.01487	0.00864	1.72349	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g01137	0.02317	0.00776	0.00949	0.00664	2.44149
MvSl-1064-A2-R4_A2g00826	0.01406	0.00494	0.01082	0.00758	1.29933	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g01136	0.01553	0.00446	0.02554	0.00804	0.608063
MvSl-1064-A2-R4_A2g00841	0.00002	0	0.01702	0.003	0.00117502	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g01212	0.00408	0.0029	0.0183	0.01068	0.22295
MvSl-1064-A2-R4_A2g00865	0.0027	0.00272	0.02471	0.01252	0.109263	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00534	0.00258	0.0026	0.02792	0.01414	0.0924065
MvSl-1064-A2-R4_A2g00889	0	0.00004	0.00001	0	0	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g00522	0.0043	0.00431	0.00004	0.00017	107.232
MvSl-1064-A2-R4_A2g00915	0.0074	0.00306	0.02012	0.00723	0.367775	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00311	0.00476	0.00234	0.01614	0.00654	0.294918
MvSl-1064-A2-R4_A2g00924	0.00403	0.00404	0.01218	0.01227	0.330843	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00843	0.00387	0.00389	0.02737	0.01953	0.141395
MvSl-1064-A2-R4_A2g00993	0.00875	0.00359	0.00009	0.0002	96.1538	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00433	0.00292	0.00207	0.00694	0.00492	0.420743
MvSl-1064-A2-R4_A2g01002	0.00663	0.00207	0.0024	0.00157	2.76135	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g00644	0.00524	0.00186	0.00735	0.00301	0.712915
MvSl-1064-A2-R4_A2g01028	0.00838	0.00254	0.01301	0.00462	0.64407	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g01129	0.0044	0.0018	0.01032	0.00424	0.426352
MvSl-1064-A2-R4_A2g01038	0.00692	0.00162	0.013	0.00317	0.532267	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00845	0.00501	0.00127	0.00363	0.00123	1.38013
MvSl-1064-A2-R4_A2g01135	0.00449	0.00184	0.00959	0.00431	0.468147	faBlack	NRR	Up	MvSl-1064-A1-R4_A1g01384	0.00302	0.00151	0.00562	0.00325	0.537357
MvSl-1064-A2-R4_A2g01151	0.00376	0.00126	0.0071	0.00292	0.529503	fBlue	NRR	NON	MvSl-1064-A1-R4_A1g01431	0.00475	0.00144	0.00659	0.00271	0.720778
MvSl-1064-A2-R4_A2g01154	0.00494	0.00352	0.01737	0.01241	0.284382	fBlue	NRR	NON	MvSl-1064-A1-R4_A1g00998	0.00739	0.00429	0.00884	0.0089	0.835963
MvSl-1064-A2-R4_A2g01256	0.01033	0.00423	0.0001	0.00024	102.277	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00307	0.00696	0.00349	0.01511	0.00761	0.460619
MvSl-1064-A2-R4_A2g01267	0.00343	0.00346	0.03473	0.01764	0.098759	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00505	0.00335	0.00338	0.01808	0.01292	0.185287
MvSl-1064-A2-R4_A2g01268	0.00002	0	0.02038	0.00146	0.000981306	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00506	0.00002	0	0.02038	0.00158	0.000981349
MvSl-1064-A2-R4_A2g01269	0.00001	0	0.00619	0.00019	0.00161525	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00507	0.00823	0.00479	0.02186	0.01277	0.376485
MvSl-1064-A2-R4_A2g01274	0.00302	0.00215	0.00358	0.00363	0.84334	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00510	0.00468	0.0027	0.00334	0.00332	1.40116
MvSl-1064-A2-R4_A2g01279	0.01048	0.00526	0.0149	0.01062	0.703309	gPurple	NRR	NON	MvSl-1064-A1-R4_A1g01017	0.00287	0.00288	0.01186	0.00845	0.241988
MvSl-1064-A2-R4_A2g01393	0.00615	0.00431	0.00669	0.00655	0.919145	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g01173	0.00321	0.00322	0.00003	0	106.645
MvSl-1064-A2-R4_A2g01431	0.00272	0.00192	0.00532	0.00377	0.511182	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00153	0.00423	0.0019	0.01519	0.00579	0.278471
MvSl-1064-A2-R4_A2g01433	0.00378	0.0019	0.00902	0.00453	0.419022	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00155	0.0028	0.00162	0.00696	0.00404	0.402293
MvSl-1064-A2-R4_A2g01519	0.00362	0.00361	0.00855	0.00853	0.423342	gPurple	NRR	NON	MvSl-1064-A1-R4_A1g01227	0.00864	0.00613	0.00009	0.00121	95.8935
MvSl-1064-A2-R4_A2g01535	0.00264	0.00119	0.00695	0.00311	0.379801	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00645	0.00263	0.00185	0.00226	0.00223	1.16367
MvSl-1064-A2-R4_A2g01556	0.01358	0.00396	0.04896	0.01215	0.277364	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g01348	0.00434	0.00218	0.02778	0.00936	0.156227
MvSl-1064-A2-R4_A2g01608	0	0	0.00001	0	0	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00912	0.0084	0.00599	0.00008	0.00058	104.869
MvSl-1064-A2-R4_A2g01693	0.01208	0.00405	0.0086	0.00495	1.40449	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00530	0.00769	0.00309	0.01919	0.00774	0.400727
MvSl-1064-A2-R4_A2g01700	0.00956	0.00677	0.0001	0	94.6535	faBlack	NRR	NON	MvSl-1064-A1-R4_A1g00528	0.00513	0.00515	0.01969	0.01408	0.260537
MvSl-1064-A2-R4_A2g01757	0.00121	0.00123	0.01605	0.00938	0.0753847	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01444	0.00121	0.00123	0.01605	0.00939	0.0753889
MvSl-1064-A2-R4_A2g01763	0.01115	0.00374	0.00011	0.00023	100.45	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01450	0.00989	0.00351	0.0001	0.00021	98.8012
MvSl-1064-A2-R4_A2g01766	0.00001	0	0.01056	0.00058	0.00094688	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01453	0.00001	0	0.01056	0.00063	0.000946961
MvSl-1064-A2-R4_A2g01770	0.00003	0	0.02976	0.00596	0.00100803	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01457	0.00003	0	0.02976	0.00586	0.00100806
MvSl-1064-A2-R4_A2g01771	0.00421	0.00298	0.0136	0.00791	0.309536	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01458	0.00388	0.00249	0.0228	0.01099	0.170175
MvSl-1064-A2-R4_A2g01773	0.00905	0.00528	0.00558	0.0057	1.62157	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01460	0.00905	0.00524	0.00558	0.00557	1.62183
MvSl-1064-A2-R4_A2g01783	0.00553	0.0022	0.01066	0.00451	0.518713	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01470	0.00553	0.0032	0.01066	0.00618	0.518757
MvSl-1064-A2-R4_A2g01784	0.02167	0.00566	0.02258	0.0103	0.959656	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01471	0.02167	0.00562	0.02258	0.01012	0.959695
MvSl-1064-A2-R4_A2g01793	0.04685	0.01504	0.04969	0.02508	0.942827	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01480	0.04685	0.01503	0.04969	0.02503	0.942844
MvSl-1064-A2-R4_A2g01798	0.00584	0.00339	0.00006	0	95.7377	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01485	0.00584	0.00339	0.00006	0	97.1714
MvSl-1064-A2-R4_A2g01799	0.00881	0.0028	0.01346	0.00554	0.654483	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01486	0.00881	0.0028	0.01346	0.00553	0.654527
MvSl-1064-A2-R4_A2g01813	0.00086	0.00087	0.01679	0.00599	0.0512179	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01500	0.00086	0.00087	0.01679	0.006	0.0512207
MvSl-1064-A2-R4_A2g01814	0.00291	0.00296	0.00939	0.00956	0.309871	bPAR	bPAR	NON	MvSl-1064-A1-R4_A1g01501	0.00291	0.00294	0.00939	0.00951	0.309901
MvSl-1064-A2-R4_MC01g01984	0.00451	0.00226	0.00005	0.0002	88.4314	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01703	0.00451	0.00226	0.00005	0.00014	90.02
MvSl-1064-A2-R4_MC01g01986	0.00535	0.00308	0.01055	0.00609	0.507061	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01705	0.00535	0.00309	0.01055	0.0061	0.507104
MvSl-1064-A2-R4_MC01g01989	0.00147	0.00148	0.00852	0.00495	0.172515	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01708	0.00147	0.00147	0.00852	0.00494	0.172533
MvSl-1064-A2-R4_MC01g02007	0.00953	0.00266	0.00791	0.00356	1.20465	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01726	0.00953	0.00266	0.00791	0.00356	1.20479
MvSl-1064-A2-R4_MC01g02011	0.0036	0.0036	0.02524	0.0148	0.142625	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01730	0.0036	0.0036	0.02524	0.0148	0.14263
MvSl-1064-A2-R4_MC01g02012	0.00122	0.00086	0.01272	0.00573	0.0959044	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01731	0.00122	0.00086	0.01272	0.00574	0.0959112
MvSl-1064-A2-R4_MC01g02015	0.00459	0.0023	0.00601	0.00426	0.7636	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01734	0.00459	0.00229	0.00601	0.00422	0.763714
MvSl-1064-A2-R4_MC01g02024	0	0.00117	0.00001	0.00215	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01743	0	0.01762	0.00001	0.03563	0
MvSl-1064-A2-R4_MC01g02029	0.00829	0.00478	0.00533	0.00525	1.55506	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01748	0.00829	0.00477	0.00533	0.00523	1.55532
MvSl-1064-A2-R4_MC01g02044	0.00427	0.0015	0.00694	0.00283	0.615185	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01763	0.00427	0.00151	0.00694	0.00284	0.615265
MvSl-1064-A2-R4_MC01g02047	0.00327	0.00328	0.00003	0.00003	105.484	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01766	0.00327	0.00328	0.00003	0.00003	108.638
MvSl-1064-A2-R4_MC01g02052	0	0	0.00001	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01771	0	0.00003	0.00002	0	0
MvSl-1064-A2-R4_MC01g02081	0.00362	0.00254	0.00408	0.004	0.887037	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01800	0.00362	0.00255	0.00408	0.00402	0.887233
MvSl-1064-A2-R4_MC01g02086	0.00871	0.00391	0.00853	0.00608	1.02098	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01805	0.00871	0.0039	0.00853	0.00601	1.02109
MvSl-1064-A2-R4_MC01g02087	0.00232	0.00134	0.00597	0.00347	0.388545	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01806	0.00232	0.00134	0.00597	0.00345	0.388603
MvSl-1064-A2-R4_MC01g02089	0.01033	0.00425	0.01805	0.00914	0.572267	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01808	0.01033	0.00425	0.01805	0.00913	0.572296
MvSl-1064-A2-R4_MC01g02092	0.00563	0.00327	0.00949	0.00676	0.593194	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01811	0.00563	0.00326	0.00949	0.00675	0.59325
MvSl-1064-A2-R4_MC01g02097	0.00001	0	0.01024	0.00127	0.000976467	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01816	0.00001	0	0.01024	0.00065	0.000976553
MvSl-1064-A2-R4_MC01g02098	0.00701	0.00405	0.00822	0.00819	0.852694	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01817	0.00701	0.00406	0.00822	0.00826	0.852788
MvSl-1064-A2-R4_MC01g02099	0.00973	0.00466	0.00943	0.00607	1.0317	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01818	0.00973	0.00483	0.00943	0.00653	1.0318
MvSl-1064-A2-R4_MC01g02101	0.00377	0.00378	0.00004	0.0002	91.9512	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01820	0.00377	0	0.00004	0	94.015
MvSl-1064-A2-R4_MC01g02102	0.00796	0.00446	0.02629	0.01474	0.302765	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01821	0.00796	0.00458	0.02629	0.01518	0.302776
MvSl-1064-A2-R4_MC01g02104	0.00858	0.00258	0.00532	0.00261	1.61248	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01823	0.00858	0.0026	0.00532	0.00267	1.61275
MvSl-1064-A2-R4_MC01g02107	0.00848	0.00382	0.01731	0.00782	0.489862	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01826	0.00848	0.00381	0.01731	0.00781	0.489887
MvSl-1064-A2-R4_MC01g02115	0.00374	0.00266	0.01899	0.01108	0.196935	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01834	0.00374	0.00266	0.01899	0.01108	0.196945
MvSl-1064-A2-R4_MC01g02124	0.00923	0.00659	0.01021	0.01032	0.903927	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01843	0.00923	0.00657	0.01021	0.01026	0.904007
MvSl-1064-A2-R4_MC01g02133	0.00832	0.006	0.03372	0.0247	0.246731	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01852	0.00832	0.006	0.03372	0.02469	0.246737
MvSl-1064-A2-R4_MC01g02134	0.00484	0.00343	0.00554	0.00555	0.873489	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01853	0.00484	0.00343	0.00554	0.00557	0.87363
MvSl-1064-A2-R4_MC01g02135	0.00377	0.00173	0.00403	0.00219	0.935252	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01854	0.00377	0.00172	0.00403	0.00215	0.935461
MvSl-1064-A2-R4_MC01g02140	0.00269	0.00102	0.00922	0.00309	0.291725	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01859	0.00269	0.00102	0.00922	0.00309	0.291754
MvSl-1064-A2-R4_MC01g02142	0.00681	0.00189	0.00956	0.00309	0.712269	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01861	0.00681	0.00196	0.00956	0.00333	0.712336
MvSl-1064-A2-R4_MC01g02143	0.00637	0.00446	0.00623	0.0061	1.02231	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01862	0.00637	0.0045	0.00623	0.00622	1.02246
MvSl-1064-A2-R4_MC01g02146	0.00201	0.002	0.00585	0.00584	0.343531	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01865	0.00201	0.002	0.00585	0.00584	0.343584
MvSl-1064-A2-R4_MC01g02150	0.0056	0.00283	0.01114	0.00654	0.502648	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01869	0.0056	0.00282	0.01114	0.00652	0.502688
MvSl-1064-A2-R4_MC01g02152	0.00859	0.00611	0.0098	0.00983	0.876441	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01871	0.00859	0.00611	0.0098	0.00985	0.876522
MvSl-1064-A2-R4_MC01g02154	0.00459	0.00205	0.00875	0.00439	0.524511	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01873	0.00459	0.00205	0.00875	0.00438	0.524565
MvSl-1064-A2-R4_MC01g02155	0.005	0.00294	0.01312	0.00836	0.381069	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01874	0.005	0.00268	0.01312	0.00746	0.381095
MvSl-1064-A2-R4_MC01g02156	0	0	0.0045	0.00034	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01875	0	0	0.0045	0.00033	0
MvSl-1064-A2-R4_MC01g02157	0.00001	0	0.01174	0.00023	0.000851716	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01876	0.00305	0.00307	0.01908	0.0136	0.159852
MvSl-1064-A2-R4_MC01g02160	0.00622	0.00442	0.00716	0.00719	0.868594	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01879	0.00622	0.00367	0.00716	0.00401	0.868703
MvSl-1064-A2-R4_MC01g02162	0.00456	0.00235	0.00668	0.00394	0.682533	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01881	0.00456	0.00196	0.00668	0.00269	0.682625
MvSl-1064-A2-R4_MC01g02163	0.00265	0.00119	0.00878	0.00361	0.301788	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01882	0.00265	0.00119	0.00878	0.00361	0.301819
MvSl-1064-A2-R4_MC01g02164	0.00279	0.00279	0.00003	0.00008	90	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01883	0.00279	0.00279	0.00003	0.00016	92.691
MvSl-1064-A2-R4_MC01g02165	0.00832	0.00373	0.00812	0.00573	1.0245	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01884	0.00832	0.00372	0.00812	0.00569	1.02462
MvSl-1064-A2-R4_MC01g02168	0.00555	0.00176	0.00956	0.0034	0.580483	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01887	0.00555	0.00177	0.00956	0.00341	0.580538
MvSl-1064-A2-R4_MC01g02170	0.00632	0.00253	0.0058	0.00484	1.08947	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01889	0.00632	0.00448	0.0058	0.00582	1.08964
MvSl-1064-A2-R4_MC01g02174	0.00162	0.00094	0.00948	0.00336	0.170868	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC01-1g01893	0.00162	0.00094	0.00948	0.00336	0.170884
