gida1	comp	youngold	DE	a1intronnr	a1intronmean	a1introntotal
MvSl-1064-A1-R4_MC09-2g09566	Auto	Auto	Down	2	104	208
MvSl-1064-A1-R4_MC01-1g01970	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_A1g00349	Black	OldStrata	Down	9	97.1111	874
MvSl-1064-A1-R4_A1g00745	Black	OldStrata	Down	3	74.3333	223
MvSl-1064-A1-R4_MC01-1g02924	Auto	Auto	Down	7	179.571	1257
MvSl-1064-A1-R4_MC03g05222	Auto	Auto	Down	2	132.5	265
MvSl-1064-A1-R4_MC04-1g06069	Auto	Auto	Down	5	88.4	442
MvSl-1064-A1-R4_MC11g10575	Auto	Auto	Down	3	104.333	313
MvSl-1064-A1-R4_MC05-3g06760	Auto	Auto	Down	4	64.25	257
MvSl-1064-A1-R4_MC03g05070	Auto	Auto	Down	2	86	172
MvSl-1064-A1-R4_MC11g10346	Auto	Auto	Down	6	129.667	778
MvSl-1064-A1-R4_MC01-1g02734	Auto	Auto	Down	2	117	234
MvSl-1064-A1-R4_MC03g04879	Auto	Auto	Down	2	88.5	177
MvSl-1064-A1-R4_MC03g04959	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC03g04909	Auto	Auto	Down	4	184.5	738
MvSl-1064-A1-R4_MC11g10627	Auto	Auto	Down	3	86.6667	260
MvSl-1064-A1-R4_MC07g08004	Auto	Auto	Down	5	91.2	456
MvSl-1064-A1-R4_MC03g04539	Auto	Auto	Down	1	40	40
MvSl-1064-A1-R4_MC11g10630	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC05-2g06412	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC01-1g02787	Auto	Auto	Down	3	95.6667	287
MvSl-1064-A1-R4_MC11g10628	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_A1g00959	Black	OldStrata	Down	1	79	79
MvSl-1064-A1-R4_MC07g08249	Auto	Auto	Down	1	93	93
MvSl-1064-A1-R4_MC08g08369	Auto	Auto	Down	4	100.75	403
MvSl-1064-A1-R4_MC02g03891	Auto	Auto	Down	3	230.333	691
MvSl-1064-A1-R4_MC10-2g09886	Auto	Auto	Down	1	51	51
MvSl-1064-A1-R4_MC11g10654	Auto	Auto	Down	2	186	372
MvSl-1064-A1-R4_MC14g11804	Auto	Auto	Down	1	225	225
MvSl-1064-A1-R4_MC10-1g09730	Auto	Auto	Down	5	106.8	534
MvSl-1064-A1-R4_MC05-2g06485	Auto	Auto	Down	10	75.7	757
MvSl-1064-A1-R4_A1g01515	bPAR	bPAR	Down	1	0	0
MvSl-1064-A1-R4_MC11g10722	Auto	Auto	Down	5	100.2	501
MvSl-1064-A1-R4_MC09-2g09541	Auto	Auto	Down	5	101.8	509
MvSl-1064-A1-R4_MC12g11112	Auto	Auto	Down	7	90.1429	631
MvSl-1064-A1-R4_MC02g03606	Auto	Auto	Down	4	105.5	422
MvSl-1064-A1-R4_A1g00956	Black	OldStrata	Down	1	83	83
MvSl-1064-A1-R4_MC02g03274	Auto	Auto	Down	4	126.25	505
MvSl-1064-A1-R4_MC08g08835	Auto	Auto	Down	3	106.667	320
MvSl-1064-A1-R4_MC11g10629	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC02g03373	Auto	Auto	Down	2	167.5	335
MvSl-1064-A1-R4_MC11g10255	Auto	Auto	Down	4	119.25	477
MvSl-1064-A1-R4_MC06g07178	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC11g10508	Auto	Auto	Down	5	67.8	339
MvSl-1064-A1-R4_MC04-1g06004	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC13g11715	Auto	Auto	Down	3	106.333	319
MvSl-1064-A1-R4_MC05-2g06461	Auto	Auto	Down	3	71.6667	215
MvSl-1064-A1-R4_MC01-1g02725	Auto	Auto	Down	1	64	64
MvSl-1064-A1-R4_MC12g10779	Auto	Auto	Down	1	95	95
MvSl-1064-A1-R4_MC01-1g02046	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC13g11418	Auto	Auto	Down	1	53	53
MvSl-1064-A1-R4_A1g01358	Black	OldStrata	Down	1	55	55
MvSl-1064-A1-R4_MC01-1g02422	Auto	Auto	Down	1	43	43
MvSl-1064-A1-R4_MC02g04206	Auto	Auto	Down	2	108.5	217
MvSl-1064-A1-R4_MC06g07471	Auto	Auto	Down	10	98.1	981
MvSl-1064-A1-R4_MC04-1g05801	Auto	Auto	Down	5	88	440
MvSl-1064-A1-R4_MC07g07851	Auto	Auto	Down	1	297	297
MvSl-1064-A1-R4_MC11g10231	Auto	Auto	Down	1	163	163
MvSl-1064-A1-R4_MC04-1g05858	Auto	Auto	Down	1	108	108
MvSl-1064-A1-R4_MC02g04109	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC09-2g09380	Auto	Auto	Down	1	252	252
MvSl-1064-A1-R4_MC04-1g06041	Auto	Auto	Down	2	214	428
MvSl-1064-A1-R4_MC13g11416	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC01-1g02753	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC02g03922	Auto	Auto	Down	5	85.2	426
MvSl-1064-A1-R4_MC06g07191	Auto	Auto	Down	29	99.931	2898
MvSl-1064-A1-R4_A1g00112	Green	ColorStrata	Down	2	148	296
MvSl-1064-A1-R4_MC06g07420	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_A1g01135	Black	OldStrata	Down	3	80.6667	242
MvSl-1064-A1-R4_MC07g07835	Auto	Auto	Down	1	225	225
MvSl-1064-A1-R4_MC01-2g03005	Auto	Auto	Down	6	72.3333	434
MvSl-1064-A1-R4_MC09-2g09507	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC02g04224	Auto	Auto	Down	4	134.75	539
MvSl-1064-A1-R4_A1g01432	Blue	OldStrata	Down	4	84.25	337
MvSl-1064-A1-R4_MC05-1g06258	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_A1g00923	Black	OldStrata	Down	1	0	0
MvSl-1064-A1-R4_MC10-1g09732	Auto	Auto	Down	4	167.5	670
MvSl-1064-A1-R4_MC10-2g10125	Auto	Auto	Down	9	102.667	924
MvSl-1064-A1-R4_MC10-2g09980	Auto	Auto	Down	1	137	137
MvSl-1064-A1-R4_MC07g08078	Auto	Auto	Down	3	121.667	365
MvSl-1064-A1-R4_MC11g10248	Auto	Auto	Down	6	73.8333	443
MvSl-1064-A1-R4_A1g01347	Black	OldStrata	Down	5	89.4	447
MvSl-1064-A1-R4_MC13g11714	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC07g07592	Auto	Auto	Down	1	83	83
MvSl-1064-A1-R4_MC08g08447	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC14g11772	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC10-2g09962	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC09-2g09506	Auto	Auto	Down	1	80	80
MvSl-1064-A1-R4_MC03g04831	Auto	Auto	Down	1	124	124
MvSl-1064-A1-R4_A1g00718	Black	OldStrata	Down	2	71.5	143
MvSl-1064-A1-R4_MC08g08762	Auto	Auto	Down	1	43	43
MvSl-1064-A1-R4_MC01-1g02769	Auto	Auto	Down	1	88	88
MvSl-1064-A1-R4_MC08g08498	Auto	Auto	Down	6	140.333	842
MvSl-1064-A1-R4_MC02g03327	Auto	Auto	Down	3	107	321
MvSl-1064-A1-R4_MC04-1g05592	Auto	Auto	Down	3	112	336
MvSl-1064-A1-R4_MC11g10369	Auto	Auto	Down	3	78	234
MvSl-1064-A1-R4_MC04-1g05308	Auto	Auto	Down	1	79	79
MvSl-1064-A1-R4_MC02g03205	Auto	Auto	Down	3	118.667	356
MvSl-1064-A1-R4_MC10-1g09727	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC04-1g05677	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC10-1g09729	Auto	Auto	Down	1	49	49
MvSl-1064-A1-R4_A1g01383	Black	OldStrata	Down	7	79.4286	556
MvSl-1064-A1-R4_MC12g10792	Auto	Auto	Down	2	174	348
MvSl-1064-A1-R4_MC01-1g02764	Auto	Auto	Down	12	124.333	1492
MvSl-1064-A1-R4_MC14g11916	Auto	Auto	Down	10	108.8	1088
MvSl-1064-A1-R4_MC13g11325	Auto	Auto	Down	3	146.333	439
MvSl-1064-A1-R4_MC05-2g06481	Auto	Auto	Down	2	219	438
MvSl-1064-A1-R4_A1g01376	Black	OldStrata	Down	11	71.8182	790
MvSl-1064-A1-R4_MC10-2g10108	Auto	Auto	Down	2	91.5	183
MvSl-1064-A1-R4_MC01-2g03070	Auto	Auto	Down	3	76	228
MvSl-1064-A1-R4_MC13g11584	Auto	Auto	Down	8	84.5	676
MvSl-1064-A1-R4_MC10-2g10116	Auto	Auto	Down	7	100.286	702
MvSl-1064-A1-R4_MC03g04760	Auto	Auto	Down	1	446	446
MvSl-1064-A1-R4_A1g00350	Black	OldStrata	Down	2	155.5	311
MvSl-1064-A1-R4_MC06g07527	Auto	Auto	Down	2	119	238
MvSl-1064-A1-R4_MC14g11775	Auto	Auto	Down	3	97.6667	293
MvSl-1064-A1-R4_A1g00383	Black	OldStrata	Down	2	73	146
MvSl-1064-A1-R4_A1g00246	Black	OldStrata	Down	2	173	346
MvSl-1064-A1-R4_MC10-2g10050	Auto	Auto	Down	1	164	164
MvSl-1064-A1-R4_MC02g03617	Auto	Auto	Down	2	149	298
MvSl-1064-A1-R4_MC01-2g03146	Auto	Auto	Down	1	383	383
MvSl-1064-A1-R4_MC07g07613	Auto	Auto	Down	13	78.6154	1022
MvSl-1064-A1-R4_MC01-1g02779	Auto	Auto	Down	3	105	315
MvSl-1064-A1-R4_A1g00073	bPAR	bPAR	Down	3	107.667	323
MvSl-1064-A1-R4_MC02g03229	Auto	Auto	Down	11	88.9091	978
MvSl-1064-A1-R4_MC06g06943	Auto	Auto	Down	7	98	686
MvSl-1064-A1-R4_MC08g08472	Auto	Auto	Down	1	198	198
MvSl-1064-A1-R4_MC08g08445	Auto	Auto	Down	8	178.75	1430
MvSl-1064-A1-R4_A1g00120	Black	OldStrata	Down	7	81	567
MvSl-1064-A1-R4_MC01-1g02763	Auto	Auto	Down	6	114.833	689
MvSl-1064-A1-R4_A1g00854	Purple	OldStrata	Down	8	97.125	777
MvSl-1064-A1-R4_MC07g07612	Auto	Auto	Down	2	197	394
MvSl-1064-A1-R4_MC02g04208	Auto	Auto	Down	1	79	79
MvSl-1064-A1-R4_MC10-2g10037	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC03g05112	Auto	Auto	Down	4	69.75	279
MvSl-1064-A1-R4_MC13g11692	Auto	Auto	Down	5	106.2	531
MvSl-1064-A1-R4_MC04-1g05942	Auto	Auto	Down	6	127.833	767
MvSl-1064-A1-R4_MC12g11020	Auto	Auto	Down	3	59.3333	178
MvSl-1064-A1-R4_MC05-3g06591	Auto	Auto	Down	11	95.3636	1049
MvSl-1064-A1-R4_MC01-1g01957	Auto	Auto	Down	3	178	534
MvSl-1064-A1-R4_MC03g05077	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC03g04423	Auto	Auto	Down	2	210	420
MvSl-1064-A1-R4_MC01-1g02545	Auto	Auto	Down	10	83	830
MvSl-1064-A1-R4_MC07g07597	Auto	Auto	Down	8	79.875	639
MvSl-1064-A1-R4_MC11g10335	Auto	Auto	Down	2	60.5	121
MvSl-1064-A1-R4_MC11g10517	Auto	Auto	Down	4	77	308
MvSl-1064-A1-R4_MC13g11443	Auto	Auto	Down	1	71	71
MvSl-1064-A1-R4_MC01-1g02628	Auto	Auto	Down	1	0	0
MvSl-1064-A1-R4_MC10-1g09809	Auto	Auto	Down	2	59	118
MvSl-1064-A1-R4_A1g00241	Black	OldStrata	Down	1	0	0
MvSl-1064-A1-R4_MC09-2g09527	Auto	Auto	Down	4	80.75	323
MvSl-1064-A1-R4_MC04-1g05493	Auto	Auto	Down	2	67.5	135
MvSl-1064-A1-R4_MC04-1g05323	Auto	Auto	Down	3	89.3333	268
MvSl-1064-A1-R4_A1g00648	Black	OldStrata	Down	3	109.667	329
MvSl-1064-A1-R4_A1g00242	Black	OldStrata	Down	4	84.25	337
MvSl-1064-A1-R4_MC14g11805	Auto	Auto	Down	7	92.5714	648
MvSl-1064-A1-R4_MC13g11616	Auto	Auto	Down	7	100.429	703
MvSl-1064-A1-R4_MC09-2g09201	Auto	Auto	Up	6	131.333	788
MvSl-1064-A1-R4_MC10-2g10026	Auto	Auto	Up	5	185.6	928
MvSl-1064-A1-R4_MC01-1g01952	Auto	Auto	Up	2	185	370
MvSl-1064-A1-R4_MC04-1g05373	Auto	Auto	Up	9	110.444	994
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	Up	6	77.5	465
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	Up	6	82.8333	497
MvSl-1064-A1-R4_MC09-2g09142	Auto	Auto	Up	7	109.714	768
MvSl-1064-A1-R4_MC04-1g05441	Auto	Auto	Up	8	70.75	566
MvSl-1064-A1-R4_MC05-1g06149	Auto	Auto	Up	6	79.8333	479
MvSl-1064-A1-R4_MC09-2g09340	Auto	Auto	Up	5	80.8	404
MvSl-1064-A1-R4_MC04-1g05310	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_MC02g04171	Auto	Auto	Up	4	75	300
MvSl-1064-A1-R4_MC05-3g06516	Auto	Auto	Up	2	88.5	177
MvSl-1064-A1-R4_MC15g12029	Auto	Auto	Up	5	163.8	819
MvSl-1064-A1-R4_MC01-2g03112	Auto	Auto	Up	6	79.3333	476
MvSl-1064-A1-R4_A1g01164	Black	OldStrata	Up	10	83.2	832
MvSl-1064-A1-R4_MC10-1g09718	Auto	Auto	Up	7	77.1429	540
MvSl-1064-A1-R4_MC06g07298	Auto	Auto	Up	4	94	376
MvSl-1064-A1-R4_MC04-1g05865	Auto	Auto	Up	8	88.625	709
MvSl-1064-A1-R4_MC04-1g05729	Auto	Auto	Up	3	168	504
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	Up	7	107.286	751
MvSl-1064-A1-R4_MC07g07981	Auto	Auto	Up	3	51.6667	155
MvSl-1064-A1-R4_MC07g08104	Auto	Auto	Up	5	132.8	664
MvSl-1064-A1-R4_A1g00913	Black	OldStrata	Up	7	62.1429	435
MvSl-1064-A1-R4_MC02g03224	Auto	Auto	Up	2	99.5	199
MvSl-1064-A1-R4_MC07g08138	Auto	Auto	Up	8	84.5	676
MvSl-1064-A1-R4_MC03g04747	Auto	Auto	Up	12	93.1667	1118
MvSl-1064-A1-R4_MC07g07855	Auto	Auto	Up	9	110.778	997
MvSl-1064-A1-R4_A1g00800	Black	OldStrata	Up	8	102.375	819
MvSl-1064-A1-R4_MC06g07419	Auto	Auto	Up	5	80	400
MvSl-1064-A1-R4_MC04-1g05945	Auto	Auto	Up	4	86	344
MvSl-1064-A1-R4_A1g01253	Black	OldStrata	Up	4	105	420
MvSl-1064-A1-R4_MC12g11233	Auto	Auto	Up	5	153.8	769
MvSl-1064-A1-R4_A1g00292	Black	OldStrata	Up	8	90.125	721
MvSl-1064-A1-R4_A1g01359	Black	OldStrata	Up	5	78.2	391
MvSl-1064-A1-R4_MC05-2g06430	Auto	Auto	Up	8	80	640
MvSl-1064-A1-R4_A1g00920	Black	OldStrata	Up	4	115.5	462
MvSl-1064-A1-R4_A1g01384	Black	OldStrata	Up	1	77	77
MvSl-1064-A1-R4_MC13g11645	Auto	Auto	Up	8	94	752
MvSl-1064-A1-R4_A1g00078	bPAR	bPAR	Up	1	0	0
MvSl-1064-A1-R4_MC05-3g06519	Auto	Auto	Up	5	171.2	856
MvSl-1064-A1-R4_A1g00516	Black	OldStrata	Up	6	131.5	789
MvSl-1064-A1-R4_MC01-1g02603	Auto	Auto	Up	3	105.333	316
MvSl-1064-A1-R4_MC01-1g02022	Auto	Auto	Up	2	93.5	187
MvSl-1064-A1-R4_MC06g06896	Auto	Auto	Up	5	104.2	521
MvSl-1064-A1-R4_MC05-3g06707	Auto	Auto	Up	11	89.5455	985
MvSl-1064-A1-R4_MC05-3g06517	Auto	Auto	Up	4	90.25	361
MvSl-1064-A1-R4_MC03g04642	Auto	Auto	Up	4	148.75	595
MvSl-1064-A1-R4_A1g00400	Red	ColorStrata	Up	7	91.2857	639
MvSl-1064-A1-R4_MC05-3g06518	Auto	Auto	Up	8	88	704
MvSl-1064-A1-R4_MC07g08057	Auto	Auto	Up	3	83.3333	250
MvSl-1064-A1-R4_MC03g05159	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_MC02g03484	Auto	Auto	Up	1	94	94
MvSl-1064-A1-R4_MC10-1g09850	Auto	Auto	Up	9	175	1575
MvSl-1064-A1-R4_MC10-1g09620	Auto	Auto	Up	2	139.5	279
MvSl-1064-A1-R4_MC05-3g06514	Auto	Auto	Up	5	72	360
MvSl-1064-A1-R4_MC10-1g09801	Auto	Auto	Up	2	43.5	87
MvSl-1064-A1-R4_MC10-2g10098	Auto	Auto	Up	3	126.667	380
MvSl-1064-A1-R4_MC12g10990	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_A1g00270	Black	OldStrata	Up	3	208	624
MvSl-1064-A1-R4_MC05-3g06515	Auto	Auto	Up	5	259.6	1298
MvSl-1064-A1-R4_MC11g10594	Auto	Auto	Up	7	84.7143	593
MvSl-1064-A1-R4_A1g01346	Black	OldStrata	Up	5	380.4	1902
MvSl-1064-A1-R4_MC11g10198	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_MC01-2g03113	Auto	Auto	Up	4	78.75	315
MvSl-1064-A1-R4_A1g00154	Black	OldStrata	Up	1	127	127
MvSl-1064-A1-R4_MC05-3g06513	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_MC10-1g09733	Auto	Auto	Up	1	239	239
MvSl-1064-A1-R4_MC03g05233	Auto	Auto	Up	11	112.636	1239
MvSl-1064-A1-R4_MC03g05154	Auto	Auto	Up	9	162.333	1461
MvSl-1064-A1-R4_MC12g10761	Auto	Auto	Up	4	82.75	331
MvSl-1064-A1-R4_MC04-1g05987	Auto	Auto	Up	1	40	40
MvSl-1064-A1-R4_A1g00644	Black	OldStrata	Up	1	156	156
MvSl-1064-A1-R4_MC05-3g06511	Auto	Auto	Up	4	84.5	338
MvSl-1064-A1-R4_MC05-3g06520	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_A1g00080	bPAR	bPAR	Up	3	92	276
MvSl-1064-A1-R4_MC07g08097	Auto	Auto	Up	2	123.5	247
MvSl-1064-A1-R4_MC06g07136	Auto	Auto	Up	1	95	95
MvSl-1064-A1-R4_MC03g04844	Auto	Auto	Up	1	41	41
MvSl-1064-A1-R4_MC03g04845	Auto	Auto	Up	2	161	322
MvSl-1064-A1-R4_A1g00646	Black	OldStrata	Up	2	86	172
MvSl-1064-A1-R4_A1g00021	bPAR	bPAR	Up	1	142	142
MvSl-1064-A1-R4_MC03g04929	Auto	Auto	Up	3	90.6667	272
MvSl-1064-A1-R4_MC11g10688	Auto	Auto	Up	1	140	140
MvSl-1064-A1-R4_MC08g08665	Auto	Auto	Up	2	178	356
MvSl-1064-A1-R4_A1g01174	Black	OldStrata	Up	5	91	455
MvSl-1064-A1-R4_MC12g11286	Auto	Auto	Up	8	268.875	2151
MvSl-1064-A1-R4_A1g00853	Purple	OldStrata	Up	6	114.833	689
MvSl-1064-A1-R4_MC01-1g02161	Auto	Auto	Up	2	75.5	151
MvSl-1064-A1-R4_A1g00079	bPAR	bPAR	Up	10	83.6	836
MvSl-1064-A1-R4_MC09-2g09232	Auto	Auto	Up	2	135.5	271
MvSl-1064-A1-R4_MC01-1g02176	Auto	Auto	Up	4	176.25	705
MvSl-1064-A1-R4_MC03g05082	Auto	Auto	Up	1	80	80
MvSl-1064-A1-R4_MC03g05235	Auto	Auto	Up	7	99.2857	695
MvSl-1064-A1-R4_MC15g12082	Auto	Auto	Up	4	101.75	407
MvSl-1064-A1-R4_MC10-1g09785	Auto	Auto	Up	5	155.8	779
MvSl-1064-A1-R4_MC12g10849	Auto	Auto	Up	2	98	196
MvSl-1064-A1-R4_MC11g10618	Auto	Auto	Up	8	138.375	1107
MvSl-1064-A1-R4_MC01-1g02837	Auto	Auto	Up	1	90	90
MvSl-1064-A1-R4_MC10-1g09814	Auto	Auto	Up	6	93.3333	560
MvSl-1064-A1-R4_MC14g11845	Auto	Auto	Up	7	128.143	897
MvSl-1064-A1-R4_MC04-1g05911	Auto	Auto	Up	1	208	208
MvSl-1064-A1-R4_MC14g11898	Auto	Auto	Up	2	154.5	309
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	Up	3	73	219
MvSl-1064-A1-R4_A1g01212	Black	OldStrata	Up	7	79.5714	557
MvSl-1064-A1-R4_MC06g06944	Auto	Auto	Up	3	74	222
MvSl-1064-A1-R4_MC05-2g06432	Auto	Auto	Up	5	73.8	369
MvSl-1064-A1-R4_MC06g07412	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_MC01-1g02598	Auto	Auto	Up	1	53	53
MvSl-1064-A1-R4_A1g00495	Blue	OldStrata	Up	2	144.5	289
MvSl-1064-A1-R4_A1g00448	Black	OldStrata	Up	8	75	600
MvSl-1064-A1-R4_A1g01261	Orange	ColorStrata	Up	7	146	1022
MvSl-1064-A1-R4_MC03g04807	Auto	Auto	Up	1	73	73
MvSl-1064-A1-R4_A1g00641	Black	OldStrata	Up	1	128	128
MvSl-1064-A1-R4_A1g00389	Red	ColorStrata	Up	6	191	1146
MvSl-1064-A1-R4_MC13g11331	Auto	Auto	Up	11	69.7273	767
MvSl-1064-A1-R4_A1g00163	Black	OldStrata	Up	1	56	56
MvSl-1064-A1-R4_A1g00252	Black	OldStrata	Up	2	64.5	129
MvSl-1064-A1-R4_MC02g03498	Auto	Auto	Up	1	157	157
MvSl-1064-A1-R4_MC08g08318	Auto	Auto	Up	6	87.5	525
MvSl-1064-A1-R4_A1g00107	Black	OldStrata	Up	11	89	979
MvSl-1064-A1-R4_MC08g08647	Auto	Auto	Up	8	94.25	754
MvSl-1064-A1-R4_MC06g06946	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_A1g00081	Black	OldStrata	Up	8	84	672
MvSl-1064-A1-R4_MC06g07033	Auto	Auto	Up	16	79.75	1276
MvSl-1064-A1-R4_MC06g06945	Auto	Auto	Up	6	69.8333	419
MvSl-1064-A1-R4_A1g00997	Blue	OldStrata	Up	4	92.25	369
MvSl-1064-A1-R4_MC06g06947	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_MC12g10810	Auto	Auto	Up	1	55	55
MvSl-1064-A1-R4_MC11g10358	Auto	Auto	Up	10	107.4	1074
MvSl-1064-A1-R4_MC04-1g05502	Auto	Auto	Up	3	78	234
MvSl-1064-A1-R4_MC05-1g06212	Auto	Auto	Up	1	0	0
MvSl-1064-A1-R4_A1g00312	Black	OldStrata	Up	1	118	118
MvSl-1064-A1-R4_A1g00635	Black	OldStrata	Up	10	66.5	665
MvSl-1064-A1-R4_MC10-2g09885	Auto	Auto	Up	1	372	372
MvSl-1064-A1-R4_MC10-2g09933	Auto	Auto	Up	1	271	271
MvSl-1064-A1-R4_MC01-2g03166	Auto	Auto	Up	1	83	83
MvSl-1064-A1-R4_A1g01136	Black	OldStrata	Up	1	0	0
MvSl-1064-A1-R4_MC06g07066	Auto	Auto	Up	1	50	50
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	Up	1	0	0
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	Up	5	116.6	583
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	Up	6	84.6667	508
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	Up	2	64	128
MvSl-1064-A1-R4_MC06g07137	Auto	Auto	Up	7	78.8571	552
MvSl-1064-A1-R4_A1g00668	Orange	ColorStrata	Up	7	131	917
MvSl-1064-A1-R4_MC07g08235	Auto	Auto	Up	4	96.75	387
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	Up	1	71	71
MvSl-1064-A1-R4_MC13g11429	Auto	Auto	Up	2	76	152
MvSl-1064-A1-R4_MC01-1g02299	Auto	Auto	NON	2	65	130
MvSl-1064-A1-R4_MC01-1g02509	Auto	Auto	NON	1	83	83
MvSl-1064-A1-R4_MC11g10239	Auto	Auto	NON	6	91.5	549
MvSl-1064-A1-R4_MC11g10344	Auto	Auto	NON	6	144.667	868
MvSl-1064-A1-R4_MC07g07960	Auto	Auto	NON	8	76.375	611
MvSl-1064-A1-R4_A1g00886	Black	OldStrata	NON	1	94	94
MvSl-1064-A1-R4_MC05-2g06317	Auto	Auto	NON	10	79.1	791
MvSl-1064-A1-R4_MC01-2g03077	Auto	Auto	NON	3	98.3333	295
MvSl-1064-A1-R4_MC02g03664	Auto	Auto	NON	6	121.833	731
MvSl-1064-A1-R4_MC10-2g10109	Auto	Auto	NON	3	123.333	370
MvSl-1064-A1-R4_MC09-2g09524	Auto	Auto	NON	7	99.7143	698
MvSl-1064-A1-R4_MC02g03482	Auto	Auto	NON	2	65	130
MvSl-1064-A1-R4_A1g00958	Black	OldStrata	NON	4	73.25	293
MvSl-1064-A1-R4_MC08g08595	Auto	Auto	NON	2	89.5	179
MvSl-1064-A1-R4_MC01-2g02971	Auto	Auto	NON	3	156	468
MvSl-1064-A1-R4_MC01-1g02647	Auto	Auto	NON	1	87	87
MvSl-1064-A1-R4_MC01-1g01740	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC11g10585	Auto	Auto	NON	6	96.5	579
