gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2	meanwater	meanrich	meandi	log2(waterdi)	log2(richdi)
MvSl-1064-A2-R4_A2g00758	MvSl-1064-A1-R4_A2	MAT	1608378	1608889	10.07240452	2.158991643	-2.43042293	-4.589414573	1.04E-09	2.66E-14	6.42E-38	9.00E-09	4.05E-13	6.64E-36	8.759502387	9.114715876	7.145615105	6.543842749	11.18662874	11.51404672	8.937109132	6.844728927	11.35033773	-0.344855079	-0.729669913
MvSl-1064-A2-R4_A2g01157	MvSl-1064-A1-R4_A2	MAT	2501686	2502282	4.67839023	-2.777017471	-6.515179774	-3.738162303	0.208908147	6.89E-05	0.000147118	0.312154659	0.000282752	0.001071268	3.113756926	3.113756926	3.582529161	3.545895894	6.073001968	5.592155623	3.113756926	3.564212527	5.832578795	-0.905477567	-0.710550528
MvSl-1064-A2-R4_A2g01429	MvSl-1064-A1-R4_A2	MAT	3165368	3165907	6.810548708	0.384603423	-2.730713258	-3.115316681	0.544128523	1.56E-07	1.27E-10	0.670007165	9.39E-07	1.93E-09	5.088023658	5.837049558	4.659555351	5.583648736	7.926700469	8.090360618	5.462536608	5.121602044	8.008530543	-0.551966509	-0.644942394
MvSl-1064-A2-R4_A2g01591	MvSl-1064-A1-R4_A2	MAT	3503287	3504041	4.906851976	-3.658621686	-6.777004028	-3.118382342	0.084604732	3.71E-05	0.000716667	0.151351719	0.000158662	0.00435902	3.113756926	3.113756926	3.582529161	4.147759517	6.519883893	5.454233306	3.113756926	3.865144339	5.9870586	-0.943191065	-0.6313251
MvSl-1064-A2-R4_A2g00362	MvSl-1064-A1-R4_A2	MAT	791527	791997	7.163674807	-2.020489307	-5.175755484	-3.155266177	0.010926504	3.27E-17	1.47E-13	0.02769119	7.05E-16	2.81E-12	3.906463375	4.377359676	5.139299501	5.908058906	8.570631027	8.440104533	4.141911526	5.523679203	8.50536778	-1.038076884	-0.622744086
MvSl-1064-A2-R4_A2g00402	MvSl-1064-A1-R4_A2	MAT	882526	883458	8.790827762	3.081463923	-0.148584572	-3.230048494	1.92E-13	0.682609177	8.36E-15	2.83E-12	0.826582382	1.73E-13	8.974745867	9.475785734	6.714740846	5.754953195	9.157011022	9.596075904	9.2252658	6.234847021	9.376543463	-0.023465712	-0.588702028
MvSl-1064-A2-R4_A2g01164	MvSl-1064-A1-R4_A2	MAT	2510548	2511159	5.473872767	1.296484641	-1.386716241	-2.683200882	0.118597001	0.043086129	0.000126628	0.200374672	0.083742588	0.000977115	5.088023658	5.284439669	3.935762933	4.571173904	6.174138618	6.527034012	5.186231664	4.253468418	6.350586315	-0.292203143	-0.578250052
MvSl-1064-A2-R4_A2g01084	MvSl-1064-A1-R4_A2	MAT	2353138	2353305	3.786445214	0	-4.957901078	-4.957901078	1	0.010395114	0.001396302	1	0.025113429	0.007762238	3.113756926	3.113756926	3.113756926	3.113756926	4.818211178	4.449618543	3.113756926	3.113756926	4.633914861	-0.573575212	-0.573575212
MvSl-1064-A2-R4_A2g01158	MvSl-1064-A1-R4_A2	MAT	2502506	2502754	3.929331054	0	-5.270023403	-5.270023403	1	0.009352859	0.001517544	1	0.023195524	0.008258636	3.113756926	3.113756926	3.113756926	3.113756926	3.759702068	5.454233306	3.113756926	3.113756926	4.606967687	-0.565161153	-0.565161153
MvSl-1064-A2-R4_A2g00623	MvSl-1064-A1-R4_A2	MAT	1329055	1329495	4.129797562	-1.985286741	-5.633247237	-3.647960497	0.37566293	0.00568963	0.009604964	0.493790259	0.0147816	0.036783454	3.113756926	3.113756926	3.582529161	3.113756926	5.846599317	3.70647688	3.113756926	3.348143044	4.776538098	-0.617309046	-0.512604206
MvSl-1064-A2-R4_A2g00631	MvSl-1064-A1-R4_A2	MAT	1343145	1343477	3.941837032	4.181943368	-0.579118034	-4.761061401	0.017633207	0.6263571	0.003559978	0.041818203	0.776562639	0.017231926	3.906463375	4.377359676	3.113756926	3.113756926	5.048771656	3.70647688	4.141911526	3.113756926	4.377624268	-0.079851396	-0.491491807
MvSl-1064-A2-R4_A2g01524	MvSl-1064-A1-R4_A2	MAT	3348904	3349075	5.063926885	-0.788258337	-3.104519439	-2.316261102	0.503322158	0.002076531	0.00413621	0.631596009	0.005771863	0.019440188	3.113756926	4.377359676	4.21929665	4.374944685	5.577931795	6.382413523	3.745558301	4.297120668	5.980172659	-0.67500636	-0.476816848
MvSl-1064-A2-R4_A2g00664	MvSl-1064-A1-R4_A2	MAT	1413318	1416817	10.77852913	0.34653931	-3.023466943	-3.370006252	0.227351054	5.77E-26	2.80E-32	0.329245084	2.13E-24	1.81E-30	9.313425311	8.778625727	8.6468182	8.804138021	11.95440549	12.18262147	9.046025519	8.72547811	12.06851348	-0.415892014	-0.467941895
MvSl-1064-A2-R4_A2g01103	MvSl-1064-A1-R4_A2	MAT	2396670	2396985	5.914689817	0.059657225	-2.10898943	-2.168646654	0.935140223	0.000921168	0.000132627	1	0.002785051	0.000993743	4.790459237	5.284439669	4.996407205	5.037423345	6.798580746	6.94261899	5.037449453	5.016915275	6.870599868	-0.447742608	-0.453635491
MvSl-1064-A2-R4_A2g01702	MvSl-1064-A1-R4_A2	MAT	3751517	3752054	7.066701329	-2.189245841	-4.540330069	-2.351084229	0.002070587	5.69E-14	2.26E-08	0.006371984	8.17E-13	2.54E-07	4.790459237	3.87969288	6.025799426	6.110986069	7.95539997	8.528675826	4.335076058	6.068392747	8.242037898	-0.926943792	-0.441686637
MvSl-1064-A2-R4_A2g01476	MvSl-1064-A1-R4_A2	MAT	3275092	3276160	9.757686332	0.285990021	-2.429238167	-2.715228188	0.37880548	2.19E-14	3.31E-18	0.494551598	3.43E-13	8.56E-17	8.603661764	8.418487186	8.185611946	8.280602868	10.8431857	10.98542857	8.511074475	8.233107407	10.91430714	-0.358807367	-0.406711595
MvSl-1064-A2-R4_A2g00628	MvSl-1064-A1-R4_A2	MAT	1339386	1339705	5.925642531	-2.248546467	-4.109761836	-1.861215369	0.018062953	7.16E-07	0.000865209	0.042447939	3.90E-06	0.005141528	3.906463375	3.87969288	4.996407205	5.583648736	6.977134191	6.94261899	3.893078128	5.29002797	6.959876591	-0.838150428	-0.395786375
MvSl-1064-A2-R4_A2g00627	MvSl-1064-A1-R4_A2	MAT	1337297	1338622	9.158081218	-2.589059595	-5.096488413	-2.507428817	3.41E-08	2.91E-30	1.30E-13	2.38E-07	2.51E-28	2.59E-12	5.088023658	5.982494148	7.874367632	8.08567872	10.40722748	10.49870943	5.535258903	7.980023176	10.45296846	-0.917189997	-0.389447858
MvSl-1064-A2-R4_A2g00228	MvSl-1064-A1-R4_A2	MAT	502881	503519	4.66328543	-1.684333114	-3.27888797	-1.594554857	0.213512658	0.006727972	0.062574091	0.31629239	0.017305282	0.16301755	3.906463375	3.113756926	4.659555351	3.877988403	5.577931795	5.301718189	3.510110151	4.268771877	5.439824992	-0.632043934	-0.349739171
MvSl-1064-A2-R4_A2g00260	MvSl-1064-A1-R4_A2	MAT	561063	561588	3.937865584	2.20200449	-0.320865515	-2.522870005	0.12926345	0.788082346	0.059650168	0.216275739	0.911495689	0.156543842	3.906463375	4.377359676	3.582529161	3.113756926	4.818211178	3.70647688	4.141911526	3.348143044	4.262344029	-0.041350306	-0.348285877
MvSl-1064-A2-R4_A2g01363	MvSl-1064-A1-R4_A2	MAT	3004954	3005942	5.425291719	0.085377258	-1.492705581	-1.578082839	0.91665129	0.045667524	0.018938367	1	0.088097425	0.063994352	5.088023658	4.746685133	4.456155131	5.164464933	5.846599317	6.382413523	4.917354396	4.810310032	6.11450642	-0.314353711	-0.346106164
MvSl-1064-A2-R4_A2g01551	MvSl-1064-A1-R4_A2	MAT	3400602	3400894	5.048248913	3.030552188	1.265317485	-1.765234703	0.000619787	0.10825396	0.062747568	0.002194724	0.183499336	0.16301755	6.292556508	5.67528098	4.21929665	3.545895894	4.543663241	5.301718189	5.983918744	3.882596272	4.922690715	0.281643485	-0.342425402
MvSl-1064-A2-R4_A2g01571	MvSl-1064-A1-R4_A2	MAT	3444795	3445097	7.824323582	2.088824348	0.296935709	-1.791888639	1.96E-08	0.383002066	1.22E-06	1.46E-07	0.514245281	1.31E-05	8.506417357	8.312412715	6.466282289	6.39631717	8.328849162	7.890942007	8.409415036	6.431299729	8.109895584	0.05232211	-0.334573012
MvSl-1064-A2-R4_A2g01616	MvSl-1064-A1-R4_A2	MAT	3553425	3553947	8.613170345	-1.911081148	-3.958169693	-2.047088545	2.25E-05	4.62E-20	3.02E-09	0.000104033	1.19E-18	3.81E-08	5.728760782	6.235634554	7.555524919	7.96868012	9.967342262	9.579584782	5.982197668	7.762102519	9.773463522	-0.708194334	-0.332422427
MvSl-1064-A2-R4_A2g01023	MvSl-1064-A1-R4_A2	MAT	2227476	2228423	8.759557427	0.218628204	-1.777993631	-1.996621835	0.529638342	1.00E-07	5.19E-10	0.656649935	6.49E-07	7.07E-09	7.72459151	8.167813096	7.723736634	7.783139471	9.609335725	9.802014916	7.946202303	7.753438053	9.705675321	-0.288563076	-0.323992423
MvSl-1064-A2-R4_A2g01479	MvSl-1064-A1-R4_A2	MAT	3279518	3279981	6.736378971	2.887733449	1.401151906	-1.486581544	3.27E-09	0.001739798	0.004582205	2.68E-08	0.004997087	0.020780701	7.76719531	7.826188829	4.996407205	5.38922813	6.174138618	6.719952856	7.79669207	5.192817667	6.447045737	0.274223938	-0.312120649
MvSl-1064-A2-R4_A2g00166	MvSl-1064-A1-R4_A2	MAT	383269	384665	8.858084133	2.567936303	0.800197233	-1.767739071	1.10E-12	0.016947552	8.85E-07	1.54E-11	0.037033473	9.74E-06	9.424067375	9.880256888	6.965515199	7.347250608	9.027848443	8.721389272	9.652162132	7.156382904	8.874618857	0.121166989	-0.31045458
MvSl-1064-A2-R4_A2g00778	MvSl-1064-A1-R4_A2	MAT	1645215	1645385	5.268896415	1.561040426	0.133098363	-1.427942063	0.042543567	0.851725822	0.056755666	0.085918062	0.968541118	0.152034608	5.088023658	6.114609358	4.659555351	4.374944685	5.577931795	5.592155623	5.601316508	4.517250018	5.585043709	0.00419738	-0.306123806
MvSl-1064-A2-R4_A2g01573	MvSl-1064-A1-R4_A2	MAT	3448672	3448938	4.693047626	2.197820678	0.524479589	-1.673341088	0.041240851	0.596189286	0.122672182	0.083942991	0.746319276	0.266476966	4.415135258	5.837049558	3.582529161	4.147759517	5.422161035	4.12537752	5.126092408	3.865144339	4.773769277	0.102730646	-0.30460655
MvSl-1064-A2-R4_A2g01592	MvSl-1064-A1-R4_A2	MAT	3504089	3505707	6.725281601	1.491795201	0.00917226	-1.482622942	0.001368151	0.983034212	0.000997335	0.004448643	1	0.005859341	7.081517977	7.150295621	5.786190631	5.754953195	6.977134191	7.223016667	7.115906799	5.770571913	7.100075429	0.003213263	-0.299120042
MvSl-1064-A2-R4_A2g01501	MvSl-1064-A1-R4_A2	MAT	3302726	3302992	3.441310527	0	-3.818158518	-3.818158518	1	0.087883935	0.032975541	1	0.151959848	0.103323363	3.113756926	3.113756926	3.113756926	3.113756926	4.543663241	3.113756926	3.113756926	3.113756926	3.828710084	-0.298202095	-0.298202095
MvSl-1064-A2-R4_A2g01749	MvSl-1064-A1-R4_A2	MAT	3847882	3848043	3.441310527	0	-3.818158518	-3.818158518	1	0.087883935	0.032975541	1	0.151959848	0.103323363	3.113756926	3.113756926	3.113756926	3.113756926	4.543663241	3.113756926	3.113756926	3.113756926	3.828710084	-0.298202095	-0.298202095
MvSl-1064-A2-R4_A2g01438	MvSl-1064-A1-R4_A2	MAT	3184589	3185623	4.595305541	6.636619839	2.817221192	-3.819398647	3.79E-05	0.018544608	0.033979868	0.000170395	0.039454988	0.105828868	6.605930166	4.746685133	3.113756926	3.113756926	4.543663241	3.113756926	5.676307649	3.113756926	3.828710084	0.568094363	-0.298202095
MvSl-1064-A2-R4_A2g00012	MvSl-1064-A1-R4_A2	MAT	25958	26128	3.778435506	-2.789204919	-4.481301325	-1.692096405	0.210340711	0.029076119	0.164589498	0.313389475	0.058720131	0.337067066	3.113756926	3.113756926	3.935762933	3.113756926	4.20429071	4.449618543	3.113756926	3.52475993	4.326954626	-0.474695667	-0.295826993
MvSl-1064-A2-R4_A2g00843	MvSl-1064-A1-R4_A2	MAT	1782285	1783322	11.42480154	1.060288734	-1.100070299	-2.160359033	1.11E-05	3.55E-06	7.78E-19	5.52E-05	1.73E-05	2.12E-17	11.08790675	11.22011231	10.16147497	10.0383938	12.28633281	12.21901193	11.15400953	10.09993438	12.25267237	-0.135534034	-0.278750522
MvSl-1064-A2-R4_A2g00214	MvSl-1064-A1-R4_A2	MAT	478565	478873	9.541852291	0.71624146	-1.082288157	-1.798529617	0.027291843	0.000645029	1.67E-08	0.059285221	0.002033413	1.92E-07	9.284386189	9.191532262	8.794502907	8.223381563	10.18290396	10.42677737	9.237959226	8.508942235	10.30484066	-0.157676114	-0.276270494
MvSl-1064-A2-R4_A2g01281	MvSl-1064-A1-R4_A2	MAT	2777733	2777960	10.16392469	1.231424916	-0.67255938	-1.903984295	1.31E-05	0.013903937	1.21E-11	6.38E-05	0.031390111	2.09E-10	10.1185267	10.20324719	8.898635164	8.987160711	10.65916454	10.98229547	10.16088694	8.942897938	10.82073	-0.090771491	-0.274983515
MvSl-1064-A2-R4_A2g01140	MvSl-1064-A1-R4_A2	MAT	2467216	2467733	7.96331289	-0.121672934	-1.731951571	-1.610278637	0.769343905	1.42E-05	1.43E-05	0.879698094	6.27E-05	0.000134387	7.147509845	7.150295621	7.07624913	7.425445641	8.372065842	9.158919743	7.148902733	7.250847386	8.765492792	-0.294113378	-0.273685592
MvSl-1064-A2-R4_A2g00361	MvSl-1064-A1-R4_A2	MAT	790960	791484	6.191103863	-1.977182879	-3.279488652	-1.302305774	0.008803188	2.59E-06	0.008538139	0.023220655	1.30E-05	0.033955523	4.415135258	4.377359676	5.601030903	6.110986069	7.084966206	7.042264135	4.396247467	5.856008486	7.063615171	-0.684134148	-0.270489102
MvSl-1064-A2-R4_A2g01272	MvSl-1064-A1-R4_A2	MAT	2754912	2755521	9.893486555	-2.441151107	-4.325671175	-1.884520068	3.56E-10	4.41E-28	5.49E-09	3.22E-09	2.07E-26	6.45E-08	7.271074551	6.235634554	9.023659764	9.343292716	11.21953626	10.88834275	6.753354552	9.18347624	11.05393951	-0.710884416	-0.267448354
MvSl-1064-A2-R4_A2g00408	MvSl-1064-A1-R4_A2	MAT	901264	901491	4.785283165	0.245102959	-2.035160085	-2.280263044	0.864751511	0.135132478	0.076467158	0.959391698	0.223206042	0.190065002	4.415135258	3.87969288	3.582529161	4.374944685	3.113756926	6.456535164	4.147414069	3.978736923	4.785146045	-0.206350867	-0.266252447
MvSl-1064-A2-R4_A2g01460	MvSl-1064-A1-R4_A2	MAT	3231150	3231467	4.749068808	0.561404152	-0.444172661	-1.005576813	0.57371976	0.645379853	0.273803338	0.69627492	0.796327885	0.458111086	5.088023658	4.377359676	3.582529161	4.898104883	5.24751257	4.937684185	4.732691667	4.240317022	5.092598378	-0.105741011	-0.264229815
MvSl-1064-A2-R4_A2g01659	MvSl-1064-A1-R4_A2	MAT	3658072	3658420	4.940326913	7.227117805	3.969825581	-3.257292224	4.30E-09	1.91E-05	0.063876968	3.42E-08	8.38E-05	0.165051826	6.404749557	6.547600327	3.113756926	3.113756926	3.759702068	3.70647688	6.476174942	3.113756926	3.733089474	0.794771871	-0.261713762
MvSl-1064-A2-R4_A2g00911	MvSl-1064-A1-R4_A2	MAT	1942113	1942412	7.695568874	0.810355639	-0.606489911	-1.41684555	0.04626784	0.11877978	0.000240846	0.093075772	0.198735101	0.001660232	7.96316605	7.324131817	7.145615105	6.634427432	8.494452179	7.994094188	7.643648934	6.890021268	8.244273184	-0.109130793	-0.258883875
MvSl-1064-A2-R4_A2g01576	MvSl-1064-A1-R4_A2	MAT	3460083	3461198	10.24922027	3.701015178	2.271974751	-1.429040427	1.55E-21	4.10E-10	0.000119495	4.44E-20	3.59E-09	0.000936043	11.23554805	11.71240872	7.305706767	8.223381563	9.554113482	8.836903302	11.47397839	7.764544165	9.195508392	0.319364461	-0.244028109
MvSl-1064-A2-R4_A2g01168	MvSl-1064-A1-R4_A2	MAT	2517870	2518235	3.528934805	-1.963848907	-3.783399838	-1.819550931	0.376011747	0.090106888	0.227532783	0.493790259	0.155284203	0.40148276	3.113756926	3.113756926	3.113756926	3.545895894	3.759702068	4.12537752	3.113756926	3.32982641	3.942539794	-0.340468991	-0.243678348
MvSl-1064-A2-R4_A2g01726	MvSl-1064-A1-R4_A2	MAT	3807506	3807993	3.62001648	0.780536702	-1.038108971	-1.818645673	0.654302922	0.502829908	0.20769021	0.768805933	0.645069634	0.376757328	3.113756926	3.87969288	3.113756926	3.545895894	3.759702068	4.12537752	3.496724903	3.32982641	3.942539794	-0.173121017	-0.243678348
MvSl-1064-A2-R4_A2g00347	MvSl-1064-A1-R4_A2	MAT	765536	765811	3.993815889	0.880977838	-1.058648089	-1.939625926	0.567562056	0.447329744	0.148465555	0.690422548	0.584013832	0.310809211	3.906463375	3.87969288	3.113756926	3.877988403	3.113756926	5.131152904	3.893078128	3.495872665	4.122454915	-0.082592418	-0.237851079
MvSl-1064-A2-R4_A2g00271	MvSl-1064-A1-R4_A2	MAT	588039	588824	7.573116078	-0.80135651	-1.984087637	-1.182731127	0.135800858	0.000190813	0.01388726	0.225028985	0.000685072	0.049515264	5.728760782	6.952606232	6.411009668	7.722482029	8.011140993	8.628247963	6.340683507	7.066745848	8.319694478	-0.391892183	-0.235484525
MvSl-1064-A2-R4_A2g01422	MvSl-1064-A1-R4_A2	MAT	3145711	3146208	7.218516063	1.817819453	0.63309383	-1.184725623	5.79E-06	0.096300133	0.003566375	3.03E-05	0.164314088	0.017231926	8.10278192	7.6631261	6.097573558	6.28885789	7.232960176	7.345116814	7.88295401	6.193215724	7.289038495	0.113007838	-0.23503982
MvSl-1064-A2-R4_A2g01340	MvSl-1064-A1-R4_A2	MAT	2927719	2928857	3.339931622	0	-3.278058253	-3.278058253	1	0.155074515	0.074219856	1	0.249761758	0.186270221	3.113756926	3.113756926	3.113756926	3.113756926	4.20429071	3.113756926	3.113756926	3.113756926	3.659023818	-0.232802481	-0.232802481
MvSl-1064-A2-R4_A2g01528	MvSl-1064-A1-R4_A2	MAT	3357588	3357861	4.043761168	-3.939394177	-4.739364545	-0.799970368	0.063989339	0.021168591	0.473737314	0.121626794	0.044488462	0.649660985	3.113756926	3.113756926	3.113756926	4.571173904	4.543663241	4.449618543	3.113756926	3.842465415	4.496640892	-0.530191347	-0.226815398
MvSl-1064-A2-R4_A2g01211	MvSl-1064-A1-R4_A2	MAT	2607840	2608044	4.126990418	1.289345056	0.101169135	-1.18817592	0.258877617	0.924512093	0.27498331	0.365682316	1	0.458601197	4.790459237	3.87969288	3.935762933	3.545895894	4.20429071	4.449618543	4.335076058	3.740829413	4.326954626	0.002705313	-0.209993814
MvSl-1064-A2-R4_A2g00978	MvSl-1064-A1-R4_A2	MAT	2106884	2107164	4.411254803	1.69224513	0.621823459	-1.070421672	0.130658145	0.563459533	0.344986642	0.217904068	0.713991614	0.519994442	5.545092968	3.87969288	4.21929665	3.545895894	4.818211178	4.12537752	4.712392924	3.882596272	4.471794349	0.075605995	-0.203832145
MvSl-1064-A2-R4_A2g00224	MvSl-1064-A1-R4_A2	MAT	497925	498122	7.699273036	0.938271451	-0.180055369	-1.118326821	0.031241861	0.671178063	0.008499404	0.066469308	0.818394006	0.033955523	8.10278192	7.6631261	7.305706767	6.634427432	8.474761929	7.528128762	7.88295401	6.9700671	8.001445346	-0.021524268	-0.199088081
MvSl-1064-A2-R4_A2g01704	MvSl-1064-A1-R4_A2	MAT	3752514	3753158	6.805437906	-0.115344334	-1.165056234	-1.0497119	0.817389504	0.015686192	0.016434863	0.918674726	0.034805842	0.057204336	6.508843797	6.114609358	6.293674841	6.543842749	7.032057431	7.690516605	6.311726578	6.418758795	7.361287018	-0.221923314	-0.197663675
MvSl-1064-A2-R4_A2g01149	MvSl-1064-A1-R4_A2	MAT	2481973	2482404	5.402003904	-1.650029389	-2.568038127	-0.918008738	0.073528995	0.003597541	0.161200453	0.134326822	0.009789099	0.3320344	3.113756926	4.746685133	5.498702839	5.037423345	5.846599317	6.221663967	3.93022103	5.268063092	6.034131642	-0.618535721	-0.195873547
