gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE								
MvSl-1064-A1-R4_A1g00312	Black	OldStrata	1	118	118	1	120	120	0	-2	-2	1486271	1487768	8.489494858	-3.601662265	3.601662265	1.65E-35	3.71E-33	5.878926465	5.665462493	9.613607804	9.090179052	Down								
MvSl-1064-A1-R4_A1g00997	Blue	OldStrata	4	92.25	369	4	89.25	357	0	3	12	1970332	1974462	5.93035825	-3.509378289	3.509378289	8.24E-55	4.40E-52	3.405047503	3.215539058	6.86357204	6.754713857	Down								
MvSl-1064-A1-R4_MC12g10810	Auto	Auto	1	55	55	1	55	55	0	0	0	173282	175019	4.707687888	-3.479844036	3.479844036	4.31E-26	6.57E-24	1.577139689	2.536610575	5.466525729	5.697705308	Down								
MvSl-1064-A1-R4_MC02g04225	Auto	Auto	1	62	62	1	62	62	0	0	0	2520294	2521314	0.836466433	-3.336924952	3.336924952	3.19E-10	1.65E-08	-0.926535427	-1.789683465	1.808377949	1.590792253	Down								
MvSl-1064-A1-R4_MC05-3g06747	Auto	Auto	3	64	192	3	64	192	0	0	0	664553	665083	3.751364789	-3.253641177	3.253641177	2.92E-23	3.67E-21	1.355249339	1.45389196	4.427673268	4.776204515	Down								
MvSl-1064-A1-R4_A1g00252	Black	OldStrata	2	64.5	129	5	73	365	-3	-8.5	-236	2519820	2520678	1.456748042	-3.1475067	3.1475067	5.20E-12	3.32E-10	-0.688158539	-0.585987386	2.394101906	2.220362169	Down								
MvSl-1064-A1-R4_A1g00977	Black	OldStrata	4	79	316	4	143.25	573	0	-64.25	-257	3035765	3037588	5.585095293	-3.065033979	3.065033979	1.93E-41	5.89E-39	3.372499016	3.368172614	6.35862651	6.486066692	Down								
MvSl-1064-A1-R4_MC06g06947	Auto	Auto	1	0	0	1	0	0	0	0	0	232660	235326	6.326569699	-2.990309692	2.990309692	1.64E-40	4.68E-38	4.294269463	4.040129559	6.969551142	7.321995791	Down								
MvSl-1064-A1-R4_MC06g06945	Auto	Auto	6	69.8333	419	6	69.8333	419	0	0	0	229052	230768	10.00610865	-2.948332512	2.948332512	6.00E-15	5.03E-13	8.168153537	7.526216356	10.51072748	11.09197724	Down								
MvSl-1064-A1-R4_A1g01493	bPAR	bPAR	7	92.2857	646	7	92.2857	646	0	0	0	3342886	3345193	0.143937876	-2.930023968	2.930023968	1.67E-06	5.15E-05	-0.926535427	-2.757536787	0.715598022	1.165494325	Down								
MvSl-1064-A1-R4_A1g00081	Black	OldStrata	8	84	672	8	83.75	670	0	0.25	2	186136	186867	5.666856495	-2.764413249	2.764413249	2.80E-28	4.52E-26	3.896655408	3.506191765	6.231726911	6.674746223	Down								
MvSl-1064-A1-R4_MC10-1g09820	Auto	Auto	3	150	450	3	150	450	0	0	0	292132	298154	1.368689677	-2.726059901	2.726059901	1.59E-09	7.26E-08	-0.688158539	-0.149133665	2.104256913	2.237268772	Down								
MvSl-1064-A1-R4_A1g00016	bPAR	bPAR	1	0	0	1	0	0	0	0	0	31867	32715	1.823444182	-2.671972801	2.671972801	1.24E-09	5.82E-08	-0.483640272	0.457320064	2.683885317	2.5530178	Down								
MvSl-1064-A1-R4_MC02g03451	Auto	Auto	1	0	0	1	0	0	0	0	0	723169	723507	0.554277049	-2.668968539	2.668968539	2.35E-07	8.44E-06	-0.802429189	-1.382795818	1.154994962	1.509620584	Down								
MvSl-1064-A1-R4_MC06g06946	Auto	Auto	1	0	0	1	0	0	0	0	0	230960	231869	7.017319242	-2.605561205	2.605561205	3.62E-36	8.85E-34	5.297511986	5.086606874	7.677245303	7.910119029	Down								
MvSl-1064-A1-R4_MC05-2g06420	Auto	Auto	6	94.8333	569	6	94.8333	569	0	0	0	265218	269867	2.934544065	-2.531381084	2.531381084	5.45E-12	3.43E-10	0.887114917	1.50268715	3.56000446	3.846297711	Down								
MvSl-1064-A1-R4_MC02g04185	Auto	Auto	4	169	676	4	169	676	0	0	0	2419609	2421508	5.141434231	-2.522903041	2.522903041	1.19E-24	1.62E-22	3.263116288	3.524029592	5.837589416	5.982252214	Down								
MvSl-1064-A1-R4_MC05-3g06523	Auto	Auto	3	109.667	329	3	109.667	329	0	0	0	343243	346503	0.088810483	-2.427079998	2.427079998	2.29E-05	0.000593338	-0.802429189	-2.046230976	0.619046564	1.016762309	Down								
MvSl-1064-A1-R4_A1g00015	bPAR	bPAR	2	42	84	2	42	84	0	0	0	31145	31816	4.728011616	-2.421298156	2.421298156	1.59E-15	1.42E-13	2.609544687	3.426239624	5.587874592	5.369976294	Down								
MvSl-1064-A1-R4_MC04-1g06073	Auto	Auto	2	106	212	2	106	212	0	0	0	1915530	1916180	6.69975206	-2.404658963	2.404658963	4.11E-32	8.37E-30	5.187677403	4.896571138	7.374011392	7.523661897	Down								
MvSl-1064-A1-R4_MC08g08318	Auto	Auto	6	87.5	525	6	87.5	525	0	0	0	170007	171453	2.156293226	-2.383547533	2.383547533	2.18E-09	9.69E-08	0.811428787	0.354733747	2.719248522	3.079020474	Down								
MvSl-1064-A1-R4_MC02g03508	Auto	Auto	1	113	113	1	113	113	0	0	0	829013	830241	1.940432268	-2.300600211	2.300600211	5.95E-08	2.27E-06	0.68989019	0.185727546	2.935145994	2.365830005	Down								
MvSl-1064-A1-R4_A1g00448	Black	OldStrata	8	75	600	7	80	560	1	-5	40	3110528	3114459	6.769288689	-2.200893457	2.200893457	1.52E-25	2.25E-23	5.418827812	5.143487511	7.650779306	7.299533825	Down								
MvSl-1064-A1-R4_A1g01261	Orange	ColorStrata	7	146	1022	7	137	959	0	9	63	2598714	2598931	9.095566891	-2.188677548	2.188677548	2.80E-12	1.88E-10	7.93867708	7.214132059	9.845326344	9.77286924	Down								
MvSl-1064-A1-R4_MC07g08233	Auto	Auto	5	132.8	664	5	132.8	664	0	0	0	1687994	1691309	4.281706355	-2.188232416	2.188232416	2.05E-15	1.77E-13	2.883464683	2.763784734	4.900425373	5.089526489	Down								
MvSl-1064-A1-R4_MC02g04217	Auto	Auto	3	82.3333	247	3	82.3333	247	0	0	0	2500661	2500881	4.585960727	-2.060362229	2.060362229	1.12E-15	1.03E-13	3.175268029	3.279943544	5.249872464	5.305308774	Down								
MvSl-1064-A1-R4_MC06g07079	Auto	Auto	2	109	218	2	109	218	0	0	0	595535	600785	1.669252126	-1.993922013	1.993922013	7.75E-07	2.53E-05	0.358758952	0.506001378	2.303805867	2.396256758	Down								
MvSl-1064-A1-R4_MC06g07412	Auto	Auto	1	0	0	1	0	0	0	0	0	1433455	1433734	1.912479392	-1.99287112	1.99287112	3.48E-07	1.21E-05	0.602775612	0.727447653	2.719248522	2.455250276	Down								
MvSl-1064-A1-R4_MC06g06944	Auto	Auto	3	74	222	3	74	222	0	0	0	222330	228153	2.050573878	-1.980106975	1.980106975	3.45E-06	0.000100751	1.027525212	0.553093501	2.288191394	3.069611614	Down								
MvSl-1064-A1-R4_A1g00495	Blue	OldStrata	2	144.5	289	2	78.5	157	0	66	132	3171155	3174630	6.456170652	-1.952930588	1.952930588	1.30E-23	1.65E-21	5.143992398	5.205598012	7.083055154	7.166291679	Down								
MvSl-1064-A1-R4_MC02g03360	Auto	Auto	5	83.4	417	5	83.4	417	0	0	0	501565	509249	3.032534274	-1.932556102	1.932556102	2.68E-08	1.07E-06	2.058435178	1.47849584	3.782493815	3.613614841	Down								
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	3	73	219	3	72.6667	218	0	0.3333	1	651956	657345	4.805555172	-1.92950017	1.92950017	2.21E-12	1.51E-10	3.782372513	3.272927838	5.291583489	5.630506344	Down								
MvSl-1064-A1-R4_A1g01212	Black	OldStrata	7	79.5714	557	6	76.1667	457	1	3.4047	100	1300472	1304579	3.681776849	-1.916759575	1.916759575	3.57E-07	1.23E-05	2.379931553	2.512986091	3.708169298	4.787726912	Down								
MvSl-1064-A1-R4_MC02g03392	Auto	Auto	10	95	950	10	95	950	0	0	0	576424	584158	3.078369971	-1.90387515	1.90387515	2.23E-08	8.90E-07	2.106727046	1.572918467	3.731448875	3.749449262	Down								
MvSl-1064-A1-R4_MC10-2g10078	Auto	Auto	3	86.6667	260	3	86.6667	260	0	0	0	617264	621090	5.805485191	-1.900034164	1.900034164	8.15E-19	8.61E-17	4.551423418	4.584388514	6.549179748	6.373006493	Down								
MvSl-1064-A1-R4_MC03g05082	Auto	Auto	1	80	80	1	80	80	0	0	0	2015028	2016811	2.793279695	-1.887609074	1.887609074	2.29E-07	8.28E-06	1.884682455	1.240316199	3.327712534	3.567567658	Down								
MvSl-1064-A1-R4_MC01-1g02837	Auto	Auto	1	90	90	1	90	90	0	0	0	2239253	2239736	3.730794518	-1.876848734	1.876848734	1.75E-09	7.93E-08	2.326557468	2.702444378	4.204624864	4.547935962	Down								
MvSl-1064-A1-R4_MC03g04879	Auto	Auto	2	88.5	177	2	88.5	177	0	0	0	1511301	1512245	4.267983526	-1.84868273	1.84868273	5.17E-12	3.32E-10	3.081721694	3.077404797	4.892702087	4.940064447	Down								
MvSl-1064-A1-R4_MC01-1g02861	Auto	Auto	4	123	492	4	123	492	0	0	0	2306805	2311302	5.213690471	-1.842429842	1.842429842	1.66E-15	1.46E-13	4.06498644	3.981087503	5.756222898	5.956959635	Down								
MvSl-1064-A1-R4_A1g00594	Black	OldStrata	3	102.333	307	4	73	292	-1	29.333	15	1098507	1099824	5.062947197	-1.835910271	1.835910271	7.11E-13	5.02E-11	4.101193311	3.61560977	5.788490022	5.622485418	Down								
MvSl-1064-A1-R4_MC11g10730	Auto	Auto	4	147.25	589	4	147.25	589	0	0	0	1404174	1407908	2.351630764	-1.806977046	1.806977046	3.56E-06	0.00010337	1.577139689	0.767931887	2.984424626	3.001973294	Down								
MvSl-1064-A1-R4_MC15g12082	Auto	Auto	4	101.75	407	4	101.75	407	0	0	0	173809	175626	1.710736431	-1.788336519	1.788336519	1.14E-05	0.000309742	0.602775612	0.642902881	2.546257243	2.114537831	Down								
MvSl-1064-A1-R4_MC01-1g02082	Auto	Auto	8	79.625	637	8	79.625	637	0	0	0	484788	486625	7.161669708	-1.782062892	1.782062892	3.01E-14	2.38E-12	6.01061104	6.01573593	8.072014024	7.44852375	Down								
MvSl-1064-A1-R4_MC14g11980	Auto	Auto	4	142.25	569	4	142.25	569	0	0	0	572936	573493	2.22956456	-1.769421928	1.769421928	2.86E-06	8.53E-05	1.185763506	1.088755239	2.622949391	3.069611614	Down								
MvSl-1064-A1-R4_MC03g05235	Auto	Auto	7	99.2857	695	7	99.2857	695	0	0	0	2384276	2386106	6.150510706	-1.764312444	1.764312444	8.62E-08	3.20E-06	4.5220475	5.385489933	7.175602574	6.229354576	Down								
MvSl-1064-A1-R4_MC03g04807	Auto	Auto	1	73	73	1	73	73	0	0	0	1345764	1346051	4.290409262	-1.761008869	1.761008869	1.04E-08	4.35E-07	2.826929886	3.445087292	5.121388196	4.683641468	Down								
MvSl-1064-A1-R4_A1g00972	Black	OldStrata	3	81.3333	244	3	81.3333	244	0	0	0	2516666	2518918	6.202889736	-1.734381671	1.734381671	1.81E-15	1.58E-13	5.082938239	5.102523392	7.033577842	6.579351014	Down								
MvSl-1064-A1-R4_MC04-1g05279	Auto	Auto	3	163.333	490	3	163.333	490	0	0	0	14662	15523	0.581156142	-1.7146887	1.7146887	0.000703332	0.013128358	-0.001809461	-0.930066676	1.407108642	0.936220853	Down								
MvSl-1064-A1-R4_MC01-1g02852	Auto	Auto	8	69.75	558	8	69.75	558	0	0	0	2277804	2277986	4.592848345	-1.693855885	1.693855885	2.80E-11	1.64E-09	3.449415905	3.587610434	5.239760957	5.170975265	Down								
MvSl-1064-A1-R4_MC09-2g09232	Auto	Auto	2	135.5	271	2	135.5	271	0	0	0	771106	771513	4.495481705	-1.679549321	1.679549321	8.69E-09	3.64E-07	3.175268029	3.653917778	4.82938061	5.337024857	Down								
MvSl-1064-A1-R4_MC01-1g02839	Auto	Auto	4	74.75	299	4	74.75	299	0	0	0	2241972	2244590	4.726355299	-1.671422591	1.671422591	2.22E-09	9.82E-08	3.901226228	3.394269121	5.11254942	5.526029806	Down								
MvSl-1064-A1-R4_A1g00014	bPAR	bPAR	3	74	222	3	74	222	0	0	0	27672	29826	3.986166643	-1.647743756	1.647743756	4.11E-07	1.40E-05	2.493258973	3.300788254	4.693735746	4.474975314	Down								
MvSl-1064-A1-R4_A1g00079	bPAR	bPAR	10	83.6	836	10	83.5	835	0	0.1	1	179366	179827	5.694014129	-1.646693649	1.646693649	7.76E-10	3.79E-08	4.856897194	4.413095053	5.91206624	6.597469001	Down								
MvSl-1064-A1-R4_MC01-2g02971	Auto	Auto	3	156	468	3	156	468	0	0	0	2553752	2554384	2.638559373	-1.624207692	1.624207692	1.22E-05	0.000328081	1.956713479	1.240316199	3.166255211	3.304311598	Down								
MvSl-1064-A1-R4_MC01-1g02161	Auto	Auto	2	75.5	151	2	75.5	151	0	0	0	604276	606975	3.116312176	-1.612389211	1.612389211	4.01E-05	0.000997114	1.482707068	2.559854427	3.895012163	3.499126886	Down								
MvSl-1064-A1-R4_MC12g11273	Auto	Auto	14	93	1302	14	93	1302	0	0	0	1325547	1330139	7.668898456	-1.606021691	1.606021691	1.42E-14	1.16E-12	6.712623335	6.593276345	8.252573007	8.265986475	Down								
MvSl-1064-A1-R4_MC11g10688	Auto	Auto	1	140	140	1	140	140	0	0	0	1293047	1293321	0.666542812	-1.582352777	1.582352777	0.000807215	0.014682726	-0.304547654	-0.149133665	1.010226695	1.452852467	Down								
MvSl-1064-A1-R4_MC03g04474	Auto	Auto	1	167	167	1	167	167	0	0	0	530465	533423	0.820213933	-1.570200753	1.570200753	0.001249242	0.021232144	0.358758952	-0.691817343	1.544886476	1.234479489	Down								
MvSl-1064-A1-R4_MC07g07984	Auto	Auto	5	63.4	317	5	63.4	317	0	0	0	1072860	1073318	1.185389112	-1.570091356	1.570091356	0.000483808	0.009443087	0.461368868	0.060947975	1.407108642	2.058564827	Down								
MvSl-1064-A1-R4_MC01-1g02005	Auto	Auto	3	68.6667	206	3	68.6667	206	0	0	0	379911	381720	5.257499538	-1.562530536	1.562530536	7.14E-12	4.42E-10	4.2838058	4.275954699	5.727565659	5.940278434	Down								
MvSl-1064-A1-R4_MC10-1g09785	Auto	Auto	5	155.8	779	5	155.8	779	0	0	0	253166	256550	2.168565211	-1.544787561	1.544787561	0.003026542	0.04438063	1.272993863	1.211251072	1.596513013	3.382384109	Down								
MvSl-1064-A1-R4_MC11g10303	Auto	Auto	2	67.5	135	2	67.5	135	0	0	0	314171	315245	3.544673804	-1.538649848	1.538649848	8.50E-07	2.74E-05	2.747929692	2.427114009	4.257701781	3.967766538	Down								
MvSl-1064-A1-R4_MC03g04929	Auto	Auto	3	90.6667	272	3	90.6667	272	0	0	0	1648424	1649875	3.559898973	-1.536562786	1.536562786	2.95E-07	1.04E-05	2.664351658	2.559854427	4.187892716	4.079797675	Down								
MvSl-1064-A1-R4_MC09-2g09215	Auto	Auto	6	165	990	6	165	990	0	0	0	727387	730261	7.609934619	-1.518359073	1.518359073	1.30E-09	6.07E-08	6.532842441	6.778055293	8.464949013	7.819705119	Down								
MvSl-1064-A1-R4_MC01-1g02899	Auto	Auto	4	161.75	647	4	161.75	647	0	0	0	2407407	2407795	2.452834537	-1.512868526	1.512868526	2.63E-05	0.000665917	1.749267358	1.296746649	2.984424626	3.060140989	Down								
MvSl-1064-A1-R4_A1g00646	Black	OldStrata	2	86	172	2	86	172	0	0	0	2916000	2917527	8.061495384	-1.506373241	1.506373241	1.16E-09	5.46E-08	6.997793444	7.234137364	8.839052054	8.377183037	Down								
MvSl-1064-A1-R4_MC01-1g02724	Auto	Auto	1	90	90	1	90	90	0	0	0	1942767	1945079	0.911793129	-1.496333291	1.496333291	0.000789035	0.014444245	-0.145252181	0.244290534	1.49134371	1.452852467	Down								
MvSl-1064-A1-R4_A1g00853	Purple	OldStrata	6	114.833	689	5	159.6	798	1	-44.767	-109	1834558	1837865	6.990703053	-1.487301401	1.487301401	2.69E-15	2.30E-13	6.047159869	6.082461412	7.576395002	7.524953348	Down								
MvSl-1064-A1-R4_MC02g04246	Auto	Auto	1	48	48	1	48	48	0	0	0	10734	11302	1.786634436	-1.470663338	1.470663338	0.000229933	0.004725225	0.772042712	1.056434228	2.121981614	2.539450147	Down								
MvSl-1064-A1-R4_MC06g07081	Auto	Auto	10	111.7	1117	10	111.7	1117	0	0	0	612733	619013	4.333613719	-1.461367666	1.461367666	3.24E-08	1.28E-06	3.522438726	3.341595345	4.930911581	4.843997649	Down								
MvSl-1064-A1-R4_MC05-2g06485	Auto	Auto	10	75.7	757	10	75.7	757	0	0	0	324269	326695	3.968869859	-1.429571067	1.429571067	1.34E-06	4.20E-05	3.21986071	2.960005743	4.301136466	4.702026469	Down								
MvSl-1064-A1-R4_MC06g07136	Auto	Auto	1	95	95	1	95	95	0	0	0	747469	748345	7.165061002	-1.428404869	1.428404869	8.59E-13	6.02E-11	6.314633037	6.249023184	7.582408921	7.826354569	Down								
MvSl-1064-A1-R4_MC07g08097	Auto	Auto	2	123.5	247	2	123.5	247	0	0	0	1356317	1358239	4.420988349	-1.422474269	1.422474269	3.57E-07	1.23E-05	3.711272357	3.368172614	4.75181192	5.151040089	Down								
MvSl-1064-A1-R4_A1g00168	Black	OldStrata	4	107.75	431	6	92.5	555	-2	15.25	-124	718774	719371	3.593941903	-1.420237846	1.420237846	8.84E-05	0.002041729	3.081721694	2.266854998	3.793595981	4.41679926	Down								
MvSl-1064-A1-R4_A1g00635	Black	OldStrata	10	66.5	665	8	87.5	700	2	-21	-35	1119790	1125248	4.330083151	-1.412656761	1.412656761	5.32E-05	0.001272819	3.919366053	2.803275682	4.699649704	5.025272808	Down								
MvSl-1064-A1-R4_MC06g06972	Auto	Auto	5	72.2	361	5	72.2	361	0	0	0	305280	309649	3.661888815	-1.410101842	1.410101842	2.82E-06	8.43E-05	2.737743416	2.869885889	4.03256459	4.356178349	Down								
MvSl-1064-A1-R4_MC10-1g09814	Auto	Auto	6	93.3333	560	6	93.3333	560	0	0	0	286844	287131	8.117220395	-1.374157275	1.374157275	3.57E-06	0.00010337	7.21483074	7.328935107	9.042667062	8.098853181	Down								
MvSl-1064-A1-R4_A1g00080	bPAR	bPAR	3	92	276	3	92	276	0	0	0	180716	185718	5.542369321	-1.367630539	1.367630539	5.04E-10	2.49E-08	4.671337984	4.740031501	5.91079222	6.21449043	Down								
MvSl-1064-A1-R4_MC09-2g09580	Auto	Auto	1	268	268	1	268	268	0	0	0	4141	7652	4.070377367	-1.359168185	1.359168185	1.02E-06	3.26E-05	3.291249234	3.200827934	4.462871657	4.720180125	Down								
MvSl-1064-A1-R4_MC05-3g06520	Auto	Auto	1	0	0	1	0	0	0	0	0	339369	346823	8.672557277	-1.351995767	1.351995767	9.12E-08	3.36E-06	7.936173671	7.74575384	9.286872863	9.098443482	Down								
MvSl-1064-A1-R4_A1g01174	Black	OldStrata	5	91	455	5	95.8	479	0	-4.8	-24	2576791	2577822	6.028028533	-1.343688683	1.343688683	9.53E-11	5.26E-09	5.23551822	5.179573941	6.693226827	6.389170415	Down								
MvSl-1064-A1-R4_MC05-3g06511	Auto	Auto	4	84.5	338	4	84.5	338	0	0	0	331413	333406	3.330650203	-1.323522772	1.323522772	4.59E-05	0.001128361	2.456463497	2.616376624	3.585779566	4.070393899	Down								
MvSl-1064-A1-R4_MC01-1g01699	Auto	Auto	2	203.5	407	2	203.5	407	0	0	0	14920	16821	5.539113531	-1.319583218	1.319583218	4.78E-10	2.37E-08	4.759566915	4.71436641	6.118195214	5.986008145	Down								
MvSl-1064-A1-R4_MC18g12256	Auto	Auto	2	84.5	169	2	84.5	169	0	0	0	17583	18462	1.00675433	-1.312042703	1.312042703	0.003376836	0.048764482	0.248288386	0.300568733	1.189025871	1.787266256	Down								
MvSl-1064-A1-R4_MC11g10236	Auto	Auto	2	119	238	1	183	183	1	-64	55	174537	177515	4.097848589	-1.307956371	1.307956371	5.20E-06	0.000146683	3.534257775	3.044825592	4.589301813	4.6302411	Down								
MvSl-1064-A1-R4_A1g00644	Black	OldStrata	1	156	156	1	45	45	0	111	111	1751427	1752854	5.076743613	-1.306575235	1.306575235	7.95E-08	3.00E-06	4.42698439	4.128287818	5.70716142	5.457345095	Down								
MvSl-1064-A1-R4_MC12g11205	Auto	Auto	2	125	250	2	125	250	0	0	0	1134446	1134742	6.151825048	-1.294487564	1.294487564	7.61E-09	3.20E-07	5.380057763	5.352593011	6.90190936	6.366297761	Down								
MvSl-1064-A1-R4_MC03g04840	Auto	Auto	5	167.8	839	5	167.8	839	0	0	0	1414458	1415377	3.522511215	-1.277030027	1.277030027	2.05E-05	0.000533001	2.706745819	2.812981797	3.970327643	4.079797675	Down								
MvSl-1064-A1-R4_MC03g05154	Auto	Auto	9	162.333	1461	9	162.333	1461	0	0	0	2187002	2188631	6.1323058	-1.253849334	1.253849334	1.44E-09	6.69E-08	5.476628825	5.266911179	6.759131448	6.482525974	Down								
MvSl-1064-A1-R4_MC05-3g06513	Auto	Auto	1	0	0	1	0	0	0	0	0	333219	334279	5.629104666	-1.224846913	1.224846913	7.12E-05	0.001667724	5.276555713	4.371006289	5.736222758	6.416332957	Down								
MvSl-1064-A1-R4_MC01-2g03113	Auto	Auto	4	78.75	315	4	78.75	315	0	0	0	2893115	2893489	3.905020513	-1.190902817	1.190902817	0.000162498	0.003481686	3.516492693	2.793503825	4.466344721	4.29289804	Down								
MvSl-1064-A1-R4_MC11g10594	Auto	Auto	7	84.7143	593	7	84.7143	593	0	0	0	1066922	1067246	2.965279865	-1.179155962	1.179155962	0.000603667	0.011519531	2.198716135	2.349208619	3.696387111	3.125165782	Down								
MvSl-1064-A1-R4_A1g00270	Black	OldStrata	3	208	624	3	209	627	0	-1	-3	1136196	1138565	5.488642924	-1.168558114	1.168558114	2.01E-07	7.28E-06	4.954685599	4.609668146	5.962125924	5.954405817	Down								
MvSl-1064-A1-R4_MC08g08647	Auto	Auto	8	94.25	754	8	94.25	754	0	0	0	1005844	1008701	7.66948414	-1.164412299	1.164412299	5.76E-07	1.92E-05	6.988158069	6.958872491	8.379341756	7.84646536	Down								
