gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	DE	DE2
MvSl-1064-A1-R4_MC01-2g03113	Auto	Auto	4	78.75	315	Down	Long
MvSl-1064-A1-R4_MC02g03224	Auto	Auto	2	99.5	199	Down	Long
MvSl-1064-A1-R4_MC02g03360	Auto	Auto	5	83.4	417	Down	Long
MvSl-1064-A1-R4_MC02g03392	Auto	Auto	10	95	950	Down	Long
MvSl-1064-A1-R4_MC02g03432	Auto	Auto	6	145.833	875	Down	Long
MvSl-1064-A1-R4_MC02g03433	Auto	Auto	5	80.8	404	Down	Long
MvSl-1064-A1-R4_MC02g03442	Auto	Auto	6	145.833	875	Down	Long
MvSl-1064-A1-R4_MC02g03451	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC02g03508	Auto	Auto	1	113	113	Down	Long
MvSl-1064-A1-R4_MC02g03522	Auto	Auto	1	51	51	Down	Long
MvSl-1064-A1-R4_MC02g03664	Auto	Auto	6	121.833	731	Down	Long
MvSl-1064-A1-R4_MC02g04171	Auto	Auto	4	75	300	Down	Long
MvSl-1064-A1-R4_MC02g04181	Auto	Auto	5	70.2	351	Down	Long
MvSl-1064-A1-R4_MC02g04185	Auto	Auto	4	169	676	Down	Long
MvSl-1064-A1-R4_MC02g04217	Auto	Auto	3	82.3333	247	Down	Long
MvSl-1064-A1-R4_MC02g04225	Auto	Auto	1	62	62	Down	Long
MvSl-1064-A1-R4_MC02g04246	Auto	Auto	1	48	48	Down	Long
MvSl-1064-A1-R4_MC03g04352	Auto	Auto	3	58	174	Down	Long
MvSl-1064-A1-R4_MC03g04474	Auto	Auto	1	167	167	Down	Long
MvSl-1064-A1-R4_MC03g04642	Auto	Auto	4	148.75	595	Down	Long
MvSl-1064-A1-R4_MC03g04747	Auto	Auto	12	93.1667	1118	Down	Long
MvSl-1064-A1-R4_MC03g04807	Auto	Auto	1	73	73	Down	Long
MvSl-1064-A1-R4_MC03g04840	Auto	Auto	5	167.8	839	Down	Long
MvSl-1064-A1-R4_MC03g04879	Auto	Auto	2	88.5	177	Down	Long
MvSl-1064-A1-R4_MC03g04885	Auto	Auto	4	81	324	Down	Long
MvSl-1064-A1-R4_MC03g04895	Auto	Auto	1	47	47	Down	Long
MvSl-1064-A1-R4_MC03g04915	Auto	Auto	4	80.25	321	Down	Long
MvSl-1064-A1-R4_MC03g04929	Auto	Auto	3	90.6667	272	Down	Long
MvSl-1064-A1-R4_MC03g05043	Auto	Auto	3	95	285	Down	Long
MvSl-1064-A1-R4_MC03g05082	Auto	Auto	1	80	80	Down	Long
MvSl-1064-A1-R4_MC03g05141	Auto	Auto	6	92.5	555	Down	Long
MvSl-1064-A1-R4_MC03g05154	Auto	Auto	9	162.333	1461	Down	Long
MvSl-1064-A1-R4_MC03g05159	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC03g05235	Auto	Auto	7	99.2857	695	Down	Long
MvSl-1064-A1-R4_MC04-1g05279	Auto	Auto	3	163.333	490	Down	Long
MvSl-1064-A1-R4_MC04-1g05310	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC04-1g05441	Auto	Auto	8	70.75	566	Down	Long
MvSl-1064-A1-R4_MC04-1g05504	Auto	Auto	5	78.2	391	Down	Long
MvSl-1064-A1-R4_MC04-1g05729	Auto	Auto	3	168	504	Down	Long
MvSl-1064-A1-R4_MC04-1g05744	Auto	Auto	8	145.125	1161	Down	Long
MvSl-1064-A1-R4_MC04-1g05865	Auto	Auto	8	88.625	709	Down	Long
MvSl-1064-A1-R4_MC04-1g05945	Auto	Auto	4	86	344	Down	Long
MvSl-1064-A1-R4_MC04-1g06073	Auto	Auto	2	106	212	Down	Long
MvSl-1064-A1-R4_MC05-1g06149	Auto	Auto	6	79.8333	479	Down	Long
MvSl-1064-A1-R4_MC05-2g06394	Auto	Auto	3	52.3333	157	Down	Long
MvSl-1064-A1-R4_MC05-2g06420	Auto	Auto	6	94.8333	569	Down	Long
MvSl-1064-A1-R4_MC05-2g06483	Auto	Auto	4	58.75	235	Down	Long
MvSl-1064-A1-R4_MC05-2g06485	Auto	Auto	10	75.7	757	Down	Long
MvSl-1064-A1-R4_MC05-3g06511	Auto	Auto	4	84.5	338	Down	Long
MvSl-1064-A1-R4_MC05-3g06513	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC05-3g06514	Auto	Auto	5	72	360	Down	Long
MvSl-1064-A1-R4_MC05-3g06515	Auto	Auto	5	259.6	1298	Down	Long
MvSl-1064-A1-R4_MC05-3g06516	Auto	Auto	2	88.5	177	Down	Long
MvSl-1064-A1-R4_MC05-3g06517	Auto	Auto	4	90.25	361	Down	Long
MvSl-1064-A1-R4_MC05-3g06518	Auto	Auto	8	88	704	Down	Long
MvSl-1064-A1-R4_MC05-3g06519	Auto	Auto	5	171.2	856	Down	Long
MvSl-1064-A1-R4_MC05-3g06520	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC05-3g06523	Auto	Auto	3	109.667	329	Down	Long
MvSl-1064-A1-R4_MC05-3g06707	Auto	Auto	11	89.5455	985	Down	Long
MvSl-1064-A1-R4_MC05-3g06731	Auto	Auto	2	90	180	Down	Long
MvSl-1064-A1-R4_MC05-3g06747	Auto	Auto	3	64	192	Down	Long
MvSl-1064-A1-R4_MC06g06896	Auto	Auto	5	104.2	521	Down	Long
MvSl-1064-A1-R4_MC06g06944	Auto	Auto	3	74	222	Down	Long
MvSl-1064-A1-R4_MC06g06945	Auto	Auto	6	69.8333	419	Down	Long
MvSl-1064-A1-R4_MC06g06946	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC06g06947	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC06g06972	Auto	Auto	5	72.2	361	Down	Long
MvSl-1064-A1-R4_MC06g07079	Auto	Auto	2	109	218	Down	Long
MvSl-1064-A1-R4_MC06g07081	Auto	Auto	10	111.7	1117	Down	Long
MvSl-1064-A1-R4_MC06g07136	Auto	Auto	1	95	95	Down	Long
MvSl-1064-A1-R4_MC06g07137	Auto	Auto	7	78.8571	552	Down	Long
MvSl-1064-A1-R4_MC06g07140	Auto	Auto	7	61.1429	428	Down	Long
MvSl-1064-A1-R4_MC06g07298	Auto	Auto	4	94	376	Down	Long
MvSl-1064-A1-R4_MC06g07412	Auto	Auto	1	0	0	Down	Long
MvSl-1064-A1-R4_MC07g07648	Auto	Auto	1	80	80	Down	Long
MvSl-1064-A1-R4_MC07g07855	Auto	Auto	9	110.778	997	Down	Long
MvSl-1064-A1-R4_MC07g07984	Auto	Auto	5	63.4	317	Down	Long
MvSl-1064-A1-R4_MC07g08057	Auto	Auto	3	83.3333	250	Down	Long
MvSl-1064-A1-R4_MC07g08097	Auto	Auto	2	123.5	247	Down	Long
MvSl-1064-A1-R4_MC07g08104	Auto	Auto	5	132.8	664	Down	Long
MvSl-1064-A1-R4_MC07g08138	Auto	Auto	8	84.5	676	Down	Long
MvSl-1064-A1-R4_MC07g08233	Auto	Auto	5	132.8	664	Down	Long
MvSl-1064-A1-R4_MC08g08318	Auto	Auto	6	87.5	525	Down	Long
MvSl-1064-A1-R4_MC08g08437	Auto	Auto	1	53	53	Down	Long
MvSl-1064-A1-R4_MC08g08450	Auto	Auto	5	103	515	Down	Long
MvSl-1064-A1-R4_MC08g08647	Auto	Auto	8	94.25	754	Down	Long
MvSl-1064-A1-R4_MC08g08768	Auto	Auto	3	89.3333	268	Down	Long
MvSl-1064-A1-R4_MC08g08840	Auto	Auto	7	67.5714	473	Down	Long
MvSl-1064-A1-R4_MC09-2g09142	Auto	Auto	7	109.714	768	Down	Long
MvSl-1064-A1-R4_MC09-2g09201	Auto	Auto	6	131.333	788	Down	Long
MvSl-1064-A1-R4_MC09-2g09215	Auto	Auto	6	165	990	Down	Long
MvSl-1064-A1-R4_MC09-2g09232	Auto	Auto	2	135.5	271	Down	Long
MvSl-1064-A1-R4_MC09-2g09340	Auto	Auto	5	80.8	404	Down	Long
MvSl-1064-A1-R4_MC09-2g09580	Auto	Auto	1	268	268	Down	Long
MvSl-1064-A1-R4_MC10-1g09620	Auto	Auto	2	139.5	279	Down	Long
MvSl-1064-A1-R4_MC10-1g09718	Auto	Auto	7	77.1429	540	Down	Long
MvSl-1064-A1-R4_MC10-1g09785	Auto	Auto	5	155.8	779	Down	Long
MvSl-1064-A1-R4_MC10-1g09814	Auto	Auto	6	93.3333	560	Down	Long
MvSl-1064-A1-R4_MC10-1g09819	Auto	Auto	9	184.111	1657	Down	Long
MvSl-1064-A1-R4_MC10-1g09820	Auto	Auto	3	150	450	Down	Long
MvSl-1064-A1-R4_MC10-1g09843	Auto	Auto	1	44	44	Down	Long
MvSl-1064-A1-R4_MC10-2g10026	Auto	Auto	5	185.6	928	Down	Long
MvSl-1064-A1-R4_MC10-2g10078	Auto	Auto	3	86.6667	260	Down	Long
MvSl-1064-A1-R4_MC10-2g10098	Auto	Auto	3	126.667	380	Down	Long
MvSl-1064-A1-R4_MC11g10214	Auto	Auto	3	85.3333	256	Down	Long
MvSl-1064-A1-R4_MC11g10236	Auto	Auto	2	119	238	Down	Long
MvSl-1064-A1-R4_MC11g10303	Auto	Auto	2	67.5	135	Down	Long
MvSl-1064-A1-R4_MC11g10344	Auto	Auto	6	144.667	868	Down	Long
MvSl-1064-A1-R4_MC11g10585	Auto	Auto	6	96.5	579	Down	Long
MvSl-1064-A1-R4_MC11g10594	Auto	Auto	7	84.7143	593	Down	Long
MvSl-1064-A1-R4_MC11g10688	Auto	Auto	1	140	140	Down	Long
MvSl-1064-A1-R4_MC11g10722	Auto	Auto	5	100.2	501	Down	Long
MvSl-1064-A1-R4_MC11g10730	Auto	Auto	4	147.25	589	Down	Long
MvSl-1064-A1-R4_MC12g10761	Auto	Auto	4	82.75	331	Down	Long
MvSl-1064-A1-R4_MC12g10776	Auto	Auto	6	107.833	647	Down	Long
MvSl-1064-A1-R4_MC12g10810	Auto	Auto	1	55	55	Down	Long
MvSl-1064-A1-R4_MC12g10944	Auto	Auto	4	85.5	342	Down	Long
MvSl-1064-A1-R4_MC12g10989	Auto	Auto	2	60	120	Down	Long
MvSl-1064-A1-R4_MC12g11205	Auto	Auto	2	125	250	Down	Long
MvSl-1064-A1-R4_MC12g11233	Auto	Auto	5	153.8	769	Down	Long
MvSl-1064-A1-R4_MC12g11273	Auto	Auto	14	93	1302	Down	Long
MvSl-1064-A1-R4_MC13g11330	Auto	Auto	5	80.6	403	Down	Long
MvSl-1064-A1-R4_MC13g11645	Auto	Auto	8	94	752	Down	Long
MvSl-1064-A1-R4_MC14g11748	Auto	Auto	6	76.1667	457	Down	Long
MvSl-1064-A1-R4_MC14g11898	Auto	Auto	2	154.5	309	Down	Long
MvSl-1064-A1-R4_MC14g11980	Auto	Auto	4	142.25	569	Down	Long
MvSl-1064-A1-R4_MC15g12029	Auto	Auto	5	163.8	819	Down	Long
MvSl-1064-A1-R4_MC15g12082	Auto	Auto	4	101.75	407	Down	Long
MvSl-1064-A1-R4_MC18g12256	Auto	Auto	2	84.5	169	Down	Long
MvSl-1064-A1-R4_A1g00002	bPAR	bPAR	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00003	bPAR	bPAR	4	125.5	502	NON	NON
MvSl-1064-A1-R4_A1g00004	bPAR	bPAR	4	75.25	301	NON	NON
MvSl-1064-A1-R4_A1g00005	bPAR	bPAR	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00006	bPAR	bPAR	3	308.333	925	NON	NON
MvSl-1064-A1-R4_A1g00007	bPAR	bPAR	5	103.2	516	NON	NON
MvSl-1064-A1-R4_A1g00008	bPAR	bPAR	3	85	255	NON	NON
MvSl-1064-A1-R4_A1g00009	bPAR	bPAR	2	121.5	243	NON	NON
MvSl-1064-A1-R4_A1g00010	bPAR	bPAR	4	152.75	611	NON	NON
MvSl-1064-A1-R4_A1g00013	bPAR	bPAR	6	75.6667	454	NON	NON
MvSl-1064-A1-R4_A1g00017	bPAR	bPAR	8	87.375	699	NON	NON
MvSl-1064-A1-R4_A1g00019	bPAR	bPAR	3	216.667	650	NON	NON
MvSl-1064-A1-R4_A1g00021	bPAR	bPAR	1	142	142	NON	NON
MvSl-1064-A1-R4_A1g00023	bPAR	bPAR	4	203	812	NON	NON
MvSl-1064-A1-R4_A1g00024	bPAR	bPAR	3	98	294	NON	NON
MvSl-1064-A1-R4_A1g00025	bPAR	bPAR	7	87.7143	614	NON	NON
MvSl-1064-A1-R4_A1g00026	bPAR	bPAR	13	92.1538	1198	NON	NON
MvSl-1064-A1-R4_A1g00028	bPAR	bPAR	3	56.6667	170	NON	NON
MvSl-1064-A1-R4_A1g00031	bPAR	bPAR	7	93.5714	655	NON	NON
MvSl-1064-A1-R4_A1g00032	bPAR	bPAR	12	93.6667	1124	NON	NON
MvSl-1064-A1-R4_A1g00033	bPAR	bPAR	3	51.6667	155	NON	NON
MvSl-1064-A1-R4_A1g00035	bPAR	bPAR	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00036	bPAR	bPAR	3	93	279	NON	NON
MvSl-1064-A1-R4_A1g00037	bPAR	bPAR	2	85.5	171	NON	NON
MvSl-1064-A1-R4_A1g00039	bPAR	bPAR	12	90.0833	1081	NON	NON
MvSl-1064-A1-R4_A1g00040	bPAR	bPAR	7	87.5714	613	NON	NON
MvSl-1064-A1-R4_A1g00046	bPAR	bPAR	7	83.1429	582	NON	NON
MvSl-1064-A1-R4_A1g00047	bPAR	bPAR	5	74	370	NON	NON
MvSl-1064-A1-R4_A1g00048	bPAR	bPAR	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00049	bPAR	bPAR	7	79.1429	554	NON	NON
MvSl-1064-A1-R4_A1g00050	bPAR	bPAR	3	72.6667	218	NON	NON
MvSl-1064-A1-R4_A1g00051	bPAR	bPAR	4	85	340	NON	NON
MvSl-1064-A1-R4_A1g00052	bPAR	bPAR	1	180	180	NON	NON
MvSl-1064-A1-R4_A1g00053	bPAR	bPAR	5	71.4	357	NON	NON
MvSl-1064-A1-R4_A1g00054	bPAR	bPAR	7	76.7143	537	NON	NON
MvSl-1064-A1-R4_A1g00055	bPAR	bPAR	2	72	144	NON	NON
MvSl-1064-A1-R4_A1g00056	bPAR	bPAR	6	94.6667	568	NON	NON
MvSl-1064-A1-R4_A1g00057	bPAR	bPAR	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00058	bPAR	bPAR	1	128	128	NON	NON
MvSl-1064-A1-R4_A1g00059	bPAR	bPAR	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00060	bPAR	bPAR	5	119.8	599	NON	NON
MvSl-1064-A1-R4_A1g00061	bPAR	bPAR	3	100.333	301	NON	NON
MvSl-1064-A1-R4_A1g00062	bPAR	bPAR	5	129	645	NON	NON
MvSl-1064-A1-R4_A1g00063	bPAR	bPAR	3	108.333	325	NON	NON
MvSl-1064-A1-R4_A1g00064	bPAR	bPAR	3	151.667	455	NON	NON
MvSl-1064-A1-R4_A1g00065	bPAR	bPAR	10	81.9	819	NON	NON
MvSl-1064-A1-R4_A1g00066	bPAR	bPAR	2	73	146	NON	NON
MvSl-1064-A1-R4_A1g00067	bPAR	bPAR	8	105	840	NON	NON
MvSl-1064-A1-R4_A1g00068	bPAR	bPAR	3	124.667	374	NON	NON
MvSl-1064-A1-R4_A1g00069	bPAR	bPAR	2	98	196	NON	NON
MvSl-1064-A1-R4_A1g00070	bPAR	bPAR	1	84	84	NON	NON
MvSl-1064-A1-R4_A1g00071	bPAR	bPAR	4	97.5	390	NON	NON
MvSl-1064-A1-R4_A1g00072	bPAR	bPAR	4	110.25	441	NON	NON
MvSl-1064-A1-R4_A1g00074	bPAR	bPAR	10	124.3	1243	NON	NON
MvSl-1064-A1-R4_A1g00076	bPAR	bPAR	1	125	125	NON	NON
MvSl-1064-A1-R4_A1g00077	bPAR	bPAR	1	93	93	NON	NON
MvSl-1064-A1-R4_A1g00108	Black	OldStrata	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00109	Green	ColorStrata	2	71	142	NON	NON
MvSl-1064-A1-R4_A1g00110	Green	ColorStrata	2	200.5	401	NON	NON
MvSl-1064-A1-R4_A1g00113	Green	ColorStrata	2	84	168	NON	NON
MvSl-1064-A1-R4_A1g00120	Black	OldStrata	7	81	567	NON	NON
MvSl-1064-A1-R4_A1g00144	Black	OldStrata	3	121.333	364	NON	NON
MvSl-1064-A1-R4_A1g00153	Black	OldStrata	9	72.3333	651	NON	NON
MvSl-1064-A1-R4_A1g00155	Black	OldStrata	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00175	Purple	OldStrata	3	85.6667	257	NON	NON
MvSl-1064-A1-R4_A1g00184	Purple	OldStrata	2	124.5	249	NON	NON
MvSl-1064-A1-R4_A1g00185	Purple	OldStrata	13	82.2308	1069	NON	NON
MvSl-1064-A1-R4_A1g00186	Purple	OldStrata	4	124.25	497	NON	NON
MvSl-1064-A1-R4_A1g00193	Black	OldStrata	8	105.75	846	NON	NON
MvSl-1064-A1-R4_A1g00194	Black	OldStrata	6	82.3333	494	NON	NON
MvSl-1064-A1-R4_A1g00209	Black	OldStrata	3	204.667	614	NON	NON
MvSl-1064-A1-R4_A1g00210	Black	OldStrata	4	105	420	NON	NON
MvSl-1064-A1-R4_A1g00211	Black	OldStrata	8	76.5	612	NON	NON
MvSl-1064-A1-R4_A1g00241	Black	OldStrata	1	0	0	NON	NON
MvSl-1064-A1-R4_A1g00245	Black	OldStrata	1	72	72	NON	NON
MvSl-1064-A1-R4_A1g00253	Black	OldStrata	8	70.125	561	NON	NON
MvSl-1064-A1-R4_A1g00280	Black	OldStrata	9	70	630	NON	NON
MvSl-1064-A1-R4_A1g00281	Black	OldStrata	9	77	693	NON	NON
MvSl-1064-A1-R4_A1g00290	Black	OldStrata	4	86.75	347	NON	NON
MvSl-1064-A1-R4_A1g00311	Black	OldStrata	9	86.1111	775	NON	NON
MvSl-1064-A1-R4_A1g00316	Black	OldStrata	2	77.5	155	NON	NON
MvSl-1064-A1-R4_A1g00327	Black	OldStrata	4	91.75	367	NON	NON
MvSl-1064-A1-R4_A1g00328	Black	OldStrata	1	82	82	NON	NON
MvSl-1064-A1-R4_A1g00351	Black	OldStrata	9	70.8889	638	NON	NON
MvSl-1064-A1-R4_A1g00352	Black	OldStrata	2	60	120	NON	NON
MvSl-1064-A1-R4_A1g00359	Black	OldStrata	8	125.375	1003	NON	NON
MvSl-1064-A1-R4_A1g00367	Red	ColorStrata	4	75.25	301	NON	NON
MvSl-1064-A1-R4_A1g00368	Red	ColorStrata	3	85.6667	257	NON	NON
MvSl-1064-A1-R4_A1g00369	Red	ColorStrata	5	75.8	379	NON	NON
MvSl-1064-A1-R4_A1g00370	Red	ColorStrata	5	64.8	324	NON	NON
MvSl-1064-A1-R4_A1g00371	Red	ColorStrata	6	91.3333	548	NON	NON
MvSl-1064-A1-R4_A1g00372	Red	ColorStrata	5	79	395	NON	NON
MvSl-1064-A1-R4_A1g00373	Red	ColorStrata	3	100	300	NON	NON
MvSl-1064-A1-R4_A1g00374	Red	ColorStrata	4	71.5	286	NON	NON
MvSl-1064-A1-R4_A1g00375	Red	ColorStrata	1	75	75	NON	NON
MvSl-1064-A1-R4_A1g00380	Red	ColorStrata	2	210.5	421	NON	NON
MvSl-1064-A1-R4_A1g00389	Red	ColorStrata	6	191	1146	NON	NON
MvSl-1064-A1-R4_A1g00390	Red	ColorStrata	1	280	280	NON	NON
MvSl-1064-A1-R4_A1g00391	Red	ColorStrata	6	102.5	615	NON	NON
MvSl-1064-A1-R4_A1g00394	Red	ColorStrata	3	108.333	325	NON	NON
MvSl-1064-A1-R4_A1g00395	Red	ColorStrata	9	73.2222	659	NON	NON
MvSl-1064-A1-R4_A1g00396	Red	ColorStrata	5	83.6	418	NON	NON
MvSl-1064-A1-R4_A1g00397	Red	ColorStrata	3	121	363	NON	NON
MvSl-1064-A1-R4_A1g00398	Red	ColorStrata	4	183.75	735	NON	NON
MvSl-1064-A1-R4_A1g00399	Red	ColorStrata	2	74.5	149	NON	NON
MvSl-1064-A1-R4_A1g00401	Red	ColorStrata	4	93.5	374	NON	NON
MvSl-1064-A1-R4_A1g00402	Red	ColorStrata	3	82.3333	247	NON	NON
MvSl-1064-A1-R4_A1g00403	Red	ColorStrata	7	66.7143	467	NON	NON
MvSl-1064-A1-R4_A1g00404	Red	ColorStrata	5	70.4	352	NON	NON
MvSl-1064-A1-R4_A1g00405	Red	ColorStrata	5	80.2	401	NON	NON
MvSl-1064-A1-R4_A1g00406	Red	ColorStrata	1	83	83	NON	NON
MvSl-1064-A1-R4_A1g00432	Black	OldStrata	3	111.667	335	NON	NON
MvSl-1064-A1-R4_A1g00433	Black	OldStrata	3	74.3333	223	NON	NON
MvSl-1064-A1-R4_A1g00441	Purple	OldStrata	7	118	826	NON	NON
MvSl-1064-A1-R4_A1g00478	Blue	OldStrata	3	85	255	NON	NON
MvSl-1064-A1-R4_A1g00503	Black	OldStrata	8	78.625	629	NON	NON
MvSl-1064-A1-R4_A1g00504	Black	OldStrata	4	76.5	306	NON	NON
MvSl-1064-A1-R4_A1g00505	Black	OldStrata	8	114.625	917	NON	NON
MvSl-1064-A1-R4_A1g00506	Black	OldStrata	8	80	640	NON	NON
MvSl-1064-A1-R4_A1g00507	Black	OldStrata	13	96.3846	1253	NON	NON
