gida1	prot	cds	part8	youngold	intron_nr	intron_mean	intron_total	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00076	859	2580	bPAR	bPAR	1	125	125	NON	NON	A1
MvSl-1064-A1-R4_A1g00077	460	1383	bPAR	bPAR	1	93	93	NON	NON	A1
MvSl-1064-A1-R4_A1g00078	153	462	bPAR	bPAR	1	0	0	Down	DE	A1
MvSl-1064-A1-R4_A1g00079	1388	4167	bPAR	bPAR	10	83.6	836	Down	DE	A1
MvSl-1064-A1-R4_A1g00080	151	456	bPAR	bPAR	3	92	276	Down	DE	A1
MvSl-1064-A1-R4_A1g00081	363	1092	Black	OldStrata	8	84	672	Down	DE	A1
MvSl-1064-A1-R4_A1g00106	452	1359	Black	OldStrata	3	81	243	Up	DE	A1
MvSl-1064-A1-R4_A1g00108	55	168	Black	OldStrata	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00109	238	717	Green	ColorStrata	2	71	142	NON	NON	A1
MvSl-1064-A1-R4_A1g00110	856	2571	Green	ColorStrata	2	200.5	401	NON	NON	A1
MvSl-1064-A1-R4_A1g00113	899	2700	Green	ColorStrata	2	84	168	NON	NON	A1
MvSl-1064-A1-R4_A1g00367	543	1632	Red	ColorStrata	4	75.25	301	NON	NON	A1
MvSl-1064-A1-R4_A1g00368	400	1203	Red	ColorStrata	3	85.6667	257	NON	NON	A1
MvSl-1064-A1-R4_A1g00369	649	1950	Red	ColorStrata	5	75.8	379	NON	NON	A1
MvSl-1064-A1-R4_A1g00370	678	2037	Red	ColorStrata	5	64.8	324	NON	NON	A1
MvSl-1064-A1-R4_A1g00371	1141	3426	Red	ColorStrata	6	88.6667	548	NON	NON	A1
MvSl-1064-A1-R4_A1g00372	877	2634	Red	ColorStrata	5	79	395	NON	NON	A1
MvSl-1064-A1-R4_A1g00373	354	1065	Red	ColorStrata	3	100	300	NON	NON	A1
MvSl-1064-A1-R4_A1g00374	703	2112	Red	ColorStrata	4	71.5	286	NON	NON	A1
MvSl-1064-A1-R4_A1g00375	133	402	Red	ColorStrata	1	75	75	NON	NON	A1
MvSl-1064-A1-R4_A1g01392	1213	3642	Black	OldStrata	4	72.5	308	NON	NON	A1
MvSl-1064-A1-R4_A1g01393	401	1206	Black	OldStrata	2	81	232	NON	NON	A1
MvSl-1064-A1-R4_A1g00209	621	1866	Black	OldStrata	1	61	61	NON	NON	A1
MvSl-1064-A1-R4_A1g01415	364	1095	Black	OldStrata	10	107.8	1078	NON	NON	A1
MvSl-1064-A1-R4_A1g00290	1078	3237	Black	OldStrata	4	86.75	345	NON	NON	A1
MvSl-1064-A1-R4_A1g00772	343	1032	Blue	OldStrata	3	65.6667	248	NON	NON	A1
MvSl-1064-A1-R4_A1g01388	748	2247	Black	OldStrata	2	64	131	NON	NON	A1
MvSl-1064-A1-R4_A1g01252	321	966	Orange	ColorStrata	4	130.25	521	NON	NON	A1
MvSl-1064-A1-R4_A1g01253	182	549	Black	OldStrata	4	105	420	Down	DE	A1
MvSl-1064-A1-R4_A1g00800	445	1338	Black	OldStrata	9	96.1111	819	NON	NON	A1
MvSl-1064-A1-R4_A1g00801	348	1047	Blue	OldStrata	2	76	152	NON	NON	A1
MvSl-1064-A1-R4_A1g00591	443	1332	Black	OldStrata	1	0	0	Down	DE	A1
MvSl-1064-A1-R4_A1g00593	1188	3567	Blue	OldStrata	6	89.6667	541	NON	NON	A1
MvSl-1064-A1-R4_A1g00726	261	786	Black	OldStrata	6	111	689	NON	NON	A1
MvSl-1064-A1-R4_A1g00120	557	1674	Black	OldStrata	7	66	567	NON	NON	A1
MvSl-1064-A1-R4_A1g00246	344	1035	Black	OldStrata	2	173	346	Up	DE	A1
MvSl-1064-A1-R4_A1g00165	889	2670	Black	OldStrata	6	82.8333	497	Down	DE	A1
MvSl-1064-A1-R4_A1g00481	182	549	Black	OldStrata	2	49.5	99	Up	DE	A1
MvSl-1064-A1-R4_A1g00718	460	1383	Black	OldStrata	2	71.5	143	Up	DE	A1
MvSl-1064-A1-R4_A1g00254	738	2217	Black	OldStrata	3	73	219	Down	DE	A1
MvSl-1064-A1-R4_A1g00359	340	1023	Black	OldStrata	8	125.375	1002	NON	NON	A1
MvSl-1064-A1-R4_A1g00281	1324	3975	Black	OldStrata	8	77	553	NON	NON	A1
MvSl-1064-A1-R4_A1g00280	1470	4413	Black	OldStrata	9	70	630	NON	NON	A1
MvSl-1064-A1-R4_A1g00168	534	1605	Black	OldStrata	4	107.75	431	Down	DE	A1
MvSl-1064-A1-R4_A1g00648	502	1509	Black	OldStrata	3	109.667	329	Up	DE	A1
MvSl-1064-A1-R4_A1g00647	286	861	Black	OldStrata	6	84.3333	442	NON	NON	A1
MvSl-1064-A1-R4_A1g00778	827	2484	Black	OldStrata	7	77.1429	540	NON	NON	A1
MvSl-1064-A1-R4_A1g00779	1011	3036	Black	OldStrata	10	96	960	Up	DE	A1
MvSl-1064-A1-R4_A1g01282	224	675	Black	OldStrata	3	114.333	343	NON	NON	A1
MvSl-1064-A1-R4_A1g00869	609	1830	Black	OldStrata	10	84.8	840	NON	NON	A1
MvSl-1064-A1-R4_A1g00405	548	1647	Red	ColorStrata	5	80.2	401	NON	NON	A1
MvSl-1064-A1-R4_A1g00404	266	801	Red	ColorStrata	5	70.4	352	NON	NON	A1
MvSl-1064-A1-R4_A1g00403	1342	4029	Red	ColorStrata	7	66.7143	467	NON	NON	A1
MvSl-1064-A1-R4_A1g00402	1560	4683	Red	ColorStrata	3	82.3333	247	NON	NON	A1
MvSl-1064-A1-R4_A1g00401	331	996	Red	ColorStrata	4	93.5	374	NON	NON	A1
MvSl-1064-A1-R4_A1g00400	787	2364	Red	ColorStrata	7	91.2857	639	Down	DE	A1
MvSl-1064-A1-R4_A1g00399	160	483	Red	ColorStrata	2	74.5	149	NON	NON	A1
MvSl-1064-A1-R4_A1g00398	123	372	Red	ColorStrata	4	183.75	735	NON	NON	A1
MvSl-1064-A1-R4_A1g00397	124	375	Red	ColorStrata	3	121	363	NON	NON	A1
MvSl-1064-A1-R4_A1g00396	293	882	Red	ColorStrata	5	83.6	418	NON	NON	A1
MvSl-1064-A1-R4_A1g00395	1363	4092	Red	ColorStrata	9	73.2222	659	NON	NON	A1
MvSl-1064-A1-R4_A1g00394	114	345	Red	ColorStrata	3	108.333	325	NON	NON	A1
MvSl-1064-A1-R4_A1g00391	588	1767	Red	ColorStrata	6	104.8	524	NON	NON	A1
MvSl-1064-A1-R4_A1g00390	377	1134	Red	ColorStrata	1	280	283	NON	NON	A1
MvSl-1064-A1-R4_A1g00389	385	1158	Red	ColorStrata	3	191	1146	NON	NON	A1
MvSl-1064-A1-R4_A1g00383	162	489	Black	OldStrata	2	73	146	Up	DE	A1
MvSl-1064-A1-R4_A1g00380	72	219	Red	ColorStrata	2	210.5	421	NON	NON	A1
MvSl-1064-A1-R4_A1g01189	347	1044	Black	OldStrata	2	81	158	NON	NON	A1
MvSl-1064-A1-R4_A1g01375	390	1173	Black	OldStrata	2	71	142	Up	DE	A1
MvSl-1064-A1-R4_A1g01376	840	2523	Black	OldStrata	11	71.8182	790	Up	DE	A1
MvSl-1064-A1-R4_A1g01378	156	471	Black	OldStrata	2	110	110	NON	NON	A1
MvSl-1064-A1-R4_A1g00624	256	771	Purple	OldStrata	7	107.286	751	Down	DE	A1
MvSl-1064-A1-R4_A1g00185	926	2781	Purple	OldStrata	13	82.2308	1069	NON	NON	A1
MvSl-1064-A1-R4_A1g00186	450	1353	Purple	OldStrata	4	124.25	497	NON	NON	A1
MvSl-1064-A1-R4_A1g01383	678	2037	Black	OldStrata	7	79.4286	556	Up	DE	A1
MvSl-1064-A1-R4_A1g00230	229	690	Purple	OldStrata	4	119	476	Up	DE	A1
MvSl-1064-A1-R4_A1g00568	131	396	Black	OldStrata	1	231	231	NON	NON	A1
MvSl-1064-A1-R4_A1g00575	991	2976	Black	OldStrata	7	117.714	814	NON	NON	A1
MvSl-1064-A1-R4_A1g00576	161	486	Black	OldStrata	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00757	297	894	Black	OldStrata	1	99	49	NON	NON	A1
MvSl-1064-A1-R4_A1g00756	71	216	Black	OldStrata	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00752	410	1233	Black	OldStrata	2	64	128	Down	DE	A1
MvSl-1064-A1-R4_A1g00751	972	2919	Black	OldStrata	10	72.7	727	NON	NON	A1
MvSl-1064-A1-R4_A1g00750	728	2187	Black	OldStrata	4	79.5	318	NON	NON	A1
MvSl-1064-A1-R4_A1g00594	467	1404	Black	OldStrata	3	102.333	307	Down	DE	A1
MvSl-1064-A1-R4_A1g00749	1116	3351	Black	OldStrata	2	81.5	163	NON	NON	A1
MvSl-1064-A1-R4_A1g00745	164	495	Black	OldStrata	3	74.3333	223	Up	DE	A1
MvSl-1064-A1-R4_A1g01135	265	798	Black	OldStrata	3	80.6667	242	Up	DE	A1
MvSl-1064-A1-R4_A1g00245	94	285	Black	OldStrata	1	72	72	NON	NON	A1
MvSl-1064-A1-R4_A1g00635	628	1887	Black	OldStrata	10	66.5	665	Down	DE	A1
MvSl-1064-A1-R4_A1g00241	346	1041	Black	OldStrata	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00242	191	576	Black	OldStrata	4	84.25	337	Up	DE	A1
MvSl-1064-A1-R4_A1g00270	380	1143	Black	OldStrata	3	208	624	Down	DE	A1
MvSl-1064-A1-R4_A1g00269	1021	3066	Black	OldStrata	5	116.6	583	Down	DE	A1
MvSl-1064-A1-R4_A1g00763	1235	3708	Black	OldStrata	5	67.4	337	Down	DE	A1
MvSl-1064-A1-R4_A1g00211	827	2484	Black	OldStrata	8	76.5	612	NON	NON	A1
MvSl-1064-A1-R4_A1g00210	252	759	Black	OldStrata	4	105.25	420	NON	NON	A1
MvSl-1064-A1-R4_A1g01418	904	2715	Black	OldStrata	9	84.5556	761	Up	DE	A1
MvSl-1064-A1-R4_A1g00292	547	1644	Black	OldStrata	8	90.125	721	Down	DE	A1
MvSl-1064-A1-R4_A1g00406	179	540	Red	ColorStrata	1	83	83	NON	NON	A1
MvSl-1064-A1-R4_A1g00441	342	1029	Purple	OldStrata	7	117.857	825	NON	NON	A1
MvSl-1064-A1-R4_A1g00144	157	474	Black	OldStrata	3	114.333	343	NON	NON	A1
MvSl-1064-A1-R4_A1g01369	631	1896	Black	OldStrata	5	93.1667	515	NON	NON	A1
MvSl-1064-A1-R4_A1g01368	1872	5619	Black	OldStrata	7	64.375	515	NON	NON	A1
MvSl-1064-A1-R4_A1g01367	542	1629	Black	OldStrata	3	65	195	NON	NON	A1
MvSl-1064-A1-R4_A1g01366	758	2277	Black	OldStrata	1	138	138	NON	NON	A1
MvSl-1064-A1-R4_A1g00194	478	1437	Black	OldStrata	8	143.5	1148	NON	NON	A1
MvSl-1064-A1-R4_A1g01290	419	1260	Black	OldStrata	9	92.8889	836	Up	DE	A1
MvSl-1064-A1-R4_A1g01288	270	813	Black	OldStrata	1	0	0	Up	DE	A1
MvSl-1064-A1-R4_A1g00327	207	624	Black	OldStrata	4	85.75	367	NON	NON	A1
MvSl-1064-A1-R4_A1g01404	368	1107	Black	OldStrata	1	71	71	Down	DE	A1
MvSl-1064-A1-R4_A1g01405	344	1035	Black	OldStrata	2	102	204	NON	NON	A1
MvSl-1064-A1-R4_A1g01137	595	1788	Black	OldStrata	6	77.5	465	Down	DE	A1
MvSl-1064-A1-R4_A1g01154	184	555	Blue	OldStrata	2	191	382	NON	NON	A1
MvSl-1064-A1-R4_A1g01159	424	1275	Blue	OldStrata	2	180	360	NON	NON	A1
MvSl-1064-A1-R4_A1g01160	474	1425	Blue	OldStrata	5	124.2	621	NON	NON	A1
MvSl-1064-A1-R4_A1g01161	478	1437	Blue	OldStrata	3	92	276	NON	NON	A1
MvSl-1064-A1-R4_A1g01162	186	561	Blue	OldStrata	2	68	136	Up	DE	A1
MvSl-1064-A1-R4_A1g01163	227	684	Blue	OldStrata	4	87	348	Up	DE	A1
MvSl-1064-A1-R4_A1g01212	922	2769	Black	OldStrata	7	79.5714	557	Down	DE	A1
MvSl-1064-A1-R4_A1g01049	93	282	Centro	Centro	1	45	45	Up	DE	A1
MvSl-1064-A1-R4_A1g00533	318	957	Black	OldStrata	4	160.667	964	NON	NON	A1
MvSl-1064-A1-R4_A1g00534	377	1134	Black	OldStrata	9	110	990	NON	NON	A1
MvSl-1064-A1-R4_A1g00541	2042	6129	Black	OldStrata	3	71.3333	218	NON	NON	A1
MvSl-1064-A1-R4_A1g00542	390	1173	Black	OldStrata	4	79.5	318	Up	DE	A1
MvSl-1064-A1-R4_A1g00543	729	2190	Black	OldStrata	9	97.2222	875	NON	NON	A1
MvSl-1064-A1-R4_A1g00544	580	1743	Black	OldStrata	3	181.667	307	NON	NON	A1
MvSl-1064-A1-R4_A1g00525	342	1029	Black	OldStrata	3	105.333	316	NON	NON	A1
MvSl-1064-A1-R4_A1g00522	418	1257	Black	OldStrata	6	84.6667	508	Down	DE	A1
MvSl-1064-A1-R4_A1g01007	1968	5907	Black	OldStrata	4	118.25	473	Up	DE	A1
MvSl-1064-A1-R4_A1g00669	711	2136	Orange	ColorStrata	2	101	202	NON	NON	A1
MvSl-1064-A1-R4_A1g00668	651	1956	Orange	ColorStrata	7	131	917	Down	DE	A1
MvSl-1064-A1-R4_A1g00312	159	480	Black	OldStrata	1	118	118	Down	DE	A1
MvSl-1064-A1-R4_A1g00311	1497	4494	Black	OldStrata	9	85.3333	775	NON	NON	A1
MvSl-1064-A1-R4_A1g00842	466	1401	Black	OldStrata	6	101	505	NON	NON	A1
MvSl-1064-A1-R4_A1g00843	371	1116	Black	OldStrata	3	129.5	259	NON	NON	A1
MvSl-1064-A1-R4_A1g01021	246	741	Black	OldStrata	2	126.5	253	Up	DE	A1
MvSl-1064-A1-R4_A1g01317	270	813	Purple	OldStrata	7	102.143	715	NON	NON	A1
MvSl-1064-A1-R4_A1g00352	263	792	Black	OldStrata	2	76	152	NON	NON	A1
MvSl-1064-A1-R4_A1g00351	1299	3900	Black	OldStrata	9	75.1111	676	NON	NON	A1
MvSl-1064-A1-R4_A1g00350	824	2475	Black	OldStrata	2	155.5	311	Up	DE	A1
MvSl-1064-A1-R4_A1g00694	781	2346	Black	OldStrata	4	76.75	307	NON	NON	A1
MvSl-1064-A1-R4_A1g00693	334	1005	Black	OldStrata	5	98.6	493	NON	NON	A1
MvSl-1064-A1-R4_A1g00642	69	210	Black	OldStrata	1	0	0	Up	DE	A1
MvSl-1064-A1-R4_A1g00193	467	1404	Black	OldStrata	8	114.429	846	NON	NON	A1
MvSl-1064-A1-R4_A1g00433	565	1698	Black	OldStrata	3	74.3333	223	NON	NON	A1
MvSl-1064-A1-R4_A1g00432	97	294	Black	OldStrata	3	111.667	335	NON	NON	A1
MvSl-1064-A1-R4_A1g00349	290	873	Black	OldStrata	9	97.1111	874	Up	DE	A1
MvSl-1064-A1-R4_A1g00644	789	2370	Black	OldStrata	1	156	156	Down	DE	A1
MvSl-1064-A1-R4_MC03g04896	1993	5982	Auto	Auto	1	41	41	NON	NON	A1
MvSl-1064-A1-R4_A1g00845	1538	4617	Black	OldStrata	3	92.3333	364	NON	NON	A1
MvSl-1064-A1-R4_A1g00546	114	345	Black	OldStrata	2	60.5	145	NON	NON	A1
MvSl-1064-A1-R4_A1g01346	242	729	Black	OldStrata	5	202	1010	NON	NON	A1
MvSl-1064-A1-R4_A1g01359	455	1368	Black	OldStrata	5	78.2	391	NON	NON	A1
MvSl-1064-A1-R4_A1g00854	900	2703	Purple	OldStrata	8	97.125	777	Up	DE	A1
MvSl-1064-A1-R4_A1g00853	872	2619	Purple	OldStrata	6	114.833	689	Down	DE	A1
MvSl-1064-A1-R4_A1g01384	1008	3027	Black	OldStrata	1	77	77	Down	DE	A1
MvSl-1064-A1-R4_A1g01431	1705	5118	Blue	OldStrata	13	89.8333	1078	NON	NON	A1
MvSl-1064-A1-R4_A1g01432	167	504	Blue	OldStrata	4	84.25	337	Up	DE	A1
MvSl-1064-A1-R4_A1g00997	628	1887	Blue	OldStrata	4	92.25	369	Down	DE	A1
MvSl-1064-A1-R4_A1g00998	230	693	Blue	OldStrata	3	109.667	329	NON	NON	A1
MvSl-1064-A1-R4_A1g00957	237	714	Black	OldStrata	2	105.5	211	NON	NON	A1
MvSl-1064-A1-R4_A1g00958	649	1950	Black	OldStrata	4	73.25	293	Down	DE	A1
MvSl-1064-A1-R4_A1g00960	227	684	Black	OldStrata	4	67.5	270	NON	NON	A1
MvSl-1064-A1-R4_A1g00968	243	732	Black	OldStrata	4	89.5	262	NON	NON	A1
MvSl-1064-A1-R4_A1g00184	87	264	Purple	OldStrata	2	124.5	249	NON	NON	A1
MvSl-1064-A1-R4_A1g00316	428	1287	Black	OldStrata	2	136.375	155	NON	NON	A1
MvSl-1064-A1-R4_A1g00515	1039	3120	Black	OldStrata	3	69.6667	209	NON	NON	A1
MvSl-1064-A1-R4_A1g00514	1572	4719	Black	OldStrata	2	82	164	NON	NON	A1
MvSl-1064-A1-R4_A1g00503	651	1956	Black	OldStrata	8	78.625	629	NON	NON	A1
MvSl-1064-A1-R4_A1g00504	319	960	Black	OldStrata	4	76.5	306	NON	NON	A1
MvSl-1064-A1-R4_A1g00505	991	2976	Black	OldStrata	10	105.6	1056	NON	NON	A1
MvSl-1064-A1-R4_A1g00506	463	1392	Black	OldStrata	8	80	640	NON	NON	A1
MvSl-1064-A1-R4_A1g00507	1401	4206	Black	OldStrata	13	96.3846	1256	NON	NON	A1
MvSl-1064-A1-R4_A1g00511	353	1062	Black	OldStrata	7	75.8571	531	NON	NON	A1
MvSl-1064-A1-R4_A1g00512	207	624	Black	OldStrata	7	105	735	NON	NON	A1
MvSl-1064-A1-R4_A1g00513	575	1728	Black	OldStrata	9	71.3333	642	NON	NON	A1
MvSl-1064-A1-R4_A1g01017	1051	3156	Purple	OldStrata	17	99.3529	1643	NON	NON	A1
MvSl-1064-A1-R4_A1g00970	470	1413	Black	OldStrata	3	71.3333	214	Up	DE	A1
MvSl-1064-A1-R4_A1g00972	382	1149	Black	OldStrata	3	81.3333	244	Down	DE	A1
MvSl-1064-A1-R4_A1g00252	489	1470	Black	OldStrata	2	64.5	129	Down	DE	A1
MvSl-1064-A1-R4_A1g00253	780	2343	Black	OldStrata	7	70.125	561	NON	NON	A1
MvSl-1064-A1-R4_A1g01407	490	1473	Black	OldStrata	4	123	492	NON	NON	A1
MvSl-1064-A1-R4_A1g01406	1224	3675	Black	OldStrata	8	164.875	1299	NON	NON	A1
MvSl-1064-A1-R4_A1g01219	1022	3069	Black	OldStrata	4	151.5	608	NON	NON	A1
MvSl-1064-A1-R4_A1g01220	296	891	Black	OldStrata	8	86.125	689	Up	DE	A1
MvSl-1064-A1-R4_A1g01174	406	1221	Black	OldStrata	5	91	455	Down	DE	A1
MvSl-1064-A1-R4_A1g01173	517	1554	Black	OldStrata	5	155.2	785	NON	NON	A1
MvSl-1064-A1-R4_A1g01271	130	393	Black	OldStrata	5	92.4	508	NON	NON	A1
MvSl-1064-A1-R4_A1g01272	183	552	Black	OldStrata	3	100.333	301	NON	NON	A1
MvSl-1064-A1-R4_A1g01261	2309	6930	Orange	ColorStrata	7	146	1022	Down	DE	A1
MvSl-1064-A1-R4_A1g00153	1373	4122	Black	OldStrata	9	72.3333	733	NON	NON	A1
MvSl-1064-A1-R4_A1g00154	220	663	Black	OldStrata	1	127	127	Down	DE	A1
MvSl-1064-A1-R4_A1g00155	508	1527	Black	OldStrata	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00175	840	2523	Purple	OldStrata	5	76.6	383	NON	NON	A1
MvSl-1064-A1-R4_A1g00283	1625	4878	Black	OldStrata	5	102.4	512	Up	DE	A1
MvSl-1064-A1-R4_A1g01302	795	2388	Black	OldStrata	5	83.6	418	Up	DE	A1
MvSl-1064-A1-R4_A1g00516	327	984	Black	OldStrata	6	131.5	789	Down	DE	A1
MvSl-1064-A1-R4_A1g00517	78	237	Black	OldStrata	2	221	432	NON	NON	A1
MvSl-1064-A1-R4_A1g00518	424	1275	Black	OldStrata	6	94.1667	565	NON	NON	A1
MvSl-1064-A1-R4_A1g00519	695	2088	Black	OldStrata	1	71	71	NON	NON	A1
MvSl-1064-A1-R4_A1g00520	655	1968	Black	OldStrata	2	72	144	NON	NON	A1
MvSl-1064-A1-R4_A1g00521	888	2667	Black	OldStrata	3	107	320	NON	NON	A1
MvSl-1064-A1-R4_A1g01227	172	519	Purple	OldStrata	2	145	290	NON	NON	A1
MvSl-1064-A1-R4_A1g01228	183	552	Black	OldStrata	1	126	126	NON	NON	A1
MvSl-1064-A1-R4_A1g00646	696	2091	Black	OldStrata	2	86	172	Down	DE	A1
MvSl-1064-A1-R4_A1g00645	842	2529	Black	OldStrata	5	89.4	447	NON	NON	A1
MvSl-1064-A1-R4_A1g01347	2125	6378	Black	OldStrata	5	89.4	447	Up	DE	A1
MvSl-1064-A1-R4_A1g01348	791	2376	Black	OldStrata	1	91	91	NON	NON	A1
MvSl-1064-A1-R4_A1g01350	629	1890	Black	OldStrata	2	77.5	154	NON	NON	A1
MvSl-1064-A1-R4_A1g01351	279	840	Black	OldStrata	5	120.4	602	NON	NON	A1
MvSl-1064-A1-R4_A1g01164	1029	3090	Black	OldStrata	10	83.2	832	Down	DE	A1
MvSl-1064-A1-R4_A1g00977	359	1080	Black	OldStrata	4	79	316	Down	DE	A1
MvSl-1064-A1-R4_A1g00913	1231	3696	Black	OldStrata	7	62.1429	435	NON	NON	A1
MvSl-1064-A1-R4_A1g00920	1991	5976	Black	OldStrata	3	115.5	286	NON	NON	A1
