gid	TEaverage	averageGC3	averageGC0	intronmeannr	intronmeanlength	intronmeantotal	Part8	youngold	logFC.A1.A2	abs	a1prot	a2prot	meanprot	ratioprot	DE	DE2	a1cds	a2cds	ratiocds	meancds
MvSl-1064-A1-R4_A1g00056	0	65.22	65.22	6	94.6667	568	bPAR	bPAR	-0.137229584	0.137229584	576	576	576	1	NON	NON	1731	1731	1	1731
MvSl-1064-A1-R4_A1g00057	0	58.18	58.18	1	0	0	bPAR	bPAR	0.055084542	0.055084542	107	107	107	1	NON	NON	324	324	1	324
MvSl-1064-A1-R4_A1g00058	0	53.665	53.665	1	128	128	bPAR	bPAR	-0.954050108	0.954050108	49	49	49	1	NON	NON	150	150	1	150
MvSl-1064-A1-R4_A1g00059	0	54.345	54.345	1	0	0	bPAR	bPAR	0.002038336	0.002038336	68	68	68	1	NON	NON	207	207	1	207
MvSl-1064-A1-R4_A1g00060	0	61.375	61.375	5	119.8	599	bPAR	bPAR	-0.148656286	0.148656286	317	317	317	1	NON	NON	954	954	1	954
MvSl-1064-A1-R4_A1g00061	0	61.665	61.665	3	100.1665	300.5	bPAR	bPAR	-0.161410321	0.161410321	219	219	219	1	NON	NON	660	660	1	660
MvSl-1064-A1-R4_A1g00062	0	52.865	52.865	5	129	645	bPAR	bPAR	0.158931977	0.158931977	714	714	714	1	NON	NON	2145	2145	1	2145
MvSl-1064-A1-R4_A1g00063	0	53.52	53.52	3	108.1665	324.5	bPAR	bPAR	-0.061888586	0.061888586	316	316	316	1	NON	NON	951	951	1	951
MvSl-1064-A1-R4_A1g00064	0	58.585	58.585	3	151.667	455	bPAR	bPAR	0.176179425	0.176179425	232	232	232	1	NON	NON	699	699	1	699
MvSl-1064-A1-R4_A1g00065	0	53.18	53.18	10	81.85	818.5	bPAR	bPAR	-0.25401122	0.25401122	649	649	649	1	NON	NON	1950	1950	1	1950
MvSl-1064-A1-R4_A1g00066	0	67.21	67.21	2	73	146	bPAR	bPAR	-0.017148952	0.017148952	184	184	184	1	NON	NON	555	555	1	555
MvSl-1064-A1-R4_A1g00067	0	53.245	53.245	8	105	840	bPAR	bPAR	0.22606909	0.22606909	451	451	451	1	NON	NON	1356	1356	1	1356
MvSl-1064-A1-R4_A1g00068	0	56.615	56.615	3	124.667	374	bPAR	bPAR	0.417722847	0.417722847	397	397	397	1	NON	NON	1194	1194	1	1194
MvSl-1064-A1-R4_A1g00069	0	62.39	62.39	2	98	196	bPAR	bPAR	0.262994688	0.262994688	1429	1429	1429	1	NON	NON	4290	4290	1	4290
MvSl-1064-A1-R4_A1g00070	0	58.485	58.485	1	84	84	bPAR	bPAR	-0.335137523	0.335137523	918	918	918	1	NON	NON	2757	2757	1	2757
MvSl-1064-A1-R4_A1g00071	0	54.5	54.5	4	97.5	390	bPAR	bPAR	-0.507412605	0.507412605	495	495	495	1	NON	NON	1488	1488	1	1488
MvSl-1064-A1-R4_A1g00072	0	61.245	61.245	4	110.25	441	bPAR	bPAR	-0.10139453	0.10139453	663	663	663	1	NON	NON	1992	1992	1	1992
MvSl-1064-A1-R4_A1g00073	0	61.795	61.795	3	107.667	323	bPAR	bPAR	0.811477637	0.811477637	375	375	375	1	Up	DE	1128	1128	1	1128
MvSl-1064-A1-R4_A1g00074	0	67.13	67.13	10	124.3	1243	bPAR	bPAR	-0.556269443	0.556269443	613	613	613	1	NON	NON	1842	1842	1	1842
MvSl-1064-A1-R4_A1g00076	0	54.225	54.225	1	125	125	bPAR	bPAR	0.045865339	0.045865339	859	859	859	1	NON	NON	2580	2580	1	2580
MvSl-1064-A1-R4_A1g00077	0.117647059	55.895	55.855	1	93	93	bPAR	bPAR	-0.046850616	0.046850616	460	460	460	1	NON	NON	1383	1383	1	1383
MvSl-1064-A1-R4_A1g00078	0.117647059	58.445	58.445	1	0	0	bPAR	bPAR	-0.993002656	0.993002656	153	153	153	1	Down	DE	462	462	1	462
MvSl-1064-A1-R4_A1g00079	0.235294118	58.445	58.445	10	83.55	835.5	bPAR	bPAR	-1.646693649	1.646693649	1388	1388	1388	1	Down	DE	4167	4167	1	4167
MvSl-1064-A1-R4_A1g00080	0.235294118	56.03	55.815	3	92	276	bPAR	bPAR	-1.367630539	1.367630539	151	151	151	1	Down	DE	456	456	1	456
MvSl-1064-A1-R4_A1g00081	0.235294118	57.785	57.74	8	83.875	671	Black	OldStrata	-2.764413249	2.764413249	363	363	363	1	Down	DE	1092	1092	1	1092
MvSl-1064-A1-R4_A1g00106	0.117647059	53.09	53.46	3	85.66665	257	Black	OldStrata	1.297354832	1.297354832	452	452	452	1	Up	DE	1359	1359	1	1359
MvSl-1064-A1-R4_A1g00108	0.058823529	69.05	69.05	1	0	0	Black	OldStrata	-0.31807729	0.31807729	55	55	55	1	NON	NON	168	168	1	168
MvSl-1064-A1-R4_A1g00109	0.058823529	64.23	64.685	2	71	142	Green	ColorStrata	-0.144342568	0.144342568	234	238	236	0.983193277	NON	NON	717	705	1.017021277	711
MvSl-1064-A1-R4_A1g00110	0.058823529	62.7	62.66	2	200.5	401	Green	ColorStrata	0.241287933	0.241287933	856	856	856	1	NON	NON	2571	2571	1	2571
MvSl-1064-A1-R4_A1g00113	0	66.96	66.85	2	84	168	Green	ColorStrata	-0.075035752	0.075035752	899	899	899	1	NON	NON	2700	2700	1	2700
MvSl-1064-A1-R4_A1g00118	0.647058824	61.18	60.755	2	61.25	122.5	Black	OldStrata	1.366976139	1.366976139	230	233	231.5	0.987124464	Up	DE	693	702	0.987179487	697.5
MvSl-1064-A1-R4_A1g00120	0.764705882	52.955	53.86	7	73.5	514.5	Black	OldStrata	0.688411074	0.688411074	530	557	543.5	0.951526032	NON	NON	1593	1674	0.951612903	1633.5
MvSl-1064-A1-R4_A1g00144	1.352941176	65.61	65.115	3	117.833	353.5	Black	OldStrata	-0.412659961	0.412659961	160	157	158.5	1.01910828	NON	NON	474	483	0.98136646	478.5
MvSl-1064-A1-R4_A1g00153	0.647058824	62.265	62.69	9.5	72.81665	692	Black	OldStrata	-0.269881931	0.269881931	1373	1339	1356	1.025392084	NON	NON	4020	4122	0.975254731	4071
MvSl-1064-A1-R4_A1g00154	0.529411765	55.355	54.9	1	125.5	125.5	Black	OldStrata	-0.909654782	0.909654782	220	220	220	1	Down	DE	663	663	1	663
MvSl-1064-A1-R4_A1g00155	0.352941176	60.185	59.925	1	0	0	Black	OldStrata	0.426648292	0.426648292	508	508	508	1	NON	NON	1527	1527	1	1527
MvSl-1064-A1-R4_A1g00165	0.352941176	60.545	60.35	6	84.0833	504.5	Black	OldStrata	-0.801032568	0.801032568	889	904	896.5	1.016872891	Down	DE	2670	2715	1.016853933	2692.5
MvSl-1064-A1-R4_A1g00168	0.705882353	59.845	60.89	5	100.125	493	Black	OldStrata	-1.420237846	1.420237846	534	530	532	0.992509363	Down	DE	1605	1593	0.992523364	1599
MvSl-1064-A1-R4_A1g00175	1	60.48	60.545	4	81.13335	320	Purple	OldStrata	0.199201769	0.199201769	639	840	739.5	0.760714286	NON	NON	2523	1920	1.3140625	2221.5
MvSl-1064-A1-R4_A1g00184	1.058823529	63.635	63.635	2	124	248	Purple	OldStrata	0.164107121	0.164107121	87	87	87	1	NON	NON	264	264	1	264
MvSl-1064-A1-R4_A1g00185	1.411764706	60.77	60.765	13	82.57695	1073.5	Purple	OldStrata	0.416321973	0.416321973	926	926	926	1	NON	NON	2781	2781	1	2781
MvSl-1064-A1-R4_A1g00186	0.882352941	60.53	59.975	4	124.25	497	Purple	OldStrata	0.055420035	0.055420035	450	450	450	1	NON	NON	1353	1353	1	1353
MvSl-1064-A1-R4_A1g00193	0.411764706	64.675	65.925	7.5	110.0895	823.5	Black	OldStrata	-0.688650635	0.688650635	467	424	445.5	1.101415094	NON	NON	1404	1275	1.101176471	1339.5
MvSl-1064-A1-R4_A1g00194	0.882352941	60.195	61.865	7	112.91665	821	Black	OldStrata	-0.377983628	0.377983628	478	582	530	0.821305842	NON	NON	1437	1749	0.82161235	1593
MvSl-1064-A1-R4_A1g00209	1.176470588	54.425	54.505	2	132.8335	337.5	Black	OldStrata	0.161720777	0.161720777	580	621	600.5	0.933977456	NON	NON	1743	1866	0.934083601	1804.5
MvSl-1064-A1-R4_A1g00210	1.470588235	63.305	63.305	4	105.125	420.5	Black	OldStrata	-0.106996288	0.106996288	252	252	252	1	NON	NON	759	759	1	759
MvSl-1064-A1-R4_A1g00211	1.470588235	59.54	60.025	8	76.5	612	Black	OldStrata	0.185227777	0.185227777	827	827	827	1	NON	NON	2484	2484	1	2484
MvSl-1064-A1-R4_A1g00230	1.058823529	59.205	58.645	4	114.625	458.5	Purple	OldStrata	1.402672746	1.402672746	229	321	275	0.713395639	Up	DE	690	966	0.714285714	828
MvSl-1064-A1-R4_A1g00241	1.058823529	58.885	59.72	1	0	0	Black	OldStrata	0.569678864	0.569678864	346	342	344	1.011695906	NON	NON	1041	1029	1.011661808	1035
MvSl-1064-A1-R4_A1g00242	1.176470588	63.715	62.675	4	84.375	337.5	Black	OldStrata	0.66789462	0.66789462	191	191	191	1	Up	DE	576	576	1	576
MvSl-1064-A1-R4_A1g00245	1.294117647	62.28	60.705	1	72	72	Black	OldStrata	-0.790101844	0.790101844	94	94	94	1	NON	NON	285	285	1	285
MvSl-1064-A1-R4_A1g00246	1.176470588	59.615	59.035	2	171.5	343	Black	OldStrata	1.489921975	1.489921975	344	344	344	1	Up	DE	1035	1035	1	1035
MvSl-1064-A1-R4_A1g00252	0.823529412	56.835	56.125	3.5	68.75	247	Black	OldStrata	-3.1475067	3.1475067	489	742	615.5	1.517382413	Down	DE	1470	2229	1.516326531	1849.5
MvSl-1064-A1-R4_A1g00253	0.823529412	54.825	54.725	7.5	75.20535	561.5	Black	OldStrata	0.23103668	0.23103668	780	778	779	1.002570694	NON	NON	2337	2343	0.997439181	2340
MvSl-1064-A1-R4_A1g00254	0.588235294	60.195	60.62	3	72.83335	218.5	Black	OldStrata	-1.92950017	1.92950017	738	746	742	1.010840108	Down	DE	2217	2241	1.01082544	2229
MvSl-1064-A1-R4_A1g00269	0.823529412	60.99	61.055	4.5	111.425	504	Black	OldStrata	-4.216289271	4.216289271	1021	804	912.5	0.787463271	Down	DE	3066	2415	0.787671233	2740.5
MvSl-1064-A1-R4_A1g00270	0.705882353	61.375	61.285	3	208.5	625.5	Black	OldStrata	-1.168558114	1.168558114	380	380	380	1	Down	DE	1143	1143	1	1143
MvSl-1064-A1-R4_A1g00280	0.470588235	61.885	61.595	9	70	630	Black	OldStrata	0.227539771	0.227539771	1470	1470	1470	1	NON	NON	4413	4413	1	4413
MvSl-1064-A1-R4_A1g00281	0.411764706	60.09	60.905	8.5	73.0625	623	Black	OldStrata	0.0839626	0.0839626	1289	1324	1306.5	0.973564955	NON	NON	3975	3870	1.027131783	3922.5
MvSl-1064-A1-R4_A1g00283	0.529411765	56.47	56.3	4	107.7	425.5	Black	OldStrata	4.449535004	4.449535004	1625	1402	1513.5	1.159058488	Up	DE	4878	4209	1.158945118	4543.5
MvSl-1064-A1-R4_A1g00290	0.705882353	62.005	61.525	4	86.5	346	Black	OldStrata	0.178481473	0.178481473	1078	1078	1078	1	NON	NON	3237	3237	1	3237
MvSl-1064-A1-R4_A1g00292	0.823529412	60.4	61.74	8	90.0625	720.5	Black	OldStrata	-0.906844922	0.906844922	547	547	547	1	Down	DE	1644	1644	1	1644
MvSl-1064-A1-R4_A1g00311	1.352941176	59.39	59.435	9	85.7222	771.5	Black	OldStrata	0.053430623	0.053430623	1497	1499	1498	0.998665777	NON	NON	4500	4494	1.001335113	4497
MvSl-1064-A1-R4_A1g00312	1.352941176	61.98	59.59	1	119	119	Black	OldStrata	-3.601662265	3.601662265	159	185	172	1.163522013	Down	DE	480	558	1.1625	519
MvSl-1064-A1-R4_A1g00316	1.823529412	60.88	59.67	5	106.9375	623	Black	OldStrata	-0.041795945	0.041795945	428	702	565	0.60968661	NON	NON	2109	1287	1.638694639	1698
MvSl-1064-A1-R4_A1g00327	1.235294118	57.855	57.72	4	88.75	355	Black	OldStrata	-0.087017264	0.087017264	215	207	211	1.038647343	NON	NON	648	624	1.038461538	636
MvSl-1064-A1-R4_A1g00328	1	60.985	64.42	2.5	106.625	303.5	Black	OldStrata	-0.093060328	0.093060328	266	175	220.5	1.52	NON	NON	801	528	1.517045455	664.5
MvSl-1064-A1-R4_A1g00349	0.470588235	60.535	61.625	9	102.88905	926	Black	OldStrata	2.448345756	2.448345756	290	270	280	1.074074074	Up	DE	873	813	1.073800738	843
MvSl-1064-A1-R4_A1g00350	0.764705882	60.02	60.165	1.5	113.25	191	Black	OldStrata	0.902069081	0.902069081	824	907	865.5	0.908489526	Up	DE	2475	2724	0.908590308	2599.5
MvSl-1064-A1-R4_A1g00351	0.764705882	59.845	59.855	9	73	657	Black	OldStrata	0.198779887	0.198779887	1299	1300	1299.5	0.999230769	NON	NON	3900	3903	0.99923136	3901.5
MvSl-1064-A1-R4_A1g00352	0.705882353	67.11	66.535	2	68	136	Black	OldStrata	0.141113881	0.141113881	263	252	257.5	1.043650794	NON	NON	792	759	1.043478261	775.5
MvSl-1064-A1-R4_A1g00359	0.882352941	71.55	71.36	8	125.3125	1002.5	Black	OldStrata	-0.246336768	0.246336768	340	340	340	1	NON	NON	1023	1023	1	1023
MvSl-1064-A1-R4_A1g00367	0.294117647	60.235	59.375	4	75.25	301	Red	ColorStrata	-0.553218188	0.553218188	543	543	543	1	NON	NON	1632	1632	1	1632
MvSl-1064-A1-R4_A1g00368	0.235294118	60.89	60.515	3	85.83335	257.5	Red	ColorStrata	-0.043565528	0.043565528	400	400	400	1	NON	NON	1203	1203	1	1203
MvSl-1064-A1-R4_A1g00369	0.294117647	61.305	61.305	5	75.8	379	Red	ColorStrata	-0.086462896	0.086462896	649	649	649	1	NON	NON	1950	1950	1	1950
MvSl-1064-A1-R4_A1g00370	0.235294118	62.175	62.185	5	64.8	324	Red	ColorStrata	0.016211312	0.016211312	672	678	675	0.991150442	NON	NON	2037	2019	1.008915305	2028
MvSl-1064-A1-R4_A1g00371	0.294117647	61.035	61.465	6	90	540	Red	ColorStrata	-0.196176703	0.196176703	1130	1141	1135.5	0.990359334	NON	NON	3393	3426	0.990367776	3409.5
MvSl-1064-A1-R4_A1g00372	0.352941176	62.835	62.635	5	79	395	Red	ColorStrata	0.168740362	0.168740362	877	875	876	1.002285714	NON	NON	2634	2628	1.002283105	2631
MvSl-1064-A1-R4_A1g00373	0.352941176	64.88	64.88	3	100	300	Red	ColorStrata	0.312102415	0.312102415	354	354	354	1	NON	NON	1065	1065	1	1065
MvSl-1064-A1-R4_A1g00374	0.352941176	60.535	60.65	4	71.5	286	Red	ColorStrata	0.129086183	0.129086183	703	703	703	1	NON	NON	2112	2112	1	2112
MvSl-1064-A1-R4_A1g00375	0.352941176	55.47	55.875	1	75	75	Red	ColorStrata	0.058167928	0.058167928	133	138	135.5	0.963768116	NON	NON	417	402	1.037313433	409.5
MvSl-1064-A1-R4_A1g00380	0.352941176	62.325	62.785	2	210.5	421	Red	ColorStrata	-0.537209791	0.537209791	72	72	72	1	NON	NON	219	219	1	219
MvSl-1064-A1-R4_A1g00383	0.352941176	59.915	55.62	1.5	115	151.5	Black	OldStrata	1.958261326	1.958261326	162	171	166.5	0.947368421	Up	DE	489	516	0.947674419	502.5
MvSl-1064-A1-R4_A1g00389	0.176470588	59.93	59.965	4.5	148.6665	732.5	Red	ColorStrata	-0.203418508	0.203418508	385	300	342.5	1.283333333	NON	NON	1158	903	1.282392027	1030.5
MvSl-1064-A1-R4_A1g00390	0.058823529	63.36	63.405	1	281.5	281.5	Red	ColorStrata	-0.022069907	0.022069907	377	377	377	1	NON	NON	1134	1134	1	1134
MvSl-1064-A1-R4_A1g00391	0.058823529	66.325	66.235	5.5	103.65	569.5	Red	ColorStrata	0.070339113	0.070339113	616	588	602	1.047619048	NON	NON	1767	1851	0.954619125	1809
MvSl-1064-A1-R4_A1g00394	0.058823529	65.07	65.07	3	108.333	325	Red	ColorStrata	-0.006944094	0.006944094	114	114	114	1	NON	NON	345	345	1	345
MvSl-1064-A1-R4_A1g00395	0.058823529	60.9	60.9	9	73.2222	659	Red	ColorStrata	-0.269694111	0.269694111	1363	1363	1363	1	NON	NON	4092	4092	1	4092
MvSl-1064-A1-R4_A1g00396	0.058823529	65.93	65.985	5	83.6	418	Red	ColorStrata	-0.169013158	0.169013158	293	293	293	1	NON	NON	882	882	1	882
MvSl-1064-A1-R4_A1g00397	0.058823529	66.665	66.665	3	120.8335	362.5	Red	ColorStrata	-0.117032966	0.117032966	124	124	124	1	NON	NON	375	375	1	375
MvSl-1064-A1-R4_A1g00398	0.058823529	72.715	72.715	4	183.75	735	Red	ColorStrata	-0.147374413	0.147374413	123	123	123	1	NON	NON	372	372	1	372
MvSl-1064-A1-R4_A1g00399	0	71.12	71.12	2	74.5	149	Red	ColorStrata	0.030493513	0.030493513	160	160	160	1	NON	NON	483	483	1	483
MvSl-1064-A1-R4_A1g00400	0.176470588	56.15	56.24	7	91.0714	637.5	Red	ColorStrata	-1.080405595	1.080405595	787	787	787	1	Down	DE	2364	2364	1	2364
MvSl-1064-A1-R4_A1g00401	0.235294118	64.355	64.3	4	93.5	374	Red	ColorStrata	-0.351049332	0.351049332	330	331	330.5	0.996978852	NON	NON	996	993	1.003021148	994.5
MvSl-1064-A1-R4_A1g00402	0.647058824	64.99	65.275	3.5	81.04165	283	Red	ColorStrata	-0.139682704	0.139682704	1560	1530	1545	1.019607843	NON	NON	4593	4683	0.98078155	4638
MvSl-1064-A1-R4_A1g00403	0.705882353	62.56	62.705	7	66.7143	467	Red	ColorStrata	-0.474930026	0.474930026	1342	1342	1342	1	NON	NON	4029	4029	1	4029
MvSl-1064-A1-R4_A1g00404	0.764705882	59.55	59.31	5	70.4	352	Red	ColorStrata	0.367701232	0.367701232	264	266	265	0.992481203	NON	NON	801	795	1.00754717	798
MvSl-1064-A1-R4_A1g00405	0.823529412	63.205	63.355	5	80.2	401	Red	ColorStrata	-0.551722285	0.551722285	548	548	548	1	NON	NON	1647	1647	1	1647
MvSl-1064-A1-R4_A1g00406	0.647058824	63.795	63.795	1	83	83	Red	ColorStrata	0.247766304	0.247766304	179	179	179	1	NON	NON	540	540	1	540
MvSl-1064-A1-R4_A1g00432	0.705882353	67.515	67.515	3	108.167	324.5	Black	OldStrata	-0.146821821	0.146821821	97	97	97	1	NON	NON	294	294	1	294
MvSl-1064-A1-R4_A1g00433	0.647058824	57.54	57.035	3	74.3333	223	Black	OldStrata	-0.345609102	0.345609102	565	565	565	1	NON	NON	1698	1698	1	1698
MvSl-1064-A1-R4_A1g00441	0.588235294	62.39	62.345	7	117.9285	825.5	Purple	OldStrata	-0.202459721	0.202459721	342	342	342	1	NON	NON	1029	1029	1	1029
MvSl-1064-A1-R4_A1g00448	0.941176471	63.13	60.86	7.5	77.5	580	Black	OldStrata	-2.200893457	2.200893457	513	688	600.5	1.341130604	Down	DE	1542	2067	1.340466926	1804.5
MvSl-1064-A1-R4_A1g00478	0.823529412	64.1	64.5	4	84	335	Blue	OldStrata	-0.180090396	0.180090396	753	739	746	1.01894452	NON	NON	2220	2262	0.981432361	2241
MvSl-1064-A1-R4_A1g00481	1.176470588	52.455	54.76	2	57.5	115	Black	OldStrata	1.429781111	1.429781111	182	174	178	1.045977011	Up	DE	549	525	1.045714286	537
MvSl-1064-A1-R4_A1g00495	1.470588235	62.15	61.77	2	111.5	223	Blue	OldStrata	-1.952930588	1.952930588	342	387	364.5	1.131578947	Down	DE	1029	1164	1.131195335	1096.5
MvSl-1064-A1-R4_A1g00503	0.529411765	60.43	60.735	8	78.625	629	Black	OldStrata	0.312841444	0.312841444	651	651	651	1	NON	NON	1956	1956	1	1956
MvSl-1064-A1-R4_A1g00504	0.352941176	56.25	56.455	4	76.5	306	Black	OldStrata	-0.03748053	0.03748053	319	319	319	1	NON	NON	960	960	1	960
MvSl-1064-A1-R4_A1g00505	0.588235294	59.93	60.165	9	110.1125	986.5	Black	OldStrata	-0.144290177	0.144290177	991	945	968	1.048677249	NON	NON	2976	2838	1.048625793	2907
MvSl-1064-A1-R4_A1g00506	0.294117647	62.18	62.465	8	80	640	Black	OldStrata	-0.015811423	0.015811423	463	463	463	1	NON	NON	1392	1392	1	1392
