gida1	a1GC0	a1GC3	gida2	a2GC0	a2GC3	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	GC0diff	GC3diff	DE
MvSl-1064-A1-R4_MC02g03432	59.73	67.29	MvSl-1064-A2-R4_MC02g03708	59.87	67.46	707663	711864	0.808276004	-3.710587015	3.710587015	4.84E-11	2.78E-09	-1.062331232	-2.358483091	1.51836347	1.876302765	Auto	Auto	-0.14	-0.17	Down
MvSl-1064-A1-R4_MC01-1g02347	53.67	52.54	MvSl-1064-A2-R4_MC01g02629	53.67	52.54	1042881	1043799	3.191037745	-3.643653614	3.643653614	6.54E-21	7.77E-19	0.55716287	0.506001378	4.36206763	3.743544657	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00312	57.71	66.25	MvSl-1064-A2-R4_A2g00914	57.89	61.29	1486271	1487768	8.489494858	-3.601662265	3.601662265	1.65E-35	3.71E-33	5.878926465	5.665462493	9.613607804	9.090179052	Black	OldStrata	-0.18	4.96	Down
MvSl-1064-A1-R4_A1g00997	56.97	57.87	MvSl-1064-A2-R4_A2g01153	57.21	57.45	1970332	1974462	5.93035825	-3.509378289	3.509378289	8.24E-55	4.40E-52	3.405047503	3.215539058	6.86357204	6.754713857	Blue	OldStrata	-0.24	0.42	Down
MvSl-1064-A1-R4_MC12g10810	51.11	64.44	MvSl-1064-A2-R4_MC12g11073	51.11	64.44	173282	175019	4.707687888	-3.479844036	3.479844036	4.31E-26	6.57E-24	1.577139689	2.536610575	5.466525729	5.697705308	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC02g04225	45.28	45.28	MvSl-1064-A2-R4_MC02g04503	45.28	45.28	2520294	2521314	0.836466433	-3.336924952	3.336924952	3.19E-10	1.65E-08	-0.926535427	-1.789683465	1.808377949	1.590792253	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC05-3g06747	52.81	53.73	MvSl-1064-A2-R4_MC05g07011	52.81	53.73	664553	665083	3.751364789	-3.253641177	3.253641177	2.92E-23	3.67E-21	1.355249339	1.45389196	4.427673268	4.776204515	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00252	53.47	60.2	MvSl-1064-A2-R4_A2g01311	53.84	58.41	2519820	2520678	1.456748042	-3.1475067	3.1475067	5.20E-12	3.32E-10	-0.688158539	-0.585987386	2.394101906	2.220362169	Black	OldStrata	-0.37	1.79	Down
MvSl-1064-A1-R4_A1g00977	52.22	58.89	MvSl-1064-A2-R4_A2g01566	53.2	60.6	3035765	3037588	5.585095293	-3.065033979	3.065033979	1.93E-41	5.89E-39	3.372499016	3.368172614	6.35862651	6.486066692	Black	OldStrata	-0.98	-1.71	Down
MvSl-1064-A1-R4_A1g00628	52.92	54.8	MvSl-1064-A2-R4_A2g01139	52.16	53.45	1872072	1874749	6.566260623	-3.018808589	3.018808589	1.17E-37	3.11E-35	4.241175309	4.517697719	7.61171613	7.149643951	Black	OldStrata	0.76	1.35	Down
MvSl-1064-A1-R4_MC06g06947	50.33	60.78	MvSl-1064-A2-R4_MC06-1g07210	50.33	60.78	232660	235326	6.326569699	-2.990309692	2.990309692	1.64E-40	4.68E-38	4.294269463	4.040129559	6.969551142	7.321995791	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g06945	55.7	64.39	MvSl-1064-A2-R4_MC06-1g07208	55.7	64.39	229052	230768	10.00610865	-2.948332512	2.948332512	6.00E-15	5.03E-13	8.168153537	7.526216356	10.51072748	11.09197724	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g01493	56.44	61.91	MvSl-1064-A2-R4_A2g01806	56.44	61.91	3342886	3345193	0.143937876	-2.930023968	2.930023968	1.67E-06	5.15E-05	-0.926535427	-2.757536787	0.715598022	1.165494325	bPAR	bPAR	0	0	Down
MvSl-1064-A1-R4_A1g00081	53.48	62.09	MvSl-1064-A2-R4_A2g00081	53.39	62.09	186136	186867	5.666856495	-2.764413249	2.764413249	2.80E-28	4.52E-26	3.896655408	3.506191765	6.231726911	6.674746223	Black	OldStrata	0.09	0	Down
MvSl-1064-A1-R4_MC10-1g09820	55.35	64.15	MvSl-1064-A2-R4_MC10g10087	55.35	64.15	292132	298154	1.368689677	-2.726059901	2.726059901	1.59E-09	7.26E-08	-0.688158539	-0.149133665	2.104256913	2.237268772	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00016	57.74	57.14	MvSl-1064-A2-R4_A2g00016	57.74	57.14	31867	32715	1.823444182	-2.671972801	2.671972801	1.24E-09	5.82E-08	-0.483640272	0.457320064	2.683885317	2.5530178	bPAR	bPAR	0	0	Down
MvSl-1064-A1-R4_MC02g03451	61.57	69.44	MvSl-1064-A2-R4_MC02g03729	61.57	69.44	723169	723507	0.554277049	-2.668968539	2.668968539	2.35E-07	8.44E-06	-0.802429189	-1.382795818	1.154994962	1.509620584	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g06946	55.45	66.34	MvSl-1064-A2-R4_MC06-1g07209	55.45	66.34	230960	231869	7.017319242	-2.605561205	2.605561205	3.62E-36	8.85E-34	5.297511986	5.086606874	7.677245303	7.910119029	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC05-2g06420	55.05	59.16	MvSl-1064-A2-R4_MC05g06694	55.05	59.16	265218	269867	2.934544065	-2.531381084	2.531381084	5.45E-12	3.43E-10	0.887114917	1.50268715	3.56000446	3.846297711	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC02g04185	52.71	55.89	MvSl-1064-A2-R4_MC02g04463	52.71	55.89	2419609	2421508	5.141434231	-2.522903041	2.522903041	1.19E-24	1.62E-22	3.263116288	3.524029592	5.837589416	5.982252214	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC05-3g06523	53.12	56.25	MvSl-1064-A2-R4_MC05g06786	53.12	56.25	343243	346503	0.088810483	-2.427079998	2.427079998	2.29E-05	0.000593338	-0.802429189	-2.046230976	0.619046564	1.016762309	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00015	53.59	57.65	MvSl-1064-A2-R4_A2g00015	53.59	57.65	31145	31816	4.728011616	-2.421298156	2.421298156	1.59E-15	1.42E-13	2.609544687	3.426239624	5.587874592	5.369976294	bPAR	bPAR	0	0	Down
MvSl-1064-A1-R4_MC04-1g06073	56.58	66.08	MvSl-1064-A2-R4_MC04-2g06355	56.58	66.08	1915530	1916180	6.69975206	-2.404658963	2.404658963	4.11E-32	8.37E-30	5.187677403	4.896571138	7.374011392	7.523661897	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC08g08318	56.58	70.75	MvSl-1064-A2-R4_MC08-1g08583	56.58	70.75	170007	171453	2.156293226	-2.383547533	2.383547533	2.18E-09	9.69E-08	0.811428787	0.354733747	2.719248522	3.079020474	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC02g03508	57.14	63.64	MvSl-1064-A2-R4_MC02g03786	57.14	63.64	829013	830241	1.940432268	-2.300600211	2.300600211	5.95E-08	2.27E-06	0.68989019	0.185727546	2.935145994	2.365830005	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00448	57	69.26	MvSl-1064-A2-R4_A2g01642	56.41	65.31	3110528	3114459	6.769288689	-2.200893457	2.200893457	1.52E-25	2.25E-23	5.418827812	5.143487511	7.650779306	7.299533825	Black	OldStrata	0.59	3.95	Down
MvSl-1064-A1-R4_A1g01261	59.61	66.62	MvSl-1064-A2-R4_A2g01419	59.41	66.51	2598714	2598931	9.095566891	-2.188677548	2.188677548	2.80E-12	1.88E-10	7.93867708	7.214132059	9.845326344	9.77286924	Orange	ColorStrata	0.2	0.11	Down
MvSl-1064-A1-R4_MC07g08233	55.07	60.56	MvSl-1064-A2-R4_MC07g08498	55.07	60.56	1687994	1691309	4.281706355	-2.188232416	2.188232416	2.05E-15	1.77E-13	2.883464683	2.763784734	4.900425373	5.089526489	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC02g04217	54.14	56.73	MvSl-1064-A2-R4_MC02g04495	54.14	56.73	2500661	2500881	4.585960727	-2.060362229	2.060362229	1.12E-15	1.03E-13	3.175268029	3.279943544	5.249872464	5.305308774	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g07079	57.95	68.18	MvSl-1064-A2-R4_MC06-2g07344	57.95	68.18	595535	600785	1.669252126	-1.993922013	1.993922013	7.75E-07	2.53E-05	0.358758952	0.506001378	2.303805867	2.396256758	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g07412	56.28	67.84	MvSl-1064-A2-R4_MC06-2g07677	56.28	67.84	1433455	1433734	1.912479392	-1.99287112	1.99287112	3.48E-07	1.21E-05	0.602775612	0.727447653	2.719248522	2.455250276	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g06944	56.72	58.58	MvSl-1064-A2-R4_MC06-1g07207	56.72	58.58	222330	228153	2.050573878	-1.980106975	1.980106975	3.45E-06	0.000100751	1.027525212	0.553093501	2.288191394	3.069611614	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00495	60.74	63.56	MvSl-1064-A2-R4_A2g01715	59.36	64.18	3171155	3174630	6.456170652	-1.952930588	1.952930588	1.30E-23	1.65E-21	5.143992398	5.205598012	7.083055154	7.166291679	Blue	OldStrata	1.38	-0.62	Down
MvSl-1064-A1-R4_MC02g03360	50.88	57.83	MvSl-1064-A2-R4_MC02g03640	50.88	57.83	501565	509249	3.032534274	-1.932556102	1.932556102	2.68E-08	1.07E-06	2.058435178	1.47849584	3.782493815	3.613614841	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00254	56.25	64.14	MvSl-1064-A2-R4_A2g00300	56.45	64.79	651956	657345	4.805555172	-1.92950017	1.92950017	2.21E-12	1.51E-10	3.782372513	3.272927838	5.291583489	5.630506344	Black	OldStrata	-0.2	-0.65	Down
MvSl-1064-A1-R4_A1g01212	58.11	72.37	MvSl-1064-A2-R4_A2g00841	58.09	75.32	1300472	1304579	3.681776849	-1.916759575	1.916759575	3.57E-07	1.23E-05	2.379931553	2.512986091	3.708169298	4.787726912	Black	OldStrata	0.02	-2.95	Down
MvSl-1064-A1-R4_MC02g03392	49.98	52.28	MvSl-1064-A2-R4_MC02g03672	49.98	52.28	576424	584158	3.078369971	-1.90387515	1.90387515	2.23E-08	8.90E-07	2.106727046	1.572918467	3.731448875	3.749449262	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC10-2g10078	51.75	56.84	MvSl-1064-A2-R4_MC10g10342	51.75	56.84	617264	621090	5.805485191	-1.900034164	1.900034164	8.15E-19	8.61E-17	4.551423418	4.584388514	6.549179748	6.373006493	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC03g05082	55.56	64.37	MvSl-1064-A2-R4_MC03g05359	55.56	64.37	2015028	2016811	2.793279695	-1.887609074	1.887609074	2.29E-07	8.28E-06	1.884682455	1.240316199	3.327712534	3.567567658	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02837	56.08	51.76	MvSl-1064-A2-R4_MC01g03119	56.08	51.76	2239253	2239736	3.730794518	-1.876848734	1.876848734	1.75E-09	7.93E-08	2.326557468	2.702444378	4.204624864	4.547935962	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC03g04879	58.3	67.54	MvSl-1064-A2-R4_MC03g05157	58.3	67.54	1511301	1512245	4.267983526	-1.84868273	1.84868273	5.17E-12	3.32E-10	3.081721694	3.077404797	4.892702087	4.940064447	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02861	51.25	57.76	MvSl-1064-A2-R4_MC01g03143	51.25	57.76	2306805	2311302	5.213690471	-1.842429842	1.842429842	1.66E-15	1.46E-13	4.06498644	3.981087503	5.756222898	5.956959635	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00594	55.2	57.69	MvSl-1064-A2-R4_A2g00575	54.2	55.84	1098507	1099824	5.062947197	-1.835910271	1.835910271	7.11E-13	5.02E-11	4.101193311	3.61560977	5.788490022	5.622485418	Black	OldStrata	1	1.85	Down
MvSl-1064-A1-R4_MC11g10730	54.09	64.38	MvSl-1064-A2-R4_MC11g10995	54.09	64.38	1404174	1407908	2.351630764	-1.806977046	1.806977046	3.56E-06	0.00010337	1.577139689	0.767931887	2.984424626	3.001973294	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC15g12082	59.37	61.43	MvSl-1064-A2-R4_MC15g12331	59.37	61.43	173809	175626	1.710736431	-1.788336519	1.788336519	1.14E-05	0.000309742	0.602775612	0.642902881	2.546257243	2.114537831	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02082	53.71	56.43	MvSl-1064-A2-R4_MC01g02363	53.71	56.43	484788	486625	7.161669708	-1.782062892	1.782062892	3.01E-14	2.38E-12	6.01061104	6.01573593	8.072014024	7.44852375	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC14g11980	52.63	51.97	MvSl-1064-A2-R4_MC14g12241	52.63	51.97	572936	573493	2.22956456	-1.769421928	1.769421928	2.86E-06	8.53E-05	1.185763506	1.088755239	2.622949391	3.069611614	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC03g05235	54.4	62.4	MvSl-1064-A2-R4_MC03g05512	54.4	62.4	2384276	2386106	6.150510706	-1.764312444	1.764312444	8.62E-08	3.20E-06	4.5220475	5.385489933	7.175602574	6.229354576	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC03g04807	51.21	59.42	MvSl-1064-A2-R4_MC03g05085	51.21	59.42	1345764	1346051	4.290409262	-1.761008869	1.761008869	1.04E-08	4.35E-07	2.826929886	3.445087292	5.121388196	4.683641468	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00972	56.66	60.05	MvSl-1064-A2-R4_A2g01289	56.83	60.05	2516666	2518918	6.202889736	-1.734381671	1.734381671	1.81E-15	1.58E-13	5.082938239	5.102523392	7.033577842	6.579351014	Black	OldStrata	-0.17	0	Down
MvSl-1064-A1-R4_MC04-1g05279	53.23	59.68	MvSl-1064-A2-R4_MC04-1g05556	53.23	59.68	14662	15523	0.581156142	-1.7146887	1.7146887	0.000703332	0.013128358	-0.001809461	-0.930066676	1.407108642	0.936220853	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02852	52.86	56.3	MvSl-1064-A2-R4_MC01g03134	52.86	56.3	2277804	2277986	4.592848345	-1.693855885	1.693855885	2.80E-11	1.64E-09	3.449415905	3.587610434	5.239760957	5.170975265	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC09-2g09232	57.87	71.49	MvSl-1064-A2-R4_MC09g09507	57.87	71.49	771106	771513	4.495481705	-1.679549321	1.679549321	8.69E-09	3.64E-07	3.175268029	3.653917778	4.82938061	5.337024857	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02839	57.64	67.67	MvSl-1064-A2-R4_MC01g03121	57.64	67.67	2241972	2244590	4.726355299	-1.671422591	1.671422591	2.22E-09	9.82E-08	3.901226228	3.394269121	5.11254942	5.526029806	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00014	52.44	61.33	MvSl-1064-A2-R4_A2g00014	52.44	61.33	27672	29826	3.986166643	-1.647743756	1.647743756	4.11E-07	1.40E-05	2.493258973	3.300788254	4.693735746	4.474975314	bPAR	bPAR	0	0	Down
MvSl-1064-A1-R4_A1g00079	54.4	62.49	MvSl-1064-A2-R4_A2g00079	54.4	62.49	179366	179827	5.694014129	-1.646693649	1.646693649	7.76E-10	3.79E-08	4.856897194	4.413095053	5.91206624	6.597469001	bPAR	bPAR	0	0	Down
MvSl-1064-A1-R4_MC01-2g02971	59.11	67.97	MvSl-1064-A2-R4_MC01g03253	59.11	67.97	2553752	2554384	2.638559373	-1.624207692	1.624207692	1.22E-05	0.000328081	1.956713479	1.240316199	3.166255211	3.304311598	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02161	57.67	69.23	MvSl-1064-A2-R4_MC01g02442	57.67	69.23	604276	606975	3.116312176	-1.612389211	1.612389211	4.01E-05	0.000997114	1.482707068	2.559854427	3.895012163	3.499126886	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC12g11273	54.53	63.09	MvSl-1064-A2-R4_MC12g11536	54.53	63.09	1325547	1330139	7.668898456	-1.606021691	1.606021691	1.42E-14	1.16E-12	6.712623335	6.593276345	8.252573007	8.265986475	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC11g10688	58.91	62.79	MvSl-1064-A2-R4_MC11g10952	58.91	62.79	1293047	1293321	0.666542812	-1.582352777	1.582352777	0.000807215	0.014682726	-0.304547654	-0.149133665	1.010226695	1.452852467	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC03g04474	48.04	55.88	MvSl-1064-A2-R4_MC03g04752	48.04	55.88	530465	533423	0.820213933	-1.570200753	1.570200753	0.001249242	0.021232144	0.358758952	-0.691817343	1.544886476	1.234479489	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC07g07984	58.72	68.11	MvSl-1064-A2-R4_MC07g08249	58.72	68.11	1072860	1073318	1.185389112	-1.570091356	1.570091356	0.000483808	0.009443087	0.461368868	0.060947975	1.407108642	2.058564827	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02005	59.47	70	MvSl-1064-A2-R4_MC01g02286	59.47	70	379911	381720	5.257499538	-1.562530536	1.562530536	7.14E-12	4.42E-10	4.2838058	4.275954699	5.727565659	5.940278434	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC10-1g09785	53.79	59.55	MvSl-1064-A2-R4_MC10g10052	53.79	59.55	253166	256550	2.168565211	-1.544787561	1.544787561	0.003026542	0.04438063	1.272993863	1.211251072	1.596513013	3.382384109	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC11g10303	48.97	45.68	MvSl-1064-A2-R4_MC11g10564	48.97	45.68	314171	315245	3.544673804	-1.538649848	1.538649848	8.50E-07	2.74E-05	2.747929692	2.427114009	4.257701781	3.967766538	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC03g04929	62.5	75.15	MvSl-1064-A2-R4_MC03g05207	62.5	75.15	1648424	1649875	3.559898973	-1.536562786	1.536562786	2.95E-07	1.04E-05	2.664351658	2.559854427	4.187892716	4.079797675	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC09-2g09215	58.15	63.59	MvSl-1064-A2-R4_MC09g09490	58.15	63.59	727387	730261	7.609934619	-1.518359073	1.518359073	1.30E-09	6.07E-08	6.532842441	6.778055293	8.464949013	7.819705119	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC01-1g02899	57.96	69.6	MvSl-1064-A2-R4_MC01g03180	57.96	69.6	2407407	2407795	2.452834537	-1.512868526	1.512868526	2.63E-05	0.000665917	1.749267358	1.296746649	2.984424626	3.060140989	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00646	57.68	62.55	MvSl-1064-A2-R4_A2g01534	57.63	62.7	2916000	2917527	8.061495384	-1.506373241	1.506373241	1.16E-09	5.46E-08	6.997793444	7.234137364	8.839052054	8.377183037	Black	OldStrata	0.05	-0.15	Down
MvSl-1064-A1-R4_MC01-1g02724	56.41	64.84	MvSl-1064-A2-R4_MC01g03006	56.41	64.84	1942767	1945079	0.911793129	-1.496333291	1.496333291	0.000789035	0.014444245	-0.145252181	0.244290534	1.49134371	1.452852467	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00853	57.58	64.38	MvSl-1064-A2-R4_A2g01112	57.06	64.18	1834558	1837865	6.990703053	-1.487301401	1.487301401	2.69E-15	2.30E-13	6.047159869	6.082461412	7.576395002	7.524953348	Purple	OldStrata	0.52	0.2	Down
MvSl-1064-A1-R4_MC02g04246	51.24	53.71	MvSl-1064-A2-R4_MC02g04524	51.24	53.71	10734	11302	1.786634436	-1.470663338	1.470663338	0.000229933	0.004725225	0.772042712	1.056434228	2.121981614	2.539450147	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g07081	59.86	66.36	MvSl-1064-A2-R4_MC06-2g07346	59.86	66.36	612733	619013	4.333613719	-1.461367666	1.461367666	3.24E-08	1.28E-06	3.522438726	3.341595345	4.930911581	4.843997649	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC05-2g06485	52.87	55.81	MvSl-1064-A2-R4_MC05g06759	52.87	55.81	324269	326695	3.968869859	-1.429571067	1.429571067	1.34E-06	4.20E-05	3.21986071	2.960005743	4.301136466	4.702026469	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC06g07136	56.95	64.36	MvSl-1064-A2-R4_MC06-2g07401	56.95	64.36	747469	748345	7.165061002	-1.428404869	1.428404869	8.59E-13	6.02E-11	6.314633037	6.249023184	7.582408921	7.826354569	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_MC07g08097	58.96	71.33	MvSl-1064-A2-R4_MC07g08362	58.96	71.33	1356317	1358239	4.420988349	-1.422474269	1.422474269	3.57E-07	1.23E-05	3.711272357	3.368172614	4.75181192	5.151040089	Auto	Auto	0	0	Down
MvSl-1064-A1-R4_A1g00168	58.01	61.68	MvSl-1064-A2-R4_A2g00313	58.69	63.09	718774	719371	3.593941903	-1.420237846	1.420237846	8.84E-05	0.002041729	3.081721694	2.266854998	3.793595981	4.41679926	Black	OldStrata	-0.68	-1.41	Down
MvSl-1064-A1-R4_A1g00635	51.78	53.9	MvSl-1064-A2-R4_A2g00615	51.99	54.69	1119790	1125248	4.330083151	-1.412656761	1.412656761	5.32E-05	0.001272819	3.919366053	2.803275682	4.699649704	5.025272808	Black	OldStrata	-0.21	-0.79	Down
MvSl-1064-A1-R4_MC06g06972	53.77	55.95	MvSl-1064-A2-R4_MC06-1g07235	53.77	55.95	305280	309649	3.661888815	-1.410101842	1.410101842	2.82E-06	8.43E-05	2.737743416	2.869885889	4.03256459	4.356178349	Auto	Auto	0	0	Down
