gid	ratioprot	intronnrdiff	intronmeandiff	introntotaldiff	diffGC3	totalTE	dn	ds	Part8	youngold	logFC.A1.A2	abs	DE	DE2
MvSl-1064-A1-R4_A1g00056	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.137229584	0.137229584	NON	NON
MvSl-1064-A1-R4_A1g00057	1	0	0	0	0	0	0	0	bPAR	bPAR	0.055084542	0.055084542	NON	NON
MvSl-1064-A1-R4_A1g00058	1	0	0	0	0	0	NA	NA	bPAR	bPAR	-0.954050108	0.954050108	NON	NON
MvSl-1064-A1-R4_A1g00059	1	0	0	0	0	0	NA	NA	bPAR	bPAR	0.002038336	0.002038336	NON	NON
MvSl-1064-A1-R4_A1g00060	1	0	0	0	0	0	NA	NA	bPAR	bPAR	-0.148656286	0.148656286	NON	NON
MvSl-1064-A1-R4_A1g00061	1	0	0.333	1	0	0	0	0	bPAR	bPAR	-0.161410321	0.161410321	NON	NON
MvSl-1064-A1-R4_A1g00062	1	0	0	0	0	0	0	0	bPAR	bPAR	0.158931977	0.158931977	NON	NON
MvSl-1064-A1-R4_A1g00063	1	0	0.333	1	0	0	0	0	bPAR	bPAR	-0.061888586	0.061888586	NON	NON
MvSl-1064-A1-R4_A1g00064	1	0	0	0	0	0	0	0	bPAR	bPAR	0.176179425	0.176179425	NON	NON
MvSl-1064-A1-R4_A1g00065	1	0	0.1	1	0	0	0	0	bPAR	bPAR	-0.25401122	0.25401122	NON	NON
MvSl-1064-A1-R4_A1g00066	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.017148952	0.017148952	NON	NON
MvSl-1064-A1-R4_A1g00067	1	0	0	0	0	0	0	0	bPAR	bPAR	0.22606909	0.22606909	NON	NON
MvSl-1064-A1-R4_A1g00068	1	0	0	0	0	0	0	0	bPAR	bPAR	0.417722847	0.417722847	NON	NON
MvSl-1064-A1-R4_A1g00069	1	0	0	0	0	0	0	0	bPAR	bPAR	0.262994688	0.262994688	NON	NON
MvSl-1064-A1-R4_A1g00070	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.335137523	0.335137523	NON	NON
MvSl-1064-A1-R4_A1g00071	1	0	0	0	0	0	NA	NA	bPAR	bPAR	-0.507412605	0.507412605	NON	NON
MvSl-1064-A1-R4_A1g00072	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.10139453	0.10139453	NON	NON
MvSl-1064-A1-R4_A1g00073	1	0	0	0	0	0	0	0	bPAR	bPAR	0.811477637	0.811477637	Up	DE
MvSl-1064-A1-R4_A1g00074	1	0	0	0	0	0	0	0	bPAR	bPAR	-0.556269443	0.556269443	NON	NON
MvSl-1064-A1-R4_A1g00076	1	0	0	0	0	0	0	0	bPAR	bPAR	0.045865339	0.045865339	NON	NON
MvSl-1064-A1-R4_A1g00077	1	0	0	0	0.22	1	0.0088	0.0036	bPAR	bPAR	-0.046850616	0.046850616	NON	NON
MvSl-1064-A1-R4_A1g00078	1	0	0	0	0	1	0	0	bPAR	bPAR	-0.993002656	0.993002656	Down	DE
MvSl-1064-A1-R4_A1g00079	1	0	0.1	1	0	2	0	0	bPAR	bPAR	-1.646693649	1.646693649	Down	DE
MvSl-1064-A1-R4_A1g00080	1	0	0	0	0	2	0	0.0061	bPAR	bPAR	-1.367630539	1.367630539	Down	DE
MvSl-1064-A1-R4_A1g00081	1	0	0.25	2	0	2	NA	NA	Black	OldStrata	-2.764413249	2.764413249	Down	DE
MvSl-1064-A1-R4_A1g00106	1	0	9.3333	28	0.44	1	NA	NA	Black	OldStrata	1.297354832	1.297354832	Up	DE
MvSl-1064-A1-R4_A1g00108	1	0	0	0	0	0.5	NA	NA	Black	OldStrata	-0.31807729	0.31807729	NON	NON
MvSl-1064-A1-R4_A1g00109	0.983193277	0	0	0	0.67	0.5	0.0047	0	Green	ColorStrata	-0.144342568	0.144342568	NON	NON
MvSl-1064-A1-R4_A1g00110	1	0	0	0	0.12	0.5	0.0013	0.0011	Green	ColorStrata	0.241287933	0.241287933	NON	NON
MvSl-1064-A1-R4_A1g00113	1	0	0	0	0.11	0	0.0078	0.0015	Green	ColorStrata	-0.075035752	0.075035752	NON	NON
MvSl-1064-A1-R4_A1g00118	0.987124464	0	10.5	21	0.38	5.5	NA	NA	Black	OldStrata	1.366976139	1.366976139	Up	DE
MvSl-1064-A1-R4_A1g00120	0.951526032	0	15	105	1.81	6.5	NA	NA	Black	OldStrata	0.688411074	0.688411074	NON	NON
MvSl-1064-A1-R4_A1g00144	1.01910828	0	7	21	0.76	11.5	0.0496	0.0236	Black	OldStrata	-0.412659961	0.412659961	NON	NON
MvSl-1064-A1-R4_A1g00153	1.025392084	1	0.9667	82	0.58	5.5	0.0341	0.0117	Black	OldStrata	-0.269881931	0.269881931	NON	NON
MvSl-1064-A1-R4_A1g00154	1	0	3	3	0.45	4.5	0.0425	0.013	Black	OldStrata	-0.909654782	0.909654782	Down	DE
MvSl-1064-A1-R4_A1g00155	1	0	0	0	0.39	3	0.0419	0.0169	Black	OldStrata	0.426648292	0.426648292	NON	NON
MvSl-1064-A1-R4_A1g00165	1.016872891	0	2.5	15	0.32	3	0.0382	0.0139	Black	OldStrata	-0.801032568	0.801032568	Down	DE
MvSl-1064-A1-R4_A1g00168	0.992509363	2	15.25	124	1.41	7	NA	NA	Black	OldStrata	-1.420237846	1.420237846	Down	DE
MvSl-1064-A1-R4_A1g00175	0.760714286	2	9.0667	126	0.34	8.5	0.1432	0.0538	Purple	OldStrata	0.199201769	0.199201769	NON	NON
MvSl-1064-A1-R4_A1g00184	1	0	1	2	0	9	0	0	Purple	OldStrata	0.164107121	0.164107121	NON	NON
MvSl-1064-A1-R4_A1g00185	1	0	0.6923	9	0.1	12	0.0201	0.0126	Purple	OldStrata	0.416321973	0.416321973	NON	NON
MvSl-1064-A1-R4_A1g00186	1	0	0	0	0.67	7.5	0.0314	0.0087	Purple	OldStrata	0.055420035	0.055420035	NON	NON
MvSl-1064-A1-R4_A1g00193	1.101415094	1	8.679	45	2.28	4	0.0891	0.0318	Black	OldStrata	-0.688650635	0.688650635	NON	NON
MvSl-1064-A1-R4_A1g00194	0.821305842	2	61.1667	654	1.62	9.5	NA	NA	Black	OldStrata	-0.377983628	0.377983628	NON	NON
MvSl-1064-A1-R4_A1g00209	0.933977456	2	143.667	553	0.23	10	NA	NA	Black	OldStrata	0.161720777	0.161720777	NON	NON
MvSl-1064-A1-R4_A1g00210	1	0	0.25	1	0	12.5	NA	NA	Black	OldStrata	-0.106996288	0.106996288	NON	NON
MvSl-1064-A1-R4_A1g00211	1	0	0	0	0.61	12.5	0.0131	0.0051	Black	OldStrata	0.185227777	0.185227777	NON	NON
MvSl-1064-A1-R4_A1g00230	0.713395639	0	8.75	35	0.56	9	0.1111	0.0678	Purple	OldStrata	1.402672746	1.402672746	Up	DE
MvSl-1064-A1-R4_A1g00241	1.011695906	0	0	0	0.96	9	0.0283	0.0152	Black	OldStrata	0.569678864	0.569678864	NON	NON
MvSl-1064-A1-R4_A1g00242	1	0	0.25	1	1.56	10	0.045	0.0092	Black	OldStrata	0.66789462	0.66789462	Up	DE
MvSl-1064-A1-R4_A1g00245	1	0	0	0	2.1	11	0.0584	0.0105	Black	OldStrata	-0.790101844	0.790101844	NON	NON
MvSl-1064-A1-R4_A1g00246	1	0	3	6	0.87	10	0.0169	0.0055	Black	OldStrata	1.489921975	1.489921975	Up	DE
MvSl-1064-A1-R4_A1g00252	1.517382413	3	8.5	236	1.79	7	NA	NA	Black	OldStrata	-3.1475067	3.1475067	Down	DE
MvSl-1064-A1-R4_A1g00253	1.002570694	1	10.1607	1	0.01	7	NA	NA	Black	OldStrata	0.23103668	0.23103668	NON	NON
MvSl-1064-A1-R4_A1g00254	1.010840108	0	0.3333	1	0.65	5	0.0346	0.0147	Black	OldStrata	-1.92950017	1.92950017	Down	DE
MvSl-1064-A1-R4_A1g00269	0.787463271	1	10.35	158	0.14	7	0.0492	0.0256	Black	OldStrata	-4.216289271	4.216289271	Down	DE
MvSl-1064-A1-R4_A1g00270	1	0	1	3	0	6	0.0439	0.0137	Black	OldStrata	-1.168558114	1.168558114	Down	DE
MvSl-1064-A1-R4_A1g00280	1	0	0	0	0.47	4	0.0321	0.011	Black	OldStrata	0.227539771	0.227539771	NON	NON
MvSl-1064-A1-R4_A1g00281	0.973564955	1	7.875	140	1.4	3.5	0.0484	0.0208	Black	OldStrata	0.0839626	0.0839626	NON	NON
MvSl-1064-A1-R4_A1g00283	1.159058488	2	10.6	173	0.69	5.5	NA	NA	Black	OldStrata	4.449535004	4.449535004	Up	DE
MvSl-1064-A1-R4_A1g00290	1	0	0.5	2	0.74	6	0.0292	0.0116	Black	OldStrata	0.178481473	0.178481473	NON	NON
MvSl-1064-A1-R4_A1g00292	1	0	0.125	1	2.19	7	0.0373	0.0148	Black	OldStrata	-0.906844922	0.906844922	Down	DE
MvSl-1064-A1-R4_A1g00311	0.998665777	0	0.7778	7	0.06	11.5	0.0248	0.0139	Black	OldStrata	0.053430623	0.053430623	NON	NON
MvSl-1064-A1-R4_A1g00312	1.163522013	0	2	2	4.96	11.5	0.0263	0.0377	Black	OldStrata	-3.601662265	3.601662265	Down	DE
MvSl-1064-A1-R4_A1g00316	0.60968661	6	58.875	936	1.34	20	NA	NA	Black	OldStrata	-0.041795945	0.041795945	NON	NON
MvSl-1064-A1-R4_A1g00327	1.038647343	0	6	24	0.39	10.5	0.0284	0.0278	Black	OldStrata	-0.087017264	0.087017264	NON	NON
MvSl-1064-A1-R4_A1g00328	1.52	3	49.25	443	7.18	8.5	0.2594	0.2396	Black	OldStrata	-0.093060328	0.093060328	NON	NON
MvSl-1064-A1-R4_A1g00349	1.074074074	0	11.5559	104	1.87	4	0.1173	0.0516	Black	OldStrata	2.448345756	2.448345756	Up	DE
MvSl-1064-A1-R4_A1g00350	0.908489526	1	84.5	240	0.2	6.5	0.0239	0.0239	Black	OldStrata	0.902069081	0.902069081	Up	DE
MvSl-1064-A1-R4_A1g00351	0.999230769	0	4.2222	38	0.2	6.5	0.0301	0.0195	Black	OldStrata	0.198779887	0.198779887	NON	NON
MvSl-1064-A1-R4_A1g00352	1.043650794	0	16	32	0.68	6	0.0415	0.0034	Black	OldStrata	0.141113881	0.141113881	NON	NON
MvSl-1064-A1-R4_A1g00359	1	0	0.125	1	0.29	7.5	0.0442	0.0059	Black	OldStrata	-0.246336768	0.246336768	NON	NON
MvSl-1064-A1-R4_A1g00367	1	0	0	0	1.66	2.5	0.047	0.0336	Red	ColorStrata	-0.553218188	0.553218188	NON	NON
MvSl-1064-A1-R4_A1g00368	1	0	0.3333	1	0.5	2	0.0059	0.0012	Red	ColorStrata	-0.043565528	0.043565528	NON	NON
MvSl-1064-A1-R4_A1g00369	1	0	0	0	0	2.5	0.0037	0.0007	Red	ColorStrata	-0.086462896	0.086462896	NON	NON
MvSl-1064-A1-R4_A1g00370	0.991150442	0	0	0	0.01	2	NA	NA	Red	ColorStrata	0.016211312	0.016211312	NON	NON
MvSl-1064-A1-R4_A1g00371	0.990359334	0	2.6666	16	0.62	2.5	0.0051	0	Red	ColorStrata	-0.196176703	0.196176703	NON	NON
MvSl-1064-A1-R4_A1g00372	1.002285714	0	0	0	0.3	3	0.0036	0.0034	Red	ColorStrata	0.168740362	0.168740362	NON	NON
MvSl-1064-A1-R4_A1g00373	1	0	0	0	0	3	0	0	Red	ColorStrata	0.312102415	0.312102415	NON	NON
MvSl-1064-A1-R4_A1g00374	1	0	0	0	0.14	3	0.0018	0.0006	Red	ColorStrata	0.129086183	0.129086183	NON	NON
MvSl-1064-A1-R4_A1g00375	0.963768116	0	0	0	0.81	3	NA	NA	Red	ColorStrata	0.058167928	0.058167928	NON	NON
MvSl-1064-A1-R4_A1g00380	1	0	0	0	1.37	3	0.0218	0.0119	Red	ColorStrata	-0.537209791	0.537209791	NON	NON
MvSl-1064-A1-R4_A1g00383	0.947368421	1	84	11	6.82	3	NA	NA	Black	OldStrata	1.958261326	1.958261326	Up	DE
MvSl-1064-A1-R4_A1g00389	1.283333333	3	84.667	827	0.06	1.5	0.0033	0.0065	Red	ColorStrata	-0.203418508	0.203418508	NON	NON
MvSl-1064-A1-R4_A1g00390	1	0	3	3	0.26	0.5	0.0089	0.0064	Red	ColorStrata	-0.022069907	0.022069907	NON	NON
MvSl-1064-A1-R4_A1g00391	1.047619048	1	2.3	91	0.09	0.5	0.0096	0.0037	Red	ColorStrata	0.070339113	0.070339113	NON	NON
MvSl-1064-A1-R4_A1g00394	1	0	0	0	0	0.5	0	0	Red	ColorStrata	-0.006944094	0.006944094	NON	NON
MvSl-1064-A1-R4_A1g00395	1	0	0	0	0	0.5	0.0018	0.0013	Red	ColorStrata	-0.269694111	0.269694111	NON	NON
MvSl-1064-A1-R4_A1g00396	1	0	0	0	0	0.5	0	0.0015	Red	ColorStrata	-0.169013158	0.169013158	NON	NON
MvSl-1064-A1-R4_A1g00397	1	0	0.333	1	0	0.5	0	0	Red	ColorStrata	-0.117032966	0.117032966	NON	NON
MvSl-1064-A1-R4_A1g00398	1	0	0	0	0	0.5	0	0	Red	ColorStrata	-0.147374413	0.147374413	NON	NON
MvSl-1064-A1-R4_A1g00399	1	0	0	0	0	0	0	0	Red	ColorStrata	0.030493513	0.030493513	NON	NON
MvSl-1064-A1-R4_A1g00400	1	0	0.4286	3	0.26	1.5	0.013	0.0128	Red	ColorStrata	-1.080405595	1.080405595	Down	DE
MvSl-1064-A1-R4_A1g00401	0.996978852	0	0	0	0.1	2	0	0.0028	Red	ColorStrata	-0.351049332	0.351049332	NON	NON
MvSl-1064-A1-R4_A1g00402	1.019607843	1	2.5833	72	0.36	5.5	0.0134	0.0078	Red	ColorStrata	-0.139682704	0.139682704	NON	NON
MvSl-1064-A1-R4_A1g00403	1	0	0	0	0.22	6	0.0048	0	Red	ColorStrata	-0.474930026	0.474930026	NON	NON
MvSl-1064-A1-R4_A1g00404	0.992481203	0	0	0	0.25	6.5	0	0.0033	Red	ColorStrata	0.367701232	0.367701232	NON	NON
MvSl-1064-A1-R4_A1g00405	1	0	0	0	0.18	7	0.0045	0.0025	Red	ColorStrata	-0.551722285	0.551722285	NON	NON
MvSl-1064-A1-R4_A1g00406	1	0	0	0	0	5.5	0	0	Red	ColorStrata	0.247766304	0.247766304	NON	NON
MvSl-1064-A1-R4_A1g00432	1	0	7	21	0	6	0.1985	0	Black	OldStrata	-0.146821821	0.146821821	NON	NON
MvSl-1064-A1-R4_A1g00433	1	0	0	0	0.71	5.5	0.0201	0.029	Black	OldStrata	-0.345609102	0.345609102	NON	NON
MvSl-1064-A1-R4_A1g00441	1	0	0.143	1	0.29	5	0.0341	0.0053	Purple	OldStrata	-0.202459721	0.202459721	NON	NON
MvSl-1064-A1-R4_A1g00448	1.341130604	1	5	40	3.95	8	0.065	0.0409	Black	OldStrata	-2.200893457	2.200893457	Down	DE
MvSl-1064-A1-R4_A1g00478	1.01894452	2	2	160	0.67	7	0.0954	0.0443	Blue	OldStrata	-0.180090396	0.180090396	NON	NON
MvSl-1064-A1-R4_A1g00481	1.045977011	0	16	32	3.07	10	NA	NA	Black	OldStrata	1.429781111	1.429781111	Up	DE
MvSl-1064-A1-R4_A1g00495	1.131578947	0	66	132	0.62	12.5	0.0619	0.0248	Blue	OldStrata	-1.952930588	1.952930588	Down	DE
MvSl-1064-A1-R4_A1g00503	1	0	0	0	0.46	4.5	0.0098	0.0021	Black	OldStrata	0.312841444	0.312841444	NON	NON
MvSl-1064-A1-R4_A1g00504	1	0	0	0	0.31	3	0.0069	0	Black	OldStrata	-0.03748053	0.03748053	NON	NON
MvSl-1064-A1-R4_A1g00505	1.048677249	2	9.025	139	0.35	5	0	0.0015	Black	OldStrata	-0.144290177	0.144290177	NON	NON
MvSl-1064-A1-R4_A1g00506	1	0	0	0	0.43	2.5	0.0057	0.001	Black	OldStrata	-0.015811423	0.015811423	NON	NON
MvSl-1064-A1-R4_A1g00507	1.085205267	0	0.2308	3	1.04	2	0.0282	0.022	Black	OldStrata	0.015950984	0.015950984	NON	NON
MvSl-1064-A1-R4_A1g00511	1	0	0	0	0	1.5	0	0	Black	OldStrata	-0.09768498	0.09768498	NON	NON
MvSl-1064-A1-R4_A1g00512	1	0	0.429	3	0	2.5	0	0.0022	Black	OldStrata	0.047038026	0.047038026	NON	NON
MvSl-1064-A1-R4_A1g00513	1.023131673	0	0	0	0.16	2.5	0.0215	0.0217	Black	OldStrata	-0.036290579	0.036290579	NON	NON
MvSl-1064-A1-R4_A1g00514	0.988549618	0	0	0	0.04	14	0.0212	0.0206	Black	OldStrata	-0.1411675	0.1411675	NON	NON
MvSl-1064-A1-R4_A1g00515	1.000963391	0	0	0	0.32	14	0.0118	0.0074	Black	OldStrata	-0.639906605	0.639906605	NON	NON
MvSl-1064-A1-R4_A1g00516	1.024464832	1	4.5	109	2.69	3.5	0.0227	0.0187	Black	OldStrata	-0.952952226	0.952952226	Down	DE
MvSl-1064-A1-R4_A1g00517	1	0	5	10	0	1.5	0	0	Black	OldStrata	0.385115618	0.385115618	NON	NON
MvSl-1064-A1-R4_A1g00518	1	0	0	0	0.24	4	0.0027	0.0011	Black	OldStrata	-0.22566182	0.22566182	NON	NON
MvSl-1064-A1-R4_A1g00519	1	0	0	0	0.14	2.5	0	0.0014	Black	OldStrata	-0.326955786	0.326955786	NON	NON
MvSl-1064-A1-R4_A1g00520	1	0	0	0	0	2	0	0.0007	Black	OldStrata	-0.207815574	0.207815574	NON	NON
MvSl-1064-A1-R4_A1g00521	1.001127396	0	0.333	1	0.18	0.5	0.0026	0.0042	Black	OldStrata	-0.291387191	0.291387191	NON	NON
MvSl-1064-A1-R4_A1g00522	1	0	2	12	0.48	4	0.0333	0.016	Black	OldStrata	-4.655908909	4.655908909	Down	DE
MvSl-1064-A1-R4_A1g00525	1.023952096	0	0	0	1.49	4	0.0295	0.0133	Black	OldStrata	-0.425729346	0.425729346	NON	NON
MvSl-1064-A1-R4_A1g00528	1	0	0	0	0	4	0.0276	0.0056	Black	OldStrata	0.697456225	0.697456225	NON	NON
MvSl-1064-A1-R4_A1g00530	1.001152074	0	0	0	0.53	3	0.0188	0.0093	Black	OldStrata	-0.003825303	0.003825303	NON	NON
MvSl-1064-A1-R4_A1g00532	1	0	0	0	0.81	1	0.0274	0.009	Black	OldStrata	-0.183549618	0.183549618	NON	NON
MvSl-1064-A1-R4_A1g00533	1.035830619	2	53.417	535	2.32	3	0.0717	0.0568	Black	OldStrata	-0.112005668	0.112005668	NON	NON
MvSl-1064-A1-R4_A1g00534	1	0	0	0	0	3	0	0.0023	Black	OldStrata	-0.344806798	0.344806798	NON	NON
MvSl-1064-A1-R4_A1g00541	0.999020568	0	1.3334	4	0.04	1.5	0.0129	0.0082	Black	OldStrata	-0.102715119	0.102715119	NON	NON
MvSl-1064-A1-R4_A1g00542	1	0	0	0	0.26	2.5	0.003	0	Black	OldStrata	1.135990453	1.135990453	Up	DE
MvSl-1064-A1-R4_A1g00543	1	0	0	0	0.14	3	0	0.0018	Black	OldStrata	0.054014046	0.054014046	NON	NON
MvSl-1064-A1-R4_A1g00544	1.103448276	1	28.167	238	0.94	3.5	0.0066	0.0016	Black	OldStrata	0.079283405	0.079283405	NON	NON
MvSl-1064-A1-R4_A1g00546	0.74025974	0	12	24	1.54	6.5	NA	NA	Black	OldStrata	0.588387201	0.588387201	NON	NON
MvSl-1064-A1-R4_A1g00568	0.519083969	0	231	231	4.87	6.5	NA	NA	Black	OldStrata	0.298654805	0.298654805	NON	NON
MvSl-1064-A1-R4_A1g00575	1.003027245	0	1.428	10	0.4	7.5	0.0287	0.0166	Black	OldStrata	-0.417508294	0.417508294	NON	NON
MvSl-1064-A1-R4_A1g00576	0.844720497	0	0	0	6.94	6.5	NA	NA	Black	OldStrata	-0.156106697	0.156106697	NON	NON
MvSl-1064-A1-R4_A1g00591	1.006772009	0	0	0	0.03	9	0.4195	0.2049	Black	OldStrata	-4.272358924	4.272358924	Down	DE
MvSl-1064-A1-R4_A1g00593	1	0	0.5	3	0	10.5	0.0433	0.0101	Blue	OldStrata	0.034237888	0.034237888	NON	NON
MvSl-1064-A1-R4_A1g00594	1.17130621	1	29.333	15	1.85	5.5	NA	NA	Black	OldStrata	-1.835910271	1.835910271	Down	DE
MvSl-1064-A1-R4_A1g00624	1.00390625	0	8.286	58	1.31	7.5	0.0899	0.0656	Purple	OldStrata	-0.708893366	0.708893366	Down	DE
MvSl-1064-A1-R4_A1g00626	0.939705882	NA	NA	NA	3.43	6	NA	NA	Black	OldStrata	-1.254644399	1.254644399	Down	DE
MvSl-1064-A1-R4_A1g00628	1.3125	NA	NA	NA	1.35	11.5	NA	NA	Black	OldStrata	-3.018808589	3.018808589	Down	DE
MvSl-1064-A1-R4_A1g00635	0.880573248	2	21	35	0.79	5.5	NA	NA	Black	OldStrata	-1.412656761	1.412656761	Down	DE
MvSl-1064-A1-R4_A1g00642	0.802325581	0	0	0	1.2	4	NA	NA	Black	OldStrata	5.102816982	5.102816982	Up	DE
MvSl-1064-A1-R4_A1g00644	0.993662864	0	111	111	0.14	4.5	0.0291	0.0318	Black	OldStrata	-1.306575235	1.306575235	Down	DE
MvSl-1064-A1-R4_A1g00645	0.996437055	0	0	0	0.21	6.5	0.0143	0.0072	Black	OldStrata	0.00278244	0.00278244	NON	NON
MvSl-1064-A1-R4_A1g00646	1	0	0	0	0.15	4.5	0.0091	0.0065	Black	OldStrata	-1.506373241	1.506373241	Down	DE
MvSl-1064-A1-R4_A1g00647	1.271111111	3	62.9997	64	0.62	6	0.0753	0.0295	Black	OldStrata	-0.06376242	0.06376242	NON	NON
MvSl-1064-A1-R4_A1g00648	0.994059406	0	0	0	0.04	6	0.0206	0.0181	Black	OldStrata	0.646589946	0.646589946	Up	DE
MvSl-1064-A1-R4_A1g00668	0.976958525	1	4.833	160	0.85	10	0.0454	0.0174	Orange	ColorStrata	-5.711873018	5.711873018	Down	DE
MvSl-1064-A1-R4_A1g00669	1.019690577	0	18	36	0.59	6.5	0.034	0.0193	Orange	ColorStrata	-0.013902852	0.013902852	NON	NON
MvSl-1064-A1-R4_A1g00693	1	0	0	0	0	3.5	0	0	Black	OldStrata	-0.01304676	0.01304676	NON	NON
