gida1	youngold	logFC.A1.A2	abs	DE	DE2	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff	ratioprot	ratiocds	intron_nr_diff	intron_mean_diff	intron_total_diff	GC0diff	GC3diff	dn	ds	dnds
MvSl-1064-A1-R4_A1g00033	bPAR	0.290462864	0.290462864	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00035	bPAR	-0.42420988	0.42420988	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00036	bPAR	-0.001040873	0.001040873	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00037	bPAR	-0.135067368	0.135067368	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00039	bPAR	-0.294988642	0.294988642	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00040	bPAR	0.21168993	0.21168993	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00046	bPAR	-0.167998149	0.167998149	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00047	bPAR	-0.106373771	0.106373771	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00048	bPAR	-0.003773033	0.003773033	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00049	bPAR	-0.011328206	0.011328206	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00050	bPAR	0.307636601	0.307636601	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00051	bPAR	-0.521803825	0.521803825	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00052	bPAR	0.234775283	0.234775283	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00053	bPAR	-0.082958764	0.082958764	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00054	bPAR	0.266858021	0.266858021	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00055	bPAR	0.465758998	0.465758998	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00056	bPAR	-0.137229584	0.137229584	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00057	bPAR	0.055084542	0.055084542	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00061	bPAR	-0.161410321	0.161410321	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0.333	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00062	bPAR	0.158931977	0.158931977	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00063	bPAR	-0.061888586	0.061888586	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0.333	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00064	bPAR	0.176179425	0.176179425	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00065	bPAR	-0.25401122	0.25401122	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0.1	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00066	bPAR	-0.017148952	0.017148952	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00067	bPAR	0.22606909	0.22606909	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00068	bPAR	0.417722847	0.417722847	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00069	bPAR	0.262994688	0.262994688	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00070	bPAR	-0.335137523	0.335137523	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00072	bPAR	-0.10139453	0.10139453	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00074	bPAR	-0.556269443	0.556269443	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00076	bPAR	0.045865339	0.045865339	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00077	bPAR	-0.046850616	0.046850616	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-0.14	0.22	0.0088	0.0036	2.444376545
MvSl-1064-A1-R4_A1g00109	ColorStrata	-0.144342568	0.144342568	NON	NON	0	0	0	0	1	0	0	0	0	0.983193277	1.017021277	0	0	0	-0.24	-0.67	0.0047	0	47000
MvSl-1064-A1-R4_A1g00110	ColorStrata	0.241287933	0.241287933	NON	NON	0	0	0	0	1	0	0	0	0	1	1	0	0	0	-0.04	0.12	0.0013	0.0011	1.181710754
MvSl-1064-A1-R4_A1g00113	ColorStrata	-0.075035752	0.075035752	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.11	0.11	0.0078	0.0015	5.199653356
MvSl-1064-A1-R4_A1g00144	OldStrata	-0.412659961	0.412659961	NON	NON	0	6	-1	1	3	1	0	-1	-1	1.01910828	0.98136646	0	7	21	0.23	0.76	0.0496	0.0236	2.10168601
MvSl-1064-A1-R4_A1g00153	OldStrata	-0.269881931	0.269881931	NON	NON	0	-4	0	0	0	0	0	-1	0	1.025392084	0.975254731	-1	-0.9667	-82	-0.27	-0.58	0.0341	0.0117	2.914505004
MvSl-1064-A1-R4_A1g00155	OldStrata	0.426648292	0.426648292	NON	NON	0	0	-2	-2	-1	0	-1	0	0	1	1	0	0	0	0.13	0.39	0.0419	0.0169	2.479275271
MvSl-1064-A1-R4_A1g00175	OldStrata	0.199201769	0.199201769	NON	NON	0	0	1	0	-1	2	2	0	-3	0.760714286	1.3140625	-2	9.0667	-126	0.21	-0.34	0.1432	0.0538	2.66170509
MvSl-1064-A1-R4_A1g00184	OldStrata	0.164107121	0.164107121	NON	NON	0	-3	2	1	3	-1	-1	-1	0	1	1	0	1	2	0	0	0	0	0
MvSl-1064-A1-R4_A1g00185	OldStrata	0.416321973	0.416321973	NON	NON	0	-2	1	2	0	-2	-1	0	3	1	1	0	-0.6923	-9	0.11	-0.1	0.0201	0.0126	1.595225435
MvSl-1064-A1-R4_A1g00186	OldStrata	0.055420035	0.055420035	NON	NON	0	0	-2	1	2	-2	-1	2	1	1	1	0	0	0	0.44	0.67	0.0314	0.0087	3.609153918
MvSl-1064-A1-R4_A1g00193	OldStrata	-0.688650635	0.688650635	NON	NON	1	0	-2	0	0	2	2	0	1	1.101415094	1.101176471	1	-8.679	45	-0.22	-2.28	0.0891	0.0318	2.801877982
MvSl-1064-A1-R4_A1g00211	OldStrata	0.185227777	0.185227777	NON	NON	3	-5	2	0	1	-2	-2	1	1	1	1	0	0	0	-0.36	-0.61	0.0131	0.0051	2.568577087
MvSl-1064-A1-R4_A1g00241	OldStrata	0.569678864	0.569678864	NON	NON	0	2	4	0	-2	0	2	0	-2	1.011695906	1.011661808	0	0	0	-0.71	-0.96	0.0283	0.0152	1.861829856
MvSl-1064-A1-R4_A1g00245	OldStrata	-0.790101844	0.790101844	NON	NON	0	0	3	1	1	2	0	0	2	1	1	0	0	0	1.05	2.1	0.0584	0.0105	5.561851792
MvSl-1064-A1-R4_A1g00280	OldStrata	0.227539771	0.227539771	NON	NON	0	0	0	1	0	0	-1	0	0	1	1	0	0	0	0.11	0.47	0.0321	0.011	2.918155289
MvSl-1064-A1-R4_A1g00281	OldStrata	0.0839626	0.0839626	NON	NON	0	0	-1	0	2	1	0	-1	0	0.973564955	1.027131783	1	7.875	140	-0.23	-1.4	0.0484	0.0208	2.32691189
MvSl-1064-A1-R4_A1g00290	OldStrata	0.178481473	0.178481473	NON	NON	0	0	-1	-1	0	1	0	1	0	1	1	0	0.5	2	0.22	0.74	0.0292	0.0116	2.517219679
MvSl-1064-A1-R4_A1g00311	OldStrata	0.053430623	0.053430623	NON	NON	0	-4	-2	-2	0	0	5	0	2	0.998665777	1.001335113	0	0.7778	7	-0.03	-0.06	0.0248	0.0139	1.784159826
MvSl-1064-A1-R4_A1g00327	OldStrata	-0.087017264	0.087017264	NON	NON	0	7	0	-1	3	1	-4	-1	0	1.038647343	1.038461538	0	6	24	-0.12	0.39	0.0284	0.0278	1.021579059
MvSl-1064-A1-R4_A1g00328	OldStrata	-0.093060328	0.093060328	NON	NON	0	0	7	0	0	1	0	1	0	1.52	1.517045455	-3	-49.25	-443	0.31	-7.18	0.2594	0.2396	1.082637278
MvSl-1064-A1-R4_A1g00351	OldStrata	0.198779887	0.198779887	NON	NON	0	0	0	-1	0	2	1	4	-1	0.999230769	0.99923136	0	-4.2222	-38	-0.22	0.2	0.0301	0.0195	1.543581828
MvSl-1064-A1-R4_A1g00352	OldStrata	0.141113881	0.141113881	NON	NON	0	0	0	-1	0	4	-1	4	0	1.043650794	1.043478261	0	-16	-32	0.47	0.68	0.0415	0.0034	12.20552337
MvSl-1064-A1-R4_A1g00359	OldStrata	-0.246336768	0.246336768	NON	NON	0	1	3	0	4	3	0	0	-2	1	1	0	0.125	1	0.09	0.29	0.0442	0.0059	7.491398451
MvSl-1064-A1-R4_A1g00367	ColorStrata	-0.553218188	0.553218188	NON	NON	0	0	2	1	2	0	0	0	0	1	1	0	0	0	0.06	1.66	0.047	0.0336	1.398805361
MvSl-1064-A1-R4_A1g00368	ColorStrata	-0.043565528	0.043565528	NON	NON	0	0	0	2	1	0	0	0	-1	1	1	0	-0.3333	-1	0.25	0.5	0.0059	0.0012	4.916256979
MvSl-1064-A1-R4_A1g00369	ColorStrata	-0.086462896	0.086462896	NON	NON	0	0	0	2	1	0	0	0	-2	1	1	0	0	0	0	0	0.0037	0.0007	5.284959292
MvSl-1064-A1-R4_A1g00371	ColorStrata	-0.196176703	0.196176703	NON	NON	0	0	0	0	2	0	-1	-1	-1	0.990359334	0.990367776	0	2.6666	16	-0.24	-0.62	0.0051	0	51000
MvSl-1064-A1-R4_A1g00372	ColorStrata	0.168740362	0.168740362	NON	NON	0	0	0	0	0	0	-2	-1	-3	1.002285714	1.002283105	0	0	0	0.1	0.3	0.0036	0.0034	1.058792388
MvSl-1064-A1-R4_A1g00373	ColorStrata	0.312102415	0.312102415	NON	NON	0	0	0	0	0	-1	-1	-1	-3	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00374	ColorStrata	0.129086183	0.129086183	NON	NON	0	0	0	0	0	-2	-1	0	-3	1	1	0	0	0	-0.09	-0.14	0.0018	0.0006	2.999500083
MvSl-1064-A1-R4_A1g00380	ColorStrata	-0.537209791	0.537209791	NON	NON	0	0	0	0	-1	-1	-2	-2	0	1	1	0	0	0	0.45	-1.37	0.0218	0.0119	1.831917379
MvSl-1064-A1-R4_A1g00389	ColorStrata	-0.203418508	0.203418508	NON	NON	0	-1	0	0	0	0	0	-1	-1	1.283333333	1.282392027	3	84.667	827	-0.13	0.06	0.0033	0.0065	0.507684497
MvSl-1064-A1-R4_A1g00390	ColorStrata	-0.022069907	0.022069907	NON	NON	0	0	0	0	0	-1	0	0	0	1	1	0	-3	-3	0.17	-0.26	0.0089	0.0064	1.390603272
MvSl-1064-A1-R4_A1g00391	ColorStrata	0.070339113	0.070339113	NON	NON	0	0	0	0	0	0	-1	0	0	1.047619048	0.954619125	1	-2.3	91	0.09	0.09	0.0096	0.0037	2.594524472
MvSl-1064-A1-R4_A1g00394	ColorStrata	-0.006944094	0.006944094	NON	NON	0	0	0	0	0	0	0	-1	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00395	ColorStrata	-0.269694111	0.269694111	NON	NON	0	0	0	0	0	0	0	-1	0	1	1	0	0	0	0	0	0.0018	0.0013	1.384508884
MvSl-1064-A1-R4_A1g00396	ColorStrata	-0.169013158	0.169013158	NON	NON	0	0	0	0	0	0	0	0	-1	1	1	0	0	0	-0.11	0	0	0.0015	0
MvSl-1064-A1-R4_A1g00397	ColorStrata	-0.117032966	0.117032966	NON	NON	0	0	0	0	0	0	0	0	-1	1	1	0	0.333	1	0	0	0	0	0
MvSl-1064-A1-R4_A1g00398	ColorStrata	-0.147374413	0.147374413	NON	NON	0	0	0	0	0	0	0	0	-1	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00399	ColorStrata	0.030493513	0.030493513	NON	NON	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00401	ColorStrata	-0.351049332	0.351049332	NON	NON	0	0	0	0	-1	0	0	0	3	0.996978852	1.003021148	0	0	0	0.01	0.1	0	0.0028	0
MvSl-1064-A1-R4_A1g00402	ColorStrata	-0.139682704	0.139682704	NON	NON	0	0	0	-1	-4	0	0	3	3	1.019607843	0.98078155	-1	2.5833	-72	-0.21	-0.36	0.0134	0.0078	1.717926693
MvSl-1064-A1-R4_A1g00403	ColorStrata	-0.474930026	0.474930026	NON	NON	0	0	-1	-4	-2	0	3	3	0	1	1	0	0	0	-0.07	-0.22	0.0048	0	48000
MvSl-1064-A1-R4_A1g00404	ColorStrata	0.367701232	0.367701232	NON	NON	0	0	-5	-1	-1	0	4	2	0	0.992481203	1.00754717	0	0	0	0.23	0.25	0	0.0033	0
MvSl-1064-A1-R4_A1g00405	ColorStrata	-0.551722285	0.551722285	NON	NON	0	-1	-4	-2	-1	3	1	2	0	1	1	0	0	0	-0.12	-0.18	0.0045	0.0025	1.799928003
MvSl-1064-A1-R4_A1g00406	ColorStrata	0.247766304	0.247766304	NON	NON	0	-1	-1	0	-4	3	3	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00432	OldStrata	-0.146821821	0.146821821	NON	NON	0	1	2	-1	0	0	1	1	0	1	1	0	7	21	0	0	0.1985	0	1985000
MvSl-1064-A1-R4_A1g00433	OldStrata	-0.345609102	0.345609102	NON	NON	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0.3	0.71	0.0201	0.029	0.693101058
MvSl-1064-A1-R4_A1g00441	OldStrata	-0.202459721	0.202459721	NON	NON	0	2	-1	0	1	0	1	-2	1	1	1	0	0.143	1	-0.2	0.29	0.0341	0.0053	6.433840871
MvSl-1064-A1-R4_A1g00478	OldStrata	-0.180090396	0.180090396	NON	NON	0	-2	4	0	0	1	1	2	4	1.01894452	0.981432361	-2	2	-160	-0.13	-0.67	0.0954	0.0443	2.15349401
MvSl-1064-A1-R4_A1g00503	OldStrata	0.312841444	0.312841444	NON	NON	0	4	0	0	1	0	0	0	0	1	1	0	0	0	-0.15	-0.46	0.0098	0.0021	4.666444455
MvSl-1064-A1-R4_A1g00504	OldStrata	-0.03748053	0.03748053	NON	NON	0	4	0	-1	1	0	0	0	0	1	1	0	0	0	-0.1	-0.31	0.0069	0	69000
MvSl-1064-A1-R4_A1g00505	OldStrata	-0.144290177	0.144290177	NON	NON	0	0	4	0	0	0	0	0	0	1.048677249	1.048625793	-2	9.025	-139	-0.12	-0.35	0	0.0015	0
MvSl-1064-A1-R4_A1g00506	OldStrata	-0.015811423	0.015811423	NON	NON	0	0	0	4	-1	0	0	0	0	1	1	0	0	0	-0.14	-0.43	0.0057	0.001	5.699430057
MvSl-1064-A1-R4_A1g00507	OldStrata	0.015950984	0.015950984	NON	NON	0	0	0	4	0	0	0	0	0	1.085205267	1.085139319	0	-0.2308	-3	-0.53	-1.04	0.0282	0.022	1.281812355
MvSl-1064-A1-R4_A1g00511	OldStrata	-0.09768498	0.09768498	NON	NON	0	0	0	0	0	-2	0	0	-1	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00512	OldStrata	0.047038026	0.047038026	NON	NON	0	0	0	0	0	-2	0	0	-3	1	1	0	0.429	3	0	0	0	0.0022	0
MvSl-1064-A1-R4_A1g00513	OldStrata	-0.036290579	0.036290579	NON	NON	0	0	0	0	0	-2	0	-1	-2	1.023131673	0.977430556	0	0	0	-0.26	0.16	0.0215	0.0217	0.990778844
MvSl-1064-A1-R4_A1g00514	OldStrata	-0.1411675	0.1411675	NON	NON	0	-11	-11	-2	-2	0	-2	0	0	0.988549618	0.988556898	0	0	0	-0.08	0.04	0.0212	0.0206	1.029121218
MvSl-1064-A1-R4_A1g00515	OldStrata	-0.639906605	0.639906605	NON	NON	-3	-12	-1	-2	0	-8	0	-1	-1	1.000963391	1.000962464	0	0	0	0.11	0.32	0.0118	0.0074	1.594573046
MvSl-1064-A1-R4_A1g00517	OldStrata	0.385115618	0.385115618	NON	NON	0	0	-4	-3	0	0	0	0	0	1	1	0	-5	-10	0	0	0	0	0
MvSl-1064-A1-R4_A1g00518	OldStrata	-0.22566182	0.22566182	NON	NON	0	0	-4	-2	-1	0	0	0	1	1	1	0	0	0	0.15	0.24	0.0027	0.0011	2.454322334
MvSl-1064-A1-R4_A1g00519	OldStrata	-0.326955786	0.326955786	NON	NON	0	0	0	0	-4	0	0	0	1	1	1	0	0	0	0	0.14	0	0.0014	0
MvSl-1064-A1-R4_A1g00520	OldStrata	-0.207815574	0.207815574	NON	NON	0	0	0	0	-3	0	0	1	0	1	1	0	0	0	-0.05	0	0	0.0007	0
MvSl-1064-A1-R4_A1g00521	OldStrata	-0.291387191	0.291387191	NON	NON	0	0	0	0	0	0	0	1	0	1.001127396	1.001126126	0	-0.333	-1	-0.24	-0.18	0.0026	0.0042	0.61903288
MvSl-1064-A1-R4_A1g00525	OldStrata	-0.425729346	0.425729346	NON	NON	0	-2	0	0	0	-2	1	-3	0	1.023952096	1.023880597	0	0	0	0.08	1.49	0.0295	0.0133	2.218028436
MvSl-1064-A1-R4_A1g00528	OldStrata	0.697456225	0.697456225	NON	NON	1	-1	0	-1	0	-1	-1	-2	-1	1	1	0	0	0	0	0	0.0276	0.0056	4.92848342
MvSl-1064-A1-R4_A1g00530	OldStrata	-0.003825303	0.003825303	NON	NON	0	-2	0	0	0	0	0	-1	-1	1.001152074	1.001150748	0	0	0	-0.41	-0.53	0.0188	0.0093	2.02148364
MvSl-1064-A1-R4_A1g00532	OldStrata	-0.183549618	0.183549618	NON	NON	0	1	0	0	0	0	-1	0	0	1	1	0	0	0	0.16	0.81	0.0274	0.009	3.044410618
MvSl-1064-A1-R4_A1g00533	OldStrata	-0.112005668	0.112005668	NON	NON	0	1	0	-1	-4	0	0	0	0	1.035830619	0.965517241	-2	-53.417	-535	0.92	2.32	0.0717	0.0568	1.262321721
MvSl-1064-A1-R4_A1g00534	OldStrata	-0.344806798	0.344806798	NON	NON	0	0	1	0	-4	0	0	0	0	1	1	0	0	0	0.18	0	0	0.0023	0
MvSl-1064-A1-R4_A1g00541	OldStrata	-0.102715119	0.102715119	NON	NON	0	0	0	0	0	0	0	0	1	0.999020568	0.999021047	0	-1.3334	-4	0.01	0.04	0.0129	0.0082	1.573151547
MvSl-1064-A1-R4_A1g00543	OldStrata	0.054014046	0.054014046	NON	NON	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0.05	0.14	0	0.0018	0
MvSl-1064-A1-R4_A1g00544	OldStrata	0.079283405	0.079283405	NON	NON	0	0	0	0	0	0	1	0	2	1.103448276	0.906396256	-1	-28.167	-238	0.31	0.94	0.0066	0.0016	4.124742204
MvSl-1064-A1-R4_A1g00575	OldStrata	-0.417508294	0.417508294	NON	NON	0	2	-1	2	-1	-4	2	0	1	1.003027245	0.996984925	0	-1.428	-10	0.41	0.4	0.0287	0.0166	1.728905248
MvSl-1064-A1-R4_A1g00593	OldStrata	0.034237888	0.034237888	NON	NON	0	1	2	0	-7	1	-1	-3	0	1	1	0	0.5	3	0.14	0	0.0433	0.0101	4.287086266
MvSl-1064-A1-R4_A1g00645	OldStrata	0.00278244	0.00278244	NON	NON	0	-1	0	-1	0	0	0	1	-2	0.996437055	1.003571429	0	0	0	-0.01	-0.21	0.0143	0.0072	1.986083527
MvSl-1064-A1-R4_A1g00647	OldStrata	-0.06376242	0.06376242	NON	NON	0	-2	0	0	0	-1	2	-1	0	1.271111111	0.787456446	-3	62.9997	-64	0.1	0.62	0.0753	0.0295	2.55253372
MvSl-1064-A1-R4_A1g00669	ColorStrata	-0.013902852	0.013902852	NON	NON	0	-1	-3	1	0	0	-1	0	0	1.019690577	0.980716253	0	18	36	0.41	0.59	0.034	0.0193	1.761648903
MvSl-1064-A1-R4_A1g00693	OldStrata	-0.01304676	0.01304676	NON	NON	0	2	-2	0	0	-1	4	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00694	OldStrata	0.19734445	0.19734445	NON	NON	0	0	0	0	0	3	0	0	0	1.00128041	1.001278772	0	-0.25	-1	-0.05	-0.43	0.0175	0.0053	3.301824494
MvSl-1064-A1-R4_A1g00726	OldStrata	-0.323750225	0.323750225	NON	NON	1	6	0	0	2	1	-2	1	0	0.966666667	0.966789668	-1	3.833	-88	0.48	1.71	0.1207	0.0516	2.339142754
MvSl-1064-A1-R4_A1g00749	OldStrata	-0.432980787	0.432980787	NON	NON	0	1	0	1	0	0	0	1	0	1.005405405	1.00540054	0	0	0	-0.09	0.69	0.0228	0.03	0.759997467
MvSl-1064-A1-R4_A1g00750	OldStrata	0.014269393	0.014269393	NON	NON	0	0	3	0	-3	0	0	0	0	1	1	0	0	0	0	0	0.0032	0.0013	2.461349127
MvSl-1064-A1-R4_A1g00751	OldStrata	-0.32701583	0.32701583	NON	NON	0	0	-2	1	0	2	0	-2	0	0.998971193	0.998972251	0	0	0	0.12	0.04	0.0079	0.0065	1.215365917
MvSl-1064-A1-R4_A1g00772	OldStrata	-0.447897559	0.447897559	NON	NON	0	0	0	1	3	0	0	2	-2	1.049562682	1.049418605	0	17	51	0.05	0.53	0.0345	0.0213	1.619710706
MvSl-1064-A1-R4_A1g00778	OldStrata	0.389977485	0.389977485	NON	NON	0	-3	-3	1	-4	0	1	-1	-1	0.99879081	1.00120919	0	-0.2858	-2	0.09	-0.31	0.0379	0.0198	1.914131747
MvSl-1064-A1-R4_A1g00794	OldStrata	0.026871625	0.026871625	NON	NON	0	5	0	0	-4	2	-4	-1	0	1	1	0	-1.5	-6	0.3	0.88	0.036	0.0079	4.556904343
MvSl-1064-A1-R4_A1g00801	OldStrata	-0.032184551	0.032184551	NON	NON	0	-6	1	0	5	0	1	0	-2	1	1	0	0	0	0.09	0	0	0.0025	0
MvSl-1064-A1-R4_A1g00832	OldStrata	0.093408117	0.093408117	NON	NON	-1	0	0	4	-2	-1	1	0	0	1.006369427	1.006361323	-1	20.8	12	0.51	0.82	0.0268	0.0145	1.848263115
MvSl-1064-A1-R4_A1g00840	OldStrata	0.269924924	0.269924924	NON	NON	0	-5	0	-3	0	0	-1	1	1	0.968013468	0.968067227	1	-43.5	32	0.32	0.05	0.0399	0.0288	1.385411856
MvSl-1064-A1-R4_A1g00842	OldStrata	-0.32013805	0.32013805	NON	NON	0	-2	0	-1	0	0	0	-3	3	0.897880539	1.113490364	1	13.333	181	0.81	2.33	0.0636	0.022	2.89089595
MvSl-1064-A1-R4_A1g00843	OldStrata	-0.541148688	0.541148688	NON	NON	0	0	-2	-2	1	0	0	-2	2	1.084795322	0.922043011	-1	14.167	-87	-0.53	-0.84	0.0159	0.0078	2.038435405
MvSl-1064-A1-R4_A1g00845	OldStrata	0.042076431	0.042076431	NON	NON	0	0	0	0	0	1	0	0	2	0.979193758	0.979207277	-1	1.3333	-87	0.13	-0.36	0.0342	0.022	1.554538388
MvSl-1064-A1-R4_A1g00869	OldStrata	-0.780523068	0.780523068	NON	NON	0	3	4	-1	-2	3	0	-1	-3	1	1	0	0.8	8	0.06	0	0.0392	0.0106	3.69807832
MvSl-1064-A1-R4_A1g00911	OldStrata	-0.242165576	0.242165576	NON	NON	0	3	1	0	-5	0	-4	1	0	1	1	0	-1.1667	-7	0.38	1.13	0.0172	0	172000
MvSl-1064-A1-R4_A1g00912	OldStrata	-0.203998749	0.203998749	NON	NON	0	3	0	1	-6	0	0	-2	-1	1	1	0	0	0	0	0	0	0.004	0
MvSl-1064-A1-R4_A1g00913	OldStrata	-0.556748515	0.556748515	NON	NON	-1	-2	3	-2	1	1	0	0	0	1.332251082	1.331891892	-1	6.5179	-10	1.35	1.75	0.0428	0.013	3.292282367
MvSl-1064-A1-R4_A1g00920	OldStrata	-0.976671928	0.976671928	NON	NON	0	0	1	-1	0	0	-4	-1	0	0.817679558	1.222836096	1	20.1667	176	0.98	1.29	0.0293	0.0231	1.268392778
