gida1	youngold	logFC.A1.A2	abs	DE	DE2	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff	ratioprot	ratiocds	intron_nr_diff	intron_mean_diff	intron_total_diff	GC0diff	GC3diff	dn	ds	dnds
MvSl-1064-A1-R4_A1g00165	OldStrata	-0.801032568	0.801032568	Down	DE	0	-2	0	-1	-1	0	0	1	-1	1.016872891	1.016853933	0	-2.5	-15	0.07	0.32	0.0382	0.0139	2.748181668
MvSl-1064-A1-R4_A1g00168	OldStrata	-1.420237846	1.420237846	Down	DE	-2	0	0	0	0	1	-1	-1	3	0.992509363	0.992523364	-2	15.25	-124	-0.68	-1.41	NA	NA	NA
MvSl-1064-A1-R4_A1g00230	OldStrata	1.402672746	1.402672746	Up	DE	0	-1	1	1	-1	1	-1	1	-3	0.713395639	0.714285714	0	8.75	35	1.68	-0.56	0.1111	0.0678	1.638640651
MvSl-1064-A1-R4_A1g00242	OldStrata	0.66789462	0.66789462	Up	DE	0	-2	0	-4	1	0	-1	-1	-1	1	1	0	-0.25	-1	0.52	1.56	0.045	0.0092	4.891251182
MvSl-1064-A1-R4_A1g00246	OldStrata	1.489921975	1.489921975	Up	DE	0	0	-3	-4	-1	0	0	1	-3	1	1	0	3	6	0.29	0.87	0.0169	0.0055	3.072671406
MvSl-1064-A1-R4_A1g00252	OldStrata	-3.1475067	3.1475067	Down	DE	1	-1	4	0	1	-1	-2	-1	1	1.517382413	1.516326531	-3	-8.5	-236	-0.37	1.79	NA	NA	NA
MvSl-1064-A1-R4_A1g00254	OldStrata	-1.92950017	1.92950017	Down	DE	0	-1	1	4	0	0	0	2	2	1.010840108	1.01082544	0	0.3333	1	-0.2	-0.65	0.0346	0.0147	2.353725485
MvSl-1064-A1-R4_A1g00269	OldStrata	-4.216289271	4.216289271	Down	DE	0	-1	1	1	1	-3	1	-2	0	0.787463271	0.787671233	1	10.35	158	0.01	-0.14	0.0492	0.0256	1.921867493
MvSl-1064-A1-R4_A1g00270	OldStrata	-1.168558114	1.168558114	Down	DE	0	0	-1	1	0	1	-2	-1	-2	1	1	0	-1	-3	0.18	0	0.0439	0.0137	3.204356173
MvSl-1064-A1-R4_A1g00283	OldStrata	4.449535004	4.449535004	Up	DE	1	1	0	0	0	1	2	-2	0	1.159058488	1.158945118	2	-10.6	173	-0.35	0.69	NA	NA	NA
MvSl-1064-A1-R4_A1g00292	OldStrata	-0.906844922	0.906844922	Down	DE	0	2	-2	0	-3	2	-1	-2	0	1	1	0	0.125	1	-0.49	-2.19	0.0373	0.0148	2.520253242
MvSl-1064-A1-R4_A1g00312	OldStrata	-3.601662265	3.601662265	Down	DE	0	-4	-2	-2	0	3	6	-2	0	1.163522013	1.1625	0	-2	-2	-0.18	4.96	0.0263	0.0377	0.697610882
MvSl-1064-A1-R4_A1g00349	OldStrata	2.448345756	2.448345756	Up	DE	0	0	1	0	2	0	0	-4	-1	1.074074074	1.073800738	0	-11.5559	-104	-0.31	-1.87	0.1173	0.0516	2.273251408
MvSl-1064-A1-R4_A1g00350	OldStrata	0.902069081	0.902069081	Up	DE	0	0	0	0	1	2	-4	0	-4	0.908489526	0.908590308	1	84.5	240	-0.09	-0.2	0.0239	0.0239	0.999995816
MvSl-1064-A1-R4_A1g00383	OldStrata	1.958261326	1.958261326	Up	DE	0	0	1	0	0	0	1	2	2	0.947368421	0.947674419	1	-84	-11	1.77	6.82	NA	NA	NA
MvSl-1064-A1-R4_A1g00400	ColorStrata	-1.080405595	1.080405595	Down	DE	0	0	0	0	-1	0	0	0	2	1	1	0	0.4286	3	0.08	-0.26	0.013	0.0128	1.015617065
MvSl-1064-A1-R4_A1g00448	OldStrata	-2.200893457	2.200893457	Down	DE	0	1	0	1	0	0	2	2	4	1.341130604	1.340466926	1	-5	40	0.59	3.95	0.065	0.0409	1.589238168
MvSl-1064-A1-R4_A1g00481	OldStrata	1.429781111	1.429781111	Up	DE	0	0	0	-3	1	-2	-1	-4	-5	1.045977011	1.045714286	0	-16	-32	-1.54	-3.07	NA	NA	NA
MvSl-1064-A1-R4_A1g00495	OldStrata	-1.952930588	1.952930588	Down	DE	0	-1	0	-2	8	3	-1	-2	0	1.131578947	1.131195335	0	66	132	1.38	-0.62	0.0619	0.0248	2.495957678
MvSl-1064-A1-R4_A1g00516	OldStrata	-0.952952226	0.952952226	Down	DE	0	-3	-3	-1	0	0	0	0	0	1.024464832	1.024390244	1	-4.5	109	1.03	2.69	0.0227	0.0187	1.213897252
MvSl-1064-A1-R4_A1g00522	OldStrata	-4.655908909	4.655908909	Down	DE	0	0	-2	0	0	-2	-2	0	0	1	1	0	2	12	-0.08	-0.48	0.0333	0.016	2.081236992
MvSl-1064-A1-R4_A1g00542	OldStrata	1.135990453	1.135990453	Up	DE	0	0	0	0	0	0	0	-1	0	1	1	0	0	0	-0.09	-0.26	0.003	0	30000
MvSl-1064-A1-R4_A1g00591	OldStrata	-4.272358924	4.272358924	Down	DE	0	1	2	-7	0	0	3	-2	-3	1.006772009	1.006756757	0	0	0	0.76	-0.03	0.4195	0.2049	2.047339167
MvSl-1064-A1-R4_A1g00594	OldStrata	-1.835910271	1.835910271	Down	DE	3	-2	1	2	0	0	0	0	1	1.17130621	1.170940171	-1	29.333	15	1	1.85	NA	NA	NA
MvSl-1064-A1-R4_A1g00624	OldStrata	-0.708893366	0.708893366	Down	DE	0	-2	-1	-1	1	3	0	-1	-2	1.00390625	1.003891051	0	8.286	58	-0.68	-1.31	0.0899	0.0656	1.37042474
MvSl-1064-A1-R4_A1g00635	OldStrata	-1.412656761	1.412656761	Down	DE	0	0	4	0	-3	-1	0	-2	-1	0.880573248	0.880763116	2	-21	-35	-0.21	-0.79	NA	NA	NA
MvSl-1064-A1-R4_A1g00642	OldStrata	5.102816982	5.102816982	Up	DE	0	0	2	0	-4	1	0	0	-1	0.802325581	0.804597701	0	0	0	-2.23	-1.2	NA	NA	NA
MvSl-1064-A1-R4_A1g00644	OldStrata	-1.306575235	1.306575235	Down	DE	0	0	0	0	4	0	-1	-1	3	0.993662864	0.993670886	0	111	111	0.17	0.14	0.0291	0.0318	0.915091462
MvSl-1064-A1-R4_A1g00646	OldStrata	-1.506373241	1.506373241	Down	DE	0	-1	-1	0	0	0	1	2	0	1	1	0	0	0	0.05	-0.15	0.0091	0.0065	1.399978462
MvSl-1064-A1-R4_A1g00648	OldStrata	0.646589946	0.646589946	Up	DE	0	2	0	0	0	-1	-1	2	0	0.994059406	0.994071146	0	0	0	-0.32	-0.04	0.0206	0.0181	1.138115259
MvSl-1064-A1-R4_A1g00668	ColorStrata	-5.711873018	5.711873018	Down	DE	0	-1	0	-2	0	-1	-3	0	-1	0.976958525	0.976993865	1	4.833	160	-0.38	-0.85	0.0454	0.0174	2.609180407
MvSl-1064-A1-R4_A1g00718	OldStrata	1.042239841	1.042239841	Up	DE	0	-3	0	-3	1	1	-6	-2	0	1	1	0	0.5	1	-0.28	-0.87	0.0446	0.0108	4.129591393
MvSl-1064-A1-R4_A1g00745	OldStrata	1.868153555	1.868153555	Up	DE	-3	-1	2	-2	0	0	1	0	0	0.557823129	0.559322034	-1	1.8333	-67	-2.96	-2.69	NA	NA	NA
MvSl-1064-A1-R4_A1g00752	OldStrata	-5.754454425	5.754454425	Down	DE	1	-2	-2	0	3	1	0	0	-1	1.46097561	1.459854015	-3	-36.2	-373	-0.46	-1.02	0.0693	0.0411	1.686127284
MvSl-1064-A1-R4_A1g00763	OldStrata	-4.029433889	4.029433889	Down	DE	1	-2	0	0	-2	0	0	-3	0	0.999190283	0.999190939	-1	-2.4333	-82	-1.88	-2.64	NA	NA	NA
MvSl-1064-A1-R4_A1g00779	OldStrata	0.677992555	0.677992555	Up	DE	0	1	2	2	1	-3	3	2	-1	1.008982036	1.008973081	0	0.8	8	0.3	-0.78	0.0444	0.0158	2.810108797
MvSl-1064-A1-R4_A1g00853	OldStrata	-1.487301401	1.487301401	Down	DE	0	2	2	2	3	-2	-1	-1	4	0.96559633	0.965635739	1	-44.767	-109	0.52	0.2	0.0339	0.0129	2.627886606
MvSl-1064-A1-R4_A1g00854	OldStrata	0.751578848	0.751578848	Up	DE	0	0	-2	-2	-2	-2	4	-3	1	1.046511628	1.046457607	-1	-2.0972	-116	-0.13	-0.01	0.0559	0.0268	2.085813113
MvSl-1064-A1-R4_A1g00923	OldStrata	1.125181115	1.125181115	Up	DE	0	0	0	0	-1	4	1	-4	2	1	1	0	0	0	-0.64	-2.88	NA	NA	NA
MvSl-1064-A1-R4_A1g00929	OldStrata	1.834083721	1.834083721	Up	DE	1	0	0	0	0	-2	-3	0	-1	1	1	0	0	0	0.63	0.48	NA	NA	NA
MvSl-1064-A1-R4_A1g00958	OldStrata	-0.561034724	0.561034724	Down	DE	0	0	1	0	1	2	0	1	-2	1	1	0	0.25	1	-0.2	-0.46	0.0202	0.0072	2.80551659
MvSl-1064-A1-R4_A1g00970	OldStrata	0.874880085	0.874880085	Up	DE	1	1	-1	0	0	-2	3	0	2	1	1	0	0	0	0.28	0.84	0.0159	0.0068	2.338200909
MvSl-1064-A1-R4_A1g00972	OldStrata	-1.734381671	1.734381671	Down	DE	-1	0	-1	0	3	0	-1	-2	-1	1	1	0	0	0	-0.17	0	0.018	0.0188	0.957441716
MvSl-1064-A1-R4_A1g00977	OldStrata	-3.065033979	3.065033979	Down	DE	0	2	0	0	1	-5	0	2	-1	0.838440111	0.838888889	0	-64.25	-257	-0.98	-1.71	NA	NA	NA
MvSl-1064-A1-R4_A1g00997	OldStrata	-3.509378289	3.509378289	Down	DE	0	0	0	-1	0	0	1	1	-3	1.098726115	1.098569157	0	3	12	-0.24	0.42	0.0258	0.0395	0.653162903
MvSl-1064-A1-R4_A1g01007	OldStrata	3.100208392	3.100208392	Up	DE	-4	-2	1	-2	0	0	0	2	1	0.994441637	0.994444444	0	-100.5	-402	1.17	-1.42	NA	NA	NA
MvSl-1064-A1-R4_A1g01021	OldStrata	4.38716508	4.38716508	Up	DE	0	1	3	1	0	4	-1	-1	-1	0.809210526	0.809836066	-4	14.5	-419	1.36	2.36	NA	NA	NA
MvSl-1064-A1-R4_A1g01049	Centro	0.997497083	0.997497083	Up	DE	1	-1	3	-2	-1	-2	-1	-1	-1	0.516666667	0.519337017	-2	-42	-216	0.76	6.64	NA	NA	NA
MvSl-1064-A1-R4_A1g01135	OldStrata	0.917019786	0.917019786	Up	DE	0	1	0	0	1	2	1	-1	-3	0.690104167	0.690909091	2	-6.3333	155	-0.43	-4.86	0.1527	0.0626	2.439293228
MvSl-1064-A1-R4_A1g01137	OldStrata	-0.592036629	0.592036629	Down	DE	0	-4	-2	0	0	0	1	3	0	1.003361345	1.003355705	0	1.6667	10	0.07	-0.48	0.03	0.0179	1.675968291
MvSl-1064-A1-R4_A1g01162	OldStrata	5.639008765	5.639008765	Up	DE	0	0	0	-1	0	0	-2	0	2	1.050847458	1.050561798	0	-0.5	-1	0.74	1.38	0.0389	0.0071	5.478796073
MvSl-1064-A1-R4_A1g01163	OldStrata	3.617225151	3.617225151	Up	DE	0	0	0	-1	0	0	-2	0	2	1.004424779	1.004405286	0	0.25	1	0.06	1.05	0.0408	0.0121	3.37187296
MvSl-1064-A1-R4_A1g01164	OldStrata	-0.782988706	0.782988706	Down	DE	0	0	0	1	0	2	-5	0	0	1.029154519	1.029126214	1	-0.0222	83	0.11	-0.03	NA	NA	NA
MvSl-1064-A1-R4_A1g01174	OldStrata	-1.343688683	1.343688683	Down	DE	0	-2	2	0	-1	0	-3	-1	1	0.790640394	0.791154791	0	-4.8	-24	1.54	2.7	0.0331	0.0141	2.347501082
MvSl-1064-A1-R4_A1g01212	OldStrata	-1.916759575	1.916759575	Down	DE	0	1	0	0	2	1	-2	-1	-4	0.917570499	0.917659805	1	3.4047	100	0.02	-2.95	0.0463	0.009	5.144387285
MvSl-1064-A1-R4_A1g01220	OldStrata	3.396664551	3.396664551	Up	DE	0	0	0	0	0	2	-4	2	3	1.160784314	1.16015625	1	-15.161	-20	0.82	0.58	NA	NA	NA
MvSl-1064-A1-R4_A1g01253	OldStrata	-0.854931713	0.854931713	Down	DE	0	0	-1	0	0	6	-7	1	0	0.928571429	0.928961749	0	10	40	1.07	-0.6	NA	NA	NA
MvSl-1064-A1-R4_A1g01261	ColorStrata	-2.188677548	2.188677548	Down	DE	0	4	0	2	0	-1	1	0	-2	1.000433088	1.0004329	0	9	63	0.2	0.11	0.0313	0.018	1.738879228
MvSl-1064-A1-R4_A1g01288	OldStrata	1.137327982	1.137327982	Up	DE	0	0	-1	3	0	0	1	3	1	1	1	0	0	0	-0.13	0.74	NA	NA	NA
MvSl-1064-A1-R4_A1g01290	OldStrata	1.448121849	1.448121849	Up	DE	0	0	2	3	0	0	1	2	0	0.933184855	0.933333333	0	12.8889	116	-0.09	-0.36	NA	NA	NA
MvSl-1064-A1-R4_A1g01302	OldStrata	6.307186831	6.307186831	Up	DE	1	1	-1	0	0	1	-1	-1	-1	1.645962733	1.644628099	3	30.6	312	1.03	3.5	NA	NA	NA
MvSl-1064-A1-R4_A1g01347	OldStrata	1.102009758	1.102009758	Up	DE	0	6	-2	-2	-22	0	-1	-1	0	1.000942063	1.00094162	0	0	0	0.04	0.31	0.0306	0.0123	2.487784652
MvSl-1064-A1-R4_A1g01375	OldStrata	0.846875736	0.846875736	Up	DE	0	0	1	0	2	0	1	1	2	0.913348946	0.913551402	0	5.5	11	-0.5	0.68	NA	NA	NA
MvSl-1064-A1-R4_A1g01376	OldStrata	0.760387737	0.760387737	Up	DE	0	1	-2	2	0	1	1	2	0	0.920043812	0.920131291	-1	-27.5151	-402	-0.59	2.62	NA	NA	NA
MvSl-1064-A1-R4_A1g01383	OldStrata	1.918429351	1.918429351	Up	DE	0	1	0	0	1	1	0	1	-1	1.005934718	1.005925926	2	-38.1714	-32	0.72	-0.04	NA	NA	NA
MvSl-1064-A1-R4_A1g01384	OldStrata	-0.947792045	0.947792045	Down	DE	0	-1	-5	1	-3	1	-6	-2	0	0.981150794	0.981169475	0	-52	-52	0.09	-0.76	0.0289	0.0201	1.437803792
MvSl-1064-A1-R4_A1g01404	OldStrata	-5.516663924	5.516663924	Down	DE	0	5	0	3	0	-4	-2	3	2	1.657608696	1.655826558	0	71	71	0.37	0.69	0.0823	0.0533	1.544087159
MvSl-1064-A1-R4_A1g01418	OldStrata	3.351221404	3.351221404	Up	DE	-1	3	0	3	-2	-2	0	-4	1	0.964781217	0.964818763	-1	-3.4444	-119	-0.09	-0.69	NA	NA	NA
MvSl-1064-A1-R4_A1g01432	OldStrata	1.19652809	1.19652809	Up	DE	0	0	-4	-1	-1	0	0	0	3	1	1	0	0.25	1	0	0.6	0.0663	0.0135	4.911074733
MvSl-1064-A1-R4_A1g01459	bPAR	5.483609744	5.483609744	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g01493	bPAR	-2.930023968	2.930023968	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_A1g01494	bPAR	-0.924508323	0.924508323	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01699	Auto	-1.319583218	1.319583218	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01722	Auto	1.577594889	1.577594889	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01740	Auto	0.895446108	0.895446108	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01777	Auto	1.696559261	1.696559261	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01783	Auto	3.179057277	3.179057277	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01827	Auto	1.988514603	1.988514603	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01829	Auto	0.721753446	0.721753446	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01917	Auto	0.686271398	0.686271398	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01952	Auto	-0.607244261	0.607244261	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01975	Auto	1.831454124	1.831454124	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01978	Auto	2.105009706	2.105009706	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g01992	Auto	0.782766935	0.782766935	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02004	Auto	4.168341743	4.168341743	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02005	Auto	-1.562530536	1.562530536	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02007	Auto	0.729014747	0.729014747	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02008	Auto	-1.070633349	1.070633349	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02009	Auto	-0.88374669	0.88374669	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02022	Auto	1.684384058	1.684384058	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02046	Auto	1.06833939	1.06833939	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02082	Auto	-1.782062892	1.782062892	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02161	Auto	-1.612389211	1.612389211	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02180	Auto	-1.019676864	1.019676864	Down	DE	0	0	0	0	0	0	0	0	0	1.038690476	1.038575668	-1	15.7381	38	-0.16	-0.22	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02186	Auto	0.865460841	0.865460841	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02207	Auto	8.932894877	8.932894877	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02258	Auto	0.709559331	0.709559331	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02267	Auto	-0.991272367	0.991272367	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02299	Auto	-0.871000447	0.871000447	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02327	Auto	1.302089393	1.302089393	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02347	Auto	-3.643653614	3.643653614	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02351	Auto	-0.691663591	0.691663591	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02352	Auto	1.313881112	1.313881112	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02353	Auto	1.002100063	1.002100063	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02359	Auto	-1.095470345	1.095470345	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02382	Auto	1.015600349	1.015600349	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02398	Auto	1.47762747	1.47762747	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02419	Auto	1.58694583	1.58694583	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02422	Auto	1.306802239	1.306802239	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02440	Auto	1.361133819	1.361133819	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02509	Auto	0.92421791	0.92421791	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02511	Auto	1.269494285	1.269494285	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02545	Auto	0.713898684	0.713898684	Up	DE	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02603	Auto	-0.994476219	0.994476219	Down	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02647	Auto	0.684436817	0.684436817	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02686	Auto	1.067948881	1.067948881	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02724	Auto	-1.496333291	1.496333291	Down	DE	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02725	Auto	1.206746158	1.206746158	Up	DE	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02736	Auto	1.788231827	1.788231827	Up	DE	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02744	Auto	0.989211157	0.989211157	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02763	Auto	0.787958756	0.787958756	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02764	Auto	0.947348825	0.947348825	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02787	Auto	2.286433325	2.286433325	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02828	Auto	-3.857269963	3.857269963	Down	DE	0	0	0	0	0	-1	-1	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02832	Auto	5.803490373	5.803490373	Up	DE	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02833	Auto	9.426932841	9.426932841	Up	DE	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02837	Auto	-1.876848734	1.876848734	Down	DE	0	0	-2	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02838	Auto	-0.8850548	0.8850548	Down	DE	0	0	-2	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02839	Auto	-1.671422591	1.671422591	Down	DE	0	0	0	-2	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
MvSl-1064-A1-R4_MC01-1g02843	Auto	1.678077454	1.678077454	Up	DE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	NA	NA	NA
