gid	youngold	logFC.A1.A2	ratioprot	DE	DE2	ratiocds
MvSl-1064-A1-R4_A1g00351	OldStrata	0.198779887	0.999230769	NON	NON	0.99923136
MvSl-1064-A1-R4_A1g00352	OldStrata	0.141113881	1.043650794	NON	NON	1.043478261
MvSl-1064-A1-R4_A1g00359	OldStrata	-0.246336768	1	NON	NON	1
MvSl-1064-A1-R4_A1g00367	ColorStrata	-0.553218188	1	NON	NON	1
MvSl-1064-A1-R4_A1g00368	ColorStrata	-0.043565528	1	NON	NON	1
MvSl-1064-A1-R4_A1g00369	ColorStrata	-0.086462896	1	NON	NON	1
MvSl-1064-A1-R4_A1g00371	ColorStrata	-0.196176703	0.990359334	NON	NON	0.990367776
MvSl-1064-A1-R4_A1g00372	ColorStrata	0.168740362	1.002285714	NON	NON	1.002283105
MvSl-1064-A1-R4_A1g00373	ColorStrata	0.312102415	1	NON	NON	1
MvSl-1064-A1-R4_A1g00374	ColorStrata	0.129086183	1	NON	NON	1
MvSl-1064-A1-R4_A1g00380	ColorStrata	-0.537209791	1	NON	NON	1
MvSl-1064-A1-R4_A1g00389	ColorStrata	-0.203418508	1.283333333	NON	NON	1.282392027
MvSl-1064-A1-R4_A1g00390	ColorStrata	-0.022069907	1	NON	NON	1
MvSl-1064-A1-R4_A1g00391	ColorStrata	0.070339113	1.047619048	NON	NON	0.954619125
MvSl-1064-A1-R4_A1g00394	ColorStrata	-0.006944094	1	NON	NON	1
MvSl-1064-A1-R4_A1g00395	ColorStrata	-0.269694111	1	NON	NON	1
MvSl-1064-A1-R4_A1g00396	ColorStrata	-0.169013158	1	NON	NON	1
MvSl-1064-A1-R4_A1g00397	ColorStrata	-0.117032966	1	NON	NON	1
MvSl-1064-A1-R4_A1g00398	ColorStrata	-0.147374413	1	NON	NON	1
MvSl-1064-A1-R4_A1g00399	ColorStrata	0.030493513	1	NON	NON	1
MvSl-1064-A1-R4_A1g00401	ColorStrata	-0.351049332	0.996978852	NON	NON	1.003021148
MvSl-1064-A1-R4_A1g00402	ColorStrata	-0.139682704	1.019607843	NON	NON	0.98078155
MvSl-1064-A1-R4_A1g00403	ColorStrata	-0.474930026	1	NON	NON	1
MvSl-1064-A1-R4_A1g00404	ColorStrata	0.367701232	0.992481203	NON	NON	1.00754717
MvSl-1064-A1-R4_A1g00405	ColorStrata	-0.551722285	1	NON	NON	1
MvSl-1064-A1-R4_A1g00406	ColorStrata	0.247766304	1	NON	NON	1
MvSl-1064-A1-R4_A1g00432	OldStrata	-0.146821821	1	NON	NON	1
MvSl-1064-A1-R4_A1g00433	OldStrata	-0.345609102	1	NON	NON	1
MvSl-1064-A1-R4_A1g00441	OldStrata	-0.202459721	1	NON	NON	1
MvSl-1064-A1-R4_A1g00478	OldStrata	-0.180090396	1.01894452	NON	NON	0.981432361
MvSl-1064-A1-R4_A1g00503	OldStrata	0.312841444	1	NON	NON	1
MvSl-1064-A1-R4_A1g00504	OldStrata	-0.03748053	1	NON	NON	1
MvSl-1064-A1-R4_A1g00505	OldStrata	-0.144290177	1.048677249	NON	NON	1.048625793
MvSl-1064-A1-R4_A1g00506	OldStrata	-0.015811423	1	NON	NON	1
MvSl-1064-A1-R4_A1g00507	OldStrata	0.015950984	1.085205267	NON	NON	1.085139319
MvSl-1064-A1-R4_A1g00511	OldStrata	-0.09768498	1	NON	NON	1
MvSl-1064-A1-R4_A1g00512	OldStrata	0.047038026	1	NON	NON	1
MvSl-1064-A1-R4_A1g00513	OldStrata	-0.036290579	1.023131673	NON	NON	0.977430556
MvSl-1064-A1-R4_A1g00514	OldStrata	-0.1411675	0.988549618	NON	NON	0.988556898
MvSl-1064-A1-R4_A1g00515	OldStrata	-0.639906605	1.000963391	NON	NON	1.000962464
MvSl-1064-A1-R4_A1g00517	OldStrata	0.385115618	1	NON	NON	1
MvSl-1064-A1-R4_A1g00518	OldStrata	-0.22566182	1	NON	NON	1
MvSl-1064-A1-R4_A1g00519	OldStrata	-0.326955786	1	NON	NON	1
MvSl-1064-A1-R4_A1g00520	OldStrata	-0.207815574	1	NON	NON	1
MvSl-1064-A1-R4_A1g00521	OldStrata	-0.291387191	1.001127396	NON	NON	1.001126126
MvSl-1064-A1-R4_A1g00525	OldStrata	-0.425729346	1.023952096	NON	NON	1.023880597
MvSl-1064-A1-R4_A1g00528	OldStrata	0.697456225	1	NON	NON	1
MvSl-1064-A1-R4_A1g00530	OldStrata	-0.003825303	1.001152074	NON	NON	1.001150748
MvSl-1064-A1-R4_A1g00532	OldStrata	-0.183549618	1	NON	NON	1
MvSl-1064-A1-R4_A1g00533	OldStrata	-0.112005668	1.035830619	NON	NON	0.965517241
MvSl-1064-A1-R4_A1g00534	OldStrata	-0.344806798	1	NON	NON	1
MvSl-1064-A1-R4_A1g00541	OldStrata	-0.102715119	0.999020568	NON	NON	0.999021047
MvSl-1064-A1-R4_A1g00543	OldStrata	0.054014046	1	NON	NON	1
MvSl-1064-A1-R4_A1g00544	OldStrata	0.079283405	1.103448276	NON	NON	0.906396256
MvSl-1064-A1-R4_A1g00575	OldStrata	-0.417508294	1.003027245	NON	NON	0.996984925
MvSl-1064-A1-R4_A1g00593	OldStrata	0.034237888	1	NON	NON	1
MvSl-1064-A1-R4_A1g00645	OldStrata	0.00278244	0.996437055	NON	NON	1.003571429
MvSl-1064-A1-R4_A1g00647	OldStrata	-0.06376242	1.271111111	NON	NON	0.787456446
MvSl-1064-A1-R4_A1g00669	ColorStrata	-0.013902852	1.019690577	NON	NON	0.980716253
MvSl-1064-A1-R4_A1g00693	OldStrata	-0.01304676	1	NON	NON	1
MvSl-1064-A1-R4_A1g00694	OldStrata	0.19734445	1.00128041	NON	NON	1.001278772
MvSl-1064-A1-R4_A1g00726	OldStrata	-0.323750225	0.966666667	NON	NON	0.966789668
MvSl-1064-A1-R4_A1g00749	OldStrata	-0.432980787	1.005405405	NON	NON	1.00540054
MvSl-1064-A1-R4_A1g00750	OldStrata	0.014269393	1	NON	NON	1
MvSl-1064-A1-R4_A1g00751	OldStrata	-0.32701583	0.998971193	NON	NON	0.998972251
MvSl-1064-A1-R4_A1g00772	OldStrata	-0.447897559	1.049562682	NON	NON	1.049418605
MvSl-1064-A1-R4_A1g00778	OldStrata	0.389977485	0.99879081	NON	NON	1.00120919
MvSl-1064-A1-R4_A1g00794	OldStrata	0.026871625	1	NON	NON	1
MvSl-1064-A1-R4_A1g00801	OldStrata	-0.032184551	1	NON	NON	1
MvSl-1064-A1-R4_A1g00832	OldStrata	0.093408117	1.006369427	NON	NON	1.006361323
MvSl-1064-A1-R4_A1g00840	OldStrata	0.269924924	0.968013468	NON	NON	0.968067227
MvSl-1064-A1-R4_A1g00842	OldStrata	-0.32013805	0.897880539	NON	NON	1.113490364
MvSl-1064-A1-R4_A1g00843	OldStrata	-0.541148688	1.084795322	NON	NON	0.922043011
MvSl-1064-A1-R4_A1g00845	OldStrata	0.042076431	0.979193758	NON	NON	0.979207277
MvSl-1064-A1-R4_A1g00869	OldStrata	-0.780523068	1	NON	NON	1
MvSl-1064-A1-R4_A1g00911	OldStrata	-0.242165576	1	NON	NON	1
MvSl-1064-A1-R4_A1g00912	OldStrata	-0.203998749	1	NON	NON	1
MvSl-1064-A1-R4_A1g00913	OldStrata	-0.556748515	1.332251082	NON	NON	1.331891892
MvSl-1064-A1-R4_A1g00920	OldStrata	-0.976671928	0.817679558	NON	NON	1.222836096
MvSl-1064-A1-R4_A1g00921	OldStrata	0.145781482	1.003636364	NON	NON	0.996383363
MvSl-1064-A1-R4_A1g00957	OldStrata	0.390662934	1	NON	NON	1
MvSl-1064-A1-R4_A1g00960	OldStrata	-0.16311838	1.050925926	NON	NON	1.050691244
MvSl-1064-A1-R4_A1g00998	OldStrata	0.375035839	1	NON	NON	1
MvSl-1064-A1-R4_A1g01017	OldStrata	-0.275205453	1.014272122	NON	NON	1.014258555
MvSl-1064-A1-R4_A1g01154	OldStrata	-0.069641132	1	NON	NON	1
MvSl-1064-A1-R4_A1g01159	OldStrata	0.357858524	1	NON	NON	1
MvSl-1064-A1-R4_A1g01160	OldStrata	0.299223533	0.997890295	NON	NON	1.002109705
MvSl-1064-A1-R4_A1g01161	OldStrata	-0.232190071	1.225641026	NON	NON	0.816283925
MvSl-1064-A1-R4_A1g01173	OldStrata	-0.529087108	1.087040619	NON	NON	1.086872587
MvSl-1064-A1-R4_A1g01189	OldStrata	0.516954041	1	NON	NON	1
MvSl-1064-A1-R4_A1g01219	OldStrata	-0.829550149	0.998046875	NON	NON	1.001955034
MvSl-1064-A1-R4_A1g01227	OldStrata	-0.280852976	0.994219653	NON	NON	0.994252874
MvSl-1064-A1-R4_A1g01252	ColorStrata	-0.111374107	1.091836735	NON	NON	1.091525424
MvSl-1064-A1-R4_A1g01271	OldStrata	-0.520789943	0.948905109	NON	NON	1.053435115
MvSl-1064-A1-R4_A1g01272	OldStrata	0.130280609	1	NON	NON	1
MvSl-1064-A1-R4_A1g01317	OldStrata	0.067848033	0.870967742	NON	NON	0.871382637
MvSl-1064-A1-R4_A1g01346	OldStrata	-0.29082474	0.681818182	NON	NON	1.463855422
MvSl-1064-A1-R4_A1g01348	OldStrata	0.084837282	1	NON	NON	1
MvSl-1064-A1-R4_A1g01350	OldStrata	-0.142316764	1	NON	NON	1
MvSl-1064-A1-R4_A1g01351	OldStrata	-0.066627592	1	NON	NON	1
MvSl-1064-A1-R4_A1g01366	OldStrata	-0.069623816	1	NON	NON	1
MvSl-1064-A1-R4_A1g01367	OldStrata	0.242412729	0.932874355	NON	NON	0.932989691
MvSl-1064-A1-R4_A1g01368	OldStrata	-0.173537055	1.011345219	NON	NON	0.988788041
MvSl-1064-A1-R4_A1g01369	OldStrata	0.659905903	1.036124795	NON	NON	1.036065574
MvSl-1064-A1-R4_A1g01388	OldStrata	0.406271174	0.871794872	NON	NON	0.871944121
MvSl-1064-A1-R4_A1g01392	OldStrata	-0.243712597	0.995053586	NON	NON	0.995057661
MvSl-1064-A1-R4_A1g01393	OldStrata	0.3978728	1.174563591	NON	NON	0.851694915
MvSl-1064-A1-R4_A1g01405	OldStrata	-0.032795964	0.636627907	NON	NON	1.568181818
MvSl-1064-A1-R4_A1g01406	OldStrata	-0.847111802	0.998366013	NON	NON	1.001635323
MvSl-1064-A1-R4_A1g01407	OldStrata	-0.341690369	0.997959184	NON	NON	1.002040816
MvSl-1064-A1-R4_A1g01415	OldStrata	0.39982018	1	NON	NON	1
MvSl-1064-A1-R4_A1g01431	OldStrata	0.17831449	0.964222874	NON	NON	0.964243845
MvSl-1064-A1-R4_A1g01440	bPAR	0.045862676	1	NON	NON	1
MvSl-1064-A1-R4_A1g01441	bPAR	-0.034947562	1	NON	NON	1
MvSl-1064-A1-R4_A1g01444	bPAR	0.065214682	1	NON	NON	1
MvSl-1064-A1-R4_A1g01445	bPAR	0.037844237	1	NON	NON	1
MvSl-1064-A1-R4_A1g01447	bPAR	0.150250394	1	NON	NON	1
MvSl-1064-A1-R4_A1g01450	bPAR	0.14369571	1	NON	NON	1
MvSl-1064-A1-R4_A1g01451	bPAR	-0.002472601	1	NON	NON	1
MvSl-1064-A1-R4_A1g01453	bPAR	0.487588091	1	NON	NON	1
MvSl-1064-A1-R4_A1g01458	bPAR	-0.110965578	1	NON	NON	1
MvSl-1064-A1-R4_A1g01460	bPAR	0.110246775	1	NON	NON	1
MvSl-1064-A1-R4_A1g01461	bPAR	-0.004288384	1	NON	NON	1
MvSl-1064-A1-R4_A1g01462	bPAR	-0.26053659	1	NON	NON	1
MvSl-1064-A1-R4_A1g01467	bPAR	0.062577515	1	NON	NON	1
MvSl-1064-A1-R4_A1g01468	bPAR	0.226794407	1	NON	NON	1
MvSl-1064-A1-R4_A1g01470	bPAR	-0.187001942	1	NON	NON	1
MvSl-1064-A1-R4_A1g01471	bPAR	-0.012356579	1	NON	NON	1
MvSl-1064-A1-R4_A1g01472	bPAR	-0.079283425	1	NON	NON	1
MvSl-1064-A1-R4_A1g01473	bPAR	0.067474644	1	NON	NON	1
MvSl-1064-A1-R4_A1g01476	bPAR	0.163354788	1	NON	NON	1
MvSl-1064-A1-R4_A1g01477	bPAR	-0.087890661	1	NON	NON	1
MvSl-1064-A1-R4_A1g01485	bPAR	-0.198257752	1	NON	NON	1
MvSl-1064-A1-R4_A1g01486	bPAR	0.28424332	1	NON	NON	1
MvSl-1064-A1-R4_A1g01487	bPAR	-0.543761745	1	NON	NON	1
MvSl-1064-A1-R4_A1g01488	bPAR	0.539198321	1	NON	NON	1
MvSl-1064-A1-R4_A1g01489	bPAR	0.054606098	1	NON	NON	1
MvSl-1064-A1-R4_A1g01497	bPAR	0.216166984	1	NON	NON	1
MvSl-1064-A1-R4_A1g01498	bPAR	0.07504564	1	NON	NON	1
MvSl-1064-A1-R4_A1g01500	bPAR	-0.063547829	1	NON	NON	1
MvSl-1064-A1-R4_A1g01501	bPAR	0.022873365	1	NON	NON	1
MvSl-1064-A1-R4_A1g01502	bPAR	-0.099308012	1.029559748	NON	NON	1.029541169
MvSl-1064-A1-R4_A1g01508	bPAR	-0.411722731	1	NON	NON	1
MvSl-1064-A1-R4_A1g01509	bPAR	-0.123099397	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01709	Auto	-0.100650973	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01710	Auto	0.681156019	0.97706422	NON	NON	0.97716895
MvSl-1064-A1-R4_MC01-1g01711	Auto	0.03968519	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01712	Auto	-0.250033449	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01713	Auto	0.070223716	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01725	Auto	-0.037759494	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01726	Auto	0.002893092	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01728	Auto	-0.040995885	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01729	Auto	0.163608161	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01730	Auto	-0.079603277	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01731	Auto	0.048450401	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01734	Auto	0.072667985	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01735	Auto	-0.737805855	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01743	Auto	0.090648339	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01744	Auto	0.07959967	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01748	Auto	0.121594642	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01751	Auto	-0.117600828	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01752	Auto	-0.383865414	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01753	Auto	0.115327921	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01754	Auto	0.055169784	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01755	Auto	-0.130419197	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01756	Auto	-0.253173702	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01766	Auto	0.018403169	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01767	Auto	-0.155514469	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01768	Auto	-0.444698201	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01769	Auto	0.289460588	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01770	Auto	-0.013789424	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01771	Auto	-0.264410227	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01780	Auto	-0.01898219	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01796	Auto	0.315017706	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01797	Auto	-0.34357711	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01799	Auto	-0.242369693	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01800	Auto	-0.170278024	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01801	Auto	-0.032825454	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01802	Auto	-0.214287711	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01803	Auto	-0.245084236	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01804	Auto	-0.22566719	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01805	Auto	-0.045336226	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01806	Auto	-0.144278056	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01808	Auto	-0.169374976	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01809	Auto	-0.033048441	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01810	Auto	0.010864374	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01811	Auto	-0.176876498	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01812	Auto	0.170164377	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01813	Auto	-0.239994913	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01814	Auto	-0.346708134	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01816	Auto	0.013993902	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01817	Auto	-0.323857808	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01818	Auto	0.06884751	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01819	Auto	-0.099808237	1.02875817	NON	NON	1.028720627
MvSl-1064-A1-R4_MC01-1g01820	Auto	-0.450410089	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01821	Auto	0.139474906	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01822	Auto	-0.369009688	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01823	Auto	0.542914692	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01824	Auto	-0.144142705	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01826	Auto	0.440053013	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01834	Auto	0.292246103	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01840	Auto	-0.129982856	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01841	Auto	-0.244100893	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01843	Auto	0.16194432	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01844	Auto	-0.29350543	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01845	Auto	-0.000393784	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01846	Auto	-0.275605244	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01849	Auto	0.028231899	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01850	Auto	0.040957162	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01851	Auto	0.129453281	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01852	Auto	0.165907857	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01853	Auto	-0.033529517	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01854	Auto	0.334033499	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01855	Auto	-0.190003163	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01856	Auto	-0.022280654	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01857	Auto	-0.140963525	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01858	Auto	-0.2347504	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01859	Auto	-0.101965018	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01860	Auto	-0.067417695	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01861	Auto	0.091773481	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01862	Auto	-0.049593693	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01863	Auto	-0.114752578	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01864	Auto	-0.290986166	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01865	Auto	-0.22719799	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01867	Auto	0.128506237	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01868	Auto	0.244516303	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01869	Auto	0.006784379	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01870	Auto	-0.207483825	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01871	Auto	-0.038484917	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01872	Auto	-0.051505325	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01873	Auto	-0.135551473	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01874	Auto	0.070370668	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01875	Auto	0.001763359	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01876	Auto	-0.038937146	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01877	Auto	-0.11506425	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01878	Auto	-0.304210647	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01879	Auto	-0.037517944	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01880	Auto	-0.461996545	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01881	Auto	-0.172372203	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01882	Auto	-0.003157626	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01883	Auto	-0.364340267	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01884	Auto	0.31449563	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01885	Auto	-0.202236983	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01886	Auto	0.125138811	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01887	Auto	0.247108744	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01889	Auto	-0.025928377	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01890	Auto	-0.118945495	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g01891	Auto	0.2061347	1	NON	NON	1
